Orthogroup	Microcebus_murinus	Mesocricetus_auratus
OG0000008	XP_012614837.1	XP_040607222.1
OG0000008	XP_020137053.1	XP_005080013.1
OG0000008	XP_012631803.2, XP_012631807.1, XP_012631809.1	XP_012966980.1
OG0000008	XP_020140578.1	XP_040589595.1
OG0000008	XP_020138106.1	XP_005076380.2, XP_021086449.1, XP_040592559.1
OG0000010	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1	XP_005065035.2
OG0000010	XP_012643294.1	XP_040600849.1
OG0000010	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1	XP_005065040.1
OG0000011	XP_012604413.1	XP_040597859.1
OG0000011	XP_012604415.2	XP_040597868.1
OG0000011	XP_012604414.2	XP_040597855.1
OG0000011	XP_012604418.1	XP_040597857.1, XP_040597858.1
OG0000011	XP_012604417.2	XP_040597867.1
OG0000011	XP_012604410.1	XP_040597854.1
OG0000011	XP_012604420.1	XP_005139286.1
OG0000011	XP_012604421.1	XP_040597863.1
OG0000011	XP_012604416.2	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1
OG0000011	XP_012604408.1	XP_040597853.1
OG0000012	XP_012612333.1	XP_005088691.1
OG0000012	XP_020140827.1, XP_012612317.2, XP_012612341.1, XP_012612339.1, XP_012612340.1	XP_005080125.1
OG0000012	XP_012612331.1, XP_012612330.1, XP_012612337.2, XP_012612338.2	XP_021088650.1, XP_005080130.1
OG0000012	XP_012612329.1, XP_012612328.1	XP_040599889.1, XP_040599760.1, XP_040599888.1
OG0000013	XP_012617214.1	XP_005077396.1, XP_040592895.1, XP_005088155.2
OG0000013	XP_012617202.1	XP_012973996.2
OG0000014	XP_012606858.1	XP_012980406.1
OG0000014	XP_012606836.1	XP_012980379.2
OG0000016	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2
OG0000017	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1	XP_005081713.2, XP_040603898.1, XP_040603900.1, XP_040603899.1
OG0000017	XP_012597482.1	XP_005086742.1
OG0000017	XP_012634096.1	XP_040603984.1, XP_040603983.1
OG0000017	XP_012627716.1	XP_040591625.1, XP_040591602.1
OG0000018	XP_012606772.1	XP_005069967.1
OG0000018	XP_012634029.1	XP_005067768.1
OG0000019	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1	XP_040600867.1, XP_040600868.1, XP_005064844.1, XP_005064843.1, XP_005064848.1, XP_005064585.1, XP_005064847.1, XP_005064584.1
OG0000019	XP_012603616.1	XP_005064850.1
OG0000019	XP_020141498.1	XP_005064849.1
OG0000019	XP_012598338.1	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1
OG0000019	XP_012598339.2, XP_012598340.2	XP_005064841.2
OG0000020	XP_020139091.1	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1
OG0000020	XP_020138771.1	XP_021090982.1
OG0000020	XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1	XP_040589773.1, XP_040589996.1
OG0000021	XP_012599127.1	XP_005077475.1
OG0000022	XP_020137854.1	XP_012968143.1
OG0000022	XP_020137845.1	XP_012968137.1
OG0000022	XP_020137849.1	XP_040597834.1
OG0000022	XP_020137843.1	XP_012968139.1
OG0000022	XP_020137850.1	XP_012968141.1
OG0000022	XP_020137851.1	XP_040597837.1
OG0000022	XP_012604363.1	XP_040597835.1
OG0000022	XP_020137848.1	XP_040597836.1
OG0000022	XP_020137847.1	XP_012968142.1
OG0000023	XP_012604975.1	XP_021090051.1
OG0000023	XP_020139169.1, XP_020139171.1, XP_020139167.1, XP_020139170.1, XP_020139168.1, XP_020138882.1, XP_020138880.1, XP_020138881.1, XP_012609640.2, XP_020139172.1, XP_012609634.1, XP_020138907.1, XP_012609656.1, XP_012611031.2, XP_012609594.1	XP_040592152.1, XP_005084860.3
OG0000024	XP_012638762.1	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1, XP_005069427.1
OG0000024	XP_012638763.1	XP_005069439.1, XP_005069315.1, XP_012968276.2, XP_005069438.2, XP_040585969.1
OG0000024	XP_012638746.1, XP_012638745.1	XP_005069440.1, XP_012968278.1
OG0000026	XP_012644305.2, XP_012644304.2	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1
OG0000026	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1	XP_012973615.1
OG0000027	XP_012595657.1	XP_005070529.1
OG0000027	XP_012616812.1	XP_040609793.1
OG0000027	XP_012603184.1	XP_040593732.1
OG0000027	XP_012596665.1	XP_040611487.1
OG0000027	XP_012632128.1	XP_040599534.1
OG0000027	XP_012616799.2	XP_040609790.1
OG0000027	XP_012616756.2	XP_040609794.1
OG0000028	XP_012605430.1, XP_012605431.1	XP_012966156.1, XP_012967592.1, XP_012967554.1, XP_005063854.1, XP_040588468.1, XP_012967590.1
OG0000028	XP_012605321.1	XP_005063306.1, XP_005063857.1
OG0000029	XP_012598557.1	XP_005076794.1
OG0000029	XP_012598512.1	XP_040606242.1, XP_040606301.1, XP_005076843.2
OG0000029	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2	XP_040606240.1, XP_040606241.1, XP_005076795.1, XP_040606248.1, XP_005076798.2
OG0000031	XP_012599100.1	XP_005077476.1
OG0000031	XP_020145822.1, XP_020146129.1	XP_005067750.1
OG0000031	XP_012597485.1	XP_040612128.1, XP_005086751.3, XP_040611602.1
OG0000031	XP_012597472.1	XP_040611600.1, XP_040611601.1
OG0000032	XP_020137954.1	XP_040597877.1
OG0000032	XP_020137953.1	XP_040597872.1
OG0000033	XP_012634183.1	XP_012968668.2
OG0000033	XP_012634147.1	XP_005070011.3
OG0000033	XP_012634191.1	XP_012968934.1
OG0000034	XP_020141076.1	XP_012981677.2, XP_005087476.2, XP_012973194.1, XP_005076167.1, XP_005076126.2, XP_005087477.1, XP_005087475.2, XP_040595329.1, XP_040593015.1
OG0000035	XP_012621797.1	XP_040601947.1, XP_012975185.1
OG0000035	XP_012619799.1, XP_012619798.1	XP_005064723.1
OG0000035	XP_012620530.1	XP_005063733.1
OG0000035	XP_012614407.1	NP_001268524.1, XP_012975858.1
OG0000035	XP_012644914.1	XP_040606104.1
OG0000035	XP_012631175.1	XP_005065601.1
OG0000035	XP_020141787.1, XP_012644119.2	XP_005071114.1
OG0000036	XP_012621955.1	XP_005063672.1
OG0000038	XP_012602142.1	XP_012975442.1, XP_005065093.1, XP_005065094.1, XP_005065098.1, XP_021089454.1, XP_012975394.1
OG0000039	XP_012623865.1	XP_040611731.1
OG0000039	XP_012623864.1	XP_005066458.1
OG0000039	XP_012591805.1	XP_005087662.1
OG0000039	XP_012639934.1	XP_005083770.1
OG0000039	XP_012617155.2	XP_005081404.1
OG0000039	XP_012601634.1	XP_005073218.1
OG0000039	XP_012625877.1	XP_040588788.1
OG0000041	XP_012602144.1	XP_005065090.1
OG0000041	XP_012602149.1, XP_020142260.1	XP_005065092.1
OG0000042	XP_012612185.1	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1
OG0000042	XP_012612152.1, XP_012608504.2, XP_020142421.1	XP_021079562.2, XP_040589197.1, XP_040597262.1
OG0000043	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1
OG0000044	XP_012597462.1, XP_012609563.1	XP_021080739.1
OG0000044	XP_012596792.1	XP_040599370.1
OG0000044	XP_012596789.1	XP_012981124.1
OG0000045	XP_020138865.1	XP_012967012.1
OG0000045	XP_020136755.1	XP_005067661.2
OG0000045	XP_012633220.1	XP_005067663.2
OG0000045	XP_012633193.1, XP_012633184.1	XP_040604829.1
OG0000045	XP_012633169.1	XP_040604830.1
OG0000048	XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1	XP_040590516.1, XP_040590186.1, XP_040590252.1
OG0000049	XP_020141259.1, XP_012611591.2	XP_012970837.1
OG0000049	XP_012626152.1, XP_012626153.1, XP_012626155.1	XP_040598230.1, XP_005075263.2, XP_040598231.1
OG0000051	XP_012607324.1	XP_040589515.1
OG0000051	XP_012604860.1	XP_040609155.1
OG0000051	XP_012607323.1	XP_040589514.1
OG0000051	XP_012605901.1	XP_012977763.1
OG0000051	XP_012604862.1	XP_040609153.1, XP_040609154.1
OG0000051	XP_012605846.1	XP_005082522.1
OG0000052	XP_012642546.1	XP_040592338.1
OG0000052	XP_020143347.1	XP_021078671.1, XP_012966499.1, XP_040610156.1, XP_040592247.1
OG0000053	XP_020140298.1	XP_040606309.1, XP_005073958.1, XP_005073886.1, XP_005073885.1
OG0000054	XP_012604193.1	XP_012976161.1
OG0000055	XP_012639383.1, XP_012599623.2	XP_005075771.1
OG0000055	XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1	XP_005075828.3
OG0000055	XP_012639384.1	XP_005075773.1, XP_005075776.1, XP_005075775.1, XP_005075770.1
OG0000055	XP_012639391.1	XP_021086135.2, XP_012972950.1
OG0000056	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1
OG0000057	XP_012604923.1	XP_040609095.1, XP_040609094.1, XP_040609097.1
OG0000057	XP_012604916.1	XP_040609083.1
OG0000057	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1	XP_040609082.1, XP_040609085.1
OG0000058	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1
OG0000059	XP_012622464.1, XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2	XP_005076799.1, XP_040606237.1, XP_012973635.3, XP_005076844.2, XP_005076797.1, XP_012973648.1, XP_040606244.1, XP_012973632.1, XP_005076796.1, XP_040606246.1, XP_040606247.1
OG0000060	XP_020141693.1, XP_012609090.2	XP_012980426.1, XP_040608584.1, XP_012980427.1
OG0000061	XP_012624360.1, XP_020145028.1, XP_020145025.1	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1
OG0000061	XP_012637430.2	XP_012978726.1
OG0000062	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1
OG0000063	XP_012636552.1	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1
OG0000064	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1
OG0000065	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1	XP_005139289.2, XP_040602518.1, XP_040608744.1
OG0000066	XP_012637254.1	XP_040607425.1, XP_040610768.1, XP_005083244.1, XP_040605362.1
OG0000067	XP_012639834.2	XP_005076495.1
OG0000067	XP_012609986.1	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2
OG0000068	XP_012605327.2, XP_012605334.1, XP_012605328.1	XP_005063311.1
OG0000068	XP_012605324.1	XP_005063310.1
OG0000068	XP_012605325.1	XP_012966146.1
OG0000069	XP_012630800.1	XP_040596557.1, XP_040596556.1, XP_040596558.1
OG0000069	XP_012644303.1	XP_005139384.2
OG0000069	XP_012596989.1	XP_005086454.1
OG0000071	XP_012625032.1, XP_012625033.1	XP_012971826.1, XP_012971753.2, XP_040607730.1
OG0000072	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1
OG0000074	XP_012600382.1	XP_040613609.1
OG0000074	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1	XP_005074087.1
OG0000075	XP_012637940.1, XP_012637938.1, XP_012637939.1	XP_005084587.1
OG0000075	XP_012595358.1, XP_020140622.1, XP_012615318.1, XP_012615320.1, XP_012615319.1	XP_040600633.1
OG0000075	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1	XP_012981002.2, XP_005086675.1, XP_040599847.1
OG0000076	XP_020137855.1	XP_021082326.2
OG0000076	XP_012604356.2, XP_020137838.1, XP_020137859.1	XP_040597842.1, XP_040597840.1
OG0000076	XP_020137858.1	XP_040597833.1
OG0000076	XP_020137853.1	XP_040597839.1
OG0000077	XP_012638223.1	XP_040597617.1, XP_040611502.1, XP_040601552.1, XP_040603391.1, XP_040599072.1
OG0000077	XP_012619774.1	XP_012966788.1
OG0000078	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1	NP_001268256.1, XP_040610188.1
OG0000079	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1
OG0000080	XP_012605444.1	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1
OG0000081	XP_012618576.1	XP_040590974.1
OG0000082	XP_012635473.1, XP_012635466.2, XP_020140286.1	XP_040588269.1, XP_040588270.1, XP_040588274.1
OG0000084	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1	XP_040584800.1, XP_005082842.2, XP_021090181.1
OG0000085	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1	XP_005077363.1
OG0000086	XP_012605369.1	XP_005065146.1
OG0000086	XP_012619770.1	XP_040610260.1
OG0000086	XP_012632158.1	XP_021087100.2
OG0000086	XP_012624983.1	XP_040605355.1
OG0000086	XP_020136426.1, XP_012625208.1	XP_012973815.1
OG0000086	XP_012624902.1	XP_021086732.1
OG0000087	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1	XP_021085058.1, XP_005073964.1, XP_040606293.1, XP_012971615.2, XP_005073894.2, XP_040606221.1, XP_005073967.1, XP_040606220.1, XP_040606222.1, XP_021085049.1, XP_005073895.2, XP_005073896.1
OG0000088	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1
OG0000089	XP_012602172.1	XP_012975736.2, XP_005065076.1, XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1
OG0000090	XP_012599427.1	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1
OG0000092	XP_012643279.1, XP_012643283.1, XP_012643284.1	XP_005065062.1, XP_005065063.1, XP_005065061.1, XP_005065059.1
OG0000092	XP_012643282.1	XP_005064643.1, XP_012974558.1
OG0000092	XP_012643281.1	XP_021088358.1
OG0000093	XP_012614553.1	XP_005080052.1
OG0000095	XP_020138138.1	XP_005079189.1
OG0000095	XP_012611412.1, XP_012611409.1	XP_005079186.1
OG0000095	XP_012611251.1, XP_012611408.1, XP_012611248.2, XP_012611252.1, XP_012611249.1	NP_001268811.1
OG0000096	XP_012629913.1	XP_005081499.1, XP_012976978.1, XP_012976979.1
OG0000096	XP_012623893.1	XP_012966033.2, XP_040611717.1, XP_040611727.1, XP_040611719.1, XP_040611718.1
OG0000097	XP_012645960.2	XP_040585087.1
OG0000099	XP_012610672.2	XP_021080880.2, XP_040597302.1
OG0000099	XP_012610556.2	XP_012967795.1
OG0000100	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1	XP_040590987.1, XP_040590988.1, XP_040590989.1, XP_040590990.1, XP_040590986.1
OG0000100	XP_012614771.1	XP_005080471.1
OG0000101	XP_012622873.1	XP_005088403.1, XP_005088404.1
OG0000102	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1
OG0000103	XP_020139760.1, XP_020139759.1	XP_040611494.1, NP_001297498.1, XP_021083830.2, NP_001297485.1, XP_005071802.1, XP_040611493.1, NP_001268527.1, XP_005071810.1, XP_040611499.1
OG0000104	XP_012604689.1	XP_012977305.1
OG0000105	XP_012595109.1	XP_040591166.1
OG0000106	XP_012597004.1	XP_040602671.1
OG0000106	XP_012619690.1	XP_005064427.1
OG0000106	XP_012637795.1	XP_005080701.2
OG0000106	XP_012614334.1	XP_040587404.1
OG0000107	XP_012605312.1	XP_005065130.1, XP_005065131.1
OG0000107	XP_012605310.1	XP_040600824.1, XP_005065129.1
OG0000108	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1	XP_040608920.1, XP_040608919.1, XP_040608921.1
OG0000109	XP_012625632.2	XP_005078947.2
OG0000109	XP_012625635.1	XP_005078834.2
OG0000109	XP_012625631.1	XP_005078833.2
OG0000109	XP_012625636.2	XP_040597897.1
OG0000110	XP_012632579.1, XP_012632570.1	XP_040604934.1
OG0000110	XP_020136742.1	XP_040604931.1, XP_005067566.1
OG0000110	XP_012632592.1	XP_040604935.1, XP_040604937.1, XP_040604936.1
OG0000111	XP_012616382.1, XP_012616380.2	XP_012982372.1, XP_005088276.2, XP_040587443.1
OG0000113	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1	XP_040600343.1, XP_040600344.1, XP_040600374.1, XP_040600373.1, XP_005076782.1
OG0000114	XP_012607527.1	XP_040609380.1
OG0000114	XP_012607530.1	XP_005070620.1
OG0000114	XP_012606894.1, XP_012607531.1	XP_005070610.2, XP_040608709.1
OG0000114	XP_012607532.1	XP_040609379.1
OG0000114	XP_012607528.1	XP_021082995.1
OG0000115	XP_012614846.1	XP_005067252.1
OG0000115	XP_012634045.1, XP_012634041.1, XP_012634042.1	XP_005067757.1
OG0000116	XP_012624660.1	XP_040589641.1
OG0000116	XP_012626405.1	XP_040607688.1
OG0000116	XP_020137718.1, XP_012637946.1	XP_040614037.1
OG0000116	XP_012618286.1	XP_005070838.1
OG0000118	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1	XP_040592964.1
OG0000119	XP_012634378.1, XP_012634381.1, XP_012634382.1, XP_012634380.1, XP_012634379.1	XP_005066137.1, XP_005066138.1, XP_012965891.1, XP_012965892.1
OG0000120	XP_012614299.1	XP_040607247.1
OG0000121	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1	XP_040598139.1, XP_005075252.1, XP_040598140.1, XP_021085845.1, XP_012972648.1, XP_012972650.1, XP_012972652.1, XP_012972649.1
OG0000122	XP_012630490.1	XP_012977225.2
OG0000122	XP_012615924.1	XP_040604850.1, XP_040595192.1, XP_040586848.1, XP_040586853.1, XP_040587071.1
OG0000123	XP_012634032.1, XP_012634752.1, XP_012634782.1	XP_005067471.1
OG0000124	XP_012637921.1	XP_040592747.1
OG0000124	XP_020138307.1, XP_020140586.1	XP_012974027.1
OG0000124	XP_020140585.1, XP_012629347.2	XP_040589326.1
OG0000125	XP_012621238.1	XP_005087419.3
OG0000125	XP_012621506.1, XP_012621241.1, XP_012621239.2	XP_040603962.1, XP_040603963.1, XP_040605621.1
OG0000125	XP_020136415.1	XP_021079408.2
OG0000127	XP_012621712.1, XP_012621715.1, XP_012621713.1, XP_012621714.1	XP_012978066.1
OG0000128	XP_012596811.1	XP_021080724.1
OG0000128	XP_012596813.1	XP_012966127.1
OG0000128	XP_012596845.1	XP_012966093.1
OG0000128	XP_012596812.1	XP_012966126.1
OG0000129	XP_020142730.1, XP_012616311.1, XP_020142727.1, XP_012616307.1	XP_040596085.1, XP_040595678.1, XP_040595676.1, XP_040585144.1, XP_040585440.1, XP_040585215.1, XP_040585216.1, NP_001268566.1
OG0000130	XP_012641924.1	XP_012981582.1
OG0000130	XP_012642080.1	XP_005074159.2, XP_012981599.1, XP_040587531.1
OG0000131	XP_012641906.1, XP_012599612.1, XP_012641907.1	XP_005075791.1, XP_005075797.1, XP_005075792.1, XP_005075796.2, XP_005075793.1, XP_005075795.1, XP_005075835.1, XP_005075794.1
OG0000132	XP_012600827.1, XP_012600831.1, XP_012600808.1, XP_012600818.1, XP_012600835.1	XP_040584133.1, XP_012965653.1, XP_005065914.1, XP_040584136.1, XP_040584135.1, XP_012965654.1, XP_040584134.1
OG0000133	XP_012646316.1, XP_012646313.1, XP_012646318.1, XP_012646311.1, XP_012646312.1, XP_012646317.1, XP_012646315.1, XP_012646314.1	XP_012974105.1, XP_040589323.1, XP_040589322.1, XP_040589324.1
OG0000134	XP_012615932.1	XP_040594363.1
OG0000135	XP_012645503.1	XP_040597461.1
