Orthogroup	Microcebus_murinus	Ictidomys_tridecemlineatus
OG0000004	XP_012609568.1	XP_005331198.1
OG0000004	XP_012596861.1	XP_005337088.1
OG0000005	XP_012610257.1	XP_040137769.1, XP_005342291.1, XP_005342497.1, XP_005342498.1, XP_005342290.1, XP_005342494.1
OG0000005	XP_012609942.2	XP_005342755.2
OG0000005	XP_012610373.1	XP_005342565.1
OG0000005	XP_012610321.1	XP_005342769.3
OG0000005	XP_012609955.1, XP_012610386.1	XP_013221886.2
OG0000005	XP_012609981.1	XP_005342567.1
OG0000006	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1	XP_013220679.2
OG0000006	XP_020140814.1	XP_021581918.1, XP_040137954.1, XP_013211517.1, XP_040129277.1, XP_040129216.1, XP_013220730.2, XP_040139203.1, XP_040146805.1, XP_040146864.1, XP_040126337.1, XP_040134474.1, XP_021586353.1, XP_013213549.1, XP_040141572.1, XP_040133703.1, XP_040145847.1, XP_013221250.2, XP_040137093.1, XP_040143137.1
OG0000006	XP_012599818.2, XP_020145819.1	XP_040134543.1
OG0000007	XP_020139117.1	XP_040135808.1
OG0000007	XP_012613264.2	XP_040135772.1
OG0000007	XP_020138350.1, XP_020138351.1, XP_020138348.1, XP_020138352.1, XP_020138349.1, XP_020138346.1, XP_020138347.1, XP_020138345.1, XP_012618410.1, XP_012618411.1, XP_020138403.1, XP_020138425.1	XP_040135775.1, XP_005333142.3, XP_005333141.1, XP_005333140.1
OG0000008	XP_012624356.1	XP_021585038.2
OG0000008	XP_012612641.1	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	XP_012619942.1, XP_020140831.1	XP_040132762.1
OG0000008	XP_012603709.1	XP_021575996.1
OG0000008	XP_012614837.1	XP_005340090.1
OG0000008	XP_020137053.1	XP_021575630.1
OG0000008	XP_012631803.2, XP_012631807.1, XP_012631809.1	XP_013211286.2, XP_021579127.1
OG0000008	XP_020140578.1	XP_005324078.1
OG0000008	XP_020138106.1	XP_021577360.1
OG0000010	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1	XP_021585329.1
OG0000010	XP_012643294.1	XP_013216063.1
OG0000010	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1	XP_005341590.1, XP_005330122.1, XP_005330123.1
OG0000011	XP_012604413.1	XP_013213581.1
OG0000011	XP_012604415.2	XP_005324322.1
OG0000011	XP_012604414.2	XP_005324316.1
OG0000011	XP_012604418.1	XP_005324315.2
OG0000011	XP_012604417.2	XP_013213584.1
OG0000011	XP_012604410.1, XP_012604420.1	XP_005324317.2
OG0000011	XP_012604421.1	XP_013213578.3, XP_013213630.1
OG0000011	XP_012604416.2	XP_013213560.1, XP_005324320.1
OG0000011	XP_012604408.1	XP_021581335.1
OG0000012	XP_012612333.1	XP_005329220.1
OG0000012	XP_012612318.1	XP_040144098.1
OG0000012	XP_020140827.1, XP_012612317.2, XP_012612341.1	XP_021584686.2
OG0000012	XP_012612339.1, XP_012612340.1	XP_021584687.1
OG0000012	XP_012612331.1, XP_012612330.1, XP_012612337.2, XP_012612338.2	XP_005329233.1, XP_005329232.1
OG0000012	XP_012612329.1, XP_012612328.1	XP_040144109.1
OG0000012	XP_012640032.1	XP_040143977.1, XP_005316390.1
OG0000013	XP_012617200.1	XP_005342199.1, XP_005342184.2, XP_040146941.1, XP_005342200.1
OG0000013	XP_012617214.1	XP_013216899.1
OG0000013	XP_012617202.1	XP_005342933.2, XP_040146943.1, XP_005332219.2
OG0000014	XP_012613512.1, XP_012630562.1	XP_040135461.1
OG0000014	XP_012606858.1	XP_005341812.3
OG0000014	XP_020138796.1	XP_021576777.1
OG0000014	XP_020138972.1, XP_020139176.1, XP_020138795.1, XP_020138970.1	XP_013221367.2
OG0000014	XP_012606829.1	XP_021576771.1
OG0000014	XP_012606836.1	XP_021576769.1
OG0000014	XP_012619024.1	XP_040135701.1
OG0000016	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1
OG0000017	XP_012634096.1	XP_013215216.2
OG0000018	XP_012634299.1, XP_012606772.1	XP_005332630.1
OG0000018	XP_012597510.1	XP_021590092.1
OG0000018	XP_012634029.1	XP_005342614.1
OG0000018	XP_020144790.1	XP_013214667.1
OG0000019	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1	XP_005337209.1, XP_005337210.1, XP_005342124.1, XP_005337214.1
OG0000019	XP_012603616.1	XP_005337215.1, XP_040144992.1
OG0000019	XP_020141498.1	XP_005337230.1
OG0000019	XP_012598338.1	XP_005337206.1, XP_005337211.1, XP_005337213.1, XP_005337212.1
OG0000019	XP_012598339.2, XP_012598340.2	XP_005337207.1
OG0000020	XP_020139091.1	XP_040135762.1, XP_040135767.1, XP_040135766.1, XP_040135768.1
OG0000020	XP_020138771.1	XP_040135765.1, XP_021577041.2
OG0000021	XP_012599127.1	XP_005338882.1, XP_013221669.1
OG0000022	XP_020137854.1	XP_013213574.1
OG0000022	XP_020137845.1	XP_013213552.1
OG0000022	XP_020137846.1	XP_005324326.2
OG0000022	XP_020137843.1	XP_013213585.2
OG0000022	XP_020137851.1	XP_013213586.1
OG0000022	XP_012604363.1	XP_013213555.1
OG0000022	XP_020137847.1	XP_005324347.1
OG0000023	XP_012604975.1	XP_040134939.1, XP_021577018.2
OG0000024	XP_012638762.1	XP_005339563.1, XP_013215405.1, XP_013220287.1
OG0000024	XP_012638763.1	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1
OG0000024	XP_012638746.1, XP_012638745.1	XP_013220297.1, XP_005339612.1
OG0000026	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_012595657.1	XP_005330561.1
OG0000027	XP_012616812.1	XP_005324967.1
OG0000027	XP_012596665.1	XP_040133806.1
OG0000027	XP_012599928.1	XP_040133416.1
OG0000027	XP_012632128.1	XP_005334559.2
OG0000027	XP_012616799.2, XP_012616756.2	XP_005324965.1
OG0000028	XP_012605430.1, XP_012605431.1	XP_013216720.1, XP_013216706.1, XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2, XP_013216708.1, XP_005331676.1, XP_013216707.1
OG0000028	XP_012605321.1	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1
OG0000029	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	XP_012599100.1	XP_005338901.1, XP_005342398.1
OG0000031	XP_020145822.1, XP_020146129.1	XP_005341354.1
OG0000031	XP_012597485.1	XP_005337155.1
OG0000031	XP_012609977.1	XP_005341500.1
OG0000032	XP_020138005.1	XP_021581397.1
OG0000032	XP_020137959.1	XP_013213561.2
OG0000033	XP_012634147.1	XP_021589393.1
OG0000034	XP_020145826.1, XP_012621046.1, XP_012621045.1, XP_020146090.1, XP_012601038.1, XP_012621047.1, XP_020141076.1	XP_005342559.3, XP_040136147.1, XP_040136148.1, XP_005342370.3, XP_013220658.1, XP_005342640.1, XP_005342641.1, XP_005342739.1
OG0000035	XP_012621797.1	XP_005337186.1
OG0000035	XP_012619798.1	XP_005320443.1
OG0000035	XP_012620530.1	XP_005339240.1
OG0000035	XP_012614407.1	XP_005340097.1, XP_005340095.1
OG0000035	XP_012644914.1	XP_005332707.2
OG0000035	XP_012631175.1	XP_005319663.1
OG0000035	XP_020141787.1, XP_012644119.2	XP_013215822.1
OG0000036	XP_012621955.1	XP_005335354.1
OG0000038	XP_012602142.1	XP_005331749.1, XP_040139656.1, XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1
OG0000039	XP_012623865.1	XP_005327562.1
OG0000039	XP_012623864.1	XP_005327565.1
OG0000039	XP_012591805.1	XP_005341100.1
OG0000039	XP_012639934.1	XP_005336936.1
OG0000039	XP_012617155.2	XP_005332148.1
OG0000039	XP_012601634.1	XP_005335464.1, XP_040147867.1, XP_005334919.1
OG0000039	XP_012625877.1	XP_005327158.1
OG0000041	XP_012602144.1	XP_013221691.1, XP_013221690.1
OG0000041	XP_012602117.1	XP_013221696.1, XP_013221689.1, XP_005342624.1
OG0000041	XP_012602149.1, XP_020142260.1	XP_013221697.1, XP_013221693.1, XP_013221692.1
OG0000042	XP_012612185.1	XP_040139669.1, XP_005326898.2, XP_005336026.2
OG0000042	XP_012636069.1	XP_040142712.1
OG0000042	XP_012612152.1, XP_012608504.2, XP_020142421.1	XP_005326905.1, XP_005326904.1, XP_040139671.1, XP_040139672.1, XP_005326901.2, XP_040139674.1
OG0000043	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1	XP_013221030.1
OG0000044	XP_012597462.1, XP_012609563.1	XP_005337152.1
OG0000044	XP_012596792.1	XP_005331192.1
OG0000044	XP_012596789.1	XP_040139588.1
OG0000045	XP_020138865.1	XP_005332936.1
OG0000045	XP_020136755.1	XP_005332932.1
OG0000045	XP_012633220.1	XP_021587077.1
OG0000045	XP_012633193.1, XP_012633184.1	XP_040126471.1
OG0000045	XP_012633169.1	XP_005332934.1
OG0000046	XP_012613755.1	XP_040146919.1
OG0000048	XP_012616684.2, XP_012616670.1	XP_013218855.2
OG0000048	XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1	XP_005338303.3, XP_040134911.1
OG0000049	XP_020141259.1, XP_012611591.2	XP_040130229.1
OG0000049	XP_012611590.1	XP_005343150.2
OG0000049	XP_012626152.1, XP_012626153.1, XP_012626155.1	XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1
OG0000051	XP_012607324.1	XP_005317186.1
OG0000051	XP_012604860.1	XP_013214570.1
OG0000051	XP_012607323.1	XP_005317045.1
OG0000051	XP_012605901.1	XP_040140047.1
OG0000051	XP_012604862.1	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_012605846.1	XP_040137955.1
OG0000052	XP_012642546.1	XP_040137742.1, XP_040134609.1
OG0000053	XP_020140298.1	XP_005323663.1, XP_005323664.1, XP_005323673.1, XP_005323669.1, XP_040143123.1, XP_005323662.1, XP_005323671.1, XP_005323672.1, XP_005323666.1, XP_005323668.1, XP_005323670.1, XP_021581028.1, XP_021580927.1
OG0000054	XP_012604193.1	XP_040143179.1, XP_013221082.1
OG0000054	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1	XP_040145000.1, XP_005339490.2
OG0000055	XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1	XP_005341142.1
OG0000055	XP_012639384.1	XP_005341134.1
OG0000055	XP_012639391.1	XP_040142716.1
OG0000056	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_012604923.1	XP_040123927.1
OG0000057	XP_012604916.1	XP_005326507.1
OG0000057	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1	XP_040124065.1
OG0000058	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000059	XP_012622464.1, XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2	XP_013218997.2, XP_005336829.1, XP_005336830.1, XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1
OG0000060	XP_020141693.1, XP_012609090.2	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	XP_012624360.1, XP_020145028.1, XP_020145025.1	XP_005329807.1
OG0000061	XP_012637430.2	XP_005337051.1
OG0000062	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1	XP_005329195.1
OG0000063	XP_012636552.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	XP_012637254.1	XP_005333004.1
OG0000067	XP_012639834.2	XP_005341499.1
OG0000067	XP_012609986.1	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1
OG0000068	XP_012605327.2, XP_012605334.1, XP_012605328.1	XP_005331711.2
OG0000068	XP_012605324.1	XP_005331611.1
OG0000068	XP_012605325.1	XP_005331712.1
OG0000069	XP_012630800.1	XP_005339955.1
OG0000069	XP_012644303.1	XP_040142748.1, XP_040142751.1
OG0000069	XP_012596989.1	XP_005321271.1
OG0000070	XP_012631602.1	XP_040144576.1
OG0000071	XP_012625032.1, XP_012625033.1	XP_021576711.1
OG0000072	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	XP_012602122.1, XP_012602118.2	XP_013221782.1
OG0000074	XP_012600382.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000074	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1	XP_005323210.1, XP_005323211.1
OG0000075	XP_012637940.1, XP_012637938.1, XP_012637939.1	XP_040144985.1
OG0000075	XP_012595358.1, XP_020140622.1	XP_013221794.2
OG0000075	XP_012615318.1, XP_012615320.1, XP_012615319.1	XP_040142725.1, XP_005338587.1
OG0000075	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1	XP_040142267.1
OG0000076	XP_020137855.1	XP_040129285.1
OG0000076	XP_012604356.2, XP_020137838.1, XP_020137859.1	XP_005324331.2, XP_005324330.2
OG0000076	XP_020137853.1	XP_021581334.1
OG0000077	XP_012638223.1	XP_021589420.2, XP_040124044.1, XP_040150448.1
OG0000077	XP_012610327.2	XP_013213528.1
OG0000077	XP_012609539.2	XP_013219331.1
OG0000077	XP_012619774.1	XP_013213894.1
OG0000078	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	XP_012605444.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1	XP_005341438.1, XP_040147102.1
OG0000081	XP_012618576.1	XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1
OG0000082	XP_012635473.1, XP_012635466.2, XP_020140286.1	XP_021575770.1, XP_040143062.1
OG0000083	XP_012641039.1	XP_013221660.2
OG0000083	XP_012641027.1	XP_021577079.1
OG0000083	XP_012614976.1, XP_012640981.1	XP_005342382.1
OG0000083	XP_012641042.1	XP_040135107.1
OG0000084	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	XP_012617213.1	XP_005342202.3
OG0000085	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1	XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	XP_012605369.1	XP_040140257.1
OG0000086	XP_012619770.1	XP_005323877.1
OG0000086	XP_012632158.1	XP_040145207.1
OG0000086	XP_012625208.1	XP_040124999.1
OG0000087	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1	XP_005323680.1, XP_005323681.1, XP_005323682.1, XP_021581031.1
OG0000088	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1	XP_021581027.1
OG0000089	XP_012602172.1	XP_005342230.1, XP_005342231.1, XP_005342228.1, XP_005342229.1, XP_005342224.1, XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	XP_012599427.1	XP_013221796.1
OG0000092	XP_012643279.1, XP_012643283.1, XP_012643284.1	XP_005342974.1, XP_013221256.1, XP_005341611.1, XP_013221255.1, XP_005341610.1, XP_005341613.1
OG0000092	XP_012643282.1	XP_005341609.1
OG0000092	XP_012602125.2, XP_012643286.1, XP_012602126.1	XP_013221253.1
OG0000092	XP_012643285.2, XP_012602169.2	XP_021577012.1
OG0000093	XP_012614553.1	XP_005339885.1
OG0000095	XP_020138138.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	XP_012611412.1, XP_012611409.1	XP_005318257.1, XP_005318258.1
OG0000096	XP_012629913.1	XP_005323057.1, XP_013213016.1
OG0000096	XP_012623893.1	XP_021577205.1, XP_005335225.1, XP_005342091.1
OG0000099	XP_012610672.2	XP_040131356.1, XP_040131136.1, XP_040131134.1
OG0000099	XP_012610085.1	XP_005342780.2
OG0000099	XP_012610084.1	XP_005320686.1
OG0000099	XP_012610556.2	XP_005320610.2
OG0000100	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1	XP_040143703.1, XP_005339292.1, XP_040143704.1, XP_040143707.1, XP_040143706.1, XP_040143705.1
OG0000101	XP_012622873.1	XP_005340748.1, XP_040139417.1, XP_005340749.1
OG0000102	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2	XP_040148272.1
OG0000103	XP_020139760.1, XP_020139759.1	XP_005320375.1, XP_005320377.1, XP_005320379.1, XP_005320378.1
OG0000105	XP_012595109.1	XP_021590157.1, XP_021590155.1, XP_021590159.1, XP_040141046.1, XP_040141047.1, XP_021590154.1, XP_021590160.1
OG0000106	XP_012597004.1	XP_021577903.2
OG0000106	XP_012619690.1	XP_040133154.1, XP_040133157.1, XP_040133158.1, XP_040133159.1, XP_005323910.1, XP_040133156.1
OG0000106	XP_012637795.1	XP_013215938.3
OG0000106	XP_012614334.1	XP_005328552.2
OG0000107	XP_012605312.1	XP_005331737.1
OG0000107	XP_012605310.1	XP_013216748.1, XP_013216747.1, XP_013216746.1
OG0000108	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1	XP_013220342.1, XP_005339688.1
OG0000109	XP_012618633.1	XP_040142050.1
OG0000109	XP_012625632.2	XP_005326324.1
OG0000109	XP_012625635.1	XP_021582691.1
OG0000109	XP_012625631.1	XP_005326325.1
OG0000109	XP_012625637.2	XP_005326411.1
OG0000110	XP_012632579.1, XP_012632570.1	XP_040125245.1, XP_021586993.1
OG0000110	XP_020136742.1	XP_040125246.1, XP_021587004.1
OG0000110	XP_012632592.1	XP_040126469.1, XP_040125244.1
OG0000111	XP_012616382.1, XP_012616380.2	XP_005340441.1, XP_005340443.1, XP_013221755.1
OG0000113	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1	XP_005328910.1, XP_040139681.1, XP_040139680.1, XP_021580913.1, XP_021580912.1, XP_021580914.1, XP_005323467.1, XP_021577138.1
OG0000114	XP_012607527.1	XP_013221764.1, XP_005342106.1
OG0000114	XP_012607530.1	XP_013221763.1
OG0000114	XP_012607528.1	XP_021577318.1, XP_021577316.1
OG0000115	XP_012614846.1	XP_005324954.1
OG0000115	XP_012634045.1, XP_012634041.1, XP_012634042.1	XP_005341336.2
OG0000116	XP_012624660.1	XP_005325798.1, XP_005325799.1, XP_040148971.1
OG0000116	XP_012618286.1	XP_005334386.1
OG0000118	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1	XP_040147723.1, XP_040147721.1, XP_040147720.1, XP_040147726.1, XP_040147724.1, XP_040147722.1, XP_040147727.1, XP_013211422.1, XP_040147725.1, XP_005319199.1
OG0000119	XP_012634378.1, XP_012634381.1, XP_012634382.1, XP_012634380.1, XP_012634379.1	XP_005334458.1, XP_005334459.1, XP_040127708.1, XP_040127710.1, XP_040127707.1, XP_040127706.1
OG0000120	XP_012614299.1	XP_040134537.1
OG0000121	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1	XP_013215795.1
OG0000122	XP_012630490.1	XP_005330655.1
OG0000122	XP_012615924.1	XP_005338407.1
OG0000123	XP_012634032.1, XP_012634752.1, XP_012634782.1	XP_005337464.2, XP_005337344.1, XP_005337442.1, XP_005337346.1
OG0000124	XP_012637921.1	XP_040142828.1
OG0000124	XP_020140586.1	XP_013218452.2
OG0000124	XP_020140585.1	XP_005335592.1
OG0000124	XP_012629347.2	XP_013218443.1
OG0000125	XP_012621238.1	XP_005321900.1
OG0000125	XP_012621506.1, XP_012621241.1, XP_012621239.2	XP_005321898.1
OG0000126	XP_020146130.1, XP_020142440.1, XP_020142286.1	XP_005342962.3
OG0000126	XP_012593148.1, XP_020142439.1	XP_040139693.1
OG0000127	XP_012621712.1, XP_012621715.1, XP_012621713.1, XP_012621714.1	XP_040148941.1, XP_005340848.1
OG0000128	XP_012596845.1	XP_005337092.1
OG0000128	XP_012596812.1	XP_005337090.1
