Orthogroup	Microcebus_murinus	Rattus_norvegicus
OG0000016	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1
OG0000017	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1	NP_999990.1, NP_001006598.1, NP_001403703.1, NP_775455.1, NP_999987.1, NP_999989.1, NP_001000494.1, XP_038942452.1, NP_001000980.1, NP_001000529.2, NP_999988.1, NP_001000858.1, NP_999995.1, NP_001000979.1, NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1
OG0000017	XP_012634096.1	NP_001000038.1, NP_001001098.1
OG0000017	XP_012627716.1	NP_001000387.1, NP_064491.1
OG0000018	XP_012606772.1	NP_001389154.1
OG0000018	XP_012597510.1	NP_001395691.1
OG0000018	XP_012634029.1	NP_001103112.1
OG0000018	XP_020144790.1, XP_012612384.1, XP_012603288.1	XP_063118698.1
OG0000019	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1	NP_001000602.1, NP_001000580.1, XP_063141268.1, NP_001000915.1, NP_001000377.2, NP_001000606.1, NP_001000917.1, NP_001000375.1, NP_001000603.1
OG0000019	XP_012603616.1	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1
OG0000019	XP_020141498.1	XP_017447447.1, NP_001000607.1
OG0000019	XP_012598338.1	NP_001000604.1
OG0000019	XP_012598339.2, XP_012598340.2	NP_001000601.1, NP_001000376.1
OG0000020	XP_020139091.1	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1
OG0000020	XP_020138771.1	NP_001070261.1, XP_008757210.1
OG0000020	XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1	NP_001406335.1, XP_063139091.1
OG0000021	XP_012599127.1	NP_001000557.1
OG0000022	XP_020137854.1	XP_008770293.3
OG0000022	XP_020137845.1	NP_001032230.1
OG0000022	XP_020137846.1	NP_001032414.1
OG0000022	XP_020137849.1	XP_038953329.1
OG0000022	XP_020137843.1	NP_001014773.1
OG0000022	XP_020137850.1	NP_001032235.1
OG0000022	XP_020137851.1	NP_001032212.1
OG0000022	XP_012604363.1	NP_001032214.1
OG0000022	XP_020137848.1	NP_001032217.1
OG0000022	XP_020137847.1	NP_001032231.1
OG0000023	XP_012604975.1	XP_017445590.1, NP_001388743.1
OG0000023	XP_020139169.1, XP_020139171.1, XP_020139167.1, XP_020139170.1, XP_020139168.1, XP_020138882.1, XP_020138880.1, XP_020138881.1, XP_012609640.2, XP_020139172.1, XP_012609634.1, XP_020138907.1, XP_012609656.1, XP_012611031.2, XP_012609594.1	XP_056841157.1
OG0000024	XP_012638762.1	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1, NP_001000800.1, NP_001000801.1, XP_063122016.1
OG0000024	XP_012638763.1	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2, NP_001000792.1, XP_017451293.1, NP_001001087.2, NP_001000471.1, NP_001000596.1
OG0000024	XP_012638746.1, XP_012638745.1	NP_001000599.1, XP_017451271.1, NP_001000473.1
OG0000026	XP_012644305.2, XP_012644304.2	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1
OG0000026	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1	XP_006257363.1, NP_001102791.1
OG0000027	XP_012595657.1	XP_063123300.1
OG0000027	XP_012616812.1	NP_001011995.1
OG0000027	XP_012603184.1	NP_001019510.1
OG0000027	XP_012596665.1	NP_001099588.1, XP_063132306.1
OG0000027	XP_012632128.1	NP_001019507.1
OG0000027	XP_012616799.2	NP_071634.1
OG0000027	XP_012616756.2	NP_001037735.1
OG0000028	XP_012605430.1, XP_012605431.1	XP_063126169.1, NP_001000756.1, NP_001001019.1, XP_003749122.1, NP_001000754.1, NP_001000758.1, XP_038952475.1, NP_001000556.1, NP_001396078.1
OG0000028	XP_012605321.1	NP_001000252.1, NP_001396075.1
OG0000028	XP_012605437.1	NP_001000255.1
OG0000029	XP_012598512.1	NP_001000725.1, NP_001001009.1, NP_001000049.1
OG0000029	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1
OG0000031	XP_012599100.1	NP_001001110.1
OG0000031	XP_020145822.1, XP_020146129.1	NP_001001097.1
OG0000031	XP_012597485.1	NP_068632.1
OG0000032	XP_020137954.1	NP_446385.1
OG0000033	XP_012634183.1	XP_038942584.1, NP_001192277.1
OG0000033	XP_012634147.1	NP_001161136.1
OG0000033	XP_012634191.1	XP_017452644.1, NP_001020282.1
OG0000034	XP_020141076.1	XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1, NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2, NP_001009513.1, NP_001009521.1, NP_001009520.1, NP_001009518.2
OG0000035	XP_012621797.1	NP_062056.1
OG0000035	XP_012619799.1, XP_012619798.1	NP_062085.1
OG0000035	XP_012620530.1	NP_112266.1
OG0000035	XP_012614407.1	NP_112406.1
OG0000035	XP_012644914.1	NP_001120921.1
OG0000035	XP_012631175.1	NP_001099879.1
OG0000035	XP_020141787.1, XP_012644119.2	NP_037025.1, XP_006236790.1
OG0000036	XP_012623845.1	NP_114027.2, XP_017445274.1
OG0000036	XP_012621955.1	NP_612521.2, XP_038946459.1
OG0000038	XP_012602142.1	NP_001000932.1, XP_038961558.1, NP_001000677.1, NP_001000931.1, NP_001000682.1, XP_063140372.1
OG0000039	XP_012623865.1	NP_001013908.2
OG0000039	XP_012623864.1	NP_001102589.1
OG0000039	XP_012591805.1	NP_775125.1
OG0000039	XP_012639934.1	NP_954525.2
OG0000039	XP_012617155.2	NP_543158.1
OG0000039	XP_012601634.1	NP_640347.2
OG0000039	XP_012625877.1	XP_003749686.1
OG0000041	XP_012602144.1	NP_001000318.1, NP_001000315.1
OG0000041	XP_012602149.1, XP_020142260.1	NP_001000312.1
OG0000042	XP_012612185.1	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1
OG0000042	XP_012612152.1, XP_012608504.2, XP_020142421.1	XP_038957465.1, NP_665730.2, NP_750845.3
OG0000043	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1
OG0000044	XP_012597462.1, XP_012609563.1	NP_001395688.1
OG0000044	XP_012596789.1	NP_073177.1
OG0000045	XP_020138865.1	NP_036736.1
OG0000045	XP_020136755.1	NP_001414391.1
OG0000045	XP_012633220.1	NP_001093955.1
OG0000045	XP_012633193.1, XP_012633184.1	NP_001128629.1, XP_038942828.1
OG0000045	XP_012633169.1	NP_062198.1
OG0000048	XP_012616684.2, XP_012616670.1	NP_775461.1
OG0000048	XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1	NP_001029032.1, XP_063131131.1
OG0000049	XP_020141259.1, XP_012611591.2	XP_008763105.3
OG0000051	XP_012607324.1	NP_001128481.1
OG0000051	XP_012604860.1	NP_001400917.1, XP_038939825.1
OG0000051	XP_012607323.1	NP_001414185.1
OG0000051	XP_012605901.1	NP_001414189.1
OG0000051	XP_012604862.1	NP_001008333.1
OG0000051	XP_012605846.1	XP_006257375.1, NP_001413925.1
OG0000052	XP_020143347.1	XP_038935180.1, NP_001013193.1, NP_001264288.1, XP_008763864.1, NP_001020237.1, XP_006242004.3, XP_006241996.1, NP_001128273.1, NP_001413816.1
OG0000053	XP_020140298.1	XP_006248166.1, XP_006248156.1, XP_038944664.1, XP_063127036.1, XP_006248159.1, XP_008766829.1, XP_006248165.2, XP_038944660.1, XP_063126917.1, XP_006248167.1, XP_038944665.1, XP_063127032.1, XP_006248182.1, XP_063127034.1, XP_006248158.1, XP_008766831.1, XP_006248154.1, XP_006248160.1, XP_063127033.1, XP_063127035.1
OG0000054	XP_012604193.1	NP_058775.1
OG0000055	XP_012639383.1, XP_012599623.2	NP_001000216.1
OG0000055	XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1	NP_001000209.1, NP_001000211.1
OG0000055	XP_012639384.1	NP_001000213.1, NP_001395676.1, NP_001000734.1, NP_001000946.2
OG0000055	XP_012639391.1	NP_001396077.1
OG0000056	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1	NP_001000347.1, NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1
OG0000057	XP_012604923.1	XP_038939642.1, NP_001012133.1
OG0000057	XP_012604916.1	NP_001029309.1, XP_038939329.1
OG0000057	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1	XP_038939826.1
OG0000058	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1	XP_038936592.1, NP_446149.1
OG0000059	XP_012622464.1, XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1, NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1, NP_001000050.1, NP_001000726.1, NP_001000051.1
OG0000060	XP_020141693.1, XP_012609090.2	NP_001013176.1, XP_017446356.1
OG0000061	XP_012624360.1, XP_020145028.1, XP_020145025.1	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1
OG0000061	XP_012637430.2	XP_063139535.1, NP_001100030.1
OG0000062	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1	NP_036858.1, XP_038951279.1
OG0000063	XP_012636552.1	XP_017449802.1, NP_001102829.1
OG0000064	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2
OG0000065	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1
OG0000066	XP_012637254.1	XP_063126203.1, XP_038959284.1, XP_063123871.1, XP_038969229.1, XP_038959993.1, XP_063122447.1, XP_038957233.1, NP_001395929.1, XP_063141356.1, XP_063142937.1, NP_001395925.1, XP_063136502.1, NP_445782.2, XP_063128738.1, XP_063124197.1, XP_063123883.1, XP_063138904.1, XP_063138751.1, XP_038951085.1, XP_063136506.1, NP_001395927.1, NP_001395926.1, NP_001395924.1, XP_063122472.1, XP_063138762.1
OG0000067	XP_012639834.2	NP_001000088.1
OG0000067	XP_012609986.1	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1
OG0000068	XP_012605324.1	NP_001000759.1
OG0000069	XP_012630800.1	XP_038949265.1, NP_001100742.1
OG0000069	XP_012644303.1	NP_001101049.1
OG0000069	XP_012596989.1	NP_570833.1
OG0000070	XP_012625241.1	NP_001289146.1, XP_063143296.1
OG0000071	XP_012625032.1, XP_012625033.1	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1
OG0000072	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1	NP_001025209.1, XP_006231459.1
OG0000073	XP_012602122.1, XP_012602118.2	NP_001001377.1, NP_001001053.1
OG0000074	XP_012600382.1	XP_006229920.1, NP_001099753.1
OG0000074	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1	NP_598211.2, XP_063129363.1
OG0000075	XP_012637940.1, XP_012637938.1, XP_012637939.1	XP_038955607.1, NP_001013984.1
OG0000075	XP_012595358.1, XP_020140622.1, XP_012615318.1, XP_012615320.1, XP_012615319.1	NP_001395765.1
OG0000075	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1	XP_038956344.1, XP_038956348.1, XP_038956345.1, XP_017457901.1, XP_063136426.1, XP_063136428.1, XP_063136427.1, XP_063136425.1, XP_038956343.1, XP_017457902.1, XP_038956347.1
OG0000076	XP_020137855.1	NP_001032236.1
OG0000077	XP_012638223.1	XP_038947287.1, NP_001104765.1, XP_038943607.1, XP_063128850.1, XP_063140201.1, NP_937765.1, NP_001104764.1
OG0000077	XP_012619774.1	NP_001386203.1
OG0000078	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1	NP_058998.2, XP_006241494.1
OG0000079	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1	XP_006246244.1, NP_110488.1
OG0000080	XP_012605444.1	XP_038943840.1, NP_001102633.1, XP_006231188.3
OG0000081	XP_012618576.1	XP_006239408.1
OG0000082	XP_012635473.1, XP_012635466.2, XP_020140286.1	NP_001103063.1, NP_001103065.1, XP_063135601.1
OG0000084	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1	XP_006232040.1, NP_001414786.1
OG0000085	XP_012617213.1	NP_001000872.1
OG0000085	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1	NP_001000862.1, NP_001000983.1, NP_001001016.1, NP_001000869.1
OG0000086	XP_012605369.1	XP_038961655.1, NP_001019540.1
OG0000086	XP_012619770.1	NP_001129170.1, XP_038963272.1
OG0000086	XP_012632158.1	NP_001413918.1, XP_008767150.1
OG0000086	XP_012625208.1	NP_001101756.2
OG0000087	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1, NP_001395798.1, XP_002727896.1
OG0000088	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1	XP_006248190.1, NP_579855.1
OG0000089	XP_012602172.1	NP_001000331.1, NP_001000332.1, NP_001000661.1, NP_001000659.1, NP_001000568.1, NP_001000326.1, NP_001000328.1, NP_001000654.1, NP_001001056.1, NP_001000327.1, NP_001000664.1, NP_001000658.1
OG0000090	XP_012599427.1	NP_689448.2, XP_063133896.1
OG0000092	XP_012643279.1, XP_012643283.1, XP_012643284.1	NP_001000335.1, NP_001000336.1, NP_001000926.1, NP_001000337.1
OG0000092	XP_012643282.1	XP_006234556.1
OG0000092	XP_012643281.1	XP_063141273.1
OG0000093	XP_012614553.1	NP_001007148.1, XP_006249003.1
OG0000095	XP_020138138.1	NP_001119556.1
OG0000095	XP_012611412.1, XP_012611409.1	NP_620181.1
OG0000096	XP_012629913.1	NP_001099418.1
OG0000096	XP_012623893.1	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1
OG0000099	XP_012610085.1	XP_063138868.1, XP_063138928.1, XP_017446862.1
OG0000099	XP_012610556.2	NP_037148.3, XP_006235014.1
OG0000100	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1	NP_112249.2, XP_006239579.1
OG0000100	XP_012614771.1	XP_038945727.1, NP_112299.1
OG0000101	XP_012622873.1, XP_012622872.1	NP_001014041.1, XP_006257281.1
OG0000102	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2	NP_775417.1, XP_003751392.1, NP_001178605.1
OG0000103	XP_020139760.1, XP_020139759.1	NP_001094046.1, XP_038951702.1, NP_001129216.1, NP_001163813.1, XP_006254252.1, NP_001014262.3, XP_063132767.1, NP_001157868.1, NP_612519.1, NP_612556.1, NP_001028869.1, XP_006254250.1, XP_006254245.1, NP_001013075.1
OG0000104	XP_012604689.1	NP_001292190.1, XP_006233486.1, XP_038959792.1, NP_001396037.1
OG0000105	XP_012595109.1	NP_001380791.1, XP_063121754.1
OG0000106	XP_012597004.1	XP_006251278.1
OG0000106	XP_012619690.1	NP_036737.1, XP_038953516.1
OG0000106	XP_012637795.1	NP_001030329.2
OG0000106	XP_012614334.1	XP_038945819.1
OG0000107	XP_012605312.1	NP_001000281.1, XP_063140374.1, NP_001000688.1
OG0000107	XP_012605310.1	NP_001000282.1, NP_001000284.1, NP_001000283.1
OG0000108	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1	XP_038938891.1, NP_476489.1
OG0000109	XP_012625632.2	NP_001000415.1
OG0000109	XP_012625635.1	NP_001000581.1
OG0000109	XP_012625631.1	NP_001000414.1
OG0000109	XP_012625636.2	NP_001000897.1
OG0000110	XP_012632579.1, XP_012632570.1	XP_006246738.1, NP_058885.1
OG0000110	XP_020136742.1	NP_036635.1, XP_006246641.1
OG0000110	XP_012632592.1	NP_071788.2, XP_008766090.1
OG0000111	XP_012616382.1, XP_012616380.2	XP_038953764.1, XP_038953777.1, XP_038953753.1, XP_038952348.1, XP_038952346.2
OG0000113	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1	XP_063136324.1, XP_017446718.1, NP_001395797.1, NP_001388119.1, XP_038955979.1, NP_001316085.1
OG0000114	XP_012607527.1	NP_001103345.1
OG0000114	XP_012607530.1	NP_149086.1, XP_063122697.1
OG0000114	XP_012606894.1, XP_012607531.1	XP_038940147.1, NP_001103027.1, NP_775411.1
OG0000114	XP_012607532.1	NP_001074405.1
OG0000114	XP_012607528.1	NP_264077.1
OG0000115	XP_012614846.1	XP_017450124.1
OG0000115	XP_012634045.1, XP_012634041.1, XP_012634042.1	NP_001400966.1
OG0000116	XP_012624660.1	NP_112516.1
