Orthogroup	Microcebus_murinus	Loxodonta_africana
OG0000007	XP_020138350.1, XP_020138351.1, XP_020138348.1, XP_020138352.1, XP_020138349.1, XP_020138346.1, XP_020138347.1, XP_020138345.1, XP_012618410.1, XP_012618411.1, XP_020138403.1, XP_020138425.1	XP_010584713.1, XP_003406459.1, XP_003406456.1, XP_003406457.1, XP_023398909.1, XP_023398910.1, XP_023399797.1, XP_003406455.1, XP_003406479.1, XP_023398911.1, XP_003406460.1, XP_003406462.1, XP_003406461.1, XP_003406458.1, XP_010585307.2, XP_023399243.1
OG0000008	XP_012624356.1	XP_010586028.2
OG0000008	XP_012615774.1, XP_012612641.1	XP_023396493.1
OG0000008	XP_012619942.1, XP_020140831.1	XP_023400813.1
OG0000008	XP_012603709.1	XP_010599893.1
OG0000008	XP_012614837.1	XP_023411607.1
OG0000008	XP_020137053.1	XP_010594572.1
OG0000008	XP_012631803.2, XP_012631807.1, XP_012631809.1	XP_023398361.1
OG0000008	XP_020140578.1	XP_023413682.1
OG0000008	XP_020138106.1	XP_010595066.1
OG0000009	XP_020138303.1, XP_012592719.2, XP_012619031.1, XP_012592717.1, XP_020138306.1, XP_012619032.1, XP_020142922.1, XP_020138304.1	XP_023398360.1, XP_023396632.1, XP_023397413.1, XP_010599502.2, XP_023396647.1, XP_023398346.1, XP_023396648.1, XP_010599487.1
OG0000010	XP_012643294.1	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1
OG0000010	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1
OG0000011	XP_012604413.1	XP_010589614.1
OG0000011	XP_012604415.2	XP_003404600.1
OG0000011	XP_012604414.2	XP_003404609.1
OG0000011	XP_012604418.1	XP_003404608.1
OG0000011	XP_012604417.2	XP_003404601.1
OG0000011	XP_012604410.1	XP_003404607.1
OG0000011	XP_012604420.1	XP_003404606.1
OG0000011	XP_012604421.1	XP_023405595.1
OG0000011	XP_012604412.1	XP_003404603.1
OG0000011	XP_012604416.2	XP_023405607.1
OG0000011	XP_020137935.1	XP_003404858.2
OG0000011	XP_012604408.1	XP_010589642.2
OG0000012	XP_012612333.1	XP_010594127.1
OG0000012	XP_012612334.1, XP_012612335.1, XP_012609246.2, XP_012612318.1	XP_023410900.1, XP_003416054.1
OG0000012	XP_012612339.1, XP_012612340.1	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1
OG0000012	XP_012612331.1, XP_012612330.1, XP_012612337.2, XP_012612338.2	XP_003416100.1
OG0000012	XP_012612329.1, XP_012612328.1	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1
OG0000013	XP_012617200.1	XP_003413463.1, XP_003413462.2, XP_003413461.2, XP_003423702.1, XP_023408238.1, XP_003423701.2
OG0000013	XP_012617201.1	XP_003423616.2, XP_023398096.1, XP_003423491.1, XP_003423716.2, XP_003423082.3, XP_003423081.3, XP_003423080.2, XP_010600893.1, XP_003423501.1, XP_003423084.3, XP_023398154.1, XP_023398099.1, XP_003423406.2, XP_010600648.1, XP_003423750.2, XP_003423763.1, XP_023398236.1, XP_003423646.1, XP_010600645.1, XP_010600765.1, XP_023398155.1, XP_003423635.1, XP_023398157.1, XP_023398098.1, XP_023398235.1, XP_010600767.1, XP_010600647.1, XP_023398156.1
OG0000013	XP_012617202.1	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1
OG0000014	XP_012606858.1	XP_010584944.1, XP_023399387.1
OG0000014	XP_020138796.1	XP_023399372.1
OG0000014	XP_012596843.1	XP_023399410.1, XP_023399411.1, XP_010584956.1
OG0000014	XP_012619029.1	XP_023399401.1
OG0000014	XP_012606836.1, XP_012596828.1	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1
OG0000014	XP_012606848.2	XP_023399398.1
OG0000014	XP_020139031.1, XP_012619024.1	XP_023399405.1
OG0000016	XP_012625267.1, XP_020144780.1, XP_012625264.2, XP_012625260.1	XP_023401131.1, XP_023401102.1, XP_023398452.1, XP_023401103.1, XP_023398430.1, XP_003407701.1, XP_003407380.1
OG0000016	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1
OG0000017	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1
OG0000017	XP_012614266.1	XP_003422523.1
OG0000017	XP_012597482.1	XP_003421166.1, XP_003421167.1, XP_003421171.2, XP_003423476.1, XP_003423477.1, XP_023396033.1, XP_003423478.1
OG0000018	XP_012606772.1	XP_010595256.1
OG0000018	XP_012597510.1	XP_023411474.1, XP_023411484.1, XP_023411483.1
OG0000018	XP_012634029.1	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1
OG0000019	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1	XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1
OG0000019	XP_012603616.1	XP_003418816.1, XP_003423153.1
OG0000019	XP_020141498.1	XP_003423152.2
OG0000019	XP_012598338.1	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1
OG0000019	XP_012598339.2, XP_012598340.2	XP_003423150.2
OG0000020	XP_020139091.1	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1
OG0000020	XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1	XP_023399870.1
OG0000021	XP_012607736.1	XP_003421251.1, XP_023396125.1
OG0000021	XP_012599127.1	XP_010599494.1
OG0000022	XP_020137854.1	XP_023405713.1
OG0000022	XP_020137845.1	XP_023405791.1
OG0000022	XP_020137846.1	XP_023405679.1
OG0000022	XP_020137849.1	XP_023405693.1
OG0000022	XP_020137843.1	XP_023405753.1
OG0000022	XP_020137850.1	XP_023405676.1
OG0000022	XP_020137851.1	XP_023405683.1
OG0000022	XP_012604363.1	XP_023405761.1
OG0000022	XP_020137848.1	XP_023408412.1
OG0000022	XP_020137847.1	XP_023405686.1
OG0000023	XP_012641005.1, XP_012641006.1, XP_012641001.1	XP_023399116.1
OG0000024	XP_012638762.1	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3
OG0000024	XP_012638763.1	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1
OG0000024	XP_012638746.1, XP_012638745.1	XP_003422135.2, XP_003422117.2, XP_010599718.1
OG0000026	XP_012644305.2, XP_012644304.2	XP_003421750.1
OG0000026	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1	XP_010593038.2
OG0000027	XP_012595657.1	XP_023397082.1
OG0000027	XP_012616812.1	XP_010594690.1
OG0000027	XP_012603184.1	XP_010589075.1
OG0000027	XP_012596665.1	XP_023404513.1
OG0000027	XP_012632128.1	XP_010597190.2
OG0000027	XP_012616799.2	XP_010594676.1
OG0000027	XP_012616756.2	XP_010594685.1
OG0000028	XP_012605321.1	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2
OG0000028	XP_012605437.1	XP_003421462.1
OG0000029	XP_012598557.1	XP_003418984.1, XP_003418985.1, XP_003419000.1
OG0000029	XP_012598512.1	XP_003410244.2, XP_010588697.2
OG0000029	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1
OG0000031	XP_012599100.1	XP_003421878.1
OG0000031	XP_020145822.1, XP_020146129.1	XP_023396098.1, XP_023397619.1
OG0000031	XP_012597485.1	XP_010598978.2, XP_010598992.1
OG0000031	XP_012597472.1	XP_003421186.3
OG0000031	XP_012607743.1	XP_023396127.1, XP_010599050.1, XP_023397571.1, XP_023396126.1
OG0000032	XP_020138005.1	XP_010592223.1
OG0000032	XP_020137959.1, XP_020137958.1	XP_003404850.1
OG0000032	XP_020137954.1	XP_010589555.1
OG0000033	XP_020136664.1, XP_012634183.1	XP_023412690.1, XP_023412695.1, XP_023412688.1
OG0000033	XP_012634147.1, XP_012634149.1, XP_020136669.1, XP_012634189.2, XP_012634186.1	XP_023412689.1, XP_023412699.1
OG0000033	XP_012634191.1	XP_023412685.1
OG0000034	XP_020145826.1, XP_012621046.1, XP_012621045.1, XP_020146090.1, XP_012601038.1, XP_012621047.1, XP_020141076.1	XP_023396128.1
OG0000035	XP_012621797.1	XP_003418690.1
OG0000035	XP_012619798.1	XP_003415269.1
OG0000035	XP_012620530.1	XP_003409293.1
OG0000035	XP_012614407.1	XP_010594571.1
OG0000035	XP_012644914.1	XP_010595197.1
OG0000035	XP_012631175.1	XP_003408097.1
OG0000035	XP_020141787.1, XP_012644119.2	XP_003413731.1
OG0000036	XP_012623845.1	XP_003409026.2
OG0000036	XP_012621879.2, XP_012621903.1, XP_012621933.1, XP_012621834.1, XP_020136186.1, XP_012621864.2	XP_023402679.1
OG0000036	XP_012621955.1	XP_003409268.2, XP_003409269.2
OG0000038	XP_012602142.1	XP_023398170.1, XP_023397817.1, XP_003423248.1, XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1, XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1, XP_003423249.1, XP_003422722.1, XP_003422728.1, XP_023398043.1, XP_023398164.1, XP_003423034.1, XP_003422726.1, XP_003423206.1, XP_003422914.1, XP_003422729.1, XP_003422725.1, XP_003422723.1, XP_023398090.1, XP_023398094.1, XP_023397812.1, XP_010600606.1, XP_010600410.2, XP_010600607.2, XP_003422733.1, XP_003423130.1, XP_023397908.1, XP_003422720.1, XP_023397909.1, XP_010600639.2, XP_023398171.1, XP_023398516.1, XP_003423127.1, XP_023398312.1
OG0000039	XP_012623864.1	XP_003417907.1
OG0000039	XP_012601634.1	XP_023397432.1, XP_010600937.1
OG0000039	XP_012625877.1	XP_003420000.1
OG0000040	XP_012620127.1	XP_003405455.1, XP_003405457.1
OG0000041	XP_012602144.1	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1
OG0000041	XP_012602149.1, XP_020142260.1	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1
OG0000042	XP_012612185.1	XP_010590492.2
OG0000043	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1
OG0000044	XP_012597462.1, XP_012609563.1	XP_003416454.1
OG0000044	XP_012596792.1, XP_012596793.1	XP_023411493.1, XP_023411495.1
OG0000044	XP_012596789.1	XP_023397189.1
OG0000045	XP_020138865.1	XP_023412232.1
OG0000045	XP_020136755.1	XP_003416837.1
OG0000045	XP_012633220.1	XP_010594913.2
OG0000045	XP_012633193.1, XP_012633184.1	XP_003416978.1, XP_003416977.1
OG0000045	XP_012633169.1	XP_010594915.1
OG0000046	XP_012613821.1, XP_012613824.2, XP_020140109.1, XP_012613823.1, XP_012613814.1, XP_012613819.1, XP_012613809.1	XP_003413337.1, XP_003413338.1, XP_023408040.1
OG0000048	XP_020138897.1	XP_010584712.1
OG0000049	XP_020141259.1, XP_012611591.2	XP_010587012.1
OG0000049	XP_012611590.1	XP_023402084.1
OG0000049	XP_012626152.1, XP_012626153.1, XP_012626155.1	XP_010593953.1
OG0000051	XP_012607324.1	XP_010592337.1
OG0000051	XP_012604860.1	XP_010595976.1
OG0000051	XP_012607323.1	XP_023408848.1
OG0000051	XP_012605901.1	XP_010593035.1
OG0000051	XP_012604862.1	XP_010595977.1
OG0000051	XP_012605846.1	XP_010593034.1
OG0000052	XP_012642546.1	XP_023415736.1
OG0000052	XP_020143347.1	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1
OG0000053	XP_020140298.1	XP_023403949.1, XP_023403950.1
OG0000054	XP_012604193.1	NP_001267816.1
OG0000054	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1	XP_003415004.1
OG0000055	XP_012639383.1, XP_012599623.2	XP_003412241.1
OG0000055	XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1	XP_010590623.2, XP_003412238.2, XP_003412240.1
OG0000055	XP_012639384.1	XP_003412088.1, XP_003412237.1, XP_023406386.1
OG0000055	XP_012639391.1	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1
OG0000056	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1
OG0000057	XP_012604923.1	XP_023413548.1
OG0000057	XP_012604916.1	XP_023413479.1, XP_023413547.1
OG0000057	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1	XP_023413538.1
OG0000058	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1
OG0000060	XP_020141693.1, XP_012609090.2	XP_010599816.1, XP_010599817.1
OG0000061	XP_012637430.2	XP_023397963.1
OG0000062	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1
OG0000063	XP_012636552.1	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1
OG0000064	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1
OG0000065	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1	XP_010588064.1, XP_003410116.1
OG0000066	XP_012637254.1	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1
OG0000067	XP_012639834.2	XP_010599789.1, XP_003423726.1
OG0000067	XP_012609986.1	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1
OG0000068	XP_012605327.2, XP_012605334.1, XP_012605328.1	XP_003422804.1
OG0000068	XP_012605324.1	XP_023397700.1
OG0000068	XP_012605325.1	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1
OG0000069	XP_012630800.1	XP_003412414.1
OG0000069	XP_012644303.1	XP_010599078.1
OG0000069	XP_012596989.1	XP_010587034.1
OG0000070	XP_012625241.1	XP_010586192.1
OG0000070	XP_012631602.1	XP_010589597.1
OG0000071	XP_012625032.1, XP_012625033.1	XP_010600554.1, XP_003423115.1, XP_010600557.1
OG0000072	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1
OG0000073	XP_012602122.1, XP_012602118.2	XP_003422997.2, XP_003422682.2, XP_023398158.1
OG0000074	XP_012600296.1	XP_010597906.1, XP_023394765.1, XP_003420109.1, XP_023394764.1
OG0000074	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1	XP_003420108.1
OG0000075	XP_012637940.1, XP_012637938.1, XP_012637939.1	XP_023394872.1, XP_010598359.2
OG0000075	XP_012595358.1, XP_020140622.1, XP_012615318.1, XP_012615320.1, XP_012615319.1	XP_003421271.1
OG0000075	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1	XP_003420215.1
OG0000076	XP_020137855.1	XP_023405724.1
OG0000076	XP_012604356.2, XP_020137838.1, XP_020137859.1	XP_010589665.2, XP_023405722.1
OG0000076	XP_020137858.1	XP_023405697.1
OG0000076	XP_020137853.1	XP_023405771.1
OG0000077	XP_012638223.1	XP_023398818.1
OG0000077	XP_012619774.1	XP_010595592.1, XP_023412867.1
OG0000078	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1
OG0000079	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1
OG0000080	XP_012605323.1	XP_003422818.1
OG0000080	XP_012605444.1	XP_023397707.1, XP_003422816.1, XP_023397706.1
OG0000081	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1, XP_012618576.1	XP_010591698.1, XP_023397292.1, XP_023398458.1
OG0000082	XP_012635473.1, XP_012635466.2, XP_020140286.1	XP_023414920.1, XP_023414942.1, XP_003419087.1
OG0000083	XP_012641029.1	XP_023399155.1
OG0000083	XP_012641039.1	XP_010584862.2
OG0000083	XP_012641027.1	XP_010584861.2
OG0000083	XP_012614976.1, XP_012640981.1	XP_010584866.1
OG0000083	XP_012641042.1	XP_010584887.1, XP_010584888.1, XP_023399201.1, XP_023399158.1, XP_023399175.1, XP_010584876.1, XP_023399176.1, XP_010584882.1, XP_023399156.1, XP_023399208.1
OG0000084	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1
OG0000085	XP_012617213.1	XP_003413458.2, XP_003422953.2
