Orthogroup	Microcebus_murinus	Myotis_lucifugus
OG0000006	XP_020140814.1	XP_023604080.1, XP_014306381.1, XP_014307657.2, XP_014305168.1, XP_023604957.1, XP_023604864.1
OG0000008	XP_012624356.1	XP_023609052.1
OG0000008	XP_012612641.1	XP_023608739.1
OG0000008	XP_012619942.1, XP_020140831.1	XP_006090633.1
OG0000008	XP_012614837.1	XP_014318909.1
OG0000008	XP_020137053.1	XP_023617197.1
OG0000008	XP_020140578.1	XP_023616724.1
OG0000008	XP_020138106.1	XP_023618878.1
OG0000010	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1	XP_014313946.1
OG0000010	XP_012643294.1	XP_006091995.1
OG0000011	XP_012604413.1	XP_006109699.2
OG0000011	XP_012604415.2	XP_006086528.1
OG0000011	XP_012604414.2	XP_023607814.1
OG0000011	XP_012604418.1	XP_023607813.1
OG0000011	XP_012604417.2	XP_006086527.1
OG0000011	XP_012604410.1	XP_023607816.1
OG0000011	XP_012604420.1	XP_006086523.2
OG0000011	XP_012604421.1	XP_006109698.1
OG0000011	XP_012604412.1	XP_023607817.1
OG0000011	XP_012604416.2	XP_006086526.1
OG0000011	XP_020137935.1	XP_014309297.1
OG0000011	XP_012604408.1	XP_006086677.1
OG0000012	XP_012612333.1	XP_006085710.1
OG0000012	XP_012612318.1	XP_006085742.1
OG0000012	XP_020140769.1, XP_012612390.1, XP_012612389.1	XP_014308588.1, XP_006085741.1
OG0000012	XP_012612339.1, XP_012612340.1	XP_014308590.1
OG0000012	XP_012612331.1, XP_012612330.1, XP_012612337.2, XP_012612338.2	XP_006085738.1
OG0000012	XP_012612329.1, XP_012612328.1	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1
OG0000012	XP_012640032.1	XP_006088682.1
OG0000013	XP_012617200.1	XP_006102520.1
OG0000014	XP_012613512.1, XP_012630562.1	XP_014314720.1
OG0000014	XP_020138796.1	XP_023604382.1
OG0000014	XP_012619029.1	XP_006103440.2
OG0000014	XP_020138972.1, XP_020139176.1, XP_020138795.1, XP_020138970.1	XP_023604027.1, XP_014304991.1, XP_014304989.1
OG0000016	XP_012625267.1, XP_020144780.1, XP_012625264.2, XP_012625260.1	XP_006109610.1, XP_023605073.1, XP_006108782.1, XP_006098173.1, XP_006108783.1, XP_006098177.1, XP_006098175.1, XP_006098178.1, XP_006098179.1, XP_014319259.1, XP_006098180.1
OG0000017	XP_012614266.1	XP_006081579.1
OG0000018	XP_012606772.1	XP_014301359.1
OG0000018	XP_012597510.1	XP_014303293.1, XP_014303295.1, XP_006105758.1
OG0000018	XP_020144790.1	XP_006091951.1, XP_006100057.1, XP_006086104.1, XP_023605537.1, XP_014303528.1
OG0000019	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1	XP_006087592.3
OG0000019	XP_012603616.1	XP_006087532.1
OG0000019	XP_020141498.1	XP_006087533.1
OG0000019	XP_012598339.2, XP_012598340.2	XP_014310270.1
OG0000020	XP_020139091.1	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1, XP_014322076.2
OG0000020	XP_020138771.1	XP_023602217.1
OG0000020	XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1	XP_023605092.1, XP_023604823.1, XP_023602216.1, XP_023603178.1, XP_023603171.1, XP_023603172.1, XP_014304057.1, XP_014304063.1, XP_023602220.1
OG0000022	XP_020137854.1	XP_006086666.1
OG0000022	XP_020137845.1	XP_006086504.1
OG0000022	XP_020137846.1	XP_014306348.1, XP_006086506.1
OG0000022	XP_020137849.1	XP_023607764.1
OG0000022	XP_020137843.1	XP_006086502.1
OG0000022	XP_020137850.1	XP_006086509.1
OG0000022	XP_020137851.1	XP_006086508.2
OG0000022	XP_012604363.1	XP_023607849.1
OG0000022	XP_020137848.1	XP_023607811.1
OG0000023	XP_012604975.1	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2
OG0000023	XP_012641005.1, XP_012641006.1	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1
OG0000023	XP_012641001.1	XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3
OG0000026	XP_012644305.2, XP_012644304.2	XP_006087848.1, XP_006087846.2
OG0000026	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1	XP_023612671.1
OG0000027	XP_012595657.1	XP_006082612.1
OG0000027	XP_012616812.1	XP_006109687.1, XP_006085845.1
OG0000027	XP_012603184.1	XP_006085609.1
OG0000027	XP_012596665.1	XP_023609366.1
OG0000027	XP_012632128.1	XP_014320502.1
OG0000027	XP_012616799.2	XP_006091577.1
OG0000027	XP_012616756.2	XP_006091578.1
OG0000028	XP_012605321.1	XP_014313930.1, XP_006092090.1
OG0000028	XP_012605437.1	XP_014313929.1
OG0000029	XP_012598512.1	XP_014316275.1
OG0000031	XP_020145822.1, XP_020146129.1	XP_006100279.1
OG0000032	XP_020137953.1	XP_023607822.1
OG0000033	XP_020136664.1	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1
OG0000033	XP_012634191.1	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1
OG0000035	XP_012621797.1	XP_023608661.1
OG0000035	XP_012620530.1	XP_006096684.1
OG0000035	XP_012614407.1	XP_006093229.1
OG0000035	XP_012644914.1	XP_006107764.1
OG0000035	XP_012631175.1	XP_023604685.1
OG0000035	XP_020141787.1, XP_012644119.2	XP_006096839.1
OG0000036	XP_012621879.2, XP_012621903.1, XP_012621933.1, XP_012621834.1, XP_020136186.1, XP_012621864.2	XP_006090070.1, XP_023604639.1
OG0000036	XP_012621955.1	XP_006090066.1
OG0000038	XP_012602142.1	XP_006108449.1
OG0000039	XP_012623865.1	XP_014308601.2
OG0000039	XP_012617155.2	XP_006101176.1
OG0000039	XP_012601634.1	XP_023602750.1, XP_023607160.1, XP_014311814.1, XP_006109563.1
OG0000039	XP_012625877.1	XP_023600742.1
OG0000040	XP_012620127.1	XP_014313682.1, XP_006091633.1
OG0000041	XP_012602144.1	XP_006091988.2
OG0000041	XP_012602149.1, XP_020142260.1	XP_014313940.2, XP_006092121.1
OG0000042	XP_012612185.1	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1
OG0000043	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1
OG0000044	XP_012597462.1, XP_012609563.1	XP_014303412.1
OG0000044	XP_012596792.1, XP_012596793.1	XP_006105773.1
OG0000044	XP_012596789.1	XP_014303302.1
OG0000045	XP_020138865.1	XP_023619132.1
OG0000045	XP_020136755.1	XP_023619120.1
OG0000045	XP_012633220.1	XP_006099789.1, XP_023619123.1
OG0000045	XP_012633193.1, XP_012633184.1	XP_023619122.1, XP_006099792.1
OG0000045	XP_012633169.1	XP_023619124.1
OG0000046	XP_012613755.1	XP_023619075.1
OG0000048	XP_012616684.2, XP_012616670.1	XP_006102709.1, XP_014323472.2, XP_023604189.1
OG0000048	XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1
OG0000049	XP_020141259.1, XP_012611591.2	XP_006091104.2
OG0000049	XP_012611590.1	XP_006091103.2
OG0000049	XP_012626152.1, XP_012626153.1, XP_012626155.1	XP_006082070.1
OG0000051	XP_012607324.1	XP_014309680.1
OG0000051	XP_012604860.1	XP_023614891.1
OG0000051	XP_012607323.1	XP_014309679.1
OG0000051	XP_012605901.1	XP_023614431.1
OG0000051	XP_012604862.1	XP_023615229.1, XP_006108950.2
OG0000051	XP_012605846.1	XP_006082308.1
OG0000052	XP_012642546.1	XP_014306145.2, XP_014314626.1
OG0000052	XP_020143347.1	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1
OG0000054	XP_012604193.1	XP_006108306.2, XP_023604128.1, XP_014305777.1
OG0000054	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1	XP_006096947.1
OG0000055	XP_012639384.1	XP_006089756.1
OG0000055	XP_012639391.1	XP_006089754.1
OG0000056	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1	XP_006091994.1
OG0000057	XP_012604923.1	XP_023618012.1
OG0000057	XP_012604916.1	XP_023617871.1
OG0000058	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1	XP_006107133.1
OG0000059	XP_012622464.1, XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2	XP_006094765.2
OG0000060	XP_020141693.1, XP_012609090.2	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1
OG0000061	XP_012624360.1, XP_020145028.1, XP_020145025.1	XP_023608990.1, XP_014310721.2, XP_014310723.1
OG0000062	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1
OG0000063	XP_012636552.1	XP_023611602.1
OG0000064	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1
OG0000065	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1	XP_014303917.1, XP_006083485.1
OG0000066	XP_012637254.1	XP_006098324.1, XP_006098323.1, XP_014309652.1
OG0000068	XP_012605325.1	XP_006092084.1, XP_006092085.1, XP_006092083.1
OG0000069	XP_012630800.1	XP_006095089.1
OG0000069	XP_012644303.1	XP_023608740.1
OG0000069	XP_012596989.1	XP_006097691.1
OG0000070	XP_012631602.1	XP_023608440.1
OG0000071	XP_012625032.1, XP_012625033.1	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1
OG0000072	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1	XP_014312406.1
OG0000074	XP_012600382.1	XP_006094556.1, XP_023614505.1, XP_014316200.1
OG0000074	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1	XP_023614501.1
OG0000075	XP_012637940.1, XP_012637938.1, XP_012637939.1	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1
OG0000075	XP_012595358.1, XP_020140622.1	XP_006087859.1
OG0000075	XP_012615318.1, XP_012615320.1, XP_012615319.1	XP_006087851.1, XP_006087855.1, XP_014310450.2
OG0000075	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1	XP_006106919.1, XP_006106918.1
OG0000076	XP_020137855.1	XP_014306349.1
OG0000076	XP_012604356.2, XP_020137838.1, XP_020137859.1	XP_014309283.1, XP_023607802.1
OG0000076	XP_020137858.1	XP_023607809.1
OG0000076	XP_020137853.1	XP_014309276.2
OG0000077	XP_012638223.1	XP_006083143.1
OG0000077	XP_012610327.2	XP_006097627.1, XP_006091330.1, XP_006104972.1, XP_006087570.1
OG0000077	XP_012619774.1	XP_006095857.1
OG0000078	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1	XP_006093589.1
OG0000079	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1
OG0000080	XP_012605323.1	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1
OG0000080	XP_012605444.1	XP_023604822.1, XP_006108589.1, XP_023604821.1
OG0000081	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1	XP_006103859.1
OG0000082	XP_012635473.1, XP_012635466.2, XP_020140286.1	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1
OG0000083	XP_012641029.1	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1
OG0000083	XP_012641039.1	XP_023603096.1
OG0000083	XP_012641027.1	XP_006106565.1
OG0000083	XP_012614976.1, XP_012640981.1	XP_023603095.1, XP_006109373.3
OG0000084	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1	XP_014316904.1, XP_014316906.1, XP_014316905.1
OG0000085	XP_012617213.1	XP_006102503.2
OG0000085	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1
OG0000086	XP_012605369.1	XP_023612450.1
OG0000086	XP_012619770.1	XP_006103379.1
OG0000086	XP_012632158.1	XP_014320496.1
OG0000086	XP_012625063.1, XP_012625146.1, XP_020136426.1, XP_012625208.1, XP_012624902.1, XP_012624827.1	XP_006092276.1
OG0000087	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1	XP_006107099.2
OG0000088	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1	XP_023620812.1
OG0000090	XP_012599427.1	XP_023602041.1
OG0000092	XP_012643281.1	XP_023612296.1
OG0000092	XP_012602125.2, XP_012643286.1, XP_012602126.1	XP_006092142.1
OG0000093	XP_012614553.1	XP_014304922.1
OG0000095	XP_020138138.1	XP_023603269.1
OG0000095	XP_012611412.1, XP_012611409.1	XP_006106789.1
OG0000095	XP_012611251.1, XP_012611408.1, XP_012611248.2, XP_012611252.1, XP_012611249.1	XP_006106790.1
OG0000096	XP_012629913.1	XP_006087239.1
OG0000096	XP_012623893.1	XP_006085768.1, XP_023607165.1, XP_023607164.1
OG0000099	XP_012610672.2	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1
OG0000099	XP_012610556.2	XP_023610089.1
OG0000100	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1	XP_006107563.1, XP_023604015.1
OG0000100	XP_012614771.1	XP_006081076.1
OG0000101	XP_012622873.1, XP_012622872.1	XP_006084736.1
OG0000102	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2	XP_006103626.2, XP_006103624.1
OG0000103	XP_012596669.1, XP_012596670.1, XP_012596671.1	XP_006088492.1, XP_014311036.1, XP_023609353.1
OG0000104	XP_012604689.1	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1
OG0000105	XP_012595109.1	XP_014314667.1
OG0000106	XP_012597004.1	XP_006106865.1
OG0000106	XP_012619690.1	XP_006103520.1
OG0000106	XP_012637795.1	XP_006099091.1
OG0000106	XP_012614334.1	XP_014310895.1
OG0000107	XP_012605312.1	XP_006092103.1
OG0000107	XP_012605310.1	XP_023612356.1
OG0000108	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1	XP_006083067.1
OG0000109	XP_012618633.1	XP_006088167.2
OG0000109	XP_012625635.1	XP_006102782.1
OG0000109	XP_012625631.1	XP_006102760.1
OG0000109	XP_012625636.2, XP_012625637.2	XP_006102783.1, XP_006102784.1
OG0000110	XP_012632579.1, XP_012632570.1	XP_006105151.1
OG0000110	XP_020136742.1	XP_006108001.1
OG0000110	XP_012632592.1	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1
OG0000111	XP_012616382.1, XP_012616380.2	XP_023603133.1
OG0000113	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1	XP_023614621.1, XP_023614629.1
OG0000114	XP_012607530.1, XP_012606894.1, XP_012607531.1	XP_023615099.1
OG0000114	XP_012607532.1, XP_012607528.1	XP_023615102.1
OG0000115	XP_012614846.1	XP_006091570.1
OG0000115	XP_012634043.1, XP_012634045.1, XP_012634041.1, XP_012634042.1	XP_014321084.1
OG0000116	XP_020137718.1, XP_012637946.1	XP_006086570.1
OG0000116	XP_012618286.1	XP_014319941.1
OG0000118	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1	XP_014311373.1, XP_023609603.1, XP_023609604.1
OG0000119	XP_012634378.1, XP_012634381.1, XP_012634382.1, XP_012634380.1, XP_012634379.1	XP_014322039.1
OG0000120	XP_012614299.1	XP_023617223.1
OG0000121	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1	XP_023616611.1, XP_023616613.1, XP_023616612.1
OG0000122	XP_012630490.1	XP_023618125.1
OG0000122	XP_012615924.1	XP_023605732.1
OG0000123	XP_012634032.1, XP_012634752.1, XP_012634782.1	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1
OG0000125	XP_012621238.1	XP_006095004.1
OG0000125	XP_012621506.1, XP_012621241.1, XP_012621239.2	XP_006095005.1, XP_006095008.1, XP_006095006.1
OG0000125	XP_020136415.1	XP_006095007.1
OG0000126	XP_020146130.1, XP_020142440.1, XP_020142286.1	XP_023601914.1
OG0000127	XP_012621712.1, XP_012621715.1, XP_012621713.1, XP_012621714.1	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1
OG0000128	XP_012596813.1	XP_023602430.1
OG0000128	XP_012596845.1, XP_012596812.1	XP_023602433.1
OG0000130	XP_012642082.1	XP_006094606.1
OG0000130	XP_012641924.1	XP_006094605.1
OG0000130	XP_012641922.1	XP_006094688.1
OG0000130	XP_012642080.1	XP_006094607.1
OG0000131	XP_012641906.1, XP_012599612.1, XP_012641907.1	XP_006089739.1, XP_006108842.1
OG0000132	XP_012600827.1, XP_012600831.1, XP_012600808.1, XP_012600818.1, XP_012600835.1	XP_006084467.1
OG0000133	XP_012646316.1, XP_012646313.1, XP_012646318.1, XP_012646311.1, XP_012646312.1, XP_012646317.1, XP_012646315.1, XP_012646314.1	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1
OG0000134	XP_012615932.1	XP_006084217.2
OG0000135	XP_012645503.1	XP_023607667.1
OG0000136	XP_020144366.1, XP_020144368.1, XP_020144365.1, XP_020144367.1, XP_012645521.1, XP_012645522.1	XP_023606748.1
OG0000137	XP_012623584.2	XP_006094818.1
OG0000137	XP_012623585.1	XP_006094802.1
OG0000137	XP_012623673.2, XP_020145272.1, XP_012623663.2	XP_006094801.1
OG0000138	XP_012641891.1	XP_006094594.1
OG0000138	XP_012641949.1	XP_006094593.1
OG0000138	XP_012641943.1	XP_006094595.1
OG0000138	XP_012641884.1, XP_012641886.2, XP_012641887.2	XP_006094665.1
OG0000140	XP_012644809.1	XP_023620778.1
OG0000142	XP_012611226.1	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1
OG0000145	XP_012618337.1, XP_012618339.1, XP_012618329.1, XP_012618328.1, XP_012618338.1, XP_012618330.1, XP_012618332.1, XP_012618326.1, XP_012618336.1, XP_012618335.1, XP_012618334.1, XP_012618340.1, XP_012618331.1, XP_012618333.1	XP_006096700.1
OG0000146	XP_012628326.1, XP_012628327.1, XP_012628324.1, XP_012628322.1, XP_020144507.1, XP_012628328.1	XP_006105955.1, XP_023602559.1
OG0000147	XP_012590832.1, XP_012590833.1	XP_023617290.1, XP_023603880.1, XP_023603879.1
OG0000148	XP_020141494.1, XP_020141495.1, XP_012608249.1, XP_012608030.1, XP_012608028.1, XP_012608047.1, XP_012608029.1, XP_012608027.2	XP_014310265.1, XP_023608613.1
OG0000149	XP_012613923.1	XP_023600635.1
OG0000149	XP_012604635.1	XP_023616468.1, XP_014306422.2
OG0000149	XP_012617266.1	XP_023617009.1
OG0000149	XP_012604632.1	XP_006096963.1
OG0000151	XP_012642741.1	XP_006101983.2
OG0000151	XP_012643866.1	XP_023599168.1, XP_023599167.1, XP_023605154.1
OG0000151	XP_020136691.1, XP_012642867.1, XP_012642950.1, XP_012643169.1, XP_012643242.1	XP_023599174.1
OG0000153	XP_012609875.1	XP_006101380.1, XP_006101379.1
OG0000156	XP_012626310.1	XP_023620743.1, XP_014322360.1, XP_006101540.1, XP_023620742.1, XP_006101539.1
OG0000157	XP_020142690.1, XP_012634492.2	XP_006089394.1
OG0000158	XP_012614201.1	XP_014315308.1
OG0000158	XP_012646732.1	XP_006095193.1, XP_006102438.1, XP_006087316.1
OG0000159	XP_012622471.1	XP_014316276.1, XP_014306719.1
OG0000160	XP_012594595.1	XP_006096272.1, XP_006102266.1
OG0000161	XP_012644144.2, XP_012611772.1	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1
OG0000163	XP_012604214.1	XP_014322276.1
OG0000163	XP_012604217.1	XP_023620683.1
OG0000163	XP_020142261.1, XP_012604209.1	XP_023620678.1, XP_023620676.1, XP_023620677.1, XP_023620682.1, XP_006109449.2, XP_023620679.1
OG0000164	XP_012590817.1	XP_006086410.1
OG0000165	XP_012644476.1	XP_014309436.1, XP_023607965.1
OG0000166	XP_012628563.1	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1
OG0000167	XP_012645611.1, XP_012645609.1, XP_012645612.1, XP_012645610.1	XP_006103113.1, XP_023600145.1
OG0000170	XP_012636064.1, XP_012636063.1	XP_014312153.1
OG0000171	XP_012592098.1	XP_006100015.1
OG0000172	XP_012607233.1	XP_023606738.1
OG0000172	XP_012603597.1	XP_023613986.1
OG0000173	XP_020144346.1, XP_012608595.1, XP_020142743.1, XP_012608598.1, XP_012608597.1, XP_012608596.1, XP_020142744.1, XP_012608594.1	XP_006084433.1, XP_014307292.1, XP_023605848.1, XP_023605849.1
OG0000174	XP_012623108.1	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1
