Orthogroup	Mesocricetus_auratus	Rattus_norvegicus
OG0000006	XP_040588522.1, XP_040589750.1, XP_040592974.1, XP_040608826.1, XP_040591128.1, XP_040612660.1, XP_040609847.1, XP_040593727.1, XP_040602689.1, XP_040597764.1, XP_040596440.1, XP_040595074.1, XP_040596916.1, XP_040607605.1, XP_040593018.1, XP_040594069.1, XP_040593827.1, XP_040593001.1, XP_040594824.1, XP_040597935.1, XP_040593002.1, XP_040587583.1	XP_063138828.1, XP_063129865.1, XP_063130926.1, XP_063133785.1, XP_063127951.1, XP_063120511.1, XP_038962176.2, XP_063136784.1, XP_063122429.1
OG0000007	XP_040589785.1, XP_040589784.1, XP_005087808.1, XP_040590162.1, XP_005087807.2	XP_038953247.1, XP_038953242.1, XP_038953239.1
OG0000007	XP_012981157.2, XP_040589756.1, XP_005087922.1	NP_001009510.1
OG0000007	XP_005086758.1, XP_005086765.1	NP_001008907.1, NP_001009512.1, XP_017446036.1, NP_001008905.1, NP_001009514.1, NP_001009526.2
OG0000007	XP_005086772.1	XP_038952937.1, XP_038952929.1, XP_038952945.1
OG0000007	XP_005085715.1, XP_040589781.1	NP_001008946.1, NP_001008952.1, XP_063136835.1, NP_001008953.1
OG0000007	XP_005085701.1, XP_012982286.3	XP_006228226.1, XP_038953103.1, XP_038953124.1, XP_038953132.1
OG0000007	XP_005085700.1	XP_038953067.1, NP_001395759.1, XP_038953164.1
OG0000007	XP_012980380.1, XP_005085713.1	NP_001009511.1
OG0000008	XP_005085123.2	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1
OG0000008	XP_012981311.2	XP_017457697.2
OG0000008	XP_012980805.2	XP_008757447.1, XP_008757448.1, XP_017445996.1
OG0000008	XP_040607222.1	XP_006248929.1, NP_001178593.1
OG0000008	XP_005080013.1	XP_221917.5, NP_001414121.1
OG0000008	XP_012966980.1	NP_001100474.2
OG0000008	XP_040607169.1	NP_001163875.1, XP_038945496.1
OG0000008	XP_012974811.2	XP_063122443.1, XP_008764233.1
OG0000008	XP_040589595.1	XP_063136497.1
OG0000008	XP_005076380.2, XP_021086449.1, XP_040592559.1	NP_001020936.1, XP_063134265.1
OG0000009	XP_040596996.1, XP_040588386.1, XP_040597078.1, XP_040588058.1, XP_040588055.1, XP_040597080.1, XP_040597074.1, XP_040588524.1, XP_040588391.1, XP_040597180.1, XP_040588465.1, XP_040588202.1, XP_040588464.1, XP_040588388.1	NP_001008834.1, XP_063135479.1, NP_001008845.1, NP_001008841.1, XP_038954892.1, XP_063135474.1, NP_001008838.1, NP_001008836.1, XP_063135475.1, XP_038954887.1, NP_001008842.1, NP_001008839.1, XP_063135491.1, XP_063135177.1, NP_001029158.1, XP_063135032.1, NP_001008827.1, XP_063135457.1, NP_001008833.1, XP_063135487.1, NP_001008830.1, XP_038954604.1, NP_001008840.1, NP_001008832.1, XP_038954582.1, XP_063135164.1, NP_001008835.1, NP_001008829.1, XP_063135035.1
OG0000010	XP_005065035.2	NP_001000513.1, NP_001001064.1
OG0000010	XP_040600849.1	XP_038962000.1, NP_001000627.1
OG0000010	XP_040601664.1, XP_040601665.1	NP_001000571.1
OG0000010	XP_005065031.1, XP_005064627.1	NP_001000621.1, NP_001000625.1, NP_001000360.1, NP_001000623.1
OG0000010	XP_012975638.1, XP_005064632.2, XP_040600908.1, XP_005064633.1, XP_012975487.2, XP_005064650.1, XP_005065030.1	NP_001000923.1, NP_001000622.1, NP_001000624.1
OG0000010	XP_005065029.1	NP_001000361.1
OG0000010	XP_040600848.1	NP_001000626.1, XP_038961551.1
OG0000010	XP_005065033.1	NP_001001066.1
OG0000010	XP_040600851.1	NP_001001065.1
OG0000010	XP_005065040.1	NP_001000359.1
OG0000010	XP_005065034.1	XP_230251.8, XP_038962510.1
OG0000010	XP_012975523.2	NP_001000570.1, NP_001001378.1
OG0000010	XP_005064625.1	NP_001001067.1
OG0000011	XP_040597859.1	XP_001055818.2
OG0000011	XP_040597868.1	NP_001102593.2
OG0000011	XP_040597855.1	NP_001102865.1
OG0000011	XP_040597852.1	NP_001108076.1
OG0000011	XP_040597857.1, XP_040597858.1	NP_001395838.1
OG0000011	XP_040597867.1	NP_001014783.1
OG0000011	XP_040597854.1	NP_001014804.1
OG0000011	XP_005139286.1	NP_001391845.1
OG0000011	XP_040597863.1	NP_001108074.2, NP_001102860.1, NP_001395766.1
OG0000011	XP_040597860.1	NP_001395668.1
OG0000011	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2
OG0000011	XP_040597853.1	NP_001403744.1
OG0000012	XP_005088691.1	NP_001037711.1, XP_063136102.1
OG0000012	XP_005080125.1	NP_001100435.1, XP_003752106.1
OG0000012	XP_021088650.1	NP_001395772.1
OG0000012	XP_005080130.1	NP_001171154.1
OG0000012	XP_040599889.1	NP_001102837.1, XP_063136334.1
OG0000012	XP_040599760.1	NP_001395795.1, NP_001395776.1
OG0000012	XP_040599888.1	XP_038956259.1, XP_063136443.1, XP_063136444.1
OG0000013	XP_040591191.1	NP_001000881.1
OG0000013	XP_012973996.2	XP_017451017.1, NP_001000432.1, NP_001000429.1
OG0000014	XP_012980379.2	XP_006228239.1, XP_008757305.3, NP_001178549.1
OG0000014	XP_040590028.1	XP_038956264.1
OG0000015	XP_040593112.1	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1
OG0000015	XP_021087015.1	XP_038938790.1, XP_002729926.5
OG0000015	XP_005077364.1	NP_001000434.1, NP_001000868.1, NP_001000984.1, NP_001000871.1, NP_001000870.1, NP_001000985.1
OG0000017	XP_005081713.2	NP_999995.1
OG0000017	XP_040603898.1	NP_001000979.1
OG0000017	XP_040603900.1, XP_040603899.1	NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1
OG0000017	XP_040603984.1, XP_040603983.1	NP_001000038.1, NP_001001098.1
OG0000017	XP_040591625.1	NP_001000387.1
OG0000017	XP_040591602.1	NP_064491.1
OG0000017	XP_005076922.1	NP_001000492.1
OG0000018	XP_005069967.1	NP_001389154.1
OG0000018	XP_021080732.2	XP_063133017.1
OG0000018	XP_005067768.1	NP_001103112.1
OG0000019	XP_040600867.1, XP_040600868.1	NP_001000602.1, NP_001000580.1
OG0000019	XP_005064844.1, XP_005064843.1	XP_063141268.1, NP_001000915.1, NP_001000377.2
OG0000019	XP_005064848.1	NP_001000606.1, NP_001000917.1
OG0000019	XP_005064585.1, XP_005064847.1	NP_001000375.1
OG0000019	XP_005064584.1	NP_001000603.1
OG0000019	XP_005064850.1	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1
OG0000019	XP_005064849.1	XP_017447447.1, NP_001000607.1
OG0000019	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1	NP_001000604.1
OG0000019	XP_005064841.2	NP_001000601.1, NP_001000376.1
OG0000020	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2
OG0000020	XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1	XP_038956583.1, XP_038956575.1
OG0000020	XP_040589771.1	XP_063130894.1, NP_001093593.1
OG0000020	XP_021090982.1	NP_001070261.1, XP_008757210.1
OG0000020	XP_040589773.1, XP_040589996.1	NP_001406335.1, XP_063139091.1
OG0000021	XP_005077511.3, XP_040589524.1, XP_005087265.2, XP_040588430.1	NP_001000509.1, NP_001001115.1
OG0000021	XP_005077475.1	NP_001000557.1
OG0000021	XP_005078541.1	NP_001000104.1
OG0000022	XP_012968143.1	XP_008770293.3
OG0000022	XP_012968137.1	NP_001032230.1
OG0000022	XP_040597834.1	XP_038953329.1
OG0000022	XP_012968139.1	NP_001014773.1
OG0000022	XP_012968141.1	NP_001032235.1
OG0000022	XP_012968138.2	NP_001032233.1
OG0000022	XP_040597837.1	NP_001032212.1
OG0000022	XP_040597835.1	NP_001032214.1
OG0000022	XP_040597836.1	NP_001032217.1
OG0000022	XP_040597838.1	NP_001032216.1
OG0000022	XP_012968142.1	NP_001032231.1
OG0000023	XP_021090051.1	XP_017445590.1, NP_001388743.1
OG0000023	XP_012979575.2	XP_006229008.1, NP_001099719.2
OG0000023	XP_040592152.1, XP_005084860.3	XP_056841157.1
OG0000024	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1	NP_001000517.1, NP_001000518.1
OG0000024	XP_005069429.1	NP_001000463.1
OG0000024	XP_005069427.1	NP_001000800.1, NP_001000801.1, XP_063122016.1
OG0000024	XP_005069439.1	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2
OG0000024	XP_005069315.1	NP_001000792.1, XP_017451293.1
OG0000024	XP_012968276.2, XP_005069438.2, XP_040585969.1	NP_001001087.2, NP_001000471.1, NP_001000596.1
OG0000024	XP_005069440.1, XP_012968278.1	NP_001000599.1, XP_017451271.1, NP_001000473.1
OG0000026	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1
OG0000026	XP_012973615.1	XP_006257363.1, NP_001102791.1
OG0000027	XP_005070529.1	NP_001007005.1, XP_063123300.1
OG0000027	XP_040609793.1	NP_001011995.1
OG0000027	XP_040593732.1	NP_001019510.1
OG0000027	XP_040611487.1	NP_001099588.1, XP_063132306.1
OG0000027	XP_040599534.1	NP_001035097.1, NP_001019507.1
OG0000027	XP_040609790.1	XP_063120275.1, NP_071634.1
OG0000027	XP_040609794.1	NP_001037735.1
OG0000028	XP_012966156.1	XP_063126169.1, NP_001000756.1, NP_001001019.1, XP_003749122.1, NP_001000754.1
OG0000028	XP_012967554.1	NP_001000758.1
OG0000028	XP_005063854.1	XP_038952475.1, NP_001000556.1
OG0000028	XP_040588468.1, XP_012967590.1	NP_001396078.1
OG0000028	XP_005063306.1	NP_001000252.1
OG0000028	XP_005063857.1	NP_001396075.1
OG0000029	XP_040606242.1, XP_040606301.1, XP_005076843.2	NP_001000725.1, NP_001001009.1, NP_001000049.1
OG0000029	XP_005076795.1	NP_001000046.1, NP_001000047.1
OG0000029	XP_040606248.1	NP_001000045.1, NP_001000048.1
OG0000029	XP_005076798.2	NP_001000531.1
OG0000030	XP_040587064.1, XP_040587066.1, XP_040587065.1, XP_040587067.1	XP_063141241.1, XP_063141220.1, XP_063127031.1, XP_063136707.1, XP_038956661.2, XP_063136720.1, XP_063136699.1, XP_063136698.1, XP_063136743.1, XP_063136718.1, XP_063136719.1, XP_063136717.1, XP_063136722.1, XP_063136721.1, XP_063136723.1, XP_063136668.1, XP_063136676.1, XP_063136675.1, XP_063136725.1, XP_063136716.1, XP_063136724.1, XP_063136681.1, XP_063136748.1, XP_063136747.1, XP_063136701.1, XP_063136712.1, XP_063136713.1, XP_063136714.1, XP_063136715.1, XP_063136702.1, XP_063136693.1, XP_063136728.1, XP_063136686.1, XP_063136694.1, XP_063136700.1, XP_063136692.1, XP_063141231.1, XP_038962034.2, XP_063141219.1, XP_063141242.1, XP_063136754.1, XP_063136753.1, XP_063136682.1, XP_063140868.1, XP_063136745.1, XP_063136742.1, XP_063141225.1, XP_063141224.1, XP_063141236.1, XP_063136756.1, XP_063141250.1, XP_063141215.1, XP_063141245.1, XP_063126904.1, XP_063127027.1, XP_063141214.1, XP_063141247.1, XP_038962039.2, XP_063141260.1, XP_063141257.1, XP_063141255.1, XP_063127026.1, XP_063141232.1, XP_063127029.1, XP_063141243.1, XP_063141218.1, XP_063141261.1, XP_063141263.1, XP_063141256.1, XP_063141223.1, XP_063136726.1, XP_063127022.1, XP_063141229.1, XP_063141221.1, XP_063141240.1, XP_063127030.1, XP_063127028.1, XP_063127024.1, XP_063141235.1, XP_063141233.1, XP_063141234.1, XP_063141227.1, XP_063141244.1, XP_063141239.1, XP_063126958.1, XP_063127023.1, XP_063141222.1, XP_063141217.1, XP_063127998.1, XP_063136757.1, XP_063136758.1, XP_063141252.1, XP_063141251.1, XP_063136739.1, XP_063136738.1, XP_063127999.1, XP_063136727.1, XP_063136737.1, XP_063136736.1, XP_063136731.1, XP_063136732.1, XP_063136691.1, XP_063136690.1, XP_063136703.1, XP_063136710.1, XP_063136709.1, XP_063136711.1, XP_063136680.1, XP_063136678.1, XP_063136679.1, XP_063136733.1, XP_063136735.1, XP_063136734.1, XP_063136688.1, XP_063136687.1, XP_063136666.1, XP_063136667.1, XP_063136669.1, XP_063136670.1, XP_063136696.1, XP_063136695.1, XP_063136705.1, XP_063136706.1, XP_063136697.1, XP_063136740.1, XP_063136673.1, XP_063136672.1, XP_063136684.1, XP_063136685.1, XP_063136683.1, XP_063136671.1
OG0000031	XP_005077476.1	NP_001001110.1
OG0000031	XP_005067750.1	NP_001001097.1
OG0000031	XP_040612128.1, XP_005086751.3, XP_040611602.1	NP_068632.1
OG0000032	XP_040597877.1	NP_446385.1
OG0000033	XP_005070273.1	XP_038942577.1, NP_001161757.1, NP_001161756.1, XP_003751005.2, XP_002727889.3, XP_038942115.1, XP_038943721.1, XP_577143.3
OG0000033	XP_012968668.2	XP_038942584.1, NP_001192277.1
OG0000033	XP_005070271.1	NP_001160049.1, XP_038942799.1
OG0000033	XP_005070011.3	NP_001161136.1
OG0000033	XP_012968934.1	XP_017452644.1, NP_001020282.1
OG0000033	XP_040605960.1	NP_001395662.1, XP_038943714.1, XP_017453231.1, NP_001189392.1
OG0000034	XP_012969626.1	NP_714951.2
OG0000034	XP_012981677.2, XP_005087476.2, XP_012973194.1, XP_005076167.1, XP_005076126.2, XP_005087477.1, XP_005087475.2	XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1
OG0000034	XP_040595329.1, XP_040593015.1	NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2
OG0000035	XP_040601947.1, XP_012975185.1	NP_062056.1
OG0000035	XP_005064723.1	NP_062085.1
OG0000035	XP_005063733.1	NP_112266.1
OG0000035	NP_001268524.1, XP_012975858.1	NP_112406.1
OG0000035	XP_040606104.1	NP_001120921.1
OG0000035	XP_005065601.1	NP_001099879.1
OG0000035	XP_005071114.1	NP_037025.1, XP_006236790.1
OG0000036	NP_001268612.1	NP_001406456.1, NP_001258283.1
OG0000036	XP_040600829.1, XP_005063680.1	XP_038952632.1
OG0000036	NP_001268504.1, XP_040597720.1, XP_040597238.1, NP_001268582.1, NP_001268615.1	XP_063137106.1, NP_001013926.2, XP_063136421.1
OG0000036	XP_005063672.1	NP_612521.2, XP_038946459.1
OG0000038	XP_012975442.1	NP_001000932.1
OG0000038	XP_005065094.1	XP_038961558.1, NP_001000677.1
OG0000038	XP_005065098.1	NP_001000931.1
OG0000038	XP_012975394.1	NP_001000682.1, XP_063140372.1
OG0000039	XP_040611731.1	NP_001013908.2
OG0000039	XP_005066458.1	NP_001102589.1
OG0000039	XP_005087662.1	NP_775125.1
OG0000039	XP_005083770.1	NP_954525.2
OG0000039	XP_005081404.1	NP_543158.1
OG0000039	XP_005073218.1	NP_640347.2
OG0000039	XP_040588788.1	XP_003749686.1
OG0000039	XP_005074701.1	NP_001020846.1
OG0000040	XP_005066964.1	NP_001001078.1
OG0000040	XP_040608727.1, XP_040608728.1	NP_001000993.1
OG0000040	XP_005067235.1	NP_001000424.1, XP_006242382.1
OG0000040	XP_005066965.1	NP_001000423.1
OG0000041	XP_005065090.1	NP_001000318.1, NP_001000315.1
OG0000041	XP_005065088.1	NP_001000317.1, XP_017447043.1, NP_001000676.1
OG0000041	XP_005065092.1	NP_001000312.1
OG0000041	XP_021088661.1	NP_001000673.1
OG0000041	XP_005065087.2, XP_012976050.1	NP_001000316.1, NP_001000930.1
OG0000042	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1	NP_001395703.1
OG0000042	XP_021090424.2, XP_012978311.3	XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1
OG0000042	XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1	NP_001002284.1, NP_001002287.1
OG0000042	XP_021079562.2	NP_665730.2
OG0000042	XP_040589197.1, XP_040597262.1	NP_750845.3
OG0000043	XP_040589229.1, XP_005075826.2	NP_001000220.1, NP_001001037.1
OG0000043	XP_005075768.1	NP_001000222.1
OG0000043	XP_012972962.2	NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1
OG0000043	XP_040589196.1, XP_040589194.1	NP_001395731.1, NP_001000227.1
OG0000043	XP_005075767.1	NP_001000230.1
OG0000043	XP_005075778.1	NP_001000210.1
OG0000043	XP_005075769.1	XP_063136786.1, NP_001000732.1, NP_001000733.1
OG0000043	XP_040589195.1	NP_001000226.1, NP_001000730.1
OG0000043	XP_040589266.1	XP_063141804.1, NP_001000214.1
OG0000044	XP_040611627.1, XP_040611632.1, XP_021080739.1, XP_040611628.1	NP_001395688.1
OG0000044	XP_012981124.1	NP_073177.1
OG0000045	XP_012967012.1	NP_036736.1
OG0000045	XP_005067661.2	NP_001414391.1
OG0000045	XP_040604827.1, XP_040604828.1	NP_001128630.1, XP_038941362.1
OG0000045	XP_005067663.2	NP_001093955.1
OG0000045	XP_040604829.1	NP_001128629.1, XP_038942828.1
OG0000045	XP_040604830.1	NP_062198.1
OG0000046	XP_040598114.1	XP_063131212.1, NP_001028858.2, NP_001380700.1
OG0000046	XP_040593590.1, XP_040593589.1	XP_006241147.1, NP_001178915.1
OG0000046	XP_005083451.1	XP_006241111.1, NP_695230.1
OG0000046	XP_005083446.1, XP_040594995.1	XP_038934451.1, NP_775147.1
OG0000046	XP_040594999.1, XP_005083449.2, XP_040594997.1	NP_001102830.1, XP_063120218.1
OG0000046	XP_040594312.1	NP_775146.1, XP_063119146.1
OG0000046	XP_012978446.1	XP_008763402.1, NP_062569.2
OG0000048	XP_005086519.2	XP_008757255.3
OG0000048	XP_005086487.1	NP_446371.1
OG0000048	XP_040590516.1, XP_040590186.1, XP_040590252.1	NP_001029032.1, XP_063131131.1
OG0000049	XP_012970837.1	XP_008763105.3
OG0000049	XP_005066586.2	XP_017455846.3, XP_063132041.1
OG0000049	XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1	NP_001407912.1
OG0000049	XP_040587835.1	NP_001395610.1
OG0000050	XP_040591601.1	NP_001000386.1
OG0000050	XP_040591585.1	XP_038961561.1, NP_001000969.1
OG0000050	XP_005082163.1	NP_001001014.1, NP_001000384.1, NP_001000382.1, NP_001000828.1, NP_001000383.1, NP_001000380.1, XP_006234126.1, NP_001000830.1, NP_001000560.1, NP_001000381.1, NP_001000379.1, NP_001000559.1, NP_001000829.1
OG0000050	XP_040591590.1, XP_040591584.1	NP_001000827.1, XP_063140376.1
OG0000051	XP_040589515.1	NP_001128481.1
OG0000051	XP_040609155.1	NP_001400917.1, XP_038939825.1
OG0000051	XP_040589514.1	NP_001414185.1
OG0000051	XP_012977763.1	NP_001414189.1
OG0000051	XP_040609153.1, XP_040609154.1	NP_001008333.1
OG0000051	XP_005082522.1	XP_006257375.1, NP_001413925.1
OG0000052	XP_021078671.1	XP_008763864.1, NP_001020237.1
OG0000052	XP_012966499.1	XP_006242004.3
OG0000052	XP_040610156.1, XP_040592247.1	XP_006241996.1, NP_001128273.1, NP_001413816.1
OG0000053	XP_005073958.1, XP_005073886.1, XP_005073885.1	XP_006248160.1
OG0000054	XP_012976161.1	NP_058775.1
OG0000055	XP_005075771.1	NP_001000216.1
OG0000055	XP_005075828.3	NP_001000209.1, NP_001000211.1
OG0000055	XP_005075773.1	NP_001000213.1
OG0000055	XP_005075776.1, XP_005075775.1	NP_001395676.1, NP_001000734.1
OG0000055	XP_005075770.1	NP_001000946.2
OG0000055	XP_021086135.2, XP_012972950.1	NP_001396077.1
OG0000056	XP_005065047.1	NP_001000347.1
OG0000056	XP_005065036.1	NP_001000628.1, XP_003749574.5
OG0000056	XP_005065037.1	NP_001000569.1
OG0000056	XP_005065048.1	NP_001000346.1, XP_038960435.1
OG0000057	XP_040609095.1, XP_040609094.1, XP_040609097.1	XP_038939642.1, NP_001012133.1
OG0000057	XP_040609083.1	NP_001029309.1, XP_038939329.1
OG0000057	XP_040608743.1	XP_056840605.1
OG0000057	XP_040609082.1, XP_040609085.1	XP_038939826.1
OG0000058	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1	XP_038936592.1, NP_446149.1
OG0000059	XP_005076799.1	XP_038944129.1, NP_001001353.1, NP_001001383.1
OG0000059	XP_040606237.1, XP_012973635.3, XP_005076844.2	NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1
OG0000059	XP_040606244.1	NP_001000052.1, NP_001001108.1
OG0000059	XP_012973632.1, XP_005076796.1	NP_001000727.1, XP_006248260.1
OG0000059	XP_040606246.1, XP_040606247.1	NP_001000050.1, NP_001000726.1, NP_001000051.1
OG0000060	XP_012980426.1, XP_040608584.1, XP_012980427.1	NP_001013176.1, XP_017446356.1
OG0000061	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1
OG0000061	XP_012978726.1	XP_063139535.1, NP_001100030.1
