Orthogroup	Mesocricetus_auratus	Myotis_lucifugus
OG0000070	XP_021085276.1	XP_023618754.1
OG0000070	XP_021084043.1	XP_023608440.1
OG0000071	XP_012971826.1, XP_012971753.2, XP_040607730.1	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1
OG0000072	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1	XP_014312406.1
OG0000073	XP_005065080.2	XP_006092130.1
OG0000074	XP_040613609.1	XP_006094556.1, XP_023614505.1, XP_014316200.1
OG0000074	XP_005074087.1	XP_023614501.1
OG0000075	XP_005084587.1	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1
OG0000075	XP_040600633.1	XP_006087859.1, XP_006087851.1, XP_006087855.1, XP_014310450.2
OG0000075	XP_012981002.2, XP_005086675.1, XP_040599847.1	XP_006106919.1, XP_006106918.1
OG0000076	XP_021082326.2	XP_014306349.1
OG0000076	XP_040597842.1	XP_014309283.1
OG0000076	XP_040597840.1	XP_023607802.1
OG0000076	XP_040597832.1	XP_006086511.1
OG0000076	XP_040597833.1	XP_023607809.1
OG0000076	XP_040597839.1	XP_014309276.2
OG0000077	XP_040597617.1, XP_040611502.1, XP_040601552.1, XP_040603391.1, XP_040599072.1	XP_006083143.1
OG0000077	XP_012966788.1	XP_006095857.1
OG0000078	NP_001268256.1, XP_040610188.1	XP_006093589.1
OG0000079	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1
OG0000080	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1	XP_023604822.1, XP_006108589.1, XP_023604821.1
OG0000082	XP_040588269.1, XP_040588270.1, XP_040588274.1	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1
OG0000082	XP_040588299.1	XP_023619344.1
OG0000084	XP_040584800.1, XP_005082842.2, XP_021090181.1	XP_014316904.1, XP_014316906.1, XP_014316905.1
OG0000085	XP_005077363.1	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1
OG0000086	XP_005065146.1	XP_023612450.1
OG0000086	XP_040610260.1	XP_006103379.1
OG0000086	XP_021087100.2	XP_014320496.1
OG0000086	XP_012973815.1, XP_021086732.1	XP_006092276.1
OG0000087	XP_040606219.1, XP_021085058.1, XP_005073964.1, XP_040606293.1, XP_012971615.2, XP_005073894.2, XP_040606221.1, XP_005073967.1, XP_040606220.1, XP_040606222.1, XP_021085049.1, XP_005073895.2, XP_005073896.1, XP_005073963.1	XP_006107099.2
OG0000088	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1	XP_023620812.1
OG0000090	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1	XP_023602041.1
OG0000092	XP_021088358.1	XP_023612296.1
OG0000093	XP_005080052.1	XP_023603971.1, XP_014304922.1
OG0000095	XP_005079189.1	XP_023603269.1
OG0000095	XP_005079186.1	XP_006106789.1
OG0000095	NP_001268811.1	XP_006106790.1
OG0000096	XP_005081499.1, XP_012976978.1, XP_012976979.1	XP_006087239.1
OG0000096	XP_012966033.2, XP_040611717.1, XP_040611727.1, XP_040611719.1, XP_040611718.1	XP_006085768.1, XP_023607165.1, XP_023607164.1
OG0000099	XP_021080880.2, XP_040597302.1	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1
OG0000099	XP_012967795.1	XP_023610089.1
OG0000100	XP_040590986.1	XP_023604015.1
OG0000100	XP_005080471.1	XP_006081076.1
OG0000101	XP_012970239.1	XP_006102598.1
OG0000101	XP_005088403.1, XP_005088404.1	XP_006084736.1
OG0000102	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1	XP_006103626.2, XP_006103624.1
OG0000103	XP_005071800.3	XP_014311038.1
OG0000104	XP_012977305.1	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1
OG0000104	XP_040603486.1, XP_040589366.1, XP_040589367.1, XP_040589479.1	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1
OG0000105	XP_040591166.1	XP_014314667.1
OG0000106	XP_040602671.1	XP_006106865.1
OG0000106	XP_005064427.1	XP_006103520.1
OG0000106	XP_005080701.2	XP_006099091.1
OG0000106	XP_040587404.1	XP_014310895.1
OG0000107	XP_005065130.1, XP_005065131.1	XP_006092103.1
OG0000107	XP_040600824.1, XP_005065129.1	XP_023612356.1
OG0000108	XP_040608920.1, XP_040608919.1, XP_040608921.1	XP_006083067.1
OG0000109	XP_005078834.2	XP_006102782.1
OG0000109	XP_005078833.2	XP_006102760.1
OG0000109	XP_040597897.1	XP_006102783.1, XP_006102784.1
OG0000110	XP_040604934.1	XP_006105151.1
OG0000110	XP_040604931.1, XP_005067566.1	XP_006108001.1
OG0000110	XP_040604935.1, XP_040604937.1, XP_040604936.1	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1
OG0000111	XP_012982372.1, XP_005088276.2, XP_040587443.1	XP_023603133.1
OG0000113	XP_040600343.1, XP_040600344.1, XP_040600374.1, XP_040600373.1, XP_005076782.1	XP_023614621.1, XP_023614629.1
OG0000114	XP_005070620.1, XP_005070610.2, XP_040608709.1	XP_023615099.1
OG0000114	XP_040609379.1, XP_021082995.1	XP_023615102.1
OG0000115	XP_005067252.1	XP_006091570.1
OG0000115	XP_012967007.1, XP_005067757.1	XP_014321084.1
OG0000116	XP_040614037.1	XP_006086570.1
OG0000116	XP_005070838.1	XP_014319941.1
OG0000118	XP_040592964.1	XP_014311373.1, XP_023609603.1, XP_023609604.1
OG0000119	XP_005066137.1, XP_005066138.1, XP_012965891.1, XP_012965892.1	XP_014322039.1
OG0000120	XP_040607247.1	XP_023617223.1
OG0000121	XP_040598139.1, XP_005075252.1, XP_040598140.1, XP_021085845.1, XP_012972648.1, XP_012972650.1, XP_012972652.1, XP_012972649.1	XP_023616611.1, XP_023616613.1, XP_023616612.1
OG0000122	XP_012977225.2	XP_023618125.1
OG0000122	XP_040604850.1, XP_040595192.1, XP_040586848.1, XP_040586853.1	XP_023605732.1
OG0000123	XP_005067471.1	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1
OG0000124	XP_040589326.1	XP_023612765.1
OG0000125	XP_005087419.3	XP_006095004.1
OG0000125	XP_040603962.1, XP_040603963.1, XP_040605621.1	XP_006095005.1, XP_006095008.1, XP_006095006.1
OG0000125	XP_021079408.2	XP_006095007.1
OG0000127	XP_012978066.1	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1
OG0000128	XP_012966127.1	XP_023602430.1
OG0000128	XP_012966093.1, XP_012966126.1	XP_023602433.1
OG0000130	XP_012981582.1	XP_006094605.1
OG0000130	XP_005074159.2, XP_012981599.1, XP_040587531.1	XP_006094607.1
OG0000131	XP_005075791.1, XP_005075797.1, XP_005075792.1, XP_005075796.2, XP_005075793.1, XP_005075795.1, XP_005075835.1, XP_005075794.1	XP_006089739.1, XP_006108842.1
OG0000132	XP_040584133.1, XP_012965653.1, XP_005065914.1, XP_040584136.1, XP_040584135.1, XP_012965654.1, XP_040584134.1	XP_006084467.1
OG0000133	XP_012974105.1, XP_040589323.1, XP_040589322.1, XP_040589324.1	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1
OG0000134	XP_040594363.1	XP_006084217.2
OG0000135	XP_040597461.1	XP_023607667.1
OG0000136	XP_040597418.1, XP_040597423.1, XP_040597422.1, XP_040597412.1, XP_040597417.1, XP_040597415.1, XP_040597425.1, XP_040597421.1, XP_040597420.1, XP_040597419.1, XP_040597424.1, XP_040597416.1, XP_040597414.1, XP_040597413.1	XP_023606748.1
OG0000137	XP_005083118.2	XP_006094818.1
OG0000137	XP_005083116.2	XP_006094801.1
OG0000142	XP_005078668.1, XP_021087797.1, XP_012974904.1	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1
OG0000145	XP_040601513.1, XP_040601471.1, XP_040601448.1, XP_040601475.1, XP_040601461.1, XP_040601506.1, XP_040601487.1, XP_040601429.1, XP_040601454.1, XP_040601443.1, XP_040601434.1, XP_040601477.1, XP_040601494.1, XP_040601500.1	XP_006096700.1
OG0000146	XP_012965929.1, XP_021080520.1, XP_005066248.1	XP_006105955.1, XP_023602559.1
OG0000147	NP_001268484.1, XP_040592907.1, XP_021087628.1, NP_001268508.1	XP_023617290.1, XP_023603880.1, XP_023603879.1
OG0000149	XP_040590635.1	XP_023600635.1
OG0000149	XP_040594233.1	XP_023616468.1, XP_014306422.2
OG0000149	XP_005076578.1	XP_023617009.1
OG0000149	XP_040594544.1	XP_006096963.1
OG0000151	XP_005077129.1	XP_006101983.2
OG0000151	XP_005077002.1	XP_023599168.1, XP_023599167.1, XP_023605154.1
OG0000151	XP_040605238.1	XP_023599174.1
OG0000153	XP_040610221.1	XP_006101380.1, XP_006101379.1
OG0000157	XP_005073762.1	XP_006089394.1
OG0000158	XP_040596009.1	XP_014315308.1
OG0000158	XP_040608279.1	XP_006095193.1, XP_006102438.1, XP_006087316.1
OG0000158	XP_040597923.1	XP_014308345.1
OG0000158	XP_040587749.1, XP_040605485.1	XP_014323398.1, XP_006094724.1
OG0000159	XP_005076805.1, XP_012973642.1, XP_005076803.1, XP_005076804.2, XP_040606230.1, XP_005076807.3, XP_005076806.2, XP_040606233.1, XP_040606232.1	XP_014316276.1, XP_014306719.1, XP_014316274.1
OG0000161	XP_040593271.1, XP_021088617.2, XP_040607160.1, XP_005080069.2, XP_040593260.1, XP_040593267.1, XP_040593265.1, XP_040593266.1, XP_040593262.1, XP_040593264.1, XP_040593263.1, XP_040593268.1, XP_012969603.1, XP_005071276.1, XP_012969602.1	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1
OG0000163	XP_040590656.1	XP_014322276.1
OG0000163	XP_040590680.1	XP_023620683.1
OG0000164	XP_040597344.1	XP_006086410.1
OG0000165	XP_012979986.1	XP_014309436.1, XP_023607965.1
OG0000166	XP_040608882.1, XP_012973882.1, XP_012973883.1, XP_005077235.1, XP_012973884.1, XP_012973881.1	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1
OG0000167	XP_040611438.1, XP_040611432.1, XP_005064540.1, XP_021085005.1, XP_040611444.1	XP_006103113.1, XP_023600145.1
OG0000168	XP_012968615.1	XP_006109407.1
OG0000170	XP_021086104.1	XP_014312153.1
OG0000171	XP_040599906.1, XP_040611039.1, XP_040596701.1, XP_005065871.1	XP_006100015.1
OG0000172	XP_021078569.1	XP_023606738.1
OG0000172	XP_040614120.1, XP_040614119.1	XP_023613986.1
OG0000173	XP_040584149.1, XP_040584151.1, XP_040584150.1, XP_040584143.1, XP_040584142.1, XP_040584145.1, XP_040584146.1, XP_040584148.1, XP_040584144.1, XP_040584152.1, XP_040584147.1, XP_040584141.1, XP_012971228.1	XP_006084433.1, XP_014307292.1, XP_023605848.1, XP_023605849.1
OG0000174	XP_040607444.1, XP_005080318.2, XP_005080319.2, XP_040607443.1	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1
OG0000175	XP_040601846.1, XP_040601848.1, XP_040601849.1, XP_040601847.1, XP_012977898.1, XP_005064938.1	XP_023619605.1
OG0000176	XP_012971132.1	XP_023612325.1
OG0000176	XP_040602874.1	XP_023612302.1
OG0000176	XP_005063858.1	XP_023612290.1, XP_006091903.1, XP_014313981.1, XP_023612322.1, XP_023612323.1, XP_023612324.1, XP_006091904.1
OG0000177	XP_012972115.1, XP_005064346.1, XP_040608718.1	XP_023605077.1
OG0000178	XP_040606959.1	XP_023606331.1, XP_014307712.1, XP_014307710.1
OG0000179	XP_005086645.1	XP_006102694.1
OG0000179	XP_040590287.1, XP_040590419.1, XP_040590495.1, XP_040590494.1, NP_001268260.1, XP_005081891.1, XP_012977280.2, XP_040590511.1	XP_014323474.1
OG0000180	XP_040587400.1, XP_040587401.1	XP_014322759.1
OG0000182	XP_040594868.1, XP_040594863.1, XP_040594876.1	XP_023616097.1, XP_006096564.1, XP_023616096.1, XP_006096563.1, XP_014304507.1, XP_023607362.1
OG0000183	XP_005064973.1	XP_006092049.1
OG0000184	XP_040596285.1	XP_023605358.1
OG0000188	XP_040613281.1, XP_040613295.1, XP_040613284.1, XP_040613328.1	XP_006094601.1, XP_006094602.1
OG0000188	XP_005087317.1, NP_001268632.1	XP_006094603.1
OG0000189	XP_005084581.1, XP_021091239.2, XP_005084582.1, XP_005077794.1, XP_012974315.1, XP_005077795.1	XP_006082100.1
