Orthogroup	Mesocricetus_auratus	Mus_musculus
OG0000001	XP_040613227.1	XP_036014171.1, XP_017171176.1, NP_001365610.1, NP_001361681.1, NP_722475.1, XP_030103371.2, XP_017171189.2, XP_017171151.2, NP_001277125.1, NP_001371157.1, NP_001371159.1, NP_001171303.1, NP_898942.1, NP_001358047.1, XP_036014156.1, XP_017171171.1
OG0000001	XP_012980114.1, XP_005069719.1, XP_040596762.1, XP_040592595.1, XP_040597162.1, XP_040597017.1, XP_040590128.1, XP_040591407.1, XP_040600781.1, XP_040593987.1, XP_040593104.1, XP_040593959.1	NP_001395957.1, NP_001001737.1, NP_001296124.1
OG0000001	XP_021087094.1	NP_001191986.1, NP_001186237.1, NP_001028295.2
OG0000001	XP_040589758.1, XP_040596853.1	NP_001135883.1, XP_030107904.1, NP_081293.4
OG0000001	XP_040611174.1	XP_017170764.2, NP_001365623.1, XP_054875574.1, XP_054875579.1, XP_036013047.1, XP_036013642.1, XP_036013623.1, XP_006515363.1, NP_001361001.1, XP_036013679.1, XP_036013678.1, XP_036013674.1, XP_036013624.1, NP_001371123.1, NP_001369767.1, NP_001371190.1, XP_036013031.1, XP_036013640.1, XP_036013673.1, NP_001371074.1, NP_001369748.1, XP_036013622.1, XP_036013613.1
OG0000001	XP_012981467.1	XP_030106060.1
OG0000002	XP_005087851.1	NP_667070.1
OG0000002	XP_040596818.1, XP_040597230.1	NP_666447.1
OG0000002	XP_005083420.1	NP_667251.1
OG0000002	XP_005083419.1	NP_667252.1
OG0000002	XP_005083422.1	NP_667253.1
OG0000002	XP_005083421.1	NP_667282.1
OG0000003	XP_005086737.1	NP_075911.2, NP_001277309.1
OG0000003	XP_021091128.1	NP_783597.2
OG0000003	XP_040611612.1	NP_783595.1
OG0000003	XP_040611613.1	NP_835509.2
OG0000003	XP_012967010.1	NP_084358.1
OG0000003	XP_005067770.2	NP_001380452.1
OG0000003	XP_021079067.1	NP_835504.1
OG0000004	XP_040611617.1	NP_835490.1
OG0000004	XP_040611615.1	NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1
OG0000004	XP_040611616.1	NP_001171015.1
OG0000004	XP_005067769.1	NP_835736.1
OG0000004	XP_040608137.1	NP_038577.1
OG0000004	XP_040611610.1	NP_783590.1
OG0000004	XP_021091122.2	NP_835585.3
OG0000004	XP_005072949.1	NP_808356.1
OG0000004	XP_021091115.2	NP_783593.1
OG0000005	XP_005079738.2	NP_667141.1
OG0000005	XP_021088443.2, XP_040610223.1	NP_667138.1, NP_666939.1
OG0000005	XP_005079739.1	NP_666396.1
OG0000005	XP_005079742.2, XP_040611146.1	NP_666758.1
OG0000005	XP_021088490.2	NP_667074.1
OG0000005	XP_012975766.3, XP_005079740.2	NP_666759.1, NP_666755.1
OG0000005	XP_005079741.1	NP_666378.1, NP_996891.2
OG0000005	XP_005079743.1	NP_666379.1
OG0000006	XP_040597031.1	XP_030110853.2
OG0000006	XP_040599337.1	XP_036020530.1, XP_011237194.2
OG0000006	XP_040613590.1	XP_036018054.1
OG0000007	XP_005086773.1	NP_598959.1
OG0000007	XP_012981157.2, XP_040589756.1, XP_005087922.1	NP_598961.1
OG0000007	XP_005086758.1, XP_005086765.1	NP_598953.1, NP_598956.3, NP_598952.1, NP_598954.2, NP_598951.1, NP_598955.1
OG0000007	XP_005086772.1	NP_001160207.1
OG0000007	XP_005085715.1, XP_040589781.1	NP_598991.2, NP_665841.1, NP_001165543.1, NP_598990.2
OG0000007	XP_005085700.1	NP_665847.1, NP_598992.1, NP_001161012.1
OG0000007	XP_012980380.1, XP_005085713.1	NP_598989.1
OG0000008	XP_005085123.2	NP_001277279.1
OG0000008	XP_012981311.2	NP_033592.2
OG0000008	XP_012980805.2	NP_001408747.1
OG0000008	XP_040607222.1	NP_067301.1, NP_001346164.1, NP_001038947.1
OG0000008	XP_005080013.1	NP_001276518.1
OG0000008	XP_012966980.1	NP_035888.2
OG0000008	XP_040607169.1	NP_082406.2, XP_006504688.1
OG0000008	XP_012974811.2	NP_766351.3
OG0000008	XP_005076380.2, XP_021086449.1, XP_040592559.1	NP_001355257.1
OG0000009	XP_040596996.1, XP_040588386.1, XP_040597078.1, XP_040588058.1, XP_040588055.1, XP_040597080.1, XP_040597074.1, XP_040588524.1, XP_040588391.1, XP_040597180.1, XP_040588465.1, XP_040588202.1, XP_040588464.1, XP_040588388.1	NP_034521.1, NP_034522.2, XP_011244602.1, NP_034520.2, NP_001355671.1, NP_001411251.1, NP_001411253.1, NP_001411252.1, NP_001411248.1, NP_075613.3, NP_001411249.1, NP_997531.1, NP_001355670.1, NP_001188389.1, NP_034524.3, NP_001137161.1, XP_017173254.1, NP_001357747.1, XP_006524864.1, NP_001074501.2, NP_001390291.1, XP_006523736.1, NP_034510.3
OG0000010	XP_005065035.2	XP_017174101.1, NP_667184.2
OG0000010	XP_040600849.1	NP_667181.1
OG0000010	XP_040601664.1, XP_040601665.1	NP_667177.2
OG0000010	XP_005065031.1, XP_005064627.1	NP_667176.1, NP_997451.1, NP_667002.2
OG0000010	XP_012975638.1, XP_005064632.2, XP_040600908.1, XP_005064633.1, XP_012975487.2, XP_005064650.1, XP_005065030.1	NP_001011796.2, NP_001011529.1, NP_666485.1
OG0000010	XP_005065029.1	NP_666687.1
OG0000010	XP_040600848.1	XP_017173903.1, NP_666666.1
OG0000010	XP_005065033.1	NP_667003.2
OG0000010	XP_040600851.1	NP_666999.2
OG0000010	XP_005065040.1	NP_667001.1
OG0000010	XP_005065034.1	NP_667019.1
OG0000010	XP_012975523.2	NP_667179.1, NP_667180.1
OG0000010	XP_005064625.1	NP_667194.1
OG0000011	XP_040597859.1	NP_444370.1
OG0000011	XP_040597868.1	NP_444357.1
OG0000011	XP_040597855.1	NP_444375.2
OG0000011	XP_040597852.1	NP_444376.1
OG0000011	XP_040597857.1, XP_040597858.1	NP_444374.2
OG0000011	XP_040597867.1	NP_444358.2
OG0000011	XP_040597854.1	NP_444371.3
OG0000011	XP_005139286.1	NP_444372.2
OG0000011	XP_040597863.1	NP_444360.1, NP_444364.3, NP_444362.3
OG0000011	XP_040597860.1	NP_444369.3
OG0000011	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1
OG0000011	XP_040597853.1	NP_444377.3
OG0000012	XP_005088691.1	NP_776144.1
OG0000012	XP_005080125.1	XP_006527991.1, NP_001094920.1
OG0000012	XP_005080130.1	NP_112448.1, NP_034889.1, NP_032571.2
OG0000012	XP_040599888.1	NP_001028664.2
OG0000013	XP_040591191.1	NP_001011824.1, NP_001011823.1
OG0000013	XP_005077396.1, XP_040592895.1, XP_005088155.2	NP_997028.1
OG0000013	XP_012973996.2	NP_667117.1
OG0000014	XP_012980379.2	NP_666291.2
OG0000014	XP_040590028.1	NP_033603.2
OG0000015	XP_040593112.1	NP_666770.1, NP_666769.1
OG0000015	XP_021087015.1	NP_666772.1
OG0000015	XP_005077364.1	NP_666739.1, NP_666737.2, NP_035131.1, NP_001012265.1, NP_666773.1, XP_030100252.1
OG0000016	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2	NP_034637.1
OG0000017	XP_005081713.2	NP_667071.1
OG0000017	XP_005087134.1	NP_666450.2
OG0000017	XP_005086742.1	NP_666395.2
OG0000017	XP_040603984.1, XP_040603983.1	NP_001011863.1, NP_001349594.1, NP_035132.2
OG0000017	XP_040591625.1	NP_667152.1
OG0000017	XP_040591602.1	NP_667153.1
OG0000017	XP_005076922.1	NP_666404.1
OG0000018	XP_005069967.1	NP_032237.1
OG0000018	XP_021080732.2	NP_835734.2, NP_783584.1
OG0000018	XP_021080731.2	NP_835587.1
OG0000018	XP_005067768.1	NP_001304932.1
OG0000019	XP_040600867.1, XP_040600868.1	NP_666953.1
OG0000019	XP_005064844.1, XP_005064843.1	NP_666661.2
OG0000019	XP_005064848.1	NP_001011787.1, NP_001011803.2
OG0000019	XP_005064585.1, XP_005064847.1	NP_997034.1
OG0000019	XP_005064584.1	NP_666474.1
OG0000019	XP_005064850.1	NP_666514.2
OG0000019	XP_005064849.1	NP_666513.2
OG0000019	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1	NP_666386.1
OG0000019	XP_005064841.2	NP_666660.1
OG0000020	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1
OG0000020	XP_021090982.1	XP_006539826.1, NP_001074708.2
OG0000020	XP_040589773.1, XP_040589996.1	XP_036011513.1, NP_001278821.1, NP_032173.1, NP_038560.1
OG0000021	XP_005077511.3, XP_040589524.1, XP_005087265.2, XP_040588430.1	NP_666401.1, NP_666399.1, NP_666843.1
OG0000021	XP_005077475.1	NP_666402.2
OG0000022	XP_012968143.1	NP_291065.3
OG0000022	XP_012968137.1	NP_291072.1
OG0000022	XP_040597834.1	NP_291067.1
OG0000022	XP_012968139.1	NP_291068.2
OG0000022	XP_012968141.1	NP_291070.1
OG0000022	XP_012968138.2	NP_291069.1
OG0000022	XP_040597837.1	NP_291071.1
OG0000022	XP_040597835.1	NP_291066.1
OG0000022	XP_040597836.1	NP_291062.1
OG0000022	XP_040597838.1	NP_291063.1
OG0000022	XP_012968142.1	NP_291064.1
OG0000023	XP_021090051.1	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2
OG0000023	XP_012979575.2	XP_036008858.1, NP_663556.1
OG0000023	XP_040592152.1, XP_005084860.3	NP_112458.2, XP_006541381.1
OG0000024	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1	NP_667041.2
OG0000024	XP_005069427.1	NP_666958.1, NP_666957.1
OG0000024	XP_005069439.1	NP_667037.1, NP_666822.1
OG0000024	XP_005069315.1	NP_001011826.1
OG0000024	XP_012968276.2, XP_005069438.2, XP_040585969.1	NP_666820.2, NP_666651.1
OG0000024	XP_005069440.1	NP_666824.1
OG0000024	XP_012968278.1	NP_666825.1
OG0000026	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1
OG0000026	XP_012973615.1	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1
OG0000027	XP_005070529.1	NP_033473.1
OG0000027	XP_040609793.1	NP_033474.1
OG0000027	XP_040593732.1	NP_059075.1
OG0000027	XP_040611487.1	NP_001029051.2
OG0000027	XP_040599534.1	NP_033475.1, NP_033472.1
OG0000027	XP_040609790.1	NP_035783.1
OG0000027	XP_040609794.1	NP_035784.1
OG0000028	XP_012966156.1	NP_001011841.1, NP_666786.1, NP_666906.1
OG0000028	XP_005063854.1	NP_001011840.1, NP_666414.1
OG0000028	XP_040588468.1, XP_012967590.1	NP_666902.1
OG0000028	XP_005063306.1	NP_666909.1
OG0000028	XP_005063857.1	NP_666908.2
OG0000029	XP_005076794.1	NP_667211.2, NP_667212.2
OG0000029	XP_040606242.1, XP_040606301.1, XP_005076843.2	NP_667210.2, NP_001011662.2, NP_667208.2
OG0000029	XP_005076795.1	NP_667207.2, XP_030104978.1
OG0000029	XP_040606248.1	NP_667213.2
OG0000029	XP_005076798.2	NP_667209.1
OG0000030	XP_040587064.1, XP_040587066.1, XP_040587065.1, XP_040587067.1	XP_030110290.1, NP_001357804.1
OG0000031	XP_005077476.1	NP_667273.1
OG0000031	XP_005067750.1	NP_001011789.1
OG0000031	XP_040612128.1, XP_005086751.3, XP_040611602.1	NP_001011820.1, NP_666754.2
OG0000031	XP_040611600.1, XP_040611601.1	NP_666753.2
OG0000031	XP_005086741.1	NP_997455.1
OG0000032	XP_040597878.1	NP_619603.1
OG0000032	XP_040597877.1	NP_001167625.1, NP_031792.1
OG0000032	XP_040597876.1	NP_034091.1
OG0000032	XP_040597879.1	NP_034089.1
OG0000032	XP_040597875.1	NP_473413.1
OG0000032	XP_012968163.2, XP_040597869.1	NP_001288185.1, NP_031793.2
OG0000032	XP_040597870.1	NP_619602.1
OG0000032	XP_040597872.1	NP_034090.1
OG0000032	XP_040597871.1	NP_619604.1
OG0000033	XP_005070273.1	NP_001355168.1, NP_598919.1
OG0000033	XP_012968668.2	XP_030101751.1, NP_001346741.1
OG0000033	XP_005070271.1	XP_006533136.1, NP_742047.1
OG0000033	XP_005070011.3	NP_001334580.1, NP_954691.3
OG0000033	XP_012968934.1	NP_001162624.1, XP_017170043.1
OG0000033	XP_040605960.1	NP_663412.1, XP_030102331.1, NP_001095126.1, NP_001095127.1, NP_954671.1, XP_006533716.1, XP_006531943.1, XP_036012057.1
OG0000034	XP_012969626.1	NP_001160200.1
OG0000034	XP_012981677.2, XP_005087476.2, XP_012973194.1, XP_005076167.1, XP_005076126.2, XP_005087477.1, XP_005087475.2	NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1
OG0000034	XP_040595329.1, XP_040593015.1	NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2
OG0000035	XP_040601947.1, XP_012975185.1	NP_033738.1
OG0000035	XP_005064723.1	NP_033736.1, NP_001258970.1
OG0000035	XP_005063733.1	NP_031418.1
OG0000035	NP_001268524.1, XP_012975858.1	NP_031419.1
OG0000035	XP_040606104.1	NP_033739.1
OG0000035	XP_005065601.1	NP_780706.1
OG0000035	XP_005071114.1	NP_033740.2
OG0000036	NP_001268612.1	NP_082365.1, XP_006527418.1
OG0000036	XP_040600829.1, XP_005063680.1	NP_082467.2, NP_001011707.1
OG0000036	XP_040600828.1	NP_034131.2, NP_598905.2, NP_996260.1, XP_006527235.1
OG0000036	XP_005063672.1	XP_011245537.1, NP_663474.2
OG0000038	XP_012975442.1	NP_667230.1
OG0000038	XP_005065093.1	NP_666801.2
OG0000038	XP_005065094.1	NP_997557.2, NP_997018.2, NP_666521.2
OG0000038	XP_005065098.1	NP_666520.2
OG0000038	XP_021089454.1	NP_667057.2
OG0000038	XP_012975394.1	NP_667223.1
OG0000039	XP_040611731.1	NP_076205.1
OG0000039	XP_005066458.1	NP_033476.1
OG0000039	XP_005087662.1	NP_035785.1
OG0000039	XP_005083770.1	NP_666228.1
OG0000039	XP_005081404.1	NP_033477.2
OG0000039	XP_005073218.1	NP_075768.1
OG0000039	XP_040588788.1	NP_001074440.1
OG0000039	XP_005074701.1	NP_080749.2
OG0000040	XP_005066964.1	NP_666393.1
OG0000040	XP_040608727.1, XP_040608728.1	NP_666392.1
OG0000040	XP_005067235.1	NP_666668.2
OG0000040	XP_005066965.1	NP_667247.1
OG0000041	XP_005065090.1	NP_001355135.1, NP_666478.1
OG0000041	XP_005065088.1	NP_666477.1
OG0000041	XP_005064664.3	NP_997037.2
OG0000041	XP_005065092.1	NP_666803.1
OG0000041	XP_021088661.1	NP_666802.2
OG0000041	XP_005065087.2, XP_012976050.1	NP_861539.2, XP_006499622.1, NP_666941.2
OG0000042	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1	NP_780740.2
OG0000042	XP_021090424.2, XP_012978311.3	NP_001030040.2, NP_991379.3
OG0000042	XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1	NP_997421.1, NP_991364.1
OG0000042	XP_021079562.2	NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1
OG0000042	XP_040589197.1, XP_040597262.1	NP_997423.1
OG0000043	XP_040589229.1, XP_005075826.2	NP_666948.1, NP_666949.1, NP_666946.1
OG0000043	XP_005075768.1	NP_666709.1
OG0000043	XP_012972964.1, XP_012972963.1	NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1
OG0000043	XP_012972962.2	NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1
OG0000043	XP_040589196.1, XP_040589194.1	NP_666423.1
OG0000043	XP_005075767.1	NP_666954.1
OG0000043	XP_005075778.1	NP_666637.1, NP_666636.1
OG0000043	XP_005075769.1	NP_001011871.1
OG0000043	XP_040589195.1	NP_666950.1
OG0000043	XP_040589266.1	NP_666945.1
OG0000044	XP_021080739.1	NP_291074.1
OG0000044	XP_040611628.1	NP_835582.1
OG0000044	XP_040599370.1	NP_694813.1
OG0000044	XP_012981124.1	NP_835500.1
OG0000044	XP_040611630.1	NP_835583.1
OG0000044	XP_021080738.1	NP_835499.1
OG0000045	XP_012967012.1	NP_001093105.1, XP_006532475.1
OG0000045	XP_005067661.2	NP_001074719.1
OG0000045	XP_040604827.1, XP_040604828.1	NP_109604.1, XP_017169807.1
OG0000045	XP_005067663.2	XP_036012291.1, NP_796343.2
OG0000045	XP_040604829.1	NP_001034634.2
OG0000045	XP_040604830.1	NP_034985.2
OG0000046	XP_040598114.1	NP_077764.2, XP_006509811.1
OG0000046	XP_040593590.1, XP_040593589.1	XP_006524022.1, NP_001094915.1
OG0000046	XP_005083451.1	NP_570952.1
OG0000046	XP_005083446.1, XP_040594995.1	XP_036016649.1, NP_001093657.1, NP_001343232.1
OG0000046	XP_040594999.1, XP_005083449.2, XP_040594997.1	NP_001095058.1, NP_001355664.1, XP_006524820.1
OG0000046	XP_040594312.1	NP_598888.1
OG0000046	XP_012978446.1	NP_001191262.1, XP_030105833.1, NP_001191263.1, NP_001344717.1, NP_071879.1, NP_001191265.1, NP_001191264.1
OG0000048	XP_005086487.1	NP_036057.1
OG0000048	XP_040590516.1, XP_040590186.1, XP_040590252.1	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1
OG0000049	XP_012970837.1	NP_065063.1
OG0000049	XP_040598230.1, XP_005075263.2, XP_040598231.1	NP_787953.2
OG0000049	XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1	NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1
OG0000049	XP_040587835.1	XP_006509324.1, NP_034216.3
OG0000050	XP_040591601.1	NP_667151.1
OG0000050	XP_040591585.1	NP_667157.1
OG0000050	XP_005082163.1	NP_667159.1, XP_030107398.1, NP_667154.1, NP_667156.1, NP_667162.1, NP_667158.1, NP_666839.1, NP_667149.1, NP_667160.1, NP_667161.1
OG0000050	XP_040591590.1, XP_040591584.1	NP_667155.1
OG0000051	XP_040589515.1	NP_034061.2
OG0000051	XP_040609155.1	NP_031760.2, XP_036013028.1
OG0000051	XP_040589514.1	NP_034062.3
OG0000051	XP_012977763.1	XP_011246185.1, NP_444415.2
OG0000051	XP_040609153.1, XP_040609154.1	XP_011236954.1, NP_031761.1
OG0000051	XP_005082522.1	XP_006528759.1, NP_001156627.1
OG0000052	XP_040592338.1	NP_001157093.1
OG0000052	XP_021078671.1	XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1
OG0000052	XP_012966499.1	NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1
OG0000052	XP_040610156.1, XP_040592247.1	XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2
OG0000053	XP_040606309.1	XP_006523192.1, XP_006523195.1, XP_030105245.1
OG0000053	XP_005073958.1, XP_005073886.1, XP_005073885.1	XP_006523183.1, XP_006523185.1
OG0000054	XP_012976161.1	XP_030108264.1, NP_001396544.1
OG0000055	XP_005075771.1	NP_667136.1
OG0000055	XP_005075828.3	NP_001005488.1
OG0000055	XP_005075773.1	NP_667135.1, NP_667137.1
OG0000055	XP_005075776.1, XP_005075775.1	NP_666985.1, NP_666986.1, NP_666706.1
OG0000055	XP_005075770.1	NP_666947.1
OG0000055	XP_021086135.2, XP_012972950.1	NP_064687.2, NP_666984.1
OG0000056	XP_005065047.1	NP_997023.1
OG0000056	XP_005065036.1	NP_666435.1
OG0000056	XP_005065037.1	NP_001011761.1
OG0000056	XP_005065048.1	NP_001011804.1, XP_011237863.1
OG0000057	XP_040609095.1, XP_040609094.1, XP_040609097.1	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1
OG0000057	XP_040609083.1	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3
OG0000057	XP_040608743.1	XP_011246334.1, NP_796029.2
OG0000057	XP_040609099.1, XP_040609098.1	NP_998780.2, XP_036018112.1, XP_036018107.1, XP_006535927.1, XP_036018101.1
OG0000057	XP_040609082.1, XP_040609085.1	NP_001359160.1
OG0000058	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1
OG0000059	XP_040606237.1, XP_012973635.3, XP_005076844.2	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2
OG0000059	XP_005076797.1	NP_666434.2
OG0000059	XP_040606244.1	NP_666509.2
OG0000059	XP_012973632.1, XP_005076796.1	NP_666433.1
OG0000059	XP_040606246.1, XP_040606247.1	NP_666696.2, XP_017172474.1
OG0000060	XP_012980426.1, XP_040608584.1, XP_012980427.1	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1
OG0000061	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1	NP_032675.2, XP_011248383.1, NP_001074754.1, NP_032674.1, NP_001012323.1, XP_006538108.1, NP_001009550.1, NP_001034633.1, NP_001157998.1, NP_001334063.1, NP_001186935.1, NP_001334058.1, NP_001334060.1, NP_001186928.1, NP_001186933.1, NP_001186924.1, XP_003688833.1, XP_006537578.1, XP_006537546.1, XP_006537549.1, XP_030108871.1, XP_030108860.1, XP_030108849.1, XP_006537554.1, XP_006537544.1, XP_006537552.1, XP_006537543.1, XP_006537714.1, XP_006537550.1, XP_006537547.1, NP_001156483.1, NP_001156482.1, NP_112465.2, NP_001039015.1, NP_001128599.1, NP_001268908.1, NP_001186865.1, NP_001116119.1, NP_001334083.1, NP_001186262.1
OG0000061	XP_012978726.1	NP_084235.1, XP_017174827.1
OG0000062	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2
OG0000063	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1
OG0000064	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1
OG0000065	XP_005139289.2, XP_040602518.1, XP_040608744.1	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1
OG0000066	XP_040610768.1	XP_036018682.1, XP_036014184.1
OG0000066	XP_005083244.1	XP_036013010.1
OG0000066	XP_040605362.1	XP_036011071.1
OG0000067	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1
OG0000068	XP_005063311.1	NP_666899.1
OG0000068	XP_040587014.1, XP_005088425.2, XP_005063862.2	NP_666897.2, NP_666526.1, NP_666896.2, NP_666898.2, NP_001011839.1
OG0000068	XP_005063310.1	NP_666895.1
OG0000069	XP_040596557.1, XP_040596556.1, XP_040596558.1	NP_780707.1, XP_006519052.1
OG0000069	XP_005139384.2	XP_011245927.1, NP_001093931.1
OG0000069	XP_005086454.1	NP_081714.2
OG0000069	XP_005068441.1	NP_001136409.1, NP_071718.1
OG0000070	XP_021084043.1	NP_001408095.1, NP_001408093.1
OG0000071	XP_040607689.1	NP_001028804.1
OG0000071	XP_012971826.1	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1
OG0000071	XP_012971753.2	NP_079654.1
OG0000071	XP_040607730.1	XP_030098981.1, NP_109619.1
OG0000072	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1	XP_011245661.1, NP_082595.1
OG0000073	XP_005065080.2	NP_667239.2
OG0000074	XP_040613609.1	NP_001290168.1, NP_001290160.1, NP_032061.1
