Orthogroup	Mesocricetus_auratus	Echinops_telfairi
OG0000012	XP_005080125.1	XP_012862981.1
OG0000012	XP_021088650.1, XP_005080130.1	XP_045146714.1, XP_045146698.1, XP_045146499.1
OG0000012	XP_040599889.1, XP_040599760.1, XP_040599888.1	XP_004713947.1, XP_004711269.1
OG0000013	XP_040591191.1	XP_004714288.1, XP_004714287.1
OG0000013	XP_012973996.2	XP_004714373.1
OG0000014	XP_012980406.1	XP_045148253.1
OG0000014	XP_012980379.2, XP_040590028.1	XP_045148265.1, XP_045148272.1
OG0000015	XP_040593112.1, XP_012976898.1, XP_021087015.1	XP_004716911.2
OG0000015	XP_005077393.1	XP_004717431.1
OG0000017	XP_005081713.2, XP_040603898.1, XP_040603900.1, XP_040603899.1	XP_004706250.1, XP_004706251.1, XP_004706265.1, XP_045141829.1, XP_004706263.1, XP_004706256.1, XP_004706253.1, XP_004706254.3, XP_004706252.1, XP_004717982.2, XP_004706249.2, XP_030740248.1, XP_030740247.1, XP_004706273.1, XP_030740249.1, XP_004706248.1, XP_045141832.1, XP_004706244.1, XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2
OG0000017	XP_005086742.1	XP_004717472.1
OG0000017	XP_040603984.1, XP_040603983.1	XP_004707348.1
OG0000017	XP_005076922.1	XP_012863346.1
OG0000018	XP_005069967.1	XP_012859399.1
OG0000018	XP_012966031.1, XP_021080732.2, XP_021079072.2, XP_021080731.2	XP_004716622.1
OG0000018	XP_005067768.1	XP_004696931.1
OG0000019	XP_005064850.1	XP_004712786.1, XP_004712718.2, XP_004698479.1
OG0000019	XP_005064849.1	XP_004712790.1
OG0000019	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1	XP_004712724.1
OG0000019	XP_005064841.2	XP_004712723.1
OG0000020	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1	XP_030742134.1
OG0000020	XP_040589773.1, XP_040589996.1	XP_045148328.1
OG0000021	XP_005077475.1	XP_004717803.1
OG0000021	XP_005078541.1	XP_030744587.1
OG0000022	XP_012968143.1	XP_012861131.1
OG0000022	XP_012968137.1	XP_012860159.3
OG0000022	XP_012968139.1	XP_030744626.2
OG0000022	XP_040597835.1	XP_045140666.1
OG0000022	XP_040597836.1	XP_004697099.2
OG0000022	XP_040597838.1	XP_045140875.1
OG0000022	XP_012968142.1	XP_030744629.2
OG0000023	XP_021090051.1	XP_030742169.1
OG0000023	XP_040592152.1, XP_005084860.3	XP_012862151.1
OG0000024	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1, XP_005069427.1	XP_004714285.1
OG0000026	XP_012973615.1	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1
OG0000027	XP_005070529.1	XP_012861603.1
OG0000027	XP_040593732.1	XP_004710335.1
OG0000027	XP_040611487.1	XP_012862704.1
OG0000028	XP_005063306.1, XP_005063857.1	XP_004715034.1
OG0000029	XP_005076794.1	XP_004706573.1, XP_004706506.1
OG0000029	XP_040606242.1, XP_040606301.1, XP_005076843.2	XP_012861092.2
OG0000029	XP_040606240.1, XP_040606241.1, XP_005076795.1, XP_040606248.1, XP_005076798.2	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2
OG0000031	XP_005077476.1	XP_004717805.1
OG0000031	XP_005067750.1	XP_004697319.1
OG0000031	XP_040612128.1, XP_005086751.3, XP_040611602.1	XP_004717464.1, XP_012863974.1
OG0000031	XP_005086741.1	XP_004717473.1
OG0000032	XP_040597881.1	XP_045140675.1
OG0000033	XP_012968668.2	XP_045155424.1
OG0000033	XP_005070271.1	XP_004709364.2
OG0000033	XP_005070011.3	XP_045155427.1, XP_045155234.1
OG0000033	XP_012968934.1, XP_040605960.1	XP_004709367.1, XP_012861717.2
OG0000035	XP_012975185.1	XP_004712740.1
OG0000035	XP_005064723.1	XP_004712219.1
OG0000035	XP_005063733.1	XP_030741765.1
OG0000035	XP_005065601.1	XP_004703656.1
OG0000035	XP_005071114.1	XP_030740512.1
OG0000036	XP_040600829.1, XP_005063680.1, XP_040600828.1, NP_001268504.1, XP_040597720.1, XP_040597238.1, NP_001268582.1, NP_001268615.1	XP_004701114.1
OG0000036	XP_005063672.1	XP_004701111.1
OG0000038	XP_012975442.1	XP_012861542.1
OG0000039	XP_040611731.1, XP_005066458.1	XP_004711707.2
OG0000039	XP_005087662.1	XP_004711733.1
OG0000039	XP_005083770.1	XP_004702931.1
OG0000039	XP_005073218.1	XP_045156035.1
OG0000039	XP_040588788.1	XP_004716151.1
OG0000039	XP_005074701.1	XP_004702928.1
OG0000040	XP_040608727.1, XP_040608728.1	XP_004711551.1, XP_004711550.1
OG0000040	XP_005067235.1	XP_004711481.1
OG0000040	XP_005066965.1	XP_004711562.2
OG0000041	XP_005065090.1	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1
OG0000041	XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1	XP_012861540.1
OG0000042	XP_021079562.2, XP_040589197.1, XP_040597262.1	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1
OG0000043	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1	XP_012863712.2, XP_030741683.1, XP_030741692.1
OG0000045	XP_012967012.1	XP_045149228.1
OG0000045	XP_040604827.1, XP_040604828.1	XP_004709406.1
OG0000045	XP_005067663.2	XP_012861750.1
OG0000045	XP_040604829.1	XP_012861749.1
OG0000045	XP_040604830.1	XP_004709407.1
OG0000048	XP_040590516.1, XP_040590186.1, XP_040590252.1	XP_045148625.1, XP_030742216.1, XP_045148205.1
OG0000049	XP_012970837.1	XP_012859118.1
OG0000049	XP_040598230.1, XP_005075263.2, XP_040598231.1, XP_005066586.2, XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1, XP_040587835.1	XP_004696508.2
OG0000051	XP_040589515.1	XP_045139744.1
OG0000051	XP_040609155.1	XP_045150200.1
OG0000051	XP_040589514.1	XP_004704466.1
OG0000051	XP_012977763.1	XP_045154467.1
OG0000051	XP_040609153.1, XP_040609154.1	XP_045150193.1
OG0000051	XP_005082522.1	XP_004710098.1
OG0000052	XP_040592338.1	XP_004700778.2
OG0000053	XP_040606309.1, XP_005073958.1, XP_005073886.1, XP_005073885.1	XP_030744714.1
OG0000054	XP_012976161.1	XP_045154396.1
OG0000055	XP_005075771.1	XP_004716482.1
OG0000055	XP_021086135.2, XP_012972950.1	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1
OG0000056	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1
OG0000057	XP_040609095.1, XP_040609094.1, XP_040609097.1	XP_045151837.1, XP_045150218.1
OG0000057	XP_040609083.1	XP_045152239.1
OG0000057	XP_040609099.1, XP_040609098.1	XP_045150220.1, XP_045151593.1
OG0000057	XP_040609082.1, XP_040609085.1	XP_045152873.1
OG0000058	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1	XP_004715220.1
OG0000060	XP_012980426.1, XP_040608584.1, XP_012980427.1	XP_012862321.2
OG0000061	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1	XP_012862257.2
OG0000061	XP_012978726.1	XP_045145283.1
OG0000062	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1	XP_004715350.1
OG0000063	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1
OG0000064	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1
OG0000065	XP_005139289.2, XP_040602518.1, XP_040608744.1	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1
OG0000066	XP_040605362.1	XP_045144912.1
OG0000067	XP_005076495.1	XP_004697275.1
OG0000067	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2	XP_012861343.1, XP_004697249.1
OG0000068	XP_012966146.1	XP_030743378.2
OG0000069	XP_040596557.1, XP_040596556.1, XP_040596558.1	XP_004707765.1
OG0000069	XP_005139384.2	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1
OG0000069	XP_012982640.1	XP_004715688.1
OG0000069	XP_005086454.1	XP_004698759.1
OG0000069	XP_005068441.1	XP_004698825.1
OG0000070	XP_021084043.1	XP_045148084.1
OG0000071	XP_012971826.1, XP_012971753.2, XP_040607730.1	XP_045140953.1, XP_012863904.1
OG0000072	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1	XP_004701095.1, XP_045147551.1
OG0000073	XP_005065080.2	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2
OG0000074	XP_040613609.1	XP_004708970.1
OG0000075	XP_005084587.1	XP_012859131.1, XP_045144281.1
OG0000075	XP_040600633.1	XP_004715682.1
OG0000076	XP_021082326.2	XP_045140664.1
OG0000076	XP_040597839.1	XP_045140667.1
OG0000077	XP_012966788.1	XP_004716948.1
OG0000078	NP_001268256.1, XP_040610188.1	XP_045144918.1
OG0000079	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1	XP_045140817.1, XP_004696894.1, XP_045140816.1
OG0000080	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1	XP_030743379.1
OG0000081	XP_040590974.1	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1
OG0000082	XP_040588269.1, XP_040588270.1, XP_040588274.1	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1
OG0000084	XP_040584800.1, XP_005082842.2, XP_021090181.1	XP_045141025.1, XP_045141026.1, XP_004703689.1
OG0000085	XP_005077363.1	XP_004717398.1, XP_004717958.1
OG0000086	XP_005065146.1	XP_004714964.1
OG0000086	XP_040610260.1	XP_004705744.1
OG0000086	XP_021087100.2	XP_045154464.1
OG0000086	XP_040605355.1, XP_012973815.1, XP_021086732.1	XP_004707070.1
OG0000087	XP_005073895.2, XP_005073896.1	XP_004713160.1
OG0000087	XP_005073963.1	XP_030744519.1
OG0000088	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1	XP_045140349.1, XP_045140348.1, XP_045140350.1
OG0000089	XP_012975736.2, XP_005065076.1, XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1	XP_004708559.1, XP_004708552.1, XP_004708556.1
OG0000090	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1
OG0000092	XP_005065062.1, XP_005065063.1, XP_005065061.1, XP_005065059.1	XP_004708546.1
OG0000092	XP_005064643.1, XP_012974558.1, XP_021088358.1	XP_004708548.1
OG0000093	XP_005080052.1	XP_045142014.1
OG0000095	XP_005079189.1	XP_004711944.1
OG0000095	NP_001268811.1	XP_045151807.1
OG0000096	XP_005081499.1, XP_012976978.1, XP_012976979.1	XP_004703093.1
OG0000096	XP_012966033.2, XP_040611717.1, XP_040611727.1, XP_040611719.1, XP_040611718.1	XP_004700028.1
OG0000097	XP_040585087.1	XP_045147096.1, XP_045155954.1, XP_045149909.1, XP_045149908.1, XP_045149913.1, XP_045149914.1, XP_045149939.1, XP_045149910.1, XP_045145677.1, XP_045155970.1, XP_045156046.1, XP_045156029.1, XP_045141370.1, XP_045156095.1, XP_045145697.1, XP_045156094.1, XP_045156043.1, XP_045156054.1, XP_045156053.1, XP_045155952.1, XP_045141358.1, XP_045141357.1, XP_045147092.1
OG0000099	XP_012967795.1	XP_045151127.1
OG0000100	XP_040590987.1, XP_040590988.1, XP_040590989.1, XP_040590990.1, XP_040590986.1	XP_004705273.1
OG0000100	XP_005080471.1	XP_004705657.1
OG0000101	XP_012970239.1	XP_045140363.1
OG0000101	XP_005088403.1, XP_005088404.1	XP_045146523.1, XP_045146524.1
OG0000102	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1	XP_004703229.1
OG0000103	XP_040611494.1, NP_001297498.1, XP_021083830.2, NP_001297485.1, XP_005071802.1, XP_040611493.1, NP_001268527.1, XP_005071810.1, XP_040611499.1	XP_045151822.1, XP_004710333.1
OG0000104	XP_012977305.1	XP_045147911.1, XP_004699643.1
OG0000105	XP_040591166.1	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1
OG0000106	XP_040602671.1	XP_004708127.2
OG0000106	XP_005064427.1	XP_004705720.2
OG0000106	XP_005080701.2	XP_004709634.2
OG0000106	XP_040587404.1	XP_004706026.2
OG0000107	XP_005065130.1, XP_005065131.1	XP_004715014.1
OG0000107	XP_040600824.1, XP_005065129.1	XP_004715013.1, XP_004715012.1
OG0000108	XP_040608920.1, XP_040608919.1, XP_040608921.1	XP_004701946.2
OG0000109	XP_005078834.2	XP_004712519.1
OG0000109	XP_040597897.1	XP_004712518.1
OG0000110	XP_040604934.1	XP_004713048.1
OG0000110	XP_040604935.1, XP_040604937.1, XP_040604936.1	XP_045149353.1
OG0000113	XP_040600343.1, XP_040600344.1, XP_040600374.1, XP_040600373.1, XP_005076782.1	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1
OG0000114	XP_040609380.1	XP_004701631.1
OG0000114	XP_005070620.1, XP_005070610.2, XP_040608709.1	XP_004701628.1
OG0000114	XP_021082995.1	XP_004701630.1
OG0000115	XP_005067252.1	XP_004711472.1
OG0000115	XP_005067757.1	XP_004696937.1
OG0000116	XP_040589641.1	XP_030744473.1
OG0000117	XP_005085440.1, XP_012980151.1	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3
OG0000118	XP_040592964.1	XP_030741158.1
OG0000119	XP_005066137.1, XP_005066138.1, XP_012965891.1, XP_012965892.1	XP_004717708.1, XP_004715360.1
OG0000120	XP_040607247.1	XP_004705610.1
OG0000121	XP_040598139.1, XP_005075252.1, XP_040598140.1, XP_021085845.1, XP_012972648.1, XP_012972650.1, XP_012972652.1, XP_012972649.1	XP_045142786.1
OG0000122	XP_012977225.2	XP_004715846.1
OG0000122	XP_040604850.1, XP_040595192.1, XP_040586848.1, XP_040586853.1	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1
OG0000122	XP_040587071.1	XP_012861820.1, XP_030742881.1, XP_045151936.1
OG0000123	XP_005067471.1	XP_030742389.1
OG0000124	XP_040592747.1	XP_012863991.1
OG0000124	XP_012974027.1	XP_045141379.1, XP_045141380.1
OG0000125	XP_005087419.3	XP_004707210.1
OG0000125	XP_040603962.1, XP_040603963.1, XP_040605621.1	XP_045155274.1
OG0000125	XP_021079408.2	XP_045155324.1
OG0000127	XP_012978066.1	XP_004703356.1, XP_045140128.1
OG0000128	XP_021080724.1	XP_045151658.1
OG0000128	XP_012966093.1	XP_004712541.3
OG0000128	XP_012966126.1	XP_045151722.1, XP_004712576.1, XP_045151686.1
OG0000129	XP_040596085.1, XP_040595678.1, XP_040595676.1, XP_040585144.1, XP_040585440.1, XP_040585215.1, XP_040585216.1, NP_001268566.1	XP_004696412.1
OG0000130	XP_005074159.2, XP_012981599.1, XP_040587531.1	XP_004717091.1
OG0000131	XP_005075791.1, XP_005075797.1, XP_005075792.1, XP_005075796.2, XP_005075793.1, XP_005075795.1, XP_005075835.1, XP_005075794.1	XP_004716464.1, XP_004716462.1, XP_012863714.1
OG0000132	XP_040584133.1, XP_012965653.1, XP_005065914.1, XP_040584136.1, XP_040584135.1, XP_012965654.1, XP_040584134.1	XP_004702027.1, XP_045150370.1, XP_045150369.1
OG0000133	XP_012974105.1, XP_040589323.1, XP_040589322.1, XP_040589324.1	XP_045148079.1, XP_004699328.1
OG0000134	XP_040594363.1	XP_045151946.1
OG0000135	XP_040597461.1	XP_045147971.1
OG0000136	XP_040597418.1, XP_040597423.1, XP_040597422.1, XP_040597412.1, XP_040597417.1, XP_040597415.1, XP_040597425.1, XP_040597421.1, XP_040597420.1, XP_040597419.1, XP_040597424.1, XP_040597416.1, XP_040597414.1, XP_040597413.1	XP_045142065.1, XP_045142064.1, XP_004697625.1
OG0000137	XP_005083118.2	XP_004714005.3
OG0000137	XP_012978225.3, XP_005083117.2	XP_004714001.1, XP_012863025.1, XP_004713999.1
OG0000137	XP_005083116.2	XP_004714041.1
OG0000138	XP_040589663.1, XP_005074200.1	XP_004717528.1
OG0000139	XP_012966997.1, XP_040604645.1, XP_021081513.1, XP_021081512.1, XP_012966996.1, XP_012966991.1, XP_012966995.1, XP_012966994.1, XP_012966990.1	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1
OG0000140	XP_040589438.1	XP_030741420.1
OG0000141	XP_040603916.1, XP_005071934.2, XP_040603914.1, XP_040596859.1, XP_040603913.1, XP_040603915.1, XP_040603912.1, XP_005071936.2, XP_005071941.1, XP_005071937.2, XP_005071938.1, XP_005071940.1, XP_005071939.1	XP_004697229.2, XP_045140736.1, XP_004696895.1
OG0000142	XP_005078668.1, XP_021087797.1, XP_012974904.1	XP_045149687.1, XP_004704707.1, XP_045149686.1
OG0000143	XP_040602219.1, XP_040600743.1	XP_030742844.1
OG0000144	XP_040602345.1	XP_045151259.1
OG0000145	XP_040601513.1, XP_040601471.1, XP_040601448.1, XP_040601475.1, XP_040601461.1, XP_040601506.1, XP_040601487.1, XP_040601429.1, XP_040601454.1, XP_040601443.1, XP_040601434.1, XP_040601477.1, XP_040601494.1, XP_040601500.1	XP_045147525.1, XP_004701145.1, XP_045147526.1
OG0000146	XP_012965929.1, XP_021080520.1, XP_005066248.1	XP_045142054.1, XP_045142060.1, XP_004697533.1
OG0000147	XP_040592908.1, NP_001268492.1	XP_004713906.1, XP_004713922.1, XP_004713902.1
OG0000147	NP_001268484.1, XP_040592907.1, XP_021087628.1, NP_001268508.1	XP_004713899.1, XP_004713905.1, XP_004713907.1, XP_004713908.1
OG0000148	XP_040591721.1, XP_040597273.1, XP_040597140.1, XP_005087543.2	XP_004698922.1, XP_004698923.1
OG0000149	XP_040590635.1	XP_045148631.1
OG0000149	XP_040594233.1	XP_004716558.1
OG0000149	XP_005076578.1	XP_004714919.1
OG0000149	XP_040594544.1	XP_045154307.1
OG0000150	XP_005076240.1, XP_005078720.2, XP_012973285.2, XP_040592500.1, XP_040592499.1, XP_040592504.1, XP_040592552.1, XP_040592498.1, NP_001297488.1, XP_040596812.1, XP_040596798.1, XP_040592497.1, XP_005076235.1, XP_012981989.3, XP_040592495.1	XP_012860629.3
OG0000151	XP_005077129.1	XP_004707023.1
OG0000151	XP_040605238.1	XP_004707410.1
OG0000153	XP_040610221.1	XP_012864129.2, XP_030743188.1
OG0000153	XP_005079733.2	XP_004717894.2
OG0000153	XP_040610211.1, XP_040610584.1	XP_012864119.1
OG0000157	XP_005074597.1, XP_012972156.1, XP_012972155.1, XP_012972153.1	XP_004716095.1
OG0000157	XP_005073762.1	XP_045150192.1
OG0000158	XP_040596009.1	XP_045150894.1
OG0000158	XP_040608279.1, XP_040612148.1, XP_040588033.1	XP_012862011.1
OG0000158	XP_040587749.1, XP_040605485.1	XP_012860252.2
OG0000159	XP_005076801.1, XP_005076802.1	XP_004706567.1, XP_004706504.1
OG0000159	XP_005076805.1, XP_012973642.1, XP_005076803.1, XP_005076804.2, XP_040606230.1, XP_005076807.3, XP_005076806.2, XP_040606233.1, XP_040606232.1	XP_004706503.2
OG0000160	XP_012969172.1	XP_045147901.1, XP_045144829.1, XP_045144830.1
OG0000160	XP_021091282.1	XP_045140887.1
OG0000161	XP_040593271.1, XP_021088617.2, XP_040607160.1, XP_005080069.2, XP_040593260.1, XP_040593267.1, XP_040593265.1, XP_040593266.1, XP_040593262.1, XP_040593264.1, XP_040593263.1, XP_040593268.1, XP_012969603.1, XP_005071276.1, XP_012969602.1	XP_045142585.1
OG0000162	XP_040599624.1, XP_040599671.1, XP_021079285.1, XP_012970942.1, XP_040599672.1	XP_012864056.1
OG0000163	XP_040590656.1	XP_045153684.1
OG0000163	XP_040590680.1	XP_045153718.1, XP_045153719.1
OG0000165	XP_012979986.1	XP_045146037.1, XP_045146036.1
OG0000166	XP_040608882.1, XP_012973882.1, XP_012973883.1, XP_005077235.1, XP_012973884.1, XP_012973881.1	XP_045141312.1, XP_045141315.1, XP_045141314.1
OG0000167	XP_040611438.1, XP_040611432.1, XP_005064540.1, XP_021085005.1, XP_040611444.1	XP_045140340.1, XP_004705793.1
OG0000168	XP_040585639.1	XP_045143942.1
OG0000168	XP_040610240.1	XP_045149167.1
OG0000168	XP_040593032.1	XP_045145032.1, XP_045141604.1, XP_045147501.1
OG0000170	XP_021086104.1, XP_040612001.1	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1
OG0000171	XP_040599906.1	XP_045142062.1, XP_045143960.1
OG0000171	XP_040596701.1	XP_045144663.1, XP_045150621.1
OG0000171	XP_005065871.1	XP_030742688.1
OG0000171	XP_040612555.1	XP_045150102.1
OG0000172	XP_021078569.1	XP_045142243.1
OG0000172	XP_040614120.1, XP_040614119.1	XP_004701997.1
OG0000172	XP_005074616.1	XP_004716083.1
OG0000173	XP_040584149.1, XP_040584151.1, XP_040584150.1, XP_040584143.1, XP_040584142.1, XP_040584145.1, XP_040584146.1, XP_040584148.1, XP_040584144.1, XP_040584152.1, XP_040584147.1, XP_040584141.1, XP_012971228.1	XP_004702250.1
OG0000174	XP_040607444.1, XP_005080318.2, XP_005080319.2, XP_040607443.1	XP_030743023.1
OG0000175	XP_040601846.1, XP_040601848.1, XP_040601849.1, XP_040601847.1, XP_012977898.1, XP_005064938.1	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1
OG0000176	XP_040602874.1	XP_004715052.3, XP_045152993.1, XP_045152994.1, XP_045141949.1
OG0000176	XP_005063858.1	XP_045152988.1
OG0000177	XP_012972115.1, XP_005064346.1, XP_040608718.1	XP_004701304.1
OG0000178	XP_040606959.1	XP_045152344.1, XP_045152345.1
OG0000179	XP_005086645.1	XP_004710567.1
OG0000179	XP_040590287.1, XP_040590419.1, XP_040590495.1, XP_040590494.1, NP_001268260.1, XP_005081891.1, XP_012977280.2, XP_040590511.1	XP_004710399.1, XP_004710401.1, XP_004710400.1
OG0000180	XP_040587400.1, XP_040587401.1	XP_045146325.1, XP_045146327.1
OG0000182	XP_040594868.1, XP_040594863.1, XP_040594876.1	XP_045152535.1, XP_045152534.1
OG0000183	XP_005064973.1	XP_004714362.1
