Orthogroup	Mesocricetus_auratus	Canis_lupus_familiaris
OG0000008	XP_012966980.1	XP_038435142.1
OG0000008	XP_040589595.1	XP_038443214.1
OG0000008	XP_005076380.2, XP_021086449.1, XP_040592559.1	XP_038394427.1
OG0000009	XP_040596996.1, XP_040588386.1, XP_040597078.1, XP_040588058.1, XP_040588055.1, XP_040597080.1, XP_040597074.1, XP_040588524.1, XP_040588391.1, XP_040597180.1, XP_040588465.1, XP_040588202.1, XP_040588464.1, XP_040588388.1, XP_012981543.1	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1
OG0000010	XP_005065035.2	NP_001375563.1
OG0000010	XP_040600849.1	XP_038418409.1, NP_001375564.1
OG0000010	XP_005065040.1	NP_001376103.1, NP_001375879.1
OG0000010	XP_005064625.1	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1
OG0000011	XP_040597859.1	XP_038386314.1
OG0000011	XP_040597868.1	XP_038386305.1
OG0000011	XP_040597855.1	XP_038386315.1
OG0000011	XP_040597852.1	XP_038386324.1
OG0000011	XP_040597867.1	XP_038386312.1
OG0000011	XP_040597863.1	XP_038386308.1
OG0000011	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1	XP_038386309.1
OG0000011	XP_040597853.1	XP_038386316.1
OG0000012	XP_005088691.1	XP_038443043.1, XP_038443045.1, XP_038443044.1
OG0000012	XP_005080125.1	XP_038442402.1, XP_038442403.1, XP_038442409.1
OG0000012	XP_040599889.1, XP_040599760.1, XP_040599888.1	XP_038442408.1, XP_038442410.1
OG0000013	XP_040591191.1	XP_038421256.1
OG0000013	XP_012973996.2	NP_001376117.1
OG0000014	XP_012980406.1	XP_038383494.1
OG0000014	XP_012980379.2	XP_038381450.1
OG0000015	XP_040593112.1, XP_012976898.1, XP_021087015.1	XP_038421309.1
OG0000015	XP_005077393.1, XP_005077364.1	NP_001375602.1
OG0000016	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1
OG0000017	XP_005087134.1	NP_001375448.1, NP_001375576.1
OG0000017	XP_040603984.1, XP_040603983.1	XP_038402084.1
OG0000018	XP_005078192.1, XP_005069967.1	XP_038402506.1
OG0000018	XP_012966031.1, XP_021080732.2, XP_021079072.2, XP_021080731.2	XP_038417997.1
OG0000019	XP_005064850.1	XP_038435794.1
OG0000019	XP_005064841.2	XP_038445405.1
OG0000020	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1, XP_040589771.1, XP_021090982.1, XP_040589773.1, XP_040589996.1	XP_038383733.1, XP_038381457.1
OG0000021	XP_005077511.3, XP_040589524.1, XP_005087265.2, XP_040588430.1, XP_005077475.1	XP_038439912.1
OG0000022	XP_012968137.1	XP_038386332.1
OG0000022	XP_040597834.1	XP_038386364.1
OG0000022	XP_012968139.1	XP_038386347.1
OG0000022	XP_012968138.2	XP_038386329.1
OG0000022	XP_040597837.1	XP_038386339.1
OG0000022	XP_040597835.1	XP_038386342.1
OG0000022	XP_040597836.1	XP_038386333.1
OG0000022	XP_040597838.1	XP_038386334.1
OG0000022	XP_012968142.1	XP_038386340.1
OG0000023	XP_021090051.1	XP_038383955.1
OG0000023	XP_012979575.2	XP_038384083.1
OG0000023	XP_040592152.1, XP_005084860.3	XP_038381467.1
OG0000024	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1, XP_005069427.1	XP_038391423.1
OG0000024	XP_005069439.1, XP_005069315.1, XP_012968276.2, XP_005069438.2, XP_040585969.1	NP_001376086.1
OG0000024	XP_005069440.1, XP_012968278.1	NP_001376019.1
OG0000026	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1, XP_038444801.1, XP_038445366.1
OG0000026	XP_012973615.1	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	XP_005070529.1	XP_038441743.1
OG0000027	XP_040609793.1	XP_038433464.1
OG0000027	XP_040593732.1	XP_038432130.1
OG0000027	XP_040611487.1	XP_038385540.1
OG0000027	XP_040599534.1	XP_038431894.1, XP_038431882.1
OG0000027	XP_040609790.1	NP_001301019.1
OG0000027	XP_040609794.1	XP_038433463.1
OG0000028	XP_012966156.1, XP_012967592.1, XP_012967554.1, XP_005063854.1, XP_040588468.1, XP_012967590.1	NP_001376096.1, NP_001376114.1
OG0000028	XP_005063306.1, XP_005063857.1	NP_001375514.1
OG0000029	XP_005076794.1	NP_001376061.1
OG0000029	XP_040606242.1, XP_040606301.1, XP_005076843.2	NP_001375923.1
OG0000029	XP_040606240.1, XP_040606241.1, XP_005076795.1, XP_040606248.1, XP_005076798.2	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1
OG0000031	XP_005067750.1	XP_038399997.1
OG0000031	XP_005086741.1	NP_001375701.1
OG0000033	XP_012968668.2	XP_038402610.1
OG0000033	XP_005070271.1	XP_038402594.1
OG0000033	XP_012968934.1	XP_038402589.1
OG0000035	XP_012975185.1	XP_038435896.1
OG0000035	XP_005064723.1	XP_038389880.1
OG0000035	XP_012975858.1	NP_001182774.2
OG0000035	XP_040606104.1	NP_001003349.2
OG0000035	XP_005065601.1	XP_038386568.1
OG0000035	XP_005071114.1	XP_038417669.1
OG0000036	XP_005063672.1	NP_001183973.1
OG0000038	XP_012975442.1, XP_005065093.1, XP_005065094.1, XP_005065098.1, XP_021089454.1, XP_012975394.1	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1
OG0000039	XP_040611731.1	XP_038439969.1
OG0000039	XP_005066458.1	XP_038439961.1
OG0000039	XP_005087662.1	XP_038409373.1
OG0000039	XP_005083770.1	XP_038404584.1
OG0000039	XP_005081404.1	XP_038423469.1
OG0000039	XP_005073218.1	XP_038393912.1
OG0000039	XP_040588788.1	XP_038428666.1, XP_038428667.1
OG0000039	XP_005074701.1	XP_038399838.1
OG0000040	XP_005066964.1	NP_001375692.1
OG0000040	XP_040608727.1, XP_040608728.1	XP_038433852.1, XP_038433815.1, XP_038433817.1
OG0000040	XP_005067235.1	NP_001375799.1
OG0000040	XP_005066965.1	NP_001375691.1
OG0000041	XP_005065090.1	XP_038420405.1, XP_038420406.1, NP_001375958.1
OG0000041	XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1	NP_001376113.1, NP_001376111.1
OG0000042	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1	XP_038424119.1
OG0000043	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1	NP_001375875.1
OG0000044	XP_021080739.1	NP_001361520.1
OG0000044	XP_040611628.1	NP_001361518.1
OG0000044	XP_040599370.1	NP_001361517.1
OG0000044	XP_012981124.1	XP_038440355.1
OG0000044	XP_021080738.1	XP_038432068.1
OG0000045	XP_012967012.1	NP_001107184.1
OG0000045	XP_005067661.2	XP_038392809.1
OG0000045	XP_005067663.2	NP_001070703.1
OG0000045	XP_040604829.1	NP_001070263.1
OG0000045	XP_040604830.1	NP_001070262.1
OG0000046	XP_040593590.1, XP_040593589.1, XP_005083451.1, XP_005083446.1, XP_040594995.1	XP_038422927.1
OG0000048	XP_005086519.2, XP_005086487.1	NP_001091015.1
OG0000048	XP_040590516.1, XP_040590186.1, XP_040590252.1	NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	XP_012970837.1	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1
OG0000049	XP_040598230.1, XP_005075263.2, XP_040598231.1	XP_038429560.1, XP_038429559.1, XP_038429558.1
OG0000049	XP_005066586.2, XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1, XP_040587835.1	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1
OG0000051	XP_040589515.1	XP_038425970.1
OG0000051	XP_040609155.1	XP_038429926.1
OG0000051	XP_040589514.1	XP_038425967.1
OG0000051	XP_012977763.1	XP_038443974.1
OG0000051	XP_040609153.1, XP_040609154.1	NP_001026988.1
OG0000051	XP_005082522.1	NP_001002979.1
OG0000052	XP_040592338.1	XP_038406653.1
OG0000052	XP_021078671.1, XP_012966499.1, XP_040610156.1, XP_040592247.1	XP_038407502.1, XP_038406617.1
OG0000054	XP_012976161.1	XP_038442333.1
OG0000055	XP_005075771.1	XP_038424111.1
OG0000055	XP_005075828.3	NP_001375864.1
OG0000056	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1	XP_038418408.1
OG0000057	XP_040609095.1, XP_040609094.1, XP_040609097.1	XP_038430031.1
OG0000057	XP_040609083.1	XP_038430057.1
OG0000057	XP_040608743.1	XP_038430066.1, XP_038430065.1
OG0000057	XP_040609082.1, XP_040609085.1	XP_038430019.1
OG0000058	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1	NP_001029164.1
OG0000059	XP_005076799.1, XP_040606237.1, XP_012973635.3, XP_005076844.2, XP_005076797.1, XP_012973648.1, XP_040606244.1, XP_012973632.1, XP_005076796.1, XP_040606246.1, XP_040606247.1	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1
OG0000060	XP_012980426.1, XP_040608584.1, XP_012980427.1	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1	NP_001271390.1
OG0000061	XP_012978726.1	XP_038404743.1
OG0000062	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1	XP_038440142.1
OG0000063	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1	NP_001171205.2
OG0000065	XP_005139289.2, XP_040602518.1, XP_040608744.1	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1
OG0000066	XP_040610768.1	XP_038394823.1, XP_038391773.1
OG0000066	XP_040605362.1	XP_038418454.1
OG0000067	XP_005076495.1	XP_038413461.1
OG0000067	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1
OG0000068	XP_005063311.1	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1
OG0000068	XP_005063310.1	NP_001375951.1
OG0000068	XP_012966146.1	XP_038420397.1
OG0000069	XP_040596557.1, XP_040596556.1, XP_040596558.1	XP_038429693.1, XP_038429692.1
OG0000069	XP_012982640.1	XP_038442580.1
OG0000069	XP_005086454.1	XP_038401156.1
OG0000069	XP_005068441.1	XP_038401908.1
OG0000070	XP_021085276.1	XP_038408465.1
OG0000070	XP_021084043.1	XP_038414006.1
OG0000071	XP_012971826.1, XP_012971753.2, XP_040607730.1	XP_038418375.1, XP_038418377.1
OG0000072	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000073	XP_005065080.2	NP_001243375.1
OG0000074	XP_040613609.1	XP_038424692.1, XP_038424721.1
OG0000074	XP_005074087.1	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1
OG0000075	XP_005084587.1	XP_038442549.1
OG0000075	XP_040600633.1	XP_038442578.1
OG0000075	XP_012981002.2, XP_005086675.1, XP_040599847.1	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1
OG0000076	XP_021082326.2	XP_038386335.1
OG0000076	XP_040597842.1	XP_038386352.1
OG0000076	XP_040597840.1	XP_038386350.1
OG0000076	XP_040597832.1	XP_038386344.1
OG0000076	XP_040597833.1	XP_038386343.1
OG0000076	XP_040597839.1	XP_038386345.1
OG0000077	XP_040597617.1, XP_040611502.1, XP_040601552.1, XP_040603391.1, XP_040599072.1	XP_038396460.1
OG0000077	XP_012966788.1	XP_038433776.1
OG0000078	NP_001268256.1, XP_040610188.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1	XP_038419098.1, XP_038419099.1
OG0000082	XP_040588269.1, XP_040588270.1, XP_040588274.1	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000084	XP_040584800.1, XP_005082842.2, XP_021090181.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000085	XP_005077363.1	NP_001375917.1, XP_038423318.1
OG0000086	XP_005065146.1	XP_038419157.1, XP_038419158.1
OG0000086	XP_040610260.1	XP_038395835.1
OG0000086	XP_021087100.2	XP_038431923.1
OG0000086	XP_012973815.1	XP_038403878.1, XP_038403881.1
OG0000086	XP_021086732.1	XP_038403882.1
OG0000087	XP_040606219.1	XP_038437055.1
OG0000087	XP_021085058.1, XP_005073964.1, XP_040606293.1, XP_012971615.2, XP_005073894.2, XP_040606221.1, XP_005073967.1, XP_040606220.1, XP_040606222.1, XP_021085049.1, XP_005073895.2, XP_005073896.1	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1
OG0000087	XP_005073963.1	XP_038437053.1
OG0000088	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000089	XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1	NP_001375994.1, NP_001375937.1
OG0000090	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000092	XP_005065062.1, XP_005065063.1, XP_005065061.1, XP_005065059.1	NP_001375549.1
OG0000092	XP_005064643.1, XP_012974558.1	NP_001375550.1
OG0000093	XP_005080052.1	XP_038395629.1
OG0000095	XP_005079189.1	NP_001003150.1
OG0000095	XP_005079186.1	NP_001003149.1
OG0000095	NP_001268811.1	XP_038386933.1, NP_001003173.1, XP_038399958.1
OG0000096	XP_005081499.1, XP_012976978.1, XP_012976979.1	XP_038381766.1
OG0000096	XP_012966033.2, XP_040611717.1, XP_040611727.1, XP_040611719.1, XP_040611718.1	XP_038439954.1, XP_038439955.1, XP_038439957.1
OG0000099	XP_012967795.1	XP_038427735.1
OG0000100	XP_040590986.1	NP_001003236.1
OG0000100	XP_005080471.1	XP_038395171.1
OG0000101	XP_012970239.1	XP_038407694.1, XP_038441038.1
OG0000101	XP_005088403.1, XP_005088404.1	XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000104	XP_040603486.1, XP_040589366.1, XP_040589367.1, XP_040589479.1	XP_038397375.1
OG0000105	XP_040591166.1	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1
OG0000106	XP_040602671.1	XP_038415502.1
OG0000106	XP_005064427.1	XP_038395750.1
OG0000106	XP_005080701.2	NP_001003069.1
OG0000106	XP_040587404.1	XP_038394776.1
OG0000107	XP_005065130.1, XP_005065131.1	NP_001375528.1, NP_001375527.1
OG0000107	XP_040600824.1, XP_005065129.1	NP_001375529.1
OG0000108	XP_040608920.1, XP_040608919.1, XP_040608921.1	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1
OG0000109	XP_005078834.2	NP_001375457.1
OG0000109	XP_005078833.2	NP_001375847.1
OG0000109	XP_040597897.1	XP_038407563.1, NP_001375456.1
OG0000110	XP_040604934.1	XP_038392542.1, XP_038392543.1
OG0000110	XP_040604931.1, XP_005067566.1	XP_038392566.1
OG0000110	XP_040604935.1, XP_040604937.1, XP_040604936.1	XP_038392540.1
OG0000111	XP_012982372.1, XP_005088276.2, XP_040587443.1	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1
OG0000113	XP_040600343.1, XP_040600344.1, XP_040600374.1, XP_040600373.1, XP_005076782.1	XP_038443886.1, XP_038443837.1, XP_038443882.1, XP_038443881.1, XP_038399803.1, XP_038443879.1, XP_038443880.1
OG0000114	XP_040609380.1	NP_001104269.1
OG0000114	XP_005070620.1	NP_001106640.1
OG0000114	XP_005070610.2, XP_040608709.1	XP_038441037.1, XP_038441509.1
OG0000114	XP_040609379.1	NP_001106641.1
OG0000115	XP_005070111.1	XP_038402927.1, XP_038402930.1, XP_038402928.1, XP_038402929.1
OG0000116	XP_040607688.1	XP_038437940.1
OG0000116	XP_040614037.1	XP_038386227.1
OG0000116	XP_005070838.1	XP_038407551.1, XP_038389893.1
OG0000117	XP_005085440.1, XP_012980151.1	XP_038412295.1
OG0000118	XP_040592964.1	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1
OG0000119	XP_005066137.1, XP_005066138.1, XP_012965891.1, XP_012965892.1	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1
OG0000120	XP_040607247.1	XP_038395395.1
OG0000121	XP_040598139.1, XP_005075252.1, XP_040598140.1, XP_021085845.1, XP_012972648.1, XP_012972650.1, XP_012972652.1, XP_012972649.1	XP_038415793.1
OG0000122	XP_012977225.2	XP_038385259.1
OG0000122	XP_040604850.1, XP_040595192.1, XP_040586848.1, XP_040586853.1	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1
OG0000122	XP_040587071.1	XP_038406914.1, XP_038408058.1
OG0000124	XP_040592747.1	XP_038442694.1
OG0000124	XP_012974027.1	NP_001041587.1
OG0000124	XP_040589326.1	XP_038442663.1, XP_038442662.1, NP_001041588.1
OG0000125	XP_005087419.3	XP_038401950.1
OG0000125	XP_040603962.1, XP_040603963.1, XP_040605621.1	XP_038402032.1, NP_001333023.1, NP_001333024.1
OG0000125	XP_021079408.2	XP_038402033.1
OG0000127	XP_012978066.1	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1
OG0000128	XP_021080724.1	XP_038440255.1
OG0000128	XP_012966127.1	XP_038440239.1
OG0000128	XP_012966093.1	XP_038440246.1
OG0000128	XP_012966126.1	XP_038440245.1
OG0000129	XP_040596085.1, XP_040595678.1, XP_040595676.1	NP_001301024.1
OG0000130	XP_012981582.1	XP_038424091.1
OG0000130	XP_005087320.2	NP_001375626.1
OG0000130	XP_005074159.2, XP_012981599.1, XP_040587531.1	XP_038424092.1
OG0000131	XP_005075791.1, XP_005075797.1, XP_005075792.1, XP_005075796.2, XP_005075793.1, XP_005075795.1, XP_005075835.1, XP_005075794.1	NP_001375841.1, NP_001375840.1, NP_001375664.1, NP_001375665.1
OG0000132	XP_040584133.1, XP_012965653.1, XP_005065914.1, XP_040584136.1, XP_040584135.1, XP_012965654.1, XP_040584134.1	XP_038382133.1, XP_038382135.1, XP_038382134.1
OG0000133	XP_012974105.1, XP_040589323.1, XP_040589322.1, XP_040589324.1	XP_038397365.1, XP_038397362.1, XP_038397364.1, XP_038397366.1, XP_038397360.1, XP_038397361.1, XP_038397363.1
OG0000134	XP_040594363.1	XP_038432511.1
OG0000135	XP_040597461.1	XP_038435217.1
OG0000136	XP_040597418.1, XP_040597423.1, XP_040597422.1, XP_040597412.1, XP_040597417.1, XP_040597415.1, XP_040597425.1, XP_040597421.1, XP_040597420.1, XP_040597419.1, XP_040597424.1, XP_040597416.1, XP_040597414.1, XP_040597413.1	XP_038435284.1, XP_038435281.1, XP_038435283.1, XP_038435288.1, XP_038435286.1, XP_038435280.1, XP_038435287.1, XP_038435282.1, XP_038435285.1
OG0000137	XP_005083118.2	NP_001375442.1
OG0000137	XP_012978225.3, XP_005083117.2	NP_001375785.1
OG0000137	XP_005083116.2	NP_001375491.1
OG0000138	XP_012971726.1	XP_038424772.1
