Orthogroup	Myotis_lucifugus	Ictidomys_tridecemlineatus
OG0000006	XP_023604080.1, XP_014306381.1, XP_014307657.2, XP_014305168.1, XP_023604957.1, XP_023604864.1	XP_021581918.1, XP_040137954.1, XP_013211517.1, XP_040129277.1, XP_040129216.1, XP_013220730.2, XP_040139203.1, XP_040146805.1, XP_040146864.1, XP_040126337.1, XP_040134474.1, XP_021586353.1, XP_013213549.1, XP_040141572.1, XP_040133703.1, XP_040145847.1, XP_013221250.2, XP_040137093.1, XP_040143137.1
OG0000008	XP_023609052.1	XP_021585038.2
OG0000008	XP_023608739.1	XP_040142796.1, XP_005340718.1, XP_040142795.1
OG0000008	XP_006090633.1	XP_040132762.1
OG0000008	XP_014318909.1	XP_005340090.1
OG0000008	XP_023617197.1	XP_021575630.1
OG0000008	XP_023616724.1	XP_005324078.1
OG0000008	XP_023618878.1	XP_021577360.1
OG0000009	XP_023603920.1, XP_023603918.1	XP_040138373.1
OG0000010	XP_014313946.1	XP_021585329.1
OG0000010	XP_006091995.1	XP_013216063.1
OG0000011	XP_006109699.2	XP_013213581.1
OG0000011	XP_006086528.1	XP_005324322.1
OG0000011	XP_023607814.1	XP_005324316.1
OG0000011	XP_023607813.1	XP_005324315.2
OG0000011	XP_006086527.1	XP_013213584.1
OG0000011	XP_023607816.1, XP_006086523.2	XP_005324317.2
OG0000011	XP_006109698.1	XP_013213578.3, XP_013213630.1
OG0000011	XP_006086525.1	XP_021581395.1
OG0000011	XP_006086526.1	XP_013213560.1, XP_005324320.1
OG0000011	XP_006086677.1	XP_021581335.1
OG0000012	XP_006085710.1	XP_005329220.1
OG0000012	XP_006085742.1	XP_040144098.1
OG0000012	XP_014308590.1	XP_021584687.1
OG0000012	XP_006085738.1	XP_005329233.1, XP_005329232.1
OG0000012	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1	XP_040144109.1
OG0000012	XP_006088682.1	XP_040143977.1, XP_005316390.1
OG0000013	XP_006102505.1	XP_013216903.1
OG0000013	XP_006102520.1	XP_005342199.1, XP_005342184.2, XP_040146941.1, XP_005342200.1
OG0000014	XP_014314720.1	XP_040135461.1
OG0000014	XP_023604382.1	XP_021576777.1
OG0000014	XP_023604027.1, XP_014304991.1, XP_014304989.1	XP_013221367.2
OG0000014	XP_014301260.1, XP_006103437.2	XP_013221366.2
OG0000015	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1	XP_040147041.1, XP_013221517.1, XP_013221516.1, XP_013221515.1, XP_013221949.2, XP_040147040.1, XP_013221514.1, XP_013221559.1, XP_013221554.1, XP_005342190.2, XP_013221511.1, XP_013221510.3, XP_040146934.1, XP_013221512.2, XP_005342118.2, XP_040147036.1, XP_013221948.1, XP_013221537.1, XP_021576956.2, XP_013221552.1, XP_005342114.1, XP_005342115.1, XP_005342191.1, XP_013221519.2, XP_021576954.1, XP_040147037.1, XP_005342111.1, XP_013221540.1, XP_013221557.1, XP_005342210.1, XP_005342211.1
OG0000017	XP_014315670.1	XP_005319549.1
OG0000018	XP_014301359.1, XP_014301360.1	XP_005332630.1
OG0000018	XP_006095231.1	XP_005331196.1, XP_021590090.1
OG0000018	XP_014303293.1, XP_014303295.1, XP_006105758.1	XP_021590092.1
OG0000018	XP_006091951.1, XP_006100057.1, XP_006086104.1, XP_023605537.1, XP_014303528.1	XP_013214667.1
OG0000019	XP_006087592.3	XP_005337209.1, XP_005337210.1, XP_005342124.1, XP_005337214.1
OG0000019	XP_006087532.1	XP_005337215.1, XP_040144992.1
OG0000019	XP_006087533.1	XP_005337230.1
OG0000019	XP_014310270.1	XP_005337207.1
OG0000020	XP_014322076.2	XP_040135768.1
OG0000020	XP_023602215.1, XP_023602876.1, XP_023602217.1	XP_040135765.1, XP_021577041.2
OG0000022	XP_006086666.1	XP_013213574.1
OG0000022	XP_006086504.1	XP_013213552.1
OG0000022	XP_014306348.1, XP_006086506.1	XP_005324326.2
OG0000022	XP_006086502.1	XP_013213585.2
OG0000022	XP_006086507.3	XP_021581332.1
OG0000022	XP_006086508.2	XP_013213586.1
OG0000022	XP_023607849.1	XP_013213555.1
OG0000023	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2	XP_040134939.1, XP_021577018.2
OG0000026	XP_023612671.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_006082612.1	XP_005330561.1
OG0000027	XP_006109687.1, XP_006085845.1	XP_005324967.1
OG0000027	XP_023609366.1	XP_040133806.1
OG0000027	XP_014320502.1	XP_005334559.2
OG0000027	XP_006082613.1	XP_005330562.1
OG0000027	XP_006099372.1, XP_006091577.1, XP_006091578.1	XP_005324965.1
OG0000028	XP_014313930.1, XP_006092090.1	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1
OG0000028	XP_014313931.1	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1
OG0000031	XP_006100279.1	XP_005341354.1
OG0000032	XP_023607829.1	XP_005343015.3, XP_040128235.1
OG0000032	XP_023607857.1	XP_040128231.1
OG0000032	XP_023607826.1	XP_021581396.1
OG0000035	XP_023608661.1	XP_005337186.1
OG0000035	XP_006096684.1	XP_005339240.1
OG0000035	XP_006093229.1	XP_005340097.1, XP_005340095.1
OG0000035	XP_006107764.1	XP_005332707.2
OG0000035	XP_023604685.1	XP_005319663.1
OG0000035	XP_006096839.1	XP_005329403.1, XP_013215822.1
OG0000036	XP_006090066.1	XP_005335354.1
OG0000038	XP_006108449.1	XP_005331749.1, XP_040139656.1, XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1
OG0000039	XP_014308601.2	XP_005327562.1
OG0000039	XP_006101176.1	XP_005332148.1
OG0000039	XP_023602750.1	XP_005335464.1
OG0000039	XP_023607160.1	XP_040147867.1
OG0000039	XP_014311814.1	XP_005334919.1
OG0000039	XP_023600742.1	XP_005327158.1
OG0000040	XP_014313682.1, XP_006091633.1	XP_013213851.1, XP_005325163.1, XP_005325162.1, XP_005325161.1
OG0000041	XP_006091988.2	XP_013221691.1, XP_013221690.1
OG0000041	XP_014313940.2, XP_006092121.1	XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1	XP_040139669.1, XP_005326898.2, XP_005336026.2
OG0000043	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1	XP_013221030.1
OG0000044	XP_014303412.1	XP_005337152.1
OG0000044	XP_006105773.1	XP_040143434.1, XP_005331192.1
OG0000044	XP_014303302.1	XP_013219126.1, XP_040139588.1
OG0000044	XP_023614983.1	XP_040143435.1
OG0000045	XP_023619132.1	XP_005332936.1
OG0000045	XP_023619120.1	XP_005332932.1
OG0000045	XP_006099789.1, XP_023619123.1	XP_021587077.1
OG0000045	XP_023619122.1, XP_006099792.1	XP_040126471.1
OG0000045	XP_023619124.1	XP_005332934.1
OG0000046	XP_023619075.1	XP_040146919.1
OG0000048	XP_006102709.1, XP_014323472.2, XP_023604189.1	XP_013218855.2
OG0000048	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1	XP_005338303.3, XP_040134911.1
OG0000049	XP_006091104.2	XP_040130229.1
OG0000049	XP_006091103.2	XP_005343150.2
OG0000049	XP_006082070.1	XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1
OG0000049	XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1	XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1
OG0000051	XP_014309680.1	XP_005317186.1
OG0000051	XP_023614891.1	XP_013214570.1
OG0000051	XP_014309679.1	XP_005317045.1
OG0000051	XP_023614431.1	XP_040140047.1
OG0000051	XP_023615229.1, XP_006108950.2	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_006082308.1	XP_040137955.1
OG0000052	XP_014306145.2, XP_014314626.1	XP_040137742.1, XP_040134609.1
OG0000054	XP_006108306.2, XP_023604128.1, XP_014305777.1	XP_040143179.1, XP_013221082.1
OG0000054	XP_006096945.2	XP_040144995.1
OG0000054	XP_006096947.1	XP_040145000.1, XP_005339490.2
OG0000055	XP_006089756.1	XP_005341134.1
OG0000055	XP_006089754.1	XP_040142716.1
OG0000056	XP_006091994.1	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_023618012.1	XP_040123927.1
OG0000057	XP_023617871.1	XP_005326507.1
OG0000058	XP_006107133.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000059	XP_006094765.2	XP_013218997.2, XP_005336829.1, XP_005336830.1, XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1
OG0000060	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	XP_023608990.1, XP_014310721.2, XP_014310723.1	XP_005329807.1
OG0000062	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1	XP_005329195.1
OG0000063	XP_023611602.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	XP_014303917.1, XP_006083485.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000068	XP_006092084.1, XP_006092085.1, XP_006092083.1	XP_005331712.1
OG0000069	XP_006095089.1	XP_005339955.1
OG0000069	XP_023608740.1	XP_040142748.1, XP_040142751.1
OG0000069	XP_006087768.1, XP_006087769.1	XP_021591066.1
OG0000069	XP_023608761.1	XP_005338558.1
OG0000069	XP_006097691.1	XP_005321271.1
OG0000069	XP_006100567.3	XP_005339204.1, XP_040132166.1
OG0000070	XP_023618754.1	XP_040141790.1
OG0000070	XP_023608440.1	XP_040144576.1
OG0000071	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1	XP_021576711.1
OG0000072	XP_014312406.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	XP_006092130.1	XP_005342816.1, XP_005342237.1
OG0000074	XP_006094556.1, XP_023614505.1, XP_014316200.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000074	XP_023614501.1	XP_005323210.1, XP_005323211.1
OG0000075	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1	XP_040144985.1
OG0000075	XP_006087859.1	XP_013221794.2
OG0000075	XP_006087851.1, XP_006087855.1, XP_014310450.2	XP_040142725.1, XP_005338587.1
OG0000075	XP_006106919.1, XP_006106918.1	XP_040142267.1
OG0000076	XP_014306349.1	XP_040129285.1
OG0000076	XP_014309283.1	XP_005324331.2, XP_005324330.2
OG0000076	XP_006086511.1	XP_005324328.1
OG0000076	XP_023607810.1	XP_013213557.1
OG0000076	XP_014309276.2	XP_021581334.1
OG0000077	XP_006083143.1	XP_021589420.2, XP_040124044.1, XP_040150448.1
OG0000077	XP_006097627.1, XP_006091330.1, XP_006104972.1	XP_013213528.1
OG0000077	XP_006095857.1	XP_013213894.1
OG0000078	XP_006093589.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	XP_023604822.1, XP_006108589.1, XP_023604821.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	XP_006103859.1	XP_005341438.1, XP_040147102.1
OG0000082	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1	XP_021575770.1, XP_040143062.1
OG0000083	XP_023603096.1	XP_013221660.2
OG0000083	XP_006106565.1	XP_021577079.1
OG0000083	XP_023603095.1, XP_006109373.3	XP_005342382.1
OG0000084	XP_014316904.1, XP_014316906.1, XP_014316905.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	XP_006102503.2	XP_005342202.3
OG0000085	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1	XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	XP_023612450.1	XP_040140257.1
OG0000086	XP_006103379.1	XP_005323877.1
OG0000086	XP_014320496.1	XP_040145207.1
OG0000086	XP_006092276.1	XP_040124999.1
OG0000087	XP_006107099.2	XP_005323604.1, XP_005323680.1, XP_005323681.1, XP_005323682.1, XP_021581031.1, XP_040143119.1
OG0000088	XP_023620812.1	XP_021581027.1
OG0000090	XP_023602041.1	XP_013221796.1
OG0000092	XP_006092142.1	XP_013221253.1
OG0000093	XP_023603971.1, XP_014304922.1	XP_005339885.1
OG0000095	XP_023603269.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	XP_006106789.1	XP_005318257.1, XP_005318258.1
OG0000096	XP_006087239.1	XP_005323057.1, XP_013213016.1
OG0000096	XP_006085768.1, XP_023607165.1, XP_023607164.1	XP_021577205.1, XP_005335225.1, XP_005342091.1
OG0000099	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1	XP_040131356.1, XP_040131136.1, XP_040131134.1
OG0000099	XP_023610089.1	XP_005320610.2
OG0000100	XP_023604015.1	XP_040143704.1, XP_040143707.1, XP_040143706.1, XP_040143705.1
OG0000101	XP_006084736.1	XP_005340748.1, XP_040139417.1, XP_005340749.1
OG0000102	XP_006103626.2, XP_006103624.1	XP_040148272.1
OG0000102	XP_006108378.2	XP_005333344.1, XP_040148273.1, XP_040148275.1, XP_005333337.1, XP_005333338.1, XP_005333343.1, XP_005333340.1, XP_005333341.1
OG0000104	XP_023613451.1, XP_023614013.1	XP_040145143.1
OG0000105	XP_014314667.1	XP_021590157.1, XP_021590155.1, XP_021590159.1, XP_040141046.1, XP_040141047.1, XP_021590154.1, XP_021590160.1
OG0000106	XP_006106865.1	XP_021577903.2
OG0000106	XP_006103520.1	XP_040133154.1, XP_040133157.1, XP_040133158.1, XP_040133159.1, XP_005323910.1, XP_040133156.1
OG0000106	XP_006099091.1	XP_013215938.3
OG0000106	XP_014310895.1	XP_005328552.2
OG0000107	XP_006092103.1	XP_005331737.1
OG0000107	XP_023612356.1	XP_013216748.1, XP_013216747.1, XP_013216746.1
OG0000108	XP_006083067.1	XP_013220342.1, XP_005339688.1
OG0000109	XP_006088167.2	XP_040142050.1
OG0000109	XP_006102782.1	XP_021582691.1
OG0000109	XP_006102760.1	XP_005326325.1
OG0000109	XP_006102783.1, XP_006102784.1	XP_005326411.1
OG0000110	XP_006105151.1	XP_040125245.1, XP_021586993.1
OG0000110	XP_006108001.1	XP_040125246.1, XP_021587004.1
OG0000110	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1	XP_040126469.1, XP_040125244.1
OG0000111	XP_023603133.1	XP_005340441.1, XP_005340443.1, XP_013221755.1
OG0000114	XP_023615099.1	XP_013221763.1
OG0000114	XP_023615102.1	XP_021577318.1, XP_021577316.1
OG0000115	XP_006091570.1	XP_005324954.1
OG0000115	XP_014321084.1	XP_005341336.2
OG0000116	XP_023614180.1	XP_005327333.1, XP_040127782.1
OG0000116	XP_014319941.1	XP_005334386.1
OG0000118	XP_014311373.1, XP_023609603.1, XP_023609604.1	XP_040147723.1, XP_040147721.1, XP_040147720.1, XP_040147726.1, XP_040147724.1, XP_040147722.1, XP_040147727.1, XP_013211422.1, XP_040147725.1, XP_005319199.1
OG0000119	XP_014322039.1	XP_005334458.1, XP_005334459.1, XP_040127708.1, XP_040127710.1, XP_040127707.1, XP_040127706.1
OG0000120	XP_023617223.1	XP_040134537.1
OG0000121	XP_023616611.1, XP_023616613.1, XP_023616612.1	XP_013215795.1
OG0000122	XP_023618125.1	XP_005330655.1
OG0000122	XP_023605732.1	XP_005338407.1
OG0000123	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1	XP_005337464.2, XP_005337344.1, XP_005337442.1, XP_005337346.1
OG0000125	XP_006095004.1	XP_005321900.1
OG0000125	XP_006095005.1, XP_006095008.1, XP_006095006.1	XP_005321898.1
OG0000126	XP_023601914.1	XP_005342962.3
OG0000127	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1	XP_040148941.1, XP_005340848.1
OG0000128	XP_023602433.1	XP_005337092.1, XP_005337090.1
OG0000130	XP_006094605.1	XP_005342576.1
OG0000130	XP_006094607.1	XP_005342584.1, XP_005342585.2
OG0000131	XP_006089739.1, XP_006108842.1	XP_005342523.1, XP_005342525.1, XP_005342524.1
OG0000132	XP_006084467.1	XP_040139331.1, XP_040139338.1, XP_040139337.1, XP_040139335.1, XP_040139330.1, XP_040139329.1, XP_040139336.1, XP_021588609.1, XP_040139334.1, XP_021588610.1, XP_013218100.1, XP_040139332.1
OG0000133	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1	XP_013215191.1, XP_013215190.1, XP_040144905.1, XP_021583713.1
OG0000134	XP_006084217.2	XP_013219711.1
OG0000135	XP_023607667.1	XP_021586730.1
OG0000136	XP_023606748.1	XP_021580553.1, XP_040149975.1, XP_005322988.1, XP_040149974.1, XP_040149976.1
OG0000137	XP_006094801.1	XP_005326680.1
OG0000138	XP_006094595.1	XP_005323163.1
OG0000138	XP_006094665.1	XP_005323360.1
OG0000142	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1	XP_005318275.1
OG0000145	XP_006096700.1	XP_040129752.1, XP_021591552.1, XP_040129751.1, XP_040129750.1, XP_005339253.1, XP_013220153.1
OG0000146	XP_006105955.1, XP_023602559.1	XP_040149796.1, XP_040149799.1, XP_021584342.1, XP_021584343.1, XP_040149797.1, XP_040149798.1, XP_013215551.1, XP_040149800.1
OG0000147	XP_023617290.1, XP_023603880.1, XP_023603879.1	XP_040127126.1
OG0000148	XP_014310265.1, XP_023608613.1	XP_013221192.1
OG0000149	XP_023600635.1	XP_021590883.2
OG0000149	XP_023616468.1, XP_014306422.2	XP_005339432.1
OG0000149	XP_023617009.1	XP_005334975.1
OG0000149	XP_006096963.1	XP_013220247.1
OG0000151	XP_023599174.1	XP_005342911.2
OG0000153	XP_006101380.1, XP_006101379.1	XP_005342499.1, XP_005342300.1, XP_005342302.2, XP_005342292.1, XP_005342500.1, XP_013221872.3
OG0000156	XP_023620743.1, XP_014322360.1, XP_006101540.1, XP_023620742.1, XP_006101539.1	XP_005342432.2, XP_021577096.1, XP_021577098.1, XP_040135846.1, XP_040135848.1, XP_021577099.1
OG0000157	XP_006089394.1	XP_005341320.1
OG0000158	XP_014315308.1	XP_021582934.1
OG0000158	XP_014323398.1, XP_006094724.1	XP_040134692.1
OG0000161	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1	XP_040127058.1, XP_040127059.1, XP_013212610.2, XP_021580039.1, XP_021580040.1, XP_005322247.1, XP_021580041.1, XP_005322223.1, XP_005322222.3, XP_021580033.1, XP_005322246.2
OG0000163	XP_023620683.1	XP_021584638.2, XP_005329174.2
OG0000164	XP_006086410.1	XP_040146081.1
OG0000165	XP_014309436.1, XP_023607965.1	XP_005334350.1
OG0000166	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1	XP_013214438.1, XP_021582555.1, XP_005326179.1, XP_021582554.1
OG0000167	XP_006103113.1, XP_023600145.1	XP_040132570.1, XP_040132572.1, XP_040132568.1, XP_040132566.1, XP_040132571.1, XP_005323781.1, XP_040132565.1, XP_021581113.1, XP_040132569.1, XP_040132574.1, XP_040132567.1, XP_040132573.1
OG0000168	XP_006109407.1	XP_005336034.1
OG0000168	XP_006106539.1, XP_023603063.1	XP_005336035.1
OG0000170	XP_014312153.1	XP_005326831.1
OG0000172	XP_023606738.1	XP_021580544.1
OG0000172	XP_023613986.1	XP_021579599.1
OG0000173	XP_006084433.1, XP_014307292.1, XP_023605848.1, XP_023605849.1	XP_021590310.1, XP_013219273.1, XP_013219274.1, XP_040139164.1, XP_021590309.1, XP_040139166.1, XP_040139165.1
OG0000174	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1	XP_040143514.1, XP_005331299.1, XP_005331298.1
OG0000175	XP_023619605.1	XP_040140415.1, XP_040140414.1, XP_040140417.1, XP_040140416.1, XP_005340208.1
OG0000176	XP_023612325.1	XP_005331618.1
OG0000176	XP_023612302.1	XP_005331614.2
OG0000176	XP_023612290.1, XP_006091903.1, XP_014313981.1, XP_023612322.1, XP_023612323.1, XP_023612324.1, XP_006091904.1	XP_021586296.1
OG0000177	XP_023605077.1	XP_005320807.1, XP_040128037.1
OG0000178	XP_023606331.1, XP_014307712.1, XP_014307710.1	XP_005331038.1
OG0000179	XP_006102694.1	XP_040135815.1
OG0000179	XP_014323474.1	XP_013218874.2, XP_021589705.1, XP_005336557.1
OG0000180	XP_014322759.1	XP_005332179.1
OG0000182	XP_023616097.1, XP_006096564.1, XP_023616096.1, XP_006096563.1, XP_014304507.1, XP_023607362.1	XP_040131343.1, XP_040142003.1
OG0000183	XP_006092049.1	XP_005330057.1
OG0000184	XP_023605358.1	XP_021583955.1
OG0000188	XP_006094601.1, XP_006094602.1	XP_005342915.1
OG0000188	XP_006094603.1	XP_005342579.1
OG0000189	XP_006082100.1	XP_021581958.1, XP_021581959.1
OG0000191	XP_006084436.1, XP_023605915.1, XP_023605911.1, XP_014307298.1, XP_023605912.1, XP_023605913.1, XP_014307296.1, XP_023605914.1	XP_021590313.1, XP_021590312.1, XP_005337482.1
OG0000193	XP_023606229.1	XP_021576154.1
OG0000195	XP_014303636.1	XP_005318853.1
OG0000196	XP_006092113.1	XP_005331659.1
OG0000197	XP_023606210.1	XP_021589327.1, XP_040139633.1, XP_040139635.1, XP_040139636.1, XP_040139637.1, XP_040139638.1, XP_040139632.1
OG0000197	XP_006085012.1	XP_005340595.1
OG0000198	XP_023604023.1, XP_006107573.2	XP_021576775.1, XP_021576763.1
OG0000199	XP_006081640.1	XP_005342313.1, XP_005342312.1
OG0000200	XP_006108946.1, XP_006093214.1	XP_040145130.1, XP_040144903.1
OG0000200	XP_006093986.1, XP_023614014.1, XP_023614007.1, XP_023614008.1	XP_005339172.2
OG0000201	XP_023600980.1, XP_014317184.1, XP_014306768.2, XP_023604974.1, XP_023604079.1, XP_023599176.1	XP_040124601.1
OG0000202	XP_014311692.1	XP_005329388.1, XP_013217385.1
OG0000203	XP_023608201.1	XP_005315882.1
OG0000204	XP_023614516.1	XP_005323205.1
OG0000205	XP_023604415.1, XP_023604423.1, XP_014304630.1, XP_014304620.1, XP_006083603.1, XP_023604417.1, XP_014304613.1, XP_006083601.1, XP_014304616.1	XP_040137841.1
OG0000206	XP_023608679.1	XP_021587352.1, XP_040145804.1, XP_021587365.2, XP_021587336.1, XP_040145810.1, XP_021587348.1, XP_040145805.1, XP_040145807.1, XP_040145809.1, XP_040145806.1, XP_021587359.1, XP_005317336.1, XP_040145808.1, XP_021587354.1, XP_040145803.1
OG0000207	XP_006082497.1, XP_023616343.1, XP_023616339.1, XP_014317501.1	XP_040150725.1, XP_021588798.1, XP_040150724.1, XP_021588797.1, XP_040150723.1
OG0000208	XP_006082277.1	XP_021580925.1
