Orthogroup	Myotis_lucifugus	Sus_scrofa
OG0000011	XP_006109699.2, XP_006086528.1, XP_023607814.1, XP_006086520.1, XP_023607813.1, XP_006086527.1, XP_023607816.1, XP_006086523.2, XP_006109698.1, XP_006086525.1, XP_023607817.1, XP_006086526.1, XP_014309297.1, XP_006086677.1	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1
OG0000012	XP_006085710.1	XP_020935452.1
OG0000012	XP_006085742.1	XP_005673569.1
OG0000012	XP_014308588.1, XP_006085741.1	XP_020935492.1
OG0000012	XP_014308590.1	XP_020935940.1, XP_013841481.1, XP_005673575.1
OG0000012	XP_006085738.1	XP_020935784.1, XP_020936168.1
OG0000012	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1	XP_005673573.2, XP_020935939.1, XP_005673577.2
OG0000013	XP_006102505.1	XP_013845988.1
OG0000013	XP_006102519.1, XP_014323272.1	XP_013845984.2, XP_005652897.1, XP_020940779.1
OG0000014	XP_014314720.1	XP_020952885.1
OG0000014	XP_023604382.1	XP_020952996.1
OG0000014	XP_006103440.2	XP_020953001.1
OG0000014	XP_023604027.1, XP_014304991.1, XP_014304989.1	XP_020952965.1, XP_020952964.1
OG0000014	XP_014301260.1, XP_006103437.2	XP_020950801.1
OG0000014	XP_014304370.2, XP_014301236.2, XP_023604424.1, XP_023614548.1, XP_023614547.1, XP_023614546.1, XP_023614545.1, XP_023605498.1, XP_023603453.1, XP_014304376.1, XP_023603456.1, XP_023603459.1, XP_023603458.1	XP_003128168.5, XP_020950797.1, XP_013854336.1
OG0000015	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1	XP_013842894.1, XP_013845829.1, XP_020940790.1, XP_020941167.1, XP_003480831.2, XP_003354129.2, XP_020937619.1, XP_020941170.1, XP_013846032.2, XP_020940791.1, XP_020938068.1, XP_020937479.1, XP_020938121.1, XP_020937971.1, XP_005652904.2, XP_020936681.1, XP_020937393.1, XP_020938165.1, XP_020938164.1, XP_013845905.2, XP_020937394.1, XP_003123316.2, XP_020940783.1, XP_020937482.1, XP_020938126.1, XP_020938163.1, XP_020937401.1
OG0000015	XP_006102523.2, XP_023599575.1, XP_023599574.1, XP_023599573.1, XP_023604894.1, XP_023599584.1, XP_014323261.1	XP_003123309.3, XP_020937456.1, XP_020937975.1, XP_020937127.1, XP_020938119.1, XP_020938169.1, XP_003123329.3, XP_020940787.1, XP_013845810.1, XP_020940786.1, XP_020938168.1, XP_020937973.1, XP_020937455.1, XP_003123310.2, XP_013845817.2, XP_013845823.2
OG0000016	XP_006109610.1, XP_023605073.1, XP_006108782.1, XP_006098173.1, XP_006108783.1, XP_006098177.1, XP_006098175.1, XP_006098178.1, XP_006098179.1, XP_014319259.1, XP_006098180.1	NP_001123710.1, NP_001158316.1, NP_001123704.1, NP_001158324.1, NP_001124005.1, NP_001158322.1, NP_001159794.1
OG0000017	XP_006081579.1	XP_020944074.1
OG0000018	XP_014301359.1	XP_003131242.1
OG0000018	XP_006095231.1	NP_001231571.1
OG0000018	XP_014303293.1, XP_014303295.1, XP_006105758.1	NP_001274345.1
OG0000018	XP_006091951.1, XP_006100057.1, XP_006086104.1, XP_023605537.1, XP_014303528.1	NP_999095.1
OG0000019	XP_006087592.3	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2
OG0000019	XP_006087532.1	XP_001927961.2, XP_020954986.1
OG0000019	XP_006087533.1	XP_020955724.1
OG0000019	XP_014310270.1	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2
OG0000020	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1, XP_014322076.2	XP_020950615.1, XP_013854215.2
OG0000020	XP_023605092.1, XP_023604823.1, XP_023602216.1, XP_023603178.1, XP_023603171.1, XP_023603172.1, XP_014304057.1, XP_014304063.1, XP_023602220.1	XP_013844151.1
OG0000020	XP_006105460.1, XP_023603174.1, XP_023603173.1, XP_023602214.1, XP_006105458.1, XP_014303048.1, XP_023603175.1, XP_014304058.1, XP_023603176.1, XP_023603702.1, XP_023602219.1, XP_023602218.1, XP_023602865.1, XP_023603757.1, XP_023603759.1, XP_023602863.1, XP_023602871.1, XP_023602861.1, XP_023603701.1, XP_023605003.1	XP_020950635.1, XP_020950608.1, XP_020950617.1, NP_001121923.1, XP_020938098.1, XP_020950609.1, XP_020934843.1, XP_013844144.2
OG0000022	XP_006086666.1	XP_020940822.1
OG0000022	XP_023607764.1	XP_020940823.1
OG0000022	XP_006086502.1	XP_020940587.1
OG0000022	XP_006086507.3	XP_020940825.1, XP_020940824.1
OG0000022	XP_023607849.1	XP_020940585.1
OG0000022	XP_023607811.1	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1
OG0000022	XP_023607808.1	XP_013850731.2
OG0000023	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2	XP_020950504.1
OG0000023	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1	XP_003127440.3
OG0000023	XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3	XP_003127434.1
OG0000023	XP_023604086.1, XP_014306641.2, XP_023603076.1	XP_013850544.2
OG0000026	XP_023612671.1	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1
OG0000027	XP_006082612.1	XP_001928370.3
OG0000027	XP_006109687.1, XP_006085845.1	XP_013843702.1
OG0000027	XP_006099588.1	XP_005655606.1
OG0000027	XP_006085609.1	XP_003126645.3
OG0000027	XP_023609366.1	XP_020920717.1
OG0000027	XP_014320502.1	XP_020929709.1
OG0000027	XP_006082613.1	XP_001928233.2
OG0000027	XP_006091578.1	NP_001038009.1
OG0000028	XP_014313930.1, XP_006092090.1	XP_013849745.1, XP_013849747.1
OG0000028	XP_014313931.1	XP_020941125.1
OG0000028	XP_014313929.1	XP_013849750.2, XP_003353904.1
OG0000029	XP_014316275.1	XP_020925487.1
OG0000031	XP_006100279.1	XP_003123608.1
OG0000032	XP_023607854.1, XP_023607829.1, XP_023607857.1	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1
OG0000033	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1	NP_001231232.1
OG0000033	XP_023603586.1	XP_003131278.3
OG0000033	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1	XP_005668681.1
OG0000035	XP_023608661.1	NP_001163988.1
OG0000035	XP_006096684.1	NP_001158122.1, XP_013838976.1
OG0000035	XP_006093229.1	XP_003124328.1, XP_020941706.1
OG0000035	XP_006107764.1	XP_003357976.1
OG0000035	XP_023604685.1	XP_005674537.3
OG0000035	XP_006096839.1	XP_020943030.1
OG0000036	XP_006090070.1, XP_023604639.1	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1
OG0000038	XP_006108449.1	XP_003481008.2
OG0000039	XP_014308601.2	NP_001230363.1
OG0000039	XP_006101176.1	XP_003480860.1
OG0000039	XP_023600742.1	NP_001107168.1
OG0000040	XP_014313682.1, XP_006091633.1	XP_020946908.1, XP_020948788.1, XP_020946912.1, XP_003355697.1, XP_013853443.1, XP_003355696.1, XP_003355695.1, XP_020946910.1, XP_020946911.1, XP_003481775.1, XP_020948282.1, XP_003126701.1, XP_020948283.1, XP_003481776.1, XP_003481773.1, XP_005664233.2
OG0000041	XP_006091988.2	XP_013843095.2
OG0000041	XP_014313940.2, XP_006092121.1	XP_013842752.2, XP_020940716.1
OG0000042	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1	XP_013849950.2
OG0000043	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1
OG0000044	XP_014303412.1	XP_020955509.1
OG0000044	XP_006105773.1	XP_020945589.1, XP_020954094.1, XP_005665718.2
OG0000044	XP_014303302.1	XP_020955508.1
OG0000045	XP_023619132.1	XP_013836784.2
OG0000045	XP_023619120.1	XP_020921943.1
OG0000045	XP_006099789.1, XP_023619123.1	XP_020921928.1
OG0000045	XP_023619122.1, XP_006099792.1	XP_020921875.1, NP_999301.1
OG0000045	XP_023619124.1	XP_020921694.1, NP_001116613.1
OG0000046	XP_023619063.1	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1
OG0000046	XP_014320622.2	XP_003123481.1, XP_003123482.1
OG0000046	XP_023619075.1	XP_020939257.1, XP_020939261.1
OG0000048	XP_006102709.1, XP_014323472.2, XP_023604189.1	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1
OG0000048	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1	XP_020953209.1, XP_020953207.1
OG0000049	XP_006091104.2	XP_020955073.1, XP_020955736.1
OG0000049	XP_006091103.2	XP_020955074.1
OG0000049	XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1	XP_020929837.1
OG0000050	XP_006105691.1	XP_003122186.1
OG0000050	XP_014303234.1	XP_020937893.1
OG0000051	XP_014309680.1	XP_020921569.1
OG0000051	XP_023614891.1	XP_020930931.1
OG0000051	XP_014309679.1	XP_020921568.1, XP_020921567.1
OG0000051	XP_023614431.1	XP_020935520.1
OG0000051	XP_023615229.1, XP_006108950.2	XP_020930930.1
OG0000051	XP_006082308.1	XP_020936437.1
OG0000052	XP_014306145.2, XP_014314626.1	XP_003126117.4
OG0000052	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2
OG0000054	XP_006108306.2, XP_023604128.1, XP_014305777.1	XP_005663291.1, NP_001096150.2
OG0000054	XP_023616138.1, XP_006082480.1, XP_014305330.1, XP_006082803.1, XP_014305329.1, XP_023618961.1, XP_006107885.2, XP_023618946.1, XP_014319930.1, XP_006108223.2, XP_023605172.1, XP_014319918.2, XP_006108224.2, XP_006096945.2	XP_020946477.1, XP_005663286.1, NP_998996.1
OG0000054	XP_006096947.1	XP_020944088.1, NP_001090960.1
OG0000055	XP_006089756.1	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2
OG0000055	XP_006089754.1	XP_013854347.2, XP_020917933.1
OG0000056	XP_006091994.1	XP_020938036.1
OG0000057	XP_023618012.1	XP_003133754.1
OG0000057	XP_023617871.1	XP_020931305.1
OG0000058	XP_006107133.1	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1
OG0000059	XP_006094765.2	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1
OG0000060	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1	NP_999516.1, XP_005652470.1
OG0000061	XP_023608990.1, XP_014310721.2, XP_014310723.1	NP_998979.1
OG0000062	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1
OG0000063	XP_023611602.1	XP_005656395.2
OG0000064	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1	NP_001038087.1, XP_005667748.1
OG0000065	XP_014303917.1	NP_999115.1, XP_005669619.1
OG0000066	XP_006098324.1, XP_006098323.1, XP_014309652.1	XP_003482913.1
OG0000068	XP_006092084.1, XP_006092085.1, XP_006092083.1	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1
OG0000069	XP_006095089.1	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1
OG0000069	XP_023608740.1	XP_020936151.1
OG0000069	XP_006097691.1	XP_020955156.1
OG0000069	XP_006100567.3	XP_020955290.1
OG0000070	XP_023618754.1	XP_020918409.1
OG0000071	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1	XP_003124283.1, XP_003354456.1, XP_003124278.1, NP_001188311.1
OG0000072	XP_014312406.1	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1
OG0000073	XP_006092130.1	XP_013842558.2, XP_020937803.1
OG0000074	XP_006094556.1, XP_023614505.1, XP_014316200.1	NP_999018.1, XP_005653705.1
OG0000074	XP_023614501.1	XP_013854644.1, NP_999476.1
OG0000075	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1	XP_013841926.1, XP_005673996.1
OG0000075	XP_006087851.1, XP_006087855.1, XP_014310450.2	XP_020935538.1
OG0000075	XP_006106919.1, XP_006106918.1	XP_020936228.1
OG0000076	XP_014309283.1	XP_020940586.1, XP_020940577.1
OG0000076	XP_006086511.1	XP_020940588.1, XP_020940576.1
OG0000076	XP_023607810.1	XP_013850711.2
OG0000076	XP_014309276.2	XP_020940578.1
OG0000077	XP_006083143.1	XP_003133549.1
OG0000077	XP_006095857.1	XP_005663911.1
OG0000078	XP_006093589.1	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1
OG0000079	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1	XP_005653026.1, NP_001072136.1
OG0000080	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1
OG0000080	XP_023604822.1, XP_006108589.1, XP_023604821.1	XP_020940361.1
OG0000081	XP_006103859.1	XP_020928770.1
OG0000082	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1
OG0000083	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1	XP_020953231.1, XP_005653378.1
OG0000083	XP_023603096.1	XP_013850745.1
OG0000083	XP_006106565.1	XP_013850606.2
OG0000083	XP_023603095.1, XP_006109373.3	XP_020952917.1
OG0000083	XP_023603084.1	XP_005653359.1
OG0000084	XP_014316904.1, XP_014316906.1, XP_014316905.1	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1
OG0000085	XP_006102503.2	XP_005652893.1
OG0000085	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3
OG0000086	XP_023612450.1	XP_003122765.1
OG0000086	XP_014320496.1	XP_003133037.1
OG0000086	XP_006092276.1	XP_020922951.1, XP_020922950.1
OG0000087	XP_006107099.2	XP_005657196.2, XP_013845637.2, XP_003358961.3
OG0000088	XP_023620812.1	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1
OG0000090	XP_023602041.1	NP_001229985.1, XP_020948987.1
OG0000092	XP_023612296.1, XP_006092142.1	XP_020937104.1
OG0000093	XP_023603971.1	XP_020941598.1
OG0000095	XP_023603269.1	XP_020949547.1
OG0000095	XP_006106789.1	XP_003355856.1
OG0000095	XP_006106790.1	NP_001001266.1, XP_013843991.2
OG0000096	XP_006087239.1	XP_003353495.1
OG0000099	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1	XP_020933181.1, XP_020933183.1
OG0000099	XP_023610089.1	XP_020932980.1, NP_001011508.1
OG0000100	XP_023604015.1	XP_020953150.1, XP_020953153.1, XP_020953154.1, XP_020953149.1
OG0000100	XP_006081076.1	XP_020941908.1, XP_003481037.1
OG0000101	XP_006102598.1	XP_013842975.1
OG0000101	XP_006084736.1	XP_020935324.1, XP_020935323.1
OG0000102	XP_006103626.2, XP_006103624.1	NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2
OG0000102	XP_006108378.2	XP_020957065.1, XP_020957066.1
OG0000103	XP_006088492.1, XP_014311036.1, XP_023609353.1	XP_005668287.1, NP_001038083.1
OG0000103	XP_014311038.1	NP_001033715.2, XP_020919727.1
OG0000104	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1	XP_020945969.1
OG0000104	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1	XP_005663763.3, XP_005663765.3
OG0000105	XP_014314667.1	XP_020918329.1, XP_020918323.1, XP_020918326.1, XP_020918310.1, XP_020918316.1, XP_020918321.1, XP_020918318.1, XP_020918325.1, XP_020918332.1, XP_020918335.1, XP_020918299.1, XP_020918313.1, XP_020918319.1, XP_020918336.1, XP_020918322.1, XP_020918308.1, XP_020918320.1, XP_020918324.1, XP_020918330.1, XP_020918301.1, XP_020918309.1, XP_020918333.1, XP_020918302.1, XP_020918312.1, XP_020918300.1, XP_020918327.1, XP_020918314.1, XP_020918304.1, XP_020918305.1, XP_020918331.1, XP_020918303.1, XP_020918311.1, XP_020918334.1, XP_020918307.1, XP_020918315.1
OG0000106	XP_006106865.1	XP_003134933.1
OG0000106	XP_006103520.1	NP_001006592.1
OG0000106	XP_006099091.1	XP_005670706.1, NP_998956.1
OG0000106	XP_014310895.1	XP_005661989.2
OG0000107	XP_006092103.1	XP_020938708.1, XP_020941127.1, XP_020938707.1, XP_003480749.2, XP_020937672.1, XP_020937673.1, XP_020937111.1, XP_020937110.1, XP_020940700.1, XP_020937676.1
OG0000107	XP_023612356.1	XP_020940701.1, XP_020940702.1
OG0000108	XP_006083067.1	XP_020930254.1, NP_001230722.1
OG0000109	XP_006102783.1	XP_003122039.1
OG0000109	XP_006102784.1	XP_003122044.1
OG0000110	XP_006105151.1	XP_005669254.1
OG0000110	XP_006108001.1	XP_013843394.1, NP_001231387.1
OG0000110	XP_006109204.1	XP_020921972.1
OG0000111	XP_023603133.1	XP_020937408.1, XP_020937407.1, XP_003359505.2
OG0000113	XP_023614621.1, XP_023614629.1	XP_020935603.1
OG0000114	XP_023615099.1	XP_020931001.1, XP_001928787.2, XP_003133674.2
OG0000114	XP_023615102.1	XP_020931295.1
OG0000115	XP_006091570.1	XP_020946634.1, NP_001153898.1
OG0000115	XP_014321084.1	XP_020932893.1, NP_001153899.1
OG0000116	XP_023614180.1	XP_005661779.2
OG0000116	XP_006086570.1	NP_001072141.1
OG0000116	XP_014319941.1	NP_001072142.1
OG0000118	XP_014311373.1, XP_023609603.1, XP_023609604.1	XP_020934700.1, XP_020934703.1, XP_020934702.1, XP_020934698.1, XP_005673358.1, XP_020934699.1, XP_020934704.1, XP_020934701.1, XP_013841228.1, XP_020934697.1
OG0000119	XP_014322039.1	XP_005671057.1, XP_020929555.1, XP_001929089.1, XP_020929551.1, XP_020929556.1, XP_013838717.1, XP_020929554.1, XP_020929553.1, XP_005671058.1, XP_005671056.1, XP_013838718.1
OG0000120	XP_023617223.1	XP_003124331.1
OG0000121	XP_023616611.1, XP_023616613.1, XP_023616612.1	XP_020933838.1, XP_020933335.1
OG0000122	XP_023618125.1	XP_020952890.1
