Orthogroup	Myotis_lucifugus	Ursus_americanus
OG0000005	XP_006101391.1, XP_006109268.1	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1
OG0000005	XP_006101365.1	XP_045632521.1, XP_045645925.1
OG0000005	XP_006101366.1, XP_006101367.1	XP_045645927.1, XP_045632517.1
OG0000005	XP_006101378.1	XP_045652430.1, XP_045652427.1, XP_045632518.1
OG0000005	XP_006101368.1	XP_045645521.1
OG0000006	XP_023606226.1, XP_023601033.1, XP_023611373.1, XP_023602675.1, XP_023605007.1, XP_023605031.1, XP_023620624.1, XP_023606225.1, XP_023603621.1, XP_023602676.1, XP_023602721.1, XP_023607947.1, XP_023605259.1, XP_023604781.1	XP_045650013.1
OG0000006	XP_023611739.1	XP_045656292.1
OG0000006	XP_023604080.1, XP_014306381.1, XP_014307657.2, XP_014305168.1, XP_023604957.1, XP_023604864.1	XP_045661052.1
OG0000008	XP_023603086.1, XP_023603088.1	XP_045631167.1, XP_045631098.1
OG0000008	XP_023609052.1	XP_045670779.1
OG0000008	XP_023608739.1	XP_045644759.1
OG0000008	XP_006090633.1	XP_045651930.1
OG0000008	XP_014318909.1	XP_045669366.1
OG0000008	XP_023617197.1	XP_045669362.1
OG0000008	XP_023618878.1	XP_045670809.1
OG0000009	XP_023603895.1, XP_006108147.1, XP_023603897.1, XP_023604454.1, XP_023605044.1, XP_023604763.1, XP_023604764.1, XP_023603922.1, XP_006108085.1, XP_014304586.1, XP_006109548.2, XP_014304465.1, XP_014306514.2, XP_006103427.2, XP_023603919.1, XP_023604980.1, XP_014304469.1, XP_023603555.1, XP_014304476.1, XP_023603920.1, XP_023603918.1, XP_023603634.1, XP_006108930.2, XP_014305975.1, XP_014304594.1, XP_014305051.1, XP_023604586.1, XP_023603595.1, XP_023604095.1	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1
OG0000010	XP_014313946.1	XP_045642840.1
OG0000010	XP_006091995.1	XP_045642833.1, XP_045642838.1
OG0000011	XP_006109699.2	XP_045650417.1
OG0000011	XP_006086528.1	XP_045650426.1
OG0000011	XP_023607814.1	XP_045650411.1
OG0000011	XP_006086520.1	XP_045650409.1
OG0000011	XP_023607813.1	XP_045650412.1
OG0000011	XP_006086527.1	XP_045650424.1
OG0000011	XP_023607816.1	XP_045650416.1
OG0000011	XP_006086523.2	XP_045650414.1
OG0000011	XP_006109698.1	XP_045650423.1
OG0000011	XP_023607817.1	XP_045650419.1
OG0000011	XP_006086526.1	XP_045650422.1
OG0000011	XP_014309297.1	XP_045650410.1
OG0000011	XP_006086677.1	XP_045650407.1
OG0000012	XP_006085710.1	XP_045659615.1
OG0000012	XP_006085742.1	XP_045660983.1
OG0000012	XP_014308588.1, XP_006085741.1	XP_045660984.1
OG0000012	XP_014308590.1	XP_045634849.1
OG0000012	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1	XP_045634850.1, XP_045634848.1
OG0000012	XP_006088682.1	XP_045660009.1
OG0000013	XP_006102505.1	XP_045630277.1
OG0000013	XP_006102519.1, XP_014323272.1	XP_045630350.1
OG0000014	XP_014314720.1	XP_045629904.1
OG0000014	XP_023604382.1	XP_045629702.1
OG0000014	XP_006103440.2	XP_045629750.1, XP_045629740.1
OG0000014	XP_023604027.1, XP_014304991.1, XP_014304989.1	XP_045629613.1, XP_045629604.1, XP_045629575.1
OG0000014	XP_014301260.1, XP_006103437.2	XP_045629495.1, XP_045629475.1
OG0000014	XP_014304370.2, XP_014301236.2, XP_023604424.1, XP_023614548.1, XP_023614547.1, XP_023614546.1, XP_023614545.1, XP_023605498.1, XP_023603453.1, XP_014304376.1, XP_023603456.1, XP_023603459.1, XP_023603458.1	XP_045629381.1, XP_045629351.1, XP_045629360.1, XP_045629324.1, XP_045629314.1, XP_045629339.1, XP_045629281.1, XP_045629304.1
OG0000015	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1	XP_045630360.1
OG0000015	XP_006102523.2, XP_023599575.1, XP_023599574.1, XP_023599573.1, XP_023604894.1, XP_023599584.1, XP_014323261.1, XP_014323262.2	XP_045630319.1
OG0000017	XP_006081579.1	XP_045629764.1
OG0000017	XP_014315670.1	XP_045634937.1
OG0000018	XP_014301359.1	XP_045670225.1
OG0000018	XP_006095231.1	XP_045633105.1
OG0000018	XP_014303293.1, XP_014303295.1, XP_006105758.1	XP_045656399.1
OG0000019	XP_006087592.3	XP_045645141.1, XP_045643388.1
OG0000019	XP_006087532.1	XP_045645143.1, XP_045643386.1
OG0000020	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1	XP_045645295.1
OG0000020	XP_023605092.1	XP_045645315.1, XP_045645319.1
OG0000020	XP_023604823.1, XP_023602216.1, XP_023603178.1, XP_023603171.1, XP_023603172.1, XP_014304057.1, XP_014304063.1, XP_023602220.1	XP_045645325.1
OG0000020	XP_006105460.1, XP_023603174.1, XP_023603173.1, XP_023602214.1, XP_006105458.1, XP_014303048.1, XP_023603175.1, XP_014304058.1, XP_023603176.1, XP_023603702.1, XP_023602219.1, XP_023602218.1, XP_023602865.1, XP_023603757.1, XP_023603759.1, XP_023602863.1, XP_023602871.1, XP_023602861.1, XP_023603701.1, XP_023605003.1	XP_045645342.1, XP_045645296.1, XP_045645314.1, XP_045645289.1
OG0000022	XP_006086666.1	XP_045650391.1
OG0000022	XP_006086504.1	XP_045650387.1
OG0000022	XP_014306348.1, XP_006086506.1	XP_045650388.1
OG0000022	XP_023607764.1	XP_045650393.1
OG0000022	XP_006086502.1	XP_045650396.1
OG0000022	XP_006086507.3	XP_045650384.1
OG0000022	XP_023607849.1	XP_045650404.1
OG0000022	XP_023607811.1	XP_045650405.1
OG0000023	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2	XP_045631035.1
OG0000023	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1	XP_045631125.1
OG0000023	XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3	XP_045631124.1
OG0000023	XP_014304275.2	XP_045631163.1
OG0000023	XP_023604086.1, XP_014306641.2, XP_023603076.1	XP_045631089.1
OG0000026	XP_006087848.1, XP_006087846.2	XP_045672087.1
OG0000026	XP_023612671.1	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1
OG0000027	XP_006082612.1	XP_045633509.1
OG0000027	XP_006109687.1, XP_006085845.1	XP_045657089.1
OG0000027	XP_006085609.1	XP_045631313.1
OG0000027	XP_023609366.1	XP_045668843.1
OG0000027	XP_014320502.1	XP_045658509.1, XP_045671137.1
OG0000027	XP_006091577.1	XP_045657088.1
OG0000027	XP_006091578.1	XP_045657091.1
OG0000028	XP_014313930.1, XP_006092090.1	XP_045643014.1, XP_045643018.1
OG0000028	XP_014313931.1	XP_045643019.1, XP_045643012.1, XP_045643011.1
OG0000028	XP_014313929.1	XP_045643015.1
OG0000029	XP_014316275.1	XP_045641600.1
OG0000031	XP_006100279.1	XP_045659913.1, XP_045659986.1
OG0000032	XP_023607829.1	XP_045650440.1
OG0000032	XP_023607857.1	XP_045650441.1
OG0000032	XP_023607822.1	XP_045650429.1
OG0000033	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1	XP_045670473.1, XP_045670472.1
OG0000033	XP_023603586.1	XP_045670081.1
OG0000033	XP_006108023.2	XP_045670271.1, XP_045670269.1, XP_045670270.1
OG0000033	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1	XP_045669873.1
OG0000035	XP_023608661.1	XP_045628381.1
OG0000035	XP_006096684.1	XP_045658329.1
OG0000035	XP_006093229.1	XP_045669289.1
OG0000035	XP_006107764.1	XP_045630929.1
OG0000035	XP_023604685.1	XP_045650270.1
OG0000035	XP_006096839.1	XP_045644253.1
OG0000036	XP_006090070.1, XP_023604639.1	XP_045651935.1, XP_045665947.1
OG0000036	XP_006090066.1	XP_045641026.1, XP_045641029.1, XP_045641028.1
OG0000038	XP_006108449.1	XP_045642950.1, XP_045642454.1
OG0000039	XP_014308601.2	XP_045667593.1
OG0000039	XP_006101176.1	XP_045632691.1
OG0000039	XP_023600742.1	XP_045670590.1
OG0000040	XP_014313682.1, XP_006091633.1	XP_045656782.1, XP_045656776.1, XP_045656701.1, XP_045656770.1, XP_045656771.1, XP_045656778.1, XP_045656777.1, XP_045656775.1, XP_045656698.1, XP_045656702.1, XP_045656697.1, XP_045656773.1, XP_045656774.1, XP_045656781.1
OG0000041	XP_006091988.2	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1
OG0000041	XP_014313940.2, XP_006092121.1	XP_045642937.1, XP_045642938.1
OG0000042	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1	XP_045664621.1
OG0000043	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1	XP_045639029.1
OG0000044	XP_014303412.1	XP_045656372.1, XP_045656420.1, XP_045656375.1
OG0000044	XP_006105773.1	XP_045633101.1
OG0000044	XP_014303302.1	XP_045656374.1
OG0000044	XP_023603027.1	XP_045637353.1
OG0000045	XP_023619132.1	XP_045653186.1
OG0000045	XP_023619120.1	XP_045653193.1
OG0000045	XP_006099789.1, XP_023619123.1	XP_045653194.1
OG0000045	XP_023619122.1, XP_006099792.1	XP_045653188.1, XP_045653187.1, XP_045653189.1
OG0000045	XP_023619124.1	XP_045653191.1
OG0000046	XP_023619063.1	XP_045634549.1
OG0000046	XP_014320622.2	XP_045634634.1, XP_045634633.1, XP_045634710.1
OG0000048	XP_006102709.1, XP_014323472.2, XP_023604189.1	XP_045642300.1
OG0000048	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1
OG0000049	XP_006091104.2	XP_045663942.1
OG0000049	XP_006091103.2	XP_045663874.1
OG0000049	XP_006082070.1	XP_045655350.1
OG0000049	XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1	XP_045655349.1
OG0000050	XP_006105691.1	XP_045646965.1
OG0000050	XP_014303234.1	XP_045647114.1
OG0000051	XP_014309680.1	XP_045628930.1
OG0000051	XP_023614891.1	XP_045631233.1
OG0000051	XP_014309679.1	XP_045628928.1, XP_045628929.1
OG0000051	XP_023614431.1	XP_045642234.1
OG0000051	XP_023615229.1, XP_006108950.2	XP_045631224.1
OG0000051	XP_006082308.1	XP_045634948.1
OG0000052	XP_014306145.2, XP_014314626.1	XP_045635810.1
OG0000052	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1
OG0000054	XP_006108306.2, XP_023604128.1, XP_014305777.1	XP_045640444.1
OG0000054	XP_023616138.1, XP_006082480.1, XP_014305330.1, XP_006082803.1, XP_014305329.1, XP_023618961.1, XP_006107885.2, XP_023618946.1, XP_014319930.1, XP_006108223.2, XP_023605172.1, XP_014319918.2, XP_006108224.2	XP_045639962.1, XP_045640348.1, XP_045640424.1, XP_045640421.1, XP_045640427.1, XP_045640227.1
OG0000054	XP_006096947.1	XP_045639995.1
OG0000056	XP_006091994.1	XP_045642850.1
OG0000057	XP_023618012.1	XP_045650108.1
OG0000057	XP_023617871.1	XP_045650116.1
OG0000058	XP_006107133.1	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1
OG0000059	XP_006094765.2	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1
OG0000060	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1
OG0000061	XP_023608990.1, XP_014310721.2, XP_014310723.1	XP_045670758.1
OG0000062	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1
OG0000063	XP_023611602.1	XP_045666392.1
OG0000064	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1
OG0000065	XP_014303917.1	XP_045663223.1
OG0000068	XP_006092084.1, XP_006092085.1, XP_006092083.1	XP_045643023.1
OG0000069	XP_006095089.1	XP_045630052.1
OG0000069	XP_006087768.1, XP_006087769.1	XP_045644771.1
OG0000069	XP_023608761.1	XP_045644762.1
OG0000069	XP_006097691.1	XP_045663810.1
OG0000070	XP_023618754.1	XP_045636453.1
OG0000070	XP_023608440.1	XP_045655412.1
OG0000071	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1	XP_045626763.1, XP_045626722.1
OG0000072	XP_014312406.1	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1
OG0000073	XP_006092130.1	XP_045642928.1
OG0000074	XP_006094556.1, XP_023614505.1, XP_014316200.1	XP_045638737.1, XP_045638729.1
OG0000074	XP_023614501.1	XP_045638730.1
OG0000075	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1	XP_045660960.1
OG0000075	XP_006106919.1, XP_006106918.1	XP_045644393.1, XP_045660188.1
OG0000076	XP_014306349.1	XP_045650397.1
OG0000076	XP_023607802.1	XP_045650398.1
OG0000076	XP_023607809.1	XP_045650395.1
OG0000076	XP_023607801.1	XP_045650402.1
OG0000076	XP_023607810.1	XP_045650403.1
OG0000076	XP_014309276.2	XP_045650394.1
OG0000077	XP_006083143.1	XP_045662121.1
OG0000077	XP_006095857.1	XP_045656813.1
OG0000078	XP_006093589.1	XP_045645657.1, XP_045645656.1
OG0000079	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1
OG0000080	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1	XP_045642701.1, XP_045642703.1, XP_045642702.1
OG0000080	XP_023604822.1, XP_006108589.1, XP_023604821.1	XP_045642704.1, XP_045642705.1
OG0000081	XP_006103859.1	XP_045644444.1
OG0000082	XP_023604842.1, XP_023619314.1	XP_045669507.1
OG0000082	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1
OG0000083	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1	XP_045631149.1, XP_045631150.1
OG0000083	XP_023603096.1	XP_045631169.1
OG0000083	XP_006106565.1	XP_045631170.1
OG0000083	XP_023603095.1, XP_006109373.3	XP_045631175.1
OG0000084	XP_014316904.1, XP_014316906.1, XP_014316905.1	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1
OG0000085	XP_006102503.2	XP_045630357.1
OG0000085	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1	XP_045630221.1, XP_045630359.1
OG0000086	XP_006103379.1	XP_045641894.1
OG0000086	XP_014320496.1	XP_045658490.1
OG0000087	XP_006107099.2	XP_045641652.1, XP_045641645.1, XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1, XP_045641653.1
OG0000088	XP_023620812.1	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1
OG0000090	XP_023602041.1	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1
OG0000093	XP_023603971.1, XP_014304922.1	XP_045669385.1
OG0000095	XP_023603269.1	XP_045662670.1
OG0000095	XP_006106789.1	XP_045662783.1
OG0000095	XP_006106790.1	XP_045662784.1, XP_045662786.1
OG0000096	XP_006087239.1	XP_045646194.1
OG0000096	XP_006085768.1, XP_023607165.1, XP_023607164.1	XP_045667579.1
OG0000099	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1	XP_045666676.1, XP_045663749.1, XP_045663763.1
OG0000099	XP_023610089.1	XP_045663783.1, XP_045663791.1
OG0000100	XP_023604015.1	XP_045659404.1
OG0000100	XP_006081076.1	XP_045629752.1
OG0000101	XP_006102598.1	XP_045650931.1
OG0000101	XP_006084736.1	XP_045655963.1, XP_045655964.1
OG0000102	XP_006103626.2, XP_006103624.1	XP_045627453.1
OG0000102	XP_006108378.2	XP_045649362.1, XP_045633253.1, XP_045658778.1
OG0000103	XP_014311038.1	XP_045668844.1
OG0000104	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1	XP_045657785.1, XP_045657784.1
OG0000105	XP_014314667.1	XP_045646725.1, XP_045646724.1
OG0000106	XP_006106865.1	XP_045649626.1
OG0000106	XP_006103520.1	XP_045642224.1
OG0000106	XP_006099091.1	XP_045632846.1
OG0000106	XP_014310895.1	XP_045629838.1
OG0000107	XP_006092103.1	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1
OG0000107	XP_023612356.1	XP_045642992.1
OG0000108	XP_006083067.1	XP_045651824.1, XP_045651822.1, XP_045651823.1
OG0000109	XP_006088167.2	XP_045636309.1
OG0000109	XP_006102782.1	XP_045636487.1
OG0000109	XP_006102783.1	XP_045636484.1
OG0000109	XP_006102784.1	XP_045636486.1
OG0000110	XP_006105151.1	XP_045653389.1
OG0000110	XP_006108001.1	XP_045653379.1, XP_045653380.1
OG0000110	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1	XP_045653378.1
OG0000111	XP_023603133.1	XP_045666826.1
OG0000113	XP_023614621.1, XP_023614629.1	XP_045660196.1, XP_045645435.1, XP_045635373.1
OG0000114	XP_023615099.1	XP_045662083.1, XP_045662092.1, XP_045662086.1
OG0000114	XP_023615102.1	XP_045662091.1, XP_045662087.1
OG0000115	XP_006091570.1	XP_045657100.1
OG0000115	XP_014321084.1	XP_045661128.1, XP_045661127.1
OG0000116	XP_023614180.1	XP_045650512.1
OG0000118	XP_014311373.1, XP_023609603.1, XP_023609604.1	XP_045648932.1, XP_045648931.1, XP_045648929.1
OG0000119	XP_014322039.1	XP_045665992.1, XP_045665990.1, XP_045665989.1, XP_045665988.1, XP_045665991.1, XP_045665994.1, XP_045665993.1
OG0000120	XP_023617223.1	XP_045669188.1
OG0000121	XP_023616611.1, XP_023616613.1, XP_023616612.1	XP_045635128.1, XP_045635127.1
OG0000122	XP_023618125.1	XP_045655871.1
OG0000122	XP_023605732.1	XP_045637057.1
OG0000123	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1	XP_045629592.1, XP_045629589.1, XP_045629412.1, XP_045629323.1
OG0000124	XP_023612765.1	XP_045669599.1
OG0000125	XP_006095004.1	XP_045637612.1
OG0000125	XP_006095005.1, XP_006095008.1, XP_006095006.1	XP_045637560.1, XP_045637568.1, XP_045637562.1
OG0000125	XP_006095007.1	XP_045637561.1
OG0000127	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1	XP_045655163.1, XP_045655162.1, XP_045655161.1, XP_045655166.1, XP_045655165.1, XP_045655164.1, XP_045655159.1
OG0000128	XP_023602430.1	XP_045656428.1, XP_045656425.1, XP_045656429.1, XP_045656426.1, XP_045656430.1, XP_045656427.1
OG0000128	XP_023602433.1	XP_045656303.1, XP_045656434.1
OG0000129	XP_006109265.1, XP_023604978.1, XP_023613461.1, XP_023613462.1, XP_023613459.1, XP_023613460.1	XP_045658352.1
OG0000130	XP_006094606.1	XP_045671355.1
OG0000130	XP_023614529.1	XP_045671356.1
OG0000130	XP_006094688.1	XP_045671354.1
OG0000130	XP_006094607.1	XP_045671344.1
OG0000131	XP_006089739.1, XP_006108842.1	XP_045639044.1
OG0000132	XP_006084467.1	XP_045666061.1
OG0000133	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1	XP_045657777.1, XP_045657776.1, XP_045657778.1
OG0000134	XP_006084217.2	XP_045637133.1
OG0000135	XP_023607667.1	XP_045645050.1
OG0000136	XP_023606748.1	XP_045645011.1, XP_045645014.1, XP_045645012.1
OG0000137	XP_006094818.1	XP_045649571.1
OG0000137	XP_006094802.1	XP_045649569.1
OG0000137	XP_006094801.1	XP_045649567.1, XP_045649566.1
OG0000138	XP_006094594.1	XP_045638825.1
OG0000138	XP_006094593.1	XP_045638824.1
OG0000138	XP_006094595.1	XP_045638839.1, XP_045638823.1
OG0000138	XP_006094665.1	XP_045638850.1, XP_045638804.1
OG0000140	XP_023620778.1	XP_045663420.1
OG0000142	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1	XP_045662802.1, XP_045662805.1, XP_045662806.1, XP_045662804.1, XP_045662803.1, XP_045662801.1, XP_045662800.1
OG0000143	XP_023603862.1	XP_045651297.1
OG0000145	XP_006096700.1	XP_045658338.1
OG0000146	XP_006105955.1, XP_023602559.1	XP_045661919.1, XP_045661916.1, XP_045661913.1, XP_045661918.1, XP_045661914.1, XP_045661917.1, XP_045661920.1
OG0000147	XP_023617290.1, XP_023603880.1, XP_023603879.1	XP_045664759.1, XP_045664808.1
OG0000148	XP_014310265.1, XP_023608613.1	XP_045645125.1, XP_045644504.1
OG0000149	XP_023600635.1	XP_045662151.1
OG0000149	XP_023616468.1, XP_014306422.2	XP_045640012.1
OG0000149	XP_023617009.1	XP_045657386.1
OG0000149	XP_006096963.1	XP_045640417.1
OG0000151	XP_006101983.2	XP_045629115.1
OG0000151	XP_023599168.1, XP_023599167.1, XP_023605154.1	XP_045629461.1
OG0000153	XP_006101380.1, XP_006101379.1	XP_045652422.1, XP_045651788.1
OG0000156	XP_023620743.1, XP_014322360.1, XP_006101540.1, XP_023620742.1, XP_006101539.1	XP_045645380.1, XP_045645370.1, XP_045645371.1, XP_045645382.1, XP_045645377.1, XP_045645384.1, XP_045645375.1, XP_045645373.1, XP_045645385.1, XP_045645387.1, XP_045645386.1, XP_045645381.1, XP_045645379.1, XP_045645378.1, XP_045645376.1, XP_045645374.1
OG0000157	XP_006089394.1	XP_045659837.1, XP_045659662.1
