Orthogroup	Myotis_lucifugus	Saimiri_boliviensis_boliviensis
OG0000026	XP_023612671.1	XP_010344692.1, XP_010344690.1, XP_010344691.1
OG0000027	XP_006082612.1	XP_010334588.2
OG0000027	XP_006109687.1, XP_006085845.1	XP_010348076.2
OG0000027	XP_006099588.1	XP_039335895.1
OG0000027	XP_006085609.1	XP_039318403.1
OG0000027	XP_023609366.1	XP_003939105.2
OG0000027	XP_006091577.1	XP_039328209.1
OG0000027	XP_006091578.1	XP_010348074.2
OG0000028	XP_014313930.1, XP_006092090.1	XP_003920501.1
OG0000028	XP_014313931.1	XP_003920200.1
OG0000028	XP_014313929.1	XP_003920202.2
OG0000031	XP_006100279.1	XP_010344198.2
OG0000032	XP_023607829.1	XP_039328729.1, XP_003920557.2
OG0000032	XP_023607857.1	XP_039327707.1
OG0000033	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1	XP_003931817.1
OG0000033	XP_023603586.1	XP_003931922.1
OG0000033	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1	XP_010340761.1
OG0000035	XP_023608661.1	XP_039318842.1, XP_039318843.1
OG0000035	XP_006096684.1	XP_003922471.1
OG0000035	XP_006093229.1	XP_039316629.1
OG0000035	XP_006107764.1	XP_039331779.1, XP_010349143.2
OG0000035	XP_023604685.1	XP_003925881.1
OG0000036	XP_006090070.1, XP_023604639.1	XP_003922417.1, XP_003922419.1
OG0000036	XP_006090066.1	XP_003922415.1
OG0000038	XP_006108449.1	XP_039327428.1, XP_003920141.1
OG0000039	XP_014308601.2	XP_003927439.2
OG0000039	XP_006101176.1	XP_010347833.2
OG0000039	XP_023602750.1	XP_039315957.1
OG0000039	XP_023600742.1	XP_003932683.1
OG0000040	XP_014313682.1, XP_006091633.1	XP_003927936.1, XP_039328176.1
OG0000041	XP_014313940.2, XP_006092121.1	XP_010335862.2, XP_003920143.2
OG0000042	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1	XP_010335516.2
OG0000043	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1	XP_003920426.2, XP_003919855.1, XP_010335361.2
OG0000044	XP_014303412.1	XP_003942034.2
OG0000044	XP_006105898.1	XP_010343416.1
OG0000044	XP_006105773.1	XP_039318565.1
OG0000044	XP_014303302.1	XP_039318564.1, XP_003944781.1
OG0000045	XP_023619132.1	XP_039331909.1
OG0000045	XP_023619120.1	XP_039332728.1
OG0000045	XP_006099789.1, XP_023619123.1	XP_039332730.1
OG0000045	XP_023619122.1, XP_006099792.1	XP_003929291.1, XP_003929292.1
OG0000045	XP_023619124.1	XP_010338158.2
OG0000046	XP_023619063.1	XP_010331142.2
OG0000046	XP_014320622.2	XP_010328492.2, XP_003942293.2, XP_010328414.2, XP_010328415.2, XP_003942294.2, XP_039322761.1, XP_010328491.2
OG0000046	XP_023619075.1	XP_039321667.1
OG0000048	XP_006102709.1, XP_014323472.2, XP_023604189.1	XP_010329363.1
OG0000048	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1
OG0000049	XP_006091104.2	XP_003924537.2, XP_010333524.2, XP_039323980.1
OG0000049	XP_006091103.2	XP_003924539.3
OG0000049	XP_006082070.1	XP_039324393.1, XP_039324392.1
OG0000051	XP_014309680.1	XP_039329306.1
OG0000051	XP_023614891.1	XP_003925510.1
OG0000051	XP_014309679.1	XP_003928297.2
OG0000051	XP_023614431.1	XP_039320049.1
OG0000051	XP_023615229.1, XP_006108950.2	XP_039325459.1
OG0000051	XP_006082308.1	XP_010344666.1
OG0000052	XP_014306145.2, XP_014314626.1	XP_039319167.1
OG0000052	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1	XP_039319076.1, XP_039319077.1, XP_010341812.2
OG0000054	XP_006108306.2, XP_023604128.1, XP_014305777.1	XP_010346811.2
OG0000054	XP_023616138.1, XP_006082480.1, XP_014305330.1, XP_006082803.1, XP_014305329.1, XP_023618961.1, XP_006107885.2, XP_023618946.1, XP_014319930.1, XP_006108223.2, XP_023605172.1, XP_014319918.2, XP_006108224.2, XP_006096945.2	XP_039315844.1
OG0000054	XP_006096947.1	XP_003937935.2
OG0000055	XP_006089756.1	XP_003919854.1
OG0000055	XP_006089754.1	XP_003919856.1
OG0000057	XP_023618012.1	XP_039325467.1, XP_039325466.1
OG0000057	XP_023617871.1	XP_039325468.1
OG0000058	XP_006107133.1	XP_039333546.1, XP_039333545.1, XP_003936708.1
OG0000059	XP_006094765.2	XP_010331293.1, XP_039333543.1
OG0000060	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1	XP_010334009.1
OG0000062	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1	XP_039318532.1, XP_010336326.2
OG0000064	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1
OG0000066	XP_014309652.1	XP_010333813.1, XP_039328754.1, XP_039330485.1
OG0000069	XP_006095089.1	XP_039316972.1
OG0000069	XP_023608740.1	XP_010329563.1
OG0000069	XP_006087768.1, XP_006087769.1	XP_003943448.2
OG0000069	XP_023608761.1	XP_039319973.1
OG0000069	XP_006097691.1	XP_003924565.1
OG0000069	XP_006100567.3	XP_003939886.1, XP_010348853.1
OG0000070	XP_023618754.1	XP_010337017.1
OG0000070	XP_023608440.1	XP_010347594.1
OG0000071	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1	XP_003943374.2, XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1
OG0000072	XP_014312406.1	XP_003922405.1
OG0000074	XP_006094556.1, XP_023614505.1, XP_014316200.1	XP_003923468.1
OG0000074	XP_023614501.1	XP_010332594.1, XP_003923466.1
OG0000075	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1	XP_010349790.1
OG0000075	XP_006087851.1, XP_006087855.1, XP_014310450.2	XP_003943457.1, XP_010329571.1
OG0000076	XP_014306349.1	XP_010336471.1
OG0000076	XP_014309283.1	XP_010336477.2
OG0000076	XP_023607802.1	XP_010336475.1
OG0000076	XP_006086511.1	XP_010336456.1
OG0000076	XP_023607809.1	XP_039328402.1
OG0000076	XP_023607801.1	XP_010336460.1
OG0000076	XP_023607810.1	XP_003920575.2
OG0000076	XP_014309276.2	XP_003920580.2
OG0000077	XP_006083143.1	XP_003921883.1, XP_039327768.1
OG0000077	XP_006097627.1	XP_039330530.1
OG0000077	XP_006091330.1	XP_039320360.1
OG0000077	XP_006087570.1	XP_039330546.1
OG0000077	XP_006109152.1	XP_003935149.2
OG0000077	XP_006095857.1	XP_039328044.1
OG0000078	XP_006093589.1	XP_010335563.1
OG0000079	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1
OG0000080	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1	XP_039326925.1, XP_039326924.1
OG0000080	XP_023604822.1, XP_006108589.1, XP_023604821.1	XP_010333275.1, XP_010333278.2
OG0000081	XP_006103859.1	XP_039318415.1
OG0000082	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1	XP_039336381.1, XP_010336666.2, XP_010336667.2
OG0000083	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1	XP_003944264.1
OG0000083	XP_023603096.1	XP_003944271.2
OG0000083	XP_006106565.1	XP_039323029.1
OG0000083	XP_023603095.1, XP_006109373.3	XP_003944266.1
OG0000084	XP_014316904.1, XP_014316906.1, XP_014316905.1	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1
OG0000086	XP_023612450.1	XP_010333042.1, XP_003920167.1
OG0000086	XP_014320496.1	XP_039318297.1
OG0000086	XP_006092276.1	XP_003929141.1, XP_039332666.1
OG0000087	XP_006107099.2	XP_010336636.2, XP_003927726.3, XP_003927728.1, XP_003927727.1
OG0000088	XP_023620812.1	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1
OG0000090	XP_023602041.1	XP_010329648.1
OG0000092	XP_023612296.1	XP_010335799.2
OG0000093	XP_014304922.1	XP_010329932.1
OG0000095	XP_023603269.1	XP_039331824.1
OG0000095	XP_006106789.1	XP_003943509.1, XP_003943507.1
OG0000095	XP_006106790.1	XP_003943511.1
OG0000096	XP_006087239.1	XP_010335039.2
OG0000096	XP_006085768.1, XP_023607165.1, XP_023607164.1	XP_039318544.1
OG0000099	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1	XP_039335746.1
OG0000099	XP_023610089.1	XP_039335344.1
OG0000100	XP_023604015.1	XP_039330327.1, XP_039330326.1
OG0000100	XP_006081076.1	XP_003934223.1, XP_010343016.1
OG0000101	XP_006084736.1	XP_010349156.1, XP_003940188.1
OG0000102	XP_006103626.2, XP_006103624.1	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1
OG0000103	XP_006088492.1, XP_014311036.1, XP_023609353.1	XP_003939109.1
OG0000103	XP_014311038.1	XP_003939122.1
OG0000104	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1	XP_003943324.2, XP_010329420.2, XP_039330409.1
OG0000104	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1	XP_039330507.1, XP_003943302.2
OG0000105	XP_014314667.1	XP_039318127.1, XP_039318128.1
OG0000106	XP_006106865.1	XP_003930828.1
OG0000106	XP_006103520.1	XP_003930132.1
OG0000106	XP_006099091.1	XP_003932297.1
OG0000106	XP_014310895.1	XP_003934194.1
OG0000107	XP_023612356.1	XP_010332917.2
OG0000108	XP_006083067.1	XP_010345593.1, XP_039325580.1
OG0000109	XP_006088167.2	XP_003925465.1
OG0000109	XP_006102760.1	XP_010329964.2
OG0000109	XP_006102783.1, XP_006102784.1	XP_003943899.2, XP_010330044.2
OG0000110	XP_006105151.1	XP_003929179.1
OG0000110	XP_006108001.1	XP_003929189.1, XP_039331915.1
OG0000110	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1	XP_039332486.1
OG0000111	XP_023603133.1	XP_039317041.1, XP_039317022.1
OG0000113	XP_023614621.1, XP_023614629.1	XP_003944326.2
OG0000114	XP_023615099.1	XP_039325923.1, XP_039325966.1, XP_039325453.1
OG0000114	XP_023615102.1	XP_003925648.1, XP_003925649.1
OG0000115	XP_006091570.1	XP_010348067.1, XP_003939159.1
OG0000115	XP_014321084.1	XP_039320196.1
OG0000116	XP_023614180.1, XP_006092759.1	XP_039328259.1
OG0000116	XP_006086570.1	XP_039324253.1
OG0000116	XP_014319941.1	XP_003928756.1
OG0000118	XP_014311373.1, XP_023609603.1, XP_023609604.1	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1
OG0000119	XP_014322039.1	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1
OG0000120	XP_023617223.1	XP_003934288.1
OG0000121	XP_023616611.1, XP_023616613.1, XP_023616612.1	XP_010344410.1, XP_039317051.1
OG0000122	XP_023618125.1	XP_003937411.2
OG0000123	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1	XP_003933125.2
OG0000124	XP_023612765.1	XP_010334417.2
OG0000125	XP_006095004.1	XP_003942839.2
OG0000125	XP_006095005.1, XP_006095008.1, XP_006095006.1	XP_039332456.1, XP_039332455.1, XP_010328942.2
OG0000125	XP_006095007.1	XP_003942837.1
OG0000127	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1	XP_010338390.1, XP_003929523.1
OG0000128	XP_023602430.1	XP_003927335.1
OG0000128	XP_023602433.1	XP_003945327.2, XP_010336299.1, XP_003927336.1
OG0000129	XP_006093297.1	XP_039323809.1
OG0000130	XP_006094606.1	XP_003923415.2
OG0000130	XP_006094688.1	XP_003923416.1
OG0000130	XP_006094607.1	XP_003923414.2
OG0000131	XP_006089739.1, XP_006108842.1	XP_003919834.1, XP_003919833.1
OG0000132	XP_006084467.1	XP_010335850.1, XP_010335851.1, XP_010335852.1
OG0000133	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1
OG0000134	XP_006084217.2	XP_039317575.1
OG0000135	XP_023607667.1	XP_003940906.1
OG0000136	XP_023606748.1	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1
OG0000137	XP_006094818.1	XP_010338728.2
OG0000137	XP_006094801.1	XP_003929870.1
OG0000138	XP_006094594.1	XP_003923429.1
OG0000138	XP_006094593.1	XP_003923885.1
OG0000138	XP_006094595.1	XP_003923883.2
OG0000142	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1	XP_039317843.1
OG0000143	XP_023603862.1	XP_039324472.1
OG0000145	XP_006096700.1	XP_003922490.1
OG0000146	XP_006105955.1, XP_023602559.1	XP_003938814.1, XP_010347708.1, XP_010347707.1
OG0000147	XP_023617290.1, XP_023603880.1, XP_023603879.1	XP_039316002.1, XP_003922597.1
OG0000148	XP_014310265.1, XP_023608613.1	XP_039318700.1
OG0000149	XP_023600635.1	XP_039322050.1
OG0000149	XP_023616468.1, XP_014306422.2	XP_003937990.1
OG0000149	XP_023617009.1	XP_039316778.1
OG0000149	XP_006096963.1	XP_039316042.1
OG0000151	XP_006101983.2	XP_003929394.1
OG0000151	XP_023599168.1, XP_023599167.1, XP_023605154.1	XP_039332402.1
OG0000151	XP_023599174.1	XP_010337959.2
OG0000156	XP_023620743.1, XP_014322360.1, XP_006101540.1, XP_023620742.1, XP_006101539.1	XP_010330273.1, XP_010330274.1, XP_039322863.1
OG0000157	XP_006089394.1	XP_010345028.2, XP_039324567.1, XP_003926376.2, XP_010347515.2, XP_039334905.1, XP_039326433.1, XP_039328448.1, XP_039324106.1, XP_039329265.1, XP_039327213.1, XP_039327413.1, XP_039318778.1, XP_039320425.1
OG0000158	XP_014315308.1	XP_039324854.1
OG0000158	XP_014308345.1	XP_039325120.1, XP_039317372.1
OG0000158	XP_014323398.1, XP_006094724.1	XP_039334913.1, XP_039334978.1
OG0000160	XP_006083152.1, XP_014314477.1	XP_039319976.1
OG0000160	XP_006096272.1	XP_039335786.1
OG0000160	XP_006102266.1	XP_039317010.1
OG0000161	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1	XP_003922654.1
OG0000163	XP_023620683.1	XP_010332913.2
OG0000164	XP_006086410.1	XP_039328692.1, XP_039323908.1
OG0000165	XP_014309436.1, XP_023607965.1	XP_039334862.1, XP_010347365.1, XP_010347361.1, XP_039334861.1, XP_010347362.1
OG0000166	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1	XP_003920764.1, XP_003920763.1
OG0000167	XP_006103113.1, XP_023600145.1	XP_039334403.1, XP_039334404.1, XP_039334405.1
OG0000168	XP_014306650.1	XP_010340775.1
OG0000168	XP_006106539.1, XP_023603063.1	XP_003922345.1
OG0000170	XP_014312153.1	XP_003919917.1, XP_039326960.1
OG0000171	XP_006100015.1	XP_039330067.1, XP_003938796.2, XP_039318546.1, XP_039334323.1, XP_039321884.1, XP_039323743.1, XP_039322467.1
OG0000172	XP_023606738.1	XP_039320443.1
OG0000173	XP_006084433.1, XP_014307292.1, XP_023605848.1, XP_023605849.1	XP_010344788.1, XP_003936029.1, XP_010344789.1
OG0000174	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1	XP_039316009.1, XP_003941959.1, XP_010327976.1, XP_003941960.1, XP_010327980.1, XP_003941962.1, XP_003941961.1
OG0000175	XP_023619605.1	XP_010331846.1, XP_010331841.1
OG0000176	XP_023612290.1, XP_006091903.1, XP_014313981.1, XP_023612322.1, XP_023612323.1, XP_023612324.1, XP_006091904.1	XP_010333235.2, XP_003920207.2, XP_039327375.1
OG0000177	XP_023605077.1	XP_039321184.1, XP_003922168.1
OG0000178	XP_023606331.1, XP_014307712.1, XP_014307710.1	XP_010336016.1
OG0000179	XP_006102694.1	XP_003943230.1
OG0000179	XP_014323474.1	XP_039323094.1
OG0000180	XP_014322759.1	XP_010347870.2, XP_039323049.1
OG0000182	XP_023616097.1, XP_006096564.1, XP_023616096.1, XP_006096563.1, XP_014304507.1, XP_023607362.1	XP_003919934.1, XP_003940112.1, XP_010349097.1, XP_039330628.1
OG0000183	XP_006092049.1	XP_003920090.1
OG0000184	XP_023605358.1	XP_010328719.2
OG0000188	XP_006094601.1, XP_006094602.1	XP_003923418.1, XP_003923419.2
OG0000188	XP_023614550.1	XP_003923417.1
OG0000188	XP_006094603.1	XP_039326451.1, XP_039326452.1
OG0000189	XP_006096666.1	XP_003920702.2
OG0000189	XP_006082100.1	XP_039319953.1
OG0000189	XP_023614344.1, XP_006093591.1, XP_014306277.1, XP_006084082.1, XP_006105623.1	XP_039317060.1
OG0000191	XP_006084436.1, XP_023605915.1, XP_023605911.1, XP_014307298.1, XP_023605912.1, XP_023605913.1, XP_014307296.1, XP_023605914.1	XP_003938697.1, XP_039320884.1
OG0000192	XP_014307155.1	XP_010343377.2
OG0000193	XP_023606229.1	XP_010330508.1
OG0000195	XP_014303636.1	XP_010332345.1
OG0000197	XP_023606210.1	XP_003938745.1, XP_003938743.1, XP_003938742.1, XP_003938744.1
OG0000197	XP_006085012.1	XP_039328941.1
OG0000198	XP_023604023.1, XP_006107573.2	XP_003944090.3
OG0000199	XP_006081640.1	XP_003926867.1
OG0000200	XP_006108946.1, XP_006093214.1	XP_003943305.2
OG0000200	XP_006093986.1, XP_023614014.1, XP_023614007.1, XP_023614008.1	XP_003943303.1, XP_039329878.1
OG0000201	XP_023600980.1, XP_014317184.1, XP_014306768.2, XP_023604974.1, XP_023604079.1, XP_023599176.1	XP_039332191.1
OG0000202	XP_014311692.1	XP_003944253.2
OG0000203	XP_023608201.1	XP_039325610.1
OG0000204	XP_023614516.1	XP_039324880.1
OG0000204	XP_006081220.1	XP_039331564.1
OG0000205	XP_023604415.1, XP_023604423.1, XP_014304630.1, XP_014304620.1, XP_006083603.1, XP_023604417.1, XP_014304613.1, XP_006083601.1, XP_014304616.1	XP_010328386.1, XP_003942279.1
OG0000206	XP_023608679.1	XP_003936093.1, XP_010344853.1
OG0000207	XP_006082497.1, XP_023616343.1, XP_023616339.1, XP_014317501.1	XP_003925667.1
OG0000208	XP_006082277.1	XP_003945281.1
OG0000209	XP_014304126.1, XP_006108464.1, XP_006109090.3	XP_003940350.1, XP_039322135.1
OG0000210	XP_006093876.1, XP_023613944.1, XP_006093877.1, XP_006109512.1, XP_006093878.1	XP_003919938.2, XP_039326785.1, XP_039326786.1
OG0000211	XP_023609990.1	XP_003924861.1
OG0000211	XP_023610226.1	XP_003932060.1
OG0000213	XP_014304133.1	XP_010349071.2
OG0000214	XP_023619763.1	XP_039321525.1
OG0000214	XP_023608571.1	XP_039330539.1
OG0000214	XP_006081311.1	XP_010339063.1
OG0000215	XP_014305463.1	XP_039332972.1
OG0000216	XP_006101920.1	XP_003940728.1
OG0000216	XP_006101919.1	XP_039320423.1, XP_039320422.1, XP_039320424.1
OG0000217	XP_006082351.1, XP_023614600.1, XP_014315334.1	XP_010330468.1, XP_010330466.1, XP_010330465.1, XP_010330467.1, XP_010330469.1
