Orthogroup	Myotis_lucifugus	Loxodonta_africana
OG0000009	XP_023603634.1, XP_006108930.2, XP_014305975.1, XP_014304594.1, XP_014305051.1, XP_023604586.1, XP_023603595.1, XP_023604095.1	XP_023398140.1, XP_023398138.1, XP_010600063.1
OG0000010	XP_006091995.1	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1
OG0000011	XP_006109699.2	XP_010589614.1
OG0000011	XP_006086528.1	XP_003404600.1
OG0000011	XP_023607814.1	XP_003404609.1
OG0000011	XP_006086520.1	XP_003404610.1
OG0000011	XP_023607813.1	XP_003404608.1
OG0000011	XP_006086527.1	XP_003404601.1
OG0000011	XP_023607816.1	XP_003404607.1
OG0000011	XP_006086523.2	XP_003404606.1
OG0000011	XP_006109698.1	XP_023405595.1
OG0000011	XP_006086525.1	XP_003404605.1
OG0000011	XP_023607817.1	XP_003404603.1
OG0000011	XP_006086526.1	XP_023405607.1
OG0000011	XP_014309297.1	XP_003404858.2
OG0000011	XP_006086677.1	XP_010589642.2
OG0000012	XP_006085710.1	XP_010594127.1
OG0000012	XP_006085742.1	XP_023410900.1, XP_003416054.1
OG0000012	XP_006085740.1, XP_014308590.1	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1
OG0000012	XP_006085738.1	XP_003416100.1
OG0000012	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1
OG0000013	XP_006102505.1	XP_023398492.1
OG0000013	XP_006102520.1	XP_003413463.1, XP_003413462.2, XP_003413461.2, XP_003423702.1, XP_023408238.1, XP_003423701.2
OG0000013	XP_006102519.1, XP_014323272.1	XP_010600764.1, XP_023398152.1, XP_003423634.3, XP_003423518.3, XP_023398101.1, XP_010600529.1, XP_010600530.1, XP_023398127.1, XP_003423567.2
OG0000014	XP_023604382.1	XP_023399372.1
OG0000014	XP_006103440.2	XP_023399401.1
OG0000014	XP_014301260.1, XP_006103437.2, XP_014304370.2, XP_014301236.2, XP_023604424.1, XP_023614548.1, XP_023614547.1, XP_023614546.1, XP_023614545.1, XP_023605498.1, XP_023603453.1, XP_014304376.1, XP_023603456.1, XP_023603459.1, XP_023603458.1	XP_023399405.1
OG0000015	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1	XP_023408235.1
OG0000015	XP_014323262.2	XP_003413450.1, XP_010601001.1, XP_023407697.1, XP_003423589.2, XP_003422950.1, XP_003422956.1, XP_023407699.1, XP_003423696.3, XP_003422957.2
OG0000016	XP_006109610.1, XP_023605073.1, XP_006108782.1, XP_006098173.1, XP_006108783.1, XP_006098177.1, XP_006098175.1, XP_006098178.1, XP_006098179.1, XP_014319259.1, XP_006098180.1	XP_023401131.1, XP_023401102.1, XP_023398452.1, XP_023401103.1, XP_023398430.1, XP_003407701.1, XP_003407380.1
OG0000017	XP_006081579.1	XP_003422523.1
OG0000018	XP_014301359.1	XP_010595256.1
OG0000018	XP_006095231.1	XP_023403167.1, XP_023403166.1
OG0000018	XP_014303293.1, XP_014303295.1, XP_006105758.1	XP_023411474.1, XP_023411484.1, XP_023411483.1
OG0000018	XP_006107726.1	XP_023396021.1
OG0000019	XP_006087592.3	XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1
OG0000019	XP_006087532.1	XP_003418816.1, XP_003423153.1
OG0000019	XP_006087533.1	XP_003423152.2
OG0000019	XP_014310270.1	XP_003423150.2
OG0000020	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1, XP_014322076.2	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1
OG0000020	XP_023605092.1	XP_023399870.1
OG0000022	XP_006086666.1	XP_023405713.1
OG0000022	XP_006086504.1	XP_023405791.1
OG0000022	XP_014306348.1, XP_006086506.1	XP_023405679.1
OG0000022	XP_023607764.1	XP_023405693.1
OG0000022	XP_006086502.1	XP_023405753.1
OG0000022	XP_006086509.1	XP_023405676.1
OG0000022	XP_006086507.3	XP_023405672.1
OG0000022	XP_006086508.2	XP_023405683.1
OG0000022	XP_023607849.1	XP_023405761.1
OG0000022	XP_023607811.1	XP_023408412.1
OG0000023	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1, XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3	XP_023399116.1
OG0000023	XP_014304275.2	XP_023399088.1, XP_023399852.1, XP_023399107.1
OG0000023	XP_023604086.1, XP_014306641.2, XP_023603076.1	XP_010585287.2, XP_023399851.1, XP_023399850.1, XP_023399132.1
OG0000026	XP_006087848.1, XP_006087846.2	XP_003421750.1
OG0000026	XP_023612671.1	XP_010593038.2
OG0000027	XP_006082612.1	XP_023397082.1
OG0000027	XP_006109687.1, XP_006085845.1	XP_010594690.1
OG0000027	XP_006099588.1	XP_010600174.1, XP_023403761.1, XP_010597188.1
OG0000027	XP_006085609.1	XP_010589075.1
OG0000027	XP_023609366.1	XP_023404513.1
OG0000027	XP_014320502.1	XP_010597190.2
OG0000027	XP_006099372.1, XP_006091577.1	XP_010594676.1
OG0000027	XP_006091578.1	XP_010594685.1
OG0000028	XP_014313930.1, XP_006092090.1	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2
OG0000028	XP_014313931.1, XP_014313929.1	XP_003421462.1
OG0000029	XP_014316275.1	XP_003410244.2, XP_010588697.2
OG0000031	XP_006100279.1	XP_023396098.1, XP_023397619.1
OG0000032	XP_023607829.1	XP_003404850.1
OG0000032	XP_023607820.1	XP_023405530.1
OG0000032	XP_023607826.1	XP_023405548.1
OG0000033	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1, XP_023603586.1	XP_023412690.1, XP_023412695.1, XP_023412688.1
OG0000033	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1	XP_023412685.1
OG0000035	XP_023608661.1	XP_003418690.1
OG0000035	XP_006096684.1	XP_003409293.1
OG0000035	XP_006093229.1	XP_010594571.1
OG0000035	XP_006107764.1	XP_010595197.1, XP_003417431.1
OG0000035	XP_023604685.1	XP_003408097.1
OG0000035	XP_006096839.1	XP_003413731.1
OG0000036	XP_006090070.1, XP_023604639.1	XP_023402679.1
OG0000036	XP_006090066.1	XP_003409268.2, XP_003409269.2
OG0000038	XP_006108449.1	XP_023398170.1, XP_023397817.1, XP_003423248.1, XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1, XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1, XP_003423249.1, XP_003422722.1, XP_003422728.1, XP_023398043.1, XP_023398164.1, XP_003423034.1, XP_003422726.1, XP_003423206.1, XP_003422914.1, XP_003422729.1, XP_003422725.1, XP_003422723.1, XP_023398090.1, XP_023398094.1, XP_023397812.1, XP_010600606.1, XP_010600410.2, XP_010600607.2, XP_003422733.1, XP_003423130.1, XP_023397908.1, XP_003422720.1, XP_023397909.1, XP_010600639.2, XP_023398171.1, XP_023398516.1, XP_003423127.1, XP_023398312.1
OG0000039	XP_023607159.1	XP_023413412.1, XP_003417878.3
OG0000039	XP_006109563.1	XP_010600937.1
OG0000039	XP_023600742.1	XP_003420000.1
OG0000040	XP_014313682.1, XP_006091633.1	XP_023411544.1, XP_003405445.2, XP_003405458.1, XP_003405456.1, XP_003405459.1, XP_023395897.1, XP_003405469.1, XP_003405468.1, XP_003405467.1, XP_003405465.1, XP_003405455.1, XP_003405457.1, XP_003405453.1, XP_003405452.1, XP_010598851.2, XP_003405454.1, XP_003405448.1, XP_010598815.2, XP_010598802.2, XP_003405449.1, XP_003405451.1, XP_003405450.1, XP_010598837.1, XP_023395861.1, XP_003405444.1, XP_010598751.1, XP_003405466.1, XP_003405462.1, XP_003405460.1, XP_023395853.1, XP_010594517.1, XP_003405461.1, XP_023395770.1
OG0000041	XP_006091988.2	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1
OG0000041	XP_014313940.2, XP_006092121.1	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1
OG0000042	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1	XP_010590492.2
OG0000043	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1
OG0000044	XP_014303412.1	XP_003416454.1
OG0000044	XP_006105773.1	XP_023411493.1, XP_023411495.1
OG0000044	XP_014303302.1	XP_023397189.1, XP_023411492.1
OG0000045	XP_023619132.1	XP_023412232.1
OG0000045	XP_023619120.1	XP_003416837.1
OG0000045	XP_006099789.1, XP_023619123.1	XP_010594913.2
OG0000045	XP_023619122.1, XP_006099792.1	XP_003416978.1, XP_003416977.1
OG0000045	XP_023619124.1	XP_010594915.1
OG0000046	XP_023619063.1	XP_023408052.1
OG0000048	XP_006102709.1, XP_014323472.2, XP_023604189.1	XP_023398867.1, XP_023398863.1, XP_023399788.1
OG0000048	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1	XP_010584712.1
OG0000049	XP_006091104.2	XP_010587012.1
OG0000049	XP_006091103.2	XP_023402084.1
OG0000049	XP_006082070.1, XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1	XP_010593953.1
OG0000050	XP_014303234.1	XP_023400731.1
OG0000051	XP_014309680.1	XP_010592337.1
OG0000051	XP_023614891.1	XP_010595976.1
OG0000051	XP_014309679.1	XP_023408848.1
OG0000051	XP_023614431.1	XP_010593035.1
OG0000051	XP_023615229.1, XP_006108950.2	XP_010595977.1
OG0000051	XP_006082308.1	XP_010593034.1
OG0000052	XP_014306145.2, XP_014314626.1	XP_023415736.1
OG0000052	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1
OG0000054	XP_006108306.2, XP_023604128.1, XP_014305777.1	NP_001267816.1
OG0000054	XP_006096947.1	XP_003415004.1
OG0000055	XP_006089756.1	XP_003412088.1, XP_003412237.1, XP_023406386.1
OG0000055	XP_006089754.1	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1
OG0000056	XP_006091994.1	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1
OG0000057	XP_023618012.1	XP_023413548.1
OG0000057	XP_023617871.1	XP_023413479.1, XP_023413547.1
OG0000058	XP_006107133.1	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1
OG0000060	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1	XP_010599816.1, XP_010599817.1
OG0000062	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1
OG0000063	XP_023611602.1	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1
OG0000064	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1
OG0000065	XP_014303917.1, XP_006083485.1	XP_010588064.1, XP_003410116.1
OG0000066	XP_006098324.1, XP_006098323.1	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1
OG0000068	XP_006092084.1, XP_006092085.1, XP_006092083.1	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1
OG0000069	XP_006095089.1	XP_003412414.1
OG0000069	XP_023608740.1	XP_010599078.1
OG0000069	XP_006087768.1, XP_006087769.1	XP_010599088.1
OG0000069	XP_023608761.1	XP_010599087.1
OG0000069	XP_006097691.1	XP_010587034.1
OG0000069	XP_006100567.3	XP_023402289.1
OG0000070	XP_023608440.1	XP_010589597.1
OG0000071	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1	XP_003423116.1, XP_010600554.1, XP_003423115.1, XP_010600557.1
OG0000072	XP_014312406.1	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1
OG0000073	XP_006092130.1	XP_023397904.1, XP_010600495.2, XP_003423015.2, XP_003423011.2, XP_010600489.1, XP_003423326.1, XP_010600516.1, XP_003423006.1, XP_010600996.1, XP_003423007.1, XP_010600709.1, XP_010600517.1, XP_003423013.3, XP_003423008.1, XP_003423432.1, XP_023398259.1, XP_010601011.1, XP_023397903.1, XP_023397613.1, XP_003423010.2, XP_023411822.1, XP_003423012.2, XP_003423017.2, XP_010601075.2, XP_003423435.1, XP_003423016.2, XP_003416748.1, XP_023397888.1, XP_003422684.1, XP_003423063.2, XP_010600788.2, XP_010600252.1, XP_010601051.2, XP_023397896.1, XP_010600708.1, XP_003423396.2, XP_023398260.1, XP_003422681.2, XP_003423062.2, XP_003422770.1, XP_003422369.1, XP_010600258.1, XP_003422393.2, XP_023398367.1, XP_003423677.3, XP_003422687.1, XP_003423764.1
OG0000074	XP_023614501.1	XP_003420108.1
OG0000075	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1	XP_023394872.1, XP_010598359.2
OG0000075	XP_006087859.1, XP_006087851.1, XP_006087855.1, XP_014310450.2	XP_003421271.1
OG0000075	XP_006106919.1, XP_006106918.1	XP_003420215.1
OG0000076	XP_014306349.1	XP_023405724.1
OG0000076	XP_014309283.1	XP_010589665.2, XP_023405722.1
OG0000076	XP_006086511.1	XP_023405706.1
OG0000076	XP_023607809.1	XP_023405697.1
OG0000076	XP_023607801.1	XP_023405769.1
OG0000076	XP_023607810.1	XP_023405781.1
OG0000076	XP_014309276.2	XP_023405771.1
OG0000077	XP_006083143.1	XP_023398818.1
OG0000077	XP_006095857.1	XP_010595592.1, XP_023412867.1
OG0000078	XP_006093589.1	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1
OG0000079	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1
OG0000080	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1	XP_003422818.1
OG0000080	XP_023604822.1, XP_006108589.1, XP_023604821.1	XP_023397707.1, XP_003422816.1, XP_023397706.1
OG0000081	XP_006103859.1	XP_010591698.1, XP_023397292.1, XP_023398458.1
OG0000082	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1	XP_023414920.1, XP_023414942.1, XP_003419087.1
OG0000083	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1	XP_023399155.1
OG0000083	XP_023603096.1	XP_010584862.2
OG0000083	XP_006106565.1	XP_010584861.2
OG0000083	XP_023603095.1, XP_006109373.3	XP_010584866.1
OG0000083	XP_023605187.1	XP_023399165.1
OG0000084	XP_014316904.1, XP_014316906.1, XP_014316905.1	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1
OG0000085	XP_006102503.2	XP_003413458.2, XP_003422953.2
OG0000085	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1	XP_003413452.2, XP_003413157.1, XP_023407704.1, XP_003413158.2, XP_023407703.1, XP_003423725.2, XP_023398363.1, XP_023398230.1, XP_023398493.1, XP_023398327.1, XP_003423521.1, XP_023408239.1, XP_003413454.2, XP_003413455.1, XP_023407700.1
OG0000086	XP_006103379.1	XP_003418974.1
OG0000086	XP_014320496.1	XP_003419385.1
OG0000086	XP_006092276.1	XP_023409299.1, XP_023409300.1, XP_023409301.1, XP_023409298.1
OG0000087	XP_006107099.2	XP_023403955.1, XP_010588626.1, XP_023403956.1, XP_023403982.1, XP_010588735.1, XP_010588627.2, XP_023403957.1, XP_023403954.1
OG0000088	XP_023620812.1	XP_023414947.1
OG0000090	XP_023602041.1	XP_010594360.1, XP_010594361.1
OG0000092	XP_006092142.1	XP_023398349.1, XP_003423183.2, XP_003422775.1, XP_003423672.1
OG0000093	XP_023603971.1, XP_014304922.1	XP_010594545.1
OG0000095	XP_006106789.1	XP_003416349.1, XP_003416348.1, XP_003416347.1
OG0000095	XP_006106790.1	XP_003416350.1
OG0000096	XP_006087239.1	XP_003406307.2
OG0000096	XP_006085768.1, XP_023607165.1, XP_023607164.1	XP_003417893.1
OG0000099	XP_023610089.1	XP_010589883.1
OG0000100	XP_023604015.1	XP_010591477.1
OG0000100	XP_006081076.1	XP_003422537.1
OG0000101	XP_006102598.1	XP_010591456.1
OG0000101	XP_006084736.1	XP_010599683.1
OG0000102	XP_006103626.2, XP_006103624.1	XP_003414225.1, XP_003414221.2, XP_023410885.1, XP_003415961.1, XP_003415958.1
OG0000104	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1	XP_010589616.1, XP_010589617.2, XP_023405166.1, XP_003411151.1, XP_003411149.1
OG0000104	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1	XP_023414212.1
OG0000105	XP_014314667.1	XP_010593685.2
OG0000106	XP_006106865.1	XP_023414383.1
OG0000106	XP_014310895.1	XP_023411596.1
OG0000107	XP_006092103.1	XP_003421414.1, XP_003421421.1, XP_003421422.1
OG0000107	XP_023612356.1	XP_010599187.1, XP_010599189.1, XP_010599188.1, XP_010599214.1, XP_010599185.1, XP_010599190.1, XP_010599195.1, XP_010599191.1, XP_010599192.1, XP_010599193.1, XP_010599194.1
OG0000108	XP_006083067.1	XP_023396044.1
OG0000109	XP_006088167.2	XP_003407595.1
OG0000109	XP_006102782.1	XP_003407918.2
OG0000109	XP_006102760.1	XP_003407916.1
OG0000109	XP_006102783.1	XP_003407920.1
OG0000109	XP_006102784.1	XP_003407921.1
OG0000110	XP_006105151.1	XP_023411919.1
OG0000110	XP_006108001.1	XP_023411883.1
OG0000110	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1	XP_023412142.1, XP_023412134.1
OG0000111	XP_023603133.1	XP_010598278.1, XP_023395165.1, XP_003420482.1, XP_003420485.1, XP_003420483.1, XP_003420484.1, XP_010598279.1
OG0000113	XP_023614621.1, XP_023614629.1	XP_003422081.1, XP_003414877.1, XP_003414879.1
OG0000114	XP_023615102.1	XP_003406147.1
OG0000115	XP_006091570.1	XP_010594619.1
OG0000115	XP_014321084.1	XP_003421242.1
OG0000116	XP_006086570.1	XP_003404581.1
OG0000118	XP_014311373.1, XP_023609603.1, XP_023609604.1	XP_003407108.1
OG0000119	XP_014322039.1	XP_010587572.1, XP_003408964.1, XP_010587571.1
OG0000120	XP_023617223.1	XP_023411608.1
OG0000121	XP_023616611.1, XP_023616613.1, XP_023616612.1	XP_023406825.1, XP_023406828.1, XP_010590715.1, XP_023406823.1, XP_023406822.1, XP_010590713.1, XP_023406826.1, XP_023406824.1, XP_010590712.1, XP_010590714.1, XP_023406827.1
OG0000122	XP_023618125.1	XP_023395590.1
OG0000122	XP_023605732.1	XP_010588032.1, XP_010596574.1
