Orthogroup	Myotis_lucifugus	Sarcophilus_harrisii
OG0000022	XP_006086666.1, XP_006086504.1, XP_014306348.1, XP_006086506.1, XP_023607764.1, XP_006086502.1, XP_006086509.1, XP_006086507.3, XP_006086508.2, XP_023607849.1, XP_023607811.1, XP_023607808.1	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1
OG0000026	XP_006087848.1, XP_006087846.2, XP_023612671.1	XP_012397681.1, XP_012397680.1, XP_012397682.1
OG0000027	XP_006082612.1	XP_003765946.1
OG0000027	XP_006109687.1, XP_006085845.1	XP_023360032.2, XP_031820681.1
OG0000027	XP_006085609.1	XP_023360426.1
OG0000027	XP_014320502.1	XP_031804908.1
OG0000027	XP_006082613.1	XP_012401810.1
OG0000027	XP_006091577.1	XP_031793822.1, XP_012407220.2
OG0000028	XP_014313930.1, XP_006092090.1, XP_014313931.1, XP_014313929.1	XP_003774032.2
OG0000029	XP_014316275.1	XP_003766414.1
OG0000031	XP_006100279.1	XP_003770492.1
OG0000032	XP_023607854.1, XP_023607829.1	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1
OG0000032	XP_023607823.1, XP_023607821.1, XP_023607820.1, XP_023607822.1, XP_023607826.1	XP_031809273.1
OG0000033	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1	XP_012403541.1
OG0000033	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1	XP_023358276.2
OG0000035	XP_023608661.1	XP_003756019.1
OG0000035	XP_006096684.1	XP_031812849.1, XP_031812848.1, XP_031812850.1
OG0000035	XP_006093229.1	XP_003761602.1
OG0000035	XP_006107764.1	XP_031821487.1, XP_012399891.2
OG0000035	XP_023604685.1	XP_003759426.1
OG0000035	XP_006096839.1	XP_031805495.1
OG0000036	XP_006090070.1, XP_023604639.1, XP_006090066.1	XP_003755303.1, XP_003755291.1
OG0000039	XP_014308601.2	XP_031802795.1
OG0000039	XP_006101176.1	XP_031803594.1
OG0000039	XP_023602750.1	XP_031805964.1
OG0000039	XP_023600742.1	XP_031807551.1
OG0000041	XP_006091988.2, XP_014313940.2, XP_006092121.1	XP_023362197.2, XP_031799550.1
OG0000042	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1	XP_031798147.1
OG0000044	XP_014303412.1	XP_023353357.1
OG0000044	XP_006105773.1	XP_012405112.1
OG0000044	XP_014303302.1	XP_031801760.1
OG0000045	XP_023619132.1	XP_003759383.1
OG0000045	XP_023619120.1	XP_031821400.1
OG0000045	XP_006099789.1, XP_023619123.1	XP_003759381.1
OG0000045	XP_023619122.1, XP_006099792.1	XP_031821396.1
OG0000045	XP_023619124.1	XP_031821399.1
OG0000046	XP_023619063.1, XP_014320622.2, XP_023619075.1	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1
OG0000048	XP_006102709.1, XP_014323472.2, XP_023604189.1, XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1	XP_012402396.1
OG0000049	XP_006091104.2, XP_006091103.2, XP_006082070.1, XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1	XP_003756342.1, XP_031808465.1
OG0000050	XP_006105691.1, XP_006105690.1, XP_014303234.1	XP_023363165.1
OG0000051	XP_014309680.1	XP_003765783.1
OG0000051	XP_023614891.1	XP_031813804.1
OG0000051	XP_014309679.1	XP_023356253.1, XP_003765782.2
OG0000051	XP_023614431.1, XP_023615229.1, XP_006108950.2	XP_031813802.1, XP_031813803.1
OG0000051	XP_006082308.1	XP_031800822.1
OG0000052	XP_014306145.2, XP_014314626.1, XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1	XP_023360233.1, XP_031794166.1
OG0000054	XP_006108306.2, XP_023604128.1, XP_014305777.1, XP_023616138.1, XP_006082480.1, XP_014305330.1, XP_006082803.1, XP_014305329.1, XP_023618961.1, XP_006107885.2, XP_023618946.1, XP_014319930.1, XP_006108223.2, XP_023605172.1, XP_014319918.2, XP_006108224.2, XP_006096945.2, XP_006096947.1	XP_012403485.2
OG0000055	XP_006089756.1, XP_006089754.1	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1
OG0000056	XP_006091994.1	XP_003773826.1, XP_003773836.1, XP_003773828.1
OG0000057	XP_023618012.1, XP_023617871.1	XP_031825154.1
OG0000058	XP_006107133.1	XP_031815049.1, XP_031815044.1, XP_031815058.1
OG0000060	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1
OG0000061	XP_023608990.1, XP_014310721.2, XP_014310723.1	XP_012409487.1
OG0000062	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1
OG0000063	XP_023611602.1	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1
OG0000064	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1
OG0000065	XP_014303917.1, XP_006083485.1	XP_003762637.1
OG0000066	XP_006098324.1, XP_006098323.1, XP_014309652.1	XP_012402739.1, XP_003766943.1
OG0000068	XP_006092084.1, XP_006092085.1, XP_006092083.1	XP_031797906.1
OG0000069	XP_006095089.1, XP_023608740.1, XP_006087768.1, XP_006087769.1, XP_023608761.1, XP_006097691.1, XP_006100567.3	XP_012396962.1
OG0000070	XP_023618754.1	XP_031799314.1
OG0000070	XP_023608440.1	XP_031825010.1
OG0000071	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1
OG0000072	XP_014312406.1	XP_031812030.1, XP_023363032.1
OG0000073	XP_006092130.1	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2
OG0000074	XP_006094556.1, XP_023614505.1, XP_014316200.1, XP_023614501.1	XP_031817868.1, XP_031817870.1, XP_031817869.1
OG0000076	XP_014306349.1, XP_014309283.1, XP_023607802.1, XP_006086511.1, XP_023607809.1, XP_023607801.1, XP_023607810.1, XP_014309276.2	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2
OG0000077	XP_006083143.1	XP_031816276.1
OG0000077	XP_006095857.1	XP_003772367.1
OG0000078	XP_006093589.1	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1
OG0000079	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1
OG0000080	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1, XP_023604822.1, XP_006108589.1, XP_023604821.1	XP_012408351.1, XP_012408350.1
OG0000082	XP_023619312.1, XP_023619309.1, XP_023619315.1, XP_023619311.1, XP_023604841.1, XP_023619313.1, XP_023619317.1, XP_023604842.1, XP_023619314.1, XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1, XP_023619344.1	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1
OG0000083	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1, XP_023603096.1, XP_006106565.1, XP_023603095.1, XP_006109373.3, XP_023603084.1, XP_023605187.1	XP_031804876.1
OG0000084	XP_014316904.1, XP_014316906.1, XP_014316905.1	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1
OG0000085	XP_006102503.2, XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1	XP_003763133.1, XP_003761019.2
OG0000086	XP_023612450.1	XP_003773922.1
OG0000086	XP_006103379.1	XP_003762123.1
OG0000086	XP_014320496.1	XP_031804914.1
OG0000088	XP_023620812.1	XP_023354622.1
OG0000090	XP_023602041.1	XP_031805765.1
OG0000092	XP_023612296.1, XP_006092142.1	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1
OG0000093	XP_023603971.1, XP_014304922.1	XP_031797313.1
OG0000095	XP_023603269.1	XP_003757317.1
OG0000096	XP_006087239.1, XP_006085768.1, XP_023607165.1, XP_023607164.1	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1
OG0000099	XP_023610089.1	XP_031805182.1, XP_031810473.1
OG0000100	XP_006107563.1, XP_023604015.1	XP_031818873.1
OG0000100	XP_006081076.1	XP_031821197.1, XP_031821198.1, XP_003768867.1
OG0000101	XP_006102598.1, XP_006084736.1	XP_031809394.1
OG0000102	XP_006103626.2, XP_006103624.1, XP_006108378.2	XP_031799036.1, XP_031799035.1
OG0000103	XP_006088492.1, XP_014311036.1, XP_023609353.1, XP_014311038.1	XP_003772476.1
OG0000104	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1, XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1
OG0000105	XP_014314667.1	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1
OG0000106	XP_006106865.1	XP_012395236.2
OG0000106	XP_006103520.1	XP_031796163.1
OG0000106	XP_006099091.1	XP_003761065.1
OG0000107	XP_006092103.1, XP_023612356.1	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1
OG0000108	XP_006083067.1	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1
OG0000109	XP_006088167.2	XP_003763327.3
OG0000109	XP_006102782.1, XP_006102760.1, XP_006102783.1, XP_006102784.1	XP_003763301.1
OG0000110	XP_006105151.1, XP_006108001.1, XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1	XP_023358533.1
OG0000114	XP_023615099.1, XP_023615102.1	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1
OG0000115	XP_006091570.1	XP_031793850.1, XP_031793851.1, XP_031793853.1
OG0000115	XP_014321084.1	XP_031816213.1, XP_031816210.1, XP_031816220.1
OG0000116	XP_006086570.1	XP_031809233.1
OG0000116	XP_014319941.1	XP_031812821.1
OG0000118	XP_014311373.1, XP_023609603.1, XP_023609604.1	XP_031796389.1
OG0000120	XP_023617223.1	XP_012398224.1
OG0000121	XP_023616611.1, XP_023616613.1, XP_023616612.1	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1
OG0000122	XP_023618125.1	XP_031819649.1
OG0000122	XP_023605732.1	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1
OG0000123	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1	XP_003758421.3, XP_031805104.1, XP_003758419.2
OG0000124	XP_023612765.1	XP_003765650.2
OG0000125	XP_006095004.1	XP_012403745.2
OG0000125	XP_006095007.1	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2
OG0000127	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1
OG0000128	XP_023602430.1, XP_023602433.1	XP_031818477.1
OG0000130	XP_006094606.1, XP_023614529.1, XP_006094605.1, XP_006094688.1	XP_003764886.1, XP_012402225.2
OG0000130	XP_006094607.1	XP_003766416.1, XP_012400883.1
OG0000131	XP_006089739.1, XP_006108842.1	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1
OG0000132	XP_006084467.1	XP_003769562.3
OG0000133	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1
OG0000134	XP_006084217.2	XP_012406199.1
OG0000135	XP_023607667.1	XP_031802264.1
OG0000136	XP_023606748.1	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1
OG0000137	XP_006094818.1, XP_006094802.1, XP_006094801.1	XP_003772721.1, XP_031795158.1, XP_003771745.1
OG0000138	XP_006094594.1	XP_003764817.2
OG0000138	XP_006094593.1	XP_003764805.1
OG0000138	XP_006094595.1, XP_006094665.1	XP_012400865.1, XP_003764819.1, XP_003764815.1
OG0000139	XP_006109446.1	XP_023352686.1
OG0000140	XP_023620778.1	XP_031809161.1
OG0000142	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1
OG0000143	XP_023603862.1	XP_031810460.1, XP_031810461.1
OG0000145	XP_006096700.1	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1
OG0000146	XP_006105955.1, XP_023602559.1	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1
OG0000147	XP_023617290.1, XP_023603880.1, XP_023603879.1	XP_031805537.1, XP_031805539.1, XP_031805536.1, XP_012396338.3, XP_031805534.1, XP_031805059.1, XP_012396336.1
OG0000148	XP_014310265.1, XP_023608613.1	XP_012399621.1, XP_003755833.1
OG0000149	XP_023600635.1	XP_031817538.1
OG0000149	XP_023616468.1, XP_014306422.2	XP_003767906.1
OG0000149	XP_023617009.1	XP_031823223.1
OG0000149	XP_006096963.1	XP_031822713.1, XP_031822717.1, XP_031822714.1
OG0000151	XP_006101983.2	XP_012405227.2
OG0000151	XP_023599168.1, XP_023599167.1, XP_023605154.1, XP_023599174.1	XP_031823447.1, XP_031823446.1, XP_003770041.1
OG0000153	XP_006101380.1, XP_006101379.1	XP_012406423.1, XP_023360058.1, XP_012405907.1, XP_003770946.1
OG0000157	XP_006089394.1	XP_031820484.1, XP_003769255.1
OG0000158	XP_014315308.1	XP_023353662.1
OG0000159	XP_014316276.1, XP_014306719.1, XP_014316274.1	XP_003766412.1, XP_003766858.1
OG0000160	XP_006083152.1, XP_014314477.1, XP_006096272.1, XP_006102266.1	XP_023358024.1
OG0000161	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1	XP_003759113.1
OG0000163	XP_014322276.1	XP_012402413.1, XP_012402416.1
OG0000163	XP_023620683.1	XP_003766617.1
OG0000164	XP_006086410.1	XP_003759749.1
OG0000165	XP_014309436.1, XP_023607965.1	XP_031795620.1, XP_031795619.1, XP_031795621.1, XP_031795617.1
OG0000166	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1	XP_012396468.1, XP_023351503.1, XP_031824634.1, XP_031824649.1, XP_023351504.1
OG0000167	XP_006103113.1, XP_023600145.1	XP_031798267.1, XP_031798272.1, XP_031798263.1, XP_031798266.1
OG0000168	XP_006109407.1	XP_012403993.1
OG0000168	XP_014306650.1	XP_003768586.1
OG0000170	XP_014312153.1, XP_023610275.1, XP_006089639.1	XP_003773616.1
OG0000171	XP_006100015.1	XP_003769499.1
OG0000172	XP_023606738.1	XP_031802261.1
OG0000172	XP_023613986.1	XP_031793454.1
OG0000174	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1	XP_012405557.1
OG0000175	XP_023619605.1	XP_003773749.1
OG0000176	XP_023612325.1, XP_023612302.1, XP_023612290.1, XP_006091903.1, XP_014313981.1, XP_023612322.1, XP_023612323.1, XP_023612324.1, XP_006091904.1	XP_023362209.1, XP_031797709.1, XP_031797711.1, XP_023362208.1
OG0000177	XP_023605077.1	XP_031811873.1, XP_031811875.1, XP_031811871.1, XP_031811870.1, XP_031811872.1, XP_031811876.1, XP_031811868.1, XP_031811869.1, XP_031811867.1
OG0000178	XP_023606331.1, XP_014307712.1, XP_014307710.1	XP_031813300.1, XP_031813299.1, XP_031813294.1, XP_031813298.1, XP_031813297.1, XP_031813296.1, XP_031813295.1
OG0000179	XP_006102694.1	XP_031817500.1
OG0000179	XP_014323474.1	XP_023355787.2, XP_012401166.1
OG0000180	XP_014322759.1	XP_012397749.1
OG0000182	XP_023616097.1, XP_006096564.1, XP_023616096.1, XP_006096563.1, XP_014304507.1, XP_023607362.1	XP_031792735.1
OG0000183	XP_006092049.1	XP_031798882.1
OG0000184	XP_023605358.1	XP_031813724.1, XP_031800734.1
OG0000188	XP_006094601.1, XP_006094602.1	XP_003764834.1
OG0000188	XP_006094603.1	XP_003766999.1
OG0000189	XP_006096666.1, XP_006082100.1, XP_023614344.1, XP_006093591.1, XP_014306277.1, XP_006084082.1, XP_006105623.1	XP_003774897.1, XP_031797813.1
OG0000191	XP_006084436.1, XP_023605915.1, XP_023605911.1, XP_014307298.1, XP_023605912.1, XP_023605913.1, XP_014307296.1, XP_023605914.1	XP_003769420.1, XP_023358945.1
OG0000192	XP_014307155.1, XP_006084392.1	XP_031794046.1
OG0000195	XP_014303636.1	XP_031820905.1, XP_031820904.1
OG0000196	XP_006092113.1	XP_003773915.1
OG0000197	XP_023606210.1, XP_006085012.1	XP_012406752.1
OG0000199	XP_006081640.1	XP_031817627.1
OG0000200	XP_006108946.1, XP_006093214.1, XP_006093986.1, XP_023614014.1, XP_023614007.1, XP_023614008.1	XP_003767289.1, XP_023357403.1
OG0000201	XP_023600980.1, XP_014317184.1, XP_014306768.2, XP_023604974.1, XP_023604079.1, XP_023599176.1	XP_031821831.1, XP_031821832.1
OG0000203	XP_023608201.1	XP_031815893.1
OG0000204	XP_023614516.1, XP_006081220.1	XP_003764754.2
OG0000205	XP_023604415.1, XP_023604423.1, XP_014304630.1, XP_014304620.1, XP_006083603.1, XP_023604417.1, XP_014304613.1, XP_006083601.1, XP_014304616.1	XP_031817807.1, XP_003764619.2
OG0000206	XP_023608679.1	XP_031796238.1
OG0000207	XP_006082497.1, XP_023616343.1, XP_023616339.1, XP_014317501.1	XP_023356432.1
OG0000209	XP_014304126.1, XP_006108464.1, XP_006109090.3, XP_014305908.1	XP_031817713.1, XP_003766638.1, XP_031820011.1, XP_031817715.1
OG0000210	XP_006093876.1, XP_023613944.1, XP_006093877.1, XP_006109512.1, XP_006093878.1	XP_031797477.1, XP_003773620.1
OG0000211	XP_023609990.1	XP_031802452.1
OG0000211	XP_023610226.1	XP_003757016.1, XP_031809824.1
OG0000213	XP_014304133.1	XP_031807358.1
OG0000214	XP_023619763.1	XP_031804062.1
OG0000214	XP_006081311.1	XP_031822954.1
OG0000215	XP_006108509.1, XP_006086815.1	XP_031802910.1
OG0000215	XP_014305463.1	XP_031821510.1
OG0000216	XP_006101920.1	XP_023352194.1
OG0000216	XP_006101919.1	XP_023352195.1
OG0000219	XP_023609613.1, XP_006100117.1, XP_006088847.1, XP_006103342.1, XP_006084673.1, XP_014318289.1	XP_031796426.1
OG0000220	XP_006091888.1, XP_014313954.1	XP_003774257.2, XP_003774496.2, XP_003774038.2
OG0000224	XP_014318297.1, XP_023616483.1, XP_006096986.1, XP_023616485.1, XP_023616484.1, XP_006096983.1, XP_014318296.1, XP_014318294.1, XP_006096984.1, XP_006096982.1, XP_014318298.1, XP_014318299.1	XP_031793038.1
OG0000225	XP_006088681.1, XP_006088680.1, XP_014301983.1, XP_023601213.1, XP_014301979.1	XP_031814870.1
OG0000227	XP_006091479.1, XP_023612020.1, XP_006091480.1	XP_031807424.1, XP_023350330.1, XP_003757771.1, XP_012395227.1
OG0000228	XP_006082737.1, XP_023618420.1, XP_023618427.1	XP_031824141.1
