Orthogroup	Myotis_lucifugus	Canis_lupus_familiaris
OG0000014	XP_014301260.1, XP_006103437.2	XP_038383509.1, XP_038383508.1
OG0000014	XP_014304370.2, XP_014301236.2, XP_023604424.1, XP_023614548.1, XP_023614547.1, XP_023614546.1, XP_023614545.1, XP_023605498.1, XP_023603453.1, XP_014304376.1, XP_023603456.1, XP_023603459.1, XP_023603458.1	XP_038383390.1, XP_038383389.1, XP_038383388.1, XP_038381447.1, XP_038383385.1, XP_038383387.1, XP_038383391.1
OG0000015	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1	XP_038421309.1
OG0000015	XP_006102523.2, XP_023599575.1, XP_023599574.1, XP_023599573.1, XP_023604894.1, XP_023599584.1, XP_014323261.1, XP_014323262.2	NP_001375602.1
OG0000017	XP_006081579.1	NP_001375733.1
OG0000018	XP_014301359.1	XP_038402506.1
OG0000018	XP_006095231.1	XP_038417997.1
OG0000018	XP_014303293.1, XP_014303295.1, XP_006105758.1	XP_038440338.1
OG0000018	XP_006107726.1	XP_038440272.1
OG0000019	XP_006087532.1	XP_038435794.1
OG0000019	XP_014310270.1	XP_038445405.1
OG0000020	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1, XP_014322076.2, XP_023602215.1, XP_023602876.1, XP_023602217.1, XP_023605092.1, XP_023604823.1, XP_023602216.1, XP_023603178.1, XP_023603171.1, XP_023603172.1, XP_014304057.1, XP_014304063.1, XP_023602220.1, XP_023603961.1, XP_023605176.1, XP_023603177.1, XP_006105460.1, XP_023603174.1, XP_023603173.1, XP_023602214.1, XP_006105458.1, XP_014303048.1, XP_023603175.1, XP_014304058.1, XP_023603176.1, XP_023603702.1, XP_023602219.1, XP_023602218.1, XP_023602865.1, XP_023603757.1, XP_023603759.1, XP_023602863.1, XP_023602871.1, XP_023602861.1, XP_023603701.1, XP_023605003.1	XP_038383733.1, XP_038381457.1
OG0000022	XP_006086504.1	XP_038386332.1
OG0000022	XP_023607764.1	XP_038386364.1
OG0000022	XP_006086502.1	XP_038386347.1
OG0000022	XP_006086507.3	XP_038386329.1
OG0000022	XP_006086508.2	XP_038386339.1
OG0000022	XP_023607849.1	XP_038386342.1
OG0000022	XP_023607811.1	XP_038386333.1
OG0000022	XP_023607808.1	XP_038386334.1
OG0000023	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2	XP_038383955.1
OG0000023	XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3	XP_038383893.1
OG0000023	XP_023604086.1, XP_014306641.2, XP_023603076.1	XP_038383930.1, XP_038383932.1
OG0000026	XP_006087848.1, XP_006087846.2	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1
OG0000026	XP_023612671.1	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	XP_006082612.1	XP_038441743.1
OG0000027	XP_006109687.1, XP_006085845.1	XP_038433464.1
OG0000027	XP_006085609.1	XP_038432130.1
OG0000027	XP_023609366.1	XP_038385540.1
OG0000027	XP_014320502.1	XP_038431894.1, XP_038431882.1
OG0000027	XP_006082613.1	XP_038441741.1
OG0000027	XP_006091577.1	NP_001301019.1
OG0000027	XP_006091578.1	XP_038433463.1
OG0000028	XP_014313930.1, XP_006092090.1	NP_001375514.1
OG0000028	XP_014313931.1	NP_001376110.1
OG0000028	XP_014313929.1	NP_001376097.1
OG0000029	XP_014316275.1	NP_001375923.1
OG0000031	XP_006100279.1	XP_038399997.1
OG0000032	XP_023607854.1	XP_038445481.1, XP_038386301.1
OG0000032	XP_023607829.1	XP_038386304.1
OG0000033	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1	XP_038402020.1, XP_038402018.1
OG0000033	XP_023603586.1	XP_038402605.1
OG0000033	XP_006108023.2	XP_038402594.1
OG0000033	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1	XP_038402589.1
OG0000035	XP_023608661.1	XP_038435896.1
OG0000035	XP_006093229.1	NP_001182774.2
OG0000035	XP_006107764.1	NP_001003349.2
OG0000035	XP_023604685.1	XP_038386568.1
OG0000035	XP_006096839.1	XP_038417669.1
OG0000036	XP_006090066.1	NP_001183973.1
OG0000038	XP_006108449.1	XP_038418394.1, NP_001376034.1, NP_001376079.1
OG0000039	XP_014308601.2	XP_038439969.1
OG0000039	XP_006101176.1	XP_038423469.1
OG0000039	XP_023602750.1	XP_038393912.1
OG0000039	XP_023600742.1	XP_038428666.1, XP_038428667.1
OG0000040	XP_014313682.1, XP_006091633.1	NP_001375692.1, XP_038432088.1, NP_001375981.1, XP_038433852.1, XP_038433815.1, XP_038433817.1, NP_001375799.1, NP_001375690.1, NP_001375976.1, XP_038432089.1, NP_001375687.1, NP_001375693.1, XP_038433851.1, NP_001375688.1, NP_001375689.1, NP_001375691.1
OG0000041	XP_006091988.2	XP_038420405.1, XP_038420406.1, NP_001375958.1
OG0000041	XP_014313940.2, XP_006092121.1	NP_001376113.1, NP_001376111.1
OG0000042	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1	XP_038424119.1
OG0000043	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1	NP_001375875.1
OG0000044	XP_014303412.1	NP_001361520.1, NP_001361518.1
OG0000044	XP_006105773.1	NP_001361517.1, XP_038439907.1
OG0000044	XP_014303302.1	XP_038440355.1
OG0000044	XP_023614983.1	XP_038432068.1
OG0000045	XP_023619132.1	NP_001107184.1
OG0000045	XP_023619120.1	XP_038392809.1
OG0000045	XP_006099789.1, XP_023619123.1	NP_001070703.1
OG0000045	XP_023619122.1, XP_006099792.1	NP_001070263.1
OG0000045	XP_023619124.1	NP_001070262.1
OG0000046	XP_023619063.1	XP_038422927.1
OG0000046	XP_014320622.2	XP_038422922.1, XP_038422926.1
OG0000048	XP_006102709.1, XP_014323472.2, XP_023604189.1	NP_001106930.1, NP_001091015.1
OG0000048	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1	NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	XP_006091104.2	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1
OG0000049	XP_006091103.2	XP_038401904.1
OG0000049	XP_006082070.1	XP_038429560.1, XP_038429559.1, XP_038429558.1
OG0000049	XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1
OG0000051	XP_014309680.1	XP_038425970.1
OG0000051	XP_023614891.1	XP_038429926.1
OG0000051	XP_014309679.1	XP_038425967.1
OG0000051	XP_023614431.1	XP_038443974.1
OG0000051	XP_023615229.1, XP_006108950.2	NP_001026988.1
OG0000051	XP_006082308.1	NP_001002979.1
OG0000052	XP_014306145.2, XP_014314626.1	XP_038406653.1
OG0000052	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1	XP_038407502.1, XP_038406617.1
OG0000054	XP_006108306.2, XP_023604128.1, XP_014305777.1	XP_038442333.1
OG0000054	XP_023616138.1, XP_006082480.1, XP_014305330.1, XP_006082803.1, XP_014305329.1, XP_023618961.1, XP_006107885.2, XP_023618946.1, XP_014319930.1, XP_006108223.2, XP_023605172.1, XP_014319918.2, XP_006108224.2	NP_001122310.1, XP_038442330.1, NP_001122309.1
OG0000054	XP_006096947.1	NP_001124302.1
OG0000056	XP_006091994.1	XP_038418408.1
OG0000057	XP_023618012.1	XP_038430031.1
OG0000057	XP_023617871.1	XP_038430057.1
OG0000058	XP_006107133.1	NP_001029164.1
OG0000059	XP_006094765.2	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1
OG0000060	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	XP_023608990.1, XP_014310721.2, XP_014310723.1	NP_001271390.1
OG0000062	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1	XP_038440142.1
OG0000063	XP_023611602.1	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1	NP_001171205.2
OG0000065	XP_014303917.1	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1
OG0000066	XP_014309652.1	XP_038418293.1
OG0000068	XP_006092084.1, XP_006092085.1, XP_006092083.1	XP_038420397.1
OG0000069	XP_006095089.1	XP_038429693.1, XP_038429692.1
OG0000069	XP_006087768.1, XP_006087769.1	XP_038442580.1
OG0000069	XP_006097691.1	XP_038401156.1
OG0000069	XP_006100567.3	XP_038401908.1
OG0000070	XP_023618754.1	XP_038408465.1
OG0000070	XP_023608440.1	XP_038414006.1
OG0000071	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1	XP_038418375.1, XP_038418377.1
OG0000072	XP_014312406.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000073	XP_006092130.1	NP_001243375.1
OG0000074	XP_006094556.1, XP_023614505.1, XP_014316200.1	XP_038424692.1, XP_038424721.1
OG0000074	XP_023614501.1	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1
OG0000075	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1	XP_038442549.1
OG0000075	XP_006087859.1	XP_038442578.1
OG0000075	XP_006106919.1, XP_006106918.1	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1
OG0000076	XP_014306349.1	XP_038386335.1
OG0000076	XP_014309283.1	XP_038386352.1
OG0000076	XP_023607802.1	XP_038386350.1
OG0000076	XP_006086511.1	XP_038386344.1
OG0000076	XP_023607809.1	XP_038386343.1
OG0000076	XP_023607801.1	XP_038386351.1
OG0000076	XP_014309276.2	XP_038386345.1
OG0000077	XP_006083143.1	XP_038396460.1, XP_038438059.1, XP_038434167.1
OG0000077	XP_006097627.1	XP_038421758.1
OG0000077	XP_006095857.1	XP_038433776.1
OG0000078	XP_006093589.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1	XP_038419100.1
OG0000080	XP_023604822.1, XP_006108589.1, XP_023604821.1	XP_038419098.1, XP_038419099.1
OG0000081	XP_006103859.1	XP_038431683.1
OG0000082	XP_023619312.1, XP_023619309.1, XP_023619315.1, XP_023619311.1, XP_023604841.1, XP_023619313.1, XP_023619317.1, XP_023604842.1, XP_023619314.1, XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000083	XP_023603096.1	XP_038383884.1
OG0000083	XP_006106565.1	XP_038383872.1
OG0000084	XP_014316904.1, XP_014316906.1, XP_014316905.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000085	XP_006102503.2	XP_038421311.1
OG0000085	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1	NP_001375917.1, XP_038423318.1
OG0000086	XP_023612450.1	XP_038419157.1, XP_038419158.1
OG0000086	XP_006103379.1	XP_038395835.1
OG0000086	XP_014320496.1	XP_038431923.1
OG0000086	XP_006092276.1	XP_038403880.1, XP_038403879.1, XP_038403878.1, XP_038403881.1, XP_038403882.1
OG0000087	XP_006107099.2	XP_038437055.1, XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1, XP_038437053.1
OG0000088	XP_023620812.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000090	XP_023602041.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000092	XP_006092142.1	NP_001375834.1
OG0000093	XP_023603971.1, XP_014304922.1	XP_038395629.1
OG0000095	XP_023603269.1	NP_001003150.1
OG0000095	XP_006106789.1	NP_001003149.1
OG0000095	XP_006106790.1	XP_038386933.1, NP_001003173.1, XP_038399958.1
OG0000096	XP_006087239.1	XP_038381766.1
OG0000096	XP_006085768.1, XP_023607165.1, XP_023607164.1	XP_038439954.1, XP_038439955.1, XP_038439957.1
OG0000099	XP_023610089.1	XP_038427735.1
OG0000100	XP_023604015.1	NP_001003236.1
OG0000100	XP_006081076.1	XP_038395171.1
OG0000101	XP_006102598.1	XP_038441038.1
OG0000101	XP_006084736.1	XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	XP_006103626.2, XP_006103624.1	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000103	XP_006088492.1, XP_014311036.1, XP_023609353.1	NP_001012344.1
OG0000104	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1	XP_038397375.1
OG0000105	XP_014314667.1	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1
OG0000106	XP_006106865.1	XP_038415502.1
OG0000106	XP_006103520.1	XP_038395750.1
OG0000106	XP_006099091.1	NP_001003069.1
OG0000106	XP_014310895.1	XP_038394776.1
OG0000107	XP_006092103.1	NP_001375528.1, NP_001375527.1
OG0000107	XP_023612356.1	NP_001375529.1
OG0000108	XP_006083067.1	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1
OG0000109	XP_006088167.2	NP_001243373.1
OG0000109	XP_006102782.1	NP_001375457.1
OG0000109	XP_006102760.1	NP_001375847.1
OG0000109	XP_006102783.1	XP_038407563.1
OG0000109	XP_006102784.1	NP_001375456.1
OG0000110	XP_006105151.1	XP_038392542.1, XP_038392543.1
OG0000110	XP_006108001.1	XP_038392566.1
OG0000110	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1	XP_038392540.1
OG0000111	XP_023603133.1	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1
OG0000114	XP_023615099.1	NP_001106640.1, XP_038441037.1, XP_038441509.1
OG0000114	XP_023615102.1	NP_001106641.1
OG0000115	XP_014321084.1	NP_001238856.2
OG0000116	XP_006086570.1	XP_038386227.1
OG0000116	XP_014319941.1	XP_038407551.1, XP_038389893.1
OG0000118	XP_014311373.1, XP_023609603.1, XP_023609604.1	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1
OG0000119	XP_014322039.1	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1
OG0000120	XP_023617223.1	XP_038395395.1
OG0000121	XP_023616611.1, XP_023616613.1, XP_023616612.1	XP_038415793.1
OG0000122	XP_023618125.1	XP_038385259.1
OG0000122	XP_023605732.1	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1
OG0000123	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1	NP_001014309.1
OG0000124	XP_023612765.1	XP_038442663.1
OG0000125	XP_006095004.1	XP_038401950.1
OG0000125	XP_006095005.1, XP_006095008.1, XP_006095006.1	XP_038402032.1, NP_001333023.1, NP_001333024.1
OG0000125	XP_006095007.1	XP_038402033.1
OG0000127	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1
OG0000128	XP_023602430.1	XP_038440239.1
OG0000128	XP_023602433.1	XP_038440246.1, XP_038440245.1
OG0000130	XP_006094606.1	NP_001376119.1
OG0000130	XP_023614529.1	NP_001375892.1
OG0000130	XP_006094605.1	XP_038424091.1
OG0000130	XP_006094607.1	XP_038424092.1
OG0000131	XP_006089739.1, XP_006108842.1	NP_001375841.1, NP_001375840.1, NP_001375664.1, NP_001375665.1
OG0000132	XP_006084467.1	XP_038382133.1, XP_038382135.1, XP_038382134.1
OG0000133	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1	XP_038397365.1, XP_038397362.1, XP_038397364.1, XP_038397366.1, XP_038397360.1, XP_038397361.1, XP_038397363.1
OG0000134	XP_006084217.2	XP_038432511.1
OG0000135	XP_023607667.1	XP_038435217.1
OG0000136	XP_023606748.1	XP_038435284.1, XP_038435281.1, XP_038435283.1, XP_038435288.1, XP_038435286.1, XP_038435280.1, XP_038435287.1, XP_038435282.1, XP_038435285.1
OG0000137	XP_006094818.1	NP_001375442.1
OG0000137	XP_006094802.1	NP_001375897.1
OG0000137	XP_006094801.1	NP_001375750.1, NP_001375490.1, NP_001375491.1
OG0000138	XP_006094593.1	NP_001376043.1
OG0000138	XP_006094595.1	NP_001375774.1
OG0000138	XP_006094665.1	NP_001375932.1
OG0000140	XP_023620778.1	XP_038421936.1
OG0000142	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1	XP_038386907.1
OG0000143	XP_023603862.1	XP_038388519.1
OG0000145	XP_006096700.1	XP_038431963.1, XP_038431964.1, XP_038431969.1, XP_038431970.1, XP_038431968.1, XP_038431966.1, XP_038431967.1, XP_038431965.1
OG0000146	XP_006105955.1, XP_023602559.1	XP_038435683.1, XP_038435682.1, XP_038435680.1, XP_038435681.1
OG0000147	XP_023617290.1, XP_023603880.1, XP_023603879.1	NP_001243464.1, NP_001002945.2
OG0000148	XP_014310265.1, XP_023608613.1	NP_001300743.1, NP_001375485.1
OG0000149	XP_023600635.1	XP_038384701.1
OG0000149	XP_023616468.1, XP_014306422.2	XP_038442297.1
OG0000149	XP_023617009.1	NP_001376153.1
OG0000149	XP_006096963.1	XP_038442287.1
OG0000151	XP_006101983.2	XP_038404025.1, XP_038404026.1
OG0000151	XP_023599168.1, XP_023599167.1, XP_023605154.1	XP_038402080.1
OG0000156	XP_023620743.1, XP_014322360.1, XP_006101540.1, XP_023620742.1, XP_006101539.1	NP_001003331.1
OG0000157	XP_006089394.1	XP_038413304.1, NP_001184045.1, XP_038394106.1
OG0000158	XP_006095193.1, XP_006102438.1, XP_006087316.1	NP_001239215.1
OG0000158	XP_014323398.1, XP_006094724.1	XP_038445525.1
OG0000159	XP_014316274.1	XP_038438398.1
OG0000160	XP_006083152.1, XP_014314477.1	XP_038405468.1
OG0000160	XP_006096272.1	XP_038445322.1
OG0000161	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1	XP_038417674.1
OG0000163	XP_014322276.1	NP_001070704.1
OG0000163	XP_023620683.1	NP_001003125.1
OG0000164	XP_006086410.1	XP_038383207.1
OG0000165	XP_014309436.1, XP_023607965.1	XP_038385822.1
