Orthogroup	Rattus_norvegicus	Ursus_americanus
OG0000009	NP_001161825.1, NP_001008834.1, XP_063135479.1, NP_001008845.1, NP_001008841.1, XP_038954892.1, XP_063135474.1, NP_001008838.1, NP_001008836.1, XP_063135475.1, XP_038954887.1, NP_001008842.1, NP_001008839.1, XP_063135491.1, XP_063135177.1, NP_001029158.1, XP_063135032.1, NP_001008827.1, XP_063135457.1, NP_001008833.1, XP_063135487.1, NP_001008830.1, XP_038954604.1, NP_001008840.1, NP_001008832.1, XP_038954582.1, XP_063135164.1, NP_001008835.1, NP_001008829.1, XP_063135035.1	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1
OG0000010	NP_001000513.1, NP_001001064.1	XP_045642840.1
OG0000010	XP_038962000.1, NP_001000627.1	XP_045642833.1, XP_045642838.1
OG0000010	NP_001000359.1	XP_045642839.1
OG0000010	NP_001001067.1	XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1
OG0000011	NP_001395834.1	XP_045650413.1
OG0000011	XP_001055818.2	XP_045650417.1
OG0000011	NP_001102593.2	XP_045650426.1
OG0000011	NP_001102865.1	XP_045650411.1
OG0000011	NP_001108076.1	XP_045650409.1
OG0000011	NP_001395838.1	XP_045650412.1
OG0000011	NP_001014783.1	XP_045650424.1
OG0000011	NP_001014804.1	XP_045650416.1
OG0000011	NP_001391845.1	XP_045650414.1
OG0000011	NP_001108074.2, NP_001102860.1, NP_001395766.1	XP_045650423.1
OG0000011	NP_001395844.1	XP_045650419.1
OG0000011	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2	XP_045650422.1
OG0000011	NP_001403744.1	XP_045650407.1
OG0000012	NP_001037711.1, XP_063136102.1	XP_045659615.1
OG0000012	XP_003752106.1	XP_045634849.1
OG0000012	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1	XP_045634850.1, XP_045634848.1
OG0000013	NP_001000881.1	XP_045630277.1
OG0000013	XP_017451017.1, NP_001000432.1, NP_001000429.1	XP_045630326.1
OG0000014	XP_006228239.1, XP_008757305.3, NP_001178549.1	XP_045629587.1
OG0000015	NP_001406638.1	XP_045630316.1
OG0000015	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1, XP_038938790.1, XP_002729926.5	XP_045630360.1
OG0000015	NP_001000434.1, NP_001000868.1, NP_001000984.1, NP_001000871.1, NP_001000870.1, NP_001000985.1	XP_045630319.1
OG0000016	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1
OG0000017	NP_999990.1, NP_001006598.1, NP_001403703.1, NP_775455.1, NP_999987.1, NP_999989.1, NP_001000494.1, XP_038942452.1, NP_001000980.1, NP_001000529.2, NP_999988.1, NP_001000858.1, NP_999995.1, NP_001000979.1, NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1	XP_045640004.1, XP_045639964.1, XP_045640398.1
OG0000017	NP_001000038.1, NP_001001098.1	XP_045629463.1
OG0000017	NP_001000387.1, NP_064491.1	XP_045647112.1
OG0000017	NP_001000492.1	XP_045634937.1
OG0000018	XP_063124385.1, NP_446437.1, NP_001389155.1, NP_001389154.1	XP_045670225.1
OG0000018	NP_001101168.1, NP_001395612.1, XP_063133017.1, XP_063133018.1	XP_045633105.1
OG0000018	NP_001395691.1	XP_045656399.1
OG0000018	NP_001103112.1	XP_045659932.1
OG0000019	NP_001000602.1, NP_001000580.1, XP_063141268.1, NP_001000915.1, NP_001000377.2, NP_001000606.1, NP_001000917.1, NP_001000375.1, NP_001000603.1	XP_045645141.1, XP_045643388.1
OG0000019	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1	XP_045645143.1, XP_045643386.1
OG0000020	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1	XP_045645295.1, XP_045645300.1
OG0000020	NP_001406335.1, XP_063139091.1	XP_045645315.1, XP_045645319.1, XP_045645325.1
OG0000021	NP_001000509.1, NP_001001115.1, NP_001000276.1, NP_001000887.1, NP_001000886.1, NP_001000271.1, NP_001000274.1, NP_001000889.1, NP_001000273.1, XP_038954398.1, NP_001000275.1, NP_001000888.1, NP_001000557.1	XP_045672083.1
OG0000022	XP_008770293.3	XP_045650391.1
OG0000022	NP_001032230.1	XP_045650387.1
OG0000022	NP_001032414.1	XP_045650388.1
OG0000022	XP_038953329.1	XP_045650393.1
OG0000022	NP_001014773.1	XP_045650396.1
OG0000022	NP_001032233.1	XP_045650384.1
OG0000022	NP_001032214.1	XP_045650404.1
OG0000022	NP_001032217.1	XP_045650405.1
OG0000022	NP_001032231.1	XP_045650392.1
OG0000023	XP_017445590.1, NP_001388743.1	XP_045631035.1
OG0000023	XP_006229008.1, NP_001099719.2	XP_045631030.1
OG0000023	XP_056841157.1	XP_045631031.1
OG0000024	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1, NP_001000800.1, NP_001000801.1, XP_063122016.1	XP_045653510.1
OG0000024	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2, NP_001000792.1, XP_017451293.1, NP_001001087.2, NP_001000471.1, NP_001000596.1	XP_045653577.1
OG0000024	NP_001000599.1, XP_017451271.1, NP_001000473.1	XP_045653509.1, XP_045653508.1
OG0000026	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1	XP_045672087.1
OG0000026	XP_006257363.1, NP_001102791.1	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1
OG0000027	XP_063123300.1	XP_045633509.1
OG0000027	NP_001011995.1	XP_045657089.1
OG0000027	NP_001019510.1	XP_045631313.1
OG0000027	NP_001099588.1, XP_063132306.1	XP_045668843.1
OG0000027	NP_001019507.1	XP_045671137.1
OG0000027	NP_071634.1	XP_045657088.1
OG0000027	NP_001037735.1	XP_045657091.1
OG0000028	XP_063126169.1, NP_001000756.1, NP_001001019.1, XP_003749122.1, NP_001000754.1, NP_001000758.1, XP_038952475.1, NP_001000556.1, NP_001396078.1	XP_045643020.1, XP_045643013.1
OG0000028	NP_001000252.1, NP_001396075.1	XP_045643014.1, XP_045643018.1
OG0000028	XP_003749125.1	XP_045643019.1, XP_045643012.1, XP_045643011.1
OG0000028	NP_001000255.1	XP_045643015.1
OG0000029	NP_001000725.1, NP_001001009.1, NP_001000049.1	XP_045641600.1
OG0000029	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1
OG0000031	NP_001001110.1	XP_045672053.1
OG0000031	NP_001001097.1	XP_045659913.1, XP_045659986.1
OG0000031	NP_068632.1	XP_045656313.1, XP_045656312.1
OG0000033	XP_038942584.1, NP_001192277.1	XP_045670367.1
OG0000033	NP_001160049.1, XP_038942799.1	XP_045670271.1, XP_045670269.1, XP_045670270.1
OG0000033	NP_001161136.1	XP_045670249.1
OG0000033	XP_017452644.1, NP_001020282.1	XP_045669873.1
OG0000034	NP_714951.2, XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1, NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2, NP_001009513.1, NP_001009521.1, NP_001009520.1, NP_001009518.2	XP_045635028.1, XP_045659988.1
OG0000035	NP_062056.1	XP_045628381.1
OG0000035	NP_062085.1	XP_045639549.1, XP_045639550.1
OG0000035	NP_112266.1	XP_045658329.1
OG0000035	NP_112406.1	XP_045669289.1
OG0000035	NP_001120921.1	XP_045630929.1
OG0000035	NP_001099879.1	XP_045650270.1
OG0000035	NP_037025.1, XP_006236790.1	XP_045644253.1
OG0000036	NP_114027.2, XP_017445274.1	XP_045665317.1, XP_045665320.1, XP_045665319.1
OG0000036	NP_612521.2, XP_038946459.1	XP_045641026.1, XP_045641029.1, XP_045641028.1
OG0000038	NP_001000932.1, XP_038961558.1, NP_001000677.1, NP_001000931.1, NP_001000682.1, XP_063140372.1	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1
OG0000039	NP_001013908.2	XP_045667593.1
OG0000039	NP_001102589.1	XP_045667466.1
OG0000039	NP_775125.1	XP_045656493.1
OG0000039	NP_954525.2	XP_045659670.1
OG0000039	NP_543158.1	XP_045632691.1
OG0000039	XP_003749686.1	XP_045670590.1
OG0000039	NP_001020846.1	XP_045671051.1
OG0000040	NP_001001078.1	XP_045656782.1
OG0000040	NP_001000993.1	XP_045656701.1, XP_045656770.1
OG0000040	NP_001000424.1, XP_006242382.1	XP_045656771.1
OG0000040	NP_001000423.1	XP_045656781.1
OG0000041	NP_001000318.1, NP_001000315.1	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1
OG0000041	NP_001000312.1, NP_001000673.1, NP_001000316.1, NP_001000930.1	XP_045642937.1, XP_045642938.1
OG0000042	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1	XP_045664621.1
OG0000043	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1	XP_045639029.1
OG0000044	NP_001395688.1	XP_045656372.1, XP_045656420.1, XP_045656375.1
OG0000044	NP_073177.1	XP_045656374.1
OG0000044	NP_001258150.1	XP_045656373.1
OG0000045	NP_036736.1	XP_045653186.1
OG0000045	NP_001414391.1	XP_045653193.1
OG0000045	NP_001093955.1	XP_045653194.1
OG0000045	NP_001128629.1, XP_038942828.1	XP_045653188.1, XP_045653187.1, XP_045653189.1
OG0000045	NP_062198.1	XP_045653191.1
OG0000046	XP_006241147.1, NP_001178915.1, XP_006241111.1, NP_695230.1, XP_038934451.1, NP_775147.1	XP_045634549.1
OG0000048	NP_775461.1, XP_008757255.3, NP_446371.1	XP_045642300.1
OG0000048	NP_001029032.1, XP_063131131.1	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1
OG0000049	XP_008763105.3	XP_045663942.1
OG0000049	XP_017455846.3, XP_063132041.1, NP_001407912.1, NP_001395610.1	XP_045655349.1
OG0000050	NP_001000385.1	XP_045646965.1
OG0000050	NP_001000826.1	XP_045647115.1, XP_045646964.1, XP_045647114.1
OG0000050	NP_001000386.1, XP_038961561.1, NP_001000969.1, NP_001001014.1, NP_001000384.1, NP_001000382.1, NP_001000828.1, NP_001000383.1, NP_001000380.1, XP_006234126.1, NP_001000830.1, NP_001000560.1, NP_001000381.1, NP_001000379.1, NP_001000559.1, NP_001000829.1, NP_001000827.1, XP_063140376.1	XP_045647113.1
OG0000051	NP_001128481.1	XP_045628930.1
OG0000051	NP_001400917.1, XP_038939825.1	XP_045631233.1
OG0000051	NP_001414185.1	XP_045628928.1, XP_045628929.1
OG0000051	NP_001414189.1	XP_045642234.1
OG0000051	NP_001008333.1	XP_045631224.1
OG0000051	XP_006257375.1, NP_001413925.1	XP_045634948.1
OG0000052	XP_038935180.1, NP_001013193.1, NP_001264288.1, XP_008763864.1, NP_001020237.1, XP_006242004.3, XP_006241996.1, NP_001128273.1, NP_001413816.1	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1
OG0000054	NP_058775.1	XP_045640444.1
OG0000055	NP_001000216.1	XP_045639049.1
OG0000055	NP_001000209.1, NP_001000211.1	XP_045639031.1
OG0000056	NP_001000347.1, NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1	XP_045642850.1
OG0000057	XP_038939642.1, NP_001012133.1	XP_045650108.1
OG0000057	NP_001029309.1, XP_038939329.1	XP_045650116.1
OG0000057	XP_038939826.1	XP_045650100.1
OG0000058	XP_038936592.1, NP_446149.1	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1
OG0000059	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1, NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1, NP_001000050.1, NP_001000726.1, NP_001000051.1	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1
OG0000060	NP_001013176.1, XP_017446356.1	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1
OG0000061	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1	XP_045670758.1
OG0000061	XP_063139535.1, NP_001100030.1	XP_045669635.1
OG0000062	NP_036858.1, XP_038951279.1	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1
OG0000063	XP_017449802.1, NP_001102829.1	XP_045666392.1
OG0000064	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1
OG0000065	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1	XP_045663223.1
OG0000066	XP_063122472.1, XP_063138762.1	XP_045656564.1
OG0000067	NP_001000088.1	XP_045628280.1
OG0000067	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1
OG0000068	NP_001000759.1	XP_045642474.1
OG0000069	XP_038949265.1, NP_001100742.1	XP_045630052.1
OG0000069	NP_001099812.1, XP_006229575.1	XP_045644762.1
OG0000069	NP_570833.1	XP_045663810.1
OG0000070	NP_001289146.1, XP_063143296.1	XP_045636453.1
OG0000070	NP_001071119.2, XP_006238653.1	XP_045655412.1
OG0000071	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1	XP_045626763.1, XP_045626722.1
OG0000072	NP_001025209.1, XP_006231459.1	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1
OG0000073	NP_001000667.1	XP_045642928.1
OG0000074	XP_006229920.1, NP_001099753.1	XP_045638737.1, XP_045638729.1
OG0000074	NP_598211.2, XP_063129363.1	XP_045638730.1
OG0000075	XP_038955607.1, NP_001013984.1	XP_045660960.1
OG0000075	XP_038956344.1, XP_038956348.1, XP_038956345.1, XP_017457901.1, XP_063136426.1, XP_063136428.1, XP_063136427.1, XP_063136425.1, XP_038956343.1, XP_017457902.1, XP_038956347.1	XP_045644393.1, XP_045660188.1
OG0000076	NP_001032236.1	XP_045650397.1
OG0000077	XP_063140201.1, NP_937765.1, NP_001104764.1	XP_045662121.1
OG0000077	NP_001386203.1	XP_045656813.1
OG0000078	NP_058998.2, XP_006241494.1	XP_045645657.1, XP_045645656.1
OG0000079	XP_006246244.1, NP_110488.1	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1
OG0000080	XP_038943840.1, NP_001102633.1, XP_006231188.3	XP_045642704.1, XP_045642705.1
OG0000081	XP_006239408.1	XP_045633911.1
OG0000082	NP_001103063.1, NP_001103065.1, XP_063135601.1	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1
OG0000084	XP_006232040.1, NP_001414786.1	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1
OG0000085	NP_001000872.1	XP_045630357.1
OG0000085	NP_001000862.1, NP_001000983.1, NP_001001016.1, NP_001000869.1	XP_045630221.1, XP_045630359.1
OG0000086	NP_001129170.1, XP_038963272.1	XP_045641894.1
OG0000086	NP_001413918.1, XP_008767150.1	XP_045658490.1
OG0000087	NP_001102796.1	XP_045641652.1
OG0000087	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1, NP_001395798.1, XP_002727896.1	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1
OG0000087	NP_001099366.1	XP_045641653.1
OG0000088	XP_006248190.1, NP_579855.1	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1
OG0000089	NP_001000326.1, NP_001000328.1, NP_001000654.1, NP_001001056.1, NP_001000327.1, NP_001000664.1, NP_001000658.1	XP_045642922.1, XP_045642925.1
OG0000090	NP_689448.2, XP_063133896.1	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1
OG0000092	NP_001000335.1, NP_001000336.1, NP_001000926.1, NP_001000337.1	XP_045642909.1
OG0000092	XP_006234556.1	XP_045642908.1
OG0000093	NP_001007148.1, XP_006249003.1	XP_045669385.1
OG0000095	NP_001119556.1	XP_045662670.1
OG0000095	NP_446420.1	XP_045662671.1
OG0000095	NP_620181.1	XP_045662783.1
OG0000096	NP_001099418.1	XP_045646194.1
OG0000096	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1	XP_045667579.1
OG0000099	XP_063138868.1, XP_063138928.1, XP_017446862.1	XP_045666662.1
OG0000099	NP_037148.3, XP_006235014.1	XP_045663783.1, XP_045663791.1
OG0000100	NP_112249.2, XP_006239579.1	XP_045659404.1
OG0000100	XP_038945727.1, NP_112299.1	XP_045629752.1
OG0000101	XP_038941022.1	XP_045650931.1
OG0000101	NP_001014041.1, XP_006257281.1	XP_045655963.1, XP_045655964.1
OG0000102	NP_775417.1, XP_003751392.1, NP_001178605.1	XP_045627453.1
OG0000103	NP_001103370.1, XP_063132700.1	XP_045668844.1
OG0000104	XP_063138894.1	XP_045657790.1, XP_045657791.1, XP_045657794.1
OG0000104	XP_006250671.3	XP_045657785.1, XP_045657784.1
OG0000105	NP_001380791.1, XP_063121754.1	XP_045646725.1, XP_045646724.1
OG0000106	XP_006251278.1	XP_045649626.1
OG0000106	NP_036737.1, XP_038953516.1	XP_045642224.1
OG0000106	NP_001030329.2	XP_045632846.1
OG0000107	NP_001000281.1, XP_063140374.1, NP_001000688.1	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1
OG0000107	NP_001000282.1, NP_001000284.1, NP_001000283.1	XP_045642992.1
OG0000108	XP_038938891.1, NP_476489.1	XP_045651824.1, XP_045651822.1, XP_045651823.1
OG0000109	NP_001000581.1	XP_045636487.1
OG0000109	NP_001000897.1	XP_045636484.1, XP_045636486.1
OG0000110	XP_006246738.1, NP_058885.1	XP_045653389.1
OG0000110	NP_036635.1, XP_006246641.1	XP_045653379.1, XP_045653380.1
OG0000110	NP_071788.2, XP_008766090.1	XP_045653378.1
OG0000111	XP_038953764.1, XP_038953777.1, XP_038953753.1, XP_038952348.1, XP_038952346.2	XP_045666826.1
OG0000113	XP_063136324.1, XP_017446718.1, NP_001395797.1, NP_001388119.1, XP_038955979.1, NP_001316085.1	XP_045660196.1, XP_045645435.1, XP_045635373.1
OG0000114	NP_001103345.1	XP_045662089.1
OG0000114	NP_149086.1, XP_063122697.1	XP_045662083.1
OG0000114	XP_038940147.1, NP_001103027.1, NP_775411.1	XP_045662092.1, XP_045662086.1
OG0000114	NP_001074405.1	XP_045662091.1
OG0000114	NP_264077.1	XP_045662087.1
OG0000115	XP_017450124.1	XP_045657100.1
OG0000115	XP_038942837.1, NP_077064.1	XP_045670231.1
OG0000115	NP_001400967.1, NP_001400966.1	XP_045661127.1
OG0000116	XP_006233397.1	XP_045648587.1
