Orthogroup	Rattus_norvegicus	Homo_sapiens
OG0000039	NP_954525.2	NP_006079.1
OG0000039	NP_543158.1	NP_001276052.1
OG0000039	NP_640347.2	NP_006077.2
OG0000039	XP_003749686.1	XP_016883574.1, NP_110400.1
OG0000039	NP_001020846.1	NP_001290453.1
OG0000041	NP_001000318.1, NP_001000315.1	NP_001004747.2
OG0000041	NP_001000312.1, NP_001000673.1, NP_001000316.1, NP_001000930.1	NP_001004746.2
OG0000042	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1	NP_001290544.1, NP_473371.1
OG0000042	XP_038957465.1, NP_665730.2, NP_750845.3	NP_001380507.1, NP_671732.3, NP_473372.3, NP_001357393.1, NP_473373.2
OG0000043	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1	NP_703145.1
OG0000044	NP_001395688.1	NP_068803.1, NP_001029249.1, NP_778224.1, NP_003529.1
OG0000044	NP_073177.1	NP_003532.1, NP_003535.1
OG0000044	NP_001116941.1	NP_003539.1
OG0000044	NP_001258150.1	NP_003536.1
OG0000045	NP_036736.1	XP_011522172.1, NP_002461.2
OG0000045	NP_001414391.1	NP_003793.2
OG0000045	NP_001093955.1	NP_002463.2
OG0000045	NP_062198.1	NP_060003.2, XP_016880165.1
OG0000048	NP_775461.1	XP_016881688.1, NP_001349424.1, NP_001806.2
OG0000048	XP_008757255.3, NP_446371.1	NP_001091976.3, XP_016882919.1
OG0000048	NP_001029032.1, XP_063131131.1	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2
OG0000049	XP_008763105.3	NP_003804.2
OG0000050	NP_001000385.1	NP_001004451.1
OG0000050	NP_001000826.1	NP_473448.1, XP_024303284.1, NP_001004452.1
OG0000051	NP_001128481.1	NP_001836.3
OG0000051	NP_001400917.1, XP_038939825.1	XP_005246334.1, NP_000082.2
OG0000051	NP_001414185.1	NP_001837.2
OG0000051	NP_001414189.1	NP_001274687.1, XP_006724680.1
OG0000051	NP_001008333.1	XP_005246338.1, NP_000083.3
OG0000051	XP_006257375.1, NP_001413925.1	XP_011529151.2, NP_203699.1
OG0000052	XP_038935180.1, NP_001013193.1, NP_001264288.1, XP_008763864.1, NP_001020237.1, XP_006242004.3, XP_006241996.1, NP_001128273.1, NP_001413816.1	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1
OG0000053	XP_006248166.1, XP_006248156.1, XP_038944664.1, XP_063127036.1, XP_006248159.1, XP_008766829.1, XP_006248165.2, XP_038944660.1, XP_063126917.1, XP_006248167.1, XP_038944665.1, XP_063127032.1, XP_006248182.1, XP_063127034.1, XP_006248158.1, XP_008766831.1, XP_006248154.1, XP_006248160.1, XP_063127033.1, XP_063127035.1	NP_853647.1
OG0000054	NP_058775.1	NP_001358691.1, XP_047289901.1
OG0000055	NP_001396077.1	NP_703146.1
OG0000056	NP_001000347.1, NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1	NP_001001920.2
OG0000057	XP_038939642.1, NP_001012133.1	XP_047302368.1, NP_009168.4
OG0000057	NP_001029309.1, XP_038939329.1	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3
OG0000057	XP_038939826.1	NP_001073860.1
OG0000058	XP_038936592.1, NP_446149.1	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2
OG0000059	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1, NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1, NP_001000050.1, NP_001000726.1, NP_001000051.1	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2
OG0000060	NP_001013176.1, XP_017446356.1	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1
OG0000061	XP_063139535.1, NP_001100030.1	NP_001380590.1
OG0000062	NP_036858.1, XP_038951279.1	NP_000323.2
OG0000063	XP_017449802.1, NP_001102829.1	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1
OG0000064	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2	NP_000063.2
OG0000065	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1	NP_000983.1
OG0000066	XP_063126203.1, XP_038959284.1, XP_063123871.1, XP_038969229.1, XP_038959993.1, XP_063122447.1, XP_038957233.1, NP_001395929.1, XP_063141356.1, XP_063142937.1, NP_001395925.1, XP_063136502.1, NP_445782.2, XP_063128738.1, XP_063124197.1, XP_063123883.1, XP_063138904.1, XP_063138751.1, XP_038951085.1, XP_063136506.1, NP_001395927.1, NP_001395926.1, NP_001395924.1, XP_063122472.1, XP_063138762.1	NP_000973.2
OG0000067	NP_001000088.1	NP_001004136.1, NP_001001827.1
OG0000067	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1	NP_001004694.2, NP_001004697.1, NP_001004696.2, NP_001004693.1
OG0000069	XP_038949265.1, NP_001100742.1	XP_011542667.1, NP_009188.1
OG0000069	NP_001101049.1	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1
OG0000069	NP_001099812.1, XP_006229575.1	NP_037496.4
OG0000069	NP_570833.1	NP_006020.4
OG0000069	NP_001013119.1	NP_071434.2
OG0000070	XP_063143296.1	NP_001338394.1, NP_001338407.1, NP_001372622.1, NP_001338406.1, NP_001164668.1, NP_001164666.1, NP_001372623.1, NP_001338393.1, NP_001372630.1, NP_001372624.1
OG0000070	NP_001071119.2, XP_006238653.1	XP_011539191.1
OG0000071	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1	NP_066362.2, NP_006426.2
OG0000072	NP_001025209.1, XP_006231459.1	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1
OG0000074	XP_006229920.1, NP_001099753.1	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1
OG0000074	NP_598211.2, XP_063129363.1	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1
OG0000075	NP_001395765.1	NP_066386.3, NP_001238757.2, NP_001011543.3
OG0000076	NP_001012215.1	NP_061750.1
OG0000077	XP_038947287.1, NP_001104765.1, XP_038943607.1	NP_001382099.1
OG0000077	XP_063140201.1, NP_937765.1, NP_001104764.1	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1, NP_001317180.1, NP_001317179.1
OG0000077	NP_001386203.1	NP_112420.1
OG0000078	NP_058998.2, XP_006241494.1	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1
OG0000079	XP_006246244.1, NP_110488.1	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1
OG0000080	XP_038943840.1, NP_001102633.1, XP_006231188.3	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1
OG0000081	XP_006239408.1	NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2
OG0000082	NP_001103063.1, NP_001103065.1, XP_063135601.1	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2
OG0000084	XP_006232040.1, NP_001414786.1	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1
OG0000085	NP_001000862.1, NP_001000983.1, NP_001001016.1, NP_001000869.1	NP_001005191.1
OG0000086	XP_038961655.1, NP_001019540.1	NP_659445.1, XP_047282487.1, NP_001350416.1
OG0000086	NP_001129170.1, XP_038963272.1	NP_113665.3
OG0000086	NP_001413918.1, XP_008767150.1	XP_047297311.1, NP_037445.1
OG0000086	NP_001101756.2	XP_016880110.1
OG0000087	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1, NP_001395798.1, XP_002727896.1	NP_853631.1, NP_853630.2, NP_853652.1
OG0000087	NP_001099366.1	NP_853655.1, NP_853654.1
OG0000088	XP_006248190.1, NP_579855.1	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1
OG0000089	NP_001000331.1, NP_001000332.1, NP_001000661.1, NP_001000659.1, NP_001000568.1, NP_001000326.1, NP_001000328.1, NP_001000654.1, NP_001001056.1, NP_001000327.1, NP_001000664.1, NP_001000658.1	NP_001001960.1
OG0000090	NP_689448.2, XP_063133896.1	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1
OG0000092	XP_006234556.1	NP_001382988.1
OG0000093	NP_001007148.1, XP_006249003.1	NP_001165415.1, NP_001354564.1, NP_001354587.1, NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1
OG0000095	NP_001119556.1	NP_116324.2
OG0000095	NP_446420.1	NP_001288196.1, NP_005945.1
OG0000095	NP_620181.1	NP_005937.2, NP_005938.1, NP_005942.1, NP_005940.1, NP_005944.1
OG0000096	NP_001099418.1	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1
OG0000096	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1	NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1
OG0000099	XP_063138868.1, XP_063138928.1, XP_017446862.1	NP_001397731.1, XP_047295839.1
OG0000099	NP_037148.3, XP_006235014.1	NP_001317657.1, XP_005260727.1
OG0000100	NP_112249.2, XP_006239579.1	NP_001269468.1
OG0000100	XP_038945727.1, NP_112299.1	NP_005264.2
OG0000101	XP_038941022.1	NP_001382108.1, NP_001382109.1, NP_001351158.1, NP_001351154.1, NP_001351156.1, NP_001382110.1, NP_001382107.1, NP_001351169.1, NP_001351161.1, NP_001351159.1, NP_001382106.1, NP_001351155.1, NP_001351157.1, NP_001382119.1
OG0000101	NP_001014041.1, XP_006257281.1	NP_062543.1, NP_001027565.1
OG0000101	NP_543172.2	NP_001351176.1, NP_001382117.1, NP_001351177.1, NP_001382113.1, NP_001351175.1, NP_001382118.1, NP_001350501.1, NP_001351174.1, NP_001382112.1, NP_001351160.1, NP_001382105.1, NP_001382116.1, NP_001351173.1
