Orthogroup	Rattus_norvegicus	Echinops_telfairi
OG0000042	XP_038957465.1, NP_665730.2, NP_750845.3	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1
OG0000043	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1	XP_012863712.2, XP_030741683.1, XP_030741692.1
OG0000045	NP_036736.1	XP_045149228.1
OG0000045	NP_001128630.1, XP_038941362.1	XP_004709406.1
OG0000045	NP_001093955.1	XP_012861750.1
OG0000045	NP_001128629.1, XP_038942828.1	XP_012861749.1
OG0000045	NP_062198.1	XP_004709407.1
OG0000048	NP_775461.1	XP_045148624.1
OG0000048	NP_001029032.1, XP_063131131.1	XP_045148625.1, XP_030742216.1, XP_045148205.1
OG0000049	XP_008763105.3	XP_012859118.1
OG0000049	XP_017455846.3, XP_063132041.1, NP_001407912.1, NP_001395610.1	XP_004696508.2
OG0000050	NP_001000385.1	XP_004712659.1
OG0000050	NP_001000826.1	XP_004712657.1, XP_004712660.1
OG0000051	NP_001128481.1	XP_045139744.1
OG0000051	NP_001400917.1, XP_038939825.1	XP_045150200.1
OG0000051	NP_001414185.1	XP_004704466.1
OG0000051	NP_001414189.1	XP_045154467.1
OG0000051	NP_001008333.1	XP_045150193.1
OG0000051	XP_006257375.1, NP_001413925.1	XP_004710098.1
OG0000053	XP_006248166.1, XP_006248156.1, XP_038944664.1, XP_063127036.1, XP_006248159.1, XP_008766829.1, XP_006248165.2, XP_038944660.1, XP_063126917.1, XP_006248167.1, XP_038944665.1, XP_063127032.1, XP_006248182.1, XP_063127034.1, XP_006248158.1, XP_008766831.1, XP_006248154.1, XP_006248160.1, XP_063127033.1, XP_063127035.1	XP_030744714.1
OG0000054	NP_058775.1	XP_045154396.1
OG0000055	NP_001000216.1	XP_004716482.1
OG0000055	NP_001396077.1	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1
OG0000056	NP_001000347.1, NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1
OG0000057	XP_038939642.1, NP_001012133.1	XP_045151837.1, XP_045150218.1
OG0000057	NP_001029309.1, XP_038939329.1	XP_045152239.1
OG0000057	XP_038939826.1	XP_045152873.1
OG0000058	XP_038936592.1, NP_446149.1	XP_004715220.1
OG0000060	NP_001013176.1, XP_017446356.1	XP_012862321.2
OG0000061	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1	XP_012862257.2
OG0000061	XP_063139535.1, NP_001100030.1	XP_045145283.1
OG0000062	NP_036858.1, XP_038951279.1	XP_004715350.1
OG0000063	XP_017449802.1, NP_001102829.1	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1
OG0000064	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1
OG0000065	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1
OG0000066	XP_063122472.1, XP_063138762.1	XP_045144912.1
OG0000067	NP_001000088.1	XP_004697275.1
OG0000067	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1	XP_012861343.1, XP_004697249.1
OG0000069	XP_038949265.1, NP_001100742.1	XP_004707765.1
OG0000069	NP_001101049.1	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1
OG0000069	NP_001099812.1, XP_006229575.1	XP_004715687.1
OG0000069	NP_570833.1	XP_004698759.1
OG0000069	NP_001013119.1	XP_004698825.1
OG0000070	XP_063143296.1	XP_030741226.1
OG0000070	XP_006238653.1	XP_045148084.1
OG0000071	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1	XP_045140953.1, XP_012863904.1
OG0000072	NP_001025209.1, XP_006231459.1	XP_004701095.1, XP_045147551.1
OG0000073	NP_001000667.1	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2
OG0000074	XP_006229920.1, NP_001099753.1	XP_004708970.1
OG0000075	XP_038955607.1, NP_001013984.1	XP_012859131.1, XP_045144281.1
OG0000075	NP_001395765.1	XP_004715682.1
OG0000076	NP_001032236.1	XP_045140664.1
OG0000077	XP_063140201.1, NP_937765.1, NP_001104764.1	XP_004701504.1
OG0000077	NP_001386203.1	XP_004716948.1
OG0000078	NP_058998.2, XP_006241494.1	XP_045144918.1
OG0000079	XP_006246244.1, NP_110488.1	XP_045140817.1, XP_004696894.1, XP_045140816.1
OG0000080	XP_038943840.1, NP_001102633.1, XP_006231188.3	XP_030743379.1
OG0000081	XP_006239408.1	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1
OG0000082	NP_001103063.1, NP_001103065.1, XP_063135601.1	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1
OG0000084	XP_006232040.1, NP_001414786.1	XP_045141025.1, XP_045141026.1, XP_004703689.1
OG0000085	NP_001000872.1	XP_004714378.1
OG0000085	NP_001000862.1, NP_001000983.1, NP_001001016.1, NP_001000869.1	XP_004717398.1, XP_004717958.1
OG0000086	XP_038961655.1, NP_001019540.1	XP_004714964.1
OG0000086	NP_001129170.1, XP_038963272.1	XP_004705744.1
OG0000086	NP_001413918.1, XP_008767150.1	XP_045154464.1
OG0000086	NP_001101756.2	XP_004707070.1
OG0000087	NP_001395798.1, XP_002727896.1	XP_004713160.1
OG0000087	NP_001099366.1	XP_030744519.1
OG0000088	XP_006248190.1, NP_579855.1	XP_045140349.1, XP_045140348.1, XP_045140350.1
OG0000089	NP_001000331.1, NP_001000332.1, NP_001000661.1, NP_001000659.1, NP_001000568.1, NP_001000326.1, NP_001000328.1, NP_001000654.1, NP_001001056.1, NP_001000327.1, NP_001000664.1, NP_001000658.1	XP_004708559.1, XP_004708552.1, XP_004708556.1
OG0000090	NP_689448.2, XP_063133896.1	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1
OG0000092	NP_001000335.1, NP_001000336.1, NP_001000926.1, NP_001000337.1	XP_004708546.1
OG0000092	XP_006234556.1, XP_063141273.1	XP_004708548.1
OG0000093	NP_001007148.1, XP_006249003.1	XP_045142014.1
OG0000095	NP_001119556.1	XP_004711944.1
OG0000095	NP_446420.1	XP_045148615.1, XP_045150606.1
OG0000096	NP_001099418.1	XP_004703093.1
OG0000096	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1	XP_004700028.1
OG0000099	NP_037148.3, XP_006235014.1	XP_045151127.1
OG0000100	NP_112249.2, XP_006239579.1	XP_004705273.1
OG0000100	XP_038945727.1, NP_112299.1	XP_004705657.1
OG0000101	XP_038941022.1	XP_045140363.1
OG0000101	NP_001014041.1, XP_006257281.1	XP_045146523.1, XP_045146524.1
OG0000102	NP_775417.1, XP_003751392.1, NP_001178605.1	XP_004703229.1
OG0000103	NP_001094046.1, XP_038951702.1, NP_001129216.1, NP_001163813.1, XP_006254252.1, NP_001014262.3, XP_063132767.1, NP_001157868.1, NP_612519.1, NP_612556.1, NP_001028869.1, XP_006254250.1, XP_006254245.1, NP_001013075.1	XP_045151822.1, XP_004710333.1
OG0000104	NP_001292190.1, XP_006233486.1, XP_038959792.1, NP_001396037.1	XP_045147911.1, XP_004699643.1
OG0000105	NP_001380791.1, XP_063121754.1	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1
OG0000106	XP_006251278.1	XP_004708127.2
OG0000106	NP_036737.1, XP_038953516.1	XP_004705720.2
OG0000106	NP_001030329.2	XP_004709634.2
OG0000106	XP_038945819.1	XP_004706026.2
OG0000107	NP_001000281.1, XP_063140374.1, NP_001000688.1	XP_004715014.1
OG0000107	NP_001000282.1, NP_001000284.1, NP_001000283.1	XP_004715013.1, XP_004715012.1
OG0000108	XP_038938891.1, NP_476489.1	XP_004701946.2
OG0000109	NP_001000581.1	XP_004712519.1
OG0000109	NP_001000897.1	XP_004712518.1
OG0000110	XP_006246738.1, NP_058885.1	XP_004713048.1
OG0000110	NP_071788.2, XP_008766090.1	XP_045149353.1
OG0000113	XP_063136324.1, XP_017446718.1, NP_001395797.1, NP_001388119.1, XP_038955979.1, NP_001316085.1	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1
OG0000114	NP_001103345.1	XP_004701631.1
OG0000114	NP_149086.1, XP_063122697.1, XP_038940147.1, NP_001103027.1, NP_775411.1	XP_004701628.1
OG0000114	NP_264077.1	XP_004701630.1
OG0000115	XP_017450124.1	XP_004711472.1
OG0000115	NP_001400966.1	XP_004696937.1
OG0000116	NP_112516.1	XP_030744473.1
OG0000117	NP_001000119.1, NP_001000692.1, NP_001000118.1, NP_001000120.1, NP_001000689.1	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3
OG0000118	NP_001300749.1, XP_006257769.1	XP_030741158.1
OG0000119	NP_001032362.1, NP_071792.1, NP_001032363.1, XP_017448364.1, NP_001032364.1	XP_004717708.1, XP_004715360.1
OG0000120	NP_001386724.1	XP_004705610.1
OG0000121	XP_006253089.1, NP_001100779.1	XP_045142786.1
OG0000122	XP_006228852.1, NP_076454.1	XP_004715846.1
OG0000122	XP_063126240.1, XP_063141587.1, NP_058704.1, XP_063144654.1	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1
OG0000122	XP_017455915.3, XP_063126092.1, XP_063138853.1	XP_012861820.1, XP_030742881.1, XP_045151936.1
OG0000123	XP_003750902.1	XP_030742389.1
OG0000124	XP_006257023.1, NP_036793.2	XP_012863991.1
OG0000124	XP_006232343.1, NP_001041350.1	XP_045141379.1, XP_045141380.1
OG0000125	XP_063125646.1, NP_001382688.1	XP_004707210.1
OG0000125	NP_001008757.1, NP_001008819.1, XP_063125644.1, NP_001008817.2	XP_045155274.1
OG0000125	NP_001008758.1	XP_045155324.1
OG0000127	XP_006233373.1, NP_001014065.1	XP_004703356.1, XP_045140128.1
OG0000128	NP_705886.1, XP_006254003.1	XP_045151658.1
OG0000128	NP_001100823.1, XP_038951630.1	XP_004712541.3
OG0000128	XP_008769880.1, NP_001258143.1	XP_045151722.1, XP_004712576.1, XP_045151686.1
OG0000129	NP_001010921.1, XP_017451300.1, XP_038936725.1, NP_058709.2, XP_006244718.1, NP_001019532.1, NP_001009920.1, XP_063122698.1, NP_113697.1	XP_004696412.1
OG0000130	NP_001000153.1, NP_001001273.1	XP_004717091.1
OG0000131	NP_001000551.1, NP_001000195.1, NP_001000199.1, NP_001000736.1, NP_001000194.1, NP_001000197.1, NP_001001018.1, NP_001000192.1, NP_001000193.1, NP_001000191.1, NP_001000198.1	XP_004716464.1, XP_004716462.1, XP_012863714.1
OG0000132	NP_077051.1, XP_038965791.1	XP_004702027.1, XP_045150370.1, XP_045150369.1
OG0000133	NP_001008339.2, XP_038947738.1	XP_045148079.1, XP_004699328.1
OG0000134	XP_006237389.1	XP_045151946.1
OG0000135	XP_008761712.1, NP_695222.2	XP_045147971.1
OG0000136	NP_001019512.1, XP_006237901.1	XP_045142065.1, XP_045142064.1, XP_004697625.1
OG0000137	NP_001000847.1	XP_004714005.3
OG0000137	NP_001000845.1	XP_004714001.1, XP_012863025.1, XP_004713999.1
OG0000137	NP_001102817.1	XP_004714041.1
OG0000138	NP_001000133.1, XP_063125346.1, NP_001001279.1	XP_004717532.1
OG0000138	NP_001001284.1	XP_004717527.1, XP_004717571.2
OG0000139	NP_001007670.1, XP_006246451.1	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1
OG0000140	XP_063130435.1	XP_030741420.1
OG0000141	NP_001000003.1, NP_001001096.1, NP_001001095.1, NP_001000002.1, NP_001001091.1, NP_001001092.1, XP_038942457.1, NP_001001093.1, NP_001000788.1, NP_001000001.1, NP_001001090.1, NP_001000524.1, NP_001001089.1, NP_001000000.1	XP_004697229.2, XP_045140736.1, XP_004696895.1
OG0000142	NP_001014036.1, XP_006255172.1	XP_045149687.1, XP_004704707.1, XP_045149686.1
OG0000143	NP_599185.1	XP_030742844.1
OG0000144	NP_001019484.2, XP_063140456.1	XP_045151259.1
OG0000145	XP_038936909.1, NP_852051.2	XP_045147525.1, XP_004701145.1, XP_045147526.1
OG0000146	NP_001395740.1, XP_038966867.1, XP_038966864.1, XP_063117331.1, XP_038966866.1, XP_038966865.1	XP_045142054.1, XP_045142060.1, XP_004697533.1
OG0000147	NP_036773.1	XP_004713906.1, XP_004713922.1, XP_004713902.1
OG0000147	NP_445741.1, NP_742074.2, NP_001139318.1, NP_775120.1	XP_004713899.1, XP_004713905.1, XP_004713907.1, XP_004713908.1
OG0000148	XP_006251909.1, NP_001001003.1, NP_001000840.1, XP_017455257.1, XP_017455255.1, NP_001000839.1, NP_001000521.1, XP_063130469.1, XP_008768847.1, NP_001000097.1	XP_004698922.1, XP_004698923.1
OG0000149	NP_036638.1, XP_017444264.1	XP_045148631.1
OG0000149	NP_036637.1	XP_004716558.1
OG0000149	NP_036636.1	XP_004714919.1
OG0000149	XP_017454251.1, NP_001257959.1, NP_074039.1	XP_045154307.1
OG0000150	NP_001037723.1, NP_001093947.1, XP_038954018.1, XP_038953911.1, NP_001177309.1, XP_008758816.2, NP_001094469.1, NP_001177298.1, NP_598270.2, XP_006255510.1, NP_001099645.1, XP_038954070.1	XP_012860629.3
OG0000151	XP_003750921.1	XP_004707023.1
OG0000151	NP_001013992.1, XP_006247060.1	XP_004707410.1
OG0000152	NP_001395841.1	XP_004717756.1
OG0000153	NP_001000702.1	XP_012864129.2, XP_030743188.1
OG0000153	NP_001001369.1	XP_004717894.2
OG0000153	XP_063120092.1, NP_001001386.1, NP_001001363.2, NP_001001367.1	XP_012864119.1
OG0000157	XP_063139179.1, NP_036792.2	XP_004716095.1
OG0000157	NP_787032.1, XP_038936676.1, XP_038956056.1	XP_045150192.1
OG0000158	NP_001263406.1	XP_045150894.1
OG0000158	NP_446049.1, XP_038940257.1	XP_012862011.1
OG0000158	XP_038938816.2, XP_063136503.1	XP_012860252.2
OG0000158	XP_003751319.1	XP_004714233.1
OG0000159	NP_001001352.2, XP_038944666.1, XP_063126739.1, NP_001000530.1	XP_004706567.1, XP_004706504.1
OG0000159	NP_001001100.1, NP_001001103.1, NP_001001102.1, NP_001001101.1, NP_001001099.1, NP_001001104.1, NP_001000496.1	XP_004706503.2
OG0000160	NP_001182400.1	XP_045140887.1
OG0000160	NP_037007.1	XP_004711708.1
OG0000161	NP_543159.1, NP_067700.2, NP_598242.1, XP_008761327.1, NP_072157.1, XP_063141453.1, NP_543160.1, NP_001166920.1, XP_006236861.1, XP_006236880.1	XP_045142585.1
OG0000162	XP_063143056.1, NP_775413.2, NP_001009718.1, NP_001376158.1, XP_017448234.1, NP_001012767.1, NP_001009501.1, NP_690061.2, XP_063141705.1, NP_001009499.1, NP_001009495.1, XP_008761657.1, NP_001009498.1, XP_008761628.1, NP_001009919.1, XP_038964788.1, XP_017448245.1, XP_063141503.1, NP_001388948.1, NP_001165559.1, XP_038964313.1, XP_038963958.1, NP_001009497.1, NP_001104780.1, XP_063142527.1, XP_038964793.1, NP_001009494.2, XP_038963383.1, NP_942041.3, XP_038963968.1, NP_001009500.1, NP_001009486.1, XP_038963942.1	XP_012864056.1
OG0000163	NP_569106.1	XP_045153684.1
OG0000163	NP_446188.2, XP_063120843.1	XP_045153720.1
OG0000163	NP_036894.3, XP_063121014.1	XP_045153718.1, XP_045153719.1
OG0000164	XP_063132019.1, XP_063132020.1	XP_004706358.1, XP_045144983.1
OG0000165	XP_017456046.1, NP_001100828.1	XP_045146037.1, XP_045146036.1
OG0000166	XP_017452097.1, NP_001102556.1	XP_045141312.1, XP_045141315.1, XP_045141314.1
OG0000167	NP_001020057.1, XP_008757972.1	XP_045140340.1, XP_004705793.1
OG0000168	NP_001071060.1	XP_045155493.1, XP_004703884.1
