Orthogroup	Rattus_norvegicus	Sus_scrofa
OG0000015	NP_001000434.1, NP_001000868.1, NP_001000984.1, NP_001000871.1, NP_001000870.1, NP_001000985.1	XP_020940793.1, XP_020937391.1, XP_020937454.1, XP_020940785.1, XP_020938166.1, XP_020937109.1, XP_020937484.1, XP_020937972.1, XP_003123330.3, XP_020937977.1, XP_003123335.3
OG0000016	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1
OG0000017	NP_999990.1, NP_001006598.1, NP_001403703.1, NP_775455.1, NP_999987.1, NP_999989.1, NP_001000494.1, XP_038942452.1, NP_001000980.1, NP_001000529.2, NP_999988.1, NP_001000858.1, NP_999995.1, NP_001000979.1, NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1	XP_003124707.3
OG0000017	NP_001000038.1, NP_001001098.1	XP_020923327.1
OG0000017	NP_001000387.1, NP_064491.1	XP_020937884.1
OG0000018	NP_001389154.1	XP_003131242.1
OG0000018	XP_063133017.1	NP_001231571.1
OG0000018	NP_001395691.1	NP_001274345.1
OG0000018	NP_001103112.1	XP_013844399.1
OG0000018	XP_063118698.1	NP_999095.1
OG0000019	NP_001000602.1, NP_001000580.1, XP_063141268.1, NP_001000915.1, NP_001000377.2, NP_001000606.1, NP_001000917.1, NP_001000375.1, NP_001000603.1	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2
OG0000019	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1	XP_001927961.2, XP_020954986.1
OG0000019	XP_017447447.1, NP_001000607.1	XP_020955724.1
OG0000019	NP_001000604.1	XP_020955678.1, XP_020955671.1
OG0000019	NP_001000601.1, NP_001000376.1	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2
OG0000020	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1	XP_020950615.1, XP_013854215.2
OG0000020	NP_001406335.1, XP_063139091.1	XP_013844151.1
OG0000021	NP_001000509.1, NP_001001115.1, NP_001000276.1, NP_001000887.1, NP_001000886.1, NP_001000271.1, NP_001000274.1, NP_001000889.1, NP_001000273.1, XP_038954398.1, NP_001000275.1, NP_001000888.1	XP_020936930.1, XP_020937956.1, XP_020937593.1, XP_020937875.1, XP_020936685.1
OG0000021	NP_001000557.1	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1
OG0000022	XP_008770293.3	XP_020940822.1
OG0000022	XP_038953329.1	XP_020940823.1
OG0000022	NP_001014773.1	XP_020940587.1
OG0000022	NP_001032233.1	XP_020940825.1, XP_020940824.1
OG0000022	NP_001032214.1	XP_020940585.1
OG0000022	NP_001032217.1	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1
OG0000022	NP_001032216.1	XP_013850731.2
OG0000022	NP_001032231.1	XP_020940579.1
OG0000023	XP_017445590.1, NP_001388743.1	XP_020950504.1
OG0000023	XP_056841157.1	XP_020950600.1
OG0000024	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1, NP_001000800.1, NP_001000801.1, XP_063122016.1	XP_020958344.1, XP_003130048.2
OG0000024	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2, NP_001000792.1, XP_017451293.1, NP_001001087.2, NP_001000471.1, NP_001000596.1	XP_020958343.1
OG0000024	NP_001000599.1, XP_017451271.1, NP_001000473.1	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2
OG0000026	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1	XP_020935542.1, XP_020936182.1
OG0000026	XP_006257363.1, NP_001102791.1	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1
OG0000027	NP_001007005.1, XP_063123300.1	XP_001928370.3
OG0000027	NP_001011995.1	XP_013843702.1
OG0000027	XP_063119450.1	XP_005655606.1
OG0000027	NP_001019510.1	XP_003126645.3
OG0000027	NP_001099588.1, XP_063132306.1	XP_020920717.1
OG0000027	NP_001035097.1, NP_001019507.1	XP_020929709.1
OG0000027	NP_001037735.1	NP_001038009.1
OG0000028	XP_063126169.1, NP_001000756.1, NP_001001019.1, XP_003749122.1, NP_001000754.1, NP_001000758.1, XP_038952475.1, NP_001000556.1, NP_001396078.1	XP_013849769.1
OG0000028	NP_001000252.1, NP_001396075.1	XP_013849748.1, XP_013849745.1, XP_013849747.1
OG0000028	XP_003749125.1	XP_020941125.1
OG0000028	NP_001000255.1	XP_013849750.2, XP_003353904.1
OG0000029	NP_001000725.1, NP_001001009.1, NP_001000049.1	XP_020925487.1
OG0000029	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2
OG0000031	NP_001001110.1	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1
OG0000031	NP_001001097.1	XP_003123608.1
OG0000031	NP_068632.1	XP_020955480.1
OG0000033	XP_038942584.1, NP_001192277.1	XP_020922339.1, XP_020922337.1
OG0000033	NP_001161136.1	XP_005668688.1
OG0000033	XP_017452644.1, NP_001020282.1	XP_005668681.1
OG0000034	NP_714951.2, XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1, NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2, NP_001009513.1, NP_001009521.1, NP_001009520.1, NP_001009518.2	XP_013842957.2
OG0000035	NP_062056.1	NP_001163988.1
OG0000035	NP_062085.1	NP_001161267.1
OG0000035	NP_112266.1	XP_013838976.1
OG0000035	NP_112406.1	XP_003124328.1, XP_020941706.1
OG0000035	NP_001120921.1	XP_003357976.1
OG0000035	NP_001099879.1	XP_005674537.3
OG0000035	NP_037025.1, XP_006236790.1	XP_020943030.1
OG0000036	NP_114027.2, XP_017445274.1	NP_001302663.1, NP_999579.1, XP_020927835.1
OG0000038	NP_001000932.1, XP_038961558.1, NP_001000677.1, NP_001000931.1, NP_001000682.1, XP_063140372.1	XP_001927724.1, XP_020941136.1, XP_003481008.2
OG0000039	NP_001013908.2	NP_001230363.1
OG0000039	NP_001102589.1	XP_020955779.1
OG0000039	NP_775125.1	NP_001038077.1
OG0000039	NP_954525.2	XP_003122400.2
OG0000039	NP_543158.1	XP_003480860.1
OG0000039	XP_003749686.1	NP_001107168.1
OG0000039	NP_001020846.1	XP_020951690.1
OG0000040	NP_001001078.1	XP_020946908.1
OG0000040	NP_001000993.1	XP_003355697.1
OG0000040	NP_001000424.1, XP_006242382.1	XP_013853443.1
OG0000040	NP_001000423.1	XP_005664233.2
OG0000041	NP_001000318.1, NP_001000315.1	XP_013843095.2
OG0000041	NP_001000312.1, NP_001000673.1, NP_001000316.1, NP_001000930.1	XP_013842752.2, XP_020940716.1
OG0000042	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1	XP_013849950.2
OG0000043	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1
OG0000044	NP_001395688.1	XP_020955509.1
OG0000044	NP_073177.1	XP_020955508.1
OG0000045	NP_036736.1	XP_013836784.2
OG0000045	NP_001414391.1	XP_020921943.1
OG0000045	NP_001093955.1	XP_020921928.1
OG0000045	NP_001128629.1, XP_038942828.1	XP_020921875.1, NP_999301.1
OG0000045	NP_062198.1	XP_020921694.1, NP_001116613.1
OG0000046	XP_006241147.1, NP_001178915.1, XP_006241111.1, NP_695230.1, XP_038934451.1, NP_775147.1	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1
OG0000048	NP_775461.1, XP_008757255.3, NP_446371.1	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1
OG0000048	NP_001029032.1, XP_063131131.1	XP_020953209.1, XP_020953207.1
OG0000049	XP_008763105.3	XP_020955073.1, XP_020955736.1
OG0000049	XP_017455846.3, XP_063132041.1, NP_001407912.1, NP_001395610.1	XP_020929837.1
OG0000050	NP_001000385.1	XP_003122186.1
OG0000050	NP_001000826.1	XP_020931565.1, XP_020931552.1, XP_020941061.1, XP_020931504.1, XP_020937924.1, XP_020940885.1, XP_001926789.1, XP_020941065.1, XP_020937929.1, XP_020937899.1, XP_020937887.1, XP_020937921.1, XP_020937915.1, XP_003122180.1, XP_003353698.3, XP_003122193.2, XP_003122195.1, XP_001927196.5, XP_020931440.1, XP_020937889.1, XP_013849280.2, XP_020940908.1, XP_020931499.1, XP_020941107.1, XP_020931536.1, XP_020937916.1, XP_020937891.1, XP_020940988.1, XP_020937893.1, XP_013849275.1, XP_003353699.2, XP_020937927.1, XP_020931467.1, XP_013849276.2, XP_003122183.3, XP_020937911.1
OG0000050	NP_001000386.1, XP_038961561.1, NP_001000969.1, NP_001001014.1, NP_001000384.1, NP_001000382.1, NP_001000828.1, NP_001000383.1, NP_001000380.1, XP_006234126.1, NP_001000830.1, NP_001000560.1, NP_001000381.1, NP_001000379.1, NP_001000559.1, NP_001000829.1, NP_001000827.1, XP_063140376.1	XP_020937926.1
OG0000051	NP_001128481.1	XP_020921569.1
OG0000051	NP_001400917.1, XP_038939825.1	XP_020930931.1
OG0000051	NP_001414185.1	XP_020921568.1, XP_020921567.1
OG0000051	NP_001414189.1	XP_020935520.1
OG0000051	NP_001008333.1	XP_020930930.1
OG0000051	XP_006257375.1, NP_001413925.1	XP_020936437.1
OG0000052	XP_038935180.1, NP_001013193.1, NP_001264288.1, XP_008763864.1, NP_001020237.1, XP_006242004.3, XP_006241996.1, NP_001128273.1, NP_001413816.1	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2
OG0000054	NP_058775.1	XP_005663291.1, NP_001096150.2
OG0000055	NP_001000216.1	XP_013834548.2
OG0000055	NP_001000209.1, NP_001000211.1	XP_003482552.2
OG0000055	NP_001000213.1, NP_001395676.1, NP_001000734.1, NP_001000946.2	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2
OG0000055	NP_001396077.1	XP_013854347.2, XP_020917933.1
OG0000056	NP_001000347.1, NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1	XP_020938036.1
OG0000057	XP_038939642.1, NP_001012133.1	XP_003133754.1
OG0000057	NP_001029309.1, XP_038939329.1	XP_020931305.1
OG0000057	XP_038939826.1	XP_020931321.1, XP_020931326.1
OG0000058	XP_038936592.1, NP_446149.1	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1
OG0000059	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1, NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1, NP_001000050.1, NP_001000726.1, NP_001000051.1	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1
OG0000060	NP_001013176.1, XP_017446356.1	NP_999516.1, XP_005652470.1
OG0000061	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1	NP_998979.1
OG0000061	XP_063139535.1, NP_001100030.1	XP_005660610.1
OG0000062	NP_036858.1, XP_038951279.1	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1
OG0000063	XP_017449802.1, NP_001102829.1	XP_005656395.2
OG0000064	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2	NP_001038087.1, XP_005667748.1
OG0000065	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1	NP_999115.1, XP_005669619.1
OG0000066	XP_063126203.1, XP_038959284.1, XP_063123871.1, XP_038969229.1, XP_038959993.1, XP_063122447.1, XP_038957233.1, NP_001395929.1, XP_063141356.1, XP_063142937.1, NP_001395925.1, XP_063136502.1, NP_445782.2, XP_063128738.1, XP_063124197.1, XP_063123883.1, XP_063138904.1, XP_063138751.1, XP_038951085.1, XP_063136506.1, NP_001395927.1, NP_001395926.1, NP_001395924.1, XP_063122472.1, XP_063138762.1	XP_003482913.1
OG0000067	NP_001000088.1	XP_020940727.1, XP_020941143.1
OG0000067	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1
OG0000068	NP_001000759.1	XP_020940332.1
OG0000069	XP_038949265.1, NP_001100742.1	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1
OG0000069	NP_001101049.1	XP_020936151.1
OG0000069	NP_570833.1	XP_020955156.1
OG0000069	NP_001013119.1	XP_020955290.1
OG0000070	NP_001289146.1, XP_063143296.1	XP_020918409.1
OG0000071	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1	NP_001188311.1
OG0000072	NP_001025209.1, XP_006231459.1	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1
OG0000073	NP_001000667.1	XP_013842558.2, XP_020937803.1
OG0000073	NP_001001377.1, NP_001001053.1	XP_013843078.2, XP_020956458.1
OG0000074	XP_006229920.1, NP_001099753.1	NP_999018.1, XP_005653705.1
OG0000074	NP_598211.2, XP_063129363.1	XP_013854644.1, NP_999476.1
OG0000075	XP_038955607.1, NP_001013984.1	XP_013841926.1, XP_005673996.1
OG0000075	NP_001395765.1	XP_020935538.1
OG0000075	XP_038956344.1, XP_038956348.1, XP_038956345.1, XP_017457901.1, XP_063136426.1, XP_063136428.1, XP_063136427.1, XP_063136425.1, XP_038956343.1, XP_017457902.1, XP_038956347.1	XP_020936228.1
OG0000076	NP_001012215.1	XP_020940588.1, XP_020940576.1
OG0000077	XP_063140201.1, NP_937765.1, NP_001104764.1	XP_003133549.1
OG0000077	NP_001386203.1	XP_005663911.1
OG0000078	NP_058998.2, XP_006241494.1	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1
OG0000079	XP_006246244.1, NP_110488.1	XP_005653026.1, NP_001072136.1
OG0000080	XP_038943840.1, NP_001102633.1, XP_006231188.3	XP_020940361.1
OG0000081	XP_006239408.1	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1
OG0000082	NP_001103063.1, NP_001103065.1, XP_063135601.1	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1
OG0000084	XP_006232040.1, NP_001414786.1	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1
OG0000085	NP_001000872.1	XP_005652893.1
OG0000085	NP_001000862.1, NP_001000983.1, NP_001001016.1, NP_001000869.1	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3
OG0000086	XP_038961655.1, NP_001019540.1	XP_003122765.1
OG0000086	NP_001413918.1, XP_008767150.1	XP_003133037.1
OG0000086	NP_001101756.2	XP_020922951.1
OG0000087	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1, NP_001395798.1, XP_002727896.1	XP_005657196.2, XP_013845637.2, XP_003358961.3
OG0000088	XP_006248190.1, NP_579855.1	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1
OG0000089	NP_001000326.1, NP_001000328.1, NP_001000654.1, NP_001001056.1, NP_001000327.1, NP_001000664.1, NP_001000658.1	XP_020937107.1, XP_020937786.1
OG0000090	NP_689448.2, XP_063133896.1	NP_001229985.1, XP_020948987.1
OG0000091	NP_001008937.1, NP_001161023.1, NP_001161026.1, XP_038956416.1	XP_003481961.1, XP_003481962.1, XP_003127527.1, XP_005664925.2
OG0000092	NP_001000335.1, NP_001000336.1, NP_001000926.1, NP_001000337.1, XP_006234556.1, XP_063141273.1	XP_020937104.1
OG0000093	NP_001007148.1, XP_006249003.1	XP_020941598.1
OG0000095	NP_001119556.1	XP_020949547.1
