Orthogroup	Rattus_norvegicus	Canis_lupus_familiaris
OG0000016	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1
OG0000017	NP_001000038.1, NP_001001098.1	XP_038402084.1
OG0000018	NP_001389155.1, NP_001389154.1	XP_038402506.1
OG0000018	NP_001101168.1, NP_001395612.1, XP_063133017.1, XP_063133018.1	XP_038417997.1
OG0000018	NP_001395691.1	XP_038440338.1
OG0000018	NP_001013074.1	XP_038440272.1
OG0000019	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1	XP_038435794.1
OG0000019	NP_001000601.1, NP_001000376.1	XP_038445405.1
OG0000020	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1, XP_063130894.1, NP_001093593.1, NP_001070261.1, XP_008757210.1, NP_001406335.1, XP_063139091.1	XP_038383733.1, XP_038381457.1
OG0000021	NP_001000509.1, NP_001001115.1, NP_001000276.1, NP_001000887.1, NP_001000886.1, NP_001000271.1, NP_001000274.1, NP_001000889.1, NP_001000273.1, XP_038954398.1, NP_001000275.1, NP_001000888.1, NP_001000557.1	XP_038439912.1
OG0000022	NP_001032230.1	XP_038386332.1
OG0000022	XP_038953329.1	XP_038386364.1
OG0000022	NP_001014773.1	XP_038386347.1
OG0000022	NP_001032233.1	XP_038386329.1
OG0000022	NP_001032212.1	XP_038386339.1
OG0000022	NP_001032214.1	XP_038386342.1
OG0000022	NP_001032217.1	XP_038386333.1
OG0000022	NP_001032216.1	XP_038386334.1
OG0000022	NP_001032231.1	XP_038386340.1
OG0000023	XP_017445590.1, NP_001388743.1	XP_038383955.1
OG0000023	XP_006229008.1, NP_001099719.2	XP_038384083.1
OG0000023	XP_056841157.1	XP_038381467.1
OG0000024	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1, NP_001000800.1, NP_001000801.1, XP_063122016.1	XP_038391423.1
OG0000024	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2, NP_001000792.1, XP_017451293.1, NP_001001087.2, NP_001000471.1, NP_001000596.1	NP_001376086.1
OG0000024	NP_001000599.1, XP_017451271.1, NP_001000473.1	NP_001376019.1
OG0000026	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1, XP_038444801.1, XP_038445366.1
OG0000026	XP_006257363.1, NP_001102791.1	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	NP_001007005.1, XP_063123300.1	XP_038441743.1
OG0000027	NP_001011995.1	XP_038433464.1
OG0000027	NP_001019510.1	XP_038432130.1
OG0000027	NP_001099588.1, XP_063132306.1	XP_038385540.1
OG0000027	NP_001019507.1	XP_038431894.1, XP_038431882.1
OG0000027	NP_071634.1	NP_001301019.1
OG0000027	NP_001037735.1	XP_038433463.1
OG0000028	XP_063126169.1, NP_001000756.1, NP_001001019.1, XP_003749122.1, NP_001000754.1, NP_001000758.1, XP_038952475.1, NP_001000556.1, NP_001396078.1	NP_001376096.1, NP_001376114.1
OG0000028	NP_001000252.1, NP_001396075.1	NP_001375514.1
OG0000028	XP_003749125.1	NP_001376110.1
OG0000028	NP_001000255.1	NP_001376097.1
OG0000029	NP_001000725.1, NP_001001009.1, NP_001000049.1	NP_001375923.1
OG0000029	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1
OG0000031	NP_001001097.1	XP_038399997.1
OG0000033	XP_038942584.1, NP_001192277.1	XP_038402610.1
OG0000033	NP_001160049.1, XP_038942799.1	XP_038402594.1
OG0000033	XP_017452644.1, NP_001020282.1	XP_038402589.1
OG0000035	NP_062056.1	XP_038435896.1
OG0000035	NP_062085.1	XP_038389880.1
OG0000035	NP_112406.1	NP_001182774.2
OG0000035	NP_001120921.1	NP_001003349.2
OG0000035	NP_001099879.1	XP_038386568.1
OG0000035	NP_037025.1, XP_006236790.1	XP_038417669.1
OG0000036	NP_114027.2, XP_017445274.1	XP_038435140.1, XP_038435141.1, XP_038435139.1
OG0000036	NP_612521.2, XP_038946459.1	NP_001183973.1
OG0000038	NP_001000932.1, XP_038961558.1, NP_001000677.1, NP_001000931.1, NP_001000682.1, XP_063140372.1	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1
OG0000039	NP_001013908.2	XP_038439969.1
OG0000039	NP_001102589.1	XP_038439961.1
OG0000039	NP_775125.1	XP_038409373.1
OG0000039	NP_954525.2	XP_038404584.1
OG0000039	NP_543158.1	XP_038423469.1
OG0000039	NP_640347.2	XP_038393912.1
OG0000039	XP_003749686.1	XP_038428666.1, XP_038428667.1
OG0000039	NP_001020846.1	XP_038399838.1
OG0000040	NP_001001078.1	NP_001375692.1
OG0000040	NP_001000993.1	XP_038433852.1, XP_038433815.1, XP_038433817.1
OG0000040	NP_001000424.1, XP_006242382.1	NP_001375799.1
OG0000040	NP_001000423.1	NP_001375691.1
OG0000041	NP_001000318.1, NP_001000315.1	XP_038420405.1, XP_038420406.1, NP_001375958.1
OG0000041	NP_001000312.1, NP_001000673.1, NP_001000316.1, NP_001000930.1	NP_001376113.1, NP_001376111.1
OG0000042	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1	XP_038424119.1
OG0000043	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1	NP_001375875.1
OG0000044	NP_001395688.1	NP_001361520.1, NP_001361518.1
OG0000044	NP_073177.1	XP_038440355.1
OG0000045	NP_036736.1	NP_001107184.1
OG0000045	NP_001414391.1	XP_038392809.1
OG0000045	NP_001093955.1	NP_001070703.1
OG0000045	NP_001128629.1, XP_038942828.1	NP_001070263.1
OG0000045	NP_062198.1	NP_001070262.1
OG0000046	XP_006241147.1, NP_001178915.1, XP_006241111.1, NP_695230.1, XP_038934451.1, NP_775147.1	XP_038422927.1
OG0000048	NP_775461.1	NP_001106930.1
OG0000048	XP_008757255.3, NP_446371.1	NP_001091015.1
OG0000048	NP_001029032.1, XP_063131131.1	NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	XP_008763105.3	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1
OG0000049	XP_017455846.3, XP_063132041.1, NP_001407912.1, NP_001395610.1	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1
OG0000051	NP_001128481.1	XP_038425970.1
OG0000051	NP_001400917.1, XP_038939825.1	XP_038429926.1
OG0000051	NP_001414185.1	XP_038425967.1
OG0000051	NP_001414189.1	XP_038443974.1
OG0000051	NP_001008333.1	NP_001026988.1
OG0000051	XP_006257375.1, NP_001413925.1	NP_001002979.1
OG0000052	XP_038935180.1, NP_001013193.1, NP_001264288.1, XP_008763864.1, NP_001020237.1, XP_006242004.3, XP_006241996.1, NP_001128273.1, NP_001413816.1	XP_038407502.1, XP_038406617.1
OG0000053	XP_063127035.1	XP_038437063.1
OG0000054	NP_058775.1	XP_038442333.1
OG0000055	NP_001000216.1	XP_038424111.1
OG0000055	NP_001000209.1, NP_001000211.1	NP_001375864.1
OG0000056	NP_001000347.1, NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1	XP_038418408.1
OG0000057	XP_038939642.1, NP_001012133.1	XP_038430031.1
OG0000057	NP_001029309.1, XP_038939329.1	XP_038430057.1
OG0000057	XP_056840605.1	XP_038430066.1, XP_038430065.1
OG0000057	XP_038939826.1	XP_038430019.1
OG0000058	XP_038936592.1, NP_446149.1	NP_001029164.1
OG0000059	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1, NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1, NP_001000050.1, NP_001000726.1, NP_001000051.1	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1
OG0000060	NP_001013176.1, XP_017446356.1	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1	NP_001271390.1
OG0000061	XP_063139535.1, NP_001100030.1	XP_038404743.1
OG0000062	NP_036858.1, XP_038951279.1	XP_038440142.1
OG0000063	XP_017449802.1, NP_001102829.1	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2	NP_001171205.2
OG0000065	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1
OG0000066	XP_063126203.1, XP_038959284.1, XP_063123871.1, XP_038969229.1, XP_038959993.1, XP_063122447.1, XP_038957233.1	XP_038394823.1, XP_038391773.1
OG0000066	XP_063122472.1, XP_063138762.1	XP_038418454.1
OG0000067	NP_001000088.1	XP_038413461.1
OG0000067	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1
OG0000068	NP_001000759.1	NP_001375951.1
OG0000069	XP_038949265.1, NP_001100742.1	XP_038429693.1, XP_038429692.1
OG0000069	NP_570833.1	XP_038401156.1
OG0000069	NP_001013119.1	XP_038401908.1
OG0000070	XP_006238653.1	XP_038414006.1
OG0000071	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1	XP_038418375.1, XP_038418377.1
OG0000072	NP_001025209.1, XP_006231459.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000073	NP_001000667.1	NP_001243375.1
OG0000074	XP_006229920.1, NP_001099753.1	XP_038424692.1, XP_038424721.1
OG0000074	NP_598211.2, XP_063129363.1	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1
OG0000075	XP_038955607.1, NP_001013984.1	XP_038442549.1
OG0000075	NP_001395765.1	XP_038442578.1
OG0000075	XP_038956344.1, XP_038956348.1, XP_038956345.1, XP_017457901.1, XP_063136426.1, XP_063136428.1, XP_063136427.1, XP_063136425.1, XP_038956343.1, XP_017457902.1, XP_038956347.1	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1
OG0000076	NP_001032236.1	XP_038386335.1
OG0000076	NP_001012215.1	XP_038386344.1
OG0000077	XP_038947287.1, NP_001104765.1, XP_038943607.1, XP_063128850.1	XP_038396460.1
OG0000077	XP_063140201.1, NP_937765.1, NP_001104764.1	XP_038434167.1
OG0000077	NP_001386203.1	XP_038433776.1
OG0000078	NP_058998.2, XP_006241494.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	XP_006246244.1, NP_110488.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	XP_038943840.1, NP_001102633.1, XP_006231188.3	XP_038419098.1, XP_038419099.1
OG0000082	NP_001103063.1, NP_001103065.1, XP_063135601.1	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000084	XP_006232040.1, NP_001414786.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000085	NP_001000872.1	XP_038421311.1
OG0000085	NP_001000862.1, NP_001000983.1, NP_001001016.1, NP_001000869.1	NP_001375917.1, XP_038423318.1
OG0000086	XP_038961655.1, NP_001019540.1	XP_038419157.1, XP_038419158.1
OG0000086	NP_001129170.1, XP_038963272.1	XP_038395835.1
OG0000086	NP_001413918.1, XP_008767150.1	XP_038431923.1
OG0000086	NP_001101756.2	XP_038403878.1
OG0000087	NP_001102796.1	XP_038437055.1
OG0000087	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1, NP_001395798.1, XP_002727896.1	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1
OG0000087	NP_001099366.1	XP_038437053.1
OG0000088	XP_006248190.1, NP_579855.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000089	NP_001000326.1, NP_001000328.1, NP_001000654.1, NP_001001056.1, NP_001000327.1, NP_001000664.1, NP_001000658.1	NP_001375994.1, NP_001375937.1
OG0000090	NP_689448.2, XP_063133896.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000092	NP_001000335.1, NP_001000336.1, NP_001000926.1, NP_001000337.1	NP_001375549.1
OG0000092	XP_006234556.1	NP_001375550.1
OG0000093	NP_001007148.1, XP_006249003.1	XP_038395629.1
OG0000095	NP_001119556.1	NP_001003150.1
OG0000095	NP_620181.1	NP_001003149.1
OG0000096	NP_001099418.1	XP_038381766.1
OG0000096	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1	XP_038439954.1, XP_038439955.1, XP_038439957.1
OG0000099	XP_063138868.1, XP_063138928.1, XP_017446862.1	XP_038428913.1, XP_038427754.1
OG0000099	NP_037148.3, XP_006235014.1	XP_038427735.1
OG0000100	NP_112249.2, XP_006239579.1	NP_001003236.1
OG0000100	XP_038945727.1, NP_112299.1	XP_038395171.1
OG0000101	XP_038941022.1	XP_038407694.1, XP_038441038.1
OG0000101	NP_001014041.1, XP_006257281.1	XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	NP_775417.1, XP_003751392.1, NP_001178605.1	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000104	XP_006250671.3	XP_038397375.1
OG0000105	NP_001380791.1, XP_063121754.1	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1
OG0000106	XP_006251278.1	XP_038415502.1
OG0000106	NP_036737.1, XP_038953516.1	XP_038395750.1
OG0000106	NP_001030329.2	NP_001003069.1
OG0000106	XP_038945819.1	XP_038394776.1
OG0000107	NP_001000281.1, XP_063140374.1, NP_001000688.1	NP_001375528.1, NP_001375527.1
OG0000107	NP_001000282.1, NP_001000284.1, NP_001000283.1	NP_001375529.1
OG0000108	XP_038938891.1, NP_476489.1	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1
OG0000109	NP_001000581.1	NP_001375457.1
OG0000109	NP_001000414.1	NP_001375847.1
OG0000109	NP_001000897.1	XP_038407563.1, NP_001375456.1
OG0000110	XP_006246738.1, NP_058885.1	XP_038392542.1, XP_038392543.1
OG0000110	NP_036635.1, XP_006246641.1	XP_038392566.1
OG0000110	NP_071788.2, XP_008766090.1	XP_038392540.1
OG0000111	XP_038953764.1, XP_038953777.1, XP_038953753.1, XP_038952348.1, XP_038952346.2	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1
OG0000113	XP_063136324.1, XP_017446718.1, NP_001395797.1, NP_001388119.1, XP_038955979.1, NP_001316085.1	XP_038443886.1, XP_038443837.1, XP_038443882.1, XP_038443881.1, XP_038399803.1, XP_038443879.1, XP_038443880.1
OG0000114	NP_001103345.1	NP_001104269.1
OG0000114	NP_149086.1, XP_063122697.1	NP_001106640.1
OG0000114	XP_038940147.1, NP_001103027.1, NP_775411.1	XP_038441037.1, XP_038441509.1
OG0000114	NP_001074405.1	NP_001106641.1
OG0000115	XP_038942837.1, NP_077064.1	XP_038402927.1, XP_038402930.1, XP_038402928.1, XP_038402929.1
OG0000115	XP_063125885.1	NP_001238856.2
OG0000116	XP_006233397.1	XP_038437940.1
OG0000116	NP_001380701.1	XP_038386227.1
OG0000116	XP_017457176.2	XP_038407551.1, XP_038389893.1
OG0000117	NP_001000119.1, NP_001000692.1, NP_001000118.1, NP_001000120.1, NP_001000689.1	XP_038412295.1
OG0000118	NP_001300749.1, XP_006257769.1	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1
OG0000119	NP_001032362.1, NP_071792.1, NP_001032363.1, XP_017448364.1, NP_001032364.1	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1
OG0000120	NP_001386724.1	XP_038395395.1
OG0000121	XP_006253089.1, NP_001100779.1	XP_038415793.1
OG0000122	XP_006228852.1, NP_076454.1	XP_038385259.1
OG0000122	XP_063126240.1, XP_063141587.1, NP_058704.1, XP_063144654.1	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1
OG0000122	XP_017455915.3, XP_063126092.1, XP_063138853.1	XP_038406914.1, XP_038408058.1
OG0000124	XP_006257023.1, NP_036793.2	XP_038442694.1
OG0000124	XP_006232343.1, NP_001041350.1	NP_001041587.1
OG0000125	XP_063125646.1, NP_001382688.1	XP_038401950.1
