Orthogroup	Rattus_norvegicus	Myotis_lucifugus
OG0000005	NP_001001365.1, NP_001000938.1, NP_001001382.1, NP_001001385.1, NP_001001361.1	XP_006101384.1, XP_006101386.2, XP_014322144.1, XP_006101385.1, XP_006101387.1, XP_023620581.1, XP_006101388.1, XP_006101389.1
OG0000005	NP_001000587.1, NP_001001360.1, NP_001000703.1	XP_006101391.1, XP_006109268.1
OG0000005	NP_001000700.1, NP_001001356.1	XP_006101365.1
OG0000005	NP_001006597.1, NP_001001357.2, NP_001410141.1, XP_056840442.1, NP_001382514.1	XP_006101366.1, XP_006101367.1
OG0000005	NP_001000061.1	XP_006101378.1
OG0000005	NP_001000055.1	XP_006101368.1
OG0000006	XP_006244762.1	XP_023606226.1, XP_023601033.1, XP_023611373.1, XP_023602675.1, XP_023605007.1, XP_023605031.1, XP_023620624.1, XP_023606225.1, XP_023603621.1, XP_023602676.1, XP_023602721.1, XP_023607947.1, XP_023605259.1, XP_023604781.1
OG0000006	XP_063120688.1, XP_063120689.1, XP_063120693.1, XP_063120692.1, XP_063120691.1, XP_063120732.1, XP_063120731.1, XP_063120734.1, XP_063120733.1, XP_063120690.1, XP_063120687.1, XP_063120686.1	XP_023611739.1
OG0000006	XP_038956947.1, XP_038969294.2, XP_063120484.1, XP_038956651.1, XP_063136755.1, XP_063141299.1, XP_038959293.1, XP_063118789.1, XP_063136877.1, XP_063136617.1, XP_063132198.1	XP_023604080.1, XP_014306381.1, XP_014307657.2, XP_014305168.1, XP_023604957.1, XP_023604864.1
OG0000008	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1	XP_023603086.1, XP_023603088.1, XP_023609052.1
OG0000008	XP_017457697.2	XP_023608739.1
OG0000008	XP_006248929.1, NP_001178593.1	XP_014318909.1
OG0000008	XP_221917.5, NP_001414121.1	XP_023617197.1
OG0000008	XP_063136497.1	XP_023616724.1
OG0000008	NP_001020936.1, XP_063134265.1	XP_023618878.1
OG0000009	NP_001008834.1, XP_063135479.1, NP_001008845.1, NP_001008841.1, XP_038954892.1, XP_063135474.1, NP_001008838.1, NP_001008836.1, XP_063135475.1, XP_038954887.1, NP_001008842.1, NP_001008839.1, XP_063135491.1, XP_063135177.1, NP_001029158.1, XP_063135032.1, NP_001008827.1, XP_063135457.1, NP_001008833.1, XP_063135487.1, NP_001008830.1, XP_038954604.1, NP_001008840.1, NP_001008832.1, XP_038954582.1, XP_063135164.1, NP_001008835.1, NP_001008829.1, XP_063135035.1	XP_023603920.1, XP_023603918.1
OG0000010	NP_001000513.1, NP_001001064.1	XP_014313946.1
OG0000010	XP_038962000.1, NP_001000627.1	XP_006091995.1
OG0000010	XP_230251.8, XP_038962510.1, NP_001000570.1, NP_001001378.1	XP_006092150.1
OG0000011	XP_001055818.2	XP_006109699.2
OG0000011	NP_001102593.2	XP_006086528.1
OG0000011	NP_001102865.1	XP_023607814.1
OG0000011	NP_001108076.1	XP_006086520.1
OG0000011	NP_001395838.1	XP_023607813.1
OG0000011	NP_001014783.1	XP_006086527.1
OG0000011	NP_001014804.1	XP_023607816.1
OG0000011	NP_001391845.1	XP_006086523.2
OG0000011	NP_001108074.2, NP_001102860.1, NP_001395766.1	XP_006109698.1
OG0000011	NP_001395668.1	XP_006086525.1
OG0000011	NP_001395844.1	XP_023607817.1
OG0000011	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2	XP_006086526.1
OG0000011	NP_001403744.1	XP_006086677.1
OG0000012	NP_001037711.1, XP_063136102.1	XP_006085710.1
OG0000012	XP_003752106.1	XP_006085740.1, XP_014308590.1
OG0000012	NP_001395772.1, NP_001171154.1	XP_006085738.1
OG0000012	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1
OG0000013	NP_001000881.1	XP_006102505.1
OG0000015	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1, XP_038938790.1, XP_002729926.5	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1
OG0000017	NP_001000492.1	XP_014315670.1
OG0000018	NP_001389154.1	XP_014301359.1
OG0000018	NP_001101168.1, NP_001395612.1, XP_063133017.1, XP_063133018.1	XP_006095231.1
OG0000018	NP_001395691.1	XP_014303293.1, XP_014303295.1, XP_006105758.1
OG0000018	NP_001013074.1	XP_006107726.1
OG0000018	XP_063118698.1	XP_006091951.1, XP_006100057.1, XP_006086104.1, XP_023605537.1, XP_014303528.1
OG0000019	NP_001000602.1, NP_001000580.1, XP_063141268.1, NP_001000915.1, NP_001000377.2, NP_001000606.1, NP_001000917.1, NP_001000375.1, NP_001000603.1	XP_006087592.3
OG0000019	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1	XP_006087532.1
OG0000019	XP_017447447.1, NP_001000607.1	XP_006087533.1
OG0000019	NP_001000601.1, NP_001000376.1	XP_014310270.1
OG0000020	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1	XP_023620544.1, XP_023603758.1, XP_023602862.1, XP_023602866.1, XP_023602864.1, XP_014304919.1, XP_014322076.2
OG0000020	NP_001070261.1, XP_008757210.1	XP_023602217.1
OG0000020	NP_001406335.1, XP_063139091.1	XP_023605092.1, XP_023604823.1, XP_023602216.1, XP_023603178.1, XP_023603171.1, XP_023603172.1, XP_014304057.1, XP_014304063.1, XP_023602220.1
OG0000022	XP_008770293.3	XP_006086666.1
OG0000022	NP_001032230.1	XP_006086504.1
OG0000022	NP_001032414.1	XP_014306348.1, XP_006086506.1
OG0000022	XP_038953329.1	XP_023607764.1
OG0000022	NP_001014773.1	XP_006086502.1
OG0000022	NP_001032235.1	XP_006086509.1
OG0000022	NP_001032233.1	XP_006086507.3
OG0000022	NP_001032212.1	XP_006086508.2
OG0000022	NP_001032214.1	XP_023607849.1
OG0000022	NP_001032217.1	XP_023607811.1
OG0000022	NP_001032216.1	XP_023607808.1
OG0000023	XP_017445590.1, NP_001388743.1	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2
OG0000026	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1	XP_006087848.1, XP_006087846.2
OG0000026	XP_006257363.1, NP_001102791.1	XP_023612671.1
OG0000027	XP_063123300.1	XP_006082612.1
OG0000027	NP_001011995.1	XP_006109687.1, XP_006085845.1
OG0000027	XP_063119450.1	XP_006099588.1
OG0000027	NP_001019510.1	XP_006085609.1
OG0000027	NP_001099588.1, XP_063132306.1	XP_023609366.1
OG0000027	NP_001035097.1, NP_001019507.1	XP_014320502.1
OG0000027	XP_063120275.1, NP_071634.1	XP_006091577.1
OG0000027	NP_001037735.1	XP_006091578.1
OG0000028	NP_001000252.1, NP_001396075.1	XP_014313930.1, XP_006092090.1
OG0000028	XP_003749125.1	XP_014313931.1
OG0000028	NP_001000255.1	XP_014313929.1
OG0000029	NP_001000725.1, NP_001001009.1, NP_001000049.1	XP_014316275.1
OG0000031	NP_001001097.1	XP_006100279.1
OG0000033	NP_001160049.1, XP_038942799.1	XP_006108023.2
OG0000033	XP_017452644.1, NP_001020282.1	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1
OG0000033	NP_001395662.1, XP_038943714.1, XP_017453231.1, NP_001189392.1	XP_014304527.1
OG0000035	NP_062056.1	XP_023608661.1
OG0000035	NP_112266.1	XP_006096684.1
OG0000035	NP_112406.1	XP_006093229.1
OG0000035	NP_001396275.1, NP_001120921.1, XP_063133716.1, XP_063133717.1, XP_063133715.1	XP_006107764.1
OG0000035	NP_001099879.1	XP_023604685.1
OG0000035	NP_037025.1, XP_006236790.1	XP_006096839.1
OG0000036	NP_612521.2, XP_038946459.1	XP_006090066.1
OG0000038	NP_001000932.1, XP_038961558.1, NP_001000677.1, NP_001000931.1, NP_001000682.1, XP_063140372.1	XP_006108449.1
OG0000039	NP_001013908.2	XP_014308601.2
OG0000039	NP_543158.1	XP_006101176.1
OG0000039	NP_640347.2	XP_023602750.1
OG0000039	XP_003749686.1	XP_023600742.1
OG0000040	NP_001001078.1, NP_001000993.1, NP_001000424.1, XP_006242382.1, NP_001000423.1	XP_014313682.1, XP_006091633.1
OG0000041	NP_001000318.1, NP_001000315.1	XP_006091988.2
OG0000041	NP_001000312.1, NP_001000673.1, NP_001000316.1, NP_001000930.1	XP_014313940.2, XP_006092121.1
OG0000042	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1
OG0000043	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1
OG0000044	NP_001395688.1	XP_014303412.1, XP_006105898.1
OG0000044	NP_073177.1	XP_014303302.1
OG0000045	NP_036736.1	XP_023619132.1
OG0000045	NP_001414391.1	XP_023619120.1
OG0000045	NP_001093955.1	XP_006099789.1, XP_023619123.1
OG0000045	NP_001128629.1, XP_038942828.1	XP_023619122.1, XP_006099792.1
OG0000045	NP_062198.1	XP_023619124.1
OG0000046	XP_006241147.1, NP_001178915.1, XP_006241111.1, NP_695230.1, XP_038934451.1, NP_775147.1	XP_023619063.1
OG0000048	NP_775461.1, XP_008757255.3, NP_446371.1	XP_006102709.1, XP_014323472.2, XP_023604189.1
OG0000048	NP_001029032.1, XP_063131131.1	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1
OG0000049	XP_008763105.3	XP_006091104.2
OG0000049	XP_017455846.3, XP_063132041.1, NP_001407912.1, NP_001395610.1	XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1
OG0000050	NP_001000385.1	XP_006105691.1
OG0000050	NP_001000826.1	XP_006105690.1, XP_014303234.1
OG0000051	NP_001128481.1	XP_014309680.1
OG0000051	NP_001400917.1, XP_038939825.1	XP_023614891.1
OG0000051	NP_001414185.1	XP_014309679.1
OG0000051	NP_001414189.1	XP_023614431.1
OG0000051	NP_001008333.1	XP_023615229.1, XP_006108950.2
OG0000051	XP_006257375.1, NP_001413925.1	XP_006082308.1
OG0000052	XP_038935180.1, NP_001013193.1, NP_001264288.1, XP_008763864.1, NP_001020237.1, XP_006242004.3, XP_006241996.1, NP_001128273.1, NP_001413816.1	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1
OG0000054	NP_058775.1	XP_006108306.2, XP_023604128.1, XP_014305777.1
OG0000055	NP_001000213.1, NP_001395676.1, NP_001000734.1, NP_001000946.2	XP_006089756.1
OG0000055	NP_001396077.1	XP_006089754.1
OG0000056	NP_001000347.1, NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1	XP_006091994.1
OG0000057	XP_038939642.1, NP_001012133.1	XP_023618012.1
OG0000057	NP_001029309.1, XP_038939329.1	XP_023617871.1
OG0000058	XP_038936592.1, NP_446149.1	XP_006107133.1
OG0000059	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1, NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1, NP_001000050.1, NP_001000726.1, NP_001000051.1	XP_006094765.2
OG0000060	NP_001013176.1, XP_017446356.1	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1
OG0000061	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1	XP_023608990.1, XP_014310721.2, XP_014310723.1
OG0000062	NP_036858.1, XP_038951279.1	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1
OG0000063	XP_017449802.1, NP_001102829.1	XP_023611602.1
OG0000064	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1
OG0000065	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1	XP_014303917.1, XP_006083485.1
OG0000066	XP_063141356.1, XP_063142937.1	XP_006098324.1
OG0000066	NP_001395924.1	XP_006098323.1
OG0000069	XP_038949265.1, NP_001100742.1	XP_006095089.1
OG0000069	NP_001101049.1	XP_023608740.1
OG0000069	NP_001099812.1, XP_006229575.1	XP_023608761.1
OG0000069	NP_570833.1	XP_006097691.1
OG0000069	NP_001013119.1	XP_006100567.3
OG0000070	NP_001071119.2, XP_006238653.1	XP_023608440.1
OG0000071	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1
OG0000072	NP_001025209.1, XP_006231459.1	XP_014312406.1
OG0000073	NP_001000667.1	XP_006092130.1
OG0000074	XP_006229920.1, NP_001099753.1	XP_006094556.1, XP_023614505.1, XP_014316200.1
OG0000074	NP_598211.2, XP_063129363.1	XP_023614501.1
OG0000075	XP_038955607.1, NP_001013984.1	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1
OG0000075	NP_001395765.1	XP_006087859.1, XP_006087851.1, XP_006087855.1, XP_014310450.2
OG0000075	XP_038956344.1, XP_038956348.1, XP_038956345.1, XP_017457901.1, XP_063136426.1, XP_063136428.1, XP_063136427.1, XP_063136425.1, XP_038956343.1, XP_017457902.1, XP_038956347.1	XP_006106919.1, XP_006106918.1
OG0000076	NP_001032236.1	XP_014306349.1
OG0000076	NP_001012215.1	XP_006086511.1
OG0000077	XP_038947287.1, NP_001104765.1, XP_038943607.1, XP_063128850.1, XP_063140201.1, NP_937765.1, NP_001104764.1	XP_006083143.1
OG0000077	NP_001386203.1	XP_006095857.1
OG0000078	NP_058998.2, XP_006241494.1	XP_006093589.1
OG0000079	XP_006246244.1, NP_110488.1	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1
OG0000080	XP_038943840.1, NP_001102633.1, XP_006231188.3	XP_023604822.1, XP_006108589.1, XP_023604821.1
OG0000082	NP_001103063.1, NP_001103065.1, XP_063135601.1	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1
OG0000084	XP_006232040.1, NP_001414786.1	XP_014316904.1, XP_014316906.1, XP_014316905.1
OG0000085	NP_001000872.1	XP_006102503.2
OG0000085	NP_001000862.1, NP_001000983.1, NP_001001016.1, NP_001000869.1	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1
OG0000086	XP_038961655.1, NP_001019540.1	XP_023612450.1
OG0000086	NP_001413918.1, XP_008767150.1	XP_014320496.1
OG0000086	NP_001101756.2	XP_006092276.1
OG0000087	NP_001102796.1, XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1, NP_001395798.1, XP_002727896.1, NP_001099366.1	XP_006107099.2
OG0000088	XP_006248190.1, NP_579855.1	XP_023620812.1
OG0000090	NP_689448.2, XP_063133896.1	XP_023602041.1
OG0000092	XP_063141273.1	XP_023612296.1
OG0000093	NP_001007148.1, XP_006249003.1	XP_023603971.1, XP_014304922.1
OG0000095	NP_001119556.1	XP_023603269.1
OG0000095	NP_620181.1	XP_006106789.1
OG0000096	NP_001099418.1	XP_006087239.1
OG0000096	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1	XP_006085768.1, XP_023607165.1, XP_023607164.1
OG0000099	NP_037148.3, XP_006235014.1	XP_023610089.1
OG0000100	NP_112249.2, XP_006239579.1	XP_023604015.1
OG0000100	XP_038945727.1, NP_112299.1	XP_006081076.1
OG0000101	XP_038941022.1	XP_006102598.1
OG0000101	NP_001014041.1, XP_006257281.1	XP_006084736.1
OG0000102	NP_775417.1, XP_003751392.1, NP_001178605.1	XP_006103626.2, XP_006103624.1
OG0000103	NP_001103370.1, XP_063132700.1	XP_014311038.1
OG0000104	NP_001292190.1, XP_006233486.1, XP_038959792.1, NP_001396037.1	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1
OG0000104	XP_006250671.3	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1
OG0000105	NP_001380791.1, XP_063121754.1	XP_014314667.1
OG0000106	XP_006251278.1	XP_006106865.1
OG0000106	NP_036737.1, XP_038953516.1	XP_006103520.1
OG0000106	NP_001030329.2	XP_006099091.1
OG0000106	XP_038945819.1	XP_014310895.1
OG0000107	NP_001000281.1, XP_063140374.1, NP_001000688.1	XP_006092103.1
OG0000107	NP_001000282.1, NP_001000284.1, NP_001000283.1	XP_023612356.1
OG0000108	XP_038938891.1, NP_476489.1	XP_006083067.1
OG0000109	NP_001000581.1	XP_006102782.1
OG0000109	NP_001000414.1	XP_006102760.1
OG0000109	NP_001000897.1	XP_006102783.1, XP_006102784.1
OG0000110	XP_006246738.1, NP_058885.1	XP_006105151.1
OG0000110	NP_036635.1, XP_006246641.1	XP_006108001.1
OG0000110	NP_071788.2, XP_008766090.1	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1
OG0000111	XP_038953764.1, XP_038953777.1, XP_038953753.1, XP_038952348.1, XP_038952346.2	XP_023603133.1
OG0000113	XP_063136324.1, XP_017446718.1, NP_001395797.1, NP_001388119.1, XP_038955979.1, NP_001316085.1	XP_023614621.1, XP_023614629.1
OG0000114	NP_149086.1, XP_063122697.1, XP_038940147.1, NP_001103027.1, NP_775411.1	XP_023615099.1
OG0000114	NP_001074405.1, NP_264077.1	XP_023615102.1
OG0000115	XP_017450124.1	XP_006091570.1
OG0000115	XP_063125885.1, NP_071963.1, NP_001400967.1, NP_001400966.1	XP_014321084.1
OG0000116	NP_001380701.1	XP_006086570.1
OG0000116	XP_017457176.2	XP_014319941.1
OG0000118	NP_001300749.1, XP_006257769.1	XP_014311373.1, XP_023609603.1, XP_023609604.1
OG0000119	NP_001032362.1, NP_071792.1, NP_001032363.1, XP_017448364.1, NP_001032364.1	XP_014322039.1
OG0000120	NP_001386724.1	XP_023617223.1
OG0000121	XP_006253089.1, NP_001100779.1	XP_023616611.1, XP_023616613.1, XP_023616612.1
OG0000122	XP_006228852.1, NP_076454.1	XP_023618125.1
OG0000122	XP_063126240.1, XP_063141587.1, NP_058704.1, XP_063144654.1	XP_023605732.1
OG0000123	XP_003750902.1	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1
OG0000125	XP_063125646.1, NP_001382688.1	XP_006095004.1
OG0000125	NP_001008757.1, NP_001008819.1, XP_063125644.1, NP_001008817.2	XP_006095005.1, XP_006095008.1, XP_006095006.1
OG0000125	NP_001008758.1	XP_006095007.1
OG0000126	XP_063121264.1, NP_001136416.1	XP_023601914.1
OG0000127	XP_006233373.1, NP_001014065.1	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1
OG0000128	NP_598238.2	XP_023602430.1
OG0000128	NP_001100823.1, XP_038951630.1, XP_008769880.1, NP_001258143.1	XP_023602433.1
OG0000130	NP_001001027.1, NP_001001272.1	XP_006094605.1
OG0000130	NP_001000153.1, NP_001001273.1	XP_006094607.1
OG0000131	NP_001000551.1, NP_001000195.1, NP_001000199.1, NP_001000736.1, NP_001000194.1, NP_001000197.1, NP_001001018.1, NP_001000192.1, NP_001000193.1, NP_001000191.1, NP_001000198.1	XP_006089739.1, XP_006108842.1
OG0000132	NP_077051.1, XP_038965791.1	XP_006084467.1
OG0000133	NP_001008339.2, XP_038947738.1	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1
OG0000134	XP_006237389.1	XP_006084217.2
OG0000135	XP_008761712.1, NP_695222.2	XP_023607667.1
OG0000136	NP_001019512.1, XP_006237901.1	XP_023606748.1
OG0000137	NP_001000847.1	XP_006094818.1
OG0000137	NP_001102817.1	XP_006094801.1
OG0000138	NP_001000133.1, XP_063125346.1, NP_001001279.1	XP_006094594.1
OG0000138	NP_001001284.1	XP_006094665.1
OG0000142	NP_001014036.1, XP_006255172.1	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1
OG0000145	XP_038936909.1, NP_852051.2	XP_006096700.1
OG0000146	NP_001395740.1, XP_038966867.1, XP_038966864.1, XP_063117331.1, XP_038966866.1, XP_038966865.1	XP_006105955.1, XP_023602559.1
OG0000147	NP_445741.1, NP_742074.2, NP_001139318.1, NP_775120.1	XP_023617290.1, XP_023603880.1, XP_023603879.1
OG0000149	NP_036638.1, XP_017444264.1	XP_023600635.1
OG0000149	NP_036637.1	XP_023616468.1, XP_014306422.2
OG0000149	NP_036636.1	XP_023617009.1
OG0000149	XP_017454251.1, NP_001257959.1, NP_074039.1	XP_006096963.1
OG0000151	XP_003750921.1	XP_006101983.2
OG0000151	XP_220775.3, XP_063126200.1	XP_023599168.1, XP_023599167.1, XP_023605154.1
OG0000151	NP_001013992.1, XP_006247060.1	XP_023599174.1
OG0000153	NP_001000702.1	XP_006101380.1, XP_006101379.1
OG0000157	NP_787032.1, XP_038936676.1, XP_038956056.1	XP_006089394.1
OG0000158	NP_001263406.1	XP_014315308.1
OG0000158	XP_038938816.2, XP_063136503.1, XP_003751319.1	XP_014323398.1, XP_006094724.1
OG0000159	NP_001001100.1, NP_001001103.1, NP_001001102.1, NP_001001101.1, NP_001001099.1, NP_001001104.1, NP_001000496.1	XP_014316276.1, XP_014306719.1, XP_014316274.1
OG0000160	NP_037007.1	XP_006102266.1
OG0000161	NP_543159.1, NP_067700.2, NP_598242.1, XP_008761327.1, NP_072157.1, XP_063141453.1, NP_543160.1, NP_001166920.1, XP_006236861.1, XP_006236880.1	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1
OG0000163	NP_569106.1	XP_014322276.1
OG0000163	XP_063143077.1, NP_036894.3, XP_063121014.1	XP_023620683.1
OG0000164	XP_038945796.1	XP_006086410.1
OG0000165	XP_017456046.1, NP_001100828.1	XP_014309436.1, XP_023607965.1
OG0000166	XP_017452097.1, NP_001102556.1	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1
OG0000167	NP_001020057.1, XP_008757972.1	XP_006103113.1, XP_023600145.1
OG0000168	XP_038964549.1	XP_006109407.1
OG0000168	NP_001071060.1	XP_014306650.1
OG0000170	NP_612522.2, XP_063133615.1	XP_014312153.1
OG0000171	XP_063136246.1, XP_038966898.1, NP_001395896.1, XP_038967446.1, NP_001100247.1, XP_038964874.2, XP_038952596.1, XP_063141172.1, NP_113897.2, NP_001395785.1, XP_038956745.1	XP_006100015.1
OG0000172	NP_001388944.1	XP_023606738.1
OG0000172	XP_006227916.1, NP_001100929.1	XP_023613986.1
OG0000173	XP_038954280.1, NP_001128167.1	XP_006084433.1, XP_014307292.1, XP_023605848.1, XP_023605849.1
OG0000174	NP_001395768.1, NP_001389524.1, NP_001388820.1, XP_063138842.1, NP_001388815.1, NP_001389513.1, XP_038959262.1	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1
OG0000175	NP_001101223.1, XP_017447211.1	XP_023619605.1
OG0000176	NP_599157.2	XP_023612325.1
OG0000176	XP_038935811.1, NP_001119750.1	XP_023612302.1
OG0000176	NP_001009648.1, XP_063143048.1, NP_001399482.1	XP_023612290.1, XP_006091903.1, XP_014313981.1, XP_023612322.1, XP_023612323.1, XP_023612324.1, XP_006091904.1
