Orthogroup	Rattus_norvegicus	Urocitellus_parryii
OG0000010	NP_001001067.1	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1
OG0000011	NP_001395834.1	XP_026240285.1
OG0000011	XP_001055818.2	XP_026240157.1
OG0000011	NP_001102593.2	XP_026240169.1
OG0000011	NP_001102865.1	XP_026240287.1
OG0000011	NP_001395838.1	XP_026240286.1
OG0000011	NP_001014804.1, NP_001391845.1	XP_026240203.1
OG0000011	NP_001108074.2, NP_001102860.1, NP_001395766.1	XP_026240223.1
OG0000011	NP_001395668.1	XP_026240234.1
OG0000011	NP_001395844.1	XP_026240156.1
OG0000011	NP_001014779.1, NP_001014780.1, NP_001108075.1, XP_017456388.1, NP_001108073.1, NP_001395689.1, NP_775122.2	XP_026240283.1, XP_026240273.1, XP_026240279.1
OG0000012	NP_001037711.1, XP_063136102.1	XP_026267998.1
OG0000012	XP_003752106.1	XP_026265286.1
OG0000012	NP_001395772.1, NP_001171154.1	XP_026267996.1
OG0000012	NP_001102837.1, XP_063136334.1, NP_001395795.1, NP_001395776.1, XP_038956259.1, XP_063136443.1, XP_063136444.1	XP_026265287.1
OG0000013	NP_001000881.1	XP_026267604.1
OG0000013	NP_001000883.1	XP_026267644.1, XP_026237045.1, XP_026267600.1, XP_026267650.1, XP_026267603.1, XP_026267599.1, XP_026267602.1, XP_026267601.1, XP_026267605.1, XP_026267613.1, XP_026267606.1, XP_026267652.1
OG0000013	NP_001000433.1, NP_001000874.1, NP_001000876.1	XP_026267656.1
OG0000013	XP_017451017.1, NP_001000432.1, NP_001000429.1	XP_026267655.1, XP_026267654.1
OG0000014	XP_006228239.1, XP_008757305.3, NP_001178549.1	XP_026238215.1
OG0000014	XP_038956264.1	XP_026235497.1
OG0000015	NP_001406638.1	XP_026238401.1
OG0000015	NP_001000864.1, XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1	XP_026237057.1
OG0000015	XP_038938790.1, XP_002729926.5	XP_026237048.1
OG0000016	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1
OG0000017	NP_999990.1, NP_001006598.1, NP_001403703.1, NP_775455.1, NP_999987.1, NP_999989.1, NP_001000494.1, XP_038942452.1, NP_001000980.1, NP_001000529.2, NP_999988.1, NP_001000858.1, NP_999995.1, NP_001000979.1, NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1	XP_026241043.1, XP_026241097.1
OG0000017	NP_001000387.1, NP_064491.1	XP_026242115.1
OG0000017	NP_001000492.1	XP_026269685.1
OG0000018	NP_001389154.1	XP_026261538.1
OG0000018	NP_001395612.1, XP_063133017.1	XP_026263466.1
OG0000018	XP_063133018.1	XP_026263454.1
OG0000018	NP_001103112.1	XP_026237964.1
OG0000019	NP_001000602.1, NP_001000580.1, XP_063141268.1, NP_001000915.1, NP_001000377.2, NP_001000606.1, NP_001000917.1, NP_001000375.1, NP_001000603.1	XP_026237322.1, XP_026237907.1, XP_026237350.1
OG0000019	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1	XP_026237345.1
OG0000019	XP_017447447.1, NP_001000607.1	XP_026237347.1
OG0000019	NP_001000604.1	XP_026237352.1
OG0000019	NP_001000601.1, NP_001000376.1	XP_026237905.1
OG0000020	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1	XP_026238549.1, XP_026237159.1
OG0000021	NP_001000557.1	XP_026238466.1
OG0000022	XP_008770293.3	XP_026240262.1
OG0000022	NP_001032230.1	XP_026240150.1
OG0000022	NP_001014773.1	XP_026240155.1
OG0000022	NP_001032233.1	XP_026240267.1, XP_026240268.1
OG0000022	NP_001032212.1	XP_026240151.1
OG0000022	NP_001032214.1	XP_026240264.1
OG0000022	NP_001032217.1	XP_026240207.1
OG0000022	NP_001032216.1	XP_026240188.1
OG0000022	NP_001032231.1	XP_026240152.1
OG0000024	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1	XP_026236673.1, XP_026258497.1
OG0000024	NP_001000800.1, NP_001000801.1, XP_063122016.1	XP_026236675.1
OG0000024	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2, NP_001000792.1, XP_017451293.1, NP_001001087.2, NP_001000471.1, NP_001000596.1	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1
OG0000024	NP_001000599.1, XP_017451271.1, NP_001000473.1	XP_026236679.1, XP_026236681.1
OG0000026	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1	XP_026238000.1
OG0000026	XP_006257363.1, NP_001102791.1	XP_026258673.1
OG0000027	NP_001007005.1, XP_063123300.1	XP_026246086.1
OG0000027	NP_001011995.1	XP_026262798.1
OG0000027	XP_063119450.1	XP_026257455.1
OG0000027	NP_001019510.1	XP_026235932.1
OG0000027	NP_001099588.1, XP_063132306.1	XP_026247615.1
OG0000027	NP_071634.1	XP_026262797.1
OG0000027	NP_001037735.1	XP_026262767.1
OG0000028	NP_001000758.1, XP_038952475.1, NP_001000556.1	XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1
OG0000028	NP_001396078.1	XP_026262309.1
OG0000028	NP_001000252.1, NP_001396075.1	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1
OG0000028	XP_003749125.1	XP_026262354.1, XP_026262314.1, XP_026262353.1
OG0000028	NP_001000255.1	XP_026262305.1
OG0000029	NP_001000725.1, NP_001001009.1, NP_001000049.1	XP_026238363.1, XP_026237985.1
OG0000029	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1
OG0000031	NP_001001110.1	XP_026238465.1
OG0000031	NP_068632.1	XP_026270394.1
OG0000033	XP_038942577.1, NP_001161757.1, NP_001161756.1, XP_003751005.2, XP_002727889.3, XP_038942115.1, XP_038943721.1, XP_577143.3, XP_038942584.1, NP_001192277.1	XP_026238436.1
OG0000033	NP_001160049.1, XP_038942799.1	XP_026260557.1
OG0000033	NP_001161136.1	XP_026238435.1
OG0000034	NP_714951.2	XP_026238302.1, XP_026237958.1, XP_026238300.1, XP_026237374.1, XP_026237375.1, XP_026236419.1, XP_026237933.1
OG0000034	XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1, NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2, NP_001009513.1, NP_001009521.1, NP_001009520.1, NP_001009518.2	XP_026238249.1, XP_026237934.1, XP_026237957.1, XP_026237935.1, XP_026237936.1, XP_026237146.1
OG0000035	NP_062056.1	XP_026247160.1
OG0000035	NP_062085.1	XP_026268236.1, XP_026268245.1
OG0000035	NP_112266.1	XP_026236885.1
OG0000035	NP_001099879.1	XP_026241721.1
OG0000035	NP_037025.1, XP_006236790.1	XP_026253217.1
OG0000036	NP_001406456.1, NP_001258283.1	XP_026238486.1
OG0000036	XP_038952632.1, NP_058854.1, XP_038961177.2, XP_038957345.2, XP_063136433.1, XP_063137106.1, NP_001013926.2, XP_063136421.1	XP_026237203.1, XP_026237204.1, XP_026237205.1, XP_026237207.1, XP_026238032.1
OG0000038	NP_001000932.1	XP_026236227.1
OG0000038	XP_038961558.1, NP_001000677.1	XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1
OG0000039	NP_001013908.2, NP_001102589.1	XP_026262914.1
OG0000039	NP_775125.1	XP_026270091.1
OG0000039	NP_954525.2	XP_026251210.1
OG0000039	NP_543158.1	XP_026260187.1
OG0000039	XP_003749686.1	XP_026268040.1
OG0000039	NP_001020846.1	XP_026271275.1
OG0000040	NP_001001078.1	XP_026256465.1
OG0000040	NP_001000993.1	XP_026256463.1
OG0000040	NP_001000423.1	XP_026256472.1
OG0000041	NP_001000318.1, NP_001000315.1	XP_026237394.1, XP_026237402.1
OG0000041	NP_001000312.1	XP_026237390.1, XP_026237391.1
OG0000041	NP_001000673.1	XP_026237894.1
OG0000041	NP_001000316.1, NP_001000930.1	XP_026237395.1
OG0000042	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1	XP_026261070.1, XP_026261068.1, XP_026261071.1
OG0000042	XP_038957465.1	XP_026270257.1
OG0000042	NP_665730.2	XP_026270258.1
OG0000044	NP_001395688.1	XP_026263467.1, XP_026270368.1, XP_026263468.1
OG0000044	NP_073177.1	XP_026238635.1
OG0000045	NP_036736.1	XP_026246245.1
OG0000045	NP_001414391.1	XP_026246339.1
OG0000045	NP_001128630.1, XP_038941362.1	XP_026246338.1
OG0000045	NP_001093955.1	XP_026246340.1
OG0000045	NP_001128629.1, XP_038942828.1	XP_026246333.1, XP_026246335.1, XP_026246334.1
OG0000045	NP_062198.1	XP_026246336.1
OG0000046	NP_001102830.1, XP_063120218.1, NP_775146.1, XP_063119146.1, XP_008763402.1, NP_062569.2	XP_026245753.1
OG0000048	XP_008757255.3, NP_446371.1	XP_026238478.1, XP_026259478.1
OG0000048	NP_001029032.1, XP_063131131.1	XP_026238476.1, XP_026259481.1, XP_026238531.1
OG0000049	XP_008763105.3	XP_026238013.1
OG0000049	XP_017455846.3, XP_063132041.1, NP_001407912.1, NP_001395610.1	XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1
OG0000050	NP_001000385.1	XP_026242114.1
OG0000050	NP_001000826.1	XP_026242112.1
OG0000050	NP_001000386.1, XP_038961561.1, NP_001000969.1, NP_001001014.1, NP_001000384.1, NP_001000382.1, NP_001000828.1, NP_001000383.1, NP_001000380.1, XP_006234126.1, NP_001000830.1, NP_001000560.1, NP_001000381.1, NP_001000379.1, NP_001000559.1, NP_001000829.1, NP_001000827.1, XP_063140376.1	XP_026242226.1, XP_026242282.1, XP_026242221.1
OG0000051	NP_001128481.1	XP_026255320.1
OG0000051	NP_001400917.1, XP_038939825.1	XP_026265318.1
OG0000051	NP_001414185.1	XP_026255301.1
OG0000051	NP_001414189.1	XP_026258432.1
OG0000051	NP_001008333.1	XP_026265330.1
OG0000051	XP_006257375.1, NP_001413925.1	XP_026258425.1
OG0000052	XP_006241996.1, NP_001128273.1, NP_001413816.1	XP_026266000.1
OG0000053	XP_006248166.1, XP_006248156.1, XP_038944664.1, XP_063127036.1, XP_006248159.1, XP_008766829.1, XP_006248165.2, XP_038944660.1, XP_063126917.1, XP_006248167.1, XP_038944665.1, XP_063127032.1, XP_006248182.1, XP_063127034.1, XP_006248158.1, XP_008766831.1, XP_006248154.1, XP_006248160.1, XP_063127033.1	XP_026249354.1, XP_026236552.1, XP_026238551.1, XP_026236551.1, XP_026249355.1, XP_026236549.1, XP_026249358.1, XP_026249357.1, XP_026236550.1, XP_026236548.1, XP_026249356.1, XP_026236547.1, XP_026236541.1
OG0000053	XP_063127035.1	XP_026249293.1
OG0000054	NP_058775.1	XP_026270998.1, XP_026271004.1
OG0000056	NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1
OG0000057	NP_001029309.1, XP_038939329.1	XP_026252071.1, XP_026252070.1, XP_026252069.1
OG0000057	XP_056840605.1	XP_026252063.1
OG0000057	XP_038939826.1	XP_026252062.1
OG0000058	XP_038936592.1, NP_446149.1	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1
OG0000059	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1	XP_026266841.1
OG0000059	NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1	XP_026266840.1
OG0000059	NP_001000050.1, NP_001000726.1, NP_001000051.1	XP_026266844.1, XP_026266832.1, XP_026266851.1
OG0000060	NP_001013176.1, XP_017446356.1	XP_026267874.1
OG0000061	XP_063139535.1, NP_001100030.1	XP_026251389.1
OG0000062	NP_036858.1, XP_038951279.1	XP_026240359.1
OG0000063	XP_017449802.1, NP_001102829.1	XP_026240951.1, XP_026240950.1
OG0000064	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1
OG0000065	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1
OG0000066	XP_063126203.1, XP_038959284.1, XP_063123871.1, XP_038969229.1, XP_038959993.1, XP_063122447.1, XP_038957233.1, NP_001395929.1, XP_063141356.1, XP_063142937.1, NP_001395925.1, XP_063136502.1, NP_445782.2, XP_063128738.1, XP_063124197.1, XP_063123883.1, XP_063138904.1, XP_063138751.1, XP_038951085.1, XP_063136506.1, NP_001395927.1, NP_001395926.1, NP_001395924.1, XP_063122472.1, XP_063138762.1	XP_026244187.1
OG0000067	NP_001000088.1	XP_026236572.1
OG0000067	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1	XP_026238203.1
OG0000068	NP_001000759.1	XP_026267408.1
OG0000069	XP_038949265.1, NP_001100742.1	XP_026267381.1
OG0000069	NP_001101049.1	XP_026259294.1
OG0000069	NP_001099812.1, XP_006229575.1	XP_026259328.1
OG0000069	NP_570833.1	XP_026257779.1
OG0000069	NP_001013119.1	XP_026250043.1
OG0000070	XP_063143296.1	XP_026254290.1
OG0000070	NP_001071119.2, XP_006238653.1	XP_026238079.1
OG0000071	NP_001395682.1, NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1	XP_026235182.1
OG0000072	NP_001025209.1, XP_006231459.1	XP_026250638.1
OG0000073	NP_001000667.1	XP_026235392.1, XP_026235393.1
OG0000073	NP_001001377.1, NP_001001053.1	XP_026237892.1
OG0000074	XP_006229920.1, NP_001099753.1	XP_026256774.1, XP_026256773.1
OG0000074	NP_598211.2, XP_063129363.1	XP_026256772.1
OG0000075	XP_038955607.1, NP_001013984.1	XP_026247983.1
OG0000075	NP_001395765.1	XP_026237986.1, XP_026259296.1
OG0000075	XP_038956344.1, XP_038956348.1, XP_038956345.1, XP_017457901.1, XP_063136426.1, XP_063136428.1, XP_063136427.1, XP_063136425.1, XP_038956343.1, XP_017457902.1, XP_038956347.1	XP_026247979.1
OG0000076	NP_001032236.1	XP_026240269.1
OG0000076	NP_001012215.1	XP_026240153.1
OG0000077	XP_063140201.1, NP_937765.1, NP_001104764.1	XP_026247781.1
OG0000077	NP_001386203.1	XP_026254605.1
OG0000078	NP_058998.2, XP_006241494.1	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1
OG0000079	XP_006246244.1, NP_110488.1	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1
OG0000081	XP_006239408.1	XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1
OG0000084	XP_006232040.1, NP_001414786.1	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1
OG0000085	NP_001000872.1	XP_026237062.1
OG0000085	NP_001000983.1, NP_001001016.1	XP_026237052.1, XP_026237043.1, XP_026237051.1
OG0000085	NP_001000869.1	XP_026237053.1
OG0000086	XP_038961655.1	XP_026262357.1
OG0000086	NP_001129170.1, XP_038963272.1	XP_026236713.1
OG0000086	NP_001413918.1, XP_008767150.1	XP_026257517.1
OG0000086	NP_001101756.2	XP_026253784.1
OG0000087	NP_001102796.1	XP_026236565.1
OG0000087	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1	XP_026236560.1, XP_026236561.1
OG0000087	NP_001395798.1, XP_002727896.1	XP_026251965.1
OG0000087	NP_001099366.1	XP_026236559.1
OG0000088	XP_006248190.1, NP_579855.1	XP_026255196.1
OG0000089	NP_001000331.1, NP_001000332.1, NP_001000661.1	XP_026235390.1, XP_026235380.1, XP_026235385.1, XP_026235383.1, XP_026235386.1
OG0000089	NP_001000327.1, NP_001000664.1, NP_001000658.1	XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1
OG0000090	NP_689448.2, XP_063133896.1	XP_026251494.1
OG0000092	NP_001000335.1, NP_001000336.1, NP_001000926.1, NP_001000337.1	XP_026235362.1, XP_026235364.1, XP_026235361.1
OG0000092	XP_006234556.1	XP_026235366.1, XP_026235365.1
OG0000093	NP_001007148.1, XP_006249003.1	XP_026261477.1
OG0000095	NP_001119556.1	XP_026251505.1
OG0000095	NP_620181.1	XP_026251480.1, XP_026251479.1
OG0000096	NP_001099418.1	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1
OG0000096	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1	XP_026238210.1, XP_026254701.1, XP_026237445.1
OG0000098	XP_063127721.1, NP_001092983.2, NP_001092979.1, NP_001092969.1, XP_063127217.1, XP_063127670.1, NP_001092978.1, NP_001092974.1, XP_063122901.1	XP_026270717.1
OG0000098	XP_038945840.1, NP_001092949.1, NP_001092936.1, NP_001092950.1	XP_026270722.1
OG0000099	XP_063138868.1, XP_063138928.1, XP_017446862.1	XP_026265511.1
OG0000099	NP_037148.3, XP_006235014.1	XP_026237588.1
OG0000100	NP_112249.2, XP_006239579.1	XP_026270646.1
OG0000100	XP_038945727.1, NP_112299.1	XP_026268919.1
OG0000101	XP_038941022.1	XP_026270063.1
OG0000101	NP_001014041.1, XP_006257281.1	XP_026266268.1, XP_026266270.1
OG0000103	NP_001028869.1, XP_006254250.1, XP_006254245.1, NP_001013075.1	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1
OG0000104	XP_063138894.1	XP_026237291.1, XP_026237292.1
OG0000104	XP_006250671.3	XP_026238452.1
OG0000105	NP_001380791.1, XP_063121754.1	XP_026251880.1
OG0000106	NP_001099487.1, XP_006251278.1	XP_026255265.1
OG0000106	NP_036737.1, XP_038953516.1	XP_026256155.1
OG0000106	NP_001030329.2	XP_026241779.1
OG0000106	XP_038945819.1	XP_026252729.1
OG0000107	NP_001000281.1, XP_063140374.1, NP_001000688.1	XP_026262387.1
OG0000107	NP_001000282.1, NP_001000284.1, NP_001000283.1	XP_026262379.1, XP_026262378.1
OG0000109	NP_001000415.1	XP_026235087.1
OG0000109	NP_001000581.1	XP_026235073.1
OG0000109	NP_001000897.1	XP_026235041.1
OG0000110	XP_006246738.1, NP_058885.1	XP_026246377.1, XP_026246378.1
OG0000110	NP_036635.1, XP_006246641.1	XP_026246357.1, XP_026246356.1, XP_026246355.1
OG0000110	NP_071788.2, XP_008766090.1	XP_026246390.1
OG0000111	XP_038953764.1, XP_038953777.1, XP_038953753.1, XP_038952348.1, XP_038952346.2	XP_026238416.1
OG0000113	XP_063136324.1, XP_017446718.1, NP_001395797.1, NP_001388119.1, XP_038955979.1, NP_001316085.1	XP_026236598.1, XP_026258677.1
OG0000114	NP_149086.1, XP_063122697.1	XP_026250385.1
OG0000114	XP_038940147.1, NP_001103027.1, NP_775411.1	XP_026259154.1
OG0000115	XP_017450124.1	XP_026262880.1
OG0000115	XP_038942837.1, NP_077064.1	XP_026264012.1
OG0000115	XP_063125885.1	XP_026240662.1
OG0000116	XP_006233397.1	XP_026253907.1
OG0000116	NP_001380701.1	XP_026257026.1
OG0000116	XP_017457176.2	XP_026249009.1
