Orthogroup	Ictidomys_tridecemlineatus	Rattus_norvegicus
OG0000021	XP_013221841.1, XP_005341283.1, XP_005338900.1, XP_005338883.1	NP_001000509.1, NP_001001115.1, NP_001000276.1, NP_001000887.1, NP_001000886.1, NP_001000271.1, NP_001000274.1, NP_001000889.1, NP_001000273.1, XP_038954398.1, NP_001000275.1, NP_001000888.1
OG0000021	XP_005338882.1, XP_013221669.1	NP_001000557.1
OG0000022	XP_013213574.1	XP_008770293.3
OG0000022	XP_013213552.1	NP_001032230.1
OG0000022	XP_005324326.2	NP_001032414.1
OG0000022	XP_013213585.2	NP_001014773.1
OG0000022	XP_021581332.1	NP_001032233.1
OG0000022	XP_013213586.1	NP_001032212.1
OG0000022	XP_013213555.1	NP_001032214.1
OG0000022	XP_005324347.1	NP_001032231.1
OG0000023	XP_040134939.1, XP_021577018.2	XP_017445590.1, NP_001388743.1
OG0000024	XP_005339563.1, XP_013215405.1	NP_775152.2, NP_001000517.1, NP_001000518.1, NP_001000463.1
OG0000024	XP_013220287.1	NP_001000800.1, NP_001000801.1, XP_063122016.1
OG0000024	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2, NP_001000792.1, XP_017451293.1, NP_001001087.2, NP_001000471.1, NP_001000596.1
OG0000024	XP_013220297.1, XP_005339612.1	NP_001000599.1, XP_017451271.1, NP_001000473.1
OG0000026	XP_040142789.1, XP_040142791.1, XP_040142780.1, XP_040142788.1, XP_040142787.1	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1
OG0000026	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1	XP_006257363.1, NP_001102791.1
OG0000027	XP_005330561.1	NP_001007005.1, XP_063123300.1
OG0000027	XP_005324967.1	NP_001011995.1
OG0000027	XP_040133806.1	NP_001099588.1, XP_063132306.1
OG0000027	XP_005334559.2	NP_001035097.1, NP_001019507.1
OG0000027	XP_005324965.1	XP_063120275.1, NP_071634.1, NP_001037735.1
OG0000028	XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2	NP_001000758.1, XP_038952475.1, NP_001000556.1
OG0000028	XP_013216707.1	NP_001396078.1
OG0000028	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1	NP_001000252.1, NP_001396075.1
OG0000028	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1	XP_003749125.1
OG0000029	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1	NP_001000046.1, NP_001000047.1, NP_001000045.1, NP_001000048.1, NP_001000531.1
OG0000031	XP_005338901.1, XP_005342398.1	NP_001001110.1
OG0000031	XP_005341354.1	NP_001001097.1
OG0000031	XP_005337155.1	NP_068632.1
OG0000033	XP_021589393.1	NP_001161136.1
OG0000034	XP_040137375.1, XP_013221951.1, XP_021577264.1, XP_021575884.1, XP_013222002.1, XP_021577263.1, XP_040145010.1	NP_714951.2
OG0000034	XP_005342559.3, XP_040136147.1, XP_040136148.1, XP_005342370.3, XP_013220658.1, XP_005342640.1, XP_005342641.1, XP_005342739.1	XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1, NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2, NP_001009513.1, NP_001009521.1, NP_001009520.1, NP_001009518.2
OG0000035	XP_005337186.1	NP_062056.1
OG0000035	XP_005320444.1, XP_005320443.1	NP_062085.1
OG0000035	XP_005339240.1	NP_112266.1
OG0000035	XP_005340097.1, XP_005340095.1	NP_112406.1
OG0000035	XP_005332707.2	NP_001120921.1
OG0000035	XP_005319663.1	NP_001099879.1
OG0000035	XP_005329403.1, XP_013215822.1	NP_037025.1, XP_006236790.1
OG0000036	XP_005333768.1	NP_001406456.1, NP_001258283.1
OG0000036	XP_005333769.1, XP_021587598.1	XP_008758586.2, NP_062057.2
OG0000036	XP_013217590.1, XP_021587606.1, XP_040128500.1, XP_005335361.2, XP_040128499.1, XP_005335356.1	XP_038952632.1, NP_058854.1, XP_038961177.2, XP_038957345.2, XP_063136433.1, XP_063137106.1, NP_001013926.2, XP_063136421.1
OG0000036	XP_005335354.1	NP_612521.2, XP_038946459.1
OG0000038	XP_005331749.1	NP_001000932.1
OG0000038	XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1	XP_038961558.1, NP_001000677.1
OG0000039	XP_005327562.1	NP_001013908.2
OG0000039	XP_005327565.1	NP_001102589.1
OG0000039	XP_005341100.1	NP_775125.1
OG0000039	XP_005336936.1	NP_954525.2
OG0000039	XP_005332148.1	NP_543158.1
OG0000039	XP_005335464.1	NP_640347.2
OG0000039	XP_005327158.1	XP_003749686.1
OG0000040	XP_013213851.1	NP_001001078.1
OG0000040	XP_005325163.1	NP_001000993.1
OG0000040	XP_005325161.1	NP_001000423.1
OG0000041	XP_013221691.1, XP_013221690.1	NP_001000318.1, NP_001000315.1
OG0000041	XP_013221697.1, XP_013221693.1, XP_013221692.1	NP_001000312.1
OG0000041	XP_013221787.1	NP_001000673.1
OG0000041	XP_013221688.1, XP_005342442.1, XP_040142692.1	NP_001000316.1, NP_001000930.1
OG0000042	XP_040139669.1, XP_005326898.2, XP_005336026.2	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1
OG0000042	XP_040139674.1	NP_665730.2
OG0000043	XP_013221030.1	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1
OG0000044	XP_013219127.1, XP_005337152.1	NP_001395688.1
OG0000044	XP_040139588.1	NP_073177.1
OG0000045	XP_005332936.1	NP_036736.1
OG0000045	XP_005332932.1	NP_001414391.1
OG0000045	XP_013217180.1, XP_040125382.1, XP_013217178.1	NP_001128630.1, XP_038941362.1
OG0000045	XP_021587077.1	NP_001093955.1
OG0000045	XP_040126471.1	NP_001128629.1, XP_038942828.1
OG0000045	XP_005332934.1	NP_062198.1
OG0000046	XP_040146918.1	NP_001102830.1, XP_063120218.1, NP_775146.1, XP_063119146.1, XP_008763402.1, NP_062569.2
OG0000048	XP_013218855.2	NP_775461.1
OG0000048	XP_005338303.3, XP_040134911.1	NP_001029032.1, XP_063131131.1
OG0000049	XP_040130229.1	XP_008763105.3
OG0000049	XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1	XP_017455846.3, XP_063132041.1, NP_001407912.1, NP_001395610.1
OG0000050	XP_005321215.1	NP_001000826.1
OG0000050	XP_021579380.1, XP_013212110.1, XP_005321207.1	NP_001000386.1, XP_038961561.1, NP_001000969.1, NP_001001014.1, NP_001000384.1, NP_001000382.1, NP_001000828.1, NP_001000383.1, NP_001000380.1, XP_006234126.1, NP_001000830.1, NP_001000560.1, NP_001000381.1, NP_001000379.1, NP_001000559.1, NP_001000829.1, NP_001000827.1, XP_063140376.1
OG0000051	XP_005317186.1	NP_001128481.1
OG0000051	XP_013214570.1	NP_001400917.1, XP_038939825.1
OG0000051	XP_005317045.1	NP_001414185.1
OG0000051	XP_040140047.1	NP_001414189.1
OG0000051	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1	NP_001008333.1
OG0000051	XP_040137955.1	XP_006257375.1, NP_001413925.1
OG0000053	XP_005323663.1, XP_005323664.1, XP_005323673.1, XP_005323669.1, XP_040143123.1, XP_005323662.1, XP_005323671.1, XP_005323672.1, XP_005323666.1, XP_005323668.1, XP_005323670.1	XP_006248166.1, XP_006248156.1, XP_038944664.1, XP_063127036.1, XP_006248159.1, XP_008766829.1, XP_006248165.2, XP_038944660.1, XP_063126917.1, XP_006248167.1, XP_038944665.1, XP_063127032.1, XP_006248182.1, XP_063127034.1, XP_006248158.1, XP_008766831.1, XP_006248154.1, XP_006248160.1, XP_063127033.1
OG0000053	XP_021581028.1, XP_021580927.1	XP_063127035.1
OG0000054	XP_040143179.1, XP_013221082.1	NP_058775.1
OG0000055	XP_005341142.1	NP_001000209.1, NP_001000211.1
OG0000055	XP_005341134.1	NP_001000213.1, NP_001395676.1, NP_001000734.1, NP_001000946.2
OG0000055	XP_040142716.1	NP_001396077.1
OG0000056	XP_005341596.1	NP_001000347.1
OG0000056	XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1	NP_001000628.1, XP_003749574.5, NP_001000569.1, NP_001000346.1, XP_038960435.1
OG0000057	XP_040123927.1	XP_038939642.1, NP_001012133.1
OG0000057	XP_005326507.1	NP_001029309.1, XP_038939329.1
OG0000057	XP_040123929.1	XP_056840605.1
OG0000057	XP_040124065.1	XP_038939826.1
OG0000058	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1	XP_038936592.1, NP_446149.1
OG0000059	XP_005336829.1	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1
OG0000059	XP_005336830.1	NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1
OG0000059	XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1	NP_001000050.1, NP_001000726.1, NP_001000051.1
OG0000060	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1	NP_001013176.1, XP_017446356.1
OG0000061	XP_005329807.1	NP_942079.1, XP_063143426.1, NP_001019419.2, NP_671745.1, XP_063117361.1, XP_063143274.1, NP_671748.2, NP_001029130.2, NP_001029131.1, XP_063117360.1, XP_063117359.1, XP_063117358.1, NP_988843.3, XP_038965407.1, NP_001003409.2, XP_038965406.1, NP_976070.2, XP_063117362.1
OG0000061	XP_005337051.1	XP_063139535.1, NP_001100030.1
OG0000062	XP_005329195.1	NP_036858.1, XP_038951279.1
OG0000063	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1	XP_017449802.1, NP_001102829.1
OG0000064	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2
OG0000065	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1
OG0000066	XP_005333004.1	XP_063122472.1, XP_063138762.1
OG0000067	XP_005341499.1	NP_001000088.1
OG0000067	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1
OG0000068	XP_005331611.1	NP_001000759.1
OG0000069	XP_005339955.1	XP_038949265.1, NP_001100742.1
OG0000069	XP_040142748.1, XP_040142751.1	NP_001101049.1
OG0000069	XP_005338558.1	NP_001099812.1, XP_006229575.1
OG0000069	XP_005321271.1	NP_570833.1
OG0000069	XP_005339204.1, XP_040132166.1	NP_001013119.1
OG0000070	XP_040144576.1	NP_001071119.2, XP_006238653.1
OG0000071	XP_021576711.1	NP_001395682.1, NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1
OG0000072	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1	NP_001025209.1, XP_006231459.1
OG0000073	XP_005342816.1, XP_005342237.1	NP_001000667.1
OG0000073	XP_013221782.1	NP_001001377.1, NP_001001053.1
OG0000074	XP_040140831.1, XP_040140832.1, XP_005323213.1	XP_006229920.1, NP_001099753.1
OG0000074	XP_005323210.1, XP_005323211.1	NP_598211.2, XP_063129363.1
OG0000075	XP_040144985.1	XP_038955607.1, NP_001013984.1
OG0000075	XP_013221794.2, XP_040142725.1, XP_005338587.1	NP_001395765.1
OG0000075	XP_040142267.1	XP_038956344.1, XP_038956348.1, XP_038956345.1, XP_017457901.1, XP_063136426.1, XP_063136428.1, XP_063136427.1, XP_063136425.1, XP_038956343.1, XP_017457902.1, XP_038956347.1
OG0000076	XP_040129285.1	NP_001032236.1
OG0000076	XP_005324328.1	NP_001012215.1
OG0000077	XP_040150448.1	XP_063140201.1, NP_937765.1, NP_001104764.1
OG0000077	XP_013213894.1	NP_001386203.1
OG0000078	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1	NP_058998.2, XP_006241494.1
OG0000079	XP_013220941.1, XP_005340932.1, XP_005340931.1	XP_006246244.1, NP_110488.1
OG0000080	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1	XP_038943840.1, NP_001102633.1, XP_006231188.3
OG0000081	XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1	XP_006239408.1
OG0000082	XP_021575770.1, XP_040143062.1	NP_001103063.1, NP_001103065.1, XP_063135601.1
OG0000084	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1	XP_006232040.1, NP_001414786.1
OG0000085	XP_005342202.3	NP_001000872.1
OG0000085	XP_005342171.1	NP_001000862.1
OG0000085	XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1	NP_001000983.1, NP_001001016.1
OG0000085	XP_005342187.1, XP_005342175.2, XP_005342206.1	NP_001000869.1
OG0000086	XP_040140257.1	XP_038961655.1, NP_001019540.1
OG0000086	XP_005323877.1	NP_001129170.1, XP_038963272.1
OG0000086	XP_040145207.1	NP_001413918.1, XP_008767150.1
OG0000086	XP_040124999.1	NP_001101756.2
OG0000087	XP_005323604.1	NP_001102796.1
OG0000087	XP_005323680.1, XP_005323681.1	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1
OG0000087	XP_005323682.1	NP_001395798.1, XP_002727896.1
OG0000087	XP_040143119.1	NP_001099366.1
OG0000088	XP_021581027.1	XP_006248190.1, NP_579855.1
