Orthogroup	Ictidomys_tridecemlineatus	Saimiri_boliviensis_boliviensis
OG0000011	XP_005324350.2	XP_039316464.1, XP_039327340.1
OG0000011	XP_013213581.1	XP_039316746.1
OG0000011	XP_005324322.1	XP_010340082.2
OG0000011	XP_005324316.1	XP_039326277.1
OG0000011	XP_005324315.2	XP_039328082.1, XP_039328036.1
OG0000011	XP_005324317.2	XP_039316705.1, XP_039327835.1, XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1
OG0000011	XP_013213578.3, XP_013213630.1	XP_039328029.1
OG0000011	XP_021581395.1	XP_039328885.1
OG0000011	XP_013213560.1, XP_005324320.1	XP_010340091.2
OG0000011	XP_021581335.1	XP_010340171.2
OG0000012	XP_005329220.1	XP_003924128.1
OG0000012	XP_013215724.1, XP_040144087.1, XP_040144082.1, XP_040144098.1	XP_003924126.1
OG0000012	XP_021584687.1	XP_003924124.1
OG0000012	XP_040144109.1	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2
OG0000012	XP_040143977.1, XP_005316390.1	XP_010334984.1
OG0000013	XP_013216903.1	XP_003938964.1
OG0000013	XP_013216899.1	XP_010347905.2
OG0000014	XP_005341812.3	XP_003944066.2
OG0000014	XP_021576777.1	XP_039321716.1
OG0000014	XP_013221367.2	XP_003944064.3, XP_010330201.2, XP_039322778.1
OG0000014	XP_021576771.1	XP_003944057.1
OG0000014	XP_021576769.1	XP_003944055.1
OG0000014	XP_013221372.3	XP_003944052.3
OG0000014	XP_013221366.2	XP_039322215.1, XP_010330682.2, XP_010330643.2, XP_010330639.1, XP_003944452.2
OG0000014	XP_040135701.1	XP_039322199.1
OG0000015	XP_040147041.1, XP_013221517.1, XP_013221516.1, XP_013221515.1, XP_013221949.2, XP_040147040.1, XP_013221514.1, XP_013221559.1, XP_013221554.1, XP_005342190.2, XP_013221511.1, XP_013221510.3, XP_040146934.1, XP_013221512.2, XP_005342118.2, XP_040147036.1, XP_013221948.1, XP_013221537.1, XP_021576956.2, XP_013221552.1, XP_005342114.1, XP_005342115.1, XP_005342191.1, XP_013221519.2, XP_021576954.1, XP_040147037.1, XP_005342111.1, XP_013221540.1, XP_013221557.1, XP_005342210.1, XP_005342211.1	XP_003938968.2
OG0000016	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1
OG0000017	XP_013215216.2	XP_039331397.1
OG0000018	XP_005332630.1	XP_003930341.1, XP_003931776.1
OG0000018	XP_005331196.1	XP_003942033.1
OG0000018	XP_021590092.1	XP_039318517.1
OG0000018	XP_013214667.1	XP_039324008.1, XP_010350016.2
OG0000019	XP_005337206.1, XP_005337211.1, XP_005337213.1, XP_005337212.1	XP_003935823.1
OG0000019	XP_005337207.1	XP_003935822.1
OG0000022	XP_013213574.1	XP_010336464.1
OG0000022	XP_013213552.1	XP_039328169.1
OG0000022	XP_005324326.2	XP_039328208.1
OG0000022	XP_013213585.2	XP_003920570.1
OG0000022	XP_021581332.1	XP_010336498.1
OG0000022	XP_013213586.1	XP_010336445.2
OG0000022	XP_013213555.1	XP_003920574.1
OG0000022	XP_005324347.1	XP_039328684.1
OG0000023	XP_040134939.1, XP_021577018.2	XP_039322918.1
OG0000024	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1	XP_003923612.1
OG0000026	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1	XP_010344692.1, XP_010344690.1, XP_010344691.1
OG0000027	XP_005330561.1	XP_010334588.2
OG0000027	XP_005324967.1	XP_010348076.2
OG0000027	XP_040133806.1	XP_003939105.2
OG0000027	XP_005324965.1	XP_039328209.1, XP_010348074.2
OG0000028	XP_013216720.1, XP_013216706.1, XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2, XP_013216708.1, XP_005331676.1, XP_013216707.1	XP_003920201.3
OG0000028	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1	XP_003920501.1
OG0000028	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1	XP_003920200.1
OG0000031	XP_005341354.1	XP_010344198.2
OG0000031	XP_005337155.1	XP_003944778.3
OG0000032	XP_021581397.1	XP_039327708.1
OG0000032	XP_005324354.2	XP_039327697.1
OG0000032	XP_040128326.1, XP_040128232.1	XP_039327669.1, XP_039327692.1
OG0000032	XP_013213561.2	XP_039327661.1
OG0000032	XP_005324357.2	XP_010340056.2
OG0000032	XP_005343015.3	XP_039328729.1
OG0000032	XP_040128235.1	XP_003920557.2
OG0000032	XP_040128234.1	XP_039327706.1
OG0000032	XP_040128231.1	XP_039327707.1
OG0000033	XP_021589393.1	XP_003931923.1
OG0000034	XP_005342559.3, XP_040136147.1, XP_040136148.1, XP_005342370.3, XP_013220658.1, XP_005342640.1, XP_005342641.1, XP_005342739.1	XP_003944973.2
OG0000035	XP_005337186.1	XP_039318843.1
OG0000035	XP_005320443.1	XP_039320122.1
OG0000035	XP_005339240.1	XP_003922471.1
OG0000035	XP_005340097.1, XP_005340095.1	XP_039316629.1
OG0000035	XP_005332707.2	XP_039331779.1
OG0000035	XP_005319663.1	XP_003925881.1
OG0000036	XP_005333768.1, XP_005333769.1, XP_021587598.1	XP_003922420.1
OG0000036	XP_005335354.1	XP_003922415.1
OG0000038	XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1	XP_039327428.1, XP_003920141.1
OG0000039	XP_005327562.1	XP_003927439.2
OG0000039	XP_005327565.1	XP_039318609.1
OG0000039	XP_005319168.1	XP_039319782.1
OG0000039	XP_005341100.1	XP_003944692.1
OG0000039	XP_005336936.1	XP_039317243.1
OG0000039	XP_005332148.1	XP_010347833.2
OG0000039	XP_005335464.1	XP_039315957.1
OG0000039	XP_005327158.1	XP_003932683.1
OG0000040	XP_005325161.1	XP_039328176.1
OG0000041	XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1	XP_010335862.2, XP_003920143.2
OG0000042	XP_040139669.1, XP_005326898.2, XP_005336026.2	XP_010335516.2
OG0000042	XP_005326905.1, XP_005326904.1, XP_040139671.1, XP_040139672.1, XP_005326901.2, XP_040139674.1	XP_003920450.1
OG0000043	XP_013221030.1	XP_003920426.2, XP_003919855.1, XP_010335361.2
OG0000044	XP_005337152.1	XP_003942034.2
OG0000044	XP_040139588.1	XP_003944781.1
OG0000045	XP_005332936.1	XP_039331909.1
OG0000045	XP_005332932.1	XP_039332728.1
OG0000045	XP_021587077.1	XP_039332730.1
OG0000045	XP_040126471.1	XP_003929291.1, XP_003929292.1
OG0000045	XP_005332934.1	XP_010338158.2
OG0000046	XP_040146919.1	XP_039321667.1
OG0000048	XP_013218855.2	XP_010329363.1
OG0000048	XP_005338303.3, XP_040134911.1	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1
OG0000049	XP_040130229.1	XP_003924537.2, XP_010333524.2
OG0000049	XP_005343150.2	XP_003924539.3
OG0000049	XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1	XP_039324393.1, XP_039324392.1
OG0000050	XP_005321215.1	XP_003945067.2
OG0000051	XP_005317186.1	XP_039329306.1
OG0000051	XP_013214570.1	XP_003925510.1
OG0000051	XP_005317045.1	XP_003928297.2
OG0000051	XP_040140047.1	XP_039320049.1
OG0000051	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1	XP_039325459.1
OG0000051	XP_040137955.1	XP_010344666.1
OG0000052	XP_040137742.1, XP_040134609.1	XP_039319167.1
OG0000054	XP_040143179.1, XP_013221082.1	XP_010346811.2
OG0000054	XP_040132532.1, XP_040143180.1, XP_040144994.1, XP_005341253.2, XP_013221079.1, XP_013221071.2, XP_040144997.1, XP_005341251.1, XP_040144996.1, XP_040144998.1, XP_005341246.2, XP_040144995.1	XP_039315844.1
OG0000054	XP_005339464.1	XP_039315845.1
OG0000054	XP_040145000.1, XP_005339490.2	XP_003937935.2
OG0000055	XP_005341134.1	XP_003919854.1
OG0000055	XP_040142716.1	XP_003919856.1
OG0000057	XP_040123927.1	XP_039325467.1, XP_039325466.1
OG0000057	XP_005326507.1	XP_039325468.1
OG0000057	XP_040124065.1	XP_039325470.1
OG0000058	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1	XP_039333546.1, XP_039333545.1, XP_003936708.1
OG0000059	XP_013218997.2, XP_005336829.1, XP_005336830.1, XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1	XP_010331293.1, XP_039333543.1
OG0000060	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1	XP_010334009.1
OG0000061	XP_005337051.1	XP_003941474.2
OG0000062	XP_005329195.1	XP_039318532.1, XP_010336326.2
OG0000063	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1	XP_039324680.1, XP_003924508.1, XP_039324679.1
OG0000064	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1
OG0000065	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1
OG0000066	XP_005333004.1	XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1
OG0000067	XP_005341499.1	XP_039320219.1
OG0000067	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1	XP_003935341.2
OG0000068	XP_005331711.2	XP_003920213.2
OG0000069	XP_005339955.1	XP_039316972.1
OG0000069	XP_040142748.1, XP_040142751.1	XP_010329563.1
OG0000069	XP_021591066.1	XP_003943448.2
OG0000069	XP_005338558.1	XP_039319973.1
OG0000069	XP_005321271.1	XP_003924565.1
OG0000069	XP_005339204.1, XP_040132166.1	XP_003939886.1, XP_010348853.1
OG0000070	XP_040141790.1	XP_010337017.1
OG0000070	XP_040144576.1	XP_010347594.1
OG0000071	XP_021576711.1	XP_039326298.1, XP_003943374.2, XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1
OG0000072	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1	XP_003922405.1
OG0000074	XP_040140831.1, XP_040140832.1, XP_005323213.1	XP_003923468.1
OG0000074	XP_005323210.1, XP_005323211.1	XP_010332594.1, XP_003923466.1
OG0000075	XP_040144985.1	XP_010349790.1
OG0000075	XP_040142725.1, XP_005338587.1	XP_003943457.1, XP_010329571.1
OG0000076	XP_040129285.1	XP_010336471.1
OG0000076	XP_005324331.2, XP_005324330.2	XP_010336477.2
OG0000076	XP_005324328.1	XP_010336456.1
OG0000076	XP_013213557.1	XP_003920575.2
OG0000076	XP_021581334.1	XP_003920580.2
OG0000077	XP_040150448.1	XP_003921883.1, XP_039327768.1
OG0000077	XP_013213528.1	XP_039330530.1, XP_039335559.1, XP_039320360.1
OG0000077	XP_013213894.1	XP_039328044.1
OG0000078	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1	XP_010335563.1
OG0000079	XP_013220941.1, XP_005340932.1, XP_005340931.1	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1
OG0000080	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1	XP_010333275.1, XP_010333278.2
OG0000081	XP_005341438.1, XP_040147102.1	XP_039318415.1
OG0000081	XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1	XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1
OG0000082	XP_021575720.2	XP_003927606.2
OG0000082	XP_021575770.1, XP_040143062.1	XP_039336381.1, XP_010336666.2, XP_010336667.2
OG0000083	XP_013221660.2	XP_003944271.2
OG0000083	XP_021577079.1	XP_039323029.1
OG0000083	XP_005342382.1	XP_003944266.1
OG0000083	XP_040135107.1	XP_039322867.1, XP_039322866.1
OG0000084	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1
OG0000086	XP_040140257.1	XP_010333042.1, XP_003920167.1
OG0000086	XP_040145207.1	XP_039318297.1
OG0000086	XP_040124999.1	XP_003929141.1
OG0000087	XP_005323680.1, XP_005323681.1, XP_005323682.1, XP_021581031.1	XP_003927726.3, XP_003927728.1, XP_003927727.1
OG0000088	XP_021581027.1	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1
OG0000089	XP_005342230.1, XP_005342231.1, XP_005342228.1, XP_005342229.1, XP_005342224.1, XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1	XP_003920486.2
OG0000090	XP_013221796.1	XP_010329648.1
OG0000093	XP_005339885.1	XP_010329932.1
OG0000095	XP_040134807.1, XP_005318255.1, XP_040134808.1	XP_039331824.1
OG0000095	XP_021577054.1	XP_010329684.2
OG0000095	XP_005318256.1	XP_010328624.1
OG0000095	XP_005318257.1, XP_005318258.1	XP_003943509.1, XP_003943507.1
OG0000096	XP_005323057.1, XP_013213016.1	XP_010335039.2
OG0000096	XP_021577205.1, XP_005335225.1, XP_005342091.1	XP_039318544.1
OG0000099	XP_040131356.1, XP_040131136.1, XP_040131134.1	XP_039335746.1
OG0000099	XP_005320610.2	XP_039335344.1
OG0000100	XP_040143706.1	XP_039330326.1
OG0000101	XP_005340749.1	XP_010349156.1, XP_003940188.1
OG0000102	XP_040148272.1	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1
OG0000103	XP_005320375.1, XP_005320377.1, XP_005320379.1, XP_005320378.1	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1
OG0000104	XP_040145143.1	XP_039330507.1, XP_003943302.2
OG0000105	XP_021590157.1, XP_021590155.1, XP_021590159.1, XP_040141046.1, XP_040141047.1, XP_021590154.1, XP_021590160.1	XP_039318127.1, XP_039318128.1
OG0000106	XP_021577903.2	XP_003930828.1
OG0000106	XP_040133154.1, XP_040133157.1, XP_040133158.1, XP_040133159.1, XP_005323910.1, XP_040133156.1	XP_003930132.1
OG0000106	XP_013215938.3	XP_003932297.1
OG0000106	XP_005328552.2	XP_003934194.1
OG0000107	XP_013216748.1, XP_013216747.1, XP_013216746.1	XP_010332917.2
OG0000108	XP_013220342.1, XP_005339688.1	XP_010345593.1, XP_039325580.1
OG0000109	XP_040142050.1	XP_003925465.1
OG0000109	XP_005326325.1	XP_010329964.2
OG0000109	XP_005326411.1	XP_010330044.2
OG0000110	XP_040125245.1, XP_021586993.1	XP_003929179.1
OG0000110	XP_040125246.1, XP_021587004.1	XP_003929189.1, XP_039331915.1
OG0000110	XP_040126469.1, XP_040125244.1	XP_039332486.1
OG0000111	XP_005340441.1, XP_005340443.1, XP_013221755.1	XP_039317041.1, XP_039317022.1
OG0000113	XP_005328910.1, XP_040139681.1, XP_040139680.1, XP_021580913.1, XP_021580912.1, XP_021580914.1, XP_005323467.1, XP_021577138.1	XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1
OG0000114	XP_013221764.1, XP_005342106.1	XP_003925650.1
OG0000114	XP_013221763.1	XP_039325923.1
OG0000114	XP_021577318.1, XP_021577316.1	XP_003925649.1
OG0000115	XP_005324954.1	XP_010348067.1, XP_003939159.1
OG0000115	XP_005341336.2	XP_039320196.1
OG0000116	XP_005327333.1, XP_040127782.1	XP_039328259.1
OG0000116	XP_005334386.1	XP_003928756.1
OG0000118	XP_040147723.1, XP_040147721.1, XP_040147720.1, XP_040147726.1, XP_040147724.1, XP_040147722.1, XP_040147727.1, XP_013211422.1, XP_040147725.1, XP_005319199.1	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1
OG0000119	XP_005334458.1, XP_005334459.1, XP_040127708.1, XP_040127710.1, XP_040127707.1, XP_040127706.1	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1
OG0000120	XP_040134537.1	XP_003934288.1
OG0000121	XP_013215795.1	XP_010344410.1, XP_039317051.1
OG0000122	XP_005330655.1	XP_003937411.2
OG0000123	XP_005337464.2, XP_005337344.1, XP_005337442.1, XP_005337346.1	XP_003933125.2
OG0000124	XP_040142828.1	XP_039331406.1, XP_010334463.2
OG0000124	XP_013218452.2	XP_039331473.1
OG0000124	XP_013218443.1	XP_003920544.2
OG0000125	XP_005321900.1	XP_003942839.2
OG0000125	XP_005321898.1	XP_039332456.1, XP_039332455.1, XP_010328942.2
OG0000127	XP_040148941.1, XP_005340848.1	XP_010338390.1, XP_003929523.1
OG0000128	XP_005337092.1	XP_003945327.2, XP_010336299.1
OG0000128	XP_005337090.1	XP_003927336.1
OG0000129	XP_005318618.1	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1
OG0000130	XP_005342584.1, XP_005342585.2	XP_003923414.2
OG0000131	XP_005342523.1, XP_005342525.1, XP_005342524.1	XP_003919834.1, XP_003919833.1
OG0000132	XP_040139331.1, XP_040139338.1, XP_040139337.1, XP_040139335.1, XP_040139330.1, XP_040139329.1, XP_040139336.1, XP_021588609.1, XP_040139334.1, XP_021588610.1, XP_013218100.1, XP_040139332.1	XP_010335850.1, XP_010335851.1, XP_010335852.1
OG0000133	XP_013215191.1, XP_013215190.1, XP_040144905.1, XP_021583713.1	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1
OG0000134	XP_013219711.1	XP_039317575.1
OG0000135	XP_021586730.1	XP_003940906.1
OG0000136	XP_021580553.1, XP_040149975.1, XP_005322988.1, XP_040149974.1, XP_040149976.1	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1
OG0000137	XP_005326680.1	XP_003929870.1
OG0000138	XP_005323163.1	XP_003923883.2
OG0000138	XP_005323162.1	XP_010332537.1
OG0000139	XP_013217775.1	XP_010344126.2
OG0000140	XP_005317220.1	XP_039333181.1
OG0000142	XP_005318275.1	XP_039317843.1
OG0000143	XP_021576075.1	XP_010331145.1
OG0000143	XP_040128839.1	XP_003941094.1
OG0000144	XP_040130281.1	XP_010342032.2
OG0000145	XP_040129752.1, XP_021591552.1, XP_040129751.1, XP_040129750.1, XP_005339253.1, XP_013220153.1	XP_003922490.1
OG0000146	XP_040149796.1, XP_040149799.1, XP_021584342.1, XP_021584343.1, XP_040149797.1, XP_040149798.1, XP_013215551.1, XP_040149800.1	XP_003938814.1, XP_010347708.1, XP_010347707.1
OG0000147	XP_040127260.1, XP_005329464.1, XP_040127259.1	XP_003922600.1, XP_003922604.1, XP_003922602.1
OG0000147	XP_040127126.1	XP_039316002.1, XP_003922597.1
OG0000148	XP_013221192.1	XP_039318700.1
OG0000149	XP_021590883.2	XP_039322050.1
OG0000149	XP_005339432.1	XP_003937990.1
OG0000149	XP_005334975.1	XP_039316778.1
OG0000149	XP_013220247.1	XP_039316042.1
OG0000150	XP_005318334.1, XP_005318333.1, XP_040135320.1, XP_021576708.1, XP_005318341.1, XP_005318337.1, XP_040134958.1, XP_021576703.2, XP_005318332.3	XP_003936326.2
OG0000151	XP_005342911.2	XP_010337959.2
OG0000156	XP_021590844.1	XP_003944578.2
OG0000156	XP_005342432.2, XP_021577096.1, XP_021577098.1, XP_040135846.1, XP_040135848.1, XP_021577099.1	XP_010330273.1, XP_010330274.1, XP_039322863.1
OG0000157	XP_021582078.1, XP_005325458.1	XP_039335444.1, XP_039335445.1
OG0000157	XP_005341320.1	XP_010345028.2, XP_039324567.1, XP_003926376.2, XP_010347515.2, XP_039334905.1, XP_039326433.1, XP_039328448.1, XP_039324106.1, XP_039329265.1, XP_039327213.1, XP_039327413.1, XP_039318778.1, XP_039320425.1
OG0000158	XP_021582934.1	XP_039324854.1
OG0000158	XP_005327668.1	XP_039319775.1
OG0000158	XP_040134692.1	XP_039334913.1, XP_039334978.1
OG0000160	XP_005316364.1	XP_039323747.1
OG0000160	XP_040148147.1, XP_040133880.1	XP_010336005.1
OG0000161	XP_040127058.1, XP_040127059.1, XP_013212610.2, XP_021580039.1, XP_021580040.1, XP_005322247.1, XP_021580041.1, XP_005322223.1, XP_005322222.3, XP_021580033.1, XP_005322246.2	XP_003922654.1
OG0000163	XP_013215684.1	XP_039327086.1, XP_010332914.2
OG0000163	XP_021584638.2	XP_010332913.2
OG0000164	XP_005335890.1	XP_039322625.1
OG0000164	XP_040146081.1	XP_039328692.1, XP_039323908.1
OG0000164	XP_005335889.1	XP_010349730.1
OG0000165	XP_005334350.1	XP_039334862.1, XP_010347365.1, XP_010347361.1, XP_039334861.1, XP_010347362.1
OG0000166	XP_013214438.1, XP_021582555.1, XP_005326179.1, XP_021582554.1	XP_003920764.1, XP_003920763.1
OG0000167	XP_040132570.1, XP_040132572.1, XP_040132568.1, XP_040132566.1, XP_040132571.1, XP_005323781.1, XP_040132565.1, XP_021581113.1, XP_040132569.1, XP_040132574.1, XP_040132567.1, XP_040132573.1	XP_039334403.1, XP_039334404.1, XP_039334405.1
OG0000168	XP_005336035.1	XP_010340774.1, XP_003922345.1
OG0000170	XP_005326831.1	XP_003919917.1, XP_039326960.1
