Orthogroup	Canis_lupus_familiaris	Microcebus_murinus
OG0000008	XP_038409055.1	XP_012624356.1
OG0000008	XP_038444566.1	XP_012612641.1
OG0000008	XP_038443189.1, XP_038443224.1	XP_012619942.1, XP_020140831.1
OG0000008	XP_038384956.1	XP_012603709.1
OG0000008	XP_038445242.1	XP_012614837.1
OG0000008	XP_038395427.1	XP_020137053.1
OG0000008	XP_038435142.1	XP_012631803.2, XP_012631807.1, XP_012631809.1
OG0000008	XP_038443214.1	XP_020140578.1
OG0000008	XP_038394427.1	XP_020138106.1
OG0000009	NP_001018646.1, NP_001014767.1, XP_038409410.1, NP_001014400.1	XP_020138303.1, XP_012592719.2, XP_012619031.1, XP_012592717.1, XP_020138306.1, XP_012619032.1, XP_020142922.1, XP_020138304.1
OG0000010	NP_001375563.1	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1
OG0000010	XP_038418409.1, NP_001375564.1	XP_012643294.1
OG0000010	NP_001376103.1, NP_001375879.1	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1
OG0000011	XP_038386314.1	XP_012604413.1
OG0000011	XP_038386305.1	XP_012604415.2
OG0000011	XP_038386315.1	XP_012604414.2
OG0000011	XP_038386312.1	XP_012604417.2
OG0000011	XP_038386308.1	XP_012604421.1
OG0000011	XP_038386303.1	XP_012604412.1
OG0000011	XP_038386309.1	XP_012604416.2
OG0000011	XP_038386325.1	XP_020137935.1
OG0000011	XP_038386316.1	XP_012604408.1
OG0000012	XP_038443043.1, XP_038443045.1, XP_038443044.1	XP_012612333.1
OG0000012	NP_001003116.1	XP_012612334.1, XP_012612335.1, XP_012609246.2, XP_012612318.1
OG0000012	XP_038442406.1, XP_038442407.1	XP_020140769.1, XP_012612390.1, XP_012612389.1
OG0000012	XP_038442409.1	XP_012612339.1, XP_012612340.1
OG0000012	XP_038442408.1, XP_038442410.1	XP_012612329.1, XP_012612328.1
OG0000013	NP_001375605.1	XP_012617200.1
OG0000013	XP_038421257.1, XP_038421258.1, NP_001376074.1, NP_001375607.1	XP_012617201.1
OG0000013	NP_001376117.1	XP_012617202.1
OG0000014	XP_038383494.1	XP_012606858.1
OG0000014	XP_038383510.1	XP_020138796.1
OG0000014	XP_038381446.1	XP_012596843.1
OG0000014	XP_038383493.1	XP_012619029.1
OG0000014	XP_038383498.1, XP_038383503.1	XP_020138972.1, XP_020139176.1, XP_020138795.1, XP_020138970.1
OG0000014	XP_038383497.1, XP_038383496.1	XP_012606829.1
OG0000014	XP_038381450.1	XP_012606836.1
OG0000014	XP_038383504.1	XP_012606848.2
OG0000014	XP_038383445.1	XP_020139031.1
OG0000016	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1
OG0000017	NP_001375733.1	XP_012614266.1
OG0000017	XP_038402084.1	XP_012634096.1
OG0000018	XP_038402506.1	XP_012606772.1
OG0000018	XP_038440338.1	XP_012597510.1
OG0000018	XP_038440271.1, NP_001363857.1	XP_012597463.1
OG0000019	XP_038435794.1	XP_012603616.1
OG0000019	XP_038445405.1	XP_012598339.2, XP_012598340.2
OG0000020	XP_038383733.1, XP_038381457.1	XP_020139091.1, XP_020138771.1, XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1
OG0000021	XP_038439912.1	XP_012607736.1, XP_012599127.1
OG0000022	XP_038386332.1	XP_020137845.1
OG0000022	XP_038386364.1	XP_020137849.1
OG0000022	XP_038386347.1	XP_020137843.1
OG0000022	XP_038386339.1	XP_020137851.1
OG0000022	XP_038386342.1	XP_012604363.1
OG0000022	XP_038386333.1	XP_020137848.1
OG0000022	XP_038386340.1	XP_020137847.1
OG0000023	XP_038383955.1	XP_012604975.1
OG0000023	XP_038383893.1	XP_012641001.1
OG0000023	XP_038381467.1	XP_020139169.1, XP_020139171.1, XP_020139167.1, XP_020139170.1, XP_020139168.1, XP_020138882.1, XP_020138880.1, XP_020138881.1, XP_012609640.2, XP_020139172.1, XP_012609634.1, XP_020138907.1, XP_012609656.1, XP_012611031.2, XP_012609594.1
OG0000024	XP_038391423.1	XP_012638762.1
OG0000024	NP_001376086.1	XP_012638763.1
OG0000024	NP_001376019.1	XP_012638746.1, XP_012638745.1
OG0000026	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1	XP_012644305.2, XP_012644304.2
OG0000026	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1
OG0000027	XP_038441743.1	XP_012595657.1
OG0000027	XP_038433464.1	XP_012616812.1
OG0000027	XP_038432130.1	XP_012603184.1
OG0000027	XP_038385540.1	XP_012596665.1
OG0000027	XP_038397772.1	XP_012599928.1
OG0000027	XP_038431894.1, XP_038431882.1	XP_012632128.1
OG0000027	NP_001301019.1	XP_012616799.2
OG0000027	XP_038433463.1	XP_012616756.2
OG0000028	NP_001376096.1, NP_001376114.1	XP_012605430.1, XP_012605431.1
OG0000028	NP_001375514.1	XP_012605321.1
OG0000028	NP_001376097.1	XP_012605437.1
OG0000029	NP_001376061.1	XP_012598557.1
OG0000029	NP_001375923.1	XP_012598512.1
OG0000029	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2
OG0000031	XP_038399997.1	XP_020145822.1, XP_020146129.1
OG0000031	NP_001375791.1, XP_038445325.1, XP_038412294.1	XP_012609977.1
OG0000032	XP_038386300.1	XP_020138005.1
OG0000032	XP_038445482.1, XP_038386299.1	XP_020137959.1
OG0000032	XP_038445478.1, XP_038386311.1	XP_020137958.1
OG0000033	XP_038402020.1, XP_038402018.1	XP_020136664.1
OG0000033	XP_038402610.1	XP_012634183.1
OG0000033	XP_038402015.1, XP_038402014.1, XP_038402604.1	XP_012634149.1, XP_020136669.1, XP_012634189.2, XP_012634186.1
OG0000033	XP_038402589.1	XP_012634191.1
OG0000035	XP_038435896.1	XP_012621797.1
OG0000035	XP_038389880.1	XP_012619799.1, XP_012619798.1
OG0000035	NP_001182774.2	XP_012614407.1
OG0000035	NP_001003349.2	XP_012644914.1
OG0000035	XP_038386568.1	XP_012631175.1
OG0000035	XP_038417669.1	XP_020141787.1, XP_012644119.2
OG0000036	XP_038435140.1, XP_038435141.1, XP_038435139.1	XP_012623845.1
OG0000036	NP_001183973.1	XP_012621955.1
OG0000038	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1	XP_012602142.1
OG0000039	XP_038439969.1	XP_012623865.1
OG0000039	XP_038439961.1	XP_012623864.1
OG0000039	XP_038409373.1	XP_012591805.1
OG0000039	XP_038404584.1	XP_012639934.1
OG0000039	XP_038423469.1	XP_012617155.2
OG0000039	XP_038393912.1	XP_012601634.1
OG0000039	XP_038428666.1, XP_038428667.1	XP_012625877.1
OG0000040	NP_001375690.1	XP_012620127.1
OG0000041	XP_038420405.1, XP_038420406.1, NP_001375958.1	XP_012602144.1
OG0000041	NP_001376113.1, NP_001376111.1	XP_012602149.1, XP_020142260.1
OG0000042	XP_038424119.1	XP_012612185.1
OG0000043	NP_001375875.1	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1
OG0000044	NP_001361520.1	XP_012609563.1
OG0000044	NP_001361517.1	XP_012596792.1
OG0000044	XP_038439907.1	XP_012596793.1
OG0000044	XP_038440355.1	XP_012596789.1
OG0000045	NP_001107184.1	XP_020138865.1
OG0000045	XP_038392809.1	XP_020136755.1
OG0000045	NP_001070703.1	XP_012633220.1
OG0000045	NP_001070263.1	XP_012633193.1, XP_012633184.1
OG0000045	NP_001070262.1	XP_012633169.1
OG0000048	NP_001106930.1	XP_012616684.2, XP_012616670.1
OG0000048	NP_001091026.1, NP_001091021.1, XP_038381481.1	XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1
OG0000049	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1	XP_020141259.1, XP_012611591.2
OG0000049	XP_038401904.1	XP_012611590.1
OG0000049	XP_038429560.1, XP_038429559.1, XP_038429558.1	XP_012626152.1, XP_012626153.1, XP_012626155.1
OG0000051	XP_038425970.1	XP_012607324.1
OG0000051	XP_038429926.1	XP_012604860.1
OG0000051	XP_038425967.1	XP_012607323.1
OG0000051	XP_038443974.1	XP_012605901.1
OG0000051	NP_001026988.1	XP_012604862.1
OG0000051	NP_001002979.1	XP_012605846.1
OG0000052	XP_038406653.1	XP_012642546.1
OG0000052	XP_038407502.1, XP_038406617.1	XP_020143347.1
OG0000053	XP_038437059.1, XP_038437063.1	XP_020140298.1
OG0000054	XP_038442333.1	XP_012604193.1
OG0000054	NP_001124302.1	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1
OG0000055	XP_038424111.1	XP_012639383.1, XP_012599623.2
OG0000055	NP_001375864.1	XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1
OG0000056	XP_038418408.1	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1
OG0000057	XP_038430031.1	XP_012604923.1
OG0000057	XP_038430057.1	XP_012604916.1
OG0000057	XP_038430019.1	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1
OG0000058	NP_001029164.1	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1
OG0000059	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1	XP_012622464.1, XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2
OG0000060	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1	XP_020141693.1, XP_012609090.2
OG0000061	NP_001271390.1	XP_012624360.1, XP_020145028.1, XP_020145025.1
OG0000061	XP_038404743.1	XP_012637430.2
OG0000062	XP_038440142.1	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1
OG0000063	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1	XP_012636552.1
OG0000064	NP_001171205.2	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1
OG0000065	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1
OG0000066	XP_038441026.1, NP_001238973.1, XP_038394823.1, XP_038391773.1, XP_038418293.1, XP_038418454.1, XP_038431159.1	XP_012637254.1
OG0000067	XP_038413461.1	XP_012639834.2
OG0000067	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1	XP_012609986.1
OG0000068	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1	XP_012605327.2, XP_012605334.1, XP_012605328.1
OG0000068	NP_001375951.1	XP_012605324.1
OG0000068	XP_038420397.1	XP_012605325.1
OG0000069	XP_038429693.1, XP_038429692.1	XP_012630800.1
OG0000069	XP_038401156.1	XP_012596989.1
OG0000071	XP_038418375.1, XP_038418377.1	XP_012625032.1, XP_012625033.1
OG0000072	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1
OG0000074	XP_038424692.1, XP_038424721.1	XP_012600382.1
OG0000074	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1
OG0000075	XP_038442549.1	XP_012637940.1, XP_012637938.1, XP_012637939.1
OG0000075	XP_038442578.1	XP_012595358.1, XP_020140622.1
OG0000075	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1
OG0000076	XP_038386335.1	XP_020137855.1
OG0000076	XP_038386352.1, XP_038386350.1	XP_012604356.2, XP_020137838.1, XP_020137859.1
OG0000076	XP_038386343.1	XP_020137858.1
OG0000076	XP_038386345.1	XP_020137853.1
OG0000077	XP_038396460.1, XP_038438059.1, XP_038434167.1	XP_012638223.1
OG0000077	XP_038421758.1, XP_038427137.1	XP_012610327.2
OG0000077	XP_038433776.1	XP_012619774.1
OG0000078	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1
OG0000079	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1
OG0000080	XP_038419100.1	XP_012605323.1
OG0000080	XP_038419098.1, XP_038419099.1	XP_012605444.1
OG0000081	XP_038431683.1	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1
OG0000082	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1	XP_012635473.1, XP_012635466.2, XP_020140286.1
OG0000083	XP_038383884.1	XP_012641039.1
OG0000083	XP_038383872.1	XP_012641027.1
OG0000083	XP_038381465.1	XP_012641042.1
OG0000084	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1
OG0000085	XP_038421311.1	XP_012617213.1
OG0000085	NP_001375917.1, XP_038423318.1	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1
OG0000086	XP_038419157.1, XP_038419158.1	XP_012605369.1
OG0000086	XP_038395835.1	XP_012619770.1
OG0000086	XP_038431923.1	XP_012632158.1
OG0000086	XP_038403878.1	XP_012625208.1
OG0000086	XP_038403882.1	XP_012624902.1
OG0000087	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1
OG0000088	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1
OG0000089	NP_001376137.1, XP_038418396.1, NP_001375994.1, NP_001375937.1	XP_012602172.1
OG0000090	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1	XP_012599427.1
OG0000092	NP_001375549.1	XP_012643279.1, XP_012643283.1, XP_012643284.1
OG0000092	NP_001375550.1	XP_012643282.1
OG0000092	NP_001375834.1	XP_012602125.2, XP_012643286.1, XP_012602126.1
OG0000093	XP_038395629.1	XP_012614553.1
OG0000095	NP_001003150.1	XP_020138138.1
OG0000095	NP_001003149.1	XP_012611412.1, XP_012611409.1
OG0000095	XP_038386933.1, NP_001003173.1, XP_038399958.1	XP_012611251.1, XP_012611408.1, XP_012611248.2, XP_012611252.1, XP_012611249.1
OG0000096	XP_038381766.1	XP_012629913.1
OG0000096	XP_038439954.1, XP_038439955.1, XP_038439957.1	XP_012623893.1
OG0000099	XP_038428913.1, XP_038427754.1	XP_012610085.1
OG0000099	XP_038427755.1	XP_012610084.1
OG0000099	XP_038427735.1	XP_012610556.2
OG0000100	NP_001003236.1	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1
OG0000100	XP_038395171.1	XP_012614771.1
OG0000101	XP_038443802.1, XP_038443801.1, XP_038443800.1	XP_012622873.1
OG0000102	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2
OG0000103	NP_001012344.1	XP_012596669.1, XP_012596670.1, XP_012596671.1
OG0000105	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1	XP_012595109.1
OG0000106	XP_038415502.1	XP_012597004.1
OG0000106	XP_038389598.1	XP_012638882.1
OG0000106	XP_038395750.1	XP_012619690.1
OG0000106	NP_001003069.1	XP_012637795.1
OG0000106	XP_038394776.1	XP_012614334.1
OG0000107	NP_001375528.1, NP_001375527.1	XP_012605312.1
OG0000107	NP_001375529.1	XP_012605310.1
OG0000108	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1
OG0000109	NP_001243373.1	XP_012618633.1
OG0000109	NP_001375457.1	XP_012625635.1
OG0000109	NP_001375847.1	XP_012625631.1
OG0000109	NP_001375801.1, XP_038407562.1, NP_001375846.1	XP_012625639.1
OG0000109	XP_038407563.1, NP_001375456.1	XP_012625636.2, XP_012625637.2
OG0000110	XP_038392542.1, XP_038392543.1	XP_012632579.1, XP_012632570.1
OG0000110	XP_038392566.1	XP_020136742.1
OG0000110	XP_038392540.1	XP_012632592.1
OG0000111	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1	XP_012616382.1, XP_012616380.2
OG0000113	XP_038443886.1, XP_038443837.1, XP_038443882.1, XP_038443881.1, XP_038399803.1, XP_038443879.1, XP_038443880.1	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1
OG0000114	NP_001104269.1	XP_012607527.1
OG0000114	NP_001106640.1	XP_012607530.1
OG0000114	XP_038441037.1, XP_038441509.1	XP_012606894.1, XP_012607531.1
OG0000114	NP_001106641.1	XP_012607532.1
OG0000116	XP_038437940.1	XP_012626405.1
OG0000116	XP_038386227.1	XP_020137718.1, XP_012637946.1
OG0000116	XP_038407551.1, XP_038389893.1	XP_012618286.1
OG0000118	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1
OG0000119	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1	XP_012634378.1, XP_012634381.1, XP_012634382.1, XP_012634380.1, XP_012634379.1
OG0000120	XP_038395395.1	XP_012614299.1
OG0000121	XP_038415793.1	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1
OG0000122	XP_038385259.1	XP_012630490.1
OG0000122	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1, XP_038406914.1, XP_038408058.1	XP_012615924.1
OG0000123	NP_001014309.1	XP_012634032.1, XP_012634752.1, XP_012634782.1
OG0000124	XP_038442694.1	XP_012637921.1
OG0000124	NP_001041587.1	XP_020140586.1
OG0000124	XP_038442662.1	XP_020140585.1
OG0000124	NP_001041588.1	XP_012629347.2
OG0000125	XP_038401950.1	XP_012621238.1
OG0000125	XP_038402032.1, NP_001333023.1, NP_001333024.1	XP_012621506.1, XP_012621241.1, XP_012621239.2
OG0000125	XP_038402033.1	XP_020136415.1
OG0000126	XP_038424069.1	XP_012593148.1, XP_020142439.1
OG0000127	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1	XP_012621712.1, XP_012621715.1, XP_012621713.1, XP_012621714.1
OG0000128	XP_038440255.1	XP_012596811.1
OG0000128	XP_038440239.1	XP_012596813.1
OG0000128	XP_038440246.1	XP_012596845.1
OG0000128	XP_038440245.1	XP_012596812.1
OG0000129	NP_001301024.1	XP_020142730.1, XP_012616311.1, XP_020142727.1, XP_012616307.1
