Orthogroup	Canis_lupus_familiaris	Ictidomys_tridecemlineatus
OG0000015	XP_038421309.1	XP_040147041.1, XP_013221517.1, XP_013221516.1, XP_013221515.1, XP_013221949.2, XP_040147040.1, XP_013221514.1, XP_013221559.1, XP_013221554.1, XP_005342190.2, XP_013221511.1, XP_013221510.3, XP_040146934.1, XP_013221512.2, XP_005342118.2, XP_040147036.1, XP_013221948.1, XP_013221537.1, XP_021576956.2, XP_013221552.1, XP_005342114.1, XP_005342115.1, XP_005342191.1, XP_013221519.2, XP_021576954.1, XP_040147037.1, XP_005342111.1, XP_013221540.1, XP_013221557.1, XP_005342210.1, XP_005342211.1
OG0000016	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1
OG0000017	NP_001375448.1, NP_001375576.1	XP_021587110.1
OG0000017	XP_038402084.1	XP_013215216.2
OG0000018	XP_038402506.1, XP_038398749.1	XP_005332630.1
OG0000018	XP_038417997.1	XP_013219111.1, XP_005331191.1, XP_040139591.1, XP_005331196.1, XP_021590090.1
OG0000018	XP_038440338.1	XP_021590092.1
OG0000019	XP_038435794.1	XP_005337215.1, XP_040144992.1
OG0000019	XP_038445405.1	XP_005337207.1
OG0000020	XP_038383733.1, XP_038381457.1	XP_040135762.1, XP_040135767.1, XP_040135766.1, XP_040135768.1, XP_040135765.1, XP_021577041.2
OG0000021	XP_038439912.1	XP_005341282.1, XP_013219994.1, XP_005338899.1, XP_013221841.1, XP_005341283.1, XP_005338900.1, XP_005338883.1, XP_005338882.1, XP_013221669.1
OG0000022	XP_038386332.1	XP_013213552.1
OG0000022	XP_038386347.1	XP_013213585.2
OG0000022	XP_038386329.1	XP_021581332.1
OG0000022	XP_038386339.1	XP_013213586.1
OG0000022	XP_038386342.1	XP_013213555.1
OG0000022	XP_038386340.1	XP_005324347.1
OG0000023	XP_038383955.1	XP_040134939.1, XP_021577018.2
OG0000024	XP_038391423.1	XP_005339563.1, XP_013215405.1, XP_013220287.1
OG0000024	NP_001376086.1	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1
OG0000024	NP_001376019.1	XP_013220297.1, XP_005339612.1
OG0000026	XP_038444801.1, XP_038445366.1	XP_040142789.1, XP_040142791.1, XP_040142780.1, XP_040142788.1, XP_040142787.1
OG0000026	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_038441743.1	XP_005330561.1
OG0000027	XP_038433464.1	XP_005324967.1
OG0000027	XP_038385540.1	XP_040133806.1
OG0000027	XP_038397772.1	XP_040133416.1
OG0000027	XP_038431894.1, XP_038431882.1	XP_005334559.2
OG0000027	XP_038441741.1	XP_005330562.1
OG0000027	NP_001301019.1, XP_038433463.1	XP_005324965.1
OG0000028	NP_001376096.1, NP_001376114.1	XP_013216720.1, XP_013216706.1, XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2, XP_013216708.1, XP_005331676.1, XP_013216707.1
OG0000028	NP_001375514.1	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1
OG0000028	NP_001376110.1	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1
OG0000029	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	XP_038399997.1	XP_005341354.1
OG0000031	NP_001375701.1	XP_005328675.1
OG0000031	NP_001375791.1, XP_038445325.1, XP_038412294.1	XP_005341500.1
OG0000032	XP_038386300.1	XP_021581397.1
OG0000032	XP_038445480.1, XP_038445479.1	XP_005324354.2
OG0000032	XP_038445482.1, XP_038386299.1	XP_013213561.2
OG0000032	XP_038386304.1	XP_005343015.3, XP_040128235.1
OG0000034	XP_038421184.1	XP_013221797.2, XP_040145017.1, XP_040145009.1, XP_021577046.2
OG0000035	XP_038435896.1	XP_005337186.1
OG0000035	XP_038389880.1	XP_005320444.1, XP_005320443.1
OG0000035	NP_001182774.2	XP_005340097.1
OG0000035	NP_001003349.2	XP_005332707.2
OG0000035	XP_038386568.1	XP_005319663.1
OG0000035	XP_038417669.1	XP_005329403.1, XP_013215822.1
OG0000036	NP_001183973.1	XP_005335354.1
OG0000038	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1	XP_005331749.1, XP_040139656.1, XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1
OG0000039	XP_038439969.1	XP_005327562.1
OG0000039	XP_038439961.1	XP_005327565.1
OG0000039	XP_038409373.1	XP_005341100.1
OG0000039	XP_038404584.1	XP_005336936.1
OG0000039	XP_038423469.1	XP_005332148.1
OG0000039	XP_038393912.1	XP_005335464.1
OG0000039	XP_038428666.1, XP_038428667.1	XP_005327158.1
OG0000040	NP_001375692.1	XP_013213851.1
OG0000040	XP_038433852.1, XP_038433815.1, XP_038433817.1	XP_005325163.1
OG0000040	NP_001375689.1	XP_005325162.1
OG0000040	NP_001375691.1	XP_005325161.1
OG0000041	XP_038420405.1, XP_038420406.1, NP_001375958.1	XP_013221691.1, XP_013221690.1
OG0000041	NP_001376113.1, NP_001376111.1	XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	XP_038424119.1	XP_040139669.1, XP_005326898.2, XP_005336026.2
OG0000043	NP_001375875.1	XP_013221030.1
OG0000044	NP_001361520.1, NP_001361518.1	XP_005337152.1
OG0000044	NP_001361517.1	XP_005331192.1
OG0000044	XP_038440355.1	XP_013219126.1, XP_040139588.1
OG0000044	XP_038432068.1	XP_040143435.1
OG0000045	NP_001107184.1	XP_005332936.1
OG0000045	XP_038392809.1	XP_005332932.1
OG0000045	NP_001070703.1	XP_021587077.1
OG0000045	NP_001070263.1	XP_040126471.1
OG0000045	NP_001070262.1	XP_005332934.1
OG0000048	NP_001106930.1	XP_013218855.2
OG0000048	NP_001091026.1, NP_001091021.1, XP_038381481.1	XP_005338303.3, XP_040134911.1
OG0000049	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1	XP_040130229.1
OG0000049	XP_038401904.1	XP_005343150.2
OG0000049	XP_038429560.1, XP_038429559.1, XP_038429558.1	XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1
OG0000049	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1	XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1
OG0000051	XP_038425970.1	XP_005317186.1
OG0000051	XP_038429926.1	XP_013214570.1
OG0000051	XP_038425967.1	XP_005317045.1
OG0000051	XP_038443974.1	XP_040140047.1
OG0000051	NP_001026988.1	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	NP_001002979.1	XP_040137955.1
OG0000052	XP_038406653.1	XP_040137742.1, XP_040134609.1
OG0000053	XP_038437063.1	XP_021581028.1, XP_021580927.1
OG0000054	XP_038442333.1	XP_040143179.1, XP_013221082.1
OG0000054	NP_001122308.1	XP_005339464.1
OG0000054	NP_001124302.1	XP_040145000.1, XP_005339490.2
OG0000055	NP_001375864.1	XP_005341142.1
OG0000056	XP_038418408.1	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_038430031.1	XP_040123927.1
OG0000057	XP_038430057.1	XP_005326507.1
OG0000057	XP_038430066.1, XP_038430065.1	XP_040123929.1
OG0000057	XP_038430019.1	XP_040124065.1
OG0000058	NP_001029164.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000059	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1	XP_013218997.2, XP_005336829.1, XP_005336830.1, XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1
OG0000060	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	NP_001271390.1	XP_005329807.1
OG0000061	XP_038404743.1	XP_005337051.1
OG0000062	XP_038440142.1	XP_005329195.1
OG0000063	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	NP_001171205.2	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	XP_038418454.1	XP_005333004.1
OG0000067	XP_038413461.1	XP_005341499.1
OG0000067	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1
OG0000068	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1	XP_005331711.2
OG0000068	NP_001375951.1	XP_005331611.1
OG0000068	XP_038420397.1	XP_005331712.1
OG0000069	XP_038429693.1, XP_038429692.1	XP_005339955.1
OG0000069	XP_038442580.1	XP_021591066.1
OG0000069	XP_038401156.1	XP_005321271.1
OG0000069	XP_038401908.1	XP_005339204.1, XP_040132166.1
OG0000070	XP_038408465.1	XP_040141790.1
OG0000070	XP_038414006.1	XP_040144576.1
OG0000071	XP_038418378.1, XP_038418833.1, XP_038418375.1, XP_038418377.1	XP_021576711.1
OG0000072	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	NP_001243375.1	XP_005342816.1, XP_005342237.1
OG0000074	XP_038424692.1, XP_038424721.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000074	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1	XP_005323210.1, XP_005323211.1
OG0000075	XP_038442549.1	XP_040144985.1
OG0000075	XP_038442578.1	XP_013221794.2
OG0000075	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1	XP_040142267.1
OG0000076	XP_038386335.1	XP_040129285.1
OG0000076	XP_038386352.1	XP_005324331.2, XP_005324330.2
OG0000076	XP_038386344.1	XP_005324328.1
OG0000076	XP_038386345.1	XP_021581334.1
OG0000077	XP_038396460.1	XP_021589420.2
OG0000077	XP_038434167.1	XP_040150448.1
OG0000077	XP_038421758.1	XP_013213528.1
OG0000077	XP_038433776.1	XP_013213894.1
OG0000078	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	XP_038419098.1, XP_038419099.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	XP_038431683.1	XP_005341438.1, XP_040147102.1
OG0000082	XP_038437552.1	XP_021575720.2
OG0000082	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1	XP_021575770.1, XP_040143062.1, XP_040143130.1
OG0000083	XP_038383884.1	XP_013221660.2
OG0000083	XP_038383872.1	XP_021577079.1
OG0000083	XP_038381465.1	XP_040135107.1
OG0000084	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	XP_038421311.1	XP_005342202.3
OG0000085	NP_001375917.1, XP_038423318.1	XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	XP_038419157.1, XP_038419158.1	XP_040140257.1
OG0000086	XP_038395835.1	XP_005323877.1
OG0000086	XP_038431923.1	XP_040145207.1
OG0000086	XP_038403878.1	XP_040124999.1
OG0000087	XP_038437055.1	XP_005323604.1
OG0000087	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1	XP_005323680.1, XP_005323681.1, XP_005323682.1, XP_021581031.1
OG0000087	XP_038437053.1	XP_040143119.1
OG0000088	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1	XP_021581027.1
OG0000089	NP_001375994.1, NP_001375937.1	XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1	XP_013221796.1
OG0000092	NP_001375549.1	XP_005342974.1, XP_013221256.1, XP_005341611.1, XP_013221255.1, XP_005341610.1, XP_005341613.1
OG0000092	NP_001375550.1	XP_040139657.1, XP_005341609.1
OG0000092	NP_001375834.1	XP_013221253.1
OG0000093	XP_038395629.1	XP_005339885.1
OG0000095	NP_001003150.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	NP_001003149.1	XP_005318257.1, XP_005318258.1
OG0000096	XP_038381766.1	XP_005323057.1, XP_013213016.1
OG0000096	XP_038439954.1, XP_038439955.1, XP_038439957.1	XP_021577205.1, XP_005335225.1, XP_005342091.1
OG0000099	XP_038428913.1, XP_038427754.1	XP_005342780.2
OG0000099	XP_038427755.1	XP_005320686.1
OG0000099	XP_038427735.1	XP_005320610.2
OG0000100	NP_001003236.1	XP_040143706.1, XP_040143705.1
OG0000101	XP_038407694.1	XP_013220236.1
OG0000101	XP_038443802.1, XP_038443801.1, XP_038443800.1	XP_005340748.1, XP_040139417.1, XP_005340749.1
OG0000102	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1	XP_040148272.1
OG0000104	XP_038397375.1	XP_040145143.1
OG0000105	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1	XP_021590157.1, XP_021590155.1, XP_021590159.1, XP_040141046.1, XP_040141047.1, XP_021590154.1, XP_021590160.1
OG0000106	XP_038415502.1	XP_021577903.2
OG0000106	XP_038395750.1	XP_040133154.1, XP_040133157.1, XP_040133158.1, XP_040133159.1, XP_005323910.1, XP_040133156.1
OG0000106	NP_001003069.1	XP_013215938.3
OG0000106	XP_038394776.1	XP_005328552.2
OG0000107	NP_001375528.1, NP_001375527.1	XP_005331737.1
OG0000107	NP_001375529.1	XP_013216748.1, XP_013216747.1, XP_013216746.1
OG0000108	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1	XP_013220342.1, XP_005339688.1
OG0000109	NP_001243373.1	XP_040142050.1
OG0000109	NP_001375457.1	XP_021582691.1
OG0000109	NP_001375847.1	XP_005326325.1
OG0000109	XP_038407563.1, NP_001375456.1	XP_005326411.1
OG0000110	XP_038392542.1, XP_038392543.1	XP_040125245.1, XP_021586993.1
OG0000110	XP_038392566.1	XP_040125246.1, XP_021587004.1
OG0000110	XP_038392540.1	XP_040126469.1, XP_040125244.1
OG0000111	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1	XP_005340441.1, XP_005340443.1, XP_013221755.1
OG0000113	XP_038443886.1, XP_038443837.1	XP_005328910.1, XP_040139681.1, XP_040139680.1, XP_021580913.1, XP_021580912.1, XP_021580914.1, XP_005323467.1, XP_021577138.1
OG0000114	NP_001104269.1	XP_013221764.1, XP_005342106.1
OG0000114	NP_001106640.1	XP_013221763.1
OG0000115	XP_038402927.1, XP_038402930.1, XP_038402928.1, XP_038402929.1	XP_040124598.1
OG0000116	XP_038407551.1, XP_038389893.1	XP_005334386.1
OG0000117	XP_038412295.1	XP_005342766.1, XP_005334194.1, XP_005334197.1, XP_005334196.1, XP_013217766.1, XP_013217765.1, XP_005342893.3, XP_040129251.1, XP_013221201.2
OG0000118	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1	XP_040147723.1, XP_040147721.1, XP_040147720.1, XP_040147726.1, XP_040147724.1, XP_040147722.1, XP_040147727.1, XP_013211422.1, XP_040147725.1, XP_005319199.1
OG0000119	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1	XP_005334458.1, XP_005334459.1, XP_040127708.1, XP_040127710.1, XP_040127707.1, XP_040127706.1
OG0000120	XP_038395395.1	XP_040134537.1
OG0000121	XP_038415793.1	XP_013215795.1
OG0000122	XP_038385259.1	XP_005330655.1
OG0000122	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1	XP_005338407.1
OG0000123	NP_001014309.1	XP_005337464.2, XP_005337344.1, XP_005337442.1, XP_005337346.1
OG0000124	XP_038442694.1	XP_040142828.1
OG0000124	NP_001041587.1	XP_013218452.2
OG0000124	XP_038442662.1	XP_005335592.1
OG0000124	NP_001041588.1	XP_013218443.1
OG0000125	XP_038401950.1	XP_005321900.1
OG0000125	XP_038402032.1, NP_001333023.1, NP_001333024.1	XP_005321898.1
OG0000126	XP_038424069.1	XP_040139693.1
OG0000126	XP_038425265.1	XP_040141015.1
OG0000127	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1	XP_040148941.1, XP_005340848.1
OG0000128	XP_038440246.1	XP_005337092.1
OG0000128	XP_038440245.1	XP_005337090.1
OG0000129	NP_001301024.1	XP_005318618.1
OG0000130	XP_038424091.1	XP_005342576.1
OG0000130	NP_001375626.1	XP_005342577.1
OG0000130	XP_038424092.1	XP_005342584.1, XP_005342585.2
