Orthogroup	Canis_lupus_familiaris	Mus_musculus
OG0000024	NP_001376086.1	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1
OG0000024	NP_001376019.1	NP_666824.1, NP_666825.1
OG0000026	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1, XP_038444801.1, XP_038445366.1	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1
OG0000026	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1
OG0000027	XP_038441743.1	NP_033473.1
OG0000027	XP_038433464.1	NP_033474.1
OG0000027	XP_038432130.1	NP_059075.1
OG0000027	XP_038385540.1	NP_001029051.2
OG0000027	XP_038431894.1	NP_033475.1
OG0000027	XP_038431882.1	NP_033472.1
OG0000027	NP_001301019.1	NP_035783.1
OG0000027	XP_038433463.1	NP_035784.1
OG0000028	NP_001376096.1, NP_001376114.1	NP_001011841.1, NP_666786.1, NP_666906.1, NP_001011840.1, NP_666414.1, NP_666902.1
OG0000028	NP_001375514.1	NP_666909.1, NP_666908.2
OG0000028	NP_001376097.1	NP_666916.1
OG0000029	NP_001376061.1	NP_667211.2, NP_667212.2
OG0000029	NP_001375923.1	NP_667210.2, NP_001011662.2, NP_667208.2
OG0000029	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1
OG0000031	XP_038399997.1	NP_001011789.1
OG0000031	NP_001375701.1	NP_997455.1
OG0000033	XP_038402610.1	XP_030101751.1, NP_001346741.1
OG0000033	XP_038402594.1	XP_006533136.1, NP_742047.1
OG0000033	XP_038402589.1	NP_001162624.1, XP_017170043.1
OG0000035	XP_038435896.1	NP_033738.1
OG0000035	XP_038389880.1	NP_033736.1, NP_001258970.1
OG0000035	NP_001182774.2	NP_031419.1
OG0000035	NP_001003349.2	NP_033739.1
OG0000035	XP_038386568.1	NP_780706.1
OG0000035	XP_038417669.1	NP_033740.2
OG0000036	XP_038435140.1, XP_038435141.1, XP_038435139.1	XP_017173651.1, NP_001001446.3
OG0000036	NP_001183973.1	XP_011245537.1, NP_663474.2
OG0000038	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1	NP_667230.1, NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2, NP_666520.2, NP_667057.2, NP_667223.1
OG0000039	XP_038439969.1	NP_076205.1
OG0000039	XP_038439961.1	NP_033476.1
OG0000039	XP_038409373.1	NP_035785.1
OG0000039	XP_038404584.1	NP_666228.1
OG0000039	XP_038423469.1	NP_033477.2
OG0000039	XP_038393912.1	NP_075768.1
OG0000039	XP_038428666.1, XP_038428667.1	NP_001074440.1
OG0000039	XP_038399838.1	NP_080749.2
OG0000040	NP_001375692.1	NP_666393.1
OG0000040	XP_038433852.1, XP_038433815.1, XP_038433817.1	NP_666392.1
OG0000040	NP_001375799.1	NP_666668.2
OG0000040	NP_001375691.1	NP_667247.1
OG0000041	XP_038420405.1, XP_038420406.1, NP_001375958.1	NP_001355135.1, NP_666478.1
OG0000041	NP_001376113.1, NP_001376111.1	NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2
OG0000042	XP_038424119.1	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1
OG0000043	NP_001375875.1	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1
OG0000044	NP_001361520.1	NP_291074.1
OG0000044	NP_001361518.1	NP_835582.1
OG0000044	NP_001361517.1, XP_038439907.1	NP_694813.1
OG0000044	XP_038440355.1	NP_783586.1, NP_835500.1
OG0000044	XP_038432068.1	NP_835499.1
OG0000045	NP_001107184.1	NP_001093105.1, XP_006532475.1
OG0000045	XP_038392809.1	NP_001074719.1
OG0000045	NP_001070703.1	XP_036012291.1, NP_796343.2
OG0000045	NP_001070263.1	NP_001034634.2
OG0000045	NP_001070262.1	NP_034985.2
OG0000046	XP_038422927.1	XP_006524022.1, NP_001094915.1, NP_570952.1, XP_036016649.1, NP_001093657.1, NP_001343232.1
OG0000048	NP_001106930.1	NP_031701.3, XP_030098465.1
OG0000048	NP_001091015.1	NP_036057.1
OG0000048	NP_001091026.1, NP_001091021.1, XP_038381481.1	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1
OG0000049	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1	NP_065063.1
OG0000049	XP_038429560.1, XP_038429559.1, XP_038429558.1	NP_787953.2
OG0000049	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1	NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3
OG0000051	XP_038425970.1	NP_034061.2
OG0000051	XP_038429926.1	NP_031760.2, XP_036013028.1
OG0000051	XP_038425967.1	NP_034062.3
OG0000051	XP_038443974.1	XP_011246185.1, NP_444415.2
OG0000051	NP_001026988.1	XP_011236954.1, NP_031761.1
OG0000051	NP_001002979.1	XP_006528759.1, NP_001156627.1
OG0000052	XP_038406653.1	NP_001157093.1
OG0000052	XP_038407502.1, XP_038406617.1	XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1, NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1, XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2
OG0000053	XP_038437063.1	XP_030105235.1, XP_006523193.1
OG0000053	XP_038437057.1, XP_038437061.1	XP_030105238.1
OG0000054	XP_038442333.1	XP_030108264.1, NP_001396544.1
OG0000055	XP_038424111.1	NP_667136.1
OG0000055	NP_001375864.1	NP_001005488.1
OG0000056	XP_038418408.1	NP_997023.1, NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1
OG0000057	XP_038430031.1	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1
OG0000057	XP_038430057.1	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3
OG0000057	XP_038430066.1, XP_038430065.1	XP_011246334.1, NP_796029.2
OG0000057	XP_038430019.1	NP_001359160.1
OG0000058	NP_001029164.1	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1
OG0000059	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2, NP_666434.2, NP_666509.2, NP_666433.1, NP_666696.2, XP_017172474.1
OG0000060	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1
OG0000061	NP_001271390.1	NP_032675.2, XP_011248383.1, NP_001074754.1, NP_032674.1, NP_001012323.1, XP_006538108.1, NP_001009550.1, NP_001034633.1, NP_001157998.1, NP_001334063.1, NP_001186935.1, NP_001334058.1, NP_001334060.1, NP_001186928.1, NP_001186933.1, NP_001186924.1, XP_003688833.1, XP_006537578.1, XP_006537546.1, XP_006537549.1, XP_030108871.1, XP_030108860.1, XP_030108849.1, XP_006537554.1, XP_006537544.1, XP_006537552.1, XP_006537543.1, XP_006537714.1, XP_006537550.1, XP_006537547.1, NP_001156483.1, NP_001156482.1, NP_112465.2, NP_001039015.1, NP_001128599.1, NP_001268908.1, NP_001186865.1, NP_001116119.1, NP_001334083.1, NP_001186262.1
OG0000061	XP_038404743.1	NP_084235.1, XP_017174827.1
OG0000062	XP_038440142.1	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2
OG0000063	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1
OG0000064	NP_001171205.2	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1
OG0000065	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1
OG0000066	XP_038394823.1, XP_038391773.1	XP_036018682.1, XP_036014184.1, XP_036021533.1
OG0000066	XP_038418454.1	XP_036011071.1
OG0000067	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1
OG0000068	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1	NP_666899.1
OG0000068	NP_001375951.1	NP_666895.1
OG0000069	XP_038429693.1, XP_038429692.1	NP_780707.1, XP_006519052.1
OG0000069	XP_038401156.1	NP_081714.2
OG0000069	XP_038401908.1	NP_001136409.1, NP_071718.1
OG0000070	XP_038414006.1	NP_001408095.1, NP_001408093.1
OG0000071	XP_038418375.1, XP_038418377.1	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1
OG0000072	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1	XP_011245661.1, NP_082595.1
OG0000073	NP_001243375.1	NP_667239.2
OG0000074	XP_038424692.1, XP_038424721.1	NP_001290168.1, NP_001290160.1, NP_032061.1
OG0000074	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1
OG0000075	XP_038442549.1	NP_076263.1
OG0000075	XP_038442578.1	XP_017173961.1, NP_001078975.1
OG0000075	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1	NP_001349815.1
OG0000076	XP_038386352.1	NP_291054.1
OG0000076	XP_038386350.1	NP_291055.1
OG0000076	XP_038386344.1	NP_291057.1
OG0000076	XP_038386343.1	NP_291056.1
OG0000076	XP_038386345.1	NP_291053.1
OG0000077	XP_038396460.1	NP_444493.1, NP_001346900.1
OG0000077	XP_038434167.1	NP_666242.2, NP_932758.1
OG0000077	XP_038427137.1	NP_034577.1
OG0000077	XP_038433776.1	NP_001034218.1
OG0000078	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1
OG0000079	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3
OG0000080	XP_038419098.1, XP_038419099.1	NP_080916.1
OG0000082	XP_038437552.1	NP_001191963.1
OG0000084	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1
OG0000085	NP_001375917.1, XP_038423318.1	NP_667036.2, NP_001011748.1, NP_666451.1
OG0000086	XP_038419157.1, XP_038419158.1	XP_006499529.1, NP_001005342.1
OG0000086	XP_038395835.1	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1
OG0000086	XP_038431923.1, XP_038403880.1, XP_038403879.1, XP_038403878.1, XP_038403881.1, XP_038403882.1	NP_001005341.1
OG0000087	XP_038437055.1	NP_038735.2
OG0000087	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1, NP_899012.1, NP_081431.1
OG0000087	XP_038437053.1	NP_038741.1
OG0000088	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1
OG0000089	NP_001375994.1, NP_001375937.1	NP_667047.1, NP_666849.1, NP_666869.2, NP_996559.1, NP_666405.1
OG0000090	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1
OG0000092	NP_001375549.1	NP_666861.2, NP_666406.2, NP_666743.1, NP_997449.1, NP_666742.2
OG0000093	XP_038395629.1	XP_017176645.1
OG0000095	NP_001003150.1	NP_032657.1
OG0000095	NP_001003149.1	NP_038630.1, XP_006530815.1
OG0000095	XP_038386933.1, NP_001003173.1, XP_038399958.1	XP_036019391.1
OG0000096	XP_038381766.1	NP_035589.1
OG0000096	XP_038439954.1, XP_038439955.1, XP_038439957.1	NP_683744.2, NP_001369781.1, XP_036014126.1, NP_035584.1, XP_006516684.1, NP_001157590.1, NP_033280.1, NP_001230121.1, XP_011242601.1, NP_001157589.1
OG0000099	XP_038428913.1, XP_038427754.1	XP_006535548.1, NP_001075156.1, XP_006530155.1, NP_001070147.1
OG0000099	XP_038427735.1	NP_001277948.1, XP_036015585.1
OG0000100	NP_001003236.1	NP_001407900.1, NP_001153489.1, NP_032168.1, NP_001153488.1
OG0000100	XP_038395171.1	NP_034442.1, XP_006504616.1
OG0000101	XP_038407694.1, XP_038441038.1	NP_001334416.1
OG0000101	XP_038443802.1, XP_038443801.1, XP_038443800.1	NP_063921.1, NP_001300646.1, NP_001300645.1
OG0000102	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1	NP_690024.1, NP_705826.1
OG0000104	XP_038397375.1	XP_036021572.1, NP_001411600.1, NP_083785.3, XP_011247895.1, NP_001034735.2, NP_919317.2, XP_011247687.1
OG0000105	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1	XP_036011259.1
OG0000106	XP_038415502.1	NP_075017.2
OG0000106	XP_038395750.1	NP_058034.1
OG0000106	NP_001003069.1	NP_001371255.1
OG0000106	XP_038394776.1	XP_017176539.1
OG0000107	NP_001375528.1, NP_001375527.1	NP_667076.1, NP_001011785.1, NP_001011534.1
OG0000107	NP_001375529.1	NP_666646.1, NP_666645.1, XP_006499612.1, NP_666644.1
OG0000108	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1	NP_001408428.1, NP_001408427.1, NP_001153191.1, NP_035021.1, NP_001408425.1, NP_001408424.1, NP_001408426.1, NP_001408423.1, NP_001153189.1, NP_001153190.1, NP_001408431.1, NP_001408429.1, NP_001408430.1
OG0000109	NP_001375457.1	NP_062347.2
OG0000109	NP_001375847.1	NP_062346.1
OG0000110	XP_038392542.1, XP_038392543.1	NP_001300856.1, NP_031519.1, NP_001300854.1, NP_001300855.1
OG0000110	XP_038392566.1	NP_033844.1, XP_017169720.1, NP_001278060.1, NP_001278061.1
OG0000110	XP_038392540.1	XP_006532975.1, NP_660119.1, NP_001191181.1
OG0000111	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1	NP_001243902.1, XP_017177923.1, NP_034219.3, NP_001001559.2, NP_031913.1, NP_958811.2
OG0000113	XP_038443886.1, XP_038443837.1, XP_038443882.1, XP_038443881.1, XP_038399803.1, XP_038443879.1, XP_038443880.1	XP_006528649.1, NP_001346208.1, NP_001346206.1, NP_001025149.2, NP_001346207.1, NP_079631.2, NP_001352047.1, NP_001352046.1, NP_808587.1
OG0000114	NP_001104269.1	NP_658906.1
OG0000114	NP_001106640.1	NP_031802.2
OG0000114	XP_038441037.1, XP_038441509.1	NP_031803.3, NP_081286.1
OG0000114	NP_001106641.1	NP_031800.1
OG0000115	XP_038402927.1, XP_038402930.1, XP_038402928.1, XP_038402929.1	NP_001291503.1
OG0000116	XP_038437940.1	XP_036019109.1
OG0000116	XP_038386227.1	NP_064296.1
OG0000117	XP_038412295.1	NP_001011767.1, NP_001011752.1, NP_001011520.2, NP_997601.1, NP_666829.2, NP_666831.2, NP_667062.2
OG0000118	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1	NP_034582.1, XP_011239527.1
OG0000119	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1	NP_001159900.1, NP_001159903.1, NP_001159899.1, XP_006506892.1, NP_001159901.1, NP_001159904.1, NP_598595.1, NP_001159902.1
OG0000120	XP_038395395.1	NP_032912.2
OG0000121	XP_038415793.1	NP_001351185.1, NP_766341.4, XP_006509689.1, NP_001239552.1
OG0000122	XP_038385259.1	NP_001277560.1
OG0000122	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1	NP_001276655.1
OG0000124	XP_038442694.1	NP_033319.1
OG0000125	XP_038401950.1	NP_001152846.2
