Orthogroup	Canis_lupus_familiaris	Urocitellus_parryii
OG0000010	XP_038418409.1, NP_001375564.1	XP_026235001.1
OG0000010	NP_001376103.1, NP_001375879.1	XP_026237833.1, XP_026234999.1, XP_026235002.1
OG0000010	NP_001375888.1, XP_038418410.1, NP_001375884.1, NP_001375881.1	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1
OG0000011	XP_038386314.1	XP_026240157.1
OG0000011	XP_038386305.1	XP_026240169.1
OG0000011	XP_038386315.1	XP_026240287.1
OG0000011	XP_038386308.1	XP_026240223.1
OG0000011	XP_038386303.1	XP_026240156.1
OG0000011	XP_038386309.1	XP_026240283.1, XP_026240273.1, XP_026240279.1
OG0000012	XP_038443043.1, XP_038443045.1, XP_038443044.1	XP_026267998.1
OG0000012	NP_001003116.1	XP_026236424.1, XP_026236422.1
OG0000012	XP_038442409.1	XP_026265286.1
OG0000012	XP_038442408.1, XP_038442410.1	XP_026265287.1
OG0000013	XP_038421256.1	XP_026267604.1
OG0000013	NP_001375605.1	XP_026237059.1, XP_026237056.1, XP_026237061.1
OG0000013	XP_038421257.1, XP_038421258.1, NP_001376074.1, NP_001375607.1, NP_001375608.1, NP_001375609.1	XP_026267646.1
OG0000013	NP_001376117.1	XP_026267655.1, XP_026267654.1
OG0000014	XP_038383494.1	XP_026237452.1
OG0000014	XP_038383510.1	XP_026237457.1
OG0000014	XP_038383498.1, XP_038383503.1	XP_026237453.1
OG0000014	XP_038383497.1, XP_038383496.1	XP_026238218.1
OG0000014	XP_038381450.1	XP_026238215.1
OG0000014	XP_038383509.1, XP_038383508.1	XP_026235530.1
OG0000015	XP_038423317.1	XP_026238401.1
OG0000015	XP_038421309.1	XP_026237050.1, XP_026237057.1, XP_026238370.1, XP_026238358.1, XP_026238520.1, XP_026237048.1, XP_026238002.1, XP_026238003.1, XP_026238256.1, XP_026237055.1
OG0000016	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1
OG0000017	NP_001375448.1, NP_001375576.1	XP_026245802.1
OG0000018	XP_038402506.1	XP_026260518.1, XP_026261538.1
OG0000018	XP_038417997.1	XP_026263466.1, XP_026263454.1, XP_026237650.1
OG0000018	XP_038440271.1, NP_001363857.1	XP_026238633.1
OG0000019	XP_038435794.1	XP_026237345.1
OG0000019	XP_038445405.1	XP_026237905.1
OG0000020	XP_038383733.1, XP_038381457.1	XP_026238549.1, XP_026237159.1
OG0000021	XP_038439912.1	XP_026269162.1, XP_026238265.1, XP_026238466.1
OG0000022	XP_038386332.1	XP_026240150.1
OG0000022	XP_038386347.1	XP_026240155.1
OG0000022	XP_038386329.1	XP_026240267.1, XP_026240268.1
OG0000022	XP_038386339.1	XP_026240151.1
OG0000022	XP_038386342.1	XP_026240264.1
OG0000022	XP_038386333.1	XP_026240207.1
OG0000022	XP_038386334.1	XP_026240188.1
OG0000022	XP_038386340.1	XP_026240152.1
OG0000023	XP_038383893.1	XP_026237812.1
OG0000024	XP_038391423.1	XP_026236673.1, XP_026258497.1, XP_026236675.1
OG0000024	NP_001376086.1	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1
OG0000024	NP_001376019.1	XP_026236679.1, XP_026236681.1
OG0000026	XP_038444801.1, XP_038445366.1	XP_026238000.1
OG0000026	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1	XP_026258673.1
OG0000027	XP_038441743.1	XP_026246086.1
OG0000027	XP_038433464.1	XP_026262798.1
OG0000027	XP_038432130.1	XP_026235932.1
OG0000027	XP_038385540.1	XP_026247615.1
OG0000027	XP_038397772.1	XP_026252923.1
OG0000027	XP_038441741.1	XP_026246085.1
OG0000027	NP_001301019.1	XP_026262797.1
OG0000027	XP_038433463.1	XP_026262767.1
OG0000028	NP_001376096.1, NP_001376114.1	XP_026262339.1, XP_026262308.1, XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1, XP_026262311.1, XP_026262310.1, XP_026262309.1
OG0000028	NP_001375514.1	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1
OG0000028	NP_001376110.1	XP_026262354.1, XP_026262314.1, XP_026262353.1
OG0000028	NP_001376097.1	XP_026262305.1
OG0000029	NP_001376061.1	XP_026258206.1, XP_026258216.1
OG0000029	NP_001375923.1	XP_026238363.1, XP_026237985.1
OG0000029	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1
OG0000031	NP_001375701.1	XP_026256185.1
OG0000031	NP_001375791.1, XP_038445325.1, XP_038412294.1	XP_026236570.1
OG0000032	XP_038386300.1	XP_026238683.1
OG0000032	XP_038445480.1, XP_038445479.1	XP_026240260.1
OG0000032	XP_038445482.1, XP_038386299.1	XP_026240179.1
OG0000032	XP_038386304.1	XP_026240214.1, XP_026240275.1
OG0000033	XP_038402020.1, XP_038402018.1, XP_038402610.1, XP_038402605.1	XP_026238436.1
OG0000033	XP_038402594.1	XP_026260557.1
OG0000034	XP_038421184.1	XP_026238250.1
OG0000035	XP_038435896.1	XP_026247160.1
OG0000035	XP_038389880.1	XP_026268236.1, XP_026268245.1
OG0000035	XP_038386568.1	XP_026241721.1
OG0000035	XP_038417669.1	XP_026253217.1
OG0000038	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1	XP_026236227.1, XP_026237401.1, XP_026237392.1, XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1
OG0000039	XP_038439969.1, XP_038439961.1	XP_026262914.1
OG0000039	XP_038409373.1	XP_026270091.1
OG0000039	XP_038404584.1	XP_026251210.1
OG0000039	XP_038423469.1	XP_026260187.1
OG0000039	XP_038428666.1, XP_038428667.1	XP_026268040.1
OG0000039	XP_038399838.1	XP_026271275.1
OG0000040	NP_001375692.1	XP_026256465.1
OG0000040	XP_038433852.1, XP_038433815.1, XP_038433817.1	XP_026256463.1
OG0000040	NP_001375689.1	XP_026256464.1
OG0000040	NP_001375691.1	XP_026256472.1
OG0000041	XP_038420405.1, XP_038420406.1, NP_001375958.1	XP_026237394.1, XP_026237402.1
OG0000041	NP_001376113.1, NP_001376111.1	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1
OG0000042	XP_038424119.1	XP_026261070.1, XP_026261068.1, XP_026261071.1
OG0000044	NP_001361520.1	XP_026270368.1
OG0000044	NP_001361518.1	XP_026263468.1
OG0000044	XP_038440306.1, XP_038440355.1	XP_026238635.1
OG0000045	NP_001107184.1	XP_026246245.1
OG0000045	XP_038392809.1	XP_026246339.1
OG0000045	NP_001070703.1	XP_026246340.1
OG0000045	NP_001070263.1	XP_026246333.1, XP_026246335.1, XP_026246334.1
OG0000045	NP_001070262.1	XP_026246336.1
OG0000048	NP_001091015.1	XP_026238478.1, XP_026259478.1
OG0000048	NP_001091026.1, NP_001091021.1, XP_038381481.1	XP_026238476.1, XP_026259481.1, XP_026238531.1
OG0000049	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1	XP_026238013.1
OG0000049	XP_038401904.1	XP_026258464.1, XP_026238012.1
OG0000049	XP_038429560.1, XP_038429559.1, XP_038429558.1	XP_026245541.1, XP_026245546.1
OG0000049	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1	XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1
OG0000051	XP_038425970.1	XP_026255320.1
OG0000051	XP_038429926.1	XP_026265318.1
OG0000051	XP_038425967.1	XP_026255301.1
OG0000051	XP_038443974.1	XP_026258432.1
OG0000051	NP_001026988.1	XP_026265330.1
OG0000051	NP_001002979.1	XP_026258425.1
OG0000052	XP_038406653.1	XP_026265990.1
OG0000052	XP_038407502.1, XP_038406617.1	XP_026266000.1
OG0000053	XP_038437063.1	XP_026249293.1
OG0000054	XP_038442333.1	XP_026270998.1, XP_026271004.1
OG0000054	NP_001122308.1	XP_026236607.1
OG0000054	NP_001124302.1	XP_026236611.1, XP_026236602.1, XP_026236612.1
OG0000056	XP_038418408.1	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1
OG0000057	XP_038430057.1	XP_026252071.1, XP_026252070.1, XP_026252069.1
OG0000057	XP_038430066.1, XP_038430065.1	XP_026252063.1
OG0000057	XP_038430019.1	XP_026252062.1
OG0000058	NP_001029164.1	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1
OG0000059	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1	XP_026266847.1, XP_026266841.1, XP_026266840.1, XP_026266844.1, XP_026266832.1, XP_026266851.1
OG0000060	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1	XP_026267874.1
OG0000061	XP_038404743.1	XP_026251389.1
OG0000062	XP_038440142.1	XP_026240359.1
OG0000063	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1	XP_026240951.1, XP_026240950.1
OG0000064	NP_001171205.2	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1
OG0000065	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1
OG0000066	XP_038441026.1, NP_001238973.1, XP_038394823.1, XP_038391773.1, XP_038418293.1, XP_038418454.1, XP_038431159.1	XP_026244187.1
OG0000067	XP_038413461.1	XP_026236572.1
OG0000067	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1	XP_026238203.1
OG0000068	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1	XP_026267428.1, XP_026267431.1
OG0000068	NP_001375951.1	XP_026267408.1
OG0000068	XP_038420397.1	XP_026267409.1
OG0000069	XP_038429693.1, XP_038429692.1	XP_026267381.1
OG0000069	XP_038442580.1	XP_026259295.1
OG0000069	XP_038401156.1	XP_026257779.1
OG0000069	XP_038401908.1	XP_026250043.1
OG0000070	XP_038414006.1	XP_026238079.1
OG0000071	XP_038418378.1, XP_038418833.1, XP_038418375.1, XP_038418377.1	XP_026235182.1
OG0000072	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1	XP_026250638.1
OG0000073	NP_001243375.1	XP_026235392.1, XP_026235393.1
OG0000074	XP_038424692.1, XP_038424721.1	XP_026256774.1, XP_026256773.1
OG0000074	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1	XP_026256772.1
OG0000075	XP_038442549.1	XP_026247983.1
OG0000075	XP_038442578.1	XP_026237986.1
OG0000075	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1	XP_026247979.1
OG0000076	XP_038386335.1	XP_026240269.1
OG0000076	XP_038386352.1	XP_026240265.1
OG0000076	XP_038386344.1	XP_026240153.1
OG0000076	XP_038386345.1	XP_026240263.1
OG0000077	XP_038434167.1	XP_026247781.1
OG0000077	XP_038421758.1, XP_038427137.1	XP_026260980.1
OG0000077	XP_038433776.1	XP_026254605.1
OG0000078	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1
OG0000079	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1
OG0000081	XP_038431683.1	XP_026238355.1
OG0000082	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1	XP_026237577.1
OG0000083	XP_038383872.1	XP_026237843.1, XP_026237841.1, XP_026237844.1
OG0000083	XP_038381465.1	XP_026237849.1
OG0000084	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1
OG0000085	XP_038421311.1	XP_026237062.1
OG0000085	NP_001375917.1, XP_038423318.1	XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1
OG0000086	XP_038419157.1, XP_038419158.1	XP_026262357.1
OG0000086	XP_038395835.1	XP_026236713.1
OG0000086	XP_038431923.1	XP_026257517.1
OG0000086	XP_038403878.1	XP_026253784.1
OG0000086	XP_038403882.1	XP_026253783.1
OG0000087	XP_038437055.1	XP_026236565.1
OG0000087	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1	XP_026236560.1, XP_026236561.1, XP_026251965.1, XP_026236562.1
OG0000087	XP_038437053.1	XP_026236559.1
OG0000088	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1	XP_026255196.1
OG0000089	NP_001375994.1, NP_001375937.1	XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1
OG0000090	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1	XP_026251494.1
OG0000092	NP_001375549.1	XP_026235362.1, XP_026235364.1, XP_026235361.1
OG0000092	NP_001375550.1	XP_026235366.1, XP_026235365.1
OG0000092	NP_001375834.1	XP_026235360.1
OG0000093	XP_038395629.1	XP_026261477.1
OG0000095	NP_001003150.1	XP_026251505.1
OG0000095	NP_001003149.1	XP_026251480.1, XP_026251479.1
OG0000096	XP_038381766.1	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1
OG0000096	XP_038439954.1, XP_038439955.1, XP_038439957.1	XP_026238210.1, XP_026254701.1, XP_026237445.1
OG0000099	XP_038428913.1, XP_038427754.1	XP_026265511.1
OG0000099	XP_038427755.1	XP_026257870.1
OG0000099	XP_038427735.1	XP_026237588.1
OG0000100	NP_001003236.1	XP_026270647.1, XP_026270646.1
OG0000100	XP_038395171.1	XP_026268919.1
OG0000101	XP_038407694.1	XP_026270063.1
OG0000101	XP_038443802.1, XP_038443801.1, XP_038443800.1	XP_026266268.1, XP_026266270.1
OG0000104	XP_038397375.1	XP_026238452.1
OG0000105	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1	XP_026251880.1
OG0000106	XP_038415502.1	XP_026255265.1
OG0000106	XP_038389598.1	XP_026235236.1
OG0000106	XP_038395750.1	XP_026256155.1
OG0000106	NP_001003069.1	XP_026241779.1
OG0000106	XP_038394776.1	XP_026252729.1
OG0000107	NP_001375528.1, NP_001375527.1	XP_026262387.1
OG0000107	NP_001375529.1	XP_026262379.1, XP_026262378.1
OG0000108	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1	XP_026270539.1
OG0000109	NP_001243373.1	XP_026235300.1
OG0000109	NP_001375457.1	XP_026235073.1
OG0000109	XP_038407563.1, NP_001375456.1	XP_026235041.1, XP_026235048.1
OG0000110	XP_038392542.1, XP_038392543.1	XP_026246377.1, XP_026246378.1
OG0000110	XP_038392566.1	XP_026246357.1, XP_026246356.1, XP_026246355.1
OG0000110	XP_038392540.1	XP_026246390.1
OG0000111	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1	XP_026238416.1
OG0000113	XP_038443886.1, XP_038443837.1	XP_026236598.1, XP_026258677.1
OG0000114	NP_001106640.1	XP_026250385.1
OG0000114	XP_038441037.1, XP_038441509.1	XP_026259154.1
OG0000115	XP_038402927.1, XP_038402930.1, XP_038402928.1, XP_038402929.1	XP_026264012.1
OG0000115	NP_001238856.2	XP_026240662.1
OG0000116	XP_038437940.1	XP_026253907.1
OG0000116	XP_038386227.1	XP_026257026.1
OG0000116	XP_038407551.1, XP_038389893.1	XP_026249009.1
OG0000117	XP_038412295.1	XP_026238628.1, XP_026238035.1, XP_026238034.1, XP_026238036.1, XP_026238209.1, XP_026236575.1
OG0000118	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1	XP_026256027.1, XP_026256028.1, XP_026256029.1
OG0000119	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1
OG0000120	XP_038395395.1	XP_026259957.1
OG0000121	XP_038415793.1	XP_026251634.1
OG0000122	XP_038385259.1	XP_026247074.1
OG0000122	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1	XP_026259024.1
OG0000123	NP_001014309.1	XP_026249709.1, XP_026249706.1
OG0000124	XP_038442694.1	XP_026266929.1
OG0000124	NP_001041587.1	XP_026237609.1
OG0000124	XP_038442662.1	XP_026237284.1
OG0000124	NP_001041588.1	XP_026235843.1
OG0000125	XP_038401950.1	XP_026242669.1
OG0000125	XP_038402032.1, NP_001333023.1, NP_001333024.1	XP_026242724.1, XP_026242670.1, XP_026242718.1
OG0000125	XP_038402033.1	XP_026242611.1
OG0000126	XP_038424069.1	XP_026257293.1, XP_026237995.1, XP_026257295.1
OG0000126	XP_038425265.1	XP_026238454.1
OG0000127	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1	XP_026258986.1
OG0000128	XP_038440246.1	XP_026263488.1
OG0000128	XP_038440245.1	XP_026263508.1
OG0000130	XP_038424091.1	XP_026256846.1
OG0000130	NP_001375626.1	XP_026256845.1
OG0000130	XP_038424092.1	XP_026256705.1
OG0000131	NP_001375841.1, NP_001375840.1, NP_001375664.1, NP_001375665.1	XP_026236795.1, XP_026236791.1, XP_026236793.1
OG0000132	XP_038382133.1, XP_038382135.1, XP_038382134.1	XP_026253416.1, XP_026253412.1, XP_026253414.1, XP_026253415.1, XP_026253413.1, XP_026253410.1, XP_026253411.1
OG0000133	XP_038397365.1, XP_038397362.1, XP_038397364.1, XP_038397366.1, XP_038397360.1, XP_038397361.1, XP_038397363.1	XP_026265758.1, XP_026265757.1
OG0000134	XP_038432511.1	XP_026259066.1
OG0000135	XP_038435217.1	XP_026250197.1
OG0000136	XP_038435284.1, XP_038435281.1, XP_038435283.1, XP_038435288.1, XP_038435286.1, XP_038435280.1, XP_038435287.1, XP_038435282.1, XP_038435285.1	XP_026264277.1, XP_026264276.1, XP_026264275.1
OG0000137	NP_001375442.1	XP_026265173.1
OG0000137	NP_001375785.1	XP_026265174.1
OG0000137	NP_001375491.1	XP_026265175.1
OG0000138	XP_038424772.1	XP_026256886.1
OG0000138	NP_001375774.1	XP_026256847.1
OG0000138	NP_001375932.1	XP_026256881.1
OG0000139	XP_038415419.1, XP_038415429.1, XP_038415424.1, XP_038415422.1, XP_038415427.1, XP_038415423.1, XP_038415426.1, XP_038415428.1, XP_038415420.1, XP_038415416.1, XP_038415421.1, XP_038415415.1, XP_038415417.1, XP_038415418.1, XP_038415425.1	XP_026236254.1, XP_026236259.1, XP_026236250.1, XP_026236256.1, XP_026236258.1, XP_026236255.1, XP_026236249.1, XP_026236251.1, XP_026236257.1, XP_026236253.1
OG0000142	XP_038386907.1	XP_026251487.1
OG0000143	XP_038427721.1	XP_026267021.1
OG0000144	XP_038427434.1	XP_026256477.1
OG0000145	XP_038431963.1, XP_038431964.1, XP_038431969.1, XP_038431970.1, XP_038431968.1, XP_038431966.1, XP_038431967.1, XP_038431965.1	XP_026264744.1, XP_026264745.1, XP_026264742.1, XP_026264743.1
OG0000146	XP_038435683.1, XP_038435682.1, XP_038435680.1, XP_038435681.1	XP_026238756.1, XP_026238746.1, XP_026238765.1, XP_026238772.1
OG0000147	NP_001243464.1, NP_001002945.2	XP_026251867.1
OG0000148	NP_001375983.1	XP_026267821.1, XP_026267807.1
OG0000148	NP_001300743.1, NP_001375485.1	XP_026267806.1
OG0000149	XP_038384701.1	XP_026259522.1
OG0000149	XP_038442297.1	XP_026263723.1
OG0000149	NP_001376153.1	XP_026249891.1
OG0000149	XP_038442287.1	XP_026263726.1
OG0000150	XP_038394660.1	XP_026238430.1, XP_026237897.1, XP_026237898.1, XP_026237900.1, XP_026237899.1, XP_026237901.1, XP_026237903.1, XP_026238356.1, XP_026248438.1, XP_026269077.1, XP_026237896.1
OG0000151	XP_038402080.1	XP_026249932.1
OG0000153	XP_038444820.1, XP_038444990.1, XP_038445011.1, XP_038444901.1	XP_026238093.1, XP_026237755.1
OG0000156	XP_038384591.1	XP_026259518.1
OG0000156	NP_001003331.1	XP_026238050.1
OG0000157	XP_038428800.1, XP_038428799.1	XP_026269250.1
OG0000157	XP_038413304.1	XP_026249807.1
OG0000158	NP_001239215.1, XP_038442421.1	XP_026268724.1
OG0000158	XP_038445525.1	XP_026264336.1
OG0000159	NP_001375698.1	XP_026266848.1, XP_026266849.1, XP_026266846.1
OG0000159	NP_001375903.1	XP_026266842.1
OG0000160	XP_038445322.1	XP_026268037.1
OG0000161	XP_038417674.1	XP_026267513.1, XP_026238663.1, XP_026267512.1
OG0000162	NP_001002986.1	XP_026266683.1
OG0000163	NP_001003125.1	XP_026248265.1, XP_026248287.1
OG0000164	XP_038435479.1	XP_026253089.1, XP_026253091.1
OG0000164	XP_038383207.1, XP_038435481.1	XP_026253092.1
