Orthogroup	Canis_lupus_familiaris	Ursus_americanus
OG0000005	NP_001376104.1	XP_045645521.1
OG0000006	XP_038400303.1, XP_038400305.1, XP_038400304.1	XP_045656292.1
OG0000007	NP_001346935.1	XP_045641340.1
OG0000007	NP_001013874.1	XP_045645410.1, XP_045645411.1, XP_045645412.1
OG0000007	XP_038381463.1	XP_045645184.1
OG0000008	XP_038383866.1	XP_045631098.1
OG0000008	XP_038409055.1	XP_045670779.1
OG0000008	XP_038444566.1	XP_045644759.1
OG0000008	XP_038443189.1, XP_038443224.1	XP_045651930.1
OG0000008	XP_038384956.1	XP_045642057.1
OG0000008	XP_038445242.1	XP_045669366.1
OG0000008	XP_038395427.1	XP_045669362.1
OG0000008	XP_038389738.1, XP_038389739.1, XP_038389737.1, XP_038389736.1	XP_045658297.1
OG0000008	XP_038435142.1	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1
OG0000008	XP_038394427.1	XP_045670809.1
OG0000009	NP_001018646.1	XP_045642632.1
OG0000009	NP_001014767.1, XP_038409410.1, NP_001014400.1	XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1
OG0000010	NP_001375563.1	XP_045642840.1
OG0000010	XP_038418409.1, NP_001375564.1	XP_045642833.1, XP_045642838.1
OG0000010	NP_001376103.1, NP_001375879.1	XP_045642839.1
OG0000010	NP_001375888.1, XP_038418410.1, NP_001375884.1	XP_045642832.1, XP_045642831.1
OG0000010	NP_001375881.1	XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1
OG0000011	XP_038386314.1	XP_045650417.1
OG0000011	XP_038386305.1	XP_045650426.1
OG0000011	XP_038386315.1	XP_045650411.1
OG0000011	XP_038386324.1	XP_045650409.1
OG0000011	XP_038386312.1	XP_045650424.1
OG0000011	XP_038386308.1	XP_045650423.1
OG0000011	XP_038386303.1	XP_045650419.1
OG0000011	XP_038386309.1	XP_045650422.1
OG0000011	XP_038386325.1	XP_045650410.1
OG0000011	XP_038386316.1	XP_045650407.1
OG0000012	XP_038443043.1, XP_038443045.1, XP_038443044.1	XP_045659615.1
OG0000012	NP_001003116.1	XP_045660985.1, XP_045660983.1
OG0000012	XP_038442406.1, XP_038442407.1	XP_045660984.1
OG0000012	XP_038442402.1, XP_038442403.1	XP_045659614.1
OG0000012	XP_038442409.1	XP_045634849.1
OG0000012	XP_038442401.1	XP_045659613.1
OG0000012	XP_038442408.1, XP_038442410.1	XP_045634850.1, XP_045634848.1
OG0000013	XP_038421256.1	XP_045630277.1
OG0000013	XP_038421257.1	XP_045630276.1
OG0000013	XP_038421258.1	XP_045630304.1
OG0000013	NP_001376074.1, NP_001375607.1	XP_045630339.1, XP_045630337.1
OG0000013	NP_001375608.1	XP_045630386.1, XP_045630336.1
OG0000013	NP_001375609.1	XP_045630350.1
OG0000013	NP_001376117.1	XP_045630326.1
OG0000014	XP_038383494.1	XP_045629486.1
OG0000014	XP_038383510.1	XP_045629702.1
OG0000014	XP_038381446.1	XP_045629270.1
OG0000014	XP_038383493.1	XP_045629750.1, XP_045629740.1
OG0000014	XP_038383498.1	XP_045629613.1, XP_045629604.1
OG0000014	XP_038383503.1	XP_045629575.1
OG0000014	XP_038383497.1, XP_038383496.1	XP_045629542.1
OG0000014	XP_038381450.1	XP_045629587.1
OG0000014	XP_038383509.1, XP_038383508.1	XP_045629495.1, XP_045629475.1
OG0000014	XP_038383445.1	XP_045629594.1
OG0000014	XP_038383390.1	XP_045629381.1
OG0000014	XP_038383389.1, XP_038383388.1	XP_045629351.1, XP_045629360.1
OG0000014	XP_038381447.1, XP_038383385.1, XP_038383387.1, XP_038383391.1	XP_045629324.1, XP_045629314.1, XP_045629339.1, XP_045629281.1, XP_045629304.1
OG0000014	XP_038383448.1	XP_045629580.1
OG0000015	XP_038423317.1	XP_045630316.1
OG0000015	XP_038421309.1	XP_045630360.1
OG0000015	NP_001375602.1	XP_045630319.1
OG0000016	XP_038409208.1	XP_045636723.1
OG0000016	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1
OG0000017	NP_001375448.1, NP_001375576.1	XP_045634772.1, XP_045634756.1
OG0000017	NP_001375733.1	XP_045629764.1
OG0000017	XP_038402084.1	XP_045629463.1
OG0000018	XP_038402506.1	XP_045670225.1
OG0000018	XP_038417997.1	XP_045633105.1
OG0000018	XP_038440338.1	XP_045656399.1
OG0000018	XP_038440271.1, NP_001363857.1	XP_045656357.1
OG0000019	NP_001375695.1	XP_045643387.1
OG0000019	XP_038435794.1	XP_045645143.1, XP_045643386.1
OG0000020	XP_038383733.1, XP_038381457.1	XP_045645295.1, XP_045645300.1, XP_045645315.1, XP_045645319.1, XP_045645325.1, XP_045645342.1, XP_045645296.1, XP_045645314.1, XP_045645289.1
OG0000021	XP_038439912.1	XP_045672083.1
OG0000022	XP_038386332.1	XP_045650387.1
OG0000022	XP_038386364.1	XP_045650393.1
OG0000022	XP_038386347.1	XP_045650396.1
OG0000022	XP_038386329.1	XP_045650384.1
OG0000022	XP_038386342.1	XP_045650404.1
OG0000022	XP_038386333.1	XP_045650405.1
OG0000022	XP_038386340.1	XP_045650392.1
OG0000023	XP_038383955.1	XP_045631035.1
OG0000023	XP_038384083.1	XP_045628241.1, XP_045631030.1
OG0000023	XP_038383893.1	XP_045631124.1
OG0000023	XP_038381467.1	XP_045631031.1
OG0000023	XP_038383930.1, XP_038383932.1	XP_045631089.1
OG0000024	XP_038391423.1	XP_045653510.1
OG0000024	NP_001376086.1	XP_045653577.1
OG0000024	NP_001376019.1	XP_045653509.1, XP_045653508.1
OG0000026	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1	XP_045672087.1
OG0000026	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1
OG0000027	XP_038441743.1	XP_045633509.1
OG0000027	XP_038433464.1	XP_045657089.1
OG0000027	XP_038432130.1	XP_045631313.1
OG0000027	XP_038385540.1	XP_045668843.1
OG0000027	XP_038397772.1	XP_045643594.1
OG0000027	XP_038431894.1	XP_045671137.1
OG0000027	NP_001301019.1	XP_045657088.1
OG0000027	XP_038433463.1	XP_045657091.1
OG0000028	NP_001376096.1, NP_001376114.1	XP_045643020.1, XP_045643013.1
OG0000028	NP_001375514.1	XP_045643014.1, XP_045643018.1
OG0000028	NP_001376110.1	XP_045643019.1, XP_045643012.1, XP_045643011.1
OG0000028	NP_001375516.1, NP_001375515.1	XP_045643017.1, XP_045643010.1
OG0000028	NP_001376097.1	XP_045643015.1
OG0000029	NP_001376061.1	XP_045641565.1, XP_045641598.1
OG0000029	NP_001375923.1	XP_045641600.1
OG0000029	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1
OG0000031	XP_038399997.1	XP_045659913.1, XP_045659986.1
OG0000031	NP_001375701.1	XP_045656296.1, XP_045656558.1
OG0000031	XP_038439908.1	XP_045659892.1, XP_045656295.1, XP_045656559.1, XP_045656562.1, XP_045656557.1, XP_045656560.1, XP_045656555.1, XP_045656561.1, XP_045659894.1, XP_045659893.1, XP_045659895.1
OG0000031	NP_001375791.1, XP_038445325.1, XP_038412294.1	XP_045635020.1
OG0000032	XP_038386300.1	XP_045650439.1
OG0000032	XP_038445482.1, XP_038386299.1	XP_045650435.1
OG0000032	XP_038445478.1, XP_038386311.1	XP_045650433.1
OG0000032	XP_038386304.1	XP_045650440.1
OG0000033	XP_038402020.1, XP_038402018.1	XP_045670473.1, XP_045670472.1
OG0000033	XP_038402610.1	XP_045670367.1
OG0000033	XP_038402605.1	XP_045670081.1
OG0000033	XP_038402594.1	XP_045670271.1, XP_045670269.1, XP_045670270.1
OG0000033	XP_038402015.1, XP_038402014.1	XP_045670237.1, XP_045670459.1
OG0000033	XP_038402604.1	XP_045670411.1, XP_045670491.1
OG0000033	XP_038402589.1	XP_045669873.1
OG0000034	XP_038421184.1	XP_045635028.1, XP_045659988.1
OG0000035	XP_038435896.1	XP_045628381.1
OG0000035	XP_038389880.1	XP_045639549.1, XP_045639550.1
OG0000035	NP_001182774.2	XP_045669289.1
OG0000035	NP_001003349.2	XP_045630929.1
OG0000035	XP_038386568.1	XP_045650270.1
OG0000035	XP_038417669.1	XP_045644253.1
OG0000036	XP_038435140.1, XP_038435141.1, XP_038435139.1	XP_045665317.1, XP_045665320.1, XP_045665319.1
OG0000036	NP_001183973.1	XP_045641026.1, XP_045641029.1, XP_045641028.1
OG0000038	NP_001376082.1	XP_045642452.1, XP_045642453.1
OG0000038	XP_038418394.1	XP_045642950.1
OG0000038	NP_001376034.1, NP_001376079.1	XP_045642454.1
OG0000039	XP_038439969.1	XP_045667593.1
OG0000039	XP_038439961.1	XP_045667466.1
OG0000039	XP_038409373.1	XP_045656493.1
OG0000039	XP_038404584.1	XP_045659670.1
OG0000039	XP_038423469.1	XP_045632691.1
OG0000039	XP_038428666.1, XP_038428667.1	XP_045670590.1
OG0000039	XP_038399838.1	XP_045671051.1
OG0000040	NP_001375692.1	XP_045656782.1
OG0000040	XP_038432088.1, NP_001375981.1	XP_045656776.1
OG0000040	XP_038433852.1, XP_038433815.1, XP_038433817.1	XP_045656701.1, XP_045656770.1
OG0000040	NP_001375799.1	XP_045656771.1
OG0000040	NP_001375690.1	XP_045656777.1
OG0000040	NP_001375976.1, XP_038432089.1	XP_045656775.1
OG0000040	NP_001375687.1	XP_045656698.1
OG0000040	NP_001375693.1	XP_045656702.1
OG0000040	NP_001375688.1	XP_045656697.1, XP_045656773.1
OG0000040	NP_001375689.1	XP_045656774.1
OG0000040	NP_001375691.1	XP_045656781.1
OG0000041	XP_038420405.1, XP_038420406.1	XP_045642449.1, XP_045642450.1, XP_045642448.1
OG0000041	NP_001375958.1	XP_045642441.1
OG0000041	NP_001376113.1	XP_045642937.1
OG0000041	NP_001376111.1	XP_045642938.1
OG0000042	XP_038424119.1	XP_045664621.1
OG0000043	NP_001375875.1	XP_045639029.1
OG0000044	NP_001361520.1	XP_045656420.1
OG0000044	NP_001361517.1, XP_038439907.1	XP_045633101.1
OG0000044	XP_038440355.1	XP_045656374.1
OG0000045	NP_001107184.1	XP_045653186.1
OG0000045	XP_038392809.1	XP_045653193.1
OG0000045	NP_001070703.1	XP_045653194.1
OG0000045	NP_001070263.1	XP_045653188.1, XP_045653187.1, XP_045653189.1
OG0000045	NP_001070262.1	XP_045653191.1
OG0000046	XP_038422927.1	XP_045634549.1
OG0000046	XP_038422922.1	XP_045634634.1, XP_045634633.1
OG0000046	XP_038422926.1	XP_045634710.1
OG0000048	NP_001106930.1, NP_001091015.1	XP_045642300.1
OG0000048	NP_001091026.1	XP_045635920.1
OG0000048	NP_001091021.1, XP_038381481.1	XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1
OG0000049	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1	XP_045663942.1
OG0000049	XP_038401904.1	XP_045663874.1
OG0000049	XP_038429560.1, XP_038429559.1, XP_038429558.1	XP_045655350.1
OG0000049	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1	XP_045655349.1
OG0000051	XP_038425970.1	XP_045628930.1
OG0000051	XP_038429926.1	XP_045631233.1
OG0000051	XP_038425967.1	XP_045628928.1, XP_045628929.1
OG0000051	XP_038443974.1	XP_045642234.1
OG0000051	NP_001026988.1	XP_045631224.1
OG0000051	NP_001002979.1	XP_045634948.1
OG0000052	XP_038406653.1	XP_045635810.1
OG0000052	XP_038407502.1, XP_038406617.1	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1
OG0000053	XP_038437059.1	XP_045641654.1
OG0000053	XP_038437057.1, XP_038437061.1	XP_045641655.1
OG0000054	XP_038442333.1	XP_045640444.1
OG0000054	NP_001122310.1	XP_045639962.1, XP_045640348.1, XP_045640424.1, XP_045640421.1, XP_045640427.1
OG0000054	XP_038442330.1, NP_001122309.1	XP_045640227.1
OG0000054	NP_001122308.1	XP_045640578.1
OG0000054	NP_001124302.1	XP_045639995.1
OG0000055	XP_038424111.1	XP_045639049.1
OG0000055	NP_001375864.1	XP_045639031.1
OG0000056	XP_038418408.1	XP_045642850.1
OG0000057	XP_038430031.1	XP_045650108.1
OG0000057	XP_038430057.1	XP_045650116.1
OG0000057	XP_038430019.1	XP_045650100.1
OG0000058	NP_001029164.1	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1
OG0000059	XP_038438402.1, NP_001375792.1	XP_045641569.1, XP_045641571.1
OG0000059	XP_038438401.1	XP_045641607.1, XP_045641610.1
OG0000059	NP_001375911.1	XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1
OG0000059	XP_038438403.1	XP_045641606.1, XP_045641602.1
OG0000060	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1
OG0000061	NP_001271390.1	XP_045670758.1
OG0000061	XP_038404743.1	XP_045669635.1
OG0000062	XP_038440142.1	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1
OG0000063	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1	XP_045666392.1
OG0000064	NP_001171205.2	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1
OG0000065	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1	XP_045663223.1
OG0000066	XP_038418454.1	XP_045656564.1
OG0000067	XP_038413461.1	XP_045628280.1
OG0000067	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1	XP_045628274.1
OG0000067	XP_038412293.1, XP_038445182.1, XP_038445181.1	XP_045628275.1
OG0000067	NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1	XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1
OG0000068	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1
OG0000068	NP_001375951.1	XP_045642474.1
OG0000068	XP_038420397.1	XP_045643023.1
OG0000069	XP_038429693.1, XP_038429692.1	XP_045630052.1
OG0000069	XP_038442580.1	XP_045644771.1
OG0000069	XP_038401156.1	XP_045663810.1
OG0000070	XP_038408465.1	XP_045636453.1
OG0000070	XP_038414006.1	XP_045655412.1
OG0000071	XP_038418378.1, XP_038418833.1	XP_045626723.1
OG0000071	XP_038418375.1, XP_038418377.1	XP_045626763.1, XP_045626722.1
OG0000072	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1
OG0000073	NP_001243375.1	XP_045642928.1
OG0000073	NP_001375962.1	XP_045642930.1
OG0000074	XP_038424692.1, XP_038424721.1	XP_045638737.1, XP_045638729.1
OG0000074	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1	XP_045638730.1
OG0000075	XP_038442549.1	XP_045660960.1
OG0000075	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1	XP_045644393.1, XP_045660188.1
OG0000076	XP_038386335.1	XP_045650397.1
OG0000076	XP_038386350.1	XP_045650398.1
OG0000076	XP_038386343.1	XP_045650395.1
OG0000076	XP_038386351.1	XP_045650402.1
OG0000076	XP_038386345.1	XP_045650394.1
OG0000077	XP_038434167.1	XP_045662121.1
OG0000077	XP_038433776.1	XP_045656813.1
OG0000078	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1	XP_045645657.1, XP_045645656.1
OG0000079	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1
OG0000080	XP_038419100.1	XP_045642701.1, XP_045642703.1, XP_045642702.1
OG0000080	XP_038419098.1, XP_038419099.1	XP_045642704.1, XP_045642705.1
OG0000081	XP_038431683.1	XP_045644444.1
OG0000082	XP_038437552.1	XP_045632334.1
OG0000082	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1	XP_045669507.1, XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1, XP_045632306.1, XP_045632302.1
OG0000083	XP_038383884.1	XP_045631169.1
OG0000083	XP_038383872.1	XP_045631170.1
OG0000083	XP_038381465.1	XP_045631116.1
OG0000083	XP_038383897.1, XP_038383883.1	XP_045631173.1
OG0000084	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1
OG0000085	XP_038421311.1	XP_045630357.1
OG0000085	NP_001375917.1	XP_045630221.1
OG0000085	XP_038423318.1	XP_045630359.1
OG0000086	XP_038395835.1	XP_045641894.1
OG0000086	XP_038431923.1	XP_045658490.1
OG0000087	XP_038437055.1	XP_045641652.1
OG0000087	XP_038437657.1, XP_038437656.1	XP_045641651.1, XP_045641650.1
OG0000087	XP_038437054.1, XP_038437051.1, XP_038437052.1	XP_045641647.1, XP_045641646.1, XP_045641648.1
OG0000087	XP_038437053.1	XP_045641653.1
OG0000088	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1
OG0000089	NP_001376137.1, XP_038418396.1	XP_045642921.1, XP_045642923.1
OG0000089	NP_001375994.1	XP_045642922.1
OG0000089	NP_001375937.1	XP_045642925.1
OG0000090	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1
OG0000092	NP_001375549.1	XP_045642909.1
OG0000092	NP_001375550.1	XP_045642908.1
OG0000093	XP_038395629.1	XP_045669385.1
OG0000095	NP_001003150.1	XP_045662670.1
OG0000095	XP_038388047.1	XP_045665810.1
OG0000095	NP_001003149.1	XP_045662783.1
OG0000095	XP_038386933.1, NP_001003173.1, XP_038399958.1	XP_045662784.1, XP_045662786.1
OG0000096	XP_038381766.1	XP_045646194.1
OG0000096	XP_038439954.1, XP_038439955.1, XP_038439957.1	XP_045667579.1
OG0000099	XP_038428913.1, XP_038427754.1	XP_045666662.1
OG0000099	XP_038427755.1	XP_045663708.1, XP_045663726.1
OG0000099	XP_038427735.1	XP_045663783.1, XP_045663791.1
OG0000100	NP_001003236.1	XP_045659404.1
OG0000100	XP_038395171.1	XP_045629752.1
OG0000101	XP_038407694.1, XP_038441038.1	XP_045650931.1
OG0000101	XP_038443802.1, XP_038443801.1, XP_038443800.1	XP_045655963.1
OG0000102	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1	XP_045627453.1
OG0000104	XP_038397375.1	XP_045657785.1, XP_045657784.1
