Orthogroup	Canis_lupus_familiaris	Loxodonta_africana
OG0000014	XP_038381450.1	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1
OG0000014	XP_038383504.1	XP_023399398.1
OG0000014	XP_038383509.1, XP_038383508.1, XP_038383445.1, XP_038383390.1, XP_038383389.1, XP_038383388.1, XP_038381447.1, XP_038383385.1, XP_038383387.1, XP_038383391.1, XP_038383448.1	XP_023399405.1
OG0000015	XP_038421309.1	XP_023408235.1
OG0000015	NP_001375602.1	XP_003413450.1, XP_010601001.1, XP_023407697.1, XP_003423589.2, XP_003422950.1, XP_003422956.1, XP_023407699.1, XP_003423696.3, XP_003422957.2
OG0000016	XP_038409208.1	XP_010586204.1
OG0000016	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1
OG0000017	NP_001375733.1	XP_003422523.1
OG0000018	XP_038402506.1	XP_010595256.1, XP_003410978.1
OG0000018	XP_038417997.1	XP_023403167.1, XP_023403166.1
OG0000018	NP_001361514.1, XP_038440360.1, XP_038440338.1	XP_023411474.1, XP_023411484.1, XP_023411483.1
OG0000018	XP_038440272.1	XP_023396021.1
OG0000019	NP_001375695.1	XP_023414395.1, XP_023397997.1
OG0000019	XP_038435794.1	XP_003418816.1, XP_003423153.1
OG0000019	XP_038445405.1	XP_003423150.2
OG0000020	XP_038383733.1, XP_038381457.1	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1, XP_023399870.1
OG0000021	XP_038439912.1	XP_003422178.2, XP_003423157.2, XP_003421251.1, XP_023396125.1, XP_003421879.3, XP_003421891.2, XP_003421896.3, XP_003421881.1, XP_003421882.1, XP_010599494.1
OG0000022	XP_038386332.1	XP_023405791.1
OG0000022	XP_038386364.1	XP_023405693.1
OG0000022	XP_038386347.1	XP_023405753.1
OG0000022	XP_038386329.1	XP_023405672.1
OG0000022	XP_038386339.1	XP_023405683.1
OG0000022	XP_038386342.1	XP_023405761.1
OG0000022	XP_038386333.1	XP_023408412.1
OG0000022	XP_038386340.1	XP_023405686.1
OG0000023	XP_038383893.1	XP_023399116.1
OG0000023	XP_038383930.1, XP_038383932.1	XP_010585287.2, XP_023399851.1, XP_023399850.1, XP_023399132.1
OG0000024	XP_038391423.1	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3
OG0000024	NP_001376086.1	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1
OG0000024	NP_001376019.1	XP_003422135.2, XP_003422117.2, XP_010599718.1
OG0000026	XP_038445160.1, XP_038445571.1, XP_038445438.1, XP_038445439.1, XP_038445441.1, XP_038445442.1, XP_038445437.1, XP_038445440.1, XP_038445436.1, XP_038445310.1, XP_038445326.1, XP_038445311.1, XP_038445370.1, XP_038445371.1, XP_038445312.1, XP_038444801.1, XP_038445366.1	XP_003421750.1
OG0000026	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1	XP_010593038.2
OG0000027	XP_038441743.1	XP_023397082.1
OG0000027	XP_038433464.1	XP_010594690.1
OG0000027	XP_038432130.1	XP_010589075.1
OG0000027	XP_038385540.1	XP_023404513.1
OG0000027	XP_038431894.1, XP_038431882.1	XP_010597190.2
OG0000027	NP_001301019.1	XP_010594676.1
OG0000027	XP_038433463.1	XP_010594685.1
OG0000028	NP_001375514.1	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2
OG0000028	NP_001376110.1, NP_001375516.1, NP_001375515.1, NP_001376097.1	XP_003421462.1
OG0000029	NP_001376061.1	XP_003418984.1, XP_003418985.1, XP_003419000.1
OG0000029	NP_001375923.1	XP_003410244.2, XP_010588697.2
OG0000029	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1
OG0000031	XP_038399997.1	XP_023396098.1, XP_023397619.1
OG0000031	NP_001375701.1	XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1
OG0000032	XP_038386300.1	XP_010592223.1
OG0000032	XP_038445480.1, XP_038445479.1	XP_003404853.1
OG0000032	XP_038445482.1, XP_038386299.1, XP_038445478.1, XP_038386311.1, XP_038386304.1	XP_003404850.1
OG0000033	XP_038402020.1, XP_038402018.1, XP_038402610.1, XP_038402605.1	XP_023412690.1, XP_023412695.1, XP_023412688.1
OG0000033	XP_038402015.1, XP_038402014.1, XP_038402604.1	XP_023412689.1, XP_023412699.1
OG0000033	XP_038402589.1	XP_023412685.1
OG0000034	XP_038421184.1	XP_023396128.1
OG0000035	XP_038435896.1	XP_003418690.1
OG0000035	XP_038389880.1	XP_003415269.1
OG0000035	NP_001182774.2	XP_010594571.1
OG0000035	NP_001003349.2	XP_010595197.1
OG0000035	XP_038386568.1	XP_003408097.1
OG0000035	XP_038417669.1	XP_003413731.1
OG0000036	XP_038435140.1, XP_038435141.1, XP_038435139.1	XP_003409026.2
OG0000036	NP_001183973.1	XP_003409268.2, XP_003409269.2
OG0000038	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1	XP_023398170.1, XP_023397817.1, XP_003423248.1, XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1, XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1, XP_003423249.1, XP_003422722.1, XP_003422728.1, XP_023398043.1, XP_023398164.1, XP_003423034.1, XP_003422726.1, XP_003423206.1, XP_003422914.1, XP_003422729.1, XP_003422725.1, XP_003422723.1, XP_023398090.1, XP_023398094.1, XP_023397812.1, XP_010600606.1, XP_010600410.2, XP_010600607.2, XP_003422733.1, XP_003423130.1, XP_023397908.1, XP_003422720.1, XP_023397909.1, XP_010600639.2, XP_023398171.1, XP_023398516.1, XP_003423127.1, XP_023398312.1
OG0000039	XP_038439961.1	XP_003417907.1
OG0000039	XP_038428666.1, XP_038428667.1	XP_003420000.1
OG0000039	XP_038399838.1	XP_003406436.1
OG0000040	NP_001375692.1	XP_023411544.1
OG0000040	XP_038432088.1, NP_001375981.1	XP_003405458.1
OG0000040	XP_038433852.1, XP_038433815.1, XP_038433817.1	XP_023395897.1, XP_003405469.1, XP_003405468.1
OG0000040	NP_001375799.1	XP_003405467.1, XP_003405465.1
OG0000040	NP_001375690.1	XP_003405455.1, XP_003405457.1
OG0000040	NP_001375687.1	XP_023395861.1
OG0000040	XP_038433851.1	XP_003405444.1
OG0000040	NP_001375688.1	XP_003405466.1, XP_003405462.1
OG0000040	NP_001375689.1	XP_023395853.1, XP_010594517.1, XP_003405461.1
OG0000040	NP_001375691.1	XP_023395770.1
OG0000041	XP_038420405.1, XP_038420406.1, NP_001375958.1	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1
OG0000041	NP_001376113.1, NP_001376111.1	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1
OG0000042	XP_038424119.1	XP_010590492.2
OG0000043	NP_001375875.1	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1
OG0000044	NP_001361520.1	XP_003416454.1
OG0000044	NP_001361509.1	XP_003405712.1
OG0000044	NP_001361517.1, XP_038439907.1	XP_023411493.1, XP_023411495.1
OG0000044	XP_038440355.1	XP_023397189.1
OG0000045	NP_001107184.1	XP_023412232.1
OG0000045	XP_038392809.1	XP_003416837.1
OG0000045	NP_001070703.1	XP_010594913.2
OG0000045	NP_001070263.1	XP_003416978.1, XP_003416977.1
OG0000045	NP_001070262.1	XP_010594915.1
OG0000046	XP_038422927.1	XP_023408052.1
OG0000048	NP_001091015.1	XP_023398867.1, XP_023398863.1, XP_023399788.1
OG0000048	NP_001091026.1, NP_001091021.1, XP_038381481.1	XP_010584712.1
OG0000049	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1	XP_010587012.1
OG0000049	XP_038401904.1	XP_023402084.1
OG0000049	XP_038429560.1, XP_038429559.1, XP_038429558.1, XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1	XP_010593953.1
OG0000051	XP_038425970.1	XP_010592337.1
OG0000051	XP_038429926.1	XP_010595976.1
OG0000051	XP_038425967.1	XP_023408848.1
OG0000051	XP_038443974.1	XP_010593035.1
OG0000051	NP_001026988.1	XP_010595977.1
OG0000051	NP_001002979.1	XP_010593034.1
OG0000052	XP_038406653.1	XP_023415736.1
OG0000052	XP_038407502.1, XP_038406617.1	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1
OG0000053	XP_038437059.1	XP_023403950.1
OG0000054	XP_038442333.1	NP_001267816.1
OG0000054	NP_001122308.1	XP_003415217.1
OG0000054	NP_001124302.1	XP_003415004.1
OG0000055	XP_038424111.1	XP_003412241.1
OG0000055	NP_001375864.1	XP_010590623.2, XP_003412238.2, XP_003412240.1
OG0000056	XP_038418408.1	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1
OG0000057	XP_038430031.1	XP_023413548.1
OG0000057	XP_038430057.1	XP_023413479.1, XP_023413547.1
OG0000057	XP_038430019.1	XP_023413538.1
OG0000058	NP_001029164.1	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1
OG0000060	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1	XP_010599816.1, XP_010599817.1
OG0000061	XP_038404743.1	XP_023397963.1
OG0000062	XP_038440142.1	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1
OG0000063	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1
OG0000064	NP_001171205.2	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1
OG0000065	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1	XP_010588064.1, XP_003410116.1
OG0000066	XP_038394823.1, XP_038391773.1	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1
OG0000067	XP_038413461.1	XP_010599789.1, XP_003423726.1
OG0000067	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1
OG0000068	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1	XP_003422804.1
OG0000068	NP_001375951.1	XP_023397700.1
OG0000068	XP_038420397.1	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1
OG0000069	XP_038429693.1, XP_038429692.1	XP_003412414.1
OG0000069	XP_038442580.1	XP_010599088.1
OG0000069	XP_038401156.1	XP_010587034.1
OG0000069	XP_038401908.1	XP_023402289.1
OG0000070	XP_038414006.1	XP_010589597.1
OG0000071	XP_038418375.1, XP_038418377.1	XP_010600554.1, XP_003423115.1, XP_010600557.1
OG0000072	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1
OG0000073	NP_001243375.1	XP_023397904.1, XP_010600495.2, XP_003423015.2, XP_003423011.2, XP_010600489.1, XP_003423326.1, XP_010600516.1, XP_003423006.1, XP_010600996.1, XP_003423007.1, XP_010600709.1, XP_010600517.1, XP_003423013.3, XP_003423008.1, XP_003423432.1, XP_023398259.1, XP_010601011.1, XP_023397903.1, XP_023397613.1, XP_003423010.2, XP_023411822.1, XP_003423012.2, XP_003423017.2, XP_010601075.2, XP_003423435.1, XP_003423016.2, XP_003416748.1, XP_023397888.1, XP_003422684.1, XP_003423063.2, XP_010600788.2, XP_010600252.1, XP_010601051.2, XP_023397896.1, XP_010600708.1, XP_003423396.2, XP_023398260.1, XP_003422681.2, XP_003423062.2, XP_003422770.1, XP_003422369.1, XP_010600258.1, XP_003422393.2, XP_023398367.1, XP_003423677.3, XP_003422687.1, XP_003423764.1
OG0000073	NP_001375962.1	XP_023398159.1, XP_023411831.1, XP_003423031.1, XP_023397899.1
OG0000074	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1	XP_003420108.1
OG0000075	XP_038442549.1	XP_023394872.1, XP_010598359.2
OG0000075	XP_038442578.1	XP_003421271.1
OG0000075	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1	XP_003420215.1
OG0000076	XP_038386335.1	XP_023405724.1
OG0000076	XP_038386352.1	XP_010589665.2, XP_023405722.1
OG0000076	XP_038386344.1	XP_023405706.1
OG0000076	XP_038386343.1	XP_023405697.1
OG0000076	XP_038386351.1	XP_023405769.1
OG0000076	XP_038386345.1	XP_023405771.1
OG0000077	XP_038396460.1, XP_038438059.1, XP_038434167.1	XP_023398818.1
OG0000077	XP_038433776.1	XP_010595592.1, XP_023412867.1
OG0000078	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1
OG0000079	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1
OG0000080	XP_038419100.1	XP_003422818.1
OG0000080	XP_038419098.1, XP_038419099.1	XP_023397707.1, XP_003422816.1, XP_023397706.1
OG0000081	XP_038431683.1	XP_010591698.1, XP_023397292.1, XP_023398458.1
OG0000082	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1	XP_023414920.1, XP_023414942.1, XP_003419087.1
OG0000083	XP_038383884.1	XP_010584862.2
OG0000083	XP_038383872.1	XP_010584861.2
OG0000083	XP_038381465.1	XP_010584887.1, XP_010584888.1, XP_023399201.1, XP_023399158.1, XP_023399175.1, XP_010584876.1, XP_023399176.1, XP_010584882.1, XP_023399156.1, XP_023399208.1
OG0000083	XP_038383897.1, XP_038383883.1	XP_023399163.1, XP_023399167.1, XP_023399166.1, XP_023399854.1
