Orthogroup	Sus_scrofa	Microcebus_murinus
OG0000057	XP_020931321.1, XP_020931326.1	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1
OG0000059	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1	XP_012622464.1, XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2
OG0000060	NP_999516.1, XP_005652470.1	XP_020141693.1, XP_012609090.2
OG0000061	NP_998979.1	XP_012624360.1, XP_020145028.1, XP_020145025.1
OG0000061	XP_005660610.1	XP_012637430.2
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1
OG0000063	XP_005656395.2	XP_012636552.1
OG0000064	NP_001038087.1, XP_005667748.1	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1
OG0000065	NP_999115.1, XP_005669619.1	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1
OG0000066	XP_003482913.1	XP_012637254.1
OG0000067	XP_020940727.1, XP_020941143.1	XP_012639834.2
OG0000067	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1	XP_012609986.1
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1	XP_012605327.2, XP_012605334.1, XP_012605328.1
OG0000068	XP_020940332.1	XP_012605324.1
OG0000068	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_012605325.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1	XP_012630800.1
OG0000069	XP_020936151.1	XP_012644303.1
OG0000069	XP_020955156.1	XP_012596989.1
OG0000070	XP_020918409.1	XP_012625241.1
OG0000071	NP_001188311.1	XP_012625032.1, XP_012625033.1
OG0000072	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1
OG0000073	XP_013843078.2, XP_020956458.1	XP_012602122.1, XP_012602118.2
OG0000074	NP_999018.1, XP_005653705.1	XP_012600382.1
OG0000074	XP_013854644.1, NP_999476.1	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1
OG0000075	XP_013841926.1, XP_005673996.1	XP_012637940.1, XP_012637938.1, XP_012637939.1
OG0000075	XP_020935538.1	XP_012615318.1, XP_012615320.1, XP_012615319.1
OG0000075	XP_020936228.1	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1
OG0000076	XP_020940586.1, XP_020940577.1	XP_012604356.2, XP_020137838.1, XP_020137859.1
OG0000076	XP_020940578.1	XP_020137853.1
OG0000077	XP_003133549.1	XP_012638223.1
OG0000077	NP_001070686.1	XP_012610327.2
OG0000077	XP_005663911.1	XP_012619774.1
OG0000078	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1
OG0000079	XP_005653026.1, NP_001072136.1	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1
OG0000080	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1	XP_012605323.1
OG0000080	XP_020940361.1	XP_012605444.1
OG0000081	XP_020928770.1	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1
OG0000081	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1	XP_012618576.1
OG0000082	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1	XP_012635473.1, XP_012635466.2, XP_020140286.1
OG0000083	XP_020953231.1, XP_005653378.1	XP_012641029.1
OG0000083	XP_013850745.1	XP_012641039.1
OG0000083	XP_013850606.2	XP_012641027.1
OG0000083	XP_020952917.1	XP_012614976.1, XP_012640981.1
OG0000083	XP_013854174.2	XP_012641042.1
OG0000084	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1
OG0000085	XP_005652893.1	XP_012617213.1
OG0000085	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1
OG0000086	XP_003122765.1	XP_012605369.1
OG0000086	XP_003133037.1	XP_012632158.1
OG0000086	XP_020922951.1	XP_020136426.1, XP_012625208.1
OG0000086	XP_020922950.1	XP_012624827.1
OG0000087	XP_005657196.2, XP_013845637.2, XP_003358961.3	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1
OG0000088	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1
OG0000089	XP_020937102.1, XP_020937107.1, XP_020937786.1	XP_012602172.1
OG0000090	NP_001229985.1, XP_020948987.1	XP_012599427.1
OG0000092	XP_020937104.1	XP_012643279.1, XP_012643283.1, XP_012643284.1, XP_012643282.1, XP_012643281.1, XP_012602125.2, XP_012643286.1, XP_012602126.1, XP_012643285.2, XP_012602169.2
OG0000095	XP_020949547.1	XP_020138138.1
OG0000095	XP_003355856.1	XP_012611412.1, XP_012611409.1
OG0000095	NP_001001266.1, XP_013843991.2	XP_012611251.1, XP_012611408.1, XP_012611248.2, XP_012611252.1, XP_012611249.1
OG0000096	XP_003353495.1	XP_012629913.1
OG0000099	XP_020933181.1, XP_020933183.1	XP_012610672.2
OG0000099	XP_020932980.1, NP_001011508.1	XP_012610556.2
OG0000100	XP_020953151.1, XP_020953150.1, XP_020953153.1, XP_020953154.1, XP_020953149.1, XP_020953152.1	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1
OG0000100	XP_003481037.1	XP_012614771.1
OG0000101	XP_020935324.1, XP_020935323.1	XP_012622873.1
OG0000102	NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2
OG0000103	NP_001038035.1, NP_001038034.1	XP_020139760.1, XP_020139759.1
OG0000103	XP_005668287.1, NP_001038083.1	XP_012596669.1, XP_012596670.1, XP_012596671.1
OG0000104	XP_020945969.1	XP_012604689.1
OG0000105	XP_020918329.1, XP_020918323.1, XP_020918326.1, XP_020918310.1, XP_020918316.1, XP_020918321.1, XP_020918318.1, XP_020918325.1, XP_020918332.1, XP_020918335.1, XP_020918299.1, XP_020918313.1, XP_020918319.1, XP_020918336.1, XP_020918322.1, XP_020918308.1, XP_020918320.1, XP_020918324.1, XP_020918330.1, XP_020918301.1, XP_020918309.1, XP_020918333.1, XP_020918302.1, XP_020918312.1, XP_020918300.1, XP_020918327.1, XP_020918314.1, XP_020918304.1, XP_020918305.1, XP_020918331.1, XP_020918303.1, XP_020918311.1, XP_020918334.1, XP_020918307.1, XP_020918315.1	XP_012595109.1
OG0000106	XP_003134933.1	XP_012597004.1
OG0000106	NP_001006592.1	XP_012619690.1
OG0000106	XP_005670706.1, NP_998956.1	XP_012637795.1
OG0000106	XP_005661989.2	XP_012614334.1
OG0000107	XP_020938708.1, XP_020941127.1, XP_020938707.1, XP_003480749.2, XP_020937672.1, XP_020937673.1, XP_020937111.1, XP_020937110.1, XP_020940700.1, XP_020937676.1	XP_012605312.1
OG0000107	XP_020940701.1, XP_020940702.1	XP_012605310.1
