Orthogroup	Sus_scrofa	Ictidomys_tridecemlineatus
OG0000014	XP_020952978.1, XP_020952973.1	XP_021576771.1
OG0000014	XP_020952999.1	XP_021576769.1
OG0000014	XP_020950801.1	XP_013221366.2
OG0000014	XP_013854327.1	XP_040135701.1
OG0000015	XP_013842894.1, XP_013845829.1, XP_020940790.1	XP_013221515.1, XP_013221949.2, XP_040147040.1
OG0000015	XP_020941167.1	XP_013221514.1, XP_013221559.1
OG0000016	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1
OG0000017	XP_003123527.1	XP_021587110.1
OG0000017	XP_020923327.1	XP_013215216.2
OG0000018	XP_003131242.1	XP_005332630.1
OG0000018	NP_001231571.1	XP_005331196.1
OG0000018	NP_001274345.1	XP_021590092.1
OG0000018	XP_013844399.1	XP_005342614.1
OG0000018	NP_999095.1	XP_013214667.1
OG0000019	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2	XP_005337209.1, XP_005337210.1, XP_005342124.1, XP_005337214.1
OG0000019	XP_001927961.2	XP_005337215.1
OG0000019	XP_020954986.1	XP_040144992.1
OG0000019	XP_020955724.1	XP_005337230.1
OG0000019	XP_020955678.1, XP_020955671.1	XP_005337206.1, XP_005337211.1, XP_005337213.1, XP_005337212.1
OG0000019	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2	XP_005337207.1
OG0000020	XP_020950615.1, XP_013854215.2	XP_040135768.1
OG0000021	XP_001928244.2, XP_020937958.1, XP_020937856.1, XP_003128300.1, XP_020937658.1, XP_020936927.1, XP_001928255.2, XP_003128302.2	XP_005341282.1, XP_013219994.1, XP_005338899.1
OG0000021	XP_020936930.1, XP_020937956.1, XP_020937593.1, XP_020937875.1, XP_020936685.1	XP_013221841.1, XP_005341283.1, XP_005338900.1, XP_005338883.1
OG0000021	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1	XP_005338882.1, XP_013221669.1
OG0000021	XP_020940741.1	XP_013221200.1
OG0000021	XP_003123600.1	XP_005341493.2, XP_013221937.1, XP_005341492.1, XP_005342426.1
OG0000021	XP_013850061.1	XP_005342785.1
OG0000022	XP_020940822.1	XP_013213574.1
OG0000022	XP_020940587.1	XP_013213585.2
OG0000022	XP_020940825.1, XP_020940824.1	XP_021581332.1
OG0000022	XP_020940585.1	XP_013213555.1
OG0000022	XP_020940579.1	XP_005324347.1
OG0000023	XP_020950604.1	XP_040135787.1
OG0000023	XP_020950504.1	XP_040134939.1, XP_021577018.2
OG0000024	XP_020958344.1, XP_003130048.2	XP_005339563.1, XP_013215405.1, XP_013220287.1
OG0000024	XP_020958343.1	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1
OG0000024	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	XP_013220297.1, XP_005339612.1
OG0000026	XP_020935542.1, XP_020936182.1	XP_040142789.1, XP_040142791.1, XP_040142780.1, XP_040142788.1, XP_040142787.1
OG0000026	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_001928370.3	XP_005330561.1
OG0000027	XP_013843702.1	XP_005324967.1
OG0000027	XP_020920717.1	XP_040133806.1
OG0000027	XP_020929709.1	XP_005334559.2
OG0000027	XP_001928233.2	XP_005330562.1
OG0000027	NP_001038009.1, NP_001302639.1	XP_005324965.1
OG0000028	XP_013849769.1	XP_013216720.1, XP_013216706.1, XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2, XP_013216708.1, XP_005331676.1, XP_013216707.1
OG0000028	XP_013849748.1, XP_013849745.1, XP_013849747.1	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1
OG0000028	XP_020941125.1	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1
OG0000029	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1	XP_005338901.1, XP_005342398.1
OG0000031	XP_003123608.1	XP_005341354.1
OG0000031	XP_003128324.2, XP_003128312.2, XP_020937570.1, XP_020937437.1, XP_001928461.1	XP_005342610.1, XP_005341277.1, XP_005341276.1, XP_005338884.1
OG0000031	XP_020955480.1	XP_005337155.1
OG0000031	XP_001927473.2, XP_001927458.2	XP_005328675.1
OG0000031	XP_013847497.1	XP_005341500.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_021581397.1, XP_005324354.2, XP_040128326.1, XP_040128232.1, XP_013213561.2, XP_005324357.2, XP_005343015.3, XP_040128235.1, XP_040128234.1, XP_040128231.1
OG0000033	XP_005668688.1	XP_021589393.1
OG0000034	XP_013842957.2	XP_005340382.1, XP_005341790.1, XP_040137376.1, XP_005341835.1, XP_013221896.1, XP_013221797.2, XP_040145017.1, XP_040145009.1, XP_021577046.2, XP_040137375.1, XP_013221951.1, XP_021577264.1, XP_021575884.1, XP_013222002.1, XP_021577263.1, XP_040145010.1, XP_005342559.3, XP_040136147.1, XP_040136148.1, XP_005342370.3, XP_013220658.1, XP_005342640.1, XP_005342641.1, XP_005342739.1
OG0000035	NP_001163988.1	XP_005337186.1
OG0000035	NP_001161267.1	XP_005320444.1, XP_005320443.1
OG0000035	XP_013838976.1	XP_005339240.1
OG0000035	XP_003124328.1	XP_005340097.1
OG0000035	XP_020941706.1	XP_005340095.1
OG0000035	XP_003357976.1	XP_005332707.2
OG0000035	XP_005674537.3	XP_005319663.1
OG0000035	XP_020943030.1	XP_005329403.1, XP_013215822.1
OG0000038	XP_001927724.1, XP_020941136.1, XP_003481008.2	XP_005331749.1, XP_040139656.1, XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1
OG0000039	NP_001230363.1	XP_005327562.1
OG0000039	XP_020955779.1	XP_005327565.1
OG0000039	NP_001038077.1	XP_005341100.1
OG0000039	XP_003122400.2	XP_005336936.1
OG0000039	XP_003480860.1	XP_005332148.1
OG0000039	NP_001107168.1	XP_005327158.1
OG0000040	XP_020946908.1	XP_013213851.1
OG0000040	XP_003355697.1	XP_005325163.1
OG0000040	XP_003481773.1	XP_005325162.1
OG0000040	XP_005664233.2	XP_005325161.1
OG0000041	XP_013843095.2	XP_013221691.1, XP_013221690.1
OG0000041	XP_013842752.2, XP_020940716.1	XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	XP_013849950.2	XP_040139669.1, XP_005326898.2, XP_005336026.2
OG0000043	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1	XP_013221030.1
OG0000044	XP_020955509.1	XP_005337152.1
OG0000044	XP_005665718.2	XP_040143434.1, XP_005331192.1
OG0000044	XP_020955508.1	XP_040139588.1
OG0000045	XP_013836784.2	XP_005332936.1
OG0000045	XP_020921943.1	XP_005332932.1
OG0000045	XP_020921928.1	XP_021587077.1
OG0000045	XP_020921875.1, NP_999301.1	XP_040126471.1
OG0000045	XP_020921694.1, NP_001116613.1	XP_005332934.1
OG0000046	XP_020939257.1, XP_020939261.1	XP_040146919.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1	XP_013218855.2
OG0000048	XP_020953209.1, XP_020953207.1	XP_005338303.3, XP_040134911.1
OG0000049	XP_020955074.1	XP_005343150.2
OG0000049	XP_020929837.1	XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1
OG0000050	XP_013849275.1, XP_003353699.2, XP_020937927.1, XP_020931467.1, XP_013849276.2, XP_003122183.3, XP_020937911.1	XP_005321215.1
OG0000050	XP_020937926.1	XP_021579380.1, XP_013212110.1, XP_005321207.1
OG0000051	XP_020921569.1	XP_005317186.1
OG0000051	XP_020930931.1	XP_013214570.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_005317045.1
OG0000051	XP_020935520.1	XP_040140047.1
OG0000051	XP_020930930.1	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_020936437.1	XP_040137955.1
OG0000052	XP_003126117.4	XP_040137742.1, XP_040134609.1
OG0000054	XP_005663291.1, NP_001096150.2	XP_040143179.1, XP_013221082.1
OG0000054	XP_020946477.1, XP_005663286.1, NP_998996.1	XP_040132532.1, XP_040143180.1, XP_040144994.1, XP_005341253.2, XP_013221079.1, XP_013221071.2, XP_040144997.1, XP_005341251.1, XP_040144996.1, XP_040144998.1, XP_005341246.2, XP_040144995.1
OG0000054	XP_020944088.1, NP_001090960.1	XP_040145000.1, XP_005339490.2
OG0000055	XP_003482552.2	XP_005341142.1
OG0000055	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2	XP_005341134.1
OG0000055	XP_013854347.2, XP_020917933.1	XP_040142716.1
OG0000056	XP_020938036.1	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_003133754.1	XP_040123927.1
OG0000057	XP_020931305.1	XP_005326507.1
OG0000057	XP_020931321.1, XP_020931326.1	XP_040124065.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000059	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1	XP_013218997.2, XP_005336829.1, XP_005336830.1, XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1
OG0000060	NP_999516.1, XP_005652470.1	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	NP_998979.1	XP_005329807.1
OG0000061	XP_005660610.1	XP_005337051.1
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_005329195.1
OG0000063	XP_005656395.2	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	NP_001038087.1, XP_005667748.1	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	NP_999115.1, XP_005669619.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	XP_003482913.1	XP_005333004.1
OG0000067	XP_020940727.1, XP_020941143.1	XP_005341499.1
OG0000067	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1	XP_005331711.2
OG0000068	XP_020940332.1	XP_005331611.1
OG0000068	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_005331712.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1	XP_005339955.1
OG0000069	XP_020936151.1	XP_040142748.1, XP_040142751.1
OG0000069	XP_020955156.1	XP_005321271.1
OG0000069	XP_020955290.1	XP_005339204.1, XP_040132166.1
OG0000070	XP_020918409.1	XP_040141790.1
OG0000071	XP_020938194.1, XP_003124283.1, XP_003354456.1, XP_003124278.1, NP_001188311.1	XP_021576711.1
OG0000072	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	XP_013842558.2, XP_020937803.1	XP_005342816.1, XP_005342237.1
OG0000073	XP_013843078.2, XP_020956458.1	XP_013221782.1
OG0000074	NP_999018.1, XP_005653705.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000074	XP_013854644.1, NP_999476.1	XP_005323210.1, XP_005323211.1
OG0000075	XP_013841926.1, XP_005673996.1	XP_040144985.1
OG0000075	XP_020935538.1	XP_040142725.1, XP_005338587.1
OG0000075	XP_020936228.1	XP_040142267.1
OG0000076	XP_020940586.1, XP_020940577.1	XP_005324331.2, XP_005324330.2
OG0000076	XP_020940588.1, XP_020940576.1	XP_005324328.1
OG0000076	XP_013850711.2	XP_013213557.1
OG0000076	XP_020940578.1	XP_021581334.1
OG0000077	XP_003133549.1	XP_040150448.1
OG0000077	XP_005663911.1	XP_013213894.1
OG0000078	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	XP_005653026.1, NP_001072136.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	XP_020940361.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	XP_020928770.1	XP_005341438.1, XP_040147102.1
OG0000081	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1	XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1
OG0000082	XP_003359050.3	XP_021575720.2
OG0000082	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1	XP_021575770.1, XP_040143062.1
OG0000083	XP_013850745.1	XP_013221660.2
OG0000083	XP_013850606.2	XP_021577079.1
OG0000083	XP_020952917.1	XP_005342382.1
OG0000083	XP_013854174.2	XP_040135107.1
OG0000084	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	XP_005652893.1	XP_005342202.3
OG0000085	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3	XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	XP_003122765.1	XP_040140257.1
OG0000086	XP_003133037.1	XP_040145207.1
OG0000086	XP_020922951.1	XP_040124999.1
OG0000087	XP_005657196.2, XP_013845637.2, XP_003358961.3	XP_005323680.1, XP_005323681.1, XP_005323682.1, XP_021581031.1
OG0000088	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1	XP_021581027.1
OG0000089	XP_020937107.1, XP_020937786.1	XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	NP_001229985.1, XP_020948987.1	XP_013221796.1
OG0000092	XP_020937104.1	XP_005342974.1, XP_013221256.1, XP_005341611.1, XP_013221255.1, XP_005341610.1, XP_005341613.1, XP_040139657.1, XP_005341609.1, XP_013221253.1, XP_021577012.1
OG0000093	XP_020941598.1	XP_005339885.1
OG0000095	XP_020949547.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	NP_999221.1	XP_021577054.1
OG0000095	XP_003355856.1	XP_005318257.1, XP_005318258.1
OG0000096	XP_003353495.1	XP_005323057.1, XP_013213016.1
OG0000099	XP_020933181.1, XP_020933183.1	XP_040131356.1, XP_040131136.1, XP_040131134.1
OG0000099	XP_020932980.1, NP_001011508.1	XP_005320610.2
OG0000100	XP_020953149.1	XP_040143706.1, XP_040143705.1
OG0000101	XP_020935324.1	XP_040139417.1, XP_005340749.1
OG0000102	XP_003129119.1, NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2	XP_040148272.1
OG0000102	XP_020957065.1, XP_020957066.1	XP_005333344.1, XP_040148273.1, XP_040148275.1, XP_005333337.1, XP_005333338.1, XP_005333343.1, XP_005333340.1, XP_005333341.1
OG0000103	NP_001038035.1, NP_001038034.1	XP_005320375.1, XP_005320377.1, XP_005320379.1, XP_005320378.1
OG0000104	XP_005663763.3, XP_005663765.3	XP_040145143.1
