Orthogroup	Sus_scrofa	Canis_lupus_familiaris
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_038386314.1, XP_038386305.1, XP_038386315.1, XP_038386324.1, XP_038386312.1, XP_038386308.1, XP_038386303.1, XP_038386309.1, XP_038386325.1, XP_038386316.1
OG0000012	XP_020935452.1	XP_038443043.1, XP_038443045.1, XP_038443044.1
OG0000012	XP_005673570.1, XP_005673569.1	NP_001003116.1
OG0000012	XP_020935492.1	XP_038442406.1, XP_038442407.1
OG0000012	XP_020935786.1	XP_038442402.1, XP_038442403.1
OG0000012	XP_020935940.1, XP_013841481.1, XP_005673575.1	XP_038442409.1
OG0000012	XP_020936276.1	XP_038442401.1
OG0000012	XP_005673573.2, XP_020935939.1, XP_005673577.2	XP_038442408.1, XP_038442410.1
OG0000013	XP_013845988.1	XP_038421256.1
OG0000013	XP_005652900.2	XP_038421257.1
OG0000013	XP_003123350.2, XP_020940780.1	XP_038421258.1
OG0000013	XP_013845984.2, XP_005652897.1, XP_020940779.1	NP_001375609.1
OG0000013	XP_020941162.1	NP_001376117.1
OG0000014	XP_020952950.1	XP_038383494.1
OG0000014	XP_020952996.1	XP_038383510.1
OG0000014	XP_013854335.1	XP_038381446.1
OG0000014	XP_020953001.1	XP_038383493.1
OG0000014	XP_020952965.1, XP_020952964.1	XP_038383498.1, XP_038383503.1
OG0000014	XP_020952978.1, XP_020952973.1	XP_038383497.1, XP_038383496.1
OG0000014	XP_020952999.1	XP_038381450.1
OG0000014	XP_020950801.1	XP_038383509.1, XP_038383508.1
OG0000014	XP_020953042.1, XP_020953041.1	XP_038383445.1
OG0000014	XP_003128168.5	XP_038383390.1
OG0000014	XP_020950797.1, XP_013854336.1	XP_038383389.1, XP_038383388.1, XP_038381447.1, XP_038383385.1, XP_038383387.1, XP_038383391.1
OG0000014	XP_020950810.1, XP_013854333.1	XP_038383448.1
OG0000015	XP_013842894.1, XP_013845829.1, XP_020940790.1, XP_020941167.1, XP_003480831.2, XP_003354129.2, XP_020937619.1, XP_020941170.1, XP_013846032.2, XP_020940791.1, XP_020938068.1, XP_020937479.1, XP_020938121.1, XP_020937971.1, XP_005652904.2, XP_020936681.1, XP_020937393.1, XP_020938165.1, XP_020938164.1, XP_013845905.2, XP_020937394.1, XP_003123316.2, XP_020940783.1, XP_020937482.1, XP_020938126.1, XP_020938163.1, XP_020937401.1	XP_038421309.1
OG0000015	XP_003123309.3, XP_020937456.1, XP_020937975.1, XP_020937127.1, XP_020938119.1, XP_020938169.1, XP_003123329.3, XP_020940787.1, XP_013845810.1, XP_020940786.1, XP_020938168.1, XP_020937973.1, XP_020937455.1, XP_003123310.2, XP_013845817.2, XP_013845823.2, XP_020940793.1, XP_020937391.1, XP_020937454.1, XP_020940785.1, XP_020938166.1, XP_020937109.1, XP_020937484.1, XP_020937972.1, XP_003123330.3, XP_020937977.1, XP_003123335.3	NP_001375602.1
OG0000016	NP_001159792.1	XP_038409208.1
OG0000016	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_038408448.1, XP_038408444.1, XP_038408443.1, XP_038408447.1, XP_038408446.1, XP_038408451.1, XP_038408445.1, XP_038408449.1, XP_038407550.1, XP_038408453.1, XP_038407548.1, NP_001006655.1, NP_001006648.1, XP_038409209.1, XP_038409210.1
OG0000017	XP_003123527.1	NP_001375448.1, NP_001375576.1
OG0000017	XP_020944074.1	NP_001375733.1
OG0000017	XP_020923327.1	XP_038402084.1
OG0000018	XP_003131242.1	XP_038402506.1
OG0000018	NP_001231571.1	XP_038417997.1
OG0000018	NP_001274345.1	NP_001361455.1, XP_038440337.1, NP_001361514.1, XP_038440360.1, XP_038440338.1
OG0000018	XP_020955496.1	NP_001361519.1
OG0000019	XP_001925185.1, XP_001925102.1, XP_020955677.1, XP_003128820.2, XP_003128642.2, XP_001929464.2	NP_001375695.1
OG0000019	XP_001927961.2, XP_020954986.1	XP_038435794.1
OG0000019	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2	XP_038445405.1
OG0000020	XP_020950615.1, XP_013854215.2, XP_013844151.1, XP_020950635.1, XP_020950608.1, XP_020950617.1, NP_001121923.1, XP_020938098.1, XP_020950609.1, XP_020934843.1, XP_013844144.2	XP_038383733.1, XP_038381457.1
OG0000021	XP_003354452.1, XP_001928244.2, XP_020937958.1, XP_020937856.1, XP_003128300.1, XP_020937658.1, XP_020936927.1, XP_001928255.2, XP_003128302.2, XP_020936930.1, XP_020937956.1, XP_020937593.1, XP_020937875.1, XP_020936685.1, XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1	XP_038439912.1
OG0000022	XP_020940823.1	XP_038386364.1
OG0000022	XP_020940587.1	XP_038386347.1
OG0000022	XP_020940825.1, XP_020940824.1	XP_038386329.1
OG0000022	XP_020940585.1	XP_038386342.1
OG0000022	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1	XP_038386333.1
OG0000022	XP_013850731.2	XP_038386334.1
OG0000022	XP_020940579.1	XP_038386340.1
OG0000023	XP_020950504.1	XP_038383955.1
OG0000023	XP_013854134.1	XP_038384083.1
OG0000023	XP_003127434.1	XP_038383893.1
OG0000023	XP_020950600.1	XP_038381467.1
OG0000023	XP_013850544.2	XP_038383930.1, XP_038383932.1
OG0000024	XP_020958344.1, XP_003130048.2	XP_038391423.1
OG0000024	XP_020958343.1	NP_001376086.1
OG0000024	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	NP_001376019.1
OG0000026	XP_020935542.1, XP_020936182.1	XP_038444801.1, XP_038445366.1
OG0000026	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	XP_001928370.3	XP_038441743.1
OG0000027	XP_013843702.1	XP_038433464.1
OG0000027	XP_003126645.3	XP_038432130.1
OG0000027	XP_020920717.1	XP_038385540.1
OG0000027	XP_020929709.1	XP_038431894.1, XP_038431882.1
OG0000027	XP_001928233.2	XP_038441741.1
OG0000027	NP_001038009.1	XP_038433463.1
OG0000028	XP_013849769.1	NP_001376096.1, NP_001376114.1
OG0000028	XP_013849745.1, XP_013849747.1	NP_001375514.1
OG0000028	XP_020941125.1	NP_001376110.1
OG0000028	XP_013849750.2, XP_003353904.1	NP_001376097.1
OG0000029	XP_020937119.1, XP_020926346.1, XP_003358892.1	NP_001376061.1
OG0000029	XP_020925487.1	NP_001375923.1
OG0000029	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1
OG0000031	XP_003123608.1	XP_038399997.1
OG0000031	XP_001927473.2, XP_001927458.2	NP_001375701.1
OG0000031	XP_020955482.1, XP_020937362.1, XP_020936658.1, XP_020955481.1, XP_020936659.1, XP_020955484.1, XP_020955485.1, XP_003482184.1	XP_038439908.1
OG0000031	XP_013847497.1	NP_001375791.1, XP_038445325.1, XP_038412294.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_038386300.1, XP_038445481.1, XP_038386301.1, XP_038445480.1, XP_038445479.1, XP_038445482.1, XP_038386299.1, XP_038445478.1, XP_038386311.1, XP_038386304.1
OG0000033	NP_001231232.1	XP_038402020.1, XP_038402018.1
OG0000033	XP_020922339.1, XP_020922337.1	XP_038402610.1
OG0000033	XP_003131278.3	XP_038402605.1
OG0000033	XP_013836234.1	XP_038402015.1, XP_038402014.1, XP_038402604.1
OG0000033	XP_005668681.1	XP_038402589.1
OG0000034	XP_013842957.2	XP_038421184.1
OG0000035	NP_001163988.1	XP_038435896.1
OG0000035	NP_001161267.1	XP_038389880.1
OG0000035	XP_003124328.1	NP_001182774.2
OG0000035	XP_003357976.1	NP_001003349.2
OG0000035	XP_005674537.3	XP_038386568.1
OG0000035	XP_020943030.1	XP_038417669.1
OG0000036	NP_001302663.1, NP_999579.1, XP_020927835.1	XP_038435140.1, XP_038435141.1, XP_038435139.1
OG0000038	XP_001927724.1, XP_020941136.1	NP_001376082.1
OG0000038	XP_003481008.2	XP_038418394.1, NP_001376034.1, NP_001376079.1
OG0000039	NP_001230363.1	XP_038439969.1
OG0000039	XP_020955779.1	XP_038439961.1
OG0000039	NP_001038077.1	XP_038409373.1
OG0000039	XP_003122400.2	XP_038404584.1
OG0000039	XP_003480860.1	XP_038423469.1
OG0000039	NP_001107168.1	XP_038428666.1, XP_038428667.1
OG0000039	XP_020951690.1	XP_038399838.1
OG0000040	XP_020946908.1	NP_001375692.1
OG0000040	XP_003355697.1	XP_038433852.1, XP_038433815.1, XP_038433817.1
OG0000040	XP_013853443.1	NP_001375799.1
OG0000040	XP_020946911.1	NP_001375690.1
OG0000040	XP_003481775.1	NP_001375687.1
OG0000040	XP_020948282.1	NP_001375693.1
OG0000040	XP_003126701.1	XP_038433851.1
OG0000040	XP_003481776.1	NP_001375688.1
OG0000040	XP_003481773.1	NP_001375689.1
OG0000040	XP_005664233.2	NP_001375691.1
OG0000041	XP_013843095.2	XP_038420405.1, XP_038420406.1, NP_001375958.1
OG0000041	XP_013842752.2, XP_020940716.1	NP_001376113.1, NP_001376111.1
OG0000042	XP_013849950.2	XP_038424119.1
OG0000043	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1	NP_001375875.1
OG0000044	XP_020955509.1	NP_001361520.1, NP_001361518.1
OG0000044	XP_020954087.1	NP_001361509.1
OG0000044	XP_005665718.2	NP_001361517.1, XP_038439907.1
OG0000044	XP_020955508.1	XP_038440355.1
OG0000045	XP_013836784.2	NP_001107184.1
OG0000045	XP_020921943.1	XP_038392809.1
OG0000045	XP_020921683.1, NP_001098421.1	NP_001107189.1
OG0000045	XP_020921928.1	NP_001070703.1
OG0000045	XP_020921875.1, NP_999301.1	NP_001070263.1
OG0000045	XP_020921694.1, NP_001116613.1	NP_001070262.1
OG0000046	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1	XP_038422927.1
OG0000046	XP_003123481.1, XP_003123482.1	XP_038422922.1, XP_038422926.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1	NP_001106930.1, NP_001091015.1
OG0000048	XP_020953209.1, XP_020953207.1	NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	XP_020955073.1, XP_020955736.1	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1
OG0000049	XP_020955074.1	XP_038401904.1
OG0000049	XP_020929837.1	XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1
OG0000051	XP_020921569.1	XP_038425970.1
OG0000051	XP_020930931.1	XP_038429926.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_038425967.1
OG0000051	XP_020935520.1	XP_038443974.1
OG0000051	XP_020930930.1	NP_001026988.1
OG0000051	XP_020936437.1	NP_001002979.1
OG0000052	XP_003126117.4	XP_038406653.1
OG0000052	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2	XP_038407502.1, XP_038406617.1
OG0000054	XP_005663291.1, NP_001096150.2	XP_038442333.1
OG0000054	XP_020946477.1, XP_005663286.1, NP_998996.1	NP_001122310.1, XP_038442330.1, NP_001122309.1
OG0000054	XP_020944088.1, NP_001090960.1	NP_001124302.1
OG0000055	XP_013834548.2	XP_038424111.1
OG0000055	XP_003482552.2	NP_001375864.1
OG0000056	XP_020938036.1	XP_038418408.1
OG0000057	XP_003133754.1	XP_038430031.1
OG0000057	XP_020931305.1	XP_038430057.1
OG0000057	XP_020931321.1, XP_020931326.1	XP_038430019.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	NP_001029164.1
OG0000059	XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1	NP_001375911.1
OG0000059	XP_013836638.1, XP_005657183.1, XP_005654132.1	XP_038438403.1
OG0000060	NP_999516.1, XP_005652470.1	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	NP_998979.1	NP_001271390.1
OG0000061	XP_005660610.1	XP_038404743.1
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_038440142.1
OG0000063	XP_005656395.2	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	NP_001038087.1, XP_005667748.1	NP_001171205.2
OG0000065	NP_999115.1, XP_005669619.1	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1
OG0000066	XP_003482913.1	XP_038441026.1, NP_001238973.1, XP_038394823.1, XP_038391773.1, XP_038418293.1, XP_038418454.1, XP_038431159.1
OG0000067	XP_020940727.1, XP_020941143.1	XP_038413461.1
OG0000067	XP_003354450.1, XP_003354451.1	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1
OG0000067	XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1	NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1
OG0000068	XP_020940332.1	NP_001375951.1
OG0000068	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_038420397.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1	XP_038429693.1, XP_038429692.1
OG0000069	XP_020955156.1	XP_038401156.1
OG0000069	XP_020955290.1	XP_038401908.1
OG0000070	XP_020918409.1	XP_038408465.1
OG0000071	NP_001188311.1	XP_038418375.1, XP_038418377.1
OG0000072	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000073	XP_013842558.2, XP_020937803.1	NP_001243375.1
OG0000073	XP_003122353.2	NP_001375962.1
OG0000074	NP_999018.1, XP_005653705.1	XP_038424692.1, XP_038424721.1
OG0000074	XP_013854644.1, NP_999476.1	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1
OG0000075	XP_013841926.1, XP_005673996.1	XP_038442549.1
OG0000075	XP_020936228.1	XP_038444392.1, XP_038444385.1, XP_038444394.1, XP_038444393.1, XP_038444391.1, XP_038444382.1, XP_038444387.1, XP_038444390.1, XP_038444389.1, XP_038444381.1, XP_038444383.1, XP_038444388.1, XP_038444386.1, XP_038444384.1, XP_038444772.1
OG0000076	XP_020940586.1, XP_020940577.1	XP_038386352.1
OG0000076	XP_020940588.1, XP_020940576.1	XP_038386344.1
OG0000076	XP_020940578.1	XP_038386345.1
OG0000077	XP_003133549.1	XP_038434167.1
OG0000077	NP_001070686.1	XP_038427137.1
OG0000077	XP_005663911.1	XP_038433776.1
OG0000078	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	XP_005653026.1, NP_001072136.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1	XP_038419100.1
OG0000080	XP_020940361.1	XP_038419098.1, XP_038419099.1
OG0000081	XP_020928770.1	XP_038431683.1
OG0000082	XP_003359050.3	XP_038437552.1
OG0000082	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000083	XP_013850745.1	XP_038383884.1
OG0000083	XP_013850606.2	XP_038383872.1
OG0000083	XP_013854174.2	XP_038381465.1
OG0000083	XP_013850671.1	XP_038383897.1, XP_038383883.1
OG0000084	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000085	XP_005652893.1	XP_038421311.1
OG0000085	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3	NP_001375917.1, XP_038423318.1
OG0000086	XP_003122765.1	XP_038419157.1, XP_038419158.1
OG0000086	XP_003133037.1	XP_038431923.1
OG0000086	XP_020922951.1	XP_038403878.1
OG0000087	XP_005657196.2, XP_013845637.2, XP_003358961.3	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1
OG0000088	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000089	XP_020937102.1	NP_001376137.1, XP_038418396.1
OG0000089	XP_020937107.1, XP_020937786.1	NP_001375994.1, NP_001375937.1
OG0000090	NP_001229985.1, XP_020948987.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000092	XP_020937104.1	NP_001375549.1, NP_001375550.1, NP_001375834.1
OG0000093	XP_020941598.1	XP_038395629.1
OG0000095	XP_020949547.1	NP_001003150.1
OG0000095	XP_003355856.1	NP_001003149.1
OG0000095	NP_001001266.1, XP_013843991.2	XP_038386933.1, NP_001003173.1, XP_038399958.1
OG0000096	XP_003353495.1	XP_038381766.1
OG0000099	XP_020932980.1, NP_001011508.1	XP_038427735.1
OG0000100	XP_020953149.1	NP_001003236.1
OG0000100	XP_003481037.1	XP_038395171.1
OG0000101	XP_013842975.1	XP_038441038.1
OG0000101	XP_020935324.1	XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000103	XP_005668287.1, NP_001038083.1	NP_001012344.1
OG0000104	XP_005663763.3, XP_005663765.3	XP_038397375.1
