Orthogroup	Sus_scrofa	Urocitellus_parryii
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	XP_026237619.1, XP_026238128.1, XP_026270128.1, XP_026271081.1, XP_026237422.1, XP_026237620.1, XP_026270106.1
OG0000010	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_026240285.1, XP_026240157.1, XP_026240169.1, XP_026240287.1, XP_026240286.1, XP_026240203.1, XP_026240223.1, XP_026240234.1, XP_026240156.1, XP_026240283.1, XP_026240273.1, XP_026240279.1
OG0000012	XP_020935452.1	XP_026267998.1
OG0000012	XP_005673569.1	XP_026236422.1
OG0000012	XP_020935940.1, XP_013841481.1, XP_005673575.1	XP_026265286.1
OG0000012	XP_020935784.1, XP_020936168.1	XP_026267996.1
OG0000012	XP_005673573.2, XP_020935939.1, XP_005673577.2	XP_026265287.1
OG0000013	XP_013845988.1	XP_026267604.1
OG0000013	XP_005652899.1, XP_020941163.1, XP_013845748.1, XP_005652900.2, XP_003123350.2, XP_020940780.1, XP_013845984.2, XP_005652897.1, XP_020940779.1	XP_026267646.1
OG0000013	XP_020941162.1	XP_026267655.1, XP_026267654.1
OG0000014	XP_020952885.1	XP_026235441.1
OG0000014	XP_020952950.1	XP_026237452.1
OG0000014	XP_020952996.1	XP_026237457.1
OG0000014	XP_020952965.1, XP_020952964.1	XP_026237453.1
OG0000014	XP_020952978.1, XP_020952973.1	XP_026238218.1
OG0000014	XP_020952999.1	XP_026238215.1
OG0000014	XP_020950801.1	XP_026235530.1
OG0000014	XP_013854327.1	XP_026235521.1
OG0000015	XP_003480831.2, XP_003354129.2, XP_020937619.1, XP_020941170.1, XP_013846032.2, XP_020940791.1, XP_020938068.1, XP_020937479.1, XP_020938121.1, XP_020937971.1, XP_005652904.2, XP_020936681.1, XP_020937393.1, XP_020938165.1, XP_020938164.1, XP_013845905.2, XP_020937394.1, XP_003123316.2, XP_020940783.1, XP_020937482.1, XP_020938126.1, XP_020938163.1, XP_020937401.1	XP_026237050.1
OG0000016	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1
OG0000017	XP_003124707.3	XP_026241043.1, XP_026241097.1
OG0000017	XP_003123527.1	XP_026245802.1
OG0000017	XP_020937884.1	XP_026242115.1
OG0000018	XP_003131242.1	XP_026261538.1
OG0000018	XP_020945585.1	XP_026270375.1
OG0000018	NP_001231571.1	XP_026263466.1
OG0000018	XP_013844399.1	XP_026237964.1
OG0000019	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2	XP_026237322.1, XP_026237907.1, XP_026237350.1
OG0000019	XP_001927961.2	XP_026237345.1
OG0000019	XP_020955724.1	XP_026237347.1
OG0000019	XP_020955678.1, XP_020955671.1	XP_026237352.1
OG0000019	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2	XP_026237905.1
OG0000020	XP_020950615.1, XP_013854215.2	XP_026237159.1
OG0000021	XP_001928244.2, XP_020937958.1, XP_020937856.1, XP_003128300.1, XP_020937658.1, XP_020936927.1, XP_001928255.2, XP_003128302.2	XP_026269162.1, XP_026238265.1
OG0000021	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1	XP_026238466.1
OG0000021	XP_020940741.1	XP_026238206.1
OG0000021	XP_003123600.1	XP_026238208.1
OG0000022	XP_020940822.1	XP_026240262.1
OG0000022	XP_020940587.1	XP_026240155.1
OG0000022	XP_020940825.1, XP_020940824.1	XP_026240267.1, XP_026240268.1
OG0000022	XP_020940585.1	XP_026240264.1
OG0000022	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1	XP_026240207.1
OG0000022	XP_013850731.2	XP_026240188.1
OG0000022	XP_020940579.1	XP_026240152.1
OG0000023	XP_003127440.3	XP_026237819.1
OG0000023	XP_003127434.1	XP_026237812.1
OG0000024	XP_020958344.1, XP_003130048.2	XP_026236673.1, XP_026258497.1, XP_026236675.1
OG0000024	XP_020958343.1	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1
OG0000024	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	XP_026236679.1, XP_026236681.1
OG0000026	XP_020935542.1, XP_020936182.1	XP_026238000.1
OG0000026	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_026258673.1
OG0000027	XP_001928370.3	XP_026246086.1
OG0000027	XP_013843702.1	XP_026262798.1
OG0000027	XP_005655606.1	XP_026257455.1
OG0000027	XP_003126645.3	XP_026235932.1
OG0000027	XP_020920717.1	XP_026247615.1
OG0000027	XP_001928233.2	XP_026246085.1
OG0000027	NP_001038009.1	XP_026262767.1
OG0000028	XP_013849769.1	XP_026262339.1, XP_026262308.1, XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1, XP_026262311.1, XP_026262310.1, XP_026262309.1
OG0000028	XP_013849748.1, XP_013849745.1, XP_013849747.1	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1
OG0000028	XP_020941125.1	XP_026262354.1, XP_026262314.1, XP_026262353.1
OG0000028	XP_013849750.2, XP_003353904.1	XP_026262305.1
OG0000029	XP_020937119.1, XP_020926346.1, XP_003358892.1	XP_026258206.1, XP_026258216.1
OG0000029	XP_020925487.1	XP_026238363.1, XP_026237985.1
OG0000029	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1
OG0000031	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1	XP_026238465.1
OG0000031	XP_003128324.2, XP_003128312.2, XP_020937570.1, XP_020937437.1, XP_001928461.1	XP_026237275.1, XP_026269175.1, XP_026236879.1
OG0000031	XP_020955480.1	XP_026270394.1
OG0000031	XP_001927473.2, XP_001927458.2	XP_026256185.1
OG0000031	XP_013847497.1	XP_026236570.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_026238683.1, XP_026240260.1, XP_026240179.1, XP_026240277.1, XP_026240214.1, XP_026240275.1
OG0000033	NP_001231232.1, XP_020922339.1, XP_020922337.1, XP_003131278.3	XP_026238436.1
OG0000033	XP_005668688.1	XP_026238435.1
OG0000034	XP_013842957.2	XP_026270890.1, XP_026238303.1, XP_026238250.1, XP_026238302.1, XP_026237958.1, XP_026238300.1, XP_026237374.1, XP_026237375.1, XP_026236419.1, XP_026237933.1, XP_026238249.1, XP_026237934.1, XP_026237957.1, XP_026237935.1, XP_026237936.1, XP_026237146.1
OG0000035	NP_001163988.1	XP_026247160.1
OG0000035	NP_001161267.1	XP_026268236.1, XP_026268245.1
OG0000035	XP_013838976.1	XP_026236885.1
OG0000035	XP_005674537.3	XP_026241721.1
OG0000035	XP_020943030.1	XP_026253217.1
OG0000036	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1	XP_026237206.1
OG0000038	XP_001927724.1, XP_020941136.1, XP_003481008.2	XP_026236227.1, XP_026237401.1, XP_026237392.1, XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1
OG0000039	NP_001230363.1, XP_020955779.1	XP_026262914.1
OG0000039	NP_001038077.1	XP_026270091.1
OG0000039	XP_003122400.2	XP_026251210.1
OG0000039	XP_003480860.1	XP_026260187.1
OG0000039	NP_001107168.1	XP_026268040.1
OG0000039	XP_020951690.1	XP_026271275.1
OG0000040	XP_020946908.1	XP_026256465.1
OG0000040	XP_003355697.1	XP_026256463.1
OG0000040	XP_003481773.1	XP_026256464.1
OG0000040	XP_005664233.2	XP_026256472.1
OG0000041	XP_013843095.2	XP_026237394.1, XP_026237402.1
OG0000041	XP_013842752.2, XP_020940716.1	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1
OG0000042	XP_013849950.2	XP_026261070.1, XP_026261068.1, XP_026261071.1
OG0000044	XP_020955509.1	XP_026263467.1, XP_026270368.1, XP_026263468.1
OG0000044	XP_020955508.1	XP_026238635.1
OG0000045	XP_013836784.2	XP_026246245.1
OG0000045	XP_020921943.1	XP_026246339.1
OG0000045	XP_020921928.1	XP_026246340.1
OG0000045	XP_020921875.1, NP_999301.1	XP_026246333.1, XP_026246335.1, XP_026246334.1
OG0000045	XP_020921694.1, NP_001116613.1	XP_026246336.1
OG0000046	XP_020939257.1, XP_020939261.1	XP_026245678.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1	XP_026238478.1, XP_026259478.1
OG0000048	XP_020953209.1, XP_020953207.1	XP_026238476.1, XP_026259481.1, XP_026238531.1
OG0000049	XP_020955074.1	XP_026258464.1, XP_026238012.1
OG0000049	XP_020929837.1	XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1
OG0000050	XP_003122186.1	XP_026242114.1
OG0000050	XP_020937926.1	XP_026242226.1, XP_026242282.1, XP_026242221.1
OG0000051	XP_020921569.1	XP_026255320.1
OG0000051	XP_020930931.1	XP_026265318.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_026255301.1
OG0000051	XP_020935520.1	XP_026258432.1
OG0000051	XP_020930930.1	XP_026265330.1
OG0000051	XP_020936437.1	XP_026258425.1
OG0000052	XP_003126117.4	XP_026265990.1
OG0000052	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2	XP_026266000.1
OG0000054	XP_005663291.1, NP_001096150.2	XP_026270998.1, XP_026271004.1
OG0000054	XP_020946477.1, XP_005663286.1, NP_998996.1	XP_026238394.1, XP_026238268.1, XP_026237669.1, XP_026237665.1, XP_026237668.1, XP_026238116.1, XP_026238118.1, XP_026236609.1, XP_026237666.1
OG0000054	XP_020944088.1, NP_001090960.1	XP_026236611.1, XP_026236602.1, XP_026236612.1
OG0000056	XP_020938036.1	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1
OG0000057	XP_020931305.1	XP_026252071.1, XP_026252070.1, XP_026252069.1
OG0000057	XP_020931321.1, XP_020931326.1	XP_026252062.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1
OG0000059	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1	XP_026266847.1, XP_026266841.1, XP_026266840.1, XP_026266844.1, XP_026266832.1, XP_026266851.1
OG0000060	NP_999516.1, XP_005652470.1	XP_026267874.1
OG0000061	XP_005660610.1	XP_026251389.1
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_026240359.1
OG0000063	XP_005656395.2	XP_026240951.1, XP_026240950.1
OG0000064	NP_001038087.1, XP_005667748.1	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1
OG0000065	NP_999115.1, XP_005669619.1	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1
OG0000066	XP_003482913.1	XP_026244187.1
OG0000067	XP_020940727.1, XP_020941143.1	XP_026236572.1
OG0000067	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1	XP_026238203.1
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1	XP_026267428.1, XP_026267431.1
OG0000068	XP_020940332.1	XP_026267408.1
OG0000068	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_026267409.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1	XP_026267381.1
OG0000069	XP_020936151.1	XP_026259294.1
OG0000069	XP_020955156.1	XP_026257779.1
OG0000069	XP_020955290.1	XP_026250043.1
OG0000070	XP_020918409.1	XP_026254290.1
OG0000071	XP_020938194.1, XP_003124283.1, XP_003354456.1, XP_003124278.1, NP_001188311.1	XP_026235182.1
OG0000072	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1	XP_026250638.1
OG0000073	XP_013842558.2, XP_020937803.1	XP_026235392.1, XP_026235393.1
OG0000073	XP_013843078.2, XP_020956458.1	XP_026237892.1
OG0000074	NP_999018.1, XP_005653705.1	XP_026256774.1, XP_026256773.1
OG0000074	XP_013854644.1, NP_999476.1	XP_026256772.1
OG0000075	XP_013841926.1, XP_005673996.1	XP_026247983.1
OG0000075	XP_020935538.1	XP_026259296.1
OG0000075	XP_020936228.1	XP_026247979.1
OG0000076	XP_020940586.1, XP_020940577.1	XP_026240265.1
OG0000076	XP_020940588.1, XP_020940576.1	XP_026240153.1
OG0000076	XP_013850711.2	XP_026240261.1
OG0000076	XP_020940578.1	XP_026240263.1
OG0000077	XP_003133549.1	XP_026247781.1
OG0000077	NP_001070686.1	XP_026260980.1
OG0000077	XP_005663911.1	XP_026254605.1
OG0000078	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1
OG0000079	XP_005653026.1, NP_001072136.1	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1
OG0000081	XP_020928770.1	XP_026238355.1
OG0000081	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1	XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1
OG0000083	XP_020953231.1, XP_005653378.1	XP_026237839.1
OG0000083	XP_013850606.2	XP_026237843.1, XP_026237841.1, XP_026237844.1
OG0000083	XP_020952917.1	XP_026237840.1
OG0000083	XP_013854174.2	XP_026237849.1
OG0000084	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1
OG0000085	XP_005652893.1	XP_026237062.1
OG0000085	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3	XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1
OG0000086	XP_003122765.1	XP_026262357.1
OG0000086	XP_003133037.1	XP_026257517.1
OG0000086	XP_020922951.1	XP_026253782.1, XP_026253784.1
OG0000087	XP_005657196.2, XP_013845637.2, XP_003358961.3	XP_026236560.1, XP_026236561.1, XP_026251965.1, XP_026236562.1
OG0000088	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1	XP_026255196.1
OG0000089	XP_020937107.1, XP_020937786.1	XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1
OG0000090	NP_001229985.1, XP_020948987.1	XP_026251494.1
OG0000092	XP_020937104.1	XP_026235362.1, XP_026235364.1, XP_026235361.1, XP_026235366.1, XP_026235365.1, XP_026235360.1, XP_026235389.1
OG0000093	XP_020941598.1	XP_026261477.1
OG0000095	XP_020949547.1	XP_026251505.1
OG0000095	XP_003355856.1	XP_026251480.1, XP_026251479.1
OG0000096	XP_003353495.1	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1
OG0000098	XP_020940795.1, XP_020940798.1, XP_020940801.1, XP_020940800.1	XP_026267640.1
OG0000099	XP_020933181.1, XP_020933183.1	XP_026237257.1, XP_026237259.1, XP_026237260.1
OG0000099	XP_020932980.1, NP_001011508.1	XP_026237588.1
OG0000100	XP_020953149.1	XP_026270646.1
OG0000100	XP_003481037.1	XP_026268919.1
OG0000101	XP_020935324.1, XP_020935323.1	XP_026266268.1, XP_026266270.1
OG0000102	XP_020957065.1, XP_020957066.1	XP_026236438.1, XP_026236437.1, XP_026236436.1
OG0000103	NP_001038035.1, NP_001038034.1	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1
OG0000104	XP_005663763.3, XP_005663765.3	XP_026238452.1
OG0000105	XP_020918329.1, XP_020918323.1, XP_020918326.1, XP_020918310.1, XP_020918316.1, XP_020918321.1, XP_020918318.1, XP_020918325.1, XP_020918332.1, XP_020918335.1, XP_020918299.1, XP_020918313.1, XP_020918319.1, XP_020918336.1, XP_020918322.1, XP_020918308.1, XP_020918320.1, XP_020918324.1, XP_020918330.1, XP_020918301.1, XP_020918309.1, XP_020918333.1, XP_020918302.1, XP_020918312.1, XP_020918300.1, XP_020918327.1, XP_020918314.1, XP_020918304.1, XP_020918305.1, XP_020918331.1, XP_020918303.1, XP_020918311.1, XP_020918334.1, XP_020918307.1, XP_020918315.1	XP_026251880.1
OG0000106	XP_003134933.1	XP_026255265.1
OG0000106	NP_001006592.1	XP_026256155.1
OG0000106	XP_005670706.1, NP_998956.1	XP_026241779.1
OG0000106	XP_005661989.2	XP_026252729.1
OG0000107	XP_020938708.1, XP_020941127.1, XP_020938707.1, XP_003480749.2, XP_020937672.1, XP_020937673.1, XP_020937111.1, XP_020937110.1, XP_020940700.1, XP_020937676.1	XP_026262387.1
OG0000107	XP_020940701.1, XP_020940702.1	XP_026262379.1, XP_026262378.1
OG0000108	XP_020930254.1, NP_001230722.1	XP_026270539.1
OG0000109	XP_003122039.1, XP_003122044.1	XP_026235041.1, XP_026235048.1
OG0000110	XP_005669254.1	XP_026246377.1, XP_026246378.1
OG0000110	XP_013843394.1, NP_001231387.1	XP_026246357.1, XP_026246356.1, XP_026246355.1
OG0000110	XP_020921972.1	XP_026246390.1
OG0000111	XP_020937408.1, XP_020937407.1, XP_003359505.2	XP_026238416.1
OG0000113	XP_003360440.1, XP_013846419.1, XP_005657953.1, XP_020935581.1	XP_026236598.1, XP_026258677.1
OG0000114	XP_020931001.1	XP_026250385.1
OG0000114	XP_001928787.2, XP_003133674.2	XP_026259154.1
OG0000115	XP_020946634.1, NP_001153898.1	XP_026262880.1
OG0000115	NP_001138692.1	XP_026264012.1
OG0000115	XP_020932893.1	XP_026240662.1
OG0000116	NP_001072141.1	XP_026257026.1
OG0000116	XP_003134909.1	XP_026266433.1
OG0000116	NP_001072142.1	XP_026249009.1
OG0000117	XP_005653031.1, XP_003124427.2, XP_003124263.1, XP_003124420.2	XP_026238628.1, XP_026238035.1, XP_026238034.1, XP_026238036.1, XP_026238209.1, XP_026236575.1
OG0000118	XP_020934700.1, XP_020934703.1, XP_020934702.1, XP_020934698.1, XP_005673358.1, XP_020934699.1, XP_020934704.1, XP_020934701.1, XP_013841228.1, XP_020934697.1	XP_026256027.1, XP_026256028.1, XP_026256029.1
OG0000119	XP_005671057.1, XP_020929555.1, XP_001929089.1, XP_020929551.1, XP_020929556.1, XP_013838717.1, XP_020929554.1, XP_020929553.1, XP_005671058.1, XP_005671056.1, XP_013838718.1	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1
OG0000120	XP_003124331.1	XP_026259957.1
OG0000121	XP_020933838.1, XP_020933335.1	XP_026251634.1
OG0000122	XP_020952890.1	XP_026247074.1
OG0000122	XP_020946773.1, NP_001193288.1	XP_026259024.1
OG0000123	XP_020923328.1, XP_020923329.1, XP_020923330.1	XP_026249709.1, XP_026249706.1
OG0000124	XP_020936177.1, XP_020936616.1	XP_026266929.1
OG0000124	XP_020935144.1, NP_001231049.1	XP_026237609.1
OG0000124	XP_020935449.1	XP_026237284.1
OG0000125	XP_003131481.2	XP_026242669.1
OG0000125	NP_001231824.1, XP_003131478.3, XP_005653958.1, XP_003358093.2	XP_026242724.1, XP_026242670.1, XP_026242718.1
OG0000126	XP_005667275.2, XP_020919598.1	XP_026257293.1, XP_026237995.1, XP_026257295.1
OG0000126	XP_020918285.1	XP_026238454.1
