Orthogroup	Sus_scrofa	Mesocricetus_auratus
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_040597859.1, XP_040597868.1, XP_040597855.1, XP_040597852.1, XP_040597857.1, XP_040597858.1, XP_040597867.1, XP_040597854.1, XP_005139286.1, XP_040597863.1, XP_040597860.1, XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1, XP_040597853.1
OG0000012	XP_020935452.1	XP_005088691.1
OG0000012	XP_020935786.1, XP_020935940.1, XP_013841481.1, XP_005673575.1	XP_005080125.1
OG0000012	XP_020935784.1, XP_020936168.1	XP_021088650.1, XP_005080130.1
OG0000012	XP_005673573.2, XP_020935939.1, XP_005673577.2	XP_040599889.1, XP_040599760.1, XP_040599888.1
OG0000013	XP_013845988.1	XP_040591191.1
OG0000013	XP_020941162.1	XP_012973996.2
OG0000014	XP_020952950.1	XP_012980406.1
OG0000014	XP_020952999.1	XP_012980379.2
OG0000015	XP_020940793.1, XP_020937391.1, XP_020937454.1, XP_020940785.1, XP_020938166.1, XP_020937109.1, XP_020937484.1, XP_020937972.1, XP_003123330.3, XP_020937977.1, XP_003123335.3	XP_005077364.1
OG0000016	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2
OG0000017	XP_003124707.3	XP_005081713.2, XP_040603898.1, XP_040603900.1, XP_040603899.1
OG0000017	XP_003123527.1	XP_005087134.1
OG0000017	XP_020923327.1	XP_040603984.1, XP_040603983.1
OG0000017	XP_020937884.1	XP_040591625.1, XP_040591602.1
OG0000018	XP_003131242.1	XP_005069967.1
OG0000018	NP_001231571.1	XP_021080732.2
OG0000018	XP_013844399.1	XP_005067768.1
OG0000019	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2	XP_040600867.1, XP_040600868.1, XP_005064844.1, XP_005064843.1, XP_005064848.1, XP_005064585.1, XP_005064847.1, XP_005064584.1
OG0000019	XP_001927961.2, XP_020954986.1	XP_005064850.1
OG0000019	XP_020955724.1	XP_005064849.1
OG0000019	XP_020955678.1, XP_020955671.1	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1
OG0000019	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2	XP_005064841.2
OG0000020	XP_020950615.1, XP_013854215.2	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1
OG0000020	XP_013844151.1	XP_040589773.1, XP_040589996.1
OG0000021	XP_020936930.1, XP_020937956.1, XP_020937593.1, XP_020937875.1, XP_020936685.1	XP_005077511.3, XP_040589524.1, XP_005087265.2, XP_040588430.1
OG0000021	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1	XP_005077475.1
OG0000022	XP_020940822.1	XP_012968143.1
OG0000022	XP_020940823.1	XP_040597834.1
OG0000022	XP_020940587.1	XP_012968139.1
OG0000022	XP_020940825.1, XP_020940824.1	XP_012968138.2
OG0000022	XP_020940585.1	XP_040597835.1
OG0000022	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1	XP_040597836.1
OG0000022	XP_013850731.2	XP_040597838.1
OG0000022	XP_020940579.1	XP_012968142.1
OG0000023	XP_020950504.1	XP_021090051.1
OG0000023	XP_020950600.1	XP_040592152.1, XP_005084860.3
OG0000024	XP_020958344.1, XP_003130048.2	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1, XP_005069427.1
OG0000024	XP_020958343.1	XP_005069439.1, XP_005069315.1, XP_012968276.2, XP_005069438.2, XP_040585969.1
OG0000024	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	XP_005069440.1, XP_012968278.1
OG0000026	XP_020935542.1, XP_020936182.1	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1
OG0000026	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_012973615.1
OG0000027	XP_001928370.3	XP_005070529.1
OG0000027	XP_013843702.1	XP_040609793.1
OG0000027	XP_003126645.3	XP_040593732.1
OG0000027	XP_020920717.1	XP_040611487.1
OG0000027	XP_020929709.1	XP_040599534.1
OG0000027	NP_001038009.1	XP_040609794.1
OG0000028	XP_013849769.1	XP_012966156.1, XP_012967592.1, XP_012967554.1, XP_005063854.1, XP_040588468.1, XP_012967590.1
OG0000028	XP_013849748.1, XP_013849745.1, XP_013849747.1	XP_005063306.1, XP_005063857.1
OG0000029	XP_020937119.1, XP_020926346.1, XP_003358892.1	XP_005076794.1
OG0000029	XP_020925487.1	XP_040606242.1, XP_040606301.1, XP_005076843.2
OG0000029	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	XP_040606240.1, XP_040606241.1, XP_005076795.1, XP_040606248.1, XP_005076798.2
OG0000031	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1	XP_005077476.1
OG0000031	XP_003123608.1	XP_005067750.1
OG0000031	XP_020955480.1	XP_040612128.1, XP_005086751.3, XP_040611602.1
OG0000031	XP_020955487.1	XP_040611600.1, XP_040611601.1
OG0000031	XP_001927473.2, XP_001927458.2	XP_005086741.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_040597881.1
OG0000033	XP_020922339.1, XP_020922337.1	XP_012968668.2
OG0000033	XP_005668688.1	XP_005070011.3
OG0000033	XP_005668681.1	XP_012968934.1
OG0000034	XP_013842957.2	XP_012969626.1, XP_005077657.1, XP_012981677.2, XP_005087476.2, XP_012973194.1, XP_005076167.1, XP_005076126.2, XP_005087477.1, XP_005087475.2, XP_040595329.1, XP_040593015.1
OG0000035	NP_001163988.1	XP_012975185.1
OG0000035	NP_001161267.1	XP_005064723.1
OG0000035	XP_013838976.1	XP_005063733.1
OG0000035	XP_003124328.1	XP_012975858.1
OG0000035	XP_003357976.1	XP_040606104.1
OG0000035	XP_005674537.3	XP_005065601.1
OG0000035	XP_020943030.1	XP_005071114.1
OG0000038	XP_001927724.1, XP_020941136.1, XP_003481008.2	XP_012975442.1, XP_005065093.1, XP_005065094.1, XP_005065098.1, XP_021089454.1, XP_012975394.1
OG0000039	NP_001230363.1	XP_040611731.1
OG0000039	XP_020955779.1	XP_005066458.1
OG0000039	NP_001038077.1	XP_005087662.1
OG0000039	XP_003122400.2	XP_005083770.1
OG0000039	XP_003480860.1	XP_005081404.1
OG0000039	NP_001107168.1	XP_040588788.1
OG0000039	XP_020951690.1	XP_005074701.1
OG0000040	XP_020946908.1	XP_005066964.1
OG0000040	XP_003355697.1	XP_040608727.1, XP_040608728.1
OG0000040	XP_013853443.1	XP_005067235.1
OG0000040	XP_005664233.2	XP_005066965.1
OG0000041	XP_013843095.2	XP_005065090.1
OG0000041	XP_013842752.2, XP_020940716.1	XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1
OG0000042	XP_013849950.2	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1
OG0000043	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1
OG0000044	XP_020955509.1	XP_021080739.1, XP_040611628.1
OG0000044	XP_005665718.2	XP_040599370.1
OG0000044	XP_020955508.1	XP_012981124.1
OG0000045	XP_013836784.2	XP_012967012.1
OG0000045	XP_020921943.1	XP_005067661.2
OG0000045	XP_020921928.1	XP_005067663.2
OG0000045	XP_020921875.1, NP_999301.1	XP_040604829.1
OG0000045	XP_020921694.1, NP_001116613.1	XP_040604830.1
OG0000046	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1	XP_040593590.1, XP_040593589.1, XP_005083451.1, XP_005083446.1, XP_040594995.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1	XP_005086519.2, XP_005086487.1
OG0000048	XP_020953209.1, XP_020953207.1	XP_040590516.1, XP_040590186.1, XP_040590252.1
OG0000049	XP_020955073.1, XP_020955736.1	XP_012970837.1
OG0000049	XP_020929837.1	XP_005066586.2, XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1, XP_040587835.1
OG0000050	XP_020937926.1	XP_040591601.1, XP_040591585.1, XP_005082163.1, XP_040591590.1, XP_040591584.1
OG0000051	XP_020921569.1	XP_040589515.1
OG0000051	XP_020930931.1	XP_040609155.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_040589514.1
OG0000051	XP_020935520.1	XP_012977763.1
OG0000051	XP_020930930.1	XP_040609153.1, XP_040609154.1
OG0000051	XP_020936437.1	XP_005082522.1
OG0000052	XP_003126117.4	XP_040592338.1
OG0000052	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2	XP_021078671.1, XP_012966499.1, XP_040610156.1, XP_040592247.1
OG0000054	XP_005663291.1, NP_001096150.2	XP_012976161.1
OG0000055	XP_013834548.2	XP_005075771.1
OG0000055	XP_003482552.2	XP_005075828.3
OG0000055	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2	XP_005075773.1, XP_005075776.1, XP_005075775.1, XP_005075770.1
OG0000055	XP_013854347.2, XP_020917933.1	XP_021086135.2, XP_012972950.1
OG0000056	XP_020938036.1	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1
OG0000057	XP_003133754.1	XP_040609095.1, XP_040609094.1, XP_040609097.1
OG0000057	XP_020931305.1	XP_040609083.1
OG0000057	XP_020931321.1, XP_020931326.1	XP_040609082.1, XP_040609085.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1
OG0000059	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1	XP_005076799.1, XP_040606237.1, XP_012973635.3, XP_005076844.2, XP_005076797.1, XP_012973648.1, XP_040606244.1, XP_012973632.1, XP_005076796.1, XP_040606246.1, XP_040606247.1
OG0000060	NP_999516.1, XP_005652470.1	XP_012980426.1, XP_040608584.1, XP_012980427.1
OG0000061	NP_998979.1	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1
OG0000061	XP_005660610.1	XP_012978726.1
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1
OG0000063	XP_005656395.2	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1
OG0000064	NP_001038087.1, XP_005667748.1	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1
OG0000065	NP_999115.1, XP_005669619.1	XP_005139289.2, XP_040602518.1, XP_040608744.1
OG0000066	XP_003482913.1	XP_040607425.1, XP_040610768.1, XP_005083244.1, XP_040605362.1
OG0000067	XP_020940727.1, XP_020941143.1	XP_005076495.1
OG0000067	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1	XP_005063311.1
OG0000068	XP_020940332.1	XP_005063310.1
OG0000068	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_012966146.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1	XP_040596557.1, XP_040596556.1, XP_040596558.1
OG0000069	XP_020936151.1	XP_005139384.2
OG0000069	XP_020955156.1	XP_005086454.1
OG0000069	XP_020955290.1	XP_005068441.1
OG0000070	XP_020918409.1	XP_021085276.1
OG0000071	NP_001188311.1	XP_012971826.1, XP_012971753.2, XP_040607730.1
OG0000072	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1
OG0000073	XP_013842558.2, XP_020937803.1	XP_005065080.2
OG0000074	NP_999018.1, XP_005653705.1	XP_040613609.1
OG0000074	XP_013854644.1, NP_999476.1	XP_005074087.1
OG0000075	XP_013841926.1, XP_005673996.1	XP_005084587.1
OG0000075	XP_020935538.1	XP_040600633.1
OG0000075	XP_020936228.1	XP_012981002.2, XP_005086675.1, XP_040599847.1
OG0000076	XP_020940586.1, XP_020940577.1	XP_040597842.1
OG0000076	XP_020940588.1, XP_020940576.1	XP_040597832.1
OG0000076	XP_020940578.1	XP_040597839.1
OG0000077	XP_005663911.1	XP_012966788.1
OG0000078	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1	NP_001268256.1, XP_040610188.1
OG0000079	XP_005653026.1, NP_001072136.1	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1
OG0000080	XP_020940361.1	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1
OG0000081	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1	XP_040590974.1
OG0000082	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1	XP_040588269.1, XP_040588270.1, XP_040588274.1
OG0000084	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1	XP_040584800.1, XP_005082842.2, XP_021090181.1
OG0000085	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3	XP_005077363.1
OG0000086	XP_003122765.1	XP_005065146.1
OG0000086	XP_003133037.1	XP_021087100.2
OG0000086	XP_020922951.1	XP_012973815.1
OG0000087	XP_005657196.2, XP_013845637.2, XP_003358961.3	XP_021085058.1, XP_005073964.1, XP_040606293.1, XP_012971615.2, XP_005073894.2, XP_040606221.1, XP_005073967.1, XP_040606220.1, XP_040606222.1, XP_021085049.1, XP_005073895.2, XP_005073896.1
OG0000088	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1
OG0000089	XP_020937107.1, XP_020937786.1	XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1
OG0000090	NP_001229985.1, XP_020948987.1	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1
OG0000091	XP_003481961.1, XP_003481962.1, XP_003127527.1, XP_005664925.2	XP_040590027.1
OG0000092	XP_020937104.1	XP_005065062.1, XP_005065063.1, XP_005065061.1, XP_005065059.1, XP_005064643.1, XP_012974558.1, XP_021088358.1
OG0000093	XP_020941598.1	XP_005080052.1
OG0000095	XP_020949547.1	XP_005079189.1
OG0000095	XP_003355856.1	XP_005079186.1
OG0000095	NP_001001266.1, XP_013843991.2	NP_001268811.1
OG0000096	XP_003353495.1	XP_005081499.1, XP_012976978.1, XP_012976979.1
OG0000099	XP_020933181.1, XP_020933183.1	XP_021080880.2, XP_040597302.1
OG0000099	XP_020932980.1, NP_001011508.1	XP_012967795.1
OG0000100	XP_020953149.1	XP_040590986.1
OG0000100	XP_003481037.1	XP_005080471.1
OG0000101	XP_013842975.1	XP_012970239.1
OG0000101	XP_020935324.1, XP_020935323.1	XP_005088403.1, XP_005088404.1
OG0000102	XP_003129119.1, NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1
OG0000103	NP_001038035.1, NP_001038034.1	XP_040611494.1, NP_001297498.1, XP_021083830.2, NP_001297485.1, XP_005071802.1, XP_040611493.1, NP_001268527.1, XP_005071810.1, XP_040611499.1
OG0000103	NP_001033715.2, XP_020919727.1	XP_005071800.3
OG0000104	XP_020945969.1	XP_012977305.1
OG0000104	XP_005663763.3, XP_005663765.3	XP_040603486.1, XP_040589366.1, XP_040589367.1, XP_040589479.1
OG0000105	XP_020918329.1, XP_020918323.1, XP_020918326.1, XP_020918310.1, XP_020918316.1, XP_020918321.1, XP_020918318.1, XP_020918325.1, XP_020918332.1, XP_020918335.1, XP_020918299.1, XP_020918313.1, XP_020918319.1, XP_020918336.1, XP_020918322.1, XP_020918308.1, XP_020918320.1, XP_020918324.1, XP_020918330.1, XP_020918301.1, XP_020918309.1, XP_020918333.1, XP_020918302.1, XP_020918312.1, XP_020918300.1, XP_020918327.1, XP_020918314.1, XP_020918304.1, XP_020918305.1, XP_020918331.1, XP_020918303.1, XP_020918311.1, XP_020918334.1, XP_020918307.1, XP_020918315.1	XP_040591166.1
OG0000106	XP_003134933.1	XP_040602671.1
OG0000106	NP_001006592.1	XP_005064427.1
OG0000106	XP_005670706.1, NP_998956.1	XP_005080701.2
OG0000106	XP_005661989.2	XP_040587404.1
OG0000107	XP_020938708.1, XP_020941127.1, XP_020938707.1, XP_003480749.2, XP_020937672.1, XP_020937673.1, XP_020937111.1, XP_020937110.1, XP_020940700.1, XP_020937676.1	XP_005065130.1, XP_005065131.1
OG0000107	XP_020940701.1, XP_020940702.1	XP_040600824.1, XP_005065129.1
OG0000108	XP_020930254.1, NP_001230722.1	XP_040608920.1, XP_040608919.1, XP_040608921.1
OG0000109	XP_003122039.1, XP_003122044.1	XP_040597897.1
OG0000110	XP_005669254.1	XP_040604934.1
OG0000110	XP_013843394.1, NP_001231387.1	XP_040604931.1, XP_005067566.1
OG0000110	XP_020921972.1	XP_040604935.1, XP_040604937.1, XP_040604936.1
OG0000111	XP_020937408.1, XP_020937407.1, XP_003359505.2	XP_012982372.1, XP_005088276.2, XP_040587443.1
OG0000113	XP_020935603.1, XP_003360440.1, XP_013846419.1, XP_005657953.1, XP_020935581.1	XP_040600343.1, XP_040600344.1, XP_040600374.1, XP_040600373.1, XP_005076782.1
OG0000114	XP_001928677.1	XP_040609380.1
OG0000114	XP_020931001.1	XP_005070620.1
OG0000114	XP_001928787.2, XP_003133674.2	XP_005070610.2, XP_040608709.1
OG0000114	XP_020931295.1	XP_021082995.1
OG0000115	XP_020946634.1, NP_001153898.1	XP_005067252.1
OG0000115	NP_001138692.1	XP_005070111.1
OG0000115	NP_001153899.1	XP_005067757.1
OG0000116	NP_001072141.1	XP_005077451.1, XP_040614037.1
OG0000116	NP_001072142.1	XP_005070838.1
