Orthogroup	Sus_scrofa	Sarcophilus_harrisii
OG0000051	XP_020921569.1	XP_003765783.1
OG0000051	XP_020930931.1	XP_031813804.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_023356253.1, XP_003765782.2
OG0000051	XP_020935520.1, XP_020930930.1	XP_031813802.1, XP_031813803.1
OG0000051	XP_020936437.1	XP_031800822.1
OG0000052	XP_003126117.4, XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2	XP_023360233.1, XP_031794166.1
OG0000054	XP_005663291.1, NP_001096150.2, XP_020946477.1, XP_005663286.1, NP_998996.1, XP_020944088.1, NP_001090960.1	XP_012403485.2
OG0000055	XP_013834548.2, XP_003482552.2, XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2, XP_013854347.2, XP_020917933.1	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1
OG0000056	XP_020938036.1	XP_003773826.1, XP_003773836.1, XP_003773828.1
OG0000057	XP_003133754.1, XP_020931305.1, XP_020931321.1, XP_020931326.1	XP_031825154.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	XP_031815049.1, XP_031815044.1, XP_031815058.1
OG0000060	NP_999516.1, XP_005652470.1	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1
OG0000061	NP_998979.1	XP_012409487.1
OG0000061	XP_005660610.1	XP_031810834.1
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1
OG0000063	XP_005656395.2	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1
OG0000064	NP_001038087.1, XP_005667748.1	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1
OG0000065	NP_999115.1, XP_005669619.1	XP_003762637.1
OG0000066	XP_020921173.1, XP_020921175.1, XP_003482912.1, XP_003482913.1, XP_020921174.1	XP_012402739.1, XP_003766943.1
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1, XP_020940332.1, XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_031797906.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1, XP_020936151.1, XP_020955156.1, XP_020955290.1	XP_012396962.1
OG0000070	XP_020918409.1	XP_031799314.1
OG0000071	XP_020938194.1, XP_003124283.1, XP_003354456.1, XP_003124278.1, NP_001188311.1	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1
OG0000072	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1	XP_031812030.1, XP_023363032.1
OG0000073	XP_013842558.2, XP_020937803.1, XP_003122353.2, XP_013843078.2, XP_020956458.1	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2
OG0000074	XP_013854598.1, NP_998995.1, NP_999018.1, XP_005653705.1, XP_013854644.1, NP_999476.1	XP_031817868.1, XP_031817870.1, XP_031817869.1
OG0000076	XP_020940586.1, XP_020940577.1, XP_020940588.1, XP_020940576.1, XP_013850711.2, XP_020940578.1	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2
OG0000077	XP_003133549.1	XP_031816276.1
OG0000077	XP_005663911.1	XP_003772367.1
OG0000078	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1
OG0000079	XP_005653026.1, NP_001072136.1	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1
OG0000080	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1, XP_020940361.1	XP_012408351.1, XP_012408350.1
OG0000082	XP_003359050.3, XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1
OG0000083	XP_020953231.1, XP_005653378.1, XP_013850745.1, XP_013850606.2, XP_020952917.1, XP_013854174.2, XP_005653359.1, XP_013850671.1, XP_020952923.1	XP_031804876.1
OG0000084	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1
OG0000085	XP_005652893.1, XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3	XP_003763133.1, XP_003761019.2
OG0000086	XP_003122765.1	XP_003773922.1
OG0000086	XP_003133037.1	XP_031804914.1
OG0000088	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1	XP_023354622.1
OG0000089	XP_020937102.1, XP_020937107.1, XP_020937786.1	XP_012408110.1, XP_003773886.1
OG0000090	NP_001229985.1, XP_020948987.1	XP_031805765.1
OG0000092	XP_020937104.1	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1
OG0000093	XP_020941598.1	XP_031797313.1
OG0000095	XP_020949547.1	XP_003757317.1
OG0000095	NP_999221.1	XP_031810396.1
OG0000096	XP_003353495.1	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1
OG0000098	XP_020940795.1, XP_020940798.1, XP_020940801.1, XP_020940800.1	XP_012408191.2, XP_012408426.2, XP_031799528.1, XP_031797268.1, XP_031797270.1, XP_031799526.1, XP_031799525.1, XP_031799524.1, XP_012408215.2
OG0000099	XP_020932980.1, NP_001011508.1	XP_031805182.1, XP_031810473.1
OG0000100	XP_020953151.1, XP_020953150.1, XP_020953153.1, XP_020953154.1, XP_020953149.1, XP_020953152.1	XP_031818873.1
OG0000100	XP_003481037.1	XP_031821197.1, XP_031821198.1, XP_003768867.1
OG0000101	XP_013842975.1, XP_020935324.1, XP_020935323.1	XP_031809394.1
OG0000102	XP_003129119.1, NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2, XP_020957065.1, XP_020957066.1	XP_031799036.1, XP_031799035.1
OG0000103	NP_001038035.1, NP_001038034.1, XP_005668287.1, NP_001038083.1, NP_001033715.2, XP_020919727.1	XP_003772476.1
OG0000104	XP_020945969.1, XP_005663763.3, XP_005663765.3	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1
OG0000105	XP_020918329.1, XP_020918323.1, XP_020918326.1, XP_020918310.1, XP_020918316.1, XP_020918321.1, XP_020918318.1, XP_020918325.1, XP_020918332.1, XP_020918335.1, XP_020918299.1, XP_020918313.1, XP_020918319.1, XP_020918336.1, XP_020918322.1, XP_020918308.1, XP_020918320.1, XP_020918324.1, XP_020918330.1, XP_020918301.1, XP_020918309.1, XP_020918333.1, XP_020918302.1, XP_020918312.1, XP_020918300.1, XP_020918327.1, XP_020918314.1, XP_020918304.1, XP_020918305.1, XP_020918331.1, XP_020918303.1, XP_020918311.1, XP_020918334.1, XP_020918307.1, XP_020918315.1	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1
OG0000106	XP_003134933.1	XP_012395236.2
OG0000106	NP_001006592.1	XP_031796163.1
OG0000106	XP_005670706.1, NP_998956.1	XP_003761065.1
OG0000107	XP_020938708.1, XP_020941127.1, XP_020938707.1, XP_003480749.2, XP_020937672.1, XP_020937673.1, XP_020937111.1, XP_020937110.1, XP_020940700.1, XP_020937676.1, XP_020940701.1, XP_020940702.1	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1
OG0000108	XP_020930254.1, NP_001230722.1	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1
OG0000109	XP_020921609.1, XP_003122039.1, XP_003122044.1	XP_003763301.1
OG0000110	XP_005669254.1, XP_013843394.1, NP_001231387.1, XP_020921972.1	XP_023358533.1
OG0000114	XP_001928677.1	XP_003766021.1
OG0000114	XP_020931001.1, XP_001928787.2, XP_003133674.2, XP_020931295.1	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1
OG0000115	XP_020946634.1, NP_001153898.1	XP_031793850.1, XP_031793851.1, XP_031793853.1
OG0000115	NP_001153899.1	XP_031816220.1
OG0000116	NP_001072141.1	XP_031809233.1
OG0000116	XP_003134909.1	XP_031805759.1
OG0000116	NP_001072142.1	XP_031812821.1
OG0000117	XP_005653031.1, XP_003124427.2, XP_003124263.1, XP_003124420.2	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2
OG0000118	XP_020934700.1, XP_020934703.1, XP_020934702.1, XP_020934698.1, XP_005673358.1, XP_020934699.1, XP_020934704.1, XP_020934701.1, XP_013841228.1, XP_020934697.1	XP_031796389.1
OG0000120	XP_003124331.1	XP_012398224.1
OG0000121	XP_020933838.1, XP_020933335.1	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1
OG0000122	XP_020952890.1	XP_031819649.1
OG0000122	XP_020946773.1, NP_001193288.1	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1
OG0000123	XP_020923328.1, XP_020923329.1, XP_020923330.1	XP_003758421.3, XP_031805104.1, XP_003758419.2
OG0000124	XP_020936177.1, XP_020936616.1	XP_023356116.1
OG0000124	XP_020936608.1, XP_020935144.1, NP_001231049.1	XP_012401572.1, XP_031814902.1, XP_031814901.1
OG0000124	XP_020936605.1, XP_020935838.1	XP_003765650.2
OG0000124	XP_020935449.1	XP_012401570.1
OG0000125	XP_003131481.2	XP_012403745.2
OG0000127	XP_020957348.1, XP_013834428.1, XP_013834434.1, XP_020957350.1, XP_020957351.1, XP_013834430.1, XP_013834426.1, XP_013834425.1	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1
OG0000128	XP_020954076.1, XP_020953970.1, NP_999509.1, XP_020954079.1, XP_020954067.1	XP_031818477.1
OG0000130	XP_003360678.2, XP_013854501.1, XP_003129579.1, XP_020918036.1	XP_003764886.1, XP_012402225.2
OG0000130	XP_020918025.1	XP_003766416.1, XP_012400883.1
OG0000131	XP_003357189.1, XP_020917979.1, XP_020958303.1, XP_020917980.1	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1
OG0000132	XP_020928093.1, XP_020928059.1, XP_020928078.1, XP_005659224.1, XP_020928086.1, XP_020928038.1, XP_020928064.1, XP_020928048.1, XP_020928069.1, XP_020928080.1, XP_020928100.1, XP_020928034.1, XP_020928044.1, XP_020928051.1	XP_003769562.3
OG0000133	XP_020945959.1, XP_020945962.1, XP_020945960.1, XP_020945955.1, XP_005663754.1, XP_020945956.1, XP_020945958.1, XP_020945953.1, XP_005663756.1, XP_005663755.1, XP_020945961.1, XP_020945954.1, XP_013852855.1	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1
