Orthogroup	Sus_scrofa	Loxodonta_africana
OG0000005	XP_020937359.1, XP_003355495.1, XP_013839567.2, XP_003481650.2	XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1
OG0000005	XP_020937073.1, XP_003126283.3, XP_001928574.3, XP_003135551.2, XP_020937361.1, XP_003481649.2, XP_020937076.1, XP_020936662.1, XP_003135552.3, XP_001926901.3	XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3
OG0000005	XP_020937075.1, XP_013843745.2, XP_003135548.3, XP_013853068.2	XP_003405136.1
OG0000005	XP_020937937.1, XP_003355500.2, XP_020937458.1	XP_010595858.1, XP_003405560.1
OG0000005	XP_013839577.1	XP_023396363.1
OG0000006	XP_020922897.1, XP_020939871.1	XP_023402983.1
OG0000007	XP_020953242.1	XP_023399893.1, XP_010585368.2
OG0000007	XP_020952937.1, XP_020952936.1, XP_003360687.2, XP_020952939.1, XP_013854178.1	XP_003406631.2, XP_003406898.2, XP_023399943.1, XP_003406632.1
OG0000007	XP_020953225.1, XP_020953224.1, XP_020953226.1	XP_010584713.1, XP_003406459.1, XP_003406456.1, XP_003406457.1, XP_023398909.1, XP_023398910.1, XP_023399797.1, XP_003406455.1, XP_003406479.1, XP_023398911.1, XP_003406460.1, XP_003406462.1, XP_003406461.1, XP_003406458.1, XP_010585307.2, XP_023399243.1
OG0000008	XP_020950594.1	XP_023399207.1
OG0000008	XP_005660392.2	XP_010586028.2
OG0000008	XP_020935751.1	XP_023396493.1
OG0000008	XP_020936063.1, XP_013841559.2	XP_023400813.1
OG0000008	XP_020941711.1, XP_005653115.2	XP_023411607.1
OG0000008	XP_005653113.1	XP_010594572.1
OG0000008	XP_013846325.1	XP_023413682.1
OG0000008	XP_020949541.1	XP_010595066.1
OG0000009	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1	XP_023398360.1, XP_023396632.1, XP_023397413.1, XP_010599502.2, XP_023396647.1, XP_023398346.1, XP_023396648.1, XP_010599487.1, XP_010599501.2, XP_003423760.3, XP_023397179.1, XP_010600918.1, XP_023398140.1, XP_023398138.1, XP_010600063.1
OG0000010	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1	XP_003412119.2, XP_003412120.2
OG0000011	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1	XP_010589626.1, XP_010589614.1, XP_003404600.1, XP_003404609.1, XP_003404610.1, XP_003404608.1, XP_003404601.1, XP_003404607.1, XP_003404606.1, XP_023405595.1, XP_003404605.1, XP_003404603.1, XP_023405607.1, XP_003404858.2, XP_010589642.2
OG0000012	XP_020935452.1	XP_010594127.1
OG0000012	XP_005673570.1, XP_005673569.1	XP_023410900.1, XP_003416054.1
OG0000012	XP_020935940.1, XP_013841481.1, XP_005673575.1	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1
OG0000012	XP_020936276.1	XP_023410902.1
OG0000012	XP_020935784.1, XP_020936168.1	XP_003416100.1
OG0000012	XP_005673573.2, XP_020935939.1, XP_005673577.2	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1
OG0000013	XP_013845988.1	XP_023398492.1
OG0000013	XP_005652899.1, XP_020941163.1, XP_013845748.1, XP_005652900.2, XP_003123350.2, XP_020940780.1	XP_003423616.2, XP_023398096.1, XP_003423491.1, XP_003423716.2, XP_003423082.3, XP_003423081.3, XP_003423080.2, XP_010600893.1, XP_003423501.1, XP_003423084.3, XP_023398154.1, XP_023398099.1, XP_003423406.2, XP_010600648.1, XP_003423750.2, XP_003423763.1, XP_023398236.1, XP_003423646.1, XP_010600645.1, XP_010600765.1, XP_023398155.1, XP_003423635.1, XP_023398157.1, XP_023398098.1, XP_023398235.1, XP_010600767.1, XP_010600647.1, XP_023398156.1
OG0000013	XP_013845984.2, XP_005652897.1, XP_020940779.1	XP_010600764.1, XP_023398152.1, XP_003423634.3, XP_003423518.3, XP_023398101.1, XP_010600529.1, XP_010600530.1, XP_023398127.1, XP_003423567.2
OG0000013	XP_020941162.1	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1
OG0000014	XP_020952950.1	XP_010584944.1, XP_023399387.1
OG0000014	XP_020952996.1	XP_023399372.1
OG0000014	XP_013854335.1	XP_023399410.1, XP_023399411.1, XP_010584956.1
OG0000014	XP_020953001.1	XP_023399401.1
OG0000014	XP_020952999.1	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1
OG0000014	XP_020950801.1, XP_020953042.1, XP_020953041.1, XP_003128168.5, XP_020950797.1, XP_013854336.1, XP_005664970.1, XP_013854327.1, XP_020950810.1, XP_013854333.1	XP_023399405.1
OG0000015	XP_020941167.1	XP_023408235.1
OG0000016	NP_001159792.1	XP_010586204.1
OG0000016	NP_001123710.1, NP_001158316.1, NP_001123704.1, NP_001158324.1, NP_001124005.1, NP_001158322.1, NP_001159794.1	XP_023401131.1, XP_023401102.1, XP_023398452.1, XP_023401103.1, XP_023398430.1, XP_003407701.1, XP_003407380.1
OG0000016	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1
OG0000017	XP_003124707.3	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1
OG0000017	XP_020944074.1	XP_003422523.1
OG0000017	XP_020937931.1	XP_003407515.2, XP_010586307.1
OG0000018	XP_003131242.1	XP_010595256.1
OG0000018	NP_001231571.1	XP_023403166.1
OG0000018	NP_001274345.1	XP_023411474.1, XP_023411484.1, XP_023411483.1, XP_023411482.1
OG0000018	XP_013844399.1	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1
OG0000019	XP_001925185.1, XP_001925102.1, XP_020955677.1, XP_003128820.2, XP_003128642.2, XP_001929464.2	XP_023414395.1, XP_023397997.1
OG0000019	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2	XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1
OG0000019	XP_020954986.1	XP_003423153.1
OG0000019	XP_020955724.1	XP_003423152.2
OG0000019	XP_020955678.1, XP_020955671.1	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1
OG0000019	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2	XP_003423150.2
OG0000020	XP_020950615.1, XP_013854215.2	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1
OG0000020	XP_013844151.1	XP_023399870.1
OG0000021	XP_003354452.1	XP_003422178.2, XP_003423157.2
OG0000021	XP_001928244.2, XP_020937958.1, XP_020937856.1, XP_003128300.1, XP_020937658.1, XP_020936927.1, XP_001928255.2, XP_003128302.2	XP_003421879.3, XP_003421891.2, XP_003421896.3
OG0000021	XP_020936930.1, XP_020937956.1, XP_020937593.1, XP_020937875.1, XP_020936685.1	XP_003421881.1, XP_003421882.1
OG0000021	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1	XP_010599494.1
OG0000021	XP_020940742.1	XP_010598586.2, XP_023409443.1, XP_010598561.1
OG0000021	XP_020940741.1	XP_003405014.3
OG0000021	XP_003123614.1	XP_003423706.1, XP_003423543.1, XP_023398470.1, XP_003421246.1, XP_003420774.1, XP_023397996.1, XP_003423139.1
OG0000021	XP_003123600.1	XP_010596465.1, XP_023397628.1
OG0000021	XP_013850061.1	XP_010596431.1
OG0000022	XP_020940822.1	XP_023405713.1
OG0000022	XP_020940823.1	XP_023405693.1
OG0000022	XP_020940587.1	XP_023405753.1
OG0000022	XP_020940825.1, XP_020940824.1	XP_023405672.1
OG0000022	XP_020940585.1	XP_023405761.1
OG0000022	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1	XP_023408412.1
OG0000022	XP_020940579.1	XP_023405686.1
OG0000023	XP_020950604.1	XP_023399059.1
OG0000023	XP_003127440.3, XP_003127434.1	XP_023399116.1
OG0000023	XP_013850544.2	XP_010585287.2, XP_023399851.1, XP_023399850.1, XP_023399132.1
OG0000024	XP_020958344.1, XP_003130048.2	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3
OG0000024	XP_020958343.1	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1
OG0000024	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	XP_003422135.2, XP_003422117.2, XP_010599718.1
OG0000026	XP_020935542.1, XP_020936182.1	XP_003421750.1
OG0000026	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_010593038.2
OG0000027	XP_001928370.3	XP_023397082.1
OG0000027	XP_013843702.1	XP_010594690.1
OG0000027	XP_005655606.1	XP_010600174.1, XP_023403761.1
OG0000027	XP_003126645.3	XP_010589075.1
OG0000027	XP_020920717.1	XP_023404513.1
OG0000027	XP_020929709.1	XP_010597190.2
OG0000027	NP_001038009.1	XP_010594685.1
OG0000028	XP_013849748.1, XP_013849745.1, XP_013849747.1	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2
OG0000028	XP_020941125.1, XP_013849750.2, XP_003353904.1	XP_003421462.1
OG0000029	XP_020937119.1, XP_020926346.1, XP_003358892.1	XP_003418984.1, XP_003418985.1, XP_003419000.1
OG0000029	XP_020925487.1	XP_003410244.2, XP_010588697.2
OG0000029	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1
OG0000031	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1	XP_003421878.1
OG0000031	XP_003123608.1	XP_023396098.1, XP_023397619.1
OG0000031	XP_020955480.1	XP_010598978.2, XP_010598992.1
OG0000031	XP_020955487.1	XP_003421186.3
OG0000031	XP_001927473.2, XP_001927458.2	XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1
OG0000031	XP_003480794.1	XP_023396127.1, XP_010599050.1, XP_023397571.1, XP_023396126.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_010592223.1, XP_003404853.1, XP_003404851.2, XP_010589568.1, XP_003404850.1
OG0000033	NP_001231232.1, XP_020922339.1, XP_020922337.1, XP_003131278.3	XP_023412690.1, XP_023412695.1, XP_023412688.1
OG0000033	XP_005668688.1, XP_013836234.1	XP_023412689.1, XP_023412699.1
OG0000033	XP_005668681.1	XP_023412685.1
OG0000034	XP_013842957.2	XP_023396128.1
OG0000035	NP_001163988.1	XP_003418690.1
OG0000035	NP_001161267.1	XP_003415269.1
OG0000035	NP_001158122.1, XP_013838976.1	XP_003409293.1
OG0000035	XP_003124328.1, XP_020941706.1	XP_010594571.1
OG0000035	XP_003357976.1	XP_010595197.1
OG0000035	XP_005674537.3	XP_003408097.1
OG0000035	XP_020943030.1	XP_003413731.1
OG0000036	NP_001302663.1, NP_999579.1, XP_020927835.1	XP_003409026.2
OG0000036	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1	XP_023402679.1
OG0000038	XP_001927724.1, XP_020941136.1, XP_003481008.2	XP_023398170.1, XP_023397817.1, XP_003423248.1, XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1, XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1, XP_003423249.1, XP_003422722.1, XP_003422728.1, XP_023398043.1, XP_023398164.1, XP_003423034.1, XP_003422726.1, XP_003423206.1, XP_003422914.1, XP_003422729.1, XP_003422725.1, XP_003422723.1, XP_023398090.1, XP_023398094.1, XP_023397812.1, XP_010600606.1, XP_010600410.2, XP_010600607.2, XP_003422733.1, XP_003423130.1, XP_023397908.1, XP_003422720.1, XP_023397909.1, XP_010600639.2, XP_023398171.1, XP_023398516.1, XP_003423127.1, XP_023398312.1
OG0000039	XP_020955779.1	XP_003417907.1
OG0000039	NP_001107168.1	XP_003420000.1
OG0000039	XP_020951690.1	XP_003406436.1
OG0000040	XP_020946908.1	XP_023411544.1
OG0000040	XP_020948788.1	XP_003405445.2
OG0000040	XP_020946912.1	XP_003405459.1
OG0000040	XP_003355697.1	XP_023395897.1, XP_003405469.1, XP_003405468.1
OG0000040	XP_013853443.1	XP_003405467.1, XP_003405465.1
OG0000040	XP_020946911.1	XP_003405455.1, XP_003405457.1
OG0000040	XP_003481775.1	XP_023395861.1
OG0000040	XP_003126701.1	XP_003405444.1
OG0000040	XP_020948283.1	XP_010598751.1
OG0000040	XP_003481776.1	XP_003405466.1, XP_003405462.1
OG0000040	XP_003481773.1	XP_023395853.1, XP_010594517.1, XP_003405461.1
OG0000040	XP_005664233.2	XP_023395770.1
OG0000041	XP_013843095.2	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1
OG0000041	XP_013842752.2, XP_020940716.1	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1
OG0000042	XP_013849950.2	XP_010590492.2
OG0000043	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1
OG0000044	XP_020955509.1	XP_003416454.1
OG0000044	XP_020954087.1	XP_003405712.1
OG0000044	XP_020955506.1, XP_020945589.1, XP_020954094.1, XP_005665718.2	XP_023411493.1, XP_023411495.1
OG0000044	XP_020955508.1	XP_023397189.1
OG0000045	XP_013836784.2	XP_023412232.1
OG0000045	XP_020921943.1	XP_003416837.1
OG0000045	XP_020921928.1	XP_010594913.2
OG0000045	XP_020921875.1, NP_999301.1	XP_003416978.1, XP_003416977.1
OG0000045	XP_020921694.1, NP_001116613.1	XP_010594915.1
OG0000046	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1	XP_023408052.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1	XP_023398867.1, XP_023398863.1, XP_023399788.1
OG0000049	XP_020955073.1, XP_020955736.1	XP_010587012.1
OG0000049	XP_020955074.1	XP_023402084.1
OG0000049	XP_020929837.1	XP_010593953.1
OG0000050	XP_020940988.1	XP_023400730.1
OG0000050	XP_020937893.1	XP_023400731.1
OG0000050	XP_020937926.1	XP_023401108.1, XP_023401106.1, XP_023401107.1, XP_003407522.1
OG0000051	XP_020921569.1	XP_010592337.1
OG0000051	XP_020930931.1	XP_010595976.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_023408848.1
OG0000051	XP_020935520.1	XP_010593035.1
OG0000051	XP_020930930.1	XP_010595977.1
OG0000051	XP_020936437.1	XP_010593034.1
OG0000052	XP_003126117.4	XP_023415736.1
OG0000052	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1
OG0000054	XP_005663291.1, NP_001096150.2	NP_001267816.1
OG0000054	XP_020944088.1, NP_001090960.1	XP_003415004.1
OG0000055	XP_013834548.2	XP_003412241.1
OG0000055	XP_003482552.2	XP_010590623.2, XP_003412238.2, XP_003412240.1
OG0000055	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2	XP_003412088.1, XP_003412237.1, XP_023406386.1
OG0000055	XP_013854347.2, XP_020917933.1	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1
OG0000056	XP_020938036.1	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1
OG0000057	XP_003133754.1	XP_023413548.1
OG0000057	XP_020931305.1	XP_023413479.1, XP_023413547.1
OG0000057	XP_020931321.1, XP_020931326.1	XP_023413538.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1
OG0000060	NP_999516.1, XP_005652470.1	XP_010599816.1, XP_010599817.1
OG0000061	XP_005660610.1	XP_023397963.1
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1
OG0000063	XP_005656395.2	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1
OG0000064	NP_001038087.1, XP_005667748.1	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1
OG0000065	NP_999115.1, XP_005669619.1	XP_010588064.1, XP_003410116.1
OG0000066	XP_003482913.1	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1
OG0000067	XP_020940727.1, XP_020941143.1	XP_010599789.1, XP_003423726.1
OG0000067	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1	XP_003422804.1
OG0000068	XP_020940332.1	XP_023397700.1
OG0000068	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1	XP_003412414.1
