Orthogroup	Sus_scrofa	Ursus_americanus
OG0000012	XP_020936276.1	XP_045659613.1
OG0000012	XP_005673573.2, XP_020935939.1, XP_005673577.2	XP_045634850.1, XP_045634848.1
OG0000013	XP_013845988.1	XP_045630277.1
OG0000013	XP_005652900.2	XP_045630276.1
OG0000013	XP_003123350.2, XP_020940780.1	XP_045630304.1
OG0000013	XP_013845984.2, XP_005652897.1, XP_020940779.1	XP_045630350.1
OG0000013	XP_020941162.1	XP_045630326.1
OG0000014	XP_020952885.1	XP_045629904.1
OG0000014	XP_020952950.1	XP_045629486.1
OG0000014	XP_020952996.1	XP_045629702.1
OG0000014	XP_013854335.1	XP_045629270.1
OG0000014	XP_020953001.1	XP_045629750.1, XP_045629740.1
OG0000014	XP_020952965.1, XP_020952964.1	XP_045629613.1, XP_045629604.1, XP_045629575.1
OG0000014	XP_020952978.1, XP_020952973.1	XP_045629542.1
OG0000014	XP_020952999.1	XP_045629587.1
OG0000014	XP_020950801.1	XP_045629495.1, XP_045629475.1
OG0000014	XP_020953042.1, XP_020953041.1	XP_045629594.1
OG0000014	XP_003128168.5	XP_045629381.1
OG0000014	XP_020950797.1, XP_013854336.1	XP_045629351.1, XP_045629360.1, XP_045629324.1, XP_045629314.1, XP_045629339.1, XP_045629281.1, XP_045629304.1
OG0000014	XP_013854327.1	XP_045629554.1
OG0000014	XP_020950810.1, XP_013854333.1	XP_045629580.1
OG0000015	XP_013842894.1, XP_013845829.1, XP_020940790.1, XP_020941167.1, XP_003480831.2, XP_003354129.2, XP_020937619.1, XP_020941170.1, XP_013846032.2, XP_020940791.1, XP_020938068.1, XP_020937479.1, XP_020938121.1, XP_020937971.1, XP_005652904.2, XP_020936681.1, XP_020937393.1, XP_020938165.1, XP_020938164.1, XP_013845905.2, XP_020937394.1, XP_003123316.2, XP_020940783.1, XP_020937482.1, XP_020938126.1, XP_020938163.1, XP_020937401.1	XP_045630360.1
OG0000015	XP_003123309.3, XP_020937456.1, XP_020937975.1, XP_020937127.1, XP_020938119.1, XP_020938169.1, XP_003123329.3, XP_020940787.1, XP_013845810.1, XP_020940786.1, XP_020938168.1, XP_020937973.1, XP_020937455.1, XP_003123310.2, XP_013845817.2, XP_013845823.2, XP_020940793.1, XP_020937391.1, XP_020937454.1, XP_020940785.1, XP_020938166.1, XP_020937109.1, XP_020937484.1, XP_020937972.1, XP_003123330.3, XP_020937977.1, XP_003123335.3	XP_045630319.1
OG0000016	NP_001159792.1	XP_045636723.1
OG0000016	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1
OG0000017	XP_003124707.3	XP_045640004.1, XP_045639964.1, XP_045640398.1
OG0000017	XP_003123527.1	XP_045634772.1, XP_045634756.1
OG0000017	XP_020944074.1	XP_045629764.1
OG0000017	XP_020937931.1	XP_045647139.1
OG0000017	XP_020923327.1	XP_045629463.1
OG0000017	XP_020937884.1	XP_045647112.1
OG0000018	XP_003131242.1	XP_045670225.1
OG0000018	NP_001231571.1	XP_045633105.1
OG0000018	NP_001274345.1	XP_045656399.1, XP_045656385.1
OG0000018	XP_013844399.1	XP_045659932.1
OG0000019	XP_001925185.1, XP_001925102.1, XP_020955677.1, XP_003128820.2, XP_003128642.2, XP_001929464.2	XP_045643387.1
OG0000019	XP_020955676.1, XP_001924920.1, XP_003128808.2, XP_001925151.2, XP_001929456.1, XP_003128643.1, XP_001925043.1, XP_001925213.2, XP_001927931.2, XP_003128650.2	XP_045645141.1, XP_045643388.1
OG0000019	XP_001927961.2, XP_020954986.1	XP_045645143.1, XP_045643386.1
OG0000020	XP_020950615.1, XP_013854215.2	XP_045645295.1
OG0000020	XP_013844151.1	XP_045645315.1, XP_045645319.1, XP_045645325.1
OG0000020	XP_020950635.1, XP_020950608.1, XP_020950617.1, NP_001121923.1, XP_020938098.1, XP_020950609.1, XP_020934843.1, XP_013844144.2	XP_045645342.1, XP_045645296.1, XP_045645314.1, XP_045645289.1
OG0000021	XP_003354452.1, XP_001928244.2, XP_020937958.1, XP_020937856.1, XP_003128300.1, XP_020937658.1, XP_020936927.1, XP_001928255.2, XP_003128302.2, XP_020936930.1, XP_020937956.1, XP_020937593.1, XP_020937875.1, XP_020936685.1, XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1	XP_045672083.1
OG0000021	XP_020940742.1	XP_045651763.1, XP_045651745.1, XP_045651775.1, XP_045651767.1, XP_045651773.1, XP_045651772.1, XP_045651774.1, XP_045651764.1
OG0000021	XP_020940741.1	XP_045651759.1
OG0000021	XP_003123614.1	XP_045651760.1
OG0000021	XP_003123600.1	XP_045651766.1, XP_045651768.1, XP_045651777.1
OG0000021	XP_013850061.1	XP_045651736.1, XP_045651734.1, XP_045651778.1, XP_045655329.1
OG0000022	XP_020940822.1	XP_045650391.1
OG0000022	XP_020940823.1	XP_045650393.1
OG0000022	XP_020940587.1	XP_045650396.1
OG0000022	XP_020940825.1, XP_020940824.1	XP_045650384.1
OG0000022	XP_020940585.1	XP_045650404.1
OG0000022	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1	XP_045650405.1
OG0000022	XP_020940579.1	XP_045650392.1
OG0000023	XP_020950604.1	XP_045631143.1
OG0000023	XP_020950504.1	XP_045631035.1
OG0000023	XP_013854134.1	XP_045628241.1
OG0000023	XP_003127440.3	XP_045631125.1
OG0000023	XP_003127434.1	XP_045631124.1
OG0000023	XP_020950600.1	XP_045631031.1
OG0000023	XP_013850544.2	XP_045631089.1
OG0000024	XP_020958344.1, XP_003130048.2	XP_045653510.1
OG0000024	XP_020958343.1	XP_045653577.1
OG0000024	XP_003357395.1, XP_005653772.2, XP_020919612.1, XP_003357388.2	XP_045653509.1, XP_045653508.1
OG0000026	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1
OG0000027	XP_001928370.3	XP_045633509.1
OG0000027	XP_013843702.1	XP_045657089.1
OG0000027	XP_003126645.3	XP_045631313.1
OG0000027	XP_020920717.1	XP_045668843.1
OG0000027	XP_020929709.1	XP_045658509.1, XP_045671137.1
OG0000027	NP_001038009.1	XP_045657091.1
OG0000028	XP_013849769.1	XP_045643020.1, XP_045643013.1
OG0000028	XP_013849745.1, XP_013849747.1	XP_045643014.1, XP_045643018.1
OG0000028	XP_020941125.1	XP_045643019.1, XP_045643012.1, XP_045643011.1
OG0000028	XP_013849750.2, XP_003353904.1	XP_045643015.1
OG0000029	XP_020937119.1, XP_020926346.1, XP_003358892.1	XP_045641565.1, XP_045641598.1
OG0000029	XP_020925487.1	XP_045641600.1
OG0000029	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1
OG0000031	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1	XP_045672053.1
OG0000031	XP_003123608.1	XP_045659913.1, XP_045659986.1
OG0000031	XP_003128324.2, XP_003128312.2, XP_020937570.1, XP_020937437.1, XP_001928461.1	XP_045659863.1
OG0000031	XP_020955480.1, XP_020955487.1	XP_045656313.1, XP_045656312.1
OG0000031	XP_001927473.2, XP_001927458.2	XP_045656296.1, XP_045656558.1
OG0000031	XP_020955482.1, XP_020937362.1, XP_020936658.1, XP_020955481.1, XP_020936659.1, XP_020955484.1, XP_020955485.1, XP_003482184.1	XP_045659914.1, XP_045659892.1, XP_045656295.1, XP_045656559.1, XP_045656562.1, XP_045656557.1, XP_045656560.1, XP_045656555.1, XP_045656561.1, XP_045659894.1, XP_045659893.1, XP_045659895.1
OG0000031	XP_003123597.1	XP_045659982.1
OG0000031	XP_003480794.1	XP_045659981.1
OG0000031	XP_013847497.1	XP_045635020.1
OG0000032	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1	XP_045650439.1, XP_045650437.1, XP_045650435.1, XP_045650433.1, XP_045650438.1, XP_045650432.1, XP_045650440.1, XP_045650436.1, XP_045650441.1
OG0000033	NP_001231232.1	XP_045670473.1, XP_045670472.1
OG0000033	XP_020922339.1, XP_020922337.1	XP_045670367.1
OG0000033	XP_003131278.3	XP_045670081.1
OG0000033	XP_005668688.1	XP_045670249.1
OG0000033	XP_013836234.1	XP_045670237.1, XP_045670459.1, XP_045670411.1, XP_045670491.1
OG0000033	XP_005668681.1	XP_045669873.1
OG0000034	XP_013842957.2	XP_045635028.1, XP_045659988.1
OG0000035	NP_001163988.1	XP_045628381.1
OG0000035	NP_001161267.1	XP_045639549.1, XP_045639550.1
OG0000035	XP_013838976.1	XP_045658329.1
OG0000035	XP_003124328.1, XP_020941706.1	XP_045669289.1
OG0000035	XP_003357976.1	XP_045630929.1
OG0000035	XP_005674537.3	XP_045650270.1
OG0000035	XP_020943030.1	XP_045644253.1
OG0000036	NP_001302663.1, NP_999579.1, XP_020927835.1	XP_045665317.1, XP_045665320.1, XP_045665319.1
OG0000036	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1	XP_045651935.1, XP_045665947.1
OG0000038	XP_001927724.1, XP_020941136.1	XP_045642452.1, XP_045642453.1
OG0000038	XP_003481008.2	XP_045642950.1, XP_045642454.1
OG0000039	NP_001230363.1	XP_045667593.1
OG0000039	XP_020955779.1	XP_045667466.1
OG0000039	NP_001038077.1	XP_045656493.1
OG0000039	XP_003122400.2	XP_045659670.1
OG0000039	XP_003480860.1	XP_045632691.1
OG0000039	NP_001107168.1	XP_045670590.1
OG0000039	XP_020951690.1	XP_045671051.1
OG0000040	XP_020946908.1	XP_045656782.1
OG0000040	XP_003355697.1	XP_045656701.1, XP_045656770.1
OG0000040	XP_013853443.1	XP_045656771.1
OG0000040	XP_020946910.1	XP_045656778.1
OG0000040	XP_020946911.1	XP_045656777.1
OG0000040	XP_003481775.1	XP_045656698.1
OG0000040	XP_020948282.1	XP_045656702.1
OG0000040	XP_003481776.1	XP_045656697.1, XP_045656773.1
OG0000040	XP_003481773.1	XP_045656774.1
OG0000040	XP_005664233.2	XP_045656781.1
OG0000041	XP_013843095.2	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1
OG0000041	XP_013842752.2, XP_020940716.1	XP_045642937.1, XP_045642938.1
OG0000042	XP_013849950.2	XP_045664621.1
OG0000043	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1	XP_045639029.1
OG0000044	XP_020955509.1	XP_045656372.1, XP_045656420.1, XP_045656375.1
OG0000044	XP_020945589.1, XP_020954094.1, XP_005665718.2	XP_045633101.1
OG0000044	XP_020955508.1	XP_045656374.1
OG0000045	XP_013836784.2	XP_045653186.1
OG0000045	XP_020921943.1	XP_045653193.1
OG0000045	XP_020921928.1	XP_045653194.1
OG0000045	XP_020921875.1, NP_999301.1	XP_045653188.1, XP_045653187.1, XP_045653189.1
OG0000045	XP_020921694.1, NP_001116613.1	XP_045653191.1
OG0000046	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1	XP_045634549.1
OG0000046	XP_003123481.1, XP_003123482.1	XP_045634634.1, XP_045634633.1, XP_045634710.1
OG0000048	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1	XP_045642300.1
OG0000048	XP_020953209.1, XP_020953207.1	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1
OG0000049	XP_020955073.1, XP_020955736.1	XP_045663942.1
OG0000049	XP_020955074.1	XP_045663874.1
OG0000049	XP_020929837.1	XP_045655349.1
OG0000050	XP_003122186.1	XP_045646965.1
OG0000050	XP_020940988.1	XP_045646964.1
OG0000050	XP_020937893.1	XP_045647114.1
OG0000050	XP_020937926.1	XP_045647113.1
OG0000051	XP_020921569.1	XP_045628930.1
OG0000051	XP_020930931.1	XP_045631233.1
OG0000051	XP_020921568.1, XP_020921567.1	XP_045628928.1, XP_045628929.1
OG0000051	XP_020935520.1	XP_045642234.1
OG0000051	XP_020930930.1	XP_045631224.1
OG0000051	XP_020936437.1	XP_045634948.1
OG0000052	XP_003126117.4	XP_045635810.1
OG0000052	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1
OG0000054	XP_005663291.1, NP_001096150.2	XP_045640444.1
OG0000054	XP_020946477.1, XP_005663286.1, NP_998996.1	XP_045639962.1, XP_045640348.1, XP_045640424.1, XP_045640421.1, XP_045640427.1, XP_045640227.1
OG0000054	XP_020944088.1, NP_001090960.1	XP_045639995.1
OG0000055	XP_013834548.2	XP_045639049.1
OG0000055	XP_003482552.2	XP_045639031.1
OG0000056	XP_020938036.1	XP_045642850.1
OG0000057	XP_003133754.1	XP_045650108.1
OG0000057	XP_020931305.1	XP_045650116.1
OG0000057	XP_020931321.1, XP_020931326.1	XP_045650100.1
OG0000058	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1
OG0000059	XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1	XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1
OG0000059	XP_013836638.1, XP_005657183.1, XP_005654132.1	XP_045641606.1, XP_045641602.1
OG0000060	NP_999516.1, XP_005652470.1	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1
OG0000061	NP_998979.1	XP_045670758.1
OG0000061	XP_005660610.1	XP_045669635.1
OG0000062	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1
OG0000063	XP_005656395.2	XP_045666392.1
OG0000064	NP_001038087.1, XP_005667748.1	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1
OG0000065	NP_999115.1, XP_005669619.1	XP_045663223.1
OG0000066	XP_003482913.1	XP_045656564.1
OG0000067	XP_020940727.1, XP_020941143.1	XP_045628280.1
OG0000067	XP_003354450.1, XP_003354451.1	XP_045628274.1
OG0000067	XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1	XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1
OG0000068	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1
OG0000068	XP_020940332.1	XP_045642474.1
OG0000068	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1	XP_045643023.1
OG0000069	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1	XP_045630052.1
OG0000069	XP_020955156.1	XP_045663810.1
OG0000070	XP_020918409.1	XP_045636453.1
OG0000071	XP_020938194.1	XP_045626771.1
OG0000071	NP_001188311.1	XP_045626763.1, XP_045626722.1
OG0000072	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1
OG0000073	XP_013842558.2, XP_020937803.1	XP_045642928.1
OG0000073	XP_003122353.2	XP_045642930.1
OG0000074	NP_999018.1, XP_005653705.1	XP_045638737.1, XP_045638729.1
OG0000074	XP_013854644.1, NP_999476.1	XP_045638730.1
OG0000075	XP_013841926.1, XP_005673996.1	XP_045660960.1
OG0000075	XP_020936228.1	XP_045644393.1, XP_045660188.1
OG0000076	XP_013850711.2	XP_045650403.1
OG0000076	XP_020940578.1	XP_045650394.1
OG0000077	XP_003133549.1	XP_045662121.1
OG0000077	XP_005663911.1	XP_045656813.1
OG0000078	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1	XP_045645657.1, XP_045645656.1
OG0000079	XP_005653026.1, NP_001072136.1	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1
OG0000080	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1	XP_045642701.1, XP_045642703.1, XP_045642702.1
OG0000080	XP_020940361.1	XP_045642704.1, XP_045642705.1
OG0000081	XP_020928770.1	XP_045644444.1
OG0000081	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1	XP_045633911.1
OG0000082	XP_003359050.3	XP_045632334.1
OG0000082	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1
OG0000083	XP_020953231.1, XP_005653378.1	XP_045631149.1, XP_045631150.1
OG0000083	XP_013850745.1	XP_045631169.1
OG0000083	XP_013850606.2	XP_045631170.1
OG0000083	XP_020952917.1	XP_045631175.1
OG0000083	XP_013854174.2	XP_045631116.1
OG0000083	XP_013850671.1	XP_045631173.1
