Orthogroup	Ursus_americanus	Mesocricetus_auratus
OG0000039	XP_045671051.1	XP_005074701.1
OG0000040	XP_045656782.1	XP_005066964.1
OG0000040	XP_045656701.1, XP_045656770.1	XP_040608727.1, XP_040608728.1
OG0000040	XP_045656771.1	XP_005067235.1
OG0000040	XP_045656781.1	XP_005066965.1
OG0000041	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1	XP_005065090.1
OG0000041	XP_045642937.1, XP_045642938.1	XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1
OG0000042	XP_045664621.1	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1
OG0000043	XP_045639029.1	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1
OG0000044	XP_045656420.1	XP_021080739.1
OG0000044	XP_045633101.1	XP_040608140.1, XP_040599370.1
OG0000044	XP_045656374.1	XP_012981124.1
OG0000045	XP_045653186.1	XP_012967012.1
OG0000045	XP_045653193.1	XP_005067661.2
OG0000045	XP_045653194.1	XP_005067663.2
OG0000045	XP_045653188.1, XP_045653187.1, XP_045653189.1	XP_040604829.1
OG0000045	XP_045653191.1	XP_040604830.1
OG0000046	XP_045634549.1	XP_040593590.1, XP_040593589.1, XP_005083451.1, XP_005083446.1, XP_040594995.1
OG0000048	XP_045642300.1	XP_005086519.2, XP_005086487.1
OG0000048	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1	XP_040590516.1, XP_040590186.1, XP_040590252.1
OG0000049	XP_045663942.1	XP_012970837.1
OG0000049	XP_045655350.1	XP_040598230.1, XP_005075263.2, XP_040598231.1
OG0000049	XP_045655349.1	XP_005066586.2, XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1, XP_040587835.1
OG0000050	XP_045647113.1	XP_040591601.1, XP_040591585.1, XP_005082163.1, XP_040591590.1, XP_040591584.1
OG0000051	XP_045628930.1	XP_040589515.1
OG0000051	XP_045631233.1	XP_040609155.1
OG0000051	XP_045628928.1, XP_045628929.1	XP_040589514.1
OG0000051	XP_045642234.1	XP_012977763.1
OG0000051	XP_045631224.1	XP_040609153.1, XP_040609154.1
OG0000051	XP_045634948.1	XP_005082522.1
OG0000052	XP_045635810.1	XP_040592338.1
OG0000052	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1	XP_021078671.1, XP_012966499.1, XP_040610156.1, XP_040592247.1
OG0000054	XP_045640444.1	XP_012976161.1
OG0000055	XP_045639049.1	XP_005075771.1
OG0000055	XP_045639031.1	XP_005075828.3
OG0000056	XP_045642850.1	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1
OG0000057	XP_045650108.1	XP_040609095.1, XP_040609094.1, XP_040609097.1
OG0000057	XP_045650116.1	XP_040609083.1
OG0000057	XP_045650100.1	XP_040609082.1, XP_040609085.1
OG0000058	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1
OG0000059	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1	XP_005076799.1, XP_040606237.1, XP_012973635.3, XP_005076844.2, XP_005076797.1, XP_012973648.1, XP_040606244.1, XP_012973632.1, XP_005076796.1, XP_040606246.1, XP_040606247.1
OG0000060	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1	XP_012980426.1, XP_040608584.1, XP_012980427.1
OG0000061	XP_045670758.1	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1
OG0000061	XP_045669635.1	XP_012978726.1
OG0000062	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1
OG0000063	XP_045666392.1	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1
OG0000064	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1
OG0000065	XP_045663223.1	XP_005139289.2, XP_040602518.1, XP_040608744.1
OG0000066	XP_045656564.1	XP_040605362.1
OG0000067	XP_045628280.1	XP_005076495.1
OG0000067	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2
OG0000068	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1	XP_005063311.1
OG0000068	XP_045642474.1	XP_005063310.1
OG0000068	XP_045643023.1	XP_012966146.1
OG0000069	XP_045630052.1	XP_040596557.1, XP_040596556.1, XP_040596558.1
OG0000069	XP_045644771.1	XP_012982640.1
OG0000069	XP_045663810.1	XP_005086454.1
OG0000070	XP_045636453.1	XP_021085276.1
OG0000070	XP_045655412.1	XP_021084043.1
OG0000071	XP_045626763.1, XP_045626722.1	XP_012971826.1, XP_012971753.2, XP_040607730.1
OG0000072	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1
OG0000073	XP_045642928.1	XP_005065080.2
OG0000074	XP_045638737.1, XP_045638729.1	XP_040613609.1
OG0000074	XP_045638730.1	XP_005074087.1
OG0000075	XP_045660960.1	XP_005084587.1
OG0000075	XP_045644393.1, XP_045660188.1	XP_012981002.2, XP_005086675.1, XP_040599847.1
OG0000076	XP_045650397.1	XP_021082326.2
OG0000076	XP_045650398.1	XP_040597840.1
OG0000076	XP_045650395.1	XP_040597833.1
OG0000076	XP_045650394.1	XP_040597839.1
OG0000077	XP_045656813.1	XP_012966788.1
OG0000078	XP_045645657.1, XP_045645656.1	NP_001268256.1, XP_040610188.1
OG0000079	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1
OG0000080	XP_045642704.1, XP_045642705.1	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1
OG0000081	XP_045633911.1	XP_040590974.1
OG0000082	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1	XP_040588269.1, XP_040588270.1, XP_040588274.1
OG0000084	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1	XP_040584800.1, XP_005082842.2, XP_021090181.1
OG0000085	XP_045630221.1, XP_045630359.1	XP_005077363.1
OG0000086	XP_045641894.1	XP_040610260.1
OG0000086	XP_045658490.1	XP_021087100.2
OG0000087	XP_045641652.1	XP_040606219.1
OG0000087	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1	XP_021085058.1, XP_005073964.1, XP_040606293.1, XP_012971615.2, XP_005073894.2, XP_040606221.1, XP_005073967.1, XP_040606220.1, XP_040606222.1, XP_021085049.1, XP_005073895.2, XP_005073896.1
OG0000087	XP_045641653.1	XP_005073963.1
OG0000088	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1
OG0000089	XP_045642922.1, XP_045642925.1	XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1
OG0000090	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1
OG0000092	XP_045642909.1	XP_005065062.1, XP_005065063.1, XP_005065061.1, XP_005065059.1
OG0000092	XP_045642908.1	XP_005064643.1, XP_012974558.1
OG0000093	XP_045669385.1	XP_005080052.1
OG0000095	XP_045662670.1	XP_005079189.1
OG0000095	XP_045662783.1	XP_005079186.1
OG0000095	XP_045662784.1, XP_045662786.1	NP_001268811.1
OG0000096	XP_045646194.1	XP_005081499.1, XP_012976978.1, XP_012976979.1
OG0000096	XP_045667579.1	XP_012966033.2, XP_040611717.1, XP_040611727.1, XP_040611719.1, XP_040611718.1
OG0000099	XP_045666676.1, XP_045663749.1, XP_045663763.1	XP_021080880.2, XP_040597302.1
OG0000099	XP_045663783.1, XP_045663791.1	XP_012967795.1
OG0000100	XP_045659404.1	XP_040590986.1
OG0000100	XP_045629752.1	XP_005080471.1
OG0000101	XP_045650931.1	XP_012970239.1
OG0000101	XP_045655963.1	XP_005088403.1, XP_005088404.1
OG0000102	XP_045627453.1	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1
OG0000103	XP_045668844.1	XP_005071800.3
OG0000104	XP_045657785.1, XP_045657784.1	XP_040603486.1, XP_040589366.1, XP_040589367.1, XP_040589479.1
OG0000105	XP_045646725.1, XP_045646724.1	XP_040591166.1
OG0000106	XP_045649626.1	XP_040602671.1
OG0000106	XP_045642224.1	XP_005064427.1
OG0000106	XP_045632846.1	XP_005080701.2
OG0000106	XP_045629838.1	XP_040587404.1
OG0000107	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1	XP_005065130.1, XP_005065131.1
OG0000107	XP_045642992.1	XP_040600824.1, XP_005065129.1
OG0000108	XP_045651824.1, XP_045651822.1, XP_045651823.1	XP_040608920.1, XP_040608919.1, XP_040608921.1
OG0000109	XP_045636487.1	XP_005078834.2
OG0000109	XP_045636484.1, XP_045636486.1	XP_040597897.1
OG0000110	XP_045653389.1	XP_040604934.1
OG0000110	XP_045653379.1, XP_045653380.1	XP_040604931.1, XP_005067566.1
OG0000110	XP_045653378.1	XP_040604935.1, XP_040604937.1, XP_040604936.1
OG0000111	XP_045666826.1	XP_012982372.1, XP_005088276.2, XP_040587443.1
OG0000113	XP_045660196.1, XP_045645435.1, XP_045635373.1	XP_040600343.1, XP_040600344.1, XP_040600374.1, XP_040600373.1, XP_005076782.1
OG0000114	XP_045662089.1	XP_040609380.1
OG0000114	XP_045662083.1	XP_005070620.1
OG0000114	XP_045662092.1, XP_045662086.1	XP_005070610.2, XP_040608709.1
OG0000114	XP_045662091.1	XP_040609379.1
OG0000114	XP_045662087.1	XP_021082995.1
OG0000115	XP_045657100.1	XP_005067252.1
OG0000115	XP_045670231.1	XP_005070111.1
OG0000115	XP_045661128.1	XP_012967007.1
OG0000115	XP_045661127.1	XP_005067757.1
OG0000116	XP_045648587.1	XP_040607688.1
OG0000117	XP_045628270.1, XP_045651792.1	XP_005085440.1, XP_012980151.1
OG0000118	XP_045648932.1, XP_045648931.1, XP_045648929.1	XP_040592964.1
OG0000119	XP_045665992.1, XP_045665990.1, XP_045665989.1, XP_045665988.1, XP_045665991.1, XP_045665994.1, XP_045665993.1	XP_005066137.1, XP_005066138.1, XP_012965891.1, XP_012965892.1
OG0000120	XP_045669188.1	XP_040607247.1
OG0000121	XP_045635128.1, XP_045635127.1	XP_040598139.1, XP_005075252.1, XP_040598140.1, XP_021085845.1, XP_012972648.1, XP_012972650.1, XP_012972652.1, XP_012972649.1
OG0000122	XP_045655871.1	XP_012977225.2
OG0000122	XP_045637057.1	XP_040604850.1, XP_040595192.1, XP_040586848.1, XP_040586853.1
OG0000123	XP_045629592.1	XP_005067471.1
OG0000124	XP_045669594.1	XP_040592747.1
OG0000124	XP_045669620.1	XP_012974027.1
OG0000124	XP_045669599.1, XP_045669583.1, XP_045669619.1	XP_040589326.1
OG0000125	XP_045637612.1	XP_005087419.3
OG0000125	XP_045637560.1, XP_045637568.1, XP_045637562.1	XP_040603962.1, XP_040603963.1, XP_040605621.1
OG0000125	XP_045637561.1	XP_021079408.2
OG0000127	XP_045655163.1, XP_045655162.1, XP_045655161.1, XP_045655166.1, XP_045655165.1, XP_045655164.1, XP_045655159.1	XP_012978066.1
OG0000128	XP_045656423.1	XP_021080724.1
OG0000128	XP_045656428.1, XP_045656425.1, XP_045656429.1, XP_045656426.1, XP_045656430.1, XP_045656427.1	XP_012966127.1
OG0000128	XP_045656303.1	XP_012966093.1
OG0000128	XP_045656434.1	XP_012966126.1
OG0000129	XP_045658332.1, XP_045658324.1	XP_040596085.1, XP_040595678.1, XP_040595676.1
OG0000130	XP_045671357.1	XP_005087320.2
OG0000130	XP_045671344.1	XP_005074159.2, XP_012981599.1, XP_040587531.1
OG0000131	XP_045639044.1	XP_005075791.1, XP_005075797.1, XP_005075792.1, XP_005075796.2, XP_005075793.1, XP_005075795.1, XP_005075835.1, XP_005075794.1
OG0000132	XP_045666061.1	XP_040584133.1, XP_012965653.1, XP_005065914.1, XP_040584136.1, XP_040584135.1, XP_012965654.1, XP_040584134.1
OG0000133	XP_045657777.1, XP_045657776.1, XP_045657778.1	XP_012974105.1, XP_040589323.1, XP_040589322.1, XP_040589324.1
OG0000134	XP_045637133.1	XP_040594363.1
OG0000135	XP_045645050.1	XP_040597461.1
OG0000136	XP_045645011.1, XP_045645014.1, XP_045645012.1	XP_040597418.1, XP_040597423.1, XP_040597422.1, XP_040597412.1, XP_040597417.1, XP_040597415.1, XP_040597425.1, XP_040597421.1, XP_040597420.1, XP_040597419.1, XP_040597424.1, XP_040597416.1, XP_040597414.1, XP_040597413.1
OG0000137	XP_045649571.1	XP_005083118.2
OG0000137	XP_045649568.1	XP_012978225.3, XP_005083117.2
OG0000137	XP_045649566.1	XP_005083116.2
OG0000138	XP_045627915.1	XP_012971726.1
OG0000138	XP_045638820.1	XP_040589663.1, XP_005074200.1
OG0000139	XP_045634983.1, XP_045634985.1, XP_045634984.1, XP_045634986.1	XP_012966997.1, XP_040604645.1, XP_021081513.1, XP_021081512.1, XP_012966996.1, XP_012966991.1, XP_012966995.1, XP_012966994.1, XP_012966990.1
