Orthogroup	Ursus_americanus	Sarcophilus_harrisii
OG0000004	XP_045656361.1	XP_003768759.1
OG0000004	XP_045633095.1, XP_045633096.1	XP_031823292.1
OG0000004	XP_045633092.1	XP_003769951.1
OG0000004	XP_045637404.1, XP_045633093.1	XP_012405154.1
OG0000004	XP_045656431.1	XP_003768752.1
OG0000005	XP_045632498.1, XP_045652424.1, XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1, XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1, XP_045632521.1, XP_045645925.1, XP_045645927.1, XP_045632517.1, XP_045652430.1, XP_045652427.1, XP_045632518.1, XP_045645521.1	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3
OG0000006	XP_045656292.1	XP_031801369.1
OG0000007	XP_045629912.1, XP_045641340.1, XP_045645410.1, XP_045645411.1, XP_045645412.1, XP_045645201.1, XP_045631120.1, XP_045645184.1, XP_045645182.1	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3
OG0000008	XP_045631167.1, XP_045631098.1, XP_045670779.1	XP_031806199.1
OG0000008	XP_045644759.1	XP_023362616.1, XP_031800616.1
OG0000008	XP_045651930.1	XP_023355868.1, XP_012401259.1
OG0000008	XP_045642057.1, XP_045669366.1, XP_045669362.1, XP_045658297.1, XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1, XP_045670809.1	XP_023361210.2, XP_031794448.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2
OG0000010	XP_045642840.1	XP_031800130.1
OG0000010	XP_045642833.1, XP_045642838.1, XP_045642839.1, XP_045642828.1, XP_045642832.1, XP_045642831.1, XP_045642829.1, XP_045642830.1, XP_045642837.1, XP_045642834.1	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1
OG0000011	XP_045650413.1, XP_045650417.1, XP_045650426.1, XP_045650411.1, XP_045650409.1, XP_045650412.1, XP_045650424.1, XP_045650416.1, XP_045650414.1, XP_045650423.1, XP_045650419.1, XP_045650422.1, XP_045650410.1, XP_045650407.1	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3
OG0000016	XP_045636723.1, XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1
OG0000017	XP_045640004.1, XP_045639964.1, XP_045640398.1	XP_012398581.1
OG0000017	XP_045634772.1, XP_045634756.1	XP_003761039.1, XP_003761040.1, XP_003761048.1, XP_012397839.1, XP_012397826.1, XP_012397828.1, XP_031804001.1, XP_003763139.2, XP_012397824.1, XP_012397821.1, XP_012397829.1, XP_031806752.1, XP_003763137.1, XP_012397822.1, XP_003761034.1, XP_003761036.2, XP_003761037.1, XP_031806708.1, XP_012399622.1, XP_012397827.1, XP_003763235.1, XP_031806810.1, XP_003763234.1, XP_012397825.1
OG0000017	XP_045629764.1	XP_023358579.1
OG0000017	XP_045629463.1	XP_003775021.1
OG0000017	XP_045647112.1	XP_003758428.1, XP_003758978.1, XP_003759273.1
OG0000017	XP_045634937.1	XP_003758424.1, XP_031806205.1
OG0000018	XP_045670225.1	XP_031821686.1, XP_031821685.1, XP_031822886.1
OG0000018	XP_045633105.1	XP_031821117.1, XP_023359832.1, XP_023358477.2, XP_031823291.1
OG0000019	XP_045643387.1, XP_045645141.1, XP_045643388.1, XP_045645143.1, XP_045643386.1	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2
OG0000021	XP_045672083.1	XP_003765334.1, XP_003765337.2, XP_023355891.1
OG0000021	XP_045651763.1, XP_045651745.1, XP_045651775.1, XP_045651767.1, XP_045651773.1, XP_045651772.1, XP_045651774.1, XP_045651764.1, XP_045651758.1, XP_045651759.1, XP_045651760.1, XP_045651766.1, XP_045651768.1, XP_045651777.1, XP_045651736.1, XP_045651734.1, XP_045651778.1, XP_045655329.1	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1
OG0000022	XP_045650391.1, XP_045650387.1, XP_045650388.1, XP_045650393.1, XP_045650396.1, XP_045650384.1, XP_045650404.1, XP_045650405.1, XP_045650392.1	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1
OG0000023	XP_045631143.1	XP_031819147.1, XP_031817546.1, XP_031817545.1
OG0000023	XP_045628241.1, XP_045631030.1	XP_031819158.1
OG0000024	XP_045653510.1	XP_003764405.1
OG0000024	XP_045653577.1, XP_045653509.1, XP_045653508.1	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1
OG0000026	XP_045672087.1, XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1	XP_012397681.1, XP_012397680.1, XP_012397682.1
OG0000027	XP_045633509.1	XP_003765946.1
OG0000027	XP_045657089.1	XP_023360032.2, XP_031820681.1
OG0000027	XP_045631313.1	XP_023360426.1
OG0000027	XP_045643594.1	XP_003767621.1
OG0000027	XP_045658509.1, XP_045671137.1	XP_031804908.1
OG0000027	XP_045657088.1	XP_031793822.1, XP_012407220.2
OG0000028	XP_045643020.1, XP_045643013.1, XP_045643014.1, XP_045643018.1, XP_045643019.1, XP_045643012.1, XP_045643011.1, XP_045643017.1, XP_045643010.1, XP_045643015.1	XP_003774032.2
OG0000029	XP_045641565.1, XP_045641598.1, XP_045641600.1, XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1	XP_003766414.1
OG0000031	XP_045672053.1	XP_012404307.1
OG0000031	XP_045659913.1, XP_045659986.1	XP_003770492.1
OG0000031	XP_045659863.1, XP_045656313.1, XP_045656312.1, XP_045656296.1, XP_045656558.1, XP_045659914.1, XP_045659892.1, XP_045656295.1, XP_045656559.1, XP_045656562.1, XP_045656557.1, XP_045656560.1, XP_045656555.1, XP_045656561.1, XP_045659894.1, XP_045659893.1, XP_045659895.1, XP_045659982.1, XP_045659981.1, XP_045635020.1	XP_003765338.1, XP_012400082.1, XP_031817645.1
OG0000032	XP_045650437.1, XP_045650435.1, XP_045650433.1, XP_045650438.1, XP_045650432.1, XP_045650440.1	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1
OG0000032	XP_045650430.1, XP_045650429.1	XP_031809273.1
OG0000033	XP_045670473.1, XP_045670472.1, XP_045670367.1	XP_012403541.1
OG0000033	XP_045669873.1	XP_023358276.2
OG0000035	XP_045628381.1	XP_003756019.1
OG0000035	XP_045639549.1, XP_045639550.1	XP_003767872.1
OG0000035	XP_045658329.1	XP_031812848.1, XP_031812850.1
OG0000035	XP_045669289.1	XP_003761602.1
OG0000035	XP_045630929.1	XP_031821487.1
OG0000035	XP_045650270.1	XP_003759426.1
OG0000035	XP_045644253.1	XP_031805495.1
OG0000036	XP_045665317.1, XP_045665320.1, XP_045665319.1	XP_031812610.1, XP_031812613.1, XP_031812612.1, XP_031812611.1, XP_003754959.1, XP_003754958.1, XP_031812533.1, XP_031812108.1
OG0000036	XP_045651935.1, XP_045665947.1, XP_045641026.1, XP_045641029.1, XP_045641028.1	XP_003755303.1, XP_003755291.1
OG0000039	XP_045667593.1	XP_031802795.1
OG0000039	XP_045667466.1	XP_003760265.2
OG0000039	XP_045656493.1	XP_003768941.1
OG0000039	XP_045659670.1	XP_003757584.1
OG0000039	XP_045632691.1	XP_031803594.1
OG0000039	XP_045670590.1	XP_031807551.1
OG0000039	XP_045671051.1	XP_003760117.1
OG0000041	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1, XP_045642937.1, XP_045642938.1	XP_023362197.2, XP_031799550.1
OG0000042	XP_045664621.1	XP_031798147.1
OG0000044	XP_045656372.1, XP_045656420.1, XP_045656375.1	XP_023353357.1
OG0000044	XP_045633101.1	XP_012405112.1
OG0000044	XP_045656374.1	XP_031801760.1
OG0000045	XP_045653186.1	XP_003759383.1
OG0000045	XP_045653193.1	XP_031821400.1
OG0000045	XP_045653194.1	XP_003759381.1
OG0000045	XP_045653188.1, XP_045653187.1, XP_045653189.1	XP_031821396.1
OG0000045	XP_045653191.1	XP_031821399.1
OG0000046	XP_045634548.1, XP_045634549.1, XP_045634634.1, XP_045634633.1, XP_045634710.1	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1
OG0000048	XP_045642300.1, XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1	XP_012402396.1
OG0000049	XP_045663942.1, XP_045663874.1, XP_045655350.1, XP_045655349.1	XP_003756342.1, XP_031808465.1
OG0000050	XP_045646965.1, XP_045647115.1, XP_045646964.1, XP_045647114.1, XP_045647113.1	XP_023363165.1
OG0000051	XP_045628930.1	XP_003765783.1
OG0000051	XP_045631233.1	XP_031813804.1
OG0000051	XP_045628928.1, XP_045628929.1	XP_023356253.1, XP_003765782.2
OG0000051	XP_045642234.1, XP_045631224.1	XP_031813802.1, XP_031813803.1
OG0000051	XP_045634948.1	XP_031800822.1
OG0000052	XP_045635810.1, XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1	XP_023360233.1, XP_031794166.1
OG0000053	XP_045641654.1, XP_045641655.1	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1
OG0000054	XP_045640444.1, XP_045639962.1, XP_045640348.1, XP_045640424.1, XP_045640421.1, XP_045640427.1, XP_045640227.1, XP_045640578.1, XP_045639995.1	XP_012403485.2
OG0000055	XP_045639049.1, XP_045639031.1	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1
OG0000056	XP_045642850.1	XP_003773826.1, XP_003773836.1, XP_003773828.1
OG0000057	XP_045650108.1, XP_045650116.1, XP_045650100.1	XP_031825154.1
OG0000058	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1	XP_031815049.1, XP_031815044.1, XP_031815058.1
OG0000060	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1
OG0000061	XP_045670758.1	XP_012409487.1
OG0000061	XP_045669635.1	XP_031810834.1
OG0000062	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1
OG0000063	XP_045666392.1	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1
OG0000064	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1
OG0000065	XP_045663223.1	XP_003762637.1
OG0000066	XP_045653018.1, XP_045653017.1, XP_045656564.1	XP_012402739.1, XP_003766943.1
OG0000068	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1, XP_045642474.1, XP_045643023.1	XP_031797906.1
OG0000069	XP_045630052.1, XP_045644771.1, XP_045644762.1, XP_045663810.1	XP_012396962.1
OG0000070	XP_045636453.1	XP_031799314.1
OG0000070	XP_045655412.1	XP_031825010.1
OG0000071	XP_045626723.1, XP_045626771.1, XP_045626763.1, XP_045626722.1	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1
OG0000072	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1	XP_031812030.1, XP_023363032.1
OG0000073	XP_045642928.1, XP_045642930.1	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2
OG0000074	XP_045638737.1, XP_045638729.1, XP_045638730.1	XP_031817868.1, XP_031817870.1, XP_031817869.1
OG0000076	XP_045650397.1, XP_045650382.1, XP_045650381.1, XP_045650398.1, XP_045650395.1, XP_045650402.1, XP_045650403.1, XP_045650394.1	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2
OG0000077	XP_045662121.1	XP_031816276.1
OG0000077	XP_045656813.1	XP_003772367.1
OG0000078	XP_045645657.1, XP_045645656.1	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1
OG0000079	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1
OG0000080	XP_045642701.1, XP_045642703.1, XP_045642702.1, XP_045642704.1, XP_045642705.1	XP_012408351.1, XP_012408350.1
OG0000082	XP_045632334.1, XP_045669507.1, XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1, XP_045632306.1, XP_045632302.1	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1
OG0000083	XP_045631149.1, XP_045631150.1, XP_045631169.1, XP_045631170.1, XP_045631175.1, XP_045631116.1, XP_045631173.1	XP_031804876.1
OG0000084	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1
OG0000085	XP_045630357.1, XP_045630221.1, XP_045630359.1	XP_003763133.1, XP_003761019.2
OG0000086	XP_045641894.1	XP_003762123.1
OG0000086	XP_045658490.1	XP_031804914.1
OG0000088	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1	XP_023354622.1
OG0000089	XP_045642921.1, XP_045642923.1, XP_045642922.1, XP_045642925.1	XP_012408110.1, XP_003773886.1
OG0000090	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1	XP_031805765.1
OG0000092	XP_045642909.1, XP_045642908.1, XP_045642912.1	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1
OG0000093	XP_045669385.1	XP_031797313.1
OG0000095	XP_045662670.1	XP_003757317.1
OG0000095	XP_045662671.1	XP_031810396.1
OG0000096	XP_045646194.1, XP_045667579.1	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1
OG0000099	XP_045666662.1	XP_012409388.1
OG0000099	XP_045663783.1, XP_045663791.1	XP_031805182.1, XP_031810473.1
OG0000100	XP_045659408.1, XP_045659407.1, XP_045659404.1, XP_045659406.1	XP_031818873.1
OG0000100	XP_045629752.1	XP_031821197.1, XP_031821198.1, XP_003768867.1
OG0000101	XP_045650931.1, XP_045655963.1, XP_045655964.1	XP_031809394.1
OG0000102	XP_045627453.1, XP_045649362.1, XP_045633253.1, XP_045658778.1	XP_031799036.1, XP_031799035.1
OG0000103	XP_045668844.1	XP_003772476.1
OG0000104	XP_045657790.1, XP_045657791.1, XP_045657794.1, XP_045657785.1, XP_045657784.1	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1
OG0000105	XP_045646725.1, XP_045646724.1	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1
OG0000106	XP_045649626.1	XP_012395236.2
OG0000106	XP_045630757.1	XP_031797249.1
OG0000106	XP_045642224.1	XP_031796163.1
OG0000106	XP_045632846.1	XP_003761065.1
OG0000107	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1, XP_045642992.1	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1
OG0000108	XP_045651824.1, XP_045651822.1, XP_045651823.1	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1
OG0000109	XP_045636309.1	XP_003763327.3
OG0000109	XP_045636487.1, XP_045636546.1, XP_045636544.1, XP_045636542.1, XP_045636541.1, XP_045636540.1, XP_045636543.1, XP_045636484.1, XP_045636486.1	XP_003763301.1
OG0000110	XP_045653389.1, XP_045653379.1, XP_045653380.1, XP_045653378.1	XP_023358533.1
OG0000114	XP_045662089.1	XP_003766021.1
OG0000114	XP_045662083.1, XP_045662092.1, XP_045662086.1, XP_045662091.1, XP_045662087.1	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1
OG0000115	XP_045657100.1	XP_031793850.1, XP_031793851.1, XP_031793853.1
OG0000115	XP_045661128.1	XP_031816213.1
OG0000115	XP_045661127.1	XP_031816210.1, XP_031816220.1
OG0000117	XP_045628270.1, XP_045651792.1	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2
OG0000118	XP_045648932.1, XP_045648931.1, XP_045648929.1	XP_031796389.1
OG0000120	XP_045669188.1	XP_012398224.1
OG0000121	XP_045635128.1, XP_045635127.1	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1
OG0000122	XP_045655871.1	XP_031819649.1
OG0000122	XP_045637057.1	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1
OG0000123	XP_045629592.1, XP_045629589.1, XP_045629412.1, XP_045629323.1	XP_003758421.3, XP_031805104.1, XP_003758419.2
OG0000124	XP_045669594.1	XP_023356116.1
OG0000124	XP_045669620.1	XP_012401572.1, XP_031814902.1, XP_031814901.1
OG0000124	XP_045669599.1	XP_003765650.2
OG0000124	XP_045669583.1	XP_012401570.1
OG0000124	XP_045669619.1	XP_003765651.2
OG0000125	XP_045637612.1	XP_012403745.2
OG0000125	XP_045637561.1	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2
OG0000127	XP_045655163.1, XP_045655162.1, XP_045655161.1, XP_045655166.1, XP_045655165.1, XP_045655164.1, XP_045655159.1	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1
OG0000128	XP_045656423.1, XP_045656428.1, XP_045656425.1, XP_045656429.1, XP_045656426.1, XP_045656430.1, XP_045656427.1, XP_045656303.1, XP_045656434.1	XP_031818477.1
OG0000130	XP_045671355.1, XP_045671343.1, XP_045671356.1, XP_045671357.1, XP_045671354.1	XP_003764886.1, XP_012402225.2
OG0000130	XP_045671344.1	XP_003766416.1, XP_012400883.1
OG0000131	XP_045639044.1	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1
OG0000132	XP_045666061.1	XP_003769562.3
OG0000133	XP_045657777.1, XP_045657776.1, XP_045657778.1	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1
OG0000134	XP_045637133.1	XP_012406199.1
OG0000135	XP_045645050.1	XP_031802264.1
OG0000136	XP_045645011.1, XP_045645014.1, XP_045645012.1	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1
OG0000137	XP_045649571.1, XP_045649569.1, XP_045649568.1, XP_045649567.1, XP_045649566.1	XP_003772721.1, XP_031795158.1, XP_003771745.1
OG0000138	XP_045638825.1	XP_003764817.2
OG0000138	XP_045638824.1, XP_045627915.1	XP_003764805.1
OG0000138	XP_045638839.1, XP_045638823.1, XP_045638850.1, XP_045638804.1, XP_045638820.1	XP_012400865.1, XP_003764819.1, XP_003764815.1
OG0000139	XP_045634983.1, XP_045634985.1, XP_045634984.1, XP_045634986.1	XP_031824297.1, XP_031824298.1, XP_031824296.1
OG0000140	XP_045663420.1	XP_031809161.1
OG0000142	XP_045662802.1, XP_045662805.1, XP_045662806.1, XP_045662804.1, XP_045662803.1, XP_045662801.1, XP_045662800.1	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1
OG0000143	XP_045651297.1	XP_031810460.1, XP_031810461.1
OG0000143	XP_045663823.1	XP_003757352.1
OG0000145	XP_045658338.1	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1
OG0000146	XP_045661919.1, XP_045661916.1, XP_045661913.1, XP_045661918.1, XP_045661914.1, XP_045661917.1, XP_045661920.1	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1
OG0000147	XP_045664759.1, XP_045664808.1	XP_031805537.1, XP_031805539.1, XP_031805536.1, XP_012396338.3, XP_031805534.1, XP_031805059.1, XP_012396336.1
OG0000148	XP_045644505.1, XP_045645126.1, XP_045645125.1, XP_045644504.1	XP_012399621.1, XP_003755833.1
OG0000149	XP_045662151.1	XP_031817538.1
OG0000149	XP_045640012.1	XP_003767906.1
OG0000149	XP_045657386.1	XP_031823223.1
OG0000149	XP_045640417.1	XP_031822713.1, XP_031822717.1, XP_031822714.1
OG0000150	XP_045670918.1	XP_003758442.1, XP_023350800.1, XP_031805099.1, XP_003758443.1
OG0000151	XP_045629115.1	XP_012405227.2
OG0000151	XP_045629461.1	XP_031823447.1, XP_031823446.1, XP_003770041.1
