Orthogroup	Ursus_americanus	Ictidomys_tridecemlineatus
OG0000032	XP_045650437.1	XP_040128326.1, XP_040128232.1
OG0000032	XP_045650435.1	XP_013213561.2
OG0000032	XP_045650438.1	XP_005324357.2
OG0000032	XP_045650440.1	XP_005343015.3, XP_040128235.1
OG0000032	XP_045650436.1	XP_040128234.1
OG0000032	XP_045650441.1	XP_040128231.1
OG0000033	XP_045670249.1	XP_021589393.1
OG0000034	XP_045635028.1, XP_045659988.1	XP_005340382.1, XP_005341790.1, XP_040137376.1, XP_005341835.1, XP_013221896.1, XP_013221797.2, XP_040145017.1, XP_040145009.1, XP_021577046.2, XP_040137375.1, XP_013221951.1, XP_021577264.1, XP_021575884.1, XP_013222002.1, XP_021577263.1, XP_040145010.1, XP_005342559.3, XP_040136147.1, XP_040136148.1, XP_005342370.3, XP_013220658.1, XP_005342640.1, XP_005342641.1, XP_005342739.1
OG0000035	XP_045628381.1	XP_005337186.1
OG0000035	XP_045639549.1, XP_045639550.1	XP_005320443.1
OG0000035	XP_045658329.1	XP_005339240.1
OG0000035	XP_045669289.1	XP_005340097.1, XP_005340095.1
OG0000035	XP_045630929.1	XP_005332707.2
OG0000035	XP_045650270.1	XP_005319663.1
OG0000035	XP_045644253.1	XP_013215822.1
OG0000036	XP_045641026.1, XP_045641029.1, XP_045641028.1	XP_005335354.1
OG0000038	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1	XP_005331749.1, XP_040139656.1, XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1
OG0000039	XP_045667593.1	XP_005327562.1
OG0000039	XP_045667466.1	XP_005327565.1
OG0000039	XP_045656493.1	XP_005341100.1
OG0000039	XP_045659670.1	XP_005336936.1
OG0000039	XP_045632691.1	XP_005332148.1
OG0000039	XP_045670590.1	XP_005327158.1
OG0000040	XP_045656782.1	XP_013213851.1
OG0000040	XP_045656701.1, XP_045656770.1	XP_005325163.1
OG0000040	XP_045656774.1	XP_005325162.1
OG0000040	XP_045656781.1	XP_005325161.1
OG0000041	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1	XP_013221691.1, XP_013221690.1
OG0000041	XP_045642937.1, XP_045642938.1	XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	XP_045664621.1	XP_040139669.1, XP_005326898.2, XP_005336026.2
OG0000043	XP_045639029.1	XP_013221030.1
OG0000044	XP_045656372.1, XP_045656420.1, XP_045656375.1	XP_005337152.1
OG0000044	XP_045633101.1	XP_040143434.1, XP_005331192.1
OG0000044	XP_045656374.1	XP_040139588.1
OG0000045	XP_045653186.1	XP_005332936.1
OG0000045	XP_045653193.1	XP_005332932.1
OG0000045	XP_045653194.1	XP_021587077.1
OG0000045	XP_045653188.1, XP_045653187.1, XP_045653189.1	XP_040126471.1
OG0000045	XP_045653191.1	XP_005332934.1
OG0000048	XP_045642300.1	XP_013218855.2
OG0000048	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1	XP_005338303.3, XP_040134911.1
OG0000049	XP_045663942.1	XP_040130229.1
OG0000049	XP_045663874.1	XP_005343150.2
OG0000049	XP_045655350.1	XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1
OG0000049	XP_045655349.1	XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1
OG0000050	XP_045647113.1	XP_021579380.1, XP_013212110.1, XP_005321207.1
OG0000051	XP_045628930.1	XP_005317186.1
OG0000051	XP_045631233.1	XP_013214570.1
OG0000051	XP_045628928.1, XP_045628929.1	XP_005317045.1
OG0000051	XP_045642234.1	XP_040140047.1
OG0000051	XP_045631224.1	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_045634948.1	XP_040137955.1
OG0000052	XP_045635810.1	XP_040137742.1, XP_040134609.1
OG0000054	XP_045640444.1	XP_040143179.1, XP_013221082.1
OG0000054	XP_045640578.1	XP_005339464.1
OG0000054	XP_045639995.1	XP_040145000.1, XP_005339490.2
OG0000055	XP_045639031.1	XP_005341142.1
OG0000056	XP_045642850.1	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_045650108.1	XP_040123927.1
OG0000057	XP_045650116.1	XP_005326507.1
OG0000057	XP_045650100.1	XP_040124065.1
OG0000058	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000059	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1	XP_013218997.2, XP_005336829.1, XP_005336830.1, XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1
OG0000060	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	XP_045670758.1	XP_005329807.1
OG0000061	XP_045669635.1	XP_005337051.1
OG0000062	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1	XP_005329195.1
OG0000063	XP_045666392.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	XP_045663223.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	XP_045656564.1	XP_005333004.1
OG0000067	XP_045628280.1	XP_005341499.1
OG0000067	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1
OG0000068	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1	XP_005331711.2
OG0000068	XP_045642474.1	XP_005331611.1
OG0000068	XP_045643023.1	XP_005331712.1
OG0000069	XP_045630052.1	XP_005339955.1
OG0000069	XP_045644771.1	XP_021591066.1
OG0000069	XP_045644762.1	XP_005338558.1
OG0000069	XP_045663810.1	XP_005321271.1
OG0000070	XP_045636453.1	XP_040141790.1
OG0000070	XP_045655412.1	XP_040144576.1
OG0000071	XP_045626723.1, XP_045626771.1, XP_045626763.1, XP_045626722.1	XP_021576711.1
OG0000072	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	XP_045642928.1	XP_005342816.1, XP_005342237.1
OG0000074	XP_045638737.1, XP_045638729.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000074	XP_045638730.1	XP_005323210.1, XP_005323211.1
OG0000075	XP_045660960.1	XP_040144985.1
OG0000075	XP_045644393.1, XP_045660188.1	XP_040142267.1
OG0000076	XP_045650397.1	XP_040129285.1
OG0000076	XP_045650403.1	XP_013213557.1
OG0000076	XP_045650394.1	XP_021581334.1
OG0000077	XP_045662121.1	XP_040150448.1
OG0000077	XP_045656813.1	XP_013213894.1
OG0000078	XP_045645657.1, XP_045645656.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	XP_045642704.1, XP_045642705.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	XP_045644444.1	XP_005341438.1, XP_040147102.1
OG0000081	XP_045633911.1	XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1
OG0000082	XP_045632334.1	XP_021575720.2
OG0000082	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1	XP_021575770.1, XP_040143062.1
OG0000082	XP_045632306.1, XP_045632302.1	XP_040143130.1
OG0000083	XP_045631169.1	XP_013221660.2
OG0000083	XP_045631170.1	XP_021577079.1
OG0000083	XP_045631175.1	XP_005342382.1
OG0000083	XP_045631116.1	XP_040135107.1
OG0000084	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	XP_045630357.1	XP_005342202.3
OG0000085	XP_045630221.1, XP_045630359.1	XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	XP_045641894.1	XP_005323877.1
OG0000086	XP_045658490.1	XP_040145207.1
OG0000087	XP_045641652.1	XP_005323604.1
OG0000087	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1	XP_005323680.1, XP_005323681.1, XP_005323682.1, XP_021581031.1
OG0000087	XP_045641653.1	XP_040143119.1
OG0000088	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1	XP_021581027.1
OG0000089	XP_045642922.1, XP_045642925.1	XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1	XP_013221796.1
OG0000092	XP_045642909.1	XP_005342974.1, XP_013221256.1, XP_005341611.1, XP_013221255.1, XP_005341610.1, XP_005341613.1
OG0000092	XP_045642908.1	XP_040139657.1, XP_005341609.1
OG0000092	XP_045642912.1	XP_021577012.1
OG0000093	XP_045669385.1	XP_005339885.1
OG0000095	XP_045662670.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	XP_045662671.1	XP_021577054.1
OG0000095	XP_045662783.1	XP_005318257.1, XP_005318258.1
OG0000096	XP_045646194.1	XP_005323057.1, XP_013213016.1
OG0000096	XP_045667579.1	XP_021577205.1, XP_005335225.1, XP_005342091.1
OG0000099	XP_045666676.1, XP_045663749.1, XP_045663763.1	XP_040131356.1, XP_040131136.1, XP_040131134.1
OG0000099	XP_045666662.1	XP_005342780.2
OG0000099	XP_045663708.1, XP_045663726.1	XP_005320686.1
OG0000099	XP_045663783.1, XP_045663791.1	XP_005320610.2
OG0000100	XP_045659404.1	XP_040143704.1, XP_040143707.1, XP_040143706.1, XP_040143705.1
OG0000101	XP_045650931.1	XP_013220236.1
OG0000101	XP_045655963.1	XP_005340748.1, XP_040139417.1, XP_005340749.1
OG0000102	XP_045627453.1	XP_040148272.1
OG0000102	XP_045649362.1, XP_045633253.1, XP_045658778.1	XP_005333344.1, XP_040148273.1, XP_040148275.1, XP_005333337.1, XP_005333338.1, XP_005333343.1, XP_005333340.1, XP_005333341.1
OG0000104	XP_045657790.1, XP_045657791.1, XP_045657794.1	XP_021577038.1
OG0000104	XP_045657785.1, XP_045657784.1	XP_040145143.1
OG0000105	XP_045646725.1, XP_045646724.1	XP_021590157.1, XP_021590155.1, XP_021590159.1, XP_040141046.1, XP_040141047.1, XP_021590154.1, XP_021590160.1
OG0000106	XP_045649626.1	XP_021577903.2
OG0000106	XP_045642224.1	XP_040133154.1, XP_040133157.1, XP_040133158.1, XP_040133159.1, XP_005323910.1, XP_040133156.1
OG0000106	XP_045632846.1	XP_013215938.3
OG0000106	XP_045629838.1	XP_005328552.2
OG0000107	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1	XP_005331737.1
OG0000107	XP_045642992.1	XP_013216748.1, XP_013216747.1, XP_013216746.1
OG0000108	XP_045651824.1, XP_045651822.1, XP_045651823.1	XP_013220342.1, XP_005339688.1
OG0000109	XP_045636309.1	XP_040142050.1
OG0000109	XP_045636487.1	XP_021582691.1
OG0000109	XP_045636484.1, XP_045636486.1	XP_005326411.1
OG0000110	XP_045653389.1	XP_040125245.1, XP_021586993.1
OG0000110	XP_045653379.1, XP_045653380.1	XP_040125246.1, XP_021587004.1
OG0000110	XP_045653378.1	XP_040126469.1, XP_040125244.1
OG0000111	XP_045666826.1	XP_005340441.1, XP_005340443.1, XP_013221755.1
OG0000113	XP_045660196.1, XP_045645435.1, XP_045635373.1	XP_005328910.1, XP_040139681.1, XP_040139680.1, XP_021580913.1, XP_021580912.1, XP_021580914.1, XP_005323467.1, XP_021577138.1
OG0000114	XP_045662089.1	XP_013221764.1, XP_005342106.1
OG0000114	XP_045662083.1	XP_013221763.1
OG0000114	XP_045662087.1	XP_021577318.1, XP_021577316.1
OG0000115	XP_045657100.1	XP_005324954.1
OG0000115	XP_045670231.1	XP_040124598.1
OG0000115	XP_045661127.1	XP_005341336.2
OG0000116	XP_045650512.1	XP_005327333.1, XP_040127782.1
OG0000117	XP_045628270.1, XP_045651792.1	XP_005342766.1, XP_005334194.1, XP_005334197.1, XP_005334196.1, XP_013217766.1, XP_013217765.1, XP_005342893.3, XP_040129251.1, XP_013221201.2
OG0000118	XP_045648932.1, XP_045648931.1, XP_045648929.1	XP_040147723.1, XP_040147721.1, XP_040147720.1, XP_040147726.1, XP_040147724.1, XP_040147722.1, XP_040147727.1, XP_013211422.1, XP_040147725.1, XP_005319199.1
OG0000119	XP_045665992.1, XP_045665990.1, XP_045665989.1, XP_045665988.1, XP_045665991.1, XP_045665994.1, XP_045665993.1	XP_005334458.1, XP_005334459.1, XP_040127708.1, XP_040127710.1, XP_040127707.1, XP_040127706.1
OG0000120	XP_045669188.1	XP_040134537.1
OG0000121	XP_045635128.1, XP_045635127.1	XP_013215795.1
OG0000122	XP_045655871.1	XP_005330655.1
OG0000122	XP_045637057.1	XP_005338407.1
