Orthogroup	Ursus_americanus	Loxodonta_africana
OG0000013	XP_045630276.1, XP_045630304.1, XP_045630339.1, XP_045630337.1	XP_003423616.2, XP_023398096.1, XP_003423491.1, XP_003423716.2, XP_003423082.3, XP_003423081.3, XP_003423080.2, XP_010600893.1, XP_003423501.1, XP_003423084.3, XP_023398154.1, XP_023398099.1, XP_003423406.2, XP_010600648.1, XP_003423750.2, XP_003423763.1, XP_023398236.1, XP_003423646.1, XP_010600645.1, XP_010600765.1, XP_023398155.1, XP_003423635.1, XP_023398157.1, XP_023398098.1, XP_023398235.1, XP_010600767.1, XP_010600647.1, XP_023398156.1
OG0000013	XP_045630386.1, XP_045630336.1	XP_023398231.1, XP_023398293.1, XP_023398464.1, XP_010600703.2, XP_023398233.1, XP_010600958.2, XP_023398124.1, XP_023398344.1
OG0000013	XP_045630350.1	XP_010600764.1, XP_023398152.1, XP_003423634.3, XP_003423518.3, XP_023398101.1, XP_010600529.1, XP_010600530.1, XP_023398127.1, XP_003423567.2
OG0000013	XP_045630326.1	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1
OG0000014	XP_045629486.1	XP_010584944.1, XP_023399387.1
OG0000014	XP_045629702.1	XP_023399372.1
OG0000014	XP_045629270.1	XP_023399410.1, XP_023399411.1, XP_010584956.1
OG0000014	XP_045629750.1, XP_045629740.1	XP_023399401.1
OG0000014	XP_045628946.1	XP_023399397.1
OG0000014	XP_045629587.1	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1
OG0000014	XP_045629495.1, XP_045629475.1, XP_045629594.1, XP_045629381.1, XP_045629351.1, XP_045629360.1, XP_045629324.1, XP_045629314.1, XP_045629339.1, XP_045629281.1, XP_045629304.1, XP_045629554.1, XP_045629580.1	XP_023399405.1
OG0000015	XP_045630360.1	XP_023408235.1
OG0000015	XP_045630319.1	XP_003413450.1, XP_010601001.1, XP_023407697.1, XP_003423589.2, XP_003422950.1, XP_003422956.1, XP_023407699.1, XP_003423696.3, XP_003422957.2
OG0000016	XP_045636723.1	XP_010586204.1
OG0000016	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1
OG0000017	XP_045640004.1, XP_045639964.1, XP_045640398.1	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1
OG0000017	XP_045629764.1	XP_003422523.1
OG0000017	XP_045656563.1	XP_003421166.1, XP_003421167.1, XP_003421171.2, XP_003423476.1, XP_003423477.1, XP_023396033.1, XP_003423478.1
OG0000017	XP_045647139.1	XP_003407515.2, XP_010586307.1
OG0000018	XP_045670225.1	XP_010595256.1, XP_003410978.1
OG0000018	XP_045633105.1	XP_023403167.1, XP_023403166.1
OG0000018	XP_045656399.1, XP_045656385.1	XP_023411474.1, XP_023411484.1, XP_023411483.1
OG0000018	XP_045659932.1	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1
OG0000019	XP_045643387.1	XP_023414395.1, XP_023397997.1
OG0000019	XP_045645141.1, XP_045643388.1	XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1
OG0000019	XP_045645143.1, XP_045643386.1	XP_003423149.2, XP_003423148.2, XP_003418816.1, XP_003423153.1
OG0000020	XP_045645295.1	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1
OG0000020	XP_045645315.1, XP_045645319.1	XP_023399870.1
OG0000021	XP_045672083.1	XP_003422178.2, XP_003423157.2, XP_003421251.1, XP_023396125.1, XP_003421879.3, XP_003421891.2, XP_003421896.3, XP_003421881.1, XP_003421882.1, XP_010599494.1
OG0000021	XP_045651763.1, XP_045651745.1, XP_045651775.1, XP_045651767.1, XP_045651773.1, XP_045651772.1, XP_045651774.1, XP_045651764.1	XP_023397618.1, XP_010598586.2, XP_023409443.1, XP_010598561.1
OG0000021	XP_045651759.1	XP_003405014.3
OG0000021	XP_045651760.1	XP_003423706.1, XP_003423543.1, XP_023398470.1, XP_003421246.1, XP_003420774.1, XP_023397996.1, XP_003423139.1
OG0000021	XP_045651766.1, XP_045651768.1, XP_045651777.1	XP_010596465.1, XP_023397628.1
OG0000021	XP_045651736.1, XP_045651734.1, XP_045651778.1, XP_045655329.1	XP_010596431.1
OG0000022	XP_045650391.1	XP_023405713.1
OG0000022	XP_045650387.1	XP_023405791.1
OG0000022	XP_045650388.1	XP_023405679.1
OG0000022	XP_045650393.1	XP_023405693.1
OG0000022	XP_045650396.1	XP_023405753.1
OG0000022	XP_045650384.1	XP_023405672.1
OG0000022	XP_045650404.1	XP_023405761.1
OG0000022	XP_045650405.1	XP_023408412.1
OG0000022	XP_045650392.1	XP_023405686.1
OG0000023	XP_045631143.1	XP_023399059.1
OG0000023	XP_045631125.1, XP_045631124.1	XP_023399116.1
OG0000023	XP_045631163.1	XP_023399088.1, XP_023399852.1, XP_023399107.1
OG0000023	XP_045631089.1	XP_010585287.2, XP_023399851.1, XP_023399850.1, XP_023399132.1
OG0000024	XP_045653510.1	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3
OG0000024	XP_045653577.1	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1
OG0000024	XP_045653509.1, XP_045653508.1	XP_003422135.2, XP_003422117.2, XP_010599718.1
OG0000026	XP_045672087.1	XP_003421750.1
OG0000026	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1	XP_010593038.2
OG0000027	XP_045633509.1	XP_023397082.1
OG0000027	XP_045657089.1	XP_010594690.1
OG0000027	XP_045631313.1	XP_010589075.1
OG0000027	XP_045668843.1	XP_023404513.1
OG0000027	XP_045658509.1, XP_045671137.1	XP_010597190.2
OG0000027	XP_045657088.1	XP_010594676.1
OG0000027	XP_045657091.1	XP_010594685.1
OG0000028	XP_045643014.1, XP_045643018.1	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2
OG0000028	XP_045643019.1, XP_045643012.1, XP_045643011.1, XP_045643017.1, XP_045643010.1, XP_045643015.1	XP_003421462.1
OG0000029	XP_045641565.1, XP_045641598.1	XP_003418984.1, XP_003418985.1, XP_003419000.1
OG0000029	XP_045641600.1	XP_003410244.2, XP_010588697.2
OG0000029	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1
OG0000031	XP_045672053.1	XP_003421878.1
OG0000031	XP_045659913.1, XP_045659986.1	XP_023396098.1, XP_023397619.1
OG0000031	XP_045656313.1, XP_045656312.1	XP_010598978.2, XP_010598992.1, XP_003421186.3
OG0000031	XP_045656296.1, XP_045656558.1	XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1
OG0000031	XP_045659981.1	XP_023396127.1, XP_010599050.1, XP_023397571.1, XP_023396126.1
OG0000032	XP_045650439.1	XP_010592223.1
OG0000032	XP_045650437.1	XP_003404851.2, XP_010589568.1
OG0000032	XP_045650435.1, XP_045650433.1, XP_045650438.1, XP_045650432.1, XP_045650440.1	XP_003404850.1
OG0000033	XP_045670473.1, XP_045670472.1, XP_045670367.1, XP_045670081.1	XP_023412690.1, XP_023412695.1, XP_023412688.1
OG0000033	XP_045670249.1, XP_045670237.1, XP_045670459.1, XP_045670411.1, XP_045670491.1	XP_023412689.1, XP_023412699.1
OG0000033	XP_045669873.1	XP_023412685.1
OG0000034	XP_045635028.1, XP_045659988.1	XP_023396128.1
OG0000035	XP_045628381.1	XP_003418690.1
OG0000035	XP_045639549.1, XP_045639550.1	XP_003415269.1
OG0000035	XP_045658329.1	XP_003409293.1
OG0000035	XP_045669289.1	XP_010594571.1
OG0000035	XP_045630929.1	XP_010595197.1
OG0000035	XP_045650270.1	XP_003408097.1
OG0000035	XP_045644253.1	XP_003413731.1
OG0000036	XP_045665317.1, XP_045665320.1, XP_045665319.1	XP_003409026.2
OG0000036	XP_045651935.1, XP_045665947.1	XP_023402679.1
OG0000036	XP_045641026.1, XP_045641029.1, XP_045641028.1	XP_003409268.2, XP_003409269.2
OG0000038	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1	XP_023398170.1, XP_023397817.1, XP_003423248.1, XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1, XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1, XP_003423249.1, XP_003422722.1, XP_003422728.1, XP_023398043.1, XP_023398164.1, XP_003423034.1, XP_003422726.1, XP_003423206.1, XP_003422914.1, XP_003422729.1, XP_003422725.1, XP_003422723.1, XP_023398090.1, XP_023398094.1, XP_023397812.1, XP_010600606.1, XP_010600410.2, XP_010600607.2, XP_003422733.1, XP_003423130.1, XP_023397908.1, XP_003422720.1, XP_023397909.1, XP_010600639.2, XP_023398171.1, XP_023398516.1, XP_003423127.1, XP_023398312.1
OG0000039	XP_045667466.1	XP_003417907.1
OG0000039	XP_045670590.1	XP_003420000.1
OG0000039	XP_045671051.1	XP_003406436.1
OG0000040	XP_045656782.1	XP_023411544.1
OG0000040	XP_045656776.1	XP_003405458.1
OG0000040	XP_045656701.1, XP_045656770.1	XP_023395897.1, XP_003405469.1, XP_003405468.1
OG0000040	XP_045656771.1	XP_003405467.1, XP_003405465.1
OG0000040	XP_045656777.1	XP_003405455.1, XP_003405457.1
OG0000040	XP_045656698.1	XP_023395861.1
OG0000040	XP_045656697.1, XP_045656773.1	XP_003405466.1, XP_003405462.1
OG0000040	XP_045656774.1	XP_023395853.1, XP_010594517.1, XP_003405461.1
OG0000040	XP_045656781.1	XP_023395770.1
OG0000041	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1
OG0000041	XP_045642937.1, XP_045642938.1	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1
OG0000042	XP_045664621.1	XP_010590492.2
OG0000043	XP_045639029.1	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1
OG0000044	XP_045656420.1	XP_003416454.1
OG0000044	XP_045633101.1	XP_023411493.1, XP_023411495.1
OG0000044	XP_045656374.1	XP_023397189.1
OG0000044	XP_045656373.1	XP_023411494.1
OG0000045	XP_045653186.1	XP_023412232.1
OG0000045	XP_045653193.1	XP_003416837.1
OG0000045	XP_045653194.1	XP_010594913.2
OG0000045	XP_045653188.1, XP_045653187.1, XP_045653189.1	XP_003416978.1, XP_003416977.1
OG0000045	XP_045653191.1	XP_010594915.1
OG0000046	XP_045634548.1	XP_023408049.1
OG0000046	XP_045634549.1	XP_023408052.1
OG0000048	XP_045642300.1	XP_023398867.1, XP_023398863.1, XP_023399788.1
OG0000048	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1	XP_010584712.1
OG0000049	XP_045663942.1	XP_010587012.1
OG0000049	XP_045663874.1	XP_023402084.1
OG0000049	XP_045655350.1, XP_045655349.1	XP_010593953.1
OG0000050	XP_045646964.1	XP_023400730.1
OG0000050	XP_045647114.1	XP_023400731.1
OG0000050	XP_045647113.1	XP_023401108.1, XP_023401106.1, XP_023401107.1, XP_003407522.1
OG0000051	XP_045628930.1	XP_010592337.1
OG0000051	XP_045631233.1	XP_010595976.1
OG0000051	XP_045628928.1, XP_045628929.1	XP_023408848.1
OG0000051	XP_045642234.1	XP_010593035.1
OG0000051	XP_045631224.1	XP_010595977.1
OG0000051	XP_045634948.1	XP_010593034.1
OG0000052	XP_045635810.1	XP_023415736.1
OG0000052	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1
OG0000053	XP_045641654.1	XP_023403949.1, XP_023403950.1
OG0000054	XP_045640444.1	NP_001267816.1
OG0000054	XP_045640578.1	XP_003415217.1
OG0000054	XP_045639995.1	XP_003415004.1
OG0000055	XP_045639049.1	XP_003412241.1
OG0000055	XP_045639031.1	XP_010590623.2, XP_003412238.2, XP_003412240.1
OG0000056	XP_045642850.1	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1
OG0000057	XP_045650108.1	XP_023413548.1
OG0000057	XP_045650116.1	XP_023413479.1, XP_023413547.1
OG0000057	XP_045650100.1	XP_023413538.1
OG0000058	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1
OG0000060	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1	XP_010599816.1, XP_010599817.1
OG0000061	XP_045669635.1	XP_023397963.1
OG0000062	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1
OG0000063	XP_045666392.1	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1
OG0000064	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1
OG0000065	XP_045663223.1	XP_010588064.1, XP_003410116.1
OG0000067	XP_045628280.1	XP_010599789.1, XP_003423726.1
OG0000067	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1
OG0000068	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1	XP_003422804.1
OG0000068	XP_045642474.1	XP_023397700.1
OG0000068	XP_045643023.1	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1
OG0000069	XP_045630052.1	XP_003412414.1
OG0000069	XP_045644771.1	XP_010599088.1
OG0000069	XP_045644762.1	XP_010599087.1
OG0000069	XP_045663810.1	XP_010587034.1
OG0000070	XP_045636453.1	XP_010586192.1
OG0000070	XP_045655412.1	XP_010589597.1
OG0000071	XP_045626763.1, XP_045626722.1	XP_010600554.1, XP_003423115.1, XP_010600557.1
