Orthogroup	Ursus_americanus	Homo_sapiens
OG0000014	XP_045629495.1, XP_045629475.1	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2, NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1, NP_116217.1, XP_047294178.1, NP_775903.3
OG0000014	XP_045629594.1	NP_005764.2
OG0000014	XP_045629554.1	NP_001252526.1
OG0000015	XP_045630360.1	XP_047294550.1
OG0000016	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2
OG0000017	XP_045640004.1, XP_045639964.1, XP_045640398.1	NP_001357568.2
OG0000017	XP_045647112.1	NP_036495.1
OG0000018	XP_045670225.1	NP_002098.1, NP_001365976.1, NP_001365975.1, NP_001365972.1
OG0000018	XP_045633105.1	NP_001116847.1, NP_066403.2, NP_001005464.1
OG0000018	XP_045656399.1	NP_001363866.1, NP_003520.1
OG0000018	XP_045656385.1	NP_003523.1
OG0000018	XP_045659932.1	NP_003484.1
OG0000019	XP_045645143.1, XP_045643386.1	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1
OG0000020	XP_045645300.1	NP_001291386.2, NP_001347096.1, NP_001307889.1, NP_036408.4, NP_001277199.1, NP_006857.2, NP_001124389.2, XP_047294068.1, NP_001277200.1, XP_047294036.1, NP_001075106.2, NP_005865.3, NP_001265333.2, NP_006854.1, NP_006856.3
OG0000021	XP_045672083.1	NP_001383035.1, NP_112208.1
OG0000021	XP_045651758.1	NP_001001966.1
OG0000021	XP_045651736.1, XP_045651734.1, XP_045651778.1, XP_045655329.1	NP_001004732.2
OG0000022	XP_045650391.1	NP_061740.2
OG0000022	XP_045650387.1	NP_061737.1
OG0000022	XP_045650388.1	NP_003726.1
OG0000022	XP_045650393.1	NP_061742.1
OG0000022	XP_045650396.1	NP_061743.1
OG0000022	XP_045650384.1	NP_114477.1
OG0000022	XP_045650404.1	NP_061741.1
OG0000022	XP_045650405.1	NP_061735.1
OG0000022	XP_045650392.1	NP_061739.2
OG0000023	XP_045631035.1	NP_001763.3, XP_011525833.1
OG0000023	XP_045631125.1	XP_047293947.1, NP_001092082.1
OG0000023	XP_045631124.1	NP_003821.1
OG0000023	XP_045631031.1	NP_443729.1, NP_201586.1, NP_055200.1, XP_011525023.1, XP_011525036.1, NP_055257.2, NP_001185487.1, XP_011525034.1
OG0000023	XP_045631089.1	XP_011525835.1, NP_001236.4
OG0000024	XP_045653510.1	NP_001002905.1, NP_001005198.2
OG0000026	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1	NP_001164491.1, NP_689636.3, XP_011529158.1
OG0000027	XP_045633509.1	XP_047301630.1
OG0000027	XP_045657089.1	NP_116093.1
OG0000027	XP_045631313.1	NP_061816.1
OG0000027	XP_045668843.1	NP_079079.1
OG0000027	XP_045671137.1	NP_525125.2, NP_005992.1
OG0000027	XP_045657088.1	NP_001257328.1
OG0000028	XP_045643020.1, XP_045643013.1	NP_001005469.1
OG0000028	XP_045643019.1, XP_045643012.1, XP_045643011.1	NP_001005489.1
OG0000028	XP_045643015.1	NP_001005566.1
OG0000029	XP_045641565.1, XP_045641598.1	NP_001004737.1, NP_001004736.2
OG0000029	XP_045641600.1	NP_001005517.1
OG0000029	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1	NP_001005516.1
OG0000031	XP_045659913.1, XP_045659986.1	NP_001004492.1
OG0000031	XP_045659863.1	NP_001005226.1
OG0000031	XP_045656313.1, XP_045656312.1	NP_149046.2, NP_036499.1
OG0000031	XP_045659981.1	NP_001001915.1
OG0000031	XP_045635020.1	NP_001013373.1
OG0000032	XP_045650429.1	NP_061725.1
OG0000033	XP_045670473.1, XP_045670472.1	NP_006669.1, XP_016879522.1
OG0000033	XP_045670367.1	XP_005257047.1, NP_009192.2
OG0000033	XP_045670081.1	NP_001311002.1, NP_001392440.1
OG0000033	XP_045670271.1, XP_045670269.1, XP_045670270.1	NP_852114.2
OG0000033	XP_045670249.1	NP_777552.3, XP_005257084.1
OG0000033	XP_045669873.1	XP_047291363.1, NP_620587.2
OG0000034	XP_045635028.1, XP_045659988.1	NP_776257.1
OG0000035	XP_045628381.1	NP_001393411.1
OG0000035	XP_045639549.1, XP_045639550.1	NP_001091.1
OG0000035	XP_045658329.1	NP_001135417.1
OG0000035	XP_045669289.1	NP_001092.1
OG0000035	XP_045630929.1	NP_001186883.1, NP_001605.1
OG0000035	XP_045650270.1	NP_001017992.1
OG0000035	XP_045644253.1	NP_001606.1
OG0000036	XP_045651935.1, XP_045665947.1	NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3, NP_000760.1, NP_000762.2
OG0000038	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1	NP_001005202.1
OG0000039	XP_045667593.1	NP_821080.1
OG0000039	XP_045667466.1	NP_001060.1
OG0000039	XP_045656493.1	NP_821133.1
OG0000039	XP_045659670.1	NP_006079.1
OG0000039	XP_045632691.1	NP_001276052.1
OG0000039	XP_045670590.1	XP_016883574.1, NP_110400.1
OG0000039	XP_045671051.1	NP_001290453.1
OG0000040	XP_045656777.1	NP_001377778.1
OG0000041	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1	NP_001004747.2
OG0000041	XP_045642937.1, XP_045642938.1	NP_001004746.2
OG0000042	XP_045664621.1	NP_001290544.1, NP_473371.1
OG0000043	XP_045639029.1	NP_703145.1
OG0000044	XP_045656420.1	NP_001029249.1, NP_778224.1
OG0000044	XP_045633101.1	NP_003533.1
OG0000044	XP_045656374.1	NP_003530.1, NP_003532.1, NP_003535.1
OG0000044	XP_045637353.1	NP_003486.1
OG0000044	XP_045656373.1	NP_003536.1
OG0000045	XP_045653186.1	XP_011522172.1, NP_002461.2
OG0000045	XP_045653193.1	NP_003793.2
OG0000045	XP_045653190.1	XP_016880164.1, NP_005954.3
OG0000045	XP_045653194.1	NP_002463.2
OG0000045	XP_045653191.1	NP_060003.2, XP_016880165.1
OG0000046	XP_045634634.1, XP_045634633.1, XP_045634710.1	NP_001073.3, NP_001186137.1, NP_001186138.1, NP_001356625.1, NP_000887.2, NP_076433.3, NP_001122404.1, NP_067010.3
OG0000048	XP_045642300.1	NP_008821.2, NP_001278414.1, XP_016881688.1, NP_001349424.1, NP_001806.2, NP_001091976.3, XP_016882919.1
OG0000048	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2
OG0000049	XP_045663942.1	NP_003804.2
OG0000049	XP_045663874.1	NP_003805.4, XP_005268208.1
OG0000049	XP_045655350.1	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1
OG0000050	XP_045646965.1	NP_001004451.1
OG0000051	XP_045628930.1	NP_001836.3
OG0000051	XP_045631233.1	XP_005246334.1, NP_000082.2
OG0000051	XP_045628928.1, XP_045628929.1	NP_001837.2
OG0000051	XP_045642234.1	NP_001274687.1, XP_006724680.1
OG0000051	XP_045631224.1	XP_005246338.1, NP_000083.3
OG0000051	XP_045634948.1	XP_011529151.2, NP_203699.1
OG0000052	XP_045635810.1	NP_085144.1, XP_011528694.1
OG0000052	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1
OG0000053	XP_045641654.1	NP_853646.1
OG0000053	XP_045641655.1	NP_853651.1
OG0000054	XP_045640444.1	NP_001358691.1, XP_047289901.1
OG0000054	XP_045639962.1, XP_045640348.1, XP_045640424.1, XP_045640421.1, XP_045640427.1, XP_045640227.1	NP_001307581.1, NP_001754.2
OG0000054	XP_045640578.1	NP_001756.2, XP_005245636.1
OG0000054	XP_045639995.1	NP_001755.1, XP_011508421.1
OG0000056	XP_045642850.1	NP_001001920.2
OG0000057	XP_045650108.1	NP_009168.4
OG0000057	XP_045650116.1	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3
OG0000057	XP_045650100.1	NP_001073860.1
OG0000058	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2
OG0000059	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2
OG0000060	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1
OG0000061	XP_045669635.1	NP_001380590.1
OG0000062	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1	NP_000323.2
OG0000063	XP_045666392.1	NP_001335470.1
OG0000064	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1	NP_000063.2
OG0000065	XP_045663223.1	NP_000983.1
OG0000066	XP_045653018.1, XP_045653017.1, XP_045656564.1	NP_000973.2
OG0000067	XP_045628280.1	NP_001004136.1, NP_001001827.1
OG0000067	XP_045628274.1	NP_001004694.2, NP_001004697.1, NP_001004696.2
OG0000068	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1	NP_001004729.1
OG0000069	XP_045630052.1	XP_011542667.1, NP_009188.1
OG0000069	XP_045644771.1	NP_116271.3
OG0000069	XP_045644762.1	NP_037496.4
OG0000069	XP_045663810.1	NP_006020.4
OG0000070	XP_045636453.1	NP_001338403.1, NP_001338402.1, NP_001338401.1, NP_001338405.1, NP_001372632.1, NP_001338404.1, NP_004423.2, NP_001338396.1, NP_001338397.1, NP_001338398.1, NP_001338399.1, NP_001338400.1, NP_001372631.1, NP_001372634.1, NP_001372625.1, NP_001338395.1, NP_001338392.1, NP_001338391.1, NP_001338387.1, NP_001338386.1, NP_001338385.1, NP_001338388.1, NP_001372636.1, NP_001372628.1, NP_001372629.1, NP_001338390.1, NP_001338389.1, NP_001372627.1, NP_001372633.1, NP_001372626.1, NP_001338384.1, XP_047278864.1, NP_001338394.1, NP_001338407.1, NP_001372622.1, NP_001338406.1, NP_001164668.1, NP_001164666.1, NP_001372623.1, NP_001338393.1, NP_001372630.1, NP_001372624.1
OG0000070	XP_045655412.1	XP_011539191.1
OG0000071	XP_045626763.1, XP_045626722.1	NP_066362.2, NP_006426.2
OG0000072	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1
OG0000074	XP_045638737.1, XP_045638729.1	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1
OG0000074	XP_045638730.1	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1
OG0000076	XP_045650398.1	NP_061748.1
OG0000076	XP_045650395.1	NP_061749.1
OG0000076	XP_045650402.1	NP_061747.2
OG0000076	XP_045650403.1	NP_061745.1
OG0000076	XP_045650394.1	NP_061746.1
OG0000077	XP_045662121.1	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1
OG0000077	XP_045656813.1	NP_112420.1
OG0000078	XP_045645657.1, XP_045645656.1	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1
OG0000079	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1
OG0000080	XP_045642701.1, XP_045642703.1, XP_045642702.1	NP_945185.1, NP_001136176.1, NP_001136175.1
OG0000080	XP_045642704.1, XP_045642705.1	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1
OG0000081	XP_045644444.1	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1
OG0000081	XP_045633911.1	NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2
OG0000082	XP_045632334.1	NP_941968.2
OG0000082	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2
OG0000083	XP_045631149.1, XP_045631150.1	NP_001308252.1
OG0000083	XP_045631169.1	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1
OG0000083	XP_045631170.1	NP_001026891.2
OG0000083	XP_045631175.1	NP_079316.2
OG0000083	XP_045631116.1	XP_016882583.1, NP_067645.3
OG0000084	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1
OG0000085	XP_045630221.1, XP_045630359.1	NP_001005191.1
OG0000086	XP_045641894.1	NP_113665.3
OG0000086	XP_045658490.1	XP_047297311.1, NP_037445.1
OG0000087	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1	NP_853653.1, NP_853631.1, NP_853630.2, NP_853652.1
OG0000087	XP_045641653.1	NP_853655.1, NP_853654.1
OG0000088	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1
OG0000089	XP_045642921.1, XP_045642923.1, XP_045642922.1, XP_045642925.1	NP_001001960.1
OG0000090	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1
OG0000092	XP_045642908.1	NP_001382988.1
OG0000092	XP_045642912.1	NP_001001967.1
