Orthogroup	Ursus_americanus	Microcebus_murinus
OG0000004	XP_045656431.1	XP_012596861.1
OG0000005	XP_045632498.1, XP_045652424.1	XP_012610257.1
OG0000005	XP_045652429.1, XP_045652428.1, XP_045632513.1, XP_045652433.1, XP_045651789.1, XP_045645929.1	XP_020143017.1
OG0000005	XP_045632523.1, XP_045646818.1, XP_045645924.1, XP_045644722.1	XP_012609942.2
OG0000005	XP_045632521.1, XP_045645925.1	XP_012610321.1
OG0000005	XP_045645927.1, XP_045632517.1	XP_012610295.1
OG0000005	XP_045652430.1, XP_045652427.1, XP_045632518.1	XP_012609915.1
OG0000005	XP_045645521.1	XP_012609981.1
OG0000006	XP_045650013.1	XP_012632903.1
OG0000006	XP_045656292.1	XP_012625684.2, XP_012601742.1, XP_012606863.1, XP_012595831.2, XP_012596629.2, XP_012616975.2, XP_012609122.2, XP_020143214.1
OG0000006	XP_045661052.1	XP_020140814.1
OG0000007	XP_045629912.1	XP_012606828.1
OG0000007	XP_045641340.1	XP_020139117.1
OG0000007	XP_045645184.1	XP_012613264.2
OG0000007	XP_045645182.1	XP_012613263.1, XP_012611041.1
OG0000008	XP_045670779.1	XP_012624356.1
OG0000008	XP_045644759.1	XP_012612641.1
OG0000008	XP_045651930.1	XP_012619942.1, XP_020140831.1
OG0000008	XP_045642057.1	XP_012603709.1
OG0000008	XP_045669366.1	XP_012614837.1
OG0000008	XP_045669362.1	XP_020137053.1
OG0000008	XP_045665311.1, XP_045665313.1, XP_045665314.1, XP_045665312.1	XP_012631803.2, XP_012631807.1, XP_012631809.1
OG0000008	XP_045670809.1	XP_020138106.1
OG0000009	XP_045642632.1, XP_045651663.1, XP_045651664.1, XP_045651667.1, XP_045651666.1, XP_045651665.1, XP_045655213.1, XP_045651670.1	XP_020138303.1, XP_012592719.2, XP_012619031.1, XP_012592717.1, XP_020138306.1, XP_012619032.1, XP_020142922.1, XP_020138304.1
OG0000010	XP_045642840.1	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1
OG0000010	XP_045642833.1, XP_045642838.1	XP_012643294.1
OG0000010	XP_045642839.1	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1
OG0000011	XP_045650417.1	XP_012604413.1
OG0000011	XP_045650426.1	XP_012604415.2
OG0000011	XP_045650411.1	XP_012604414.2
OG0000011	XP_045650412.1	XP_012604418.1
OG0000011	XP_045650424.1	XP_012604417.2
OG0000011	XP_045650416.1	XP_012604410.1
OG0000011	XP_045650414.1	XP_012604420.1
OG0000011	XP_045650423.1	XP_012604421.1
OG0000011	XP_045650419.1	XP_012604412.1
OG0000011	XP_045650422.1	XP_012604416.2
OG0000011	XP_045650410.1	XP_020137935.1
OG0000011	XP_045650407.1	XP_012604408.1
OG0000012	XP_045659615.1	XP_012612333.1
OG0000012	XP_045660985.1, XP_045660983.1	XP_012612318.1
OG0000012	XP_045660984.1	XP_020140769.1, XP_012612390.1, XP_012612389.1
OG0000012	XP_045634849.1	XP_012612339.1, XP_012612340.1
OG0000012	XP_045634850.1, XP_045634848.1	XP_012612329.1, XP_012612328.1
OG0000012	XP_045660009.1	XP_012640032.1
OG0000013	XP_045630276.1, XP_045630304.1, XP_045630339.1, XP_045630337.1	XP_012617201.1
OG0000013	XP_045630326.1	XP_012617202.1
OG0000014	XP_045629904.1	XP_012613512.1, XP_012630562.1
OG0000014	XP_045629486.1	XP_012606858.1
OG0000014	XP_045629702.1	XP_020138796.1
OG0000014	XP_045629270.1	XP_012596843.1
OG0000014	XP_045629750.1, XP_045629740.1	XP_012619029.1
OG0000014	XP_045629613.1, XP_045629604.1, XP_045629575.1	XP_020138972.1, XP_020139176.1, XP_020138795.1, XP_020138970.1
OG0000014	XP_045629542.1	XP_012606829.1
OG0000014	XP_045629587.1	XP_012606836.1
OG0000014	XP_045629594.1	XP_020139031.1
OG0000014	XP_045629554.1	XP_012619024.1
OG0000016	XP_045636607.1, XP_045636611.1, XP_045636612.1, XP_045636654.1, XP_045636592.1, XP_045636621.1, XP_045636605.1, XP_045636603.1	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1
OG0000017	XP_045640004.1, XP_045639964.1, XP_045640398.1	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1
OG0000017	XP_045629764.1	XP_012614266.1
OG0000017	XP_045656563.1	XP_012597482.1
OG0000017	XP_045629463.1	XP_012634096.1
OG0000017	XP_045647112.1	XP_012627716.1
OG0000018	XP_045670225.1	XP_012634299.1, XP_012606772.1
OG0000018	XP_045656399.1	XP_012597510.1
OG0000018	XP_045656357.1	XP_012597463.1
OG0000018	XP_045659932.1	XP_012634029.1
OG0000019	XP_045645141.1, XP_045643388.1	XP_012603628.1, XP_012598342.1, XP_012598311.1, XP_012598312.1
OG0000019	XP_045645143.1, XP_045643386.1	XP_012603616.1
OG0000020	XP_045645295.1, XP_045645300.1	XP_020139091.1
OG0000020	XP_045645315.1, XP_045645319.1, XP_045645325.1	XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1
OG0000021	XP_045672083.1	XP_012607736.1, XP_012599127.1
OG0000021	XP_045651758.1	XP_012607739.1
OG0000022	XP_045650391.1	XP_020137854.1
OG0000022	XP_045650387.1	XP_020137845.1
OG0000022	XP_045650388.1	XP_020137846.1
OG0000022	XP_045650393.1	XP_020137849.1
OG0000022	XP_045650396.1	XP_020137843.1
OG0000022	XP_045650404.1	XP_012604363.1
OG0000022	XP_045650405.1	XP_020137848.1
OG0000022	XP_045650392.1	XP_020137847.1
OG0000023	XP_045631035.1	XP_012604975.1
OG0000023	XP_045631125.1	XP_012641005.1, XP_012641006.1
OG0000023	XP_045631124.1	XP_012641001.1
OG0000023	XP_045631031.1	XP_020139169.1, XP_020139171.1, XP_020139167.1, XP_020139170.1, XP_020139168.1, XP_020138882.1, XP_020138880.1, XP_020138881.1, XP_012609640.2, XP_020139172.1, XP_012609634.1, XP_020138907.1, XP_012609656.1, XP_012611031.2, XP_012609594.1
OG0000024	XP_045653510.1	XP_012638762.1
OG0000024	XP_045653577.1	XP_012638763.1
OG0000024	XP_045653509.1, XP_045653508.1	XP_012638746.1, XP_012638745.1
OG0000026	XP_045672087.1	XP_012644305.2, XP_012644304.2
OG0000026	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1
OG0000027	XP_045633509.1	XP_012595657.1
OG0000027	XP_045657089.1	XP_012616812.1
OG0000027	XP_045631313.1	XP_012603184.1
OG0000027	XP_045668843.1	XP_012596665.1
OG0000027	XP_045643594.1	XP_012599928.1
OG0000027	XP_045671137.1	XP_012632128.1
OG0000027	XP_045657088.1	XP_012616799.2
OG0000027	XP_045657091.1	XP_012616756.2
OG0000028	XP_045643020.1, XP_045643013.1	XP_012605430.1, XP_012605431.1
OG0000028	XP_045643014.1, XP_045643018.1	XP_012605321.1
OG0000028	XP_045643015.1	XP_012605437.1
OG0000029	XP_045641565.1, XP_045641598.1	XP_012598557.1
OG0000029	XP_045641600.1	XP_012598512.1
OG0000029	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2
OG0000031	XP_045672053.1	XP_012599100.1
OG0000031	XP_045659913.1, XP_045659986.1	XP_020145822.1, XP_020146129.1
OG0000031	XP_045656313.1, XP_045656312.1	XP_012597485.1, XP_012597472.1
OG0000031	XP_045659982.1, XP_045659981.1	XP_012607743.1
OG0000031	XP_045635020.1	XP_012609977.1
OG0000032	XP_045650439.1	XP_020138005.1
OG0000032	XP_045650435.1	XP_020137959.1
OG0000032	XP_045650433.1	XP_020137958.1
OG0000032	XP_045650429.1	XP_020137953.1
OG0000033	XP_045670473.1, XP_045670472.1	XP_020136664.1
OG0000033	XP_045670367.1	XP_012634183.1
OG0000033	XP_045670249.1	XP_012634147.1
OG0000033	XP_045670237.1, XP_045670459.1, XP_045670411.1, XP_045670491.1	XP_012634149.1, XP_020136669.1, XP_012634189.2, XP_012634186.1
OG0000033	XP_045669873.1	XP_012634191.1
OG0000034	XP_045635028.1, XP_045659988.1	XP_020145826.1, XP_012621046.1, XP_012621045.1, XP_020146090.1, XP_012601038.1, XP_012621047.1, XP_020141076.1
OG0000035	XP_045628381.1	XP_012621797.1
OG0000035	XP_045639549.1, XP_045639550.1	XP_012619798.1
OG0000035	XP_045658329.1	XP_012620530.1
OG0000035	XP_045669289.1	XP_012614407.1
OG0000035	XP_045630929.1	XP_012644914.1
OG0000035	XP_045650270.1	XP_012631175.1
OG0000035	XP_045644253.1	XP_020141787.1, XP_012644119.2
OG0000036	XP_045665317.1, XP_045665320.1, XP_045665319.1	XP_012623845.1
OG0000036	XP_045651935.1, XP_045665947.1	XP_012621879.2, XP_012621903.1, XP_012621933.1, XP_012621834.1, XP_020136186.1, XP_012621864.2
OG0000036	XP_045641026.1, XP_045641029.1, XP_045641028.1	XP_012621955.1
OG0000038	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1	XP_012602142.1
OG0000039	XP_045667593.1	XP_012623865.1
OG0000039	XP_045667466.1	XP_012623864.1
OG0000039	XP_045656493.1	XP_012591805.1
OG0000039	XP_045659670.1	XP_012639934.1
OG0000039	XP_045632691.1	XP_012617155.2
OG0000039	XP_045670590.1	XP_012625877.1
OG0000040	XP_045656777.1	XP_012620127.1
OG0000041	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1	XP_012602144.1
OG0000041	XP_045642937.1, XP_045642938.1	XP_012602149.1, XP_020142260.1
OG0000042	XP_045664621.1	XP_012612185.1
OG0000043	XP_045639029.1	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1
OG0000044	XP_045656420.1	XP_012597462.1, XP_012609563.1
OG0000044	XP_045633101.1	XP_012596792.1, XP_012596793.1
OG0000044	XP_045656374.1	XP_012596789.1
OG0000045	XP_045653186.1	XP_020138865.1
OG0000045	XP_045653193.1	XP_020136755.1
OG0000045	XP_045653194.1	XP_012633220.1
OG0000045	XP_045653188.1, XP_045653187.1, XP_045653189.1	XP_012633193.1, XP_012633184.1
OG0000045	XP_045653191.1	XP_012633169.1
OG0000048	XP_045642300.1	XP_012616684.2, XP_012616670.1
OG0000048	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1	XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1
OG0000049	XP_045663942.1	XP_020141259.1, XP_012611591.2
OG0000049	XP_045663874.1	XP_012611590.1
OG0000049	XP_045655350.1	XP_012626152.1, XP_012626153.1, XP_012626155.1
OG0000051	XP_045628930.1	XP_012607324.1
OG0000051	XP_045631233.1	XP_012604860.1
OG0000051	XP_045628928.1, XP_045628929.1	XP_012607323.1
OG0000051	XP_045642234.1	XP_012605901.1
OG0000051	XP_045631224.1	XP_012604862.1
OG0000051	XP_045634948.1	XP_012605846.1
OG0000052	XP_045635810.1	XP_012642546.1
OG0000052	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1	XP_020143347.1
OG0000053	XP_045641654.1	XP_020140298.1
OG0000054	XP_045640444.1	XP_012604193.1
OG0000054	XP_045639995.1	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1
OG0000055	XP_045639049.1	XP_012639383.1, XP_012599623.2
OG0000055	XP_045639031.1	XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1
OG0000056	XP_045642850.1	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1
OG0000057	XP_045650108.1	XP_012604923.1
OG0000057	XP_045650116.1	XP_012604916.1
OG0000057	XP_045650100.1	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1
OG0000058	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1
OG0000059	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1	XP_012622464.1, XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2
OG0000060	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1	XP_020141693.1, XP_012609090.2
OG0000061	XP_045670758.1	XP_012624360.1, XP_020145028.1, XP_020145025.1
OG0000061	XP_045669635.1	XP_012637430.2
OG0000062	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1
OG0000063	XP_045666392.1	XP_012636552.1
OG0000064	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1
OG0000065	XP_045663223.1	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1
OG0000066	XP_045656564.1	XP_012637254.1
OG0000067	XP_045628280.1	XP_012639834.2
OG0000067	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1	XP_012609986.1
OG0000068	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1	XP_012605327.2, XP_012605334.1, XP_012605328.1
OG0000068	XP_045642474.1	XP_012605324.1
OG0000068	XP_045643023.1	XP_012605325.1
OG0000069	XP_045630052.1	XP_012630800.1
OG0000069	XP_045663810.1	XP_012596989.1
OG0000070	XP_045636453.1	XP_012625241.1
OG0000070	XP_045655412.1	XP_012631602.1
OG0000071	XP_045626763.1, XP_045626722.1	XP_012625032.1, XP_012625033.1
OG0000072	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1
OG0000074	XP_045638737.1, XP_045638729.1	XP_012600382.1
OG0000074	XP_045638730.1	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1
OG0000075	XP_045660960.1	XP_012637940.1, XP_012637938.1, XP_012637939.1
OG0000075	XP_045644393.1, XP_045660188.1	XP_020140725.1, XP_020140729.1, XP_020140728.1, XP_020140726.1, XP_020140727.1
OG0000076	XP_045650397.1	XP_020137855.1
OG0000076	XP_045650382.1, XP_045650381.1, XP_045650398.1	XP_012604356.2, XP_020137838.1, XP_020137859.1
OG0000076	XP_045650395.1	XP_020137858.1
OG0000076	XP_045650394.1	XP_020137853.1
OG0000077	XP_045662121.1	XP_012638223.1
OG0000077	XP_045656813.1	XP_012619774.1
OG0000078	XP_045645657.1, XP_045645656.1	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1
OG0000079	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1
OG0000080	XP_045642701.1, XP_045642703.1, XP_045642702.1	XP_012605323.1
OG0000080	XP_045642704.1, XP_045642705.1	XP_012605444.1
OG0000081	XP_045644444.1	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1
OG0000081	XP_045633911.1	XP_012618576.1
OG0000082	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1	XP_012635473.1, XP_012635466.2, XP_020140286.1
OG0000083	XP_045631149.1, XP_045631150.1	XP_012641029.1
OG0000083	XP_045631169.1	XP_012641039.1
OG0000083	XP_045631170.1	XP_012641027.1
OG0000083	XP_045631175.1	XP_012614976.1, XP_012640981.1
OG0000083	XP_045631116.1	XP_012641042.1
OG0000084	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1
OG0000085	XP_045630357.1	XP_012617213.1
OG0000085	XP_045630221.1, XP_045630359.1	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1
OG0000086	XP_045641894.1	XP_012619770.1
OG0000086	XP_045658490.1	XP_012632158.1
OG0000087	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1
OG0000088	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1
OG0000089	XP_045642921.1, XP_045642923.1, XP_045642922.1, XP_045642925.1	XP_012602172.1
OG0000090	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1	XP_012599427.1
OG0000092	XP_045642909.1	XP_012643279.1, XP_012643283.1, XP_012643284.1
OG0000092	XP_045642908.1	XP_012643282.1
OG0000092	XP_045642912.1	XP_012643285.2, XP_012602169.2
OG0000093	XP_045669385.1	XP_012614553.1
OG0000095	XP_045662670.1	XP_020138138.1
OG0000095	XP_045662783.1	XP_012611412.1, XP_012611409.1
OG0000095	XP_045662784.1, XP_045662786.1	XP_012611251.1, XP_012611408.1, XP_012611248.2, XP_012611252.1, XP_012611249.1
OG0000096	XP_045646194.1	XP_012629913.1
OG0000096	XP_045667579.1	XP_012623893.1
OG0000099	XP_045666676.1, XP_045663749.1, XP_045663763.1	XP_012610672.2
OG0000099	XP_045666662.1	XP_012610085.1
OG0000099	XP_045663708.1, XP_045663726.1	XP_012610084.1
OG0000099	XP_045663783.1, XP_045663791.1	XP_012610556.2
OG0000100	XP_045659408.1, XP_045659407.1, XP_045659404.1, XP_045659406.1	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1
OG0000100	XP_045629752.1	XP_012614771.1
OG0000101	XP_045655963.1	XP_012622873.1
OG0000101	XP_045655964.1	XP_012622872.1
OG0000102	XP_045627453.1	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2
OG0000105	XP_045646725.1, XP_045646724.1	XP_012595109.1
OG0000106	XP_045649626.1	XP_012597004.1
OG0000106	XP_045630757.1	XP_012638882.1
OG0000106	XP_045642224.1	XP_012619690.1
OG0000106	XP_045632846.1	XP_012637795.1
OG0000106	XP_045629838.1	XP_012614334.1
OG0000107	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1	XP_012605312.1
OG0000107	XP_045642992.1	XP_012605310.1
OG0000108	XP_045651824.1, XP_045651822.1, XP_045651823.1	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1
OG0000109	XP_045636309.1	XP_012618633.1
OG0000109	XP_045636487.1	XP_012625635.1
OG0000109	XP_045636546.1, XP_045636544.1, XP_045636542.1, XP_045636541.1, XP_045636540.1, XP_045636543.1	XP_012625639.1
OG0000109	XP_045636484.1, XP_045636486.1	XP_012625636.2, XP_012625637.2
OG0000110	XP_045653389.1	XP_012632579.1, XP_012632570.1
OG0000110	XP_045653379.1, XP_045653380.1	XP_020136742.1
OG0000110	XP_045653378.1	XP_012632592.1
OG0000111	XP_045666826.1	XP_012616382.1, XP_012616380.2
OG0000113	XP_045660196.1, XP_045645435.1, XP_045635373.1	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1
OG0000114	XP_045662089.1	XP_012607527.1
OG0000114	XP_045662083.1	XP_012607530.1
OG0000114	XP_045662092.1, XP_045662086.1	XP_012606894.1, XP_012607531.1
OG0000114	XP_045662091.1	XP_012607532.1
OG0000114	XP_045662087.1	XP_012607528.1
OG0000115	XP_045657100.1	XP_012614846.1
OG0000115	XP_045661127.1	XP_012634045.1, XP_012634041.1, XP_012634042.1
OG0000116	XP_045648587.1	XP_012626405.1
OG0000118	XP_045648932.1, XP_045648931.1, XP_045648929.1	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1
OG0000119	XP_045665992.1, XP_045665990.1, XP_045665989.1, XP_045665988.1, XP_045665991.1, XP_045665994.1, XP_045665993.1	XP_012634378.1, XP_012634381.1, XP_012634382.1, XP_012634380.1, XP_012634379.1
OG0000120	XP_045669188.1	XP_012614299.1
OG0000121	XP_045635128.1, XP_045635127.1	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1
OG0000122	XP_045655871.1	XP_012630490.1
OG0000122	XP_045637057.1	XP_012615924.1
OG0000123	XP_045629592.1, XP_045629589.1, XP_045629412.1, XP_045629323.1	XP_012634032.1, XP_012634752.1, XP_012634782.1
OG0000124	XP_045669594.1	XP_012637921.1
OG0000124	XP_045669620.1	XP_020140586.1
OG0000124	XP_045669583.1	XP_020140585.1
OG0000124	XP_045669619.1	XP_012629347.2
OG0000125	XP_045637612.1	XP_012621238.1
OG0000125	XP_045637560.1, XP_045637568.1, XP_045637562.1	XP_012621506.1, XP_012621241.1, XP_012621239.2
OG0000125	XP_045637561.1	XP_020136415.1
