Orthogroup	Ursus_americanus	Echinops_telfairi
OG0000067	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1	XP_012861343.1, XP_004697249.1
OG0000068	XP_045643023.1	XP_030743378.2
OG0000069	XP_045630052.1	XP_004707765.1
OG0000069	XP_045644771.1	XP_004715688.1
OG0000069	XP_045644762.1	XP_004715687.1
OG0000069	XP_045663810.1	XP_004698759.1
OG0000070	XP_045636453.1	XP_030741226.1
OG0000070	XP_045655412.1	XP_045148084.1
OG0000071	XP_045626763.1, XP_045626722.1	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1
OG0000072	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1	XP_004701095.1, XP_045147551.1
OG0000073	XP_045642928.1	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2
OG0000074	XP_045638737.1, XP_045638729.1	XP_004708970.1
OG0000075	XP_045660960.1	XP_012859131.1, XP_045144281.1
OG0000076	XP_045650397.1	XP_045140664.1
OG0000076	XP_045650402.1	XP_012860147.2
OG0000076	XP_045650403.1	XP_004697101.1
OG0000076	XP_045650394.1	XP_045140667.1
OG0000077	XP_045662121.1	XP_004701504.1
OG0000077	XP_045656813.1	XP_004716948.1
OG0000078	XP_045645657.1, XP_045645656.1	XP_045144918.1
OG0000079	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1	XP_045140817.1, XP_004696894.1, XP_045140816.1
OG0000080	XP_045642701.1, XP_045642703.1, XP_045642702.1, XP_045642704.1, XP_045642705.1	XP_030743379.1
OG0000081	XP_045644444.1, XP_045633911.1	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1
OG0000082	XP_045632334.1	XP_030744575.2
OG0000082	XP_045632333.1, XP_045632336.1, XP_045632299.1, XP_045632335.1	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1
OG0000083	XP_045631169.1	XP_045148499.1
OG0000083	XP_045631175.1	XP_045148500.1
OG0000083	XP_045631116.1	XP_045148495.1
OG0000083	XP_045631173.1	XP_045148509.1
OG0000084	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1	XP_045141025.1, XP_045141026.1, XP_004703689.1
OG0000085	XP_045630357.1	XP_004714378.1
OG0000085	XP_045630221.1, XP_045630359.1	XP_004717398.1, XP_004717958.1
OG0000086	XP_045641894.1	XP_004705744.1
OG0000086	XP_045658490.1	XP_045154464.1
OG0000087	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1	XP_004713161.1, XP_004713160.1, XP_030744700.1, XP_004713170.2
OG0000087	XP_045641653.1	XP_030744519.1
OG0000088	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1	XP_045140349.1, XP_045140348.1, XP_045140350.1
OG0000089	XP_045642921.1, XP_045642923.1, XP_045642922.1, XP_045642925.1	XP_004708559.1, XP_004708552.1, XP_004708556.1
OG0000090	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1
OG0000092	XP_045642909.1	XP_004708546.1
OG0000092	XP_045642908.1, XP_045642912.1	XP_004708548.1
OG0000093	XP_045669385.1	XP_045142014.1
OG0000095	XP_045662670.1	XP_004711944.1
OG0000095	XP_045662671.1	XP_045148615.1, XP_045150606.1
OG0000095	XP_045662784.1, XP_045662786.1	XP_045151807.1
OG0000096	XP_045646194.1	XP_004703093.1
OG0000096	XP_045667579.1	XP_004700028.1
OG0000099	XP_045663783.1, XP_045663791.1	XP_045151127.1
OG0000100	XP_045659408.1, XP_045659407.1, XP_045659404.1, XP_045659406.1	XP_004705273.1
OG0000100	XP_045629752.1	XP_004705657.1
OG0000101	XP_045650931.1	XP_045140363.1
OG0000101	XP_045655963.1, XP_045655964.1	XP_045146523.1, XP_045146524.1
OG0000102	XP_045627453.1	XP_004703229.1
OG0000102	XP_045649362.1, XP_045633253.1, XP_045658778.1	XP_004703410.2
OG0000105	XP_045646725.1, XP_045646724.1	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1
OG0000106	XP_045649626.1	XP_004708127.2
OG0000106	XP_045630757.1	XP_045145413.1
OG0000106	XP_045642224.1	XP_004705720.2
OG0000106	XP_045632846.1	XP_004709634.2
OG0000106	XP_045629838.1	XP_004706026.2
OG0000107	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1	XP_004715014.1
OG0000107	XP_045642992.1	XP_004715013.1, XP_004715012.1
OG0000108	XP_045651824.1, XP_045651822.1, XP_045651823.1	XP_045150492.1, XP_004701946.2
OG0000109	XP_045636309.1	XP_004711113.1
OG0000109	XP_045636487.1	XP_004712519.1
OG0000109	XP_045636546.1, XP_045636544.1, XP_045636542.1, XP_045636541.1, XP_045636540.1, XP_045636543.1	XP_004712516.1
OG0000109	XP_045636484.1	XP_004712518.1
OG0000110	XP_045653389.1	XP_004713048.1
OG0000110	XP_045653378.1	XP_045149353.1
OG0000113	XP_045660196.1, XP_045645435.1, XP_045635373.1	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1
OG0000114	XP_045662089.1	XP_004701631.1
OG0000114	XP_045662083.1, XP_045662092.1, XP_045662086.1	XP_004701628.1
OG0000114	XP_045662087.1	XP_004701630.1
OG0000115	XP_045657100.1	XP_004711472.1
OG0000115	XP_045661127.1	XP_004696937.1
OG0000116	XP_045650512.1	XP_045140497.1
OG0000117	XP_045628270.1, XP_045651792.1	XP_012861772.1
OG0000118	XP_045648932.1, XP_045648931.1, XP_045648929.1	XP_030741158.1
OG0000119	XP_045665992.1, XP_045665990.1, XP_045665989.1, XP_045665988.1, XP_045665991.1, XP_045665994.1, XP_045665993.1	XP_004717708.1, XP_004715360.1
OG0000120	XP_045669188.1	XP_004705610.1
OG0000121	XP_045635128.1, XP_045635127.1	XP_045142786.1
OG0000122	XP_045655871.1	XP_004715846.1
OG0000122	XP_045637057.1	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1
OG0000123	XP_045629592.1	XP_030742389.1
OG0000123	XP_045629589.1, XP_045629412.1, XP_045629323.1	XP_004716225.1, XP_004716224.1, XP_004716261.1
OG0000124	XP_045669594.1	XP_012863991.1
OG0000124	XP_045669620.1	XP_045141380.1
OG0000125	XP_045637612.1	XP_004707210.1
OG0000125	XP_045637560.1, XP_045637568.1, XP_045637562.1	XP_045155274.1
OG0000125	XP_045637561.1	XP_045155324.1
OG0000127	XP_045655163.1, XP_045655162.1, XP_045655161.1, XP_045655166.1, XP_045655165.1, XP_045655164.1, XP_045655159.1	XP_004703356.1, XP_045140128.1
OG0000128	XP_045656423.1	XP_045151658.1
OG0000128	XP_045656303.1	XP_004712541.3
OG0000128	XP_045656434.1	XP_045151722.1, XP_004712576.1, XP_045151686.1
OG0000129	XP_045658332.1, XP_045658324.1, XP_045658352.1	XP_004696412.1
OG0000130	XP_045671355.1	XP_004717132.1
OG0000130	XP_045671354.1	XP_004717131.1, XP_004717133.1
OG0000130	XP_045671344.1	XP_004717091.1
OG0000131	XP_045639044.1	XP_004716464.1, XP_004716462.1, XP_012863714.1
OG0000132	XP_045666061.1	XP_004702027.1, XP_045150370.1, XP_045150369.1
OG0000133	XP_045657777.1, XP_045657776.1, XP_045657778.1	XP_045148079.1, XP_004699328.1
OG0000134	XP_045637133.1	XP_045151946.1
OG0000135	XP_045645050.1	XP_045147971.1
OG0000136	XP_045645011.1, XP_045645014.1, XP_045645012.1	XP_045142065.1, XP_045142064.1, XP_004697625.1
OG0000137	XP_045649571.1	XP_004714005.3
OG0000137	XP_045649569.1	XP_004714003.1, XP_004714004.1
OG0000137	XP_045649568.1	XP_004714001.1, XP_012863025.1, XP_004713999.1
OG0000137	XP_045649566.1	XP_004714041.1
OG0000138	XP_045638825.1	XP_004717532.1
OG0000138	XP_045638824.1	XP_004717576.1
OG0000138	XP_045638850.1, XP_045638804.1	XP_004717527.1, XP_004717571.2
OG0000138	XP_045638820.1	XP_004717528.1
OG0000139	XP_045634983.1, XP_045634985.1, XP_045634984.1, XP_045634986.1	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1
OG0000142	XP_045662802.1, XP_045662805.1, XP_045662806.1, XP_045662804.1, XP_045662803.1, XP_045662801.1, XP_045662800.1	XP_045149687.1, XP_004704707.1, XP_045149686.1
OG0000143	XP_045663823.1	XP_030742844.1
OG0000144	XP_045665508.1	XP_045151259.1
OG0000145	XP_045658338.1	XP_045147525.1, XP_004701145.1, XP_045147526.1
OG0000146	XP_045661919.1, XP_045661916.1, XP_045661913.1, XP_045661918.1, XP_045661914.1, XP_045661917.1, XP_045661920.1	XP_045142054.1, XP_045142060.1, XP_004697533.1
OG0000147	XP_045664759.1, XP_045664808.1	XP_004713907.1, XP_004713908.1
OG0000148	XP_045644505.1, XP_045645126.1, XP_045645125.1, XP_045644504.1	XP_004698922.1, XP_004698923.1
OG0000149	XP_045662151.1	XP_045148631.1
OG0000149	XP_045640012.1	XP_004716558.1
OG0000149	XP_045657386.1	XP_004714919.1
OG0000149	XP_045640417.1	XP_045154307.1
OG0000150	XP_045670918.1	XP_012860629.3
OG0000151	XP_045629115.1	XP_004707023.1
OG0000153	XP_045652422.1, XP_045651788.1	XP_012864129.2, XP_030743188.1
OG0000153	XP_045651787.1, XP_045652423.1, XP_045632506.1	XP_012864119.1
OG0000156	XP_045645380.1, XP_045645370.1, XP_045645371.1, XP_045645382.1, XP_045645377.1, XP_045645384.1, XP_045645375.1, XP_045645373.1, XP_045645385.1, XP_045645387.1, XP_045645386.1, XP_045645381.1, XP_045645379.1, XP_045645378.1, XP_045645376.1, XP_045645374.1	XP_045148508.1
OG0000157	XP_045650784.1	XP_004716095.1
OG0000157	XP_045659662.1	XP_045150192.1
OG0000158	XP_045631101.1, XP_045642873.1	XP_045150894.1
OG0000158	XP_045640400.1	XP_012862011.1
OG0000159	XP_045641613.1	XP_004706567.1, XP_004706504.1
OG0000159	XP_045641615.1, XP_045641614.1	XP_004706503.2
OG0000160	XP_045643407.1	XP_045142155.1
OG0000160	XP_045656780.1	XP_045140890.1
OG0000160	XP_045638978.1	XP_045140887.1
OG0000161	XP_045644242.1	XP_045142585.1
OG0000162	XP_045637184.1, XP_045637087.1	XP_012864056.1
OG0000163	XP_045653618.1	XP_045153684.1
OG0000163	XP_045653622.1, XP_045653620.1	XP_045153718.1, XP_045153719.1
OG0000164	XP_045666098.1	XP_004706358.1, XP_045144983.1
OG0000165	XP_045642382.1	XP_045146037.1, XP_045146036.1
OG0000166	XP_045664241.1, XP_045664242.1	XP_045141312.1, XP_045141315.1, XP_045141314.1
OG0000167	XP_045632342.1, XP_045632346.1, XP_045632345.1, XP_045632343.1, XP_045632344.1, XP_045632347.1	XP_045140340.1, XP_004705793.1
OG0000168	XP_045636096.1	XP_045140898.1
OG0000168	XP_045668174.1	XP_045143942.1
OG0000168	XP_045670343.1	XP_045155495.1, XP_045155494.1, XP_045144189.1
OG0000170	XP_045652436.1, XP_045652439.1, XP_045652440.1, XP_045652437.1, XP_045652441.1, XP_045652435.1, XP_045652442.1	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1
OG0000171	XP_045660192.1	XP_045142062.1, XP_045143960.1
OG0000171	XP_045661479.1	XP_045144663.1, XP_045150621.1
OG0000171	XP_045661480.1	XP_030742688.1
OG0000172	XP_045645045.1	XP_045142243.1
OG0000172	XP_045661341.1	XP_004701997.1
OG0000172	XP_045650115.1	XP_004716083.1
OG0000173	XP_045654366.1, XP_045654367.1, XP_045654365.1	XP_004702250.1
OG0000174	XP_045646628.1, XP_045646626.1, XP_045646627.1	XP_030743023.1
OG0000175	XP_045664641.1	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1
OG0000176	XP_045642699.1, XP_045642700.1	XP_004715052.3, XP_045152993.1, XP_045152994.1, XP_045141949.1
OG0000176	XP_045642694.1, XP_045642695.1, XP_045642697.1, XP_045642696.1, XP_045642698.1	XP_045152988.1
OG0000177	XP_045665292.1, XP_045665294.1, XP_045665295.1, XP_045665296.1, XP_045665291.1	XP_004701304.1
OG0000178	XP_045667222.1	XP_045152345.1
OG0000179	XP_045642457.1	XP_004710567.1
OG0000179	XP_045638897.1	XP_004710401.1, XP_004710400.1
OG0000180	XP_045630300.1	XP_045146325.1, XP_045146327.1
OG0000182	XP_045636278.1, XP_045636268.1, XP_045636274.1, XP_045636275.1, XP_045636279.1, XP_045636271.1, XP_045636267.1, XP_045636280.1, XP_045636269.1, XP_045636272.1, XP_045636276.1, XP_045636277.1, XP_045636270.1, XP_045636283.1, XP_045636282.1, XP_045636273.1	XP_045152535.1, XP_045152534.1
OG0000183	XP_045664648.1, XP_045664647.1, XP_045664649.1, XP_045664646.1	XP_004714362.1
OG0000184	XP_045647847.1, XP_045647844.1, XP_045647846.1, XP_045647845.1, XP_045647848.1, XP_045647849.1	XP_004712167.1, XP_045143405.1
OG0000188	XP_045671349.1, XP_045671359.1	XP_004717519.1
OG0000188	XP_045671350.1	XP_004717090.1
OG0000188	XP_045671351.1	XP_004717089.1
OG0000189	XP_045639072.1	XP_004716487.1
OG0000190	XP_045636136.1, XP_045636133.1, XP_045636134.1, XP_045636138.1, XP_045636135.1, XP_045636137.1, XP_045636140.1, XP_045636139.1	XP_004700763.1
OG0000191	XP_045654464.1, XP_045654463.1	XP_004702068.1
