Orthogroup	Urocitellus_parryii	Mus_musculus
OG0000024	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1
OG0000024	XP_026236679.1, XP_026236681.1	NP_666824.1, NP_666825.1
OG0000026	XP_026238000.1	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1
OG0000026	XP_026258673.1	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1
OG0000027	XP_026246086.1	NP_033473.1
OG0000027	XP_026262798.1	NP_033474.1
OG0000027	XP_026235932.1	NP_059075.1
OG0000027	XP_026247615.1	NP_001029051.2
OG0000027	XP_026262797.1	NP_035783.1
OG0000027	XP_026262767.1	NP_035784.1
OG0000028	XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1	NP_001011840.1, NP_666414.1
OG0000028	XP_026262309.1	NP_666902.1
OG0000028	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1	NP_666909.1, NP_666908.2
OG0000028	XP_026262305.1	NP_666916.1
OG0000029	XP_026258206.1, XP_026258216.1	NP_667211.2, NP_667212.2
OG0000029	XP_026238363.1, XP_026237985.1	NP_667210.2, NP_001011662.2, NP_667208.2
OG0000029	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1
OG0000031	XP_026238465.1	NP_667273.1
OG0000031	XP_026270394.1	NP_001011820.1, NP_666754.2
OG0000031	XP_026256185.1	NP_997455.1
OG0000032	XP_026240211.1	NP_001288188.1, NP_034087.2, NP_957695.1
OG0000032	XP_026240212.1	NP_619604.1
OG0000033	XP_026238436.1	NP_001355168.1, NP_598919.1, XP_030101751.1, NP_001346741.1
OG0000033	XP_026260557.1	XP_006533136.1, NP_742047.1
OG0000033	XP_026238435.1	NP_001334580.1, NP_954691.3
OG0000034	XP_026238302.1, XP_026237958.1, XP_026238300.1, XP_026237374.1, XP_026237375.1, XP_026236419.1, XP_026237933.1	NP_001160200.1
OG0000034	XP_026238249.1, XP_026237934.1, XP_026237957.1, XP_026237935.1, XP_026237936.1, XP_026237146.1	NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1, NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2, NP_598944.1, NP_598943.1
OG0000035	XP_026247160.1	NP_033738.1
OG0000035	XP_026268245.1	NP_001258970.1
OG0000035	XP_026236885.1	NP_031418.1
OG0000035	XP_026241721.1	NP_780706.1
OG0000035	XP_026253217.1	NP_033740.2
OG0000036	XP_026238486.1	NP_082365.1, XP_006527418.1
OG0000036	XP_026237203.1, XP_026237204.1, XP_026237205.1, XP_026237207.1, XP_026238032.1	NP_082467.2, NP_001011707.1, NP_034131.2, NP_598905.2, NP_996260.1, XP_006527235.1, NP_001360866.1, NP_034132.2, NP_031841.3
OG0000038	XP_026236227.1	NP_667230.1
OG0000038	XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1	NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2
OG0000039	XP_026262914.1	NP_076205.1, NP_033476.1
OG0000039	XP_026270091.1	NP_035785.1
OG0000039	XP_026251210.1	NP_666228.1
OG0000039	XP_026260187.1	NP_033477.2
OG0000039	XP_026268040.1	NP_001074440.1
OG0000039	XP_026271275.1	NP_080749.2
OG0000040	XP_026256465.1	NP_666393.1
OG0000040	XP_026256463.1	NP_666392.1
OG0000040	XP_026256472.1	NP_667247.1
OG0000041	XP_026237394.1, XP_026237402.1	NP_001355135.1, NP_666478.1
OG0000041	XP_026237390.1, XP_026237391.1	NP_666803.1
OG0000041	XP_026237894.1	NP_666802.2
OG0000041	XP_026237395.1	NP_861539.2, XP_006499622.1, NP_666941.2
OG0000042	XP_026261070.1, XP_026261068.1, XP_026261071.1	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1
OG0000042	XP_026270258.1	NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1
OG0000044	XP_026270368.1	NP_291074.1
OG0000044	XP_026263468.1	NP_835582.1
OG0000044	XP_026238635.1	NP_783588.1, NP_783586.1, NP_835500.1
OG0000045	XP_026246245.1	NP_001093105.1, XP_006532475.1
OG0000045	XP_026246339.1	NP_001074719.1
OG0000045	XP_026246338.1	NP_109604.1, XP_017169807.1
OG0000045	XP_026246340.1	XP_036012291.1, NP_796343.2
OG0000045	XP_026246333.1, XP_026246335.1, XP_026246334.1	NP_001034634.2
OG0000045	XP_026246336.1	NP_034985.2
OG0000046	XP_026245753.1	NP_001095058.1, NP_001355664.1, XP_006524820.1, NP_598888.1, NP_001191262.1, XP_030105833.1, NP_001191263.1, NP_001344717.1, NP_071879.1, NP_001191265.1, NP_001191264.1
OG0000048	XP_026238478.1, XP_026259478.1	NP_036057.1
OG0000048	XP_026238476.1, XP_026259481.1, XP_026238531.1	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1
OG0000049	XP_026238013.1	NP_065063.1
OG0000049	XP_026245546.1	NP_787953.2
OG0000049	XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1	NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3
OG0000050	XP_026242114.1	NP_996786.1
OG0000050	XP_026242112.1	NP_666838.1
OG0000050	XP_026242226.1, XP_026242282.1, XP_026242221.1	NP_667151.1, NP_667157.1, NP_667159.1, XP_030107398.1, NP_667154.1, NP_667156.1, NP_667162.1, NP_667158.1, NP_666839.1, NP_667149.1, NP_667160.1, NP_667161.1, NP_667155.1
OG0000051	XP_026255320.1	NP_034061.2
OG0000051	XP_026265318.1	NP_031760.2, XP_036013028.1
OG0000051	XP_026255301.1	NP_034062.3
OG0000051	XP_026258432.1	XP_011246185.1, NP_444415.2
OG0000051	XP_026265330.1	XP_011236954.1, NP_031761.1
OG0000051	XP_026258425.1	XP_006528759.1, NP_001156627.1
OG0000052	XP_026265990.1	NP_001157093.1
OG0000052	XP_026266000.1	XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2
OG0000053	XP_026249354.1, XP_026236552.1, XP_026238551.1, XP_026236551.1, XP_026249355.1, XP_026236549.1, XP_026249358.1, XP_026249357.1, XP_026236550.1, XP_026236548.1, XP_026249356.1, XP_026236547.1, XP_026236541.1	XP_011244468.1, XP_006523200.2, XP_006523187.1, XP_006523182.1, NP_001365591.1, XP_006523197.1, XP_006523192.1, XP_006523195.1, XP_030105245.1, XP_030105227.1, XP_030105247.1, NP_001344928.1, XP_030105249.1, XP_030105240.1, XP_006523186.1, XP_006523199.1, XP_006523198.1, XP_006523183.1, XP_006523185.1, NP_034804.1, XP_006523188.1, XP_006523181.1, NP_001157087.1
OG0000053	XP_026249293.1	XP_030105235.1, XP_006523193.1
OG0000054	XP_026270998.1, XP_026271004.1	XP_030108264.1, NP_001396544.1
OG0000056	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1	NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1
OG0000057	XP_026252071.1, XP_026252070.1, XP_026252069.1	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3
OG0000057	XP_026252063.1	XP_011246334.1, NP_796029.2
OG0000057	XP_026252061.1	NP_998780.2, XP_036018112.1, XP_036018107.1, XP_006535927.1, XP_036018101.1
OG0000057	XP_026252062.1	NP_001359160.1
OG0000058	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1
OG0000059	XP_026266841.1	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2, NP_666434.2
OG0000059	XP_026266840.1	NP_666509.2, NP_666433.1
OG0000059	XP_026266844.1, XP_026266832.1, XP_026266851.1	NP_666696.2, XP_017172474.1
OG0000060	XP_026267874.1	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1
OG0000061	XP_026251389.1	NP_084235.1, XP_017174827.1
OG0000062	XP_026240359.1	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2
OG0000063	XP_026240951.1, XP_026240950.1	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1
OG0000064	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1
OG0000065	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1
OG0000066	XP_026244187.1	XP_036018682.1, XP_036014184.1, XP_036021533.1, NP_001395918.1, NP_001395917.1, NP_062621.2, XP_036013010.1, XP_036011071.1
OG0000067	XP_026238203.1	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1
OG0000068	XP_026267428.1, XP_026267431.1	NP_666899.1
OG0000068	XP_026267408.1	NP_666895.1
OG0000069	XP_026267381.1	NP_780707.1, XP_006519052.1
OG0000069	XP_026259294.1	XP_011245927.1, NP_001093931.1
OG0000069	XP_026259328.1	NP_694809.1
OG0000069	XP_026257779.1	NP_081714.2
OG0000069	XP_026250043.1	NP_001136409.1, NP_071718.1
OG0000070	XP_026254290.1	XP_036019590.1
OG0000070	XP_026238079.1	NP_001408084.1, NP_001408087.1, NP_001156869.1, NP_001408082.1, NP_001408085.1, NP_001408094.1, NP_001408096.1, NP_001408088.1, NP_034618.2, XP_006502857.1, NP_001408095.1, NP_001408093.1, NP_001408081.1, NP_001408086.1, NP_001033787.1, NP_001408091.1, NP_001408090.1
OG0000071	XP_026235182.1	NP_001028804.1, NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1
OG0000072	XP_026250638.1	XP_011245661.1, NP_082595.1
OG0000073	XP_026235392.1, XP_026235393.1	NP_667239.2
OG0000073	XP_026237892.1	NP_997448.1, NP_666409.2
OG0000074	XP_026256774.1, XP_026256773.1	NP_001290168.1, NP_001290160.1, NP_032061.1
OG0000074	XP_026256772.1	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1
OG0000075	XP_026247983.1	NP_076263.1
OG0000075	XP_026237986.1, XP_026259296.1	XP_017173961.1, NP_001078975.1
OG0000075	XP_026247979.1	NP_001349815.1
OG0000076	XP_026240265.1	NP_291054.1
OG0000076	XP_026240153.1	NP_291057.1
OG0000076	XP_026240261.1	NP_291052.3
OG0000076	XP_026240263.1	NP_291053.1
OG0000077	XP_026247781.1	NP_666242.2, NP_932758.1
OG0000077	XP_026260980.1	NP_001159443.1, NP_034577.1
OG0000077	XP_026254605.1	NP_001034218.1
OG0000078	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1
OG0000079	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3
OG0000081	XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1	XP_006539346.1, NP_084224.1
OG0000084	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1
OG0000085	XP_026237052.1, XP_026237043.1, XP_026237051.1	NP_001011748.1
OG0000085	XP_026237053.1	NP_666451.1
OG0000086	XP_026262357.1	XP_006499529.1
OG0000086	XP_026236713.1	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1
OG0000086	XP_026257517.1, XP_026253782.1, XP_026253784.1, XP_026253783.1	NP_001005341.1
OG0000087	XP_026236565.1	NP_038735.2
OG0000087	XP_026236560.1, XP_026236561.1	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1
OG0000087	XP_026251965.1	NP_899012.1, NP_081431.1
OG0000087	XP_026236559.1	NP_038741.1
OG0000088	XP_026255196.1	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1
OG0000089	XP_026235390.1, XP_026235380.1, XP_026235385.1, XP_026235383.1, XP_026235386.1	NP_001011834.1, NP_666851.2, NP_666850.1
OG0000089	XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1	NP_666869.2, NP_996559.1, NP_666405.1
OG0000090	XP_026251494.1	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1
OG0000092	XP_026235362.1, XP_026235364.1, XP_026235361.1	NP_666861.2, NP_666406.2, NP_666743.1, NP_997449.1, NP_666742.2
OG0000093	XP_026261477.1	XP_017176645.1
OG0000095	XP_026251505.1	NP_032657.1
OG0000095	XP_026251480.1, XP_026251479.1	NP_038630.1, XP_006530815.1
OG0000096	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1	NP_035589.1
OG0000096	XP_026238210.1, XP_026254701.1, XP_026237445.1	NP_683744.2, NP_001369781.1, XP_036014126.1, NP_035584.1, XP_006516684.1, NP_001157590.1, NP_033280.1, NP_001230121.1, XP_011242601.1, NP_001157589.1
OG0000098	XP_026267640.1	NP_001372143.1
OG0000098	XP_026270717.1	NP_001372110.1
OG0000098	XP_026270722.1	NP_001098527.1
OG0000099	XP_026237257.1, XP_026237259.1, XP_026237260.1	XP_006535434.1, NP_001166930.1, NP_001166931.1, XP_006530146.1, NP_001002898.1
OG0000099	XP_026265511.1	XP_006535548.1, NP_001075156.1, XP_006530155.1, NP_001070147.1
OG0000099	XP_026237588.1	NP_001277948.1, XP_036015585.1
OG0000100	XP_026270646.1	NP_032168.1
OG0000100	XP_026268919.1	NP_034442.1, XP_006504616.1
OG0000101	XP_026270063.1	NP_001334416.1
OG0000101	XP_026266268.1, XP_026266270.1	NP_063921.1, NP_001300646.1, NP_001300645.1
OG0000103	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1	XP_006516528.1, NP_001298061.1, NP_085114.1, NP_084177.2
OG0000104	XP_026238452.1	XP_036021572.1, NP_001411600.1, NP_083785.3, XP_011247895.1, NP_001034735.2, NP_919317.2, XP_011247687.1
OG0000105	XP_026251880.1	XP_036011259.1
OG0000106	XP_026255265.1	NP_075017.2
OG0000106	XP_026256155.1	NP_058034.1
OG0000106	XP_026241779.1	NP_001371255.1
OG0000106	XP_026252729.1	XP_017176539.1
OG0000107	XP_026262387.1	NP_667076.1, NP_001011785.1, NP_001011534.1
OG0000107	XP_026262379.1, XP_026262378.1	NP_666646.1, NP_666645.1, XP_006499612.1, NP_666644.1
OG0000109	XP_026235087.1	NP_062348.1, XP_006537567.1
OG0000109	XP_026235073.1	NP_062347.2
OG0000110	XP_026246377.1, XP_026246378.1	NP_001300856.1, NP_031519.1, NP_001300854.1, NP_001300855.1
OG0000110	XP_026246357.1, XP_026246356.1, XP_026246355.1	NP_033844.1, XP_017169720.1, NP_001278060.1, NP_001278061.1
OG0000110	XP_026246390.1	XP_006532975.1, NP_660119.1, NP_001191181.1
OG0000111	XP_026238416.1	NP_001243902.1, XP_017177923.1, NP_034219.3, NP_001001559.2, NP_031913.1, NP_958811.2
OG0000113	XP_026236598.1, XP_026258677.1	XP_006528649.1, NP_001346208.1, NP_001346206.1, NP_001025149.2, NP_001346207.1, NP_079631.2, NP_001352047.1, NP_001352046.1, NP_808587.1
OG0000114	XP_026250385.1	NP_031802.2
OG0000114	XP_026259154.1	NP_031803.3, NP_081286.1
OG0000115	XP_026262880.1	NP_001342439.1
OG0000115	XP_026264012.1	NP_001291503.1
OG0000116	XP_026253907.1	XP_036019109.1
OG0000116	XP_026257026.1	NP_064296.1
OG0000117	XP_026238628.1, XP_026238035.1, XP_026238034.1, XP_026238036.1, XP_026238209.1, XP_026236575.1	NP_001011767.1, NP_001011752.1, NP_001011520.2, NP_997601.1, NP_666829.2, NP_666831.2, NP_667062.2
OG0000118	XP_026256027.1, XP_026256028.1, XP_026256029.1	NP_034582.1, XP_011239527.1
OG0000119	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1	NP_001159900.1, NP_001159903.1, NP_001159899.1, XP_006506892.1, NP_001159901.1, NP_001159904.1, NP_598595.1, NP_001159902.1
OG0000120	XP_026259957.1	NP_032912.2
OG0000121	XP_026251634.1	NP_001351185.1, NP_766341.4, XP_006509689.1, NP_001239552.1
OG0000122	XP_026247074.1	NP_001277560.1
OG0000122	XP_026259024.1	NP_001276655.1
OG0000123	XP_026249709.1, XP_026249706.1	NP_666458.1
OG0000124	XP_026266929.1	NP_033319.1
OG0000125	XP_026242669.1	NP_001152846.2
OG0000125	XP_026242724.1, XP_026242670.1, XP_026242718.1	NP_082259.2, NP_038598.1, NP_034789.2
OG0000125	XP_026242611.1	NP_081839.1
OG0000127	XP_026258986.1	NP_001366512.1, NP_083219.2, XP_011238551.1, NP_001366516.1, NP_001366514.1, NP_001366511.1, NP_001366515.1, NP_001366513.1
OG0000128	XP_026263488.1	XP_006516709.1
OG0000128	XP_026263508.1	NP_795990.2, XP_006516756.1
OG0000129	XP_026256666.1, XP_026256662.1, XP_026256684.1	NP_001407122.1, NP_001407123.1, NP_001275546.1, NP_001407124.1, NP_001407119.1, NP_001407120.1, NP_034486.2, NP_001407121.1, NP_001070821.1
OG0000130	XP_026256846.1	NP_038646.2
OG0000130	XP_026256845.1	NP_038645.2
