Orthogroup	Urocitellus_parryii	Myotis_lucifugus
OG0000022	XP_026240207.1	XP_023607811.1
OG0000022	XP_026240188.1	XP_023607808.1
OG0000023	XP_026237819.1	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1
OG0000023	XP_026237812.1	XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3
OG0000026	XP_026258673.1	XP_023612671.1
OG0000027	XP_026246086.1	XP_006082612.1
OG0000027	XP_026262798.1	XP_006109687.1, XP_006085845.1
OG0000027	XP_026257455.1	XP_006099588.1
OG0000027	XP_026235932.1	XP_006085609.1
OG0000027	XP_026247615.1	XP_023609366.1
OG0000027	XP_026246085.1	XP_006082613.1
OG0000027	XP_026262797.1	XP_006091577.1
OG0000027	XP_026262767.1	XP_006091578.1
OG0000028	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1	XP_014313930.1, XP_006092090.1
OG0000028	XP_026262354.1, XP_026262314.1, XP_026262353.1	XP_014313931.1
OG0000028	XP_026262305.1	XP_014313929.1
OG0000029	XP_026238363.1, XP_026237985.1	XP_014316275.1
OG0000032	XP_026240214.1, XP_026240275.1	XP_023607829.1
OG0000032	XP_026240212.1	XP_023607826.1
OG0000033	XP_026238436.1	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1, XP_023603586.1
OG0000033	XP_026260557.1	XP_006108023.2
OG0000035	XP_026247160.1	XP_023608661.1
OG0000035	XP_026236885.1	XP_006096684.1
OG0000035	XP_026241721.1	XP_023604685.1
OG0000035	XP_026253217.1	XP_006096839.1
OG0000036	XP_026237206.1	XP_006090070.1, XP_023604639.1
OG0000038	XP_026236227.1, XP_026237401.1, XP_026237392.1, XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1	XP_006108449.1
OG0000039	XP_026262914.1	XP_014308601.2
OG0000039	XP_026260187.1	XP_006101176.1
OG0000039	XP_026268040.1	XP_023600742.1
OG0000040	XP_026256465.1, XP_026256463.1, XP_026256464.1, XP_026256472.1	XP_014313682.1, XP_006091633.1
OG0000041	XP_026237394.1, XP_026237402.1	XP_006091988.2
OG0000041	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1	XP_014313940.2, XP_006092121.1
OG0000042	XP_026261070.1, XP_026261068.1, XP_026261071.1	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1
OG0000044	XP_026263467.1, XP_026270368.1, XP_026263468.1	XP_014303412.1
OG0000044	XP_026238635.1	XP_014303302.1, XP_023603027.1
OG0000045	XP_026246245.1	XP_023619132.1
OG0000045	XP_026246339.1	XP_023619120.1
OG0000045	XP_026246340.1	XP_006099789.1, XP_023619123.1
OG0000045	XP_026246333.1, XP_026246335.1, XP_026246334.1	XP_023619122.1, XP_006099792.1
OG0000045	XP_026246336.1	XP_023619124.1
OG0000046	XP_026245678.1	XP_023619075.1
OG0000048	XP_026238478.1, XP_026259478.1	XP_006102709.1, XP_014323472.2, XP_023604189.1
OG0000048	XP_026238476.1, XP_026259481.1, XP_026238531.1	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1
OG0000049	XP_026238013.1	XP_006091104.2
OG0000049	XP_026258464.1, XP_026238012.1	XP_006091103.2
OG0000049	XP_026245541.1, XP_026245546.1	XP_006082070.1
OG0000049	XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1	XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1
OG0000050	XP_026242114.1	XP_006105691.1
OG0000050	XP_026242112.1	XP_006105690.1
OG0000051	XP_026255320.1	XP_014309680.1
OG0000051	XP_026265318.1	XP_023614891.1
OG0000051	XP_026255301.1	XP_014309679.1
OG0000051	XP_026258432.1	XP_023614431.1
OG0000051	XP_026265330.1	XP_023615229.1, XP_006108950.2
OG0000051	XP_026258425.1	XP_006082308.1
OG0000052	XP_026265990.1	XP_014306145.2, XP_014314626.1
OG0000052	XP_026266000.1	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1
OG0000054	XP_026270998.1, XP_026271004.1	XP_006108306.2, XP_023604128.1, XP_014305777.1
OG0000054	XP_026236609.1, XP_026237666.1	XP_006096945.2
OG0000054	XP_026236611.1, XP_026236602.1, XP_026236612.1	XP_006096947.1
OG0000056	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1	XP_006091994.1
OG0000057	XP_026252071.1, XP_026252070.1, XP_026252069.1	XP_023617871.1
OG0000058	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1	XP_006107133.1
OG0000059	XP_026266847.1, XP_026266841.1, XP_026266840.1, XP_026266844.1, XP_026266832.1, XP_026266851.1	XP_006094765.2
OG0000060	XP_026267874.1	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1
OG0000062	XP_026240359.1	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1
OG0000063	XP_026240951.1, XP_026240950.1	XP_023611602.1
OG0000064	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1
OG0000065	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1	XP_014303917.1, XP_006083485.1
OG0000066	XP_026244187.1	XP_006098324.1, XP_006098323.1, XP_014309652.1
OG0000068	XP_026267409.1	XP_006092084.1, XP_006092085.1, XP_006092083.1
OG0000069	XP_026267381.1	XP_006095089.1
OG0000069	XP_026259294.1	XP_023608740.1
OG0000069	XP_026259295.1	XP_006087768.1, XP_006087769.1
OG0000069	XP_026259328.1	XP_023608761.1
OG0000069	XP_026257779.1	XP_006097691.1
OG0000069	XP_026250043.1	XP_006100567.3
OG0000070	XP_026238079.1	XP_023608440.1
OG0000071	XP_026235182.1	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1
OG0000072	XP_026250638.1	XP_014312406.1
OG0000073	XP_026235392.1, XP_026235393.1	XP_006092130.1
OG0000074	XP_026256774.1, XP_026256773.1	XP_006094556.1, XP_023614505.1, XP_014316200.1
OG0000074	XP_026256772.1	XP_023614501.1
OG0000075	XP_026247983.1	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1
OG0000075	XP_026237986.1	XP_006087859.1
OG0000075	XP_026259296.1	XP_006087851.1, XP_006087855.1, XP_014310450.2
OG0000075	XP_026247979.1	XP_006106919.1, XP_006106918.1
OG0000076	XP_026240269.1	XP_014306349.1
OG0000076	XP_026240265.1	XP_014309283.1
OG0000076	XP_026240153.1	XP_006086511.1
OG0000076	XP_026240261.1	XP_023607810.1
OG0000076	XP_026240263.1	XP_014309276.2
OG0000077	XP_026247781.1	XP_006083143.1
OG0000077	XP_026260980.1	XP_006097627.1, XP_006091330.1, XP_006104972.1, XP_006087570.1
OG0000077	XP_026250600.1	XP_006109152.1
OG0000077	XP_026254605.1	XP_006095857.1
OG0000078	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1	XP_006093589.1
OG0000079	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1
OG0000081	XP_026238355.1	XP_006103859.1
OG0000083	XP_026237839.1	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1
OG0000083	XP_026237843.1, XP_026237841.1, XP_026237844.1	XP_006106565.1
OG0000083	XP_026237840.1	XP_023603095.1, XP_006109373.3
OG0000084	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1	XP_014316904.1, XP_014316906.1, XP_014316905.1
OG0000085	XP_026237062.1	XP_006102503.2
OG0000085	XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1
OG0000086	XP_026262357.1	XP_023612450.1
OG0000086	XP_026236713.1	XP_006103379.1
OG0000086	XP_026257517.1	XP_014320496.1
OG0000086	XP_026253782.1, XP_026253784.1, XP_026253783.1	XP_006092276.1
OG0000087	XP_026236565.1, XP_026236560.1, XP_026236561.1, XP_026251965.1, XP_026236562.1, XP_026236559.1	XP_006107099.2
OG0000088	XP_026255196.1	XP_023620812.1
OG0000090	XP_026251494.1	XP_023602041.1
OG0000092	XP_026235360.1	XP_006092142.1
OG0000093	XP_026261477.1	XP_023603971.1, XP_014304922.1
OG0000095	XP_026251505.1	XP_023603269.1
OG0000095	XP_026251480.1, XP_026251479.1	XP_006106789.1
OG0000096	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1	XP_006087239.1
OG0000096	XP_026238210.1, XP_026254701.1, XP_026237445.1	XP_006085768.1, XP_023607165.1, XP_023607164.1
OG0000099	XP_026237257.1, XP_026237259.1, XP_026237260.1	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1
OG0000099	XP_026237588.1	XP_023610089.1
OG0000100	XP_026270647.1, XP_026270646.1	XP_023604015.1
OG0000100	XP_026268918.1, XP_026268919.1	XP_006081076.1
OG0000101	XP_026266268.1, XP_026266270.1	XP_006084736.1
OG0000102	XP_026236438.1, XP_026236437.1, XP_026236436.1	XP_006108378.2
OG0000104	XP_026238452.1	XP_023613451.1, XP_023614013.1
OG0000105	XP_026251880.1	XP_014314667.1
OG0000106	XP_026255265.1	XP_006106865.1
OG0000106	XP_026256155.1	XP_006103520.1
OG0000106	XP_026241779.1	XP_006099091.1
OG0000106	XP_026252729.1	XP_014310895.1
OG0000107	XP_026262387.1	XP_006092103.1
OG0000107	XP_026262379.1, XP_026262378.1	XP_023612356.1
OG0000108	XP_026270539.1	XP_006083067.1
OG0000109	XP_026235300.1	XP_006088167.2
OG0000109	XP_026235073.1	XP_006102782.1
OG0000109	XP_026235041.1, XP_026235048.1	XP_006102783.1, XP_006102784.1
OG0000110	XP_026246377.1, XP_026246378.1	XP_006105151.1
OG0000110	XP_026246357.1, XP_026246356.1, XP_026246355.1	XP_006108001.1
OG0000110	XP_026246390.1	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1
OG0000111	XP_026238416.1	XP_023603133.1
OG0000114	XP_026250385.1, XP_026259154.1	XP_023615099.1
OG0000115	XP_026262880.1	XP_006091570.1
OG0000115	XP_026240662.1	XP_014321084.1
OG0000116	XP_026257026.1	XP_006086570.1
OG0000116	XP_026249009.1	XP_014319941.1
OG0000118	XP_026256027.1, XP_026256028.1, XP_026256029.1	XP_014311373.1, XP_023609603.1, XP_023609604.1
OG0000119	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1	XP_014322039.1
OG0000120	XP_026259957.1	XP_023617223.1
OG0000121	XP_026251634.1	XP_023616611.1, XP_023616613.1, XP_023616612.1
OG0000122	XP_026247074.1	XP_023618125.1
OG0000122	XP_026259024.1	XP_023605732.1
OG0000123	XP_026249709.1, XP_026249706.1	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1
OG0000125	XP_026242669.1	XP_006095004.1
OG0000125	XP_026242724.1, XP_026242670.1, XP_026242718.1	XP_006095005.1, XP_006095008.1, XP_006095006.1
OG0000125	XP_026242611.1	XP_006095007.1
OG0000127	XP_026258986.1	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1
OG0000128	XP_026263488.1, XP_026263508.1	XP_023602433.1
OG0000130	XP_026256846.1	XP_006094605.1
OG0000130	XP_026256705.1	XP_006094607.1
OG0000131	XP_026236795.1, XP_026236791.1, XP_026236793.1	XP_006089739.1, XP_006108842.1
OG0000132	XP_026253416.1, XP_026253412.1, XP_026253414.1, XP_026253415.1, XP_026253413.1, XP_026253410.1, XP_026253411.1	XP_006084467.1
OG0000133	XP_026265758.1, XP_026265757.1	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1
OG0000134	XP_026259066.1	XP_006084217.2
OG0000135	XP_026250197.1	XP_023607667.1
OG0000136	XP_026264277.1, XP_026264276.1, XP_026264275.1	XP_023606748.1
OG0000137	XP_026265173.1	XP_006094818.1
OG0000137	XP_026265175.1	XP_006094801.1
OG0000138	XP_026256847.1	XP_006094595.1
OG0000138	XP_026256881.1	XP_006094665.1
OG0000142	XP_026251487.1	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1
OG0000145	XP_026264744.1, XP_026264745.1, XP_026264742.1, XP_026264743.1	XP_006096700.1
OG0000146	XP_026238756.1, XP_026238746.1, XP_026238765.1, XP_026238772.1	XP_006105955.1, XP_023602559.1
OG0000147	XP_026251867.1	XP_023617290.1, XP_023603880.1, XP_023603879.1
OG0000148	XP_026267806.1	XP_014310265.1, XP_023608613.1
OG0000149	XP_026259522.1	XP_023600635.1
OG0000149	XP_026263723.1	XP_023616468.1, XP_014306422.2
OG0000149	XP_026249891.1	XP_023617009.1
OG0000149	XP_026263726.1	XP_006096963.1
OG0000151	XP_026249932.1	XP_023599168.1, XP_023599167.1, XP_023605154.1
OG0000153	XP_026236692.1, XP_026236697.1, XP_026236693.1, XP_026238092.1, XP_026238091.1	XP_006101380.1, XP_006101379.1
OG0000156	XP_026238050.1	XP_023620743.1, XP_014322360.1, XP_006101540.1, XP_023620742.1, XP_006101539.1
OG0000157	XP_026249807.1	XP_006089394.1
OG0000158	XP_026240664.1	XP_014315308.1
OG0000158	XP_026268724.1	XP_006095193.1, XP_006102438.1, XP_006087316.1
OG0000158	XP_026264336.1	XP_014323398.1, XP_006094724.1
OG0000160	XP_026268037.1	XP_006096272.1
OG0000161	XP_026267513.1, XP_026238663.1, XP_026267512.1	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1
OG0000163	XP_026248265.1, XP_026248287.1	XP_023620683.1
OG0000164	XP_026253092.1	XP_006086410.1
OG0000165	XP_026258117.1, XP_026258109.1, XP_026258115.1, XP_026258113.1, XP_026258116.1, XP_026258114.1, XP_026258111.1, XP_026258110.1, XP_026258108.1, XP_026258112.1, XP_026258107.1	XP_014309436.1, XP_023607965.1
OG0000166	XP_026250823.1, XP_026250824.1	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1
OG0000167	XP_026258272.1, XP_026258273.1	XP_006103113.1, XP_023600145.1
OG0000168	XP_026267489.1	XP_014306650.1
OG0000168	XP_026267488.1	XP_006106539.1, XP_023603063.1
OG0000170	XP_026254811.1	XP_014312153.1
OG0000171	XP_026249924.1	XP_006100015.1
OG0000172	XP_026250205.1	XP_023606738.1
OG0000172	XP_026255734.1	XP_023613986.1
OG0000173	XP_026250864.1, XP_026250861.1, XP_026250862.1, XP_026250863.1	XP_006084433.1, XP_014307292.1, XP_023605848.1, XP_023605849.1
OG0000174	XP_026235980.1, XP_026235982.1, XP_026235981.1	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1
OG0000175	XP_026260198.1	XP_023619605.1
OG0000176	XP_026262373.1	XP_023612325.1
OG0000176	XP_026262355.1	XP_023612290.1, XP_006091903.1, XP_014313981.1, XP_023612322.1, XP_023612323.1, XP_023612324.1, XP_006091904.1
OG0000177	XP_026240024.1, XP_026240023.1	XP_023605077.1
OG0000178	XP_026245161.1	XP_023606331.1, XP_014307712.1, XP_014307710.1
OG0000179	XP_026236812.1	XP_014323474.1
OG0000180	XP_026267620.1	XP_014322759.1
OG0000182	XP_026270826.1, XP_026270821.1	XP_023616097.1, XP_006096564.1, XP_023616096.1, XP_006096563.1, XP_014304507.1, XP_023607362.1
OG0000183	XP_026254865.1	XP_006092049.1
OG0000184	XP_026240862.1	XP_023605358.1
OG0000188	XP_026256750.1, XP_026256706.1	XP_006094601.1, XP_006094602.1
OG0000188	XP_026256763.1	XP_006094603.1
OG0000191	XP_026250850.1, XP_026250848.1, XP_026250851.1, XP_026250849.1, XP_026250846.1, XP_026250852.1	XP_006084436.1, XP_023605915.1, XP_023605911.1, XP_014307298.1, XP_023605912.1, XP_023605913.1, XP_014307296.1, XP_023605914.1
OG0000193	XP_026235764.1	XP_023606229.1
OG0000195	XP_026239254.1	XP_014303636.1
OG0000196	XP_026262375.1	XP_006092113.1
OG0000197	XP_026268139.1	XP_023606210.1
OG0000197	XP_026247348.1	XP_006085012.1
OG0000198	XP_026237449.1, XP_026237448.1	XP_023604023.1, XP_006107573.2
OG0000199	XP_026236945.1, XP_026236944.1, XP_026236943.1, XP_026236942.1	XP_006081640.1
OG0000200	XP_026237293.1	XP_006108946.1, XP_006093214.1
OG0000200	XP_026259116.1	XP_006093986.1, XP_023614014.1, XP_023614007.1, XP_023614008.1
OG0000201	XP_026264052.1	XP_023600980.1, XP_014317184.1, XP_014306768.2, XP_023604974.1, XP_023604079.1, XP_023599176.1
OG0000202	XP_026251589.1, XP_026258353.1	XP_014311692.1
OG0000203	XP_026244830.1	XP_023608201.1
OG0000204	XP_026256807.1	XP_023614516.1
OG0000205	XP_026249445.1, XP_026249446.1, XP_026249447.1, XP_026249444.1, XP_026249443.1	XP_023604415.1, XP_023604423.1, XP_014304630.1, XP_014304620.1, XP_006083603.1, XP_023604417.1, XP_014304613.1, XP_006083601.1, XP_014304616.1
OG0000206	XP_026262288.1, XP_026262268.1, XP_026262279.1	XP_023608679.1
OG0000207	XP_026250373.1, XP_026250374.1, XP_026250372.1	XP_006082497.1, XP_023616343.1, XP_023616339.1, XP_014317501.1
OG0000208	XP_026252554.1	XP_006082277.1
OG0000209	XP_026237644.1, XP_026238172.1, XP_026238245.1, XP_026238270.1	XP_014304126.1, XP_006108464.1, XP_006109090.3
OG0000209	XP_026266257.1	XP_014305908.1
OG0000210	XP_026254782.1	XP_006093876.1, XP_023613944.1, XP_006093877.1, XP_006109512.1, XP_006093878.1
OG0000211	XP_026250304.1	XP_023609990.1
OG0000211	XP_026239111.1, XP_026239110.1	XP_023610226.1
OG0000214	XP_026245568.1	XP_023619763.1
OG0000214	XP_026250337.1	XP_006081311.1
OG0000215	XP_026266594.1	XP_014305463.1
OG0000216	XP_026240715.1	XP_006101919.1
OG0000217	XP_026258660.1, XP_026258659.1	XP_006082351.1, XP_023614600.1, XP_014315334.1
OG0000219	XP_026256016.1	XP_023609613.1, XP_006100117.1, XP_006088847.1, XP_006103342.1, XP_006084673.1, XP_014318289.1
OG0000222	XP_026267330.1, XP_026267333.1, XP_026267334.1, XP_026267331.1, XP_026267332.1	XP_006096788.1
OG0000223	XP_026238212.1, XP_026238374.1, XP_026238017.1	XP_006106940.1, XP_023604562.1
OG0000224	XP_026253016.1, XP_026253021.1, XP_026253020.1, XP_026253019.1, XP_026253022.1, XP_026253017.1, XP_026253014.1, XP_026253018.1, XP_026253015.1	XP_014318297.1, XP_023616483.1, XP_006096986.1, XP_023616485.1, XP_023616484.1, XP_006096983.1, XP_014318296.1, XP_014318294.1, XP_006096984.1, XP_006096982.1, XP_014318298.1, XP_014318299.1
OG0000225	XP_026270364.1	XP_006088681.1, XP_006088680.1, XP_014301983.1, XP_023601213.1, XP_014301979.1
OG0000226	XP_026235766.1, XP_026235767.1	XP_006084733.1, XP_014307626.1, XP_006084734.1, XP_014307627.1
OG0000226	XP_026235761.1	XP_006084776.1
OG0000227	XP_026239017.1, XP_026239015.1, XP_026239019.1, XP_026239021.1, XP_026239018.1, XP_026239014.1, XP_026239016.1	XP_006091479.1, XP_023612020.1, XP_006091480.1
OG0000228	XP_026251806.1	XP_006082737.1
OG0000230	XP_026262630.1	XP_023614298.1
OG0000232	XP_026244843.1	XP_023607072.1
OG0000232	XP_026268124.1	XP_023619478.1
OG0000234	XP_026270179.1, XP_026270138.1, XP_026238168.1, XP_026236792.1	XP_023604078.1, XP_023602097.1, XP_006105331.1
OG0000235	XP_026257720.1, XP_026263430.1	XP_014305362.1
OG0000236	XP_026265741.1	XP_006087167.1
OG0000237	XP_026235321.1	XP_006107980.1, XP_014305431.1, XP_014305433.1
OG0000238	XP_026254268.1, XP_026254239.1	XP_006093749.1
OG0000238	XP_026254241.1, XP_026236690.1, XP_026254269.1, XP_026254270.1	XP_006093762.1
OG0000241	XP_026235032.1, XP_026237433.1, XP_026237432.1, XP_026237112.1	XP_014313960.1
OG0000242	XP_026238591.1, XP_026238497.1	XP_023604760.1
OG0000243	XP_026245000.1	XP_023608121.1
OG0000244	XP_026270469.1	XP_023620417.1
OG0000244	XP_026238521.1	XP_023600059.1
OG0000245	XP_026238690.1	XP_023603089.1, XP_006109305.1, XP_023603083.1, XP_014306075.1, XP_006106564.1
OG0000246	XP_026258095.1	XP_023607966.1
