Orthogroup	Urocitellus_parryii	Saimiri_boliviensis_boliviensis
OG0000027	XP_026235932.1	XP_039318403.1
OG0000027	XP_026247615.1	XP_003939105.2
OG0000027	XP_026262797.1	XP_039328209.1
OG0000027	XP_026262767.1	XP_010348074.2
OG0000028	XP_026262339.1, XP_026262308.1, XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1, XP_026262311.1, XP_026262310.1, XP_026262309.1	XP_003920201.3
OG0000028	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1	XP_003920501.1
OG0000028	XP_026262354.1, XP_026262314.1, XP_026262353.1	XP_003920200.1
OG0000028	XP_026262305.1	XP_003920202.2
OG0000031	XP_026270394.1	XP_003944778.3
OG0000032	XP_026238683.1	XP_039327708.1
OG0000032	XP_026240260.1	XP_039327697.1
OG0000032	XP_026240179.1	XP_039327661.1
OG0000032	XP_026240277.1	XP_010340056.2
OG0000032	XP_026240214.1	XP_039328729.1
OG0000032	XP_026240275.1	XP_003920557.2
OG0000032	XP_026240211.1	XP_039327657.1
OG0000033	XP_026238436.1	XP_003931817.1, XP_003931818.2, XP_039332378.1, XP_003931922.1
OG0000033	XP_026238435.1	XP_003931923.1
OG0000034	XP_026238249.1, XP_026237934.1, XP_026237957.1, XP_026237935.1, XP_026237936.1, XP_026237146.1	XP_003944973.2
OG0000035	XP_026247160.1	XP_039318843.1
OG0000035	XP_026268236.1, XP_026268245.1	XP_039320122.1
OG0000035	XP_026236885.1	XP_003922471.1
OG0000035	XP_026241721.1	XP_003925881.1
OG0000036	XP_026238486.1	XP_003922420.1
OG0000036	XP_026237206.1	XP_003922417.1, XP_003922419.1
OG0000038	XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1	XP_039327428.1, XP_003920141.1
OG0000039	XP_026262914.1	XP_003927439.2, XP_039318609.1
OG0000039	XP_026267397.1, XP_026255992.1	XP_039319782.1
OG0000039	XP_026270091.1	XP_003944692.1
OG0000039	XP_026251210.1	XP_039317243.1
OG0000039	XP_026260187.1	XP_010347833.2
OG0000039	XP_026268040.1	XP_003932683.1
OG0000039	XP_026271275.1	XP_039319462.1, XP_039319460.1
OG0000040	XP_026256472.1	XP_039328176.1
OG0000041	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1	XP_010335862.2, XP_003920143.2
OG0000042	XP_026261070.1, XP_026261068.1, XP_026261071.1	XP_010335516.2
OG0000042	XP_026270259.1, XP_026270260.1, XP_026270263.1, XP_026270262.1, XP_026261086.1, XP_026270257.1, XP_026270258.1	XP_003920450.1
OG0000044	XP_026270368.1	XP_003942034.2
OG0000044	XP_026238635.1	XP_039318564.1, XP_003944781.1
OG0000045	XP_026246245.1	XP_039331909.1
OG0000045	XP_026246339.1	XP_039332728.1
OG0000045	XP_026246340.1	XP_039332730.1
OG0000045	XP_026246333.1, XP_026246335.1, XP_026246334.1	XP_003929291.1, XP_003929292.1
OG0000045	XP_026246336.1	XP_010338158.2
OG0000046	XP_026245678.1	XP_039321667.1
OG0000048	XP_026238478.1, XP_026259478.1	XP_010329363.1
OG0000048	XP_026238476.1, XP_026259481.1, XP_026238531.1	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1
OG0000049	XP_026238013.1	XP_003924537.2, XP_010333524.2
OG0000049	XP_026258464.1, XP_026238012.1	XP_003924539.3
OG0000049	XP_026245541.1, XP_026245546.1	XP_039324393.1, XP_039324392.1
OG0000051	XP_026255320.1	XP_039329306.1
OG0000051	XP_026265318.1	XP_003925510.1
OG0000051	XP_026255301.1	XP_003928297.2
OG0000051	XP_026258432.1	XP_039320049.1
OG0000051	XP_026265330.1	XP_039325459.1
OG0000051	XP_026258425.1	XP_010344666.1
OG0000052	XP_026265990.1	XP_039319167.1
OG0000052	XP_026266000.1	XP_039319076.1, XP_039319077.1, XP_010341812.2
OG0000054	XP_026270998.1, XP_026271004.1	XP_010346811.2
OG0000054	XP_026238394.1, XP_026238268.1, XP_026237669.1, XP_026237665.1, XP_026237668.1, XP_026238116.1, XP_026238118.1, XP_026236609.1, XP_026237666.1	XP_039315844.1
OG0000054	XP_026236607.1	XP_039315845.1
OG0000054	XP_026236611.1, XP_026236602.1, XP_026236612.1	XP_003937935.2
OG0000057	XP_026252071.1, XP_026252070.1, XP_026252069.1	XP_039325468.1
OG0000057	XP_026252062.1	XP_039325470.1
OG0000058	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1	XP_039333546.1, XP_039333545.1, XP_003936708.1
OG0000059	XP_026266847.1, XP_026266841.1, XP_026266840.1, XP_026266844.1, XP_026266832.1, XP_026266851.1	XP_010331293.1, XP_039333543.1
OG0000060	XP_026267874.1	XP_010334009.1
OG0000061	XP_026251389.1	XP_003941474.2
OG0000062	XP_026240359.1	XP_039318532.1, XP_010336326.2
OG0000063	XP_026240951.1, XP_026240950.1	XP_039324680.1, XP_003924508.1, XP_039324679.1
OG0000064	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1
OG0000065	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1
OG0000066	XP_026244187.1	XP_039330999.1, XP_039329409.1, XP_039331971.1, XP_039336262.1, XP_039325713.1, XP_039335034.1, XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1, XP_039327391.1, XP_010333813.1, XP_039328754.1, XP_039330485.1, XP_039323678.1, XP_039325300.1, XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1, XP_039330262.1, XP_039329388.1
OG0000067	XP_026236572.1	XP_039320219.1
OG0000067	XP_026238203.1	XP_003935341.2
OG0000068	XP_026267428.1, XP_026267431.1	XP_003920213.2
OG0000069	XP_026267381.1	XP_039316972.1
OG0000069	XP_026259294.1	XP_010329563.1
OG0000069	XP_026259295.1	XP_003943448.2
OG0000069	XP_026259328.1	XP_039319973.1
OG0000069	XP_026257779.1	XP_003924565.1
OG0000069	XP_026250043.1	XP_003939886.1, XP_010348853.1
OG0000070	XP_026238079.1	XP_010347594.1
OG0000071	XP_026235182.1	XP_039326298.1, XP_003943374.2, XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1
OG0000072	XP_026250638.1	XP_003922405.1
OG0000074	XP_026256774.1, XP_026256773.1	XP_003923468.1
OG0000074	XP_026256772.1	XP_010332594.1, XP_003923466.1
OG0000075	XP_026247983.1	XP_010349790.1
OG0000075	XP_026259296.1	XP_003943457.1, XP_010329571.1
OG0000076	XP_026240269.1	XP_010336471.1
OG0000076	XP_026240265.1	XP_010336477.2
OG0000076	XP_026240153.1	XP_010336456.1
OG0000076	XP_026240261.1	XP_003920575.2
OG0000076	XP_026240263.1	XP_003920580.2
OG0000077	XP_026247781.1	XP_003921883.1, XP_039327768.1
OG0000077	XP_026260980.1	XP_039331441.1, XP_039330530.1, XP_039335559.1, XP_039320360.1, XP_039330546.1, XP_039335298.1, XP_039325523.1, XP_039323679.1, XP_003920400.2, XP_010336389.1
OG0000077	XP_026250600.1	XP_003935149.2
OG0000077	XP_026254605.1	XP_039328044.1
OG0000078	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1	XP_010335563.1
OG0000079	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1
OG0000081	XP_026238355.1	XP_039318415.1
OG0000081	XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1	XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1
OG0000083	XP_026237839.1	XP_003944264.1
OG0000083	XP_026237843.1, XP_026237841.1, XP_026237844.1	XP_039323029.1
OG0000083	XP_026237840.1	XP_003944266.1
OG0000083	XP_026237849.1	XP_039322867.1, XP_039322866.1
OG0000084	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1
OG0000086	XP_026262357.1	XP_010333042.1, XP_003920167.1
OG0000086	XP_026257517.1	XP_039318297.1
OG0000086	XP_026253782.1, XP_026253784.1, XP_026253783.1	XP_003929141.1
OG0000087	XP_026236560.1, XP_026236561.1, XP_026251965.1, XP_026236562.1	XP_003927726.3, XP_003927728.1, XP_003927727.1
OG0000088	XP_026255196.1	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1
OG0000089	XP_026235390.1, XP_026235380.1, XP_026235385.1, XP_026235383.1, XP_026235386.1, XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1	XP_003920486.2
OG0000090	XP_026251494.1	XP_010329648.1
OG0000093	XP_026261477.1	XP_010329932.1
OG0000095	XP_026251505.1	XP_039331824.1
OG0000095	XP_026251477.1	XP_010328624.1
OG0000095	XP_026251480.1, XP_026251479.1	XP_003943509.1, XP_003943507.1
OG0000096	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1	XP_010335039.2
OG0000096	XP_026238210.1, XP_026254701.1, XP_026237445.1	XP_039318544.1
OG0000099	XP_026237257.1, XP_026237259.1, XP_026237260.1	XP_039335746.1
OG0000099	XP_026237588.1	XP_039335344.1
OG0000100	XP_026270646.1	XP_039330326.1
OG0000100	XP_026268919.1	XP_003934223.1, XP_010343016.1
OG0000101	XP_026266268.1, XP_026266270.1	XP_010349156.1, XP_003940188.1
OG0000103	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1
OG0000104	XP_026238452.1	XP_039330507.1, XP_003943302.2
OG0000105	XP_026251880.1	XP_039318127.1, XP_039318128.1
OG0000106	XP_026255265.1	XP_003930828.1
OG0000106	XP_026235236.1	XP_039323985.1
OG0000106	XP_026256155.1	XP_003930132.1
OG0000106	XP_026241779.1	XP_003932297.1
OG0000106	XP_026252729.1	XP_003934194.1
OG0000107	XP_026262379.1, XP_026262378.1	XP_010332917.2
OG0000109	XP_026235300.1	XP_003925465.1
OG0000109	XP_026235041.1	XP_003943899.2
OG0000109	XP_026235048.1	XP_010330044.2
OG0000110	XP_026246377.1, XP_026246378.1	XP_003929179.1
OG0000110	XP_026246357.1, XP_026246356.1, XP_026246355.1	XP_003929189.1, XP_039331915.1
OG0000110	XP_026246390.1	XP_039332486.1
OG0000111	XP_026238416.1	XP_039317041.1, XP_039317022.1
OG0000113	XP_026236598.1, XP_026258677.1	XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1
OG0000114	XP_026250385.1	XP_039325923.1
OG0000114	XP_026259154.1	XP_039325966.1, XP_039325453.1
OG0000115	XP_026262880.1	XP_003939159.1
OG0000115	XP_026240662.1	XP_039320196.1
OG0000116	XP_026253907.1	XP_010338411.1
OG0000116	XP_026257026.1	XP_039324253.1
OG0000116	XP_026249009.1	XP_003928756.1
OG0000118	XP_026256027.1, XP_026256028.1, XP_026256029.1	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1
OG0000119	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1
OG0000120	XP_026259957.1	XP_003934288.1
OG0000121	XP_026251634.1	XP_010344410.1, XP_039317051.1
OG0000122	XP_026247074.1	XP_003937411.2
OG0000123	XP_026249709.1, XP_026249706.1	XP_003933125.2
OG0000124	XP_026266929.1	XP_039331406.1, XP_010334463.2
OG0000124	XP_026237609.1	XP_039331473.1
OG0000124	XP_026235843.1	XP_003920544.2
OG0000125	XP_026242669.1	XP_003942839.2
OG0000125	XP_026242724.1, XP_026242670.1, XP_026242718.1	XP_039332456.1, XP_039332455.1, XP_010328942.2
OG0000125	XP_026242611.1	XP_003942837.1
OG0000127	XP_026258986.1	XP_010338390.1, XP_003929523.1
OG0000128	XP_026263488.1	XP_003945327.2, XP_010336299.1
OG0000128	XP_026263508.1	XP_003927336.1
OG0000130	XP_026256705.1	XP_003923414.2
OG0000131	XP_026236795.1, XP_026236791.1, XP_026236793.1	XP_003919834.1, XP_003919833.1
OG0000132	XP_026253416.1, XP_026253412.1, XP_026253414.1, XP_026253415.1, XP_026253413.1, XP_026253410.1, XP_026253411.1	XP_010335850.1, XP_010335851.1, XP_010335852.1
OG0000133	XP_026265758.1, XP_026265757.1	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1
OG0000134	XP_026259066.1	XP_039317575.1
OG0000135	XP_026250197.1	XP_003940906.1
OG0000136	XP_026264277.1, XP_026264276.1, XP_026264275.1	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1
OG0000137	XP_026265173.1	XP_010338728.2
OG0000137	XP_026265175.1	XP_003929870.1
OG0000138	XP_026256847.1	XP_003923883.2
OG0000138	XP_026256859.1	XP_010332537.1
OG0000139	XP_026236254.1, XP_026236259.1, XP_026236250.1, XP_026236256.1, XP_026236258.1, XP_026236255.1, XP_026236249.1, XP_026236251.1, XP_026236257.1, XP_026236253.1	XP_010344126.2
OG0000142	XP_026251487.1	XP_039317843.1
OG0000143	XP_026267021.1	XP_003941094.1
OG0000144	XP_026256477.1	XP_010342032.2
OG0000145	XP_026264744.1, XP_026264745.1, XP_026264742.1, XP_026264743.1	XP_003922490.1
OG0000146	XP_026238756.1, XP_026238746.1, XP_026238765.1, XP_026238772.1	XP_003938814.1, XP_010347708.1, XP_010347707.1
OG0000147	XP_026251870.1	XP_003922600.1, XP_003922604.1, XP_003922602.1
OG0000147	XP_026251867.1	XP_039316002.1, XP_003922597.1
OG0000148	XP_026267806.1	XP_039318700.1
OG0000149	XP_026259522.1	XP_039322050.1
OG0000149	XP_026263723.1	XP_003937990.1
OG0000149	XP_026249891.1	XP_039316778.1
OG0000149	XP_026263726.1	XP_039316042.1
OG0000150	XP_026238430.1, XP_026237897.1, XP_026237898.1, XP_026237900.1, XP_026237899.1, XP_026237901.1, XP_026237903.1, XP_026238356.1, XP_026248438.1, XP_026269077.1, XP_026237896.1	XP_003936326.2
OG0000151	XP_026249932.1	XP_039332402.1
OG0000156	XP_026259518.1	XP_003944578.2
OG0000156	XP_026238050.1	XP_010330273.1, XP_010330274.1, XP_039322863.1
OG0000157	XP_026269250.1	XP_039335444.1, XP_039335445.1
OG0000157	XP_026249807.1	XP_010345028.2
OG0000158	XP_026240664.1	XP_039324854.1
OG0000158	XP_026268724.1	XP_010344317.2
OG0000158	XP_026264336.1	XP_039334913.1, XP_039334978.1
OG0000160	XP_026268037.1	XP_039335786.1
OG0000161	XP_026267513.1, XP_026238663.1, XP_026267512.1	XP_003922654.1
OG0000163	XP_026248253.1	XP_039327086.1, XP_010332914.2
OG0000163	XP_026248265.1	XP_010332913.2
OG0000164	XP_026253089.1, XP_026253091.1	XP_039322625.1
OG0000164	XP_026253092.1	XP_039328692.1, XP_039323908.1, XP_010349730.1
OG0000165	XP_026258117.1, XP_026258109.1, XP_026258115.1, XP_026258113.1, XP_026258116.1, XP_026258114.1, XP_026258111.1, XP_026258110.1, XP_026258108.1, XP_026258112.1, XP_026258107.1	XP_039334862.1, XP_010347365.1, XP_010347361.1, XP_039334861.1, XP_010347362.1
OG0000166	XP_026250823.1, XP_026250824.1	XP_003920764.1, XP_003920763.1
OG0000167	XP_026258272.1, XP_026258273.1	XP_039334403.1, XP_039334404.1, XP_039334405.1
OG0000168	XP_026267489.1	XP_010340775.1
OG0000168	XP_026267488.1	XP_003922345.1
OG0000170	XP_026254811.1	XP_003919917.1, XP_039326960.1
OG0000170	XP_026254785.1	XP_003919916.1
OG0000170	XP_026254784.1	XP_039326958.1
OG0000171	XP_026249924.1	XP_039334323.1, XP_039321884.1
OG0000172	XP_026250205.1	XP_039320443.1
OG0000172	XP_026255734.1	XP_039323441.1
OG0000172	XP_026269299.1	XP_003932734.1, XP_039335289.1
OG0000173	XP_026250864.1, XP_026250861.1, XP_026250862.1, XP_026250863.1	XP_010344788.1, XP_003936029.1, XP_010344789.1
OG0000174	XP_026235980.1, XP_026235982.1, XP_026235981.1	XP_039316009.1, XP_003941959.1, XP_010327976.1, XP_003941960.1, XP_010327980.1, XP_003941962.1, XP_003941961.1
OG0000175	XP_026260198.1	XP_010331846.1, XP_010331841.1
OG0000176	XP_026262355.1	XP_010333235.2, XP_003920207.2, XP_039327375.1
OG0000177	XP_026240024.1, XP_026240023.1	XP_039321184.1, XP_003922168.1
OG0000178	XP_026245161.1	XP_010336016.1
OG0000179	XP_026236812.1	XP_039323094.1
OG0000180	XP_026267620.1, XP_026270750.1, XP_026270742.1, XP_026270714.1	XP_010347870.2, XP_039323049.1
OG0000182	XP_026270826.1, XP_026270821.1	XP_003919934.1, XP_003940112.1, XP_010349097.1, XP_039330628.1
OG0000183	XP_026254865.1	XP_003920090.1
OG0000184	XP_026240862.1	XP_010328719.2
OG0000185	XP_026235921.1, XP_026235918.1, XP_026235917.1, XP_026235922.1, XP_026235920.1, XP_026235923.1, XP_026235919.1	XP_039319894.1, XP_003944333.2, XP_039319898.1, XP_039319896.1, XP_039319895.1
OG0000188	XP_026256750.1, XP_026256706.1	XP_003923418.1, XP_003923419.2
OG0000188	XP_026256763.1	XP_039326451.1, XP_039326452.1
OG0000189	XP_026270818.1	XP_003920425.2
OG0000190	XP_026265954.1	XP_010341794.1
OG0000191	XP_026250850.1, XP_026250848.1, XP_026250851.1, XP_026250849.1, XP_026250846.1, XP_026250852.1	XP_003938697.1, XP_039320884.1
OG0000192	XP_026266668.1	XP_039328200.1, XP_010335696.2
OG0000193	XP_026235764.1	XP_010330508.1
OG0000194	XP_026236657.1, XP_026236659.1, XP_026236656.1, XP_026236660.1, XP_026236658.1	XP_039319950.1, XP_039319949.1, XP_039319948.1
OG0000195	XP_026239254.1	XP_010332345.1
OG0000196	XP_026262376.1	XP_010332904.1
OG0000196	XP_026236211.1, XP_026236238.1	XP_003920149.2
OG0000197	XP_026268139.1	XP_003938745.1, XP_003938743.1, XP_003938742.1, XP_003938744.1
OG0000197	XP_026247348.1	XP_039328941.1
OG0000198	XP_026237449.1, XP_026237448.1	XP_003944090.3
OG0000198	XP_026237461.1	XP_003944068.1, XP_039333558.1
OG0000198	XP_026247067.1	XP_010346188.1
OG0000199	XP_026236945.1, XP_026236944.1, XP_026236943.1, XP_026236942.1	XP_003926867.1, XP_039322282.1, XP_039322281.1
OG0000200	XP_026237293.1	XP_003943305.2
OG0000200	XP_026259116.1	XP_003943303.1, XP_039329878.1
OG0000201	XP_026264052.1	XP_039332191.1
OG0000202	XP_026251635.1	XP_003944247.2
OG0000202	XP_026251591.1	XP_039323270.1, XP_039323300.1, XP_039323187.1
OG0000202	XP_026251589.1, XP_026258353.1	XP_003944253.2
OG0000203	XP_026244830.1	XP_039325610.1
OG0000204	XP_026256807.1	XP_039324880.1
OG0000205	XP_026249445.1, XP_026249446.1, XP_026249447.1, XP_026249444.1, XP_026249443.1	XP_010328386.1, XP_003942279.1
OG0000206	XP_026262288.1	XP_003936093.1
OG0000206	XP_026262279.1	XP_010344853.1
