Orthogroup	Urocitellus_parryii	Ursus_americanus
OG0000029	XP_026258206.1, XP_026258216.1	XP_045641565.1, XP_045641598.1
OG0000029	XP_026238363.1, XP_026237985.1	XP_045641600.1
OG0000029	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1
OG0000031	XP_026238465.1	XP_045672053.1
OG0000031	XP_026237275.1, XP_026269175.1, XP_026236879.1	XP_045659863.1
OG0000031	XP_026270394.1	XP_045656313.1, XP_045656312.1
OG0000031	XP_026256185.1	XP_045656296.1, XP_045656558.1
OG0000031	XP_026236570.1	XP_045635020.1
OG0000032	XP_026238683.1	XP_045650439.1
OG0000032	XP_026240179.1	XP_045650435.1
OG0000032	XP_026240277.1	XP_045650438.1
OG0000032	XP_026240214.1, XP_026240275.1	XP_045650440.1
OG0000033	XP_026238436.1	XP_045670473.1, XP_045670472.1, XP_045670367.1, XP_045670081.1
OG0000033	XP_026260557.1	XP_045670271.1, XP_045670269.1, XP_045670270.1
OG0000033	XP_026238435.1	XP_045670249.1
OG0000034	XP_026270890.1, XP_026238303.1, XP_026238250.1, XP_026238302.1, XP_026237958.1, XP_026238300.1, XP_026237374.1, XP_026237375.1, XP_026236419.1, XP_026237933.1, XP_026238249.1, XP_026237934.1, XP_026237957.1, XP_026237935.1, XP_026237936.1, XP_026237146.1	XP_045635028.1, XP_045659988.1
OG0000035	XP_026247160.1	XP_045628381.1
OG0000035	XP_026268236.1, XP_026268245.1	XP_045639549.1, XP_045639550.1
OG0000035	XP_026236885.1	XP_045658329.1
OG0000035	XP_026241721.1	XP_045650270.1
OG0000035	XP_026253217.1	XP_045644253.1
OG0000036	XP_026237206.1	XP_045651935.1, XP_045665947.1
OG0000038	XP_026236227.1, XP_026237401.1, XP_026237392.1, XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1
OG0000039	XP_026262914.1	XP_045667593.1, XP_045667466.1
OG0000039	XP_026270091.1	XP_045656493.1
OG0000039	XP_026251210.1	XP_045659670.1
OG0000039	XP_026260187.1	XP_045632691.1
OG0000039	XP_026268040.1	XP_045670590.1
OG0000039	XP_026271275.1	XP_045671051.1
OG0000040	XP_026256465.1	XP_045656782.1
OG0000040	XP_026256463.1	XP_045656701.1, XP_045656770.1
OG0000040	XP_026256464.1	XP_045656774.1
OG0000040	XP_026256472.1	XP_045656781.1
OG0000041	XP_026237394.1, XP_026237402.1	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1
OG0000041	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1	XP_045642937.1, XP_045642938.1
OG0000042	XP_026261070.1, XP_026261068.1, XP_026261071.1	XP_045664621.1
OG0000044	XP_026270368.1	XP_045656420.1
OG0000044	XP_026238635.1	XP_045656374.1, XP_045637353.1
OG0000045	XP_026246245.1	XP_045653186.1
OG0000045	XP_026246339.1	XP_045653193.1
OG0000045	XP_026246340.1	XP_045653194.1
OG0000045	XP_026246333.1, XP_026246335.1, XP_026246334.1	XP_045653188.1, XP_045653187.1, XP_045653189.1
OG0000045	XP_026246336.1	XP_045653191.1
OG0000048	XP_026238478.1, XP_026259478.1	XP_045642300.1
OG0000048	XP_026238476.1, XP_026259481.1, XP_026238531.1	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1
OG0000049	XP_026238013.1	XP_045663942.1
OG0000049	XP_026258464.1, XP_026238012.1	XP_045663874.1
OG0000049	XP_026245541.1, XP_026245546.1	XP_045655350.1
OG0000049	XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1	XP_045655349.1
OG0000050	XP_026242114.1	XP_045646965.1
OG0000050	XP_026242226.1, XP_026242282.1, XP_026242221.1	XP_045647113.1
OG0000051	XP_026255320.1	XP_045628930.1
OG0000051	XP_026265318.1	XP_045631233.1
OG0000051	XP_026255301.1	XP_045628928.1, XP_045628929.1
OG0000051	XP_026258432.1	XP_045642234.1
OG0000051	XP_026265330.1	XP_045631224.1
OG0000051	XP_026258425.1	XP_045634948.1
OG0000052	XP_026265990.1	XP_045635810.1
OG0000052	XP_026266000.1	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1
OG0000054	XP_026270998.1, XP_026271004.1	XP_045640444.1
OG0000054	XP_026236607.1	XP_045640578.1
OG0000054	XP_026236611.1, XP_026236602.1, XP_026236612.1	XP_045639995.1
OG0000056	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1	XP_045642850.1
OG0000057	XP_026252071.1, XP_026252070.1, XP_026252069.1	XP_045650116.1
OG0000057	XP_026252062.1	XP_045650100.1
OG0000058	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1
OG0000059	XP_026266847.1, XP_026266841.1, XP_026266840.1, XP_026266844.1, XP_026266832.1, XP_026266851.1	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1
OG0000060	XP_026267874.1	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1
OG0000061	XP_026251389.1	XP_045669635.1
OG0000062	XP_026240359.1	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1
OG0000063	XP_026240951.1, XP_026240950.1	XP_045666392.1
OG0000064	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1
OG0000065	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1	XP_045663223.1
OG0000066	XP_026244187.1	XP_045656564.1
OG0000067	XP_026236572.1	XP_045628280.1
OG0000067	XP_026238203.1	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1
OG0000068	XP_026267428.1, XP_026267431.1	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1
OG0000068	XP_026267408.1	XP_045642474.1
OG0000068	XP_026267409.1	XP_045643023.1
OG0000069	XP_026267381.1	XP_045630052.1
OG0000069	XP_026259295.1	XP_045644771.1
OG0000069	XP_026259328.1	XP_045644762.1
OG0000069	XP_026257779.1	XP_045663810.1
OG0000070	XP_026254290.1	XP_045636453.1
OG0000070	XP_026238079.1	XP_045655412.1
OG0000071	XP_026235182.1	XP_045626723.1, XP_045626771.1, XP_045626763.1, XP_045626722.1
OG0000072	XP_026250638.1	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1
OG0000073	XP_026235392.1, XP_026235393.1	XP_045642928.1
OG0000074	XP_026256774.1, XP_026256773.1	XP_045638737.1, XP_045638729.1
OG0000074	XP_026256772.1	XP_045638730.1
OG0000075	XP_026247983.1	XP_045660960.1
OG0000075	XP_026247979.1	XP_045644393.1, XP_045660188.1
OG0000076	XP_026240269.1	XP_045650397.1
OG0000076	XP_026240261.1	XP_045650403.1
OG0000076	XP_026240263.1	XP_045650394.1
OG0000077	XP_026247781.1	XP_045662121.1
OG0000077	XP_026254605.1	XP_045656813.1
OG0000078	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1	XP_045645657.1, XP_045645656.1
OG0000079	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1
OG0000081	XP_026238355.1	XP_045644444.1
OG0000081	XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1	XP_045633911.1
OG0000082	XP_026237577.1	XP_045632306.1, XP_045632302.1
OG0000083	XP_026237839.1	XP_045631149.1, XP_045631150.1
OG0000083	XP_026237843.1, XP_026237841.1, XP_026237844.1	XP_045631170.1
OG0000083	XP_026237840.1	XP_045631175.1
OG0000083	XP_026237849.1	XP_045631116.1
OG0000084	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1
OG0000085	XP_026237062.1	XP_045630357.1
OG0000085	XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1	XP_045630221.1, XP_045630359.1
OG0000086	XP_026236713.1	XP_045641894.1
OG0000086	XP_026257517.1	XP_045658490.1
OG0000087	XP_026236565.1	XP_045641652.1
OG0000087	XP_026236560.1, XP_026236561.1, XP_026251965.1, XP_026236562.1	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1
OG0000087	XP_026236559.1	XP_045641653.1
OG0000088	XP_026255196.1	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1
OG0000089	XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1	XP_045642922.1, XP_045642925.1
OG0000090	XP_026251494.1	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1
OG0000092	XP_026235362.1, XP_026235364.1, XP_026235361.1	XP_045642909.1
OG0000092	XP_026235366.1, XP_026235365.1	XP_045642908.1
OG0000092	XP_026235389.1	XP_045642912.1
OG0000093	XP_026261477.1	XP_045669385.1
OG0000095	XP_026251505.1	XP_045662670.1
OG0000095	XP_026251480.1, XP_026251479.1	XP_045662783.1
OG0000096	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1	XP_045646194.1
OG0000096	XP_026238210.1, XP_026254701.1, XP_026237445.1	XP_045667579.1
OG0000099	XP_026237257.1, XP_026237259.1, XP_026237260.1	XP_045666676.1, XP_045663749.1, XP_045663763.1
OG0000099	XP_026265511.1	XP_045666662.1
OG0000099	XP_026257870.1	XP_045663708.1, XP_045663726.1
OG0000099	XP_026237588.1	XP_045663783.1, XP_045663791.1
OG0000100	XP_026270647.1, XP_026270646.1	XP_045659404.1
OG0000100	XP_026268918.1, XP_026268919.1	XP_045629752.1
OG0000101	XP_026270063.1	XP_045650931.1
OG0000101	XP_026266268.1, XP_026266270.1	XP_045655963.1, XP_045655964.1
OG0000102	XP_026236438.1, XP_026236437.1, XP_026236436.1	XP_045649362.1, XP_045633253.1, XP_045658778.1
OG0000104	XP_026237291.1, XP_026237292.1	XP_045657790.1, XP_045657791.1, XP_045657794.1
OG0000104	XP_026238452.1	XP_045657785.1, XP_045657784.1
OG0000105	XP_026251880.1	XP_045646725.1, XP_045646724.1
OG0000106	XP_026255265.1	XP_045649626.1
OG0000106	XP_026235236.1	XP_045630757.1
OG0000106	XP_026256155.1	XP_045642224.1
OG0000106	XP_026241779.1	XP_045632846.1
OG0000106	XP_026252729.1	XP_045629838.1
OG0000107	XP_026262387.1	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1
OG0000107	XP_026262379.1, XP_026262378.1	XP_045642992.1
OG0000108	XP_026270539.1	XP_045651824.1, XP_045651822.1, XP_045651823.1
OG0000109	XP_026235300.1	XP_045636309.1
OG0000109	XP_026235073.1	XP_045636487.1
OG0000109	XP_026235041.1, XP_026235048.1	XP_045636484.1, XP_045636486.1
OG0000110	XP_026246377.1, XP_026246378.1	XP_045653389.1
OG0000110	XP_026246357.1, XP_026246356.1, XP_026246355.1	XP_045653379.1, XP_045653380.1
OG0000110	XP_026246390.1	XP_045653378.1
OG0000111	XP_026238416.1	XP_045666826.1
OG0000113	XP_026236598.1, XP_026258677.1	XP_045660196.1, XP_045645435.1, XP_045635373.1
OG0000114	XP_026250385.1	XP_045662083.1
OG0000114	XP_026259154.1	XP_045662092.1, XP_045662086.1
OG0000115	XP_026262880.1	XP_045657100.1
OG0000115	XP_026264012.1	XP_045670231.1
OG0000116	XP_026253907.1	XP_045648587.1
OG0000117	XP_026238628.1, XP_026238035.1, XP_026238034.1, XP_026238036.1, XP_026238209.1, XP_026236575.1	XP_045628270.1, XP_045651792.1
OG0000118	XP_026256027.1, XP_026256028.1, XP_026256029.1	XP_045648932.1, XP_045648931.1, XP_045648929.1
OG0000119	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1	XP_045665992.1, XP_045665990.1, XP_045665989.1, XP_045665988.1, XP_045665991.1, XP_045665994.1, XP_045665993.1
OG0000120	XP_026259957.1	XP_045669188.1
OG0000121	XP_026251634.1	XP_045635128.1, XP_045635127.1
OG0000122	XP_026247074.1	XP_045655871.1
OG0000122	XP_026259024.1	XP_045637057.1
OG0000123	XP_026249709.1, XP_026249706.1	XP_045629592.1, XP_045629589.1, XP_045629412.1, XP_045629323.1
OG0000124	XP_026266929.1	XP_045669594.1
OG0000124	XP_026237609.1	XP_045669620.1
OG0000124	XP_026237284.1	XP_045669583.1
OG0000124	XP_026235843.1	XP_045669619.1
OG0000125	XP_026242669.1	XP_045637612.1
OG0000125	XP_026242724.1, XP_026242670.1, XP_026242718.1	XP_045637560.1, XP_045637568.1, XP_045637562.1
OG0000125	XP_026242611.1	XP_045637561.1
OG0000126	XP_026257293.1, XP_026237995.1, XP_026257295.1	XP_045646636.1, XP_045671486.1
OG0000126	XP_026238454.1	XP_045665510.1
OG0000127	XP_026258986.1	XP_045655163.1, XP_045655162.1, XP_045655161.1, XP_045655166.1, XP_045655165.1, XP_045655164.1, XP_045655159.1
OG0000128	XP_026263488.1	XP_045656303.1
OG0000128	XP_026263508.1	XP_045656434.1
OG0000130	XP_026256845.1	XP_045671357.1
OG0000130	XP_026256705.1	XP_045671344.1
OG0000131	XP_026236795.1, XP_026236791.1, XP_026236793.1	XP_045639044.1
OG0000132	XP_026253416.1, XP_026253412.1, XP_026253414.1, XP_026253415.1, XP_026253413.1, XP_026253410.1, XP_026253411.1	XP_045666061.1
OG0000133	XP_026265758.1, XP_026265757.1	XP_045657777.1, XP_045657776.1, XP_045657778.1
OG0000134	XP_026259066.1	XP_045637133.1
OG0000135	XP_026250197.1	XP_045645050.1
OG0000136	XP_026264277.1, XP_026264276.1, XP_026264275.1	XP_045645011.1, XP_045645014.1, XP_045645012.1
OG0000137	XP_026265173.1	XP_045649571.1
OG0000137	XP_026265174.1	XP_045649568.1
OG0000137	XP_026265175.1	XP_045649566.1
OG0000138	XP_026256886.1	XP_045627915.1
OG0000138	XP_026256847.1	XP_045638839.1, XP_045638823.1
OG0000138	XP_026256881.1	XP_045638850.1, XP_045638804.1
OG0000138	XP_026256859.1	XP_045638820.1
OG0000139	XP_026236254.1, XP_026236259.1, XP_026236250.1, XP_026236256.1, XP_026236258.1, XP_026236255.1, XP_026236249.1, XP_026236251.1, XP_026236257.1, XP_026236253.1	XP_045634983.1, XP_045634985.1, XP_045634984.1, XP_045634986.1
OG0000142	XP_026251487.1	XP_045662802.1, XP_045662805.1, XP_045662806.1, XP_045662804.1, XP_045662803.1, XP_045662801.1, XP_045662800.1
OG0000143	XP_026267021.1	XP_045663823.1
OG0000144	XP_026256477.1	XP_045665508.1
OG0000145	XP_026264744.1, XP_026264745.1, XP_026264742.1, XP_026264743.1	XP_045658338.1
OG0000146	XP_026238756.1, XP_026238746.1, XP_026238765.1, XP_026238772.1	XP_045661919.1, XP_045661916.1, XP_045661913.1, XP_045661918.1, XP_045661914.1, XP_045661917.1, XP_045661920.1
OG0000147	XP_026251867.1	XP_045664759.1, XP_045664808.1
OG0000148	XP_026267821.1, XP_026267807.1	XP_045644505.1, XP_045645126.1
OG0000148	XP_026267806.1	XP_045645125.1, XP_045644504.1
OG0000149	XP_026259522.1	XP_045662151.1
OG0000149	XP_026263723.1	XP_045640012.1
OG0000149	XP_026249891.1	XP_045657386.1
OG0000149	XP_026263726.1	XP_045640417.1
OG0000150	XP_026238430.1, XP_026237897.1, XP_026237898.1, XP_026237900.1, XP_026237899.1, XP_026237901.1, XP_026237903.1, XP_026238356.1, XP_026248438.1, XP_026269077.1, XP_026237896.1	XP_045670918.1
OG0000151	XP_026249932.1	XP_045629461.1
OG0000153	XP_026236692.1, XP_026236697.1, XP_026236693.1, XP_026238092.1, XP_026238091.1	XP_045652422.1, XP_045651788.1
