Orthogroup	Urocitellus_parryii	Echinops_telfairi
OG0000012	XP_026267997.1, XP_026265286.1	XP_012862981.1
OG0000012	XP_026267996.1	XP_045146714.1, XP_045146698.1, XP_045146499.1
OG0000012	XP_026265287.1	XP_004713947.1, XP_004711269.1
OG0000012	XP_026252549.1	XP_004710064.1
OG0000013	XP_026267604.1	XP_004714288.1, XP_004714287.1
OG0000013	XP_026237059.1, XP_026237056.1, XP_026237061.1	XP_004714376.1
OG0000013	XP_026267646.1	XP_012863082.1, XP_012863083.1, XP_004714375.1, XP_004714374.1, XP_030744122.1, XP_004714364.1, XP_030744186.1, XP_004714369.1, XP_004714366.1, XP_004714365.1, XP_030744172.1, XP_004714368.1, XP_004714371.1, XP_004714370.1, XP_030744124.1
OG0000013	XP_026267655.1, XP_026267654.1	XP_004714373.1
OG0000014	XP_026235441.1	XP_045148263.1
OG0000014	XP_026237452.1	XP_045148253.1
OG0000014	XP_026237453.1	XP_045148695.1
OG0000014	XP_026238215.1, XP_026235497.1	XP_045148265.1, XP_045148272.1
OG0000015	XP_026238401.1, XP_026237050.1, XP_026237057.1, XP_026238370.1, XP_026238358.1, XP_026238520.1, XP_026237048.1, XP_026238002.1, XP_026238003.1, XP_026238256.1, XP_026237055.1	XP_004716911.2
OG0000017	XP_026241043.1, XP_026241097.1	XP_004706250.1, XP_004706251.1, XP_004706265.1, XP_045141829.1, XP_004706263.1, XP_004706256.1, XP_004706253.1, XP_004706254.3, XP_004706252.1, XP_004717982.2, XP_004706249.2, XP_030740248.1, XP_030740247.1, XP_004706273.1, XP_030740249.1, XP_004706248.1, XP_045141832.1, XP_004706244.1, XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2
OG0000017	XP_026269685.1	XP_012863346.1
OG0000018	XP_026260518.1, XP_026261538.1	XP_012859399.1
OG0000018	XP_026263466.1, XP_026263454.1, XP_026237650.1	XP_004716622.1
OG0000018	XP_026237964.1	XP_004696931.1
OG0000019	XP_026237345.1	XP_004698479.1
OG0000019	XP_026237347.1	XP_004712790.1
OG0000019	XP_026237352.1	XP_004712724.1
OG0000019	XP_026237905.1	XP_004712723.1
OG0000020	XP_026237159.1	XP_030742134.1
OG0000021	XP_026269162.1, XP_026238265.1	XP_004717377.1, XP_012863941.2, XP_004717372.2, XP_004717798.2, XP_004717375.1, XP_004717804.3
OG0000021	XP_026238466.1	XP_004717803.1
OG0000021	XP_026238206.1	XP_004697297.1
OG0000021	XP_026238208.1	XP_004697303.1
OG0000022	XP_026240262.1	XP_012861131.1
OG0000022	XP_026240150.1	XP_012860159.3
OG0000022	XP_026240155.1	XP_030744626.2
OG0000022	XP_026240264.1	XP_045140666.1
OG0000022	XP_026240207.1	XP_004697099.2
OG0000022	XP_026240188.1	XP_045140875.1
OG0000022	XP_026240152.1	XP_030744629.2
OG0000023	XP_026237819.1, XP_026237812.1	XP_004710771.1, XP_045148514.1, XP_012862162.1
OG0000024	XP_026236673.1, XP_026258497.1, XP_026236675.1	XP_004714285.1
OG0000026	XP_026258673.1	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1
OG0000027	XP_026246086.1	XP_012861603.1
OG0000027	XP_026257455.1	XP_012862391.1
OG0000027	XP_026235932.1	XP_004710335.1
OG0000027	XP_026247615.1	XP_012862704.1
OG0000027	XP_026252923.1	XP_004699870.2
OG0000027	XP_026246085.1	XP_045150648.1
OG0000028	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1	XP_004715034.1
OG0000028	XP_026262354.1, XP_026262314.1, XP_026262353.1, XP_026262305.1	XP_004715045.2, XP_045152990.1
OG0000029	XP_026258206.1, XP_026258216.1	XP_004706573.1, XP_004706506.1
OG0000029	XP_026238363.1, XP_026237985.1	XP_012861092.2
OG0000029	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2
OG0000031	XP_026238465.1	XP_004717805.1
OG0000031	XP_026270394.1	XP_004717464.1, XP_012863974.1
OG0000031	XP_026256185.1	XP_004717473.1
OG0000031	XP_026236570.1	XP_004697273.1
OG0000033	XP_026238436.1	XP_045155424.1
OG0000033	XP_026260557.1	XP_004709364.2
OG0000033	XP_026238435.1	XP_045155427.1, XP_045155234.1
OG0000035	XP_026247160.1	XP_004712740.1
OG0000035	XP_026268236.1, XP_026268245.1	XP_004712219.1
OG0000035	XP_026236885.1	XP_030741765.1
OG0000035	XP_026241721.1	XP_004703656.1
OG0000035	XP_026253217.1	XP_030740512.1
OG0000036	XP_026237206.1	XP_004701113.1
OG0000036	XP_026237203.1, XP_026237204.1, XP_026237205.1, XP_026237207.1, XP_026238032.1	XP_004701114.1
OG0000038	XP_026236227.1	XP_012861542.1
OG0000039	XP_026262914.1	XP_004711707.2
OG0000039	XP_026270091.1	XP_004711733.1
OG0000039	XP_026251210.1	XP_004702931.1
OG0000039	XP_026268040.1	XP_004716151.1
OG0000039	XP_026271275.1	XP_004702928.1
OG0000040	XP_026256463.1	XP_004711551.1, XP_004711550.1
OG0000040	XP_026256464.1	XP_004711556.1, XP_004711557.1
OG0000040	XP_026256472.1	XP_004711562.2
OG0000041	XP_026237394.1, XP_026237402.1	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1
OG0000041	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1	XP_012861540.1
OG0000042	XP_026270259.1, XP_026270260.1, XP_026270263.1, XP_026270262.1, XP_026261086.1, XP_026270257.1, XP_026270258.1	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1
OG0000045	XP_026246245.1	XP_045149228.1
OG0000045	XP_026246338.1	XP_004709406.1
OG0000045	XP_026246340.1	XP_012861750.1
OG0000045	XP_026246333.1, XP_026246335.1, XP_026246334.1	XP_012861749.1
OG0000045	XP_026246336.1	XP_004709407.1
OG0000046	XP_026245678.1	XP_045145625.1, XP_045145661.1
OG0000048	XP_026238476.1, XP_026259481.1, XP_026238531.1	XP_045148625.1, XP_030742216.1, XP_045148205.1
OG0000049	XP_026238013.1	XP_012859118.1
OG0000049	XP_026245541.1, XP_026245546.1, XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1	XP_004696508.2
OG0000050	XP_026242114.1	XP_004712659.1
OG0000051	XP_026255320.1	XP_045139744.1
OG0000051	XP_026265318.1	XP_045150200.1
OG0000051	XP_026255301.1	XP_004704466.1
OG0000051	XP_026258432.1	XP_045154467.1
OG0000051	XP_026265330.1	XP_045150193.1
OG0000051	XP_026258425.1	XP_004710098.1
OG0000052	XP_026265990.1	XP_004700778.2
OG0000053	XP_026249354.1, XP_026236552.1, XP_026238551.1, XP_026236551.1, XP_026249355.1, XP_026236549.1, XP_026249358.1, XP_026249357.1, XP_026236550.1, XP_026236548.1, XP_026249356.1, XP_026236547.1, XP_026236541.1, XP_026249293.1	XP_030744714.1
OG0000054	XP_026270998.1, XP_026271004.1	XP_045154396.1
OG0000054	XP_026236607.1	XP_030743721.1
OG0000054	XP_026236611.1, XP_026236602.1, XP_026236612.1	XP_004714839.1, XP_045154300.1
OG0000056	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1
OG0000057	XP_026252071.1, XP_026252070.1, XP_026252069.1	XP_045152239.1
OG0000057	XP_026252061.1	XP_045150220.1, XP_045151593.1
OG0000057	XP_026252062.1	XP_045152873.1
OG0000058	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1	XP_004715220.1
OG0000060	XP_026267874.1	XP_012862321.2
OG0000061	XP_026251389.1	XP_045145283.1
OG0000062	XP_026240359.1	XP_004715350.1
OG0000063	XP_026240951.1, XP_026240950.1	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1
OG0000064	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1
OG0000065	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1
OG0000066	XP_026244187.1	XP_004706464.1, XP_045144912.1
OG0000067	XP_026236572.1	XP_004697275.1
OG0000067	XP_026238203.1	XP_012861343.1, XP_004697249.1
OG0000068	XP_026267409.1	XP_030743378.2
OG0000069	XP_026267381.1	XP_004707765.1
OG0000069	XP_026259294.1	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1
OG0000069	XP_026259295.1	XP_004715688.1
OG0000069	XP_026259328.1	XP_004715687.1
OG0000069	XP_026257779.1	XP_004698759.1
OG0000069	XP_026250043.1	XP_004698825.1
OG0000070	XP_026254290.1	XP_030741226.1
OG0000070	XP_026238079.1	XP_045148084.1
OG0000071	XP_026235182.1	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1
OG0000072	XP_026250638.1	XP_004701095.1, XP_045147551.1
OG0000073	XP_026235392.1, XP_026235393.1	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2
OG0000074	XP_026256774.1, XP_026256773.1	XP_004708970.1
OG0000075	XP_026247983.1	XP_012859131.1, XP_045144281.1
OG0000075	XP_026237986.1, XP_026259296.1	XP_004715682.1
OG0000076	XP_026240269.1	XP_045140664.1
OG0000076	XP_026240261.1	XP_004697101.1
OG0000076	XP_026240263.1	XP_045140667.1
OG0000077	XP_026247781.1	XP_004701504.1
OG0000077	XP_026260980.1, XP_026250600.1, XP_026254605.1	XP_004716948.1
OG0000078	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1	XP_045144918.1
OG0000079	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1	XP_045140817.1, XP_004696894.1, XP_045140816.1
OG0000081	XP_026238355.1, XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1
OG0000083	XP_026237840.1	XP_045148500.1
OG0000083	XP_026237849.1	XP_045148495.1
OG0000084	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1	XP_045141025.1, XP_045141026.1, XP_004703689.1
OG0000085	XP_026237062.1	XP_004714378.1
OG0000085	XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1	XP_004717398.1, XP_004717958.1
OG0000086	XP_026262357.1	XP_004714964.1
OG0000086	XP_026236713.1	XP_004705744.1
OG0000086	XP_026257517.1	XP_045154464.1
OG0000086	XP_026253782.1, XP_026253784.1, XP_026253783.1	XP_004707070.1
OG0000087	XP_026251965.1	XP_004713160.1
OG0000087	XP_026236562.1	XP_030744700.1, XP_004713170.2
OG0000087	XP_026236559.1	XP_030744519.1
OG0000088	XP_026255196.1	XP_045140349.1, XP_045140348.1, XP_045140350.1
OG0000089	XP_026235390.1, XP_026235380.1, XP_026235385.1, XP_026235383.1, XP_026235386.1, XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1	XP_004708559.1, XP_004708552.1, XP_004708556.1
OG0000090	XP_026251494.1	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1
OG0000092	XP_026235362.1, XP_026235364.1, XP_026235361.1	XP_004708546.1
OG0000092	XP_026235366.1, XP_026235365.1, XP_026235360.1, XP_026235389.1	XP_004708548.1
OG0000093	XP_026261477.1	XP_045142014.1
OG0000095	XP_026251505.1	XP_004711944.1
OG0000095	XP_026251477.1	XP_004717327.1
OG0000096	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1	XP_004703093.1
OG0000096	XP_026238210.1, XP_026254701.1, XP_026237445.1	XP_004700028.1
OG0000098	XP_026267640.1	XP_045156009.1, XP_012863865.1, XP_045156003.1, XP_012863091.1, XP_030744174.1, XP_045146230.1, XP_045156004.1, XP_045156002.1, XP_045145646.1, XP_045156007.1, XP_045156006.1, XP_045155968.1, XP_012863866.3, XP_045156110.1
OG0000099	XP_026237588.1	XP_045151127.1
OG0000100	XP_026270649.1, XP_026270648.1, XP_026270647.1, XP_026270646.1	XP_004705273.1
OG0000100	XP_026268919.1	XP_004705657.1
OG0000101	XP_026270063.1	XP_045140363.1
OG0000101	XP_026266268.1, XP_026266270.1	XP_045146523.1, XP_045146524.1
OG0000102	XP_026236438.1, XP_026236437.1, XP_026236436.1	XP_004703410.2
OG0000103	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1	XP_045151822.1, XP_004710333.1
OG0000105	XP_026251880.1	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1
OG0000106	XP_026255265.1	XP_004708127.2
OG0000106	XP_026235236.1	XP_045145413.1
OG0000106	XP_026256155.1	XP_004705720.2
OG0000106	XP_026241779.1	XP_004709634.2
OG0000106	XP_026252729.1	XP_004706026.2
OG0000107	XP_026262387.1	XP_004715014.1
OG0000107	XP_026262379.1, XP_026262378.1	XP_004715013.1, XP_004715012.1
OG0000108	XP_026270539.1	XP_045150492.1
OG0000109	XP_026235300.1	XP_004711113.1
OG0000109	XP_026235073.1	XP_004712519.1
OG0000109	XP_026235041.1, XP_026235048.1	XP_004712518.1
OG0000110	XP_026246377.1, XP_026246378.1	XP_004713048.1
OG0000110	XP_026246390.1	XP_045149353.1
OG0000113	XP_026236598.1, XP_026258677.1	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1
OG0000114	XP_026250385.1, XP_026259154.1	XP_004701628.1
OG0000115	XP_026262880.1	XP_004711472.1
OG0000117	XP_026238628.1, XP_026238035.1, XP_026238034.1, XP_026238036.1, XP_026238209.1, XP_026236575.1	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3
OG0000118	XP_026256027.1, XP_026256028.1, XP_026256029.1	XP_030741158.1
OG0000119	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1	XP_004717708.1, XP_004715360.1
OG0000120	XP_026259957.1	XP_004705610.1
OG0000121	XP_026251634.1	XP_045142786.1
OG0000122	XP_026247074.1	XP_004715846.1
OG0000122	XP_026259024.1	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1
OG0000123	XP_026249709.1, XP_026249706.1	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1
OG0000124	XP_026266929.1	XP_012863991.1
OG0000124	XP_026237609.1	XP_045141380.1
OG0000125	XP_026242669.1	XP_004707210.1
OG0000125	XP_026242724.1, XP_026242670.1, XP_026242718.1	XP_045155274.1
OG0000125	XP_026242611.1	XP_045155324.1
OG0000127	XP_026258986.1	XP_004703356.1, XP_045140128.1
OG0000128	XP_026263488.1	XP_004712541.3
OG0000128	XP_026263508.1	XP_045151722.1, XP_004712576.1, XP_045151686.1
OG0000129	XP_026256666.1, XP_026256662.1, XP_026256684.1	XP_004696412.1
OG0000130	XP_026256705.1	XP_004717091.1
OG0000131	XP_026236795.1, XP_026236791.1, XP_026236793.1	XP_004716464.1, XP_004716462.1, XP_012863714.1
OG0000132	XP_026253416.1, XP_026253412.1, XP_026253414.1, XP_026253415.1, XP_026253413.1, XP_026253410.1, XP_026253411.1	XP_004702027.1, XP_045150370.1, XP_045150369.1
OG0000133	XP_026265758.1, XP_026265757.1	XP_045148079.1, XP_004699328.1
OG0000134	XP_026259066.1	XP_045151946.1
OG0000135	XP_026250197.1	XP_045147971.1
OG0000136	XP_026264277.1, XP_026264276.1, XP_026264275.1	XP_045142065.1, XP_045142064.1, XP_004697625.1
OG0000137	XP_026265173.1	XP_004714005.3
OG0000137	XP_026265174.1	XP_004714001.1, XP_012863025.1, XP_004713999.1
OG0000137	XP_026265175.1	XP_004714041.1
OG0000138	XP_026256881.1	XP_004717527.1, XP_004717571.2
OG0000138	XP_026256859.1	XP_004717528.1
OG0000139	XP_026236254.1, XP_026236259.1, XP_026236250.1, XP_026236256.1, XP_026236258.1, XP_026236255.1, XP_026236249.1, XP_026236251.1, XP_026236257.1, XP_026236253.1	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1
OG0000140	XP_026257802.1	XP_030741420.1
OG0000141	XP_026268094.1, XP_026237419.1, XP_026238596.1, XP_026237467.1, XP_026237468.1, XP_026237463.1, XP_026237466.1, XP_026237469.1, XP_026238377.1, XP_026237464.1	XP_004697229.2, XP_045140736.1, XP_004696895.1
OG0000142	XP_026251487.1	XP_045149687.1, XP_004704707.1, XP_045149686.1
OG0000143	XP_026267021.1	XP_030742844.1
OG0000144	XP_026256477.1	XP_045151259.1
OG0000145	XP_026264744.1, XP_026264745.1, XP_026264742.1, XP_026264743.1	XP_045147525.1, XP_004701145.1, XP_045147526.1
OG0000146	XP_026238756.1, XP_026238746.1, XP_026238765.1, XP_026238772.1	XP_045142054.1, XP_045142060.1, XP_004697533.1
OG0000147	XP_026251870.1	XP_004713906.1, XP_004713922.1, XP_004713902.1
OG0000147	XP_026251867.1	XP_004713907.1, XP_004713908.1
OG0000148	XP_026267821.1, XP_026267807.1, XP_026267806.1	XP_004698922.1, XP_004698923.1
OG0000149	XP_026259522.1	XP_045148631.1
OG0000149	XP_026263723.1	XP_004716558.1
OG0000149	XP_026249891.1	XP_004714919.1
OG0000149	XP_026263726.1	XP_045154307.1
OG0000150	XP_026238430.1, XP_026237897.1, XP_026237898.1, XP_026237900.1, XP_026237899.1, XP_026237901.1, XP_026237903.1, XP_026238356.1, XP_026248438.1, XP_026269077.1, XP_026237896.1	XP_012860629.3
OG0000153	XP_026236692.1, XP_026236697.1, XP_026236693.1, XP_026238092.1, XP_026238091.1	XP_012864129.2, XP_030743188.1
OG0000153	XP_026238093.1, XP_026237755.1	XP_012864119.1
OG0000156	XP_026238050.1	XP_045148508.1
OG0000157	XP_026269250.1	XP_004716095.1
OG0000158	XP_026240664.1	XP_045150894.1
OG0000158	XP_026268724.1	XP_012862011.1
OG0000158	XP_026264336.1	XP_012860252.2
OG0000159	XP_026266848.1, XP_026266849.1, XP_026266846.1	XP_004706567.1, XP_004706504.1
OG0000159	XP_026266842.1	XP_004706503.2
OG0000160	XP_026268037.1	XP_004711708.1
OG0000161	XP_026267513.1, XP_026238663.1, XP_026267512.1	XP_045142585.1
OG0000162	XP_026266683.1	XP_012864056.1
OG0000163	XP_026248253.1	XP_045153720.1
OG0000163	XP_026248265.1	XP_045153718.1, XP_045153719.1
OG0000164	XP_026253089.1	XP_004706358.1, XP_045144983.1
OG0000165	XP_026258117.1, XP_026258109.1, XP_026258115.1, XP_026258113.1, XP_026258116.1, XP_026258114.1, XP_026258111.1, XP_026258110.1, XP_026258108.1, XP_026258112.1, XP_026258107.1	XP_045146037.1, XP_045146036.1
OG0000166	XP_026250823.1, XP_026250824.1	XP_045141312.1, XP_045141315.1, XP_045141314.1
OG0000167	XP_026258272.1, XP_026258273.1	XP_045140340.1, XP_004705793.1
OG0000168	XP_026267489.1	XP_045155493.1, XP_004703884.1
OG0000168	XP_026267488.1	XP_045155494.1, XP_045144189.1
OG0000170	XP_026254811.1, XP_026254785.1	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1
OG0000171	XP_026249924.1	XP_045144663.1, XP_045150621.1
OG0000172	XP_026250205.1	XP_045142243.1
OG0000172	XP_026255734.1	XP_004701997.1
OG0000172	XP_026269299.1	XP_004716083.1
OG0000173	XP_026250864.1, XP_026250861.1, XP_026250862.1, XP_026250863.1	XP_004702250.1
OG0000174	XP_026235980.1, XP_026235982.1, XP_026235981.1	XP_030743023.1
OG0000175	XP_026260198.1	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1
OG0000176	XP_026262355.1	XP_045152988.1
OG0000177	XP_026240024.1, XP_026240023.1	XP_004701304.1
OG0000178	XP_026245161.1	XP_045152345.1
OG0000179	XP_026236812.1	XP_004710399.1, XP_004710401.1, XP_004710400.1
OG0000180	XP_026267620.1	XP_045146325.1, XP_045146327.1
OG0000182	XP_026270826.1, XP_026270821.1	XP_045152535.1, XP_045152534.1
OG0000183	XP_026254865.1	XP_004714362.1
OG0000184	XP_026240862.1	XP_004712167.1, XP_045143405.1
OG0000188	XP_026256750.1, XP_026256706.1	XP_004717519.1
OG0000188	XP_026256763.1	XP_004717089.1
OG0000189	XP_026270818.1	XP_004716487.1
OG0000190	XP_026265954.1	XP_004700763.1
OG0000191	XP_026250850.1, XP_026250848.1, XP_026250851.1, XP_026250849.1, XP_026250846.1, XP_026250852.1	XP_004702068.1
OG0000192	XP_026266668.1	XP_045146436.1
OG0000193	XP_026235764.1	XP_045146734.1, XP_045146733.1, XP_045146735.1, XP_045146736.1
OG0000195	XP_026239254.1	XP_012863924.2
OG0000196	XP_026262375.1	XP_004715008.1
OG0000196	XP_026236211.1, XP_026236238.1	XP_004714956.2
OG0000197	XP_026247348.1	XP_004711661.1
OG0000198	XP_026237449.1, XP_026237448.1	XP_045148239.1
OG0000198	XP_026237461.1	XP_045148248.1, XP_045148276.1
OG0000199	XP_026236945.1, XP_026236944.1, XP_026236943.1, XP_026236942.1	XP_004715690.1
OG0000200	XP_026259116.1	XP_004699331.1
OG0000201	XP_026264052.1	XP_045155407.1
OG0000203	XP_026244830.1	XP_004703894.1
OG0000205	XP_026249445.1, XP_026249446.1, XP_026249447.1, XP_026249444.1, XP_026249443.1	XP_012863033.1
OG0000206	XP_026262288.1, XP_026262268.1, XP_026262279.1	XP_004704090.1
OG0000207	XP_026250373.1, XP_026250374.1, XP_026250372.1	XP_004701621.1
OG0000208	XP_026252554.1	XP_004710162.1
OG0000209	XP_026237644.1, XP_026238172.1, XP_026238245.1, XP_026238270.1	XP_012863468.1, XP_012863470.1
OG0000210	XP_026254782.1	XP_004711639.1, XP_004711637.2, XP_004711638.1
OG0000211	XP_026250304.1, XP_026250307.1	XP_004702940.1
OG0000211	XP_026239111.1, XP_026239110.1	XP_004706483.1, XP_004699325.1, XP_004698023.1
OG0000212	XP_026253926.1	XP_004697252.1
OG0000213	XP_026255250.1	XP_045152929.1
OG0000214	XP_026245568.1	XP_045155180.1
OG0000214	XP_026250337.1	XP_045141138.1
OG0000215	XP_026266594.1	XP_045155743.1
OG0000217	XP_026258660.1, XP_026258659.1	XP_045146586.1, XP_045146584.1, XP_045146585.1, XP_045146583.1, XP_004714188.1
OG0000219	XP_026247803.1	XP_004701509.1
OG0000221	XP_026235035.1, XP_026235400.1, XP_026235034.1	XP_030741677.1, XP_012861565.1, XP_004708437.1, XP_004708438.2, XP_004708440.1
OG0000222	XP_026267330.1, XP_026267333.1, XP_026267334.1, XP_026267331.1, XP_026267332.1	XP_045148545.1, XP_004710388.1
OG0000223	XP_026238071.1, XP_026238018.1	XP_045153127.1
OG0000223	XP_026238017.1	XP_012862931.2, XP_045153237.1
OG0000224	XP_026253016.1, XP_026253021.1, XP_026253020.1, XP_026253019.1, XP_026253022.1, XP_026253017.1, XP_026253014.1, XP_026253018.1, XP_026253015.1	XP_004699881.1
OG0000226	XP_026235766.1, XP_026235767.1, XP_026235761.1	XP_045146536.1, XP_004711258.1, XP_004711259.1
