Orthogroup	Saimiri_boliviensis_boliviensis	Canis_lupus_familiaris
OG0000020	XP_010330294.2, XP_010330261.2, XP_010330262.2, XP_039322954.1, XP_039322950.1, XP_039323238.1, XP_039322687.1, XP_003944118.2, XP_039322689.1, XP_039322688.1	XP_038383733.1, XP_038381457.1
OG0000021	XP_003935417.2	XP_038439912.1
OG0000022	XP_039328169.1	XP_038386332.1
OG0000022	XP_010339946.2	XP_038386364.1
OG0000022	XP_003920570.1	XP_038386347.1
OG0000022	XP_010336498.1	XP_038386329.1
OG0000022	XP_010336445.2	XP_038386339.1
OG0000022	XP_003920574.1	XP_038386342.1
OG0000022	XP_010336467.2	XP_038386333.1
OG0000022	XP_039328577.1	XP_038386334.1
OG0000022	XP_039328684.1	XP_038386340.1
OG0000023	XP_039322918.1	XP_038383955.1
OG0000023	XP_039322035.1	XP_038383893.1
OG0000024	XP_003923612.1	NP_001376086.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	XP_010334588.2	XP_038441743.1
OG0000027	XP_010348076.2	XP_038433464.1
OG0000027	XP_039318403.1	XP_038432130.1
OG0000027	XP_003939105.2	XP_038385540.1
OG0000027	XP_039328209.1	NP_001301019.1
OG0000027	XP_010348074.2	XP_038433463.1
OG0000028	XP_003920201.3	NP_001376096.1, NP_001376114.1
OG0000028	XP_003920501.1	NP_001375514.1
OG0000028	XP_003920200.1	NP_001376110.1
OG0000028	XP_003920202.2	NP_001376097.1
OG0000031	XP_010344198.2	XP_038399997.1
OG0000032	XP_039327708.1	XP_038386300.1
OG0000032	XP_039327697.1	XP_038445480.1, XP_038445479.1
OG0000032	XP_039327661.1	XP_038445482.1, XP_038386299.1
OG0000032	XP_010340077.2	XP_038445478.1, XP_038386311.1
OG0000032	XP_039328729.1, XP_003920557.2	XP_038386304.1
OG0000033	XP_003931817.1	XP_038402020.1, XP_038402018.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_038402610.1
OG0000033	XP_003931922.1	XP_038402605.1
OG0000033	XP_010340770.1	XP_038402015.1, XP_038402014.1, XP_038402604.1
OG0000033	XP_010340761.1	XP_038402589.1
OG0000035	XP_039318843.1	XP_038435896.1
OG0000035	XP_039320122.1	XP_038389880.1
OG0000035	XP_039316629.1	NP_001182774.2
OG0000035	XP_039331779.1	NP_001003349.2
OG0000035	XP_003925881.1	XP_038386568.1
OG0000036	XP_003922415.1	NP_001183973.1
OG0000038	XP_039327428.1, XP_003920141.1	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1
OG0000039	XP_003927439.2	XP_038439969.1
OG0000039	XP_039318609.1	XP_038439961.1
OG0000039	XP_003944692.1	XP_038409373.1
OG0000039	XP_039317243.1	XP_038404584.1
OG0000039	XP_010347833.2	XP_038423469.1
OG0000039	XP_039315957.1	XP_038393912.1
OG0000039	XP_003932683.1	XP_038428666.1, XP_038428667.1
OG0000039	XP_039319462.1, XP_039319460.1	XP_038399838.1
OG0000040	XP_003927936.1	NP_001375690.1
OG0000040	XP_039328176.1	NP_001375691.1
OG0000041	XP_010335862.2, XP_003920143.2	NP_001376113.1, NP_001376111.1
OG0000042	XP_010335516.2	XP_038424119.1
OG0000043	XP_003920426.2, XP_003919855.1, XP_010335361.2	NP_001375875.1
OG0000044	XP_003942034.2	NP_001361520.1
OG0000044	XP_039318565.1	XP_038439907.1
OG0000044	XP_039318564.1, XP_003944781.1	XP_038440355.1
OG0000045	XP_039331909.1	NP_001107184.1
OG0000045	XP_039332728.1	XP_038392809.1
OG0000045	XP_039332732.1, XP_039332731.1	NP_001107189.1
OG0000045	XP_039332730.1	NP_001070703.1
OG0000045	XP_003929291.1, XP_003929292.1	NP_001070263.1
OG0000045	XP_010338158.2	NP_001070262.1
OG0000046	XP_010331142.2	XP_038422927.1
OG0000046	XP_010328492.2, XP_003942293.2, XP_010328414.2, XP_010328415.2, XP_003942294.2, XP_039322761.1, XP_010328491.2	XP_038422922.1, XP_038422926.1
OG0000048	XP_010329363.1	NP_001106930.1, NP_001091015.1
OG0000048	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1	NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	XP_003924537.2, XP_010333524.2, XP_039323980.1	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1
OG0000049	XP_003924539.3	XP_038401904.1
OG0000049	XP_039324393.1, XP_039324392.1	XP_038429560.1, XP_038429559.1, XP_038429558.1
OG0000051	XP_039329306.1	XP_038425970.1
OG0000051	XP_003925510.1	XP_038429926.1
OG0000051	XP_003928297.2	XP_038425967.1
OG0000051	XP_039320049.1	XP_038443974.1
OG0000051	XP_039325459.1	NP_001026988.1
OG0000051	XP_010344666.1	NP_001002979.1
OG0000052	XP_039319167.1	XP_038406653.1
OG0000052	XP_039319076.1, XP_039319077.1, XP_010341812.2	XP_038407502.1, XP_038406617.1
OG0000054	XP_010346811.2	XP_038442333.1
OG0000054	XP_039315844.1	NP_001122310.1, XP_038442330.1, NP_001122309.1
OG0000054	XP_039315845.1	NP_001122308.1
OG0000054	XP_003937935.2	NP_001124302.1
OG0000055	XP_003919853.2	XP_038424111.1
OG0000057	XP_039325466.1	XP_038430031.1
OG0000057	XP_039325468.1	XP_038430057.1
OG0000057	XP_039325470.1	XP_038430019.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	NP_001029164.1
OG0000059	XP_010331293.1, XP_039333543.1	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1
OG0000060	XP_010334009.1	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	XP_003941474.2	XP_038404743.1
OG0000062	XP_039318532.1, XP_010336326.2	XP_038440142.1
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	NP_001171205.2
OG0000065	XP_039319995.1	XP_038381496.1, XP_038385481.1
OG0000066	XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1	XP_038394823.1, XP_038391773.1
OG0000066	XP_010333813.1, XP_039328754.1, XP_039330485.1	XP_038418293.1
OG0000066	XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1	XP_038418454.1
OG0000066	XP_039329388.1	XP_038431159.1
OG0000067	XP_039320219.1	XP_038413461.1
OG0000067	XP_003935341.2	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1
OG0000068	XP_003920213.2	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1
OG0000069	XP_039316972.1	XP_038429693.1, XP_038429692.1
OG0000069	XP_003943448.2	XP_038442580.1
OG0000069	XP_003924565.1	XP_038401156.1
OG0000069	XP_003939886.1, XP_010348853.1	XP_038401908.1
OG0000070	XP_010337017.1	XP_038408465.1
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	XP_038418375.1, XP_038418377.1
OG0000072	XP_003922405.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000074	XP_003923468.1	XP_038424692.1, XP_038424721.1
OG0000074	XP_010332594.1, XP_003923466.1	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1
OG0000075	XP_010349790.1	XP_038442549.1
OG0000076	XP_010336471.1	XP_038386335.1
OG0000076	XP_010336477.2	XP_038386352.1
OG0000076	XP_010336475.1	XP_038386350.1
OG0000076	XP_010336456.1	XP_038386344.1
OG0000076	XP_039328402.1	XP_038386343.1
OG0000076	XP_010336460.1	XP_038386351.1
OG0000076	XP_003920580.2	XP_038386345.1
OG0000077	XP_003921883.1, XP_039327768.1	XP_038434167.1
OG0000077	XP_039330530.1	XP_038421758.1
OG0000077	XP_039325523.1, XP_039323679.1, XP_003920400.2, XP_010336389.1	XP_038427137.1
OG0000077	XP_039328044.1	XP_038433776.1
OG0000078	XP_010335563.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	XP_039326925.1, XP_039326924.1	XP_038419100.1
OG0000080	XP_010333275.1, XP_010333278.2	XP_038419098.1, XP_038419099.1
OG0000081	XP_039318415.1	XP_038431683.1
OG0000082	XP_003927606.2	XP_038437552.1
OG0000082	XP_039336381.1, XP_010336666.2, XP_010336667.2	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000083	XP_003944271.2	XP_038383884.1
OG0000083	XP_039323029.1	XP_038383872.1
OG0000083	XP_039322867.1, XP_039322866.1	XP_038381465.1
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000086	XP_010333042.1, XP_003920167.1	XP_038419157.1, XP_038419158.1
OG0000086	XP_039318297.1	XP_038431923.1
OG0000086	XP_003929141.1	XP_038403878.1, XP_038403881.1, XP_038403882.1
OG0000087	XP_010336636.2, XP_003927726.3, XP_003927728.1, XP_003927727.1	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000089	XP_003920486.2	NP_001376137.1, XP_038418396.1, NP_001375994.1, NP_001375937.1
OG0000090	XP_010329648.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000093	XP_010329932.1	XP_038395629.1
OG0000095	XP_039331824.1	NP_001003150.1
OG0000095	XP_039321338.1, XP_010329628.2	XP_038388047.1
OG0000095	XP_003943509.1, XP_003943507.1	NP_001003149.1
OG0000095	XP_003943511.1	XP_038386933.1, NP_001003173.1, XP_038399958.1
OG0000096	XP_010335039.2	XP_038381766.1
OG0000096	XP_039318544.1	XP_038439954.1, XP_038439955.1, XP_038439957.1
OG0000099	XP_039335344.1	XP_038427735.1
OG0000100	XP_039330326.1	NP_001003236.1
OG0000100	XP_003934223.1	XP_038395171.1
OG0000101	XP_010349156.1, XP_003940188.1	XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000103	XP_003939109.1	NP_001012344.1
OG0000104	XP_039330507.1, XP_003943302.2	XP_038397375.1
OG0000105	XP_039318127.1, XP_039318128.1	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1
OG0000106	XP_003930828.1	XP_038415502.1
OG0000106	XP_039323985.1	XP_038389598.1
OG0000106	XP_003930132.1	XP_038395750.1
OG0000106	XP_003932297.1	NP_001003069.1
OG0000106	XP_003934194.1	XP_038394776.1
OG0000107	XP_010332917.2	NP_001375529.1
OG0000108	XP_010345593.1, XP_039325580.1	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1
OG0000109	XP_003925465.1	NP_001243373.1
OG0000109	XP_010329964.2	NP_001375847.1
OG0000109	XP_010329965.2	NP_001375801.1, XP_038407562.1, NP_001375846.1
OG0000109	XP_003943899.2, XP_010330044.2	XP_038407563.1, NP_001375456.1
OG0000110	XP_003929179.1	XP_038392542.1, XP_038392543.1
OG0000110	XP_003929189.1, XP_039331915.1	XP_038392566.1
OG0000110	XP_039332486.1	XP_038392540.1
OG0000111	XP_039317041.1, XP_039317022.1	XP_038425279.1, XP_038445063.1, XP_038415133.1, XP_038444938.1, XP_038415136.1, XP_038445381.1, XP_038445171.1, XP_038445180.1, XP_038445612.1, XP_038415131.1, XP_038445221.1, XP_038415132.1, XP_038444899.1, XP_038445058.1, XP_038445056.1, XP_038445216.1, XP_038444900.1, XP_038444929.1, XP_038415134.1
OG0000113	XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1	XP_038443886.1, XP_038443837.1
OG0000114	XP_003925650.1	NP_001104269.1
OG0000114	XP_039325923.1	NP_001106640.1
OG0000114	XP_039325966.1, XP_039325453.1	XP_038441037.1, XP_038441509.1
OG0000114	XP_003925648.1	NP_001106641.1
OG0000115	XP_039320196.1	NP_001238856.2
OG0000116	XP_010338411.1	XP_038437940.1
OG0000116	XP_039324253.1	XP_038386227.1
OG0000116	XP_003928756.1	XP_038407551.1, XP_038389893.1
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1
OG0000119	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1
OG0000120	XP_003934288.1	XP_038395395.1
OG0000121	XP_010344410.1, XP_039317051.1	XP_038415793.1
OG0000122	XP_003937411.2	XP_038385259.1
OG0000122	XP_039323537.1, XP_003942212.1, XP_010328314.1, XP_039321049.1, XP_039318995.1, XP_039329947.1, XP_039320981.1, XP_039327395.1, XP_039335777.1, XP_039330610.1, XP_039320737.1	XP_038406914.1, XP_038408058.1
OG0000123	XP_003933125.2	NP_001014309.1
OG0000124	XP_039331406.1, XP_010334463.2	XP_038442694.1
OG0000124	XP_039331473.1	NP_001041587.1
OG0000124	XP_010334417.2	XP_038442663.1
OG0000124	XP_003920544.2	NP_001041588.1
OG0000125	XP_003942839.2	XP_038401950.1
OG0000125	XP_039332456.1, XP_039332455.1, XP_010328942.2	XP_038402032.1, NP_001333023.1, NP_001333024.1
OG0000125	XP_003942837.1	XP_038402033.1
OG0000127	XP_010338390.1, XP_003929523.1	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1
OG0000128	XP_003927334.1	XP_038440255.1
OG0000128	XP_003927335.1	XP_038440239.1
OG0000128	XP_003945327.2, XP_010336299.1	XP_038440246.1
OG0000128	XP_003927336.1	XP_038440245.1
OG0000129	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1	NP_001301024.1
OG0000130	XP_003923415.2	NP_001376119.1
OG0000130	XP_003923414.2	XP_038424092.1
OG0000131	XP_003919834.1, XP_003919833.1	NP_001375841.1, NP_001375840.1, NP_001375664.1, NP_001375665.1
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	XP_038382133.1, XP_038382135.1, XP_038382134.1
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	XP_038397365.1, XP_038397362.1, XP_038397364.1, XP_038397366.1, XP_038397360.1, XP_038397361.1, XP_038397363.1
OG0000134	XP_039317575.1	XP_038432511.1
OG0000135	XP_003940906.1	XP_038435217.1
OG0000136	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1	XP_038435284.1, XP_038435281.1, XP_038435283.1, XP_038435288.1, XP_038435286.1, XP_038435280.1, XP_038435287.1, XP_038435282.1, XP_038435285.1
OG0000137	XP_010338728.2	NP_001375442.1
OG0000137	XP_003929870.1	NP_001375491.1
OG0000138	XP_003923885.1	NP_001376043.1
OG0000138	XP_003923883.2	NP_001375774.1
OG0000139	XP_010344126.2	XP_038415419.1, XP_038415429.1, XP_038415424.1, XP_038415422.1, XP_038415427.1, XP_038415423.1, XP_038415426.1, XP_038415428.1, XP_038415420.1, XP_038415416.1, XP_038415421.1, XP_038415415.1, XP_038415417.1, XP_038415418.1, XP_038415425.1
OG0000142	XP_039317843.1	XP_038386907.1
OG0000143	XP_039324472.1	XP_038388519.1
OG0000143	XP_003941094.1	XP_038427721.1
OG0000144	XP_010342032.2	XP_038427434.1
OG0000145	XP_003922490.1	XP_038431963.1, XP_038431964.1, XP_038431969.1, XP_038431970.1, XP_038431968.1, XP_038431966.1, XP_038431967.1, XP_038431965.1
OG0000146	XP_003938814.1, XP_010347708.1, XP_010347707.1	XP_038435683.1, XP_038435682.1, XP_038435680.1, XP_038435681.1
OG0000147	XP_039316002.1, XP_003922597.1	NP_001243464.1, NP_001002945.2
OG0000148	XP_039318700.1	NP_001300743.1, NP_001375485.1
OG0000149	XP_039322050.1	XP_038384701.1
OG0000149	XP_003937990.1	XP_038442297.1
OG0000149	XP_039316778.1	NP_001376153.1
OG0000149	XP_039316042.1	XP_038442287.1
OG0000150	XP_003936326.2	XP_038394660.1
OG0000151	XP_003929394.1	XP_038404025.1, XP_038404026.1
OG0000151	XP_039332402.1	XP_038402080.1
OG0000156	XP_003944578.2	XP_038384591.1
OG0000156	XP_010330273.1, XP_010330274.1, XP_039322863.1	NP_001003331.1
OG0000157	XP_039335444.1, XP_039335445.1	XP_038428800.1, XP_038428799.1
OG0000157	XP_010345028.2	XP_038413304.1
OG0000157	XP_039326433.1, XP_039328448.1	XP_038394106.1
OG0000158	XP_039329410.1	XP_038410253.1
OG0000158	XP_010344317.2	XP_038442421.1
OG0000158	XP_039334913.1, XP_039334978.1	XP_038445525.1
OG0000160	XP_039319976.1	XP_038405468.1
OG0000160	XP_039323747.1	XP_038439966.1, XP_038437043.1
OG0000160	XP_039326908.1	XP_038406797.1, XP_038428267.1
OG0000160	XP_039319179.1, XP_039326032.1, XP_039327742.1, XP_039334578.1, XP_039323768.1	XP_038394772.1
OG0000160	XP_039317641.1, XP_039336179.1, XP_039335247.1	XP_038431354.1
OG0000160	XP_010336005.1	XP_038414942.1
OG0000160	XP_039326130.1, XP_039316915.1	XP_038407945.1
OG0000160	XP_039335786.1	XP_038445322.1
OG0000161	XP_003922654.1	XP_038417674.1
OG0000163	XP_010332913.2	NP_001003125.1
OG0000164	XP_039322625.1	XP_038435479.1, XP_038435480.1
OG0000164	XP_039328692.1, XP_039323908.1	XP_038383207.1
OG0000165	XP_039334862.1, XP_010347365.1, XP_010347361.1, XP_039334861.1, XP_010347362.1	XP_038385822.1
OG0000166	XP_003920764.1, XP_003920763.1	XP_038388120.1, XP_038388119.1, XP_038388116.1, XP_038388115.1, XP_038388117.1, XP_038388118.1
OG0000167	XP_039334403.1, XP_039334404.1, XP_039334405.1	XP_038396079.1, XP_038396071.1, XP_038396081.1, XP_038396080.1, XP_038396074.1, XP_038396077.1, XP_038396072.1, XP_038396076.1, XP_038396078.1, XP_038396075.1, XP_038396073.1
