Orthogroup	Saimiri_boliviensis_boliviensis	Homo_sapiens
OG0000000	XP_010346294.1	NP_001284548.1
OG0000000	XP_039321322.1	NP_001307595.1
OG0000000	XP_010346296.1	NP_001308846.1
OG0000000	XP_039323111.1	NP_848639.2
OG0000000	XP_010329288.1	NP_001005851.1, XP_005258647.1
OG0000000	XP_010329303.1	XP_005258830.1, NP_001136049.1, NP_001136050.1, NP_001010880.2
OG0000000	XP_039323028.1, XP_039323027.1	NP_116078.4
OG0000000	XP_003937462.1	NP_001166161.1
OG0000000	XP_039321949.1	NP_775819.1
OG0000000	XP_010330198.2	NP_001291263.1, NP_940944.1, NP_001091961.1, NP_001278673.1
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	NP_001308285.1
OG0000000	XP_010328112.1	NP_001336738.1
OG0000001	XP_003938840.1	NP_079243.1
OG0000001	XP_003941813.1	NP_660338.1
OG0000001	XP_003941806.1	NP_003428.1
OG0000001	XP_010327794.1	NP_660276.2
OG0000001	XP_010327790.1	XP_047294275.1
OG0000001	XP_010327793.1	XP_016882684.1, NP_001073873.2
OG0000001	XP_039322483.1	NP_066966.2
OG0000001	XP_010327802.1, XP_003941872.2	XP_005259787.1, NP_689569.2
OG0000001	XP_003941814.1	NP_001073962.1
OG0000001	XP_010327783.1	NP_001157748.1
OG0000001	XP_039322280.1	NP_110451.1
OG0000001	XP_003942369.1	NP_066358.2
OG0000001	XP_003941797.1	NP_065765.1
OG0000001	XP_003941798.2	NP_659413.1
OG0000001	XP_039322643.1	NP_699189.2
OG0000001	XP_039322614.1	NP_689814.1
OG0000001	XP_039321661.1	NP_001189337.1, NP_001189338.1, NP_001189341.1, NP_001189339.1, NP_001189340.1, NP_001189335.1, NP_115886.1, NP_001189336.1
OG0000002	XP_003941738.1	NP_001005190.1
OG0000002	XP_003941737.1	NP_112163.1
OG0000003	XP_039318518.1	NP_001368918.1
OG0000003	XP_003927313.1	NP_003513.1
OG0000003	XP_039318670.1	NP_003518.2
OG0000003	XP_010331015.1	NP_003515.1
OG0000003	XP_003942039.2	NP_001019770.1, NP_001154806.1
OG0000003	XP_003927328.1	NP_066406.1
OG0000003	XP_003944786.1	NP_003511.1
OG0000003	XP_010344148.1	NP_778225.1
OG0000003	XP_010328072.1	NP_003519.1
OG0000003	XP_003944864.1	NP_066402.2
OG0000004	XP_010336291.1	NP_066409.1
OG0000004	XP_039318562.1	NP_066408.1
OG0000004	XP_003927315.1	NP_003504.2, NP_066390.1
OG0000004	XP_003935360.1	NP_254280.1
OG0000004	XP_003927318.1	NP_003503.1
OG0000004	XP_003944860.1	NP_542163.1
OG0000004	XP_010331020.2	NP_066544.1
OG0000004	XP_003942031.1	NP_778235.1
OG0000004	XP_003934600.1	NP_808760.1
OG0000004	XP_003942032.1	NP_003508.1
OG0000004	XP_003927339.1	NP_734466.1
OG0000007	XP_039321715.1	NP_065684.1
OG0000007	XP_010330276.2	NP_776256.2
OG0000008	XP_003925271.2	NP_001269444.1
OG0000008	XP_010330062.1, XP_003943915.1	NP_001129745.1
OG0000008	XP_010348446.1	NP_001123370.1
OG0000008	XP_010348453.2	NP_001034980.1
OG0000008	XP_010343119.1, XP_010343120.1	NP_001191385.1, NP_066986.1
OG0000008	XP_003934299.1	NP_057349.2, NP_008887.2
OG0000008	XP_039334172.1	NP_001311180.1, XP_011517958.1, NP_003412.1, NP_001311179.1, NP_001311178.1, NP_001311177.1, NP_001311176.1, NP_001311175.1, NP_001311174.1, NP_001171572.1, NP_001007095.1
OG0000008	XP_003939553.1	NP_003437.2
OG0000008	XP_003936386.1	XP_016878441.1
OG0000009	XP_039322117.1, XP_039323153.1, XP_039323204.1, XP_039323205.1	NP_001229971.1, NP_002108.4, XP_054186779.1, NP_005505.2
OG0000009	XP_039323297.1, XP_039322063.1, XP_039318499.1, XP_039318502.1	XP_041536702.1, NP_002107.3, NP_001229687.1
OG0000009	XP_039323216.1, XP_039323349.1	NP_001350496.1, XP_054186575.1
OG0000009	XP_039322104.1, XP_039323189.1, XP_039323188.1, XP_010330939.2	XP_016866296.1, NP_005507.3
OG0000010	XP_003920483.3	NP_001005275.2
OG0000010	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2	NP_001005272.3
OG0000010	XP_003920130.2	NP_001005274.1
OG0000011	XP_039316464.1	NP_061992.3
OG0000011	XP_039327340.1	NP_061753.1
OG0000011	XP_039316746.1	NP_061763.1
OG0000011	XP_010340082.2	NP_061759.1
OG0000011	XP_039326277.1	NP_061757.1
OG0000011	XP_039328082.1	NP_061754.1
OG0000011	XP_039328036.1	NP_061755.1
OG0000011	XP_039316705.1	NP_061993.3
OG0000011	XP_039327835.1	NP_061756.1
OG0000011	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1	NP_066008.2
OG0000011	XP_039328029.1	NP_061761.1
OG0000011	XP_039326453.1	NP_001290074.1, NP_061762.2
OG0000011	XP_010340091.2	NP_056484.2
OG0000011	XP_010340171.2	NP_061758.1
OG0000012	XP_003924128.1	NP_775970.2
OG0000012	XP_003924126.1	NP_872312.2
OG0000012	XP_003924124.1	NP_001373794.1, XP_011543815.1, NP_002356.2
OG0000012	XP_010333145.2, XP_003924121.2	XP_011543814.1, NP_002355.2
OG0000012	XP_003924123.1	NP_002358.1
OG0000012	XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	NP_803134.1, NP_002354.2, NP_796379.1
OG0000012	XP_010334984.1	NP_001264236.1, XP_047298311.1
OG0000013	XP_003938964.1	NP_001001958.1
OG0000013	XP_010347905.2	NP_001005193.2
OG0000014	XP_003944066.2	NP_001277247.1
OG0000014	XP_039321716.1	NP_001019767.1
OG0000014	XP_003944453.2	NP_079109.2
OG0000014	XP_039322204.1	NP_003426.3
OG0000014	XP_003944064.3	NP_775902.2
OG0000014	XP_010330201.2	NP_001317546.1
OG0000014	XP_039322778.1	NP_001166244.1
OG0000014	XP_003944057.1	XP_047294519.1
OG0000014	XP_003944055.1	NP_060349.1
OG0000014	XP_003944052.3	NP_001010879.2
OG0000014	XP_003944450.2	NP_612356.2
OG0000014	XP_010330682.2, XP_010330643.2	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2
OG0000014	XP_010330639.1	NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1
OG0000014	XP_003944452.2	NP_116217.1, XP_047294178.1, NP_775903.3
OG0000014	XP_010330631.1	NP_005764.2
OG0000014	XP_039322199.1	NP_001252526.1
OG0000015	XP_003938968.2	XP_047294550.1
OG0000016	XP_003928173.1	NP_002168.1
OG0000016	XP_010337088.2	NP_002160.1
OG0000016	XP_003928167.1	NP_066282.1, NP_076918.1, NP_008831.3
OG0000016	XP_003928172.2	NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2
OG0000016	XP_003928166.1	NP_000596.2
OG0000016	XP_003928171.1, XP_003928170.2, XP_003928165.1	NP_002161.2
OG0000017	XP_039334162.1	NP_001357568.2
OG0000017	XP_010331339.1	NP_036495.1
OG0000018	XP_003931776.1	NP_002098.1, NP_001365976.1, NP_001365975.1, NP_001365972.1
OG0000018	XP_003942033.1	NP_066403.2
OG0000018	XP_039318517.1	NP_001368928.1, NP_003525.1, NP_003524.1, NP_001363866.1, NP_003520.1, NP_003523.1
OG0000019	XP_003935822.1	NP_001005326.1
OG0000020	XP_010330294.2	NP_001291386.2
OG0000020	XP_010330261.2	NP_001347096.1, NP_001307889.1
OG0000020	XP_010330262.2	NP_036408.4
OG0000020	XP_039322954.1, XP_039322950.1, XP_039323238.1, XP_039322687.1	XP_047294036.1, NP_001075106.2, NP_005865.3, NP_001265333.2
OG0000020	XP_003944118.2, XP_039322689.1, XP_039322688.1	NP_006854.1, NP_006856.3
OG0000021	XP_003935417.2	NP_001383035.1
OG0000022	XP_010336464.1	NP_061740.2
OG0000022	XP_039328169.1	NP_061737.1
OG0000022	XP_039328208.1	NP_003726.1
OG0000022	XP_010339946.2	NP_061742.1
OG0000022	XP_003920570.1	NP_061743.1
OG0000022	XP_010336450.2	NP_061744.1
OG0000022	XP_010336498.1	NP_114477.1
OG0000022	XP_010336445.2	NP_061736.1
OG0000022	XP_003920574.1	NP_061741.1
OG0000022	XP_010336467.2	NP_061735.1
OG0000022	XP_039328577.1	NP_061738.1
OG0000022	XP_039328684.1	NP_061739.2
OG0000023	XP_039322918.1	NP_001763.3, XP_011525833.1
OG0000023	XP_010330421.2	XP_047293947.1, NP_001092082.1
OG0000023	XP_039322035.1	NP_003821.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	NP_001164491.1, NP_689636.3, XP_011529158.1
OG0000027	XP_010334588.2	XP_047301630.1
OG0000027	XP_010348076.2	NP_116093.1
OG0000027	XP_039335895.1	NP_001290044.1, NP_001290045.1, NP_001290046.1
OG0000027	XP_039318403.1	NP_061816.1
OG0000027	XP_003939105.2	NP_079079.1
OG0000027	XP_039328209.1	NP_001257328.1
OG0000028	XP_003920201.3	NP_001005469.1
OG0000028	XP_003920200.1	NP_001005489.1
OG0000028	XP_003920202.2	NP_001005566.1
OG0000031	XP_010344198.2	NP_001004492.1
OG0000031	XP_003944778.3	NP_149046.2
OG0000031	XP_003944777.1	NP_036499.1
OG0000032	XP_039327657.1	NP_061733.1, NP_114063.1
OG0000033	XP_003931817.1	NP_006669.1, XP_016879522.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_005257047.1, NP_009192.2
OG0000033	XP_003931922.1	NP_001311002.1, NP_001392440.1
OG0000033	XP_003931923.1	NP_777552.3, XP_005257084.1
OG0000033	XP_010340761.1	XP_047291363.1, NP_620587.2, XP_047291002.1, NP_001108624.1
OG0000034	XP_003944973.2	NP_776257.1
OG0000035	XP_039318843.1	NP_001393411.1
OG0000035	XP_039320122.1	NP_001091.1
OG0000035	XP_003922471.1	NP_001135417.1
OG0000035	XP_039316629.1	NP_001092.1
OG0000035	XP_039331779.1	NP_001186883.1, NP_001605.1
OG0000035	XP_003925881.1	NP_001017992.1
OG0000036	XP_003922420.1	NP_000763.1
OG0000036	XP_003922417.1	NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3
OG0000036	XP_003922419.1	NP_000760.1, NP_000762.2
OG0000038	XP_039327428.1, XP_003920141.1	NP_001005202.1
OG0000039	XP_003927439.2	NP_821080.1
OG0000039	XP_039318609.1	NP_001060.1
OG0000039	XP_003944692.1	NP_821133.1
OG0000039	XP_039317243.1	NP_006079.1
OG0000039	XP_010347833.2	NP_001276052.1
OG0000039	XP_039315957.1	NP_006077.2
OG0000039	XP_003932683.1	XP_016883574.1, NP_110400.1
OG0000039	XP_039319462.1, XP_039319460.1	NP_001290453.1
OG0000040	XP_003927936.1	NP_001377778.1
OG0000041	XP_010335862.2, XP_003920143.2	NP_001004746.2
OG0000042	XP_010335516.2	NP_001290544.1, NP_473371.1
OG0000042	XP_003920450.1	NP_001380507.1, NP_671732.3, NP_473372.3, NP_001357393.1, NP_473373.2
OG0000043	XP_003920426.2, XP_003919855.1	NP_703145.1
OG0000044	XP_003942034.2	NP_001029249.1, NP_778224.1
OG0000044	XP_039318565.1	NP_003533.1
OG0000044	XP_003944781.1	NP_003535.1
OG0000045	XP_039331909.1	XP_011522172.1, NP_002461.2
OG0000045	XP_039332728.1	NP_003793.2
OG0000045	XP_039332730.1	NP_002463.2
OG0000045	XP_010338158.2	NP_060003.2, XP_016880165.1
OG0000046	XP_010328492.2	NP_001073.3
OG0000046	XP_003942293.2	NP_001186137.1, NP_001186138.1, NP_001356625.1, NP_000887.2
OG0000046	XP_010328414.2, XP_010328415.2, XP_003942294.2	NP_076433.3
OG0000046	XP_039322761.1, XP_010328491.2	NP_001122404.1, NP_067010.3
OG0000046	XP_039321667.1	XP_024307109.1, NP_009184.1, XP_016882661.1, XP_016882304.1
OG0000048	XP_010329363.1	NP_008821.2, NP_001278414.1, XP_016881688.1, NP_001349424.1, NP_001806.2, NP_001091976.3, XP_016882919.1
OG0000048	XP_010329409.2	XP_011525292.1, NP_002474.4, XP_011525508.1
OG0000048	XP_003943268.1	NP_001807.2, XP_011524642.1
OG0000048	XP_039323255.1, XP_039323254.1	XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1
OG0000048	XP_010329364.2	XP_016881634.1, NP_001278413.1
OG0000048	XP_003943259.1	NP_001703.2
OG0000049	XP_003924537.2, XP_010333524.2	NP_003804.2
OG0000049	XP_003924539.3	NP_003805.4, XP_005268208.1
OG0000049	XP_039324393.1, XP_039324392.1	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1
OG0000050	XP_003945067.2	NP_001004452.1
OG0000051	XP_039329306.1	NP_001836.3
OG0000051	XP_003925510.1	XP_005246334.1, NP_000082.2
OG0000051	XP_003928297.2	NP_001837.2
OG0000051	XP_039320049.1	NP_001274687.1, XP_006724680.1
OG0000051	XP_039325459.1	XP_005246338.1, NP_000083.3
OG0000051	XP_010344666.1	XP_011529151.2, NP_203699.1
OG0000052	XP_039319167.1	NP_085144.1, XP_011528694.1
OG0000052	XP_039319076.1, XP_039319077.1	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1
OG0000052	XP_010341812.2	NP_663615.1, XP_047297460.1, NP_663693.1
OG0000054	XP_010346811.2	NP_001358691.1, XP_047289901.1
OG0000054	XP_039315844.1	NP_001307581.1, NP_001754.2
OG0000054	XP_039315845.1	NP_001756.2, XP_005245636.1
OG0000054	XP_003937935.2	NP_001755.1, XP_011508421.1
OG0000055	XP_003919856.1	NP_703146.1
OG0000057	XP_039325467.1	XP_047302368.1
OG0000057	XP_039325466.1	NP_009168.4
OG0000057	XP_039325468.1	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3
OG0000057	XP_039325470.1	NP_001073860.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2
OG0000059	XP_010331293.1	NP_001005482.2
OG0000059	XP_039333543.1	NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2
OG0000060	XP_010334009.1	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1
OG0000061	XP_003941474.2	NP_001380590.1
OG0000062	XP_039318532.1, XP_010336326.2	NP_000323.2
OG0000063	XP_039324680.1	NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1
OG0000063	XP_003924508.1	NP_001335473.1
OG0000063	XP_039324679.1	NP_001335478.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	NP_000063.2
OG0000065	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1	NP_000983.1
OG0000066	XP_039322182.1, XP_039330999.1, XP_039329409.1, XP_039331971.1, XP_039336262.1, XP_039325713.1, XP_039335034.1, XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1, XP_039327391.1, XP_010333813.1, XP_039328754.1, XP_039330485.1, XP_039323678.1, XP_039325300.1, XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1, XP_039330262.1, XP_039329388.1	NP_000973.2
OG0000067	XP_039320219.1	NP_001004136.1, NP_001001827.1
OG0000067	XP_003935341.2	NP_001004694.2, NP_001004697.1, NP_001004696.2, NP_001004693.1
OG0000068	XP_003920213.2	NP_001004729.1
OG0000069	XP_039316972.1	XP_011542667.1, NP_009188.1
OG0000069	XP_010329563.1	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1
OG0000069	XP_003943448.2	NP_116271.3
OG0000069	XP_039319973.1	NP_037496.4
OG0000069	XP_003924565.1	NP_006020.4
OG0000069	XP_003939886.1, XP_010348853.1	NP_071434.2
OG0000070	XP_010337017.1	NP_001338403.1, NP_001338402.1, NP_001338401.1, NP_001338405.1, NP_001372632.1, NP_001338404.1, NP_004423.2, NP_001338396.1, NP_001338397.1, NP_001338398.1, NP_001338399.1, NP_001338400.1, NP_001372631.1, NP_001372634.1, NP_001372625.1
OG0000070	XP_010347594.1	XP_011539191.1
OG0000071	XP_003943374.2	NP_003632.4
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	NP_066362.2, NP_006426.2
OG0000072	XP_003922405.1	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1
OG0000074	XP_003923468.1	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1
OG0000074	XP_039327198.1, XP_039327202.1, XP_039327201.1, XP_039327199.1, XP_039327203.1, XP_039327204.1, XP_039327200.1	NP_000795.2
OG0000074	XP_010332594.1, XP_003923466.1	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1
OG0000075	XP_003943457.1, XP_010329571.1	NP_066386.3, NP_001238757.2, NP_001011543.3
OG0000076	XP_010336477.2	NP_003727.1
OG0000076	XP_010336475.1	NP_061748.1
OG0000076	XP_010336456.1	NP_061750.1
OG0000076	XP_039328402.1	NP_061749.1
OG0000076	XP_010336460.1	NP_061747.2
OG0000076	XP_003920575.2	NP_061745.1
OG0000076	XP_003920580.2	NP_061746.1
OG0000077	XP_003921883.1, XP_039327768.1	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1
OG0000077	XP_039330530.1	NP_001376249.1, NP_001011724.1, NP_001011725.1
OG0000077	XP_039325523.1, XP_039323679.1, XP_003920400.2, XP_010336389.1	NP_002127.1, NP_001383170.1
OG0000077	XP_039328044.1	NP_112420.1
OG0000078	XP_010335563.1	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1
OG0000080	XP_039326925.1, XP_039326924.1	NP_945185.1, NP_001136176.1, NP_001136175.1
OG0000080	XP_010333275.1, XP_010333278.2	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1
OG0000081	XP_039318415.1	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1
OG0000081	XP_039330004.1, XP_039323272.1, XP_039330005.1	NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2
OG0000081	XP_039330500.1	XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2
OG0000082	XP_003927606.2	NP_941968.2
OG0000082	XP_039336381.1, XP_010336666.2, XP_010336667.2	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2
OG0000083	XP_003944264.1	NP_001308252.1
OG0000083	XP_003944271.2	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1
OG0000083	XP_039323029.1	NP_001026891.2
OG0000083	XP_003944266.1	NP_079316.2
OG0000083	XP_039322867.1, XP_039322866.1	XP_016882583.1, NP_067645.3
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1
OG0000086	XP_010333042.1	XP_047282487.1
OG0000086	XP_003920167.1	NP_001350416.1
OG0000086	XP_039318297.1	XP_047297311.1, NP_037445.1
OG0000086	XP_003929141.1, XP_039332666.1	XP_016880110.1
OG0000087	XP_010336636.2	NP_853653.1
OG0000087	XP_003927726.3	NP_853631.1
OG0000087	XP_003927728.1, XP_003927727.1	NP_853630.2, NP_853652.1
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1
OG0000089	XP_003920486.2	NP_001001960.1
OG0000090	XP_010329648.1	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1
OG0000093	XP_010329932.1	NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1
OG0000095	XP_039331824.1	NP_116324.2
OG0000095	XP_010329684.2	NP_005945.1
OG0000095	XP_039330621.1	NP_001263616.1
OG0000095	XP_010328624.1	XP_047293202.1
OG0000095	XP_003943507.1	NP_005940.1, NP_005944.1
OG0000095	XP_003943511.1	NP_005943.1
