Orthogroup	Saimiri_boliviensis_boliviensis	Rattus_norvegicus
OG0000017	XP_039334162.1	NP_999990.1, NP_001006598.1, NP_001403703.1, NP_775455.1, NP_999987.1, NP_999989.1, NP_001000494.1, XP_038942452.1, NP_001000980.1, NP_001000529.2, NP_999988.1, NP_001000858.1, NP_999995.1, NP_001000979.1, NP_001000857.1, XP_063124604.1, NP_999996.1, XP_063124601.1, NP_999992.1, NP_999993.1, XP_063124602.1, NP_001000523.1, NP_999994.1, NP_001000978.1, XP_017452546.1, NP_999991.1
OG0000017	XP_039331397.1	NP_001000038.1, NP_001001098.1
OG0000017	XP_010331339.1	NP_001000387.1, NP_064491.1
OG0000018	XP_003931776.1	NP_001389155.1, NP_001389154.1
OG0000018	XP_003942033.1	XP_063133017.1
OG0000018	XP_010331010.1	NP_001395694.1
OG0000018	XP_039318517.1	NP_001395691.1
OG0000018	XP_039324008.1, XP_010350016.2	XP_063118698.1
OG0000019	XP_003935823.1	NP_001000604.1
OG0000019	XP_003935822.1	NP_001000601.1, NP_001000376.1
OG0000020	XP_010330294.2, XP_010330261.2, XP_010330262.2, XP_039322954.1, XP_039322950.1, XP_039323238.1, XP_039322687.1, XP_003944118.2, XP_039322689.1, XP_039322688.1	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1, NP_001300853.1, XP_001076302.3, NP_113901.2, XP_038956583.1, XP_038956575.1
OG0000022	XP_010336464.1	XP_008770293.3
OG0000022	XP_039328169.1	NP_001032230.1
OG0000022	XP_039328208.1	NP_001032414.1
OG0000022	XP_010339946.2	XP_038953329.1
OG0000022	XP_003920570.1	NP_001014773.1
OG0000022	XP_010336450.2	NP_001032235.1
OG0000022	XP_010336498.1	NP_001032233.1
OG0000022	XP_010336445.2	NP_001032212.1
OG0000022	XP_003920574.1	NP_001032214.1
OG0000022	XP_010336467.2	NP_001032217.1
OG0000022	XP_039328577.1	NP_001032216.1
OG0000022	XP_039328684.1	NP_001032231.1
OG0000023	XP_039322918.1	XP_017445590.1, NP_001388743.1
OG0000024	XP_003923612.1	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2, NP_001000792.1, XP_017451293.1, NP_001001087.2, NP_001000471.1, NP_001000596.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	XP_006257363.1, NP_001102791.1
OG0000027	XP_010334588.2	NP_001007005.1, XP_063123300.1
OG0000027	XP_010348076.2	NP_001011995.1
OG0000027	XP_039335895.1	XP_063119450.1
OG0000027	XP_039318403.1	NP_001019510.1
OG0000027	XP_003939105.2	NP_001099588.1, XP_063132306.1
OG0000027	XP_039328209.1	NP_071634.1
OG0000027	XP_010348074.2	NP_001037735.1
OG0000028	XP_003920201.3	XP_063126169.1, NP_001000756.1, NP_001001019.1, XP_003749122.1, NP_001000754.1, NP_001000758.1, XP_038952475.1, NP_001000556.1, NP_001396078.1
OG0000028	XP_003920501.1	NP_001000252.1, NP_001396075.1
OG0000028	XP_003920200.1	XP_003749125.1
OG0000028	XP_003920202.2	NP_001000255.1
OG0000031	XP_010344198.2	NP_001001097.1
OG0000031	XP_003944778.3	NP_068632.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_038942584.1, NP_001192277.1
OG0000033	XP_003931923.1	NP_001161136.1
OG0000033	XP_010340761.1	XP_017452644.1, NP_001020282.1
OG0000034	XP_003944973.2	XP_038964991.1, NP_001009515.1, XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1, XP_038964452.1, NP_001009531.1, NP_001009519.1, NP_001009523.1, XP_038964987.1, NP_001395783.1, NP_001008970.1, XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1, XP_038964442.1, NP_001008906.1, XP_038964435.1, NP_001008912.2, NP_001009513.1, NP_001009521.1, NP_001009520.1, NP_001009518.2
OG0000035	XP_039318843.1	NP_062056.1
OG0000035	XP_039320122.1	NP_062085.1
OG0000035	XP_003922471.1	NP_112266.1
OG0000035	XP_039316629.1	NP_112406.1
OG0000035	XP_039331779.1	NP_001396275.1, NP_001120921.1
OG0000035	XP_010349143.2	XP_063133716.1, XP_063133717.1, XP_063133715.1
OG0000035	XP_003925881.1	NP_001099879.1
OG0000036	XP_003922420.1	NP_001406456.1, NP_001258283.1, XP_008758586.2, NP_062057.2
OG0000036	XP_003922415.1	NP_612521.2, XP_038946459.1
OG0000038	XP_039327428.1, XP_003920141.1	XP_038961558.1, NP_001000677.1, NP_001000931.1, NP_001000682.1, XP_063140372.1
OG0000039	XP_003927439.2	NP_001013908.2
OG0000039	XP_039318609.1	NP_001102589.1
OG0000039	XP_003944692.1	NP_775125.1
OG0000039	XP_039317243.1	NP_954525.2
OG0000039	XP_010347833.2	NP_543158.1
OG0000039	XP_039315957.1	NP_640347.2
OG0000039	XP_003932683.1	XP_003749686.1
OG0000039	XP_039319462.1, XP_039319460.1	NP_001020846.1
OG0000040	XP_039328176.1	NP_001000423.1
OG0000041	XP_010335862.2, XP_003920143.2	NP_001000312.1, NP_001000673.1, NP_001000316.1, NP_001000930.1
OG0000042	XP_010335516.2	NP_001395703.1, XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1, NP_001002284.1, NP_001002287.1
OG0000042	XP_003920450.1	XP_038957465.1, NP_665730.2, NP_750845.3
OG0000043	XP_003920426.2, XP_003919855.1, XP_010335361.2	NP_001000221.1, NP_001001038.1, NP_001000218.1, NP_001000220.1, NP_001001037.1, NP_001000222.1, NP_001000947.2, XP_063136785.1, NP_001000219.1, NP_001389380.1, NP_001000228.1, NP_001000999.1, NP_001000229.1, NP_001395731.1, NP_001000227.1, NP_001000230.1, NP_001000210.1, XP_063136786.1, NP_001000732.1, NP_001000733.1, NP_001000226.1, NP_001000730.1, XP_063141804.1, NP_001000214.1, NP_001000217.1
OG0000044	XP_003942034.2, XP_010343416.1	NP_001395688.1
OG0000044	XP_003944781.1	NP_073177.1
OG0000045	XP_039331909.1	NP_036736.1
OG0000045	XP_039332728.1	NP_001414391.1
OG0000045	XP_039332730.1	NP_001093955.1
OG0000045	XP_003929291.1, XP_003929292.1	NP_001128629.1, XP_038942828.1
OG0000045	XP_010338158.2	NP_062198.1
OG0000046	XP_010331142.2	XP_006241147.1, NP_001178915.1, XP_006241111.1, NP_695230.1, XP_038934451.1, NP_775147.1
OG0000048	XP_010329363.1	NP_775461.1, XP_008757255.3, NP_446371.1
OG0000048	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1	NP_001029032.1, XP_063131131.1
OG0000049	XP_003924537.2, XP_010333524.2, XP_039323980.1	XP_008763105.3
OG0000050	XP_003945067.2	NP_001000826.1
OG0000051	XP_039329306.1	NP_001128481.1
OG0000051	XP_003925510.1	NP_001400917.1, XP_038939825.1
OG0000051	XP_003928297.2	NP_001414185.1
OG0000051	XP_039320049.1	NP_001414189.1
OG0000051	XP_039325459.1	NP_001008333.1
OG0000051	XP_010344666.1	XP_006257375.1, NP_001413925.1
OG0000052	XP_039319076.1, XP_039319077.1, XP_010341812.2	XP_038935180.1, NP_001013193.1, NP_001264288.1, XP_008763864.1, NP_001020237.1, XP_006242004.3, XP_006241996.1, NP_001128273.1, NP_001413816.1
OG0000054	XP_010346811.2	NP_058775.1
OG0000055	XP_003919853.2	NP_001000216.1
OG0000055	XP_003919854.1	NP_001000213.1, NP_001395676.1, NP_001000734.1, NP_001000946.2
OG0000055	XP_003919856.1	NP_001396077.1
OG0000057	XP_039325467.1, XP_039325466.1	XP_038939642.1, NP_001012133.1
OG0000057	XP_039325468.1	NP_001029309.1, XP_038939329.1
OG0000057	XP_039325470.1	XP_038939826.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	XP_038936592.1, NP_446149.1
OG0000059	XP_010331293.1, XP_039333543.1	XP_038944129.1, NP_001001353.1, NP_001001383.1, NP_001000945.1, NP_001000728.1, NP_001001107.1, NP_001001106.1, NP_001001105.1, NP_001000052.1, NP_001001108.1, NP_001000727.1, XP_006248260.1, NP_001000050.1, NP_001000726.1, NP_001000051.1
OG0000060	XP_010334009.1	NP_001013176.1, XP_017446356.1
OG0000061	XP_003941474.2	XP_063139535.1, NP_001100030.1
OG0000062	XP_039318532.1, XP_010336326.2	NP_036858.1, XP_038951279.1
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	XP_017449802.1, NP_001102829.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	XP_063142970.1, XP_063142969.1, XP_063142968.1, XP_063142974.1, XP_063142975.1, XP_063142972.1, XP_063142971.1, XP_063142977.1, XP_063142976.1, NP_001102688.2, XP_038963118.1, NP_113749.2
OG0000065	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1	XP_063140945.1, XP_038954170.1, XP_038959876.1, XP_038959875.1, XP_063121080.1, XP_038940443.1, NP_058846.1, XP_063134734.1, XP_038934116.1, XP_038938814.1, XP_063136523.1, XP_063117353.1, XP_017445942.1, XP_008770154.1, XP_063128735.1, XP_063132082.1, XP_006253964.4, XP_038943781.1, XP_063142891.1, XP_038936551.1, XP_063127919.1
OG0000066	XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1	XP_063126203.1, XP_038959284.1, XP_063123871.1, XP_038969229.1, XP_038959993.1, XP_063122447.1, XP_038957233.1
OG0000066	XP_039327391.1	NP_001395925.1, XP_063136502.1, NP_445782.2, XP_063128738.1, XP_063124197.1, XP_063123883.1, XP_063138904.1, XP_063138751.1, XP_038951085.1, XP_063136506.1
OG0000066	XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1	XP_063122472.1, XP_063138762.1
OG0000067	XP_039320219.1	NP_001000088.1
OG0000067	XP_003935341.2	XP_063125626.1, NP_001000779.1, NP_001000010.1, NP_001000011.1, NP_001001002.1, XP_063125633.1, NP_001000009.1, XP_063124669.1, NP_001000008.1, NP_001000007.1, XP_008765971.1, NP_001000006.1, NP_001000780.1
OG0000069	XP_039316972.1	XP_038949265.1, NP_001100742.1
OG0000069	XP_010329563.1	NP_001101049.1
OG0000069	XP_039319973.1	NP_001099812.1, XP_006229575.1
OG0000069	XP_003924565.1	NP_570833.1
OG0000069	XP_003939886.1, XP_010348853.1	NP_001013119.1
OG0000070	XP_010347594.1	NP_001071119.2
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	NP_001099784.1, XP_006230592.1, XP_221637.1, NP_001129596.1, NP_110460.1
OG0000072	XP_003922405.1	NP_001025209.1, XP_006231459.1
OG0000074	XP_003923468.1	XP_006229920.1, NP_001099753.1
OG0000074	XP_010332594.1, XP_003923466.1	NP_598211.2, XP_063129363.1
OG0000075	XP_010349790.1	XP_038955607.1, NP_001013984.1
OG0000075	XP_003943457.1, XP_010329571.1	NP_001395765.1
OG0000076	XP_010336471.1	NP_001032236.1
OG0000076	XP_010336456.1	NP_001012215.1
OG0000077	XP_003921883.1, XP_039327768.1	XP_063140201.1, NP_937765.1, NP_001104764.1
OG0000077	XP_039328044.1	NP_001386203.1
OG0000078	XP_010335563.1	NP_058998.2, XP_006241494.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	XP_006246244.1, NP_110488.1
OG0000080	XP_010333275.1, XP_010333278.2	XP_038943840.1, NP_001102633.1, XP_006231188.3
OG0000081	XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1	XP_006239408.1
OG0000082	XP_039336381.1, XP_010336666.2, XP_010336667.2	NP_001103063.1, NP_001103065.1, XP_063135601.1
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	XP_006232040.1, NP_001414786.1
OG0000086	XP_010333042.1, XP_003920167.1	XP_038961655.1, NP_001019540.1
OG0000086	XP_039318297.1	NP_001413918.1, XP_008767150.1
OG0000086	XP_003929141.1	NP_001101756.2
OG0000087	XP_003927726.3, XP_003927728.1, XP_003927727.1	XP_006248179.1, XP_008766842.1, XP_003751068.2, XP_002727899.3, NP_001102795.1, NP_001395738.1, NP_001395798.1, XP_002727896.1
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	XP_006248190.1, NP_579855.1
OG0000089	XP_003920486.2	NP_001000331.1, NP_001000332.1, NP_001000661.1, NP_001000659.1, NP_001000568.1, NP_001000326.1, NP_001000328.1, NP_001000654.1, NP_001001056.1, NP_001000327.1, NP_001000664.1, NP_001000658.1
OG0000090	XP_010329648.1	NP_689448.2, XP_063133896.1
OG0000092	XP_010335799.2	XP_063141273.1
OG0000093	XP_010329932.1	NP_001007148.1, XP_006249003.1
OG0000095	XP_039331824.1	NP_001119556.1
OG0000095	XP_010329684.2	NP_446420.1
OG0000095	XP_003943509.1, XP_003943507.1	NP_620181.1
OG0000096	XP_010335039.2	NP_001099418.1
OG0000096	XP_039318544.1	XP_006253937.2, XP_006253935.2, NP_001012214.1, XP_038951899.1, NP_001381956.1, NP_001381955.1, NP_954516.1, XP_006253933.1
OG0000099	XP_039335344.1	NP_037148.3, XP_006235014.1
OG0000100	XP_039330326.1	XP_006239579.1
OG0000100	XP_003934223.1, XP_010343016.1	XP_038945727.1, NP_112299.1
OG0000101	XP_010349156.1, XP_003940188.1	NP_001014041.1, XP_006257281.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	NP_775417.1, XP_003751392.1, NP_001178605.1
OG0000103	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1	NP_001094046.1, XP_038951702.1, NP_001129216.1, NP_001163813.1, XP_006254252.1, NP_001014262.3, XP_063132767.1, NP_001157868.1, NP_612519.1, NP_612556.1, NP_001028869.1, XP_006254250.1, XP_006254245.1, NP_001013075.1
OG0000103	XP_003939122.1	NP_001103370.1, XP_063132700.1
OG0000104	XP_003943324.2, XP_010329420.2, XP_039330409.1	NP_001292190.1, XP_006233486.1, XP_038959792.1, NP_001396037.1
OG0000104	XP_039330507.1, XP_003943302.2	XP_006250671.3
OG0000105	XP_039318127.1, XP_039318128.1	NP_001380791.1, XP_063121754.1
OG0000106	XP_003930828.1	XP_006251278.1
OG0000106	XP_003930132.1	NP_036737.1, XP_038953516.1
OG0000106	XP_003932297.1	NP_001030329.2
OG0000106	XP_003934194.1	XP_038945819.1
OG0000107	XP_010332917.2	NP_001000282.1, NP_001000284.1, NP_001000283.1
OG0000108	XP_010345593.1, XP_039325580.1	XP_038938891.1, NP_476489.1
OG0000109	XP_010329964.2	NP_001000414.1
OG0000109	XP_003943899.2	NP_001000897.1
OG0000110	XP_003929179.1	XP_006246738.1, NP_058885.1
OG0000110	XP_003929189.1, XP_039331915.1	NP_036635.1, XP_006246641.1
OG0000110	XP_039332486.1	NP_071788.2, XP_008766090.1
OG0000111	XP_039317041.1, XP_039317022.1	XP_038953764.1, XP_038953777.1, XP_038953753.1, XP_038952348.1, XP_038952346.2
OG0000113	XP_003944326.2, XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1	XP_063136324.1, XP_017446718.1, NP_001395797.1, NP_001388119.1, XP_038955979.1, NP_001316085.1
OG0000114	XP_003925650.1	NP_001103345.1
OG0000114	XP_039325923.1	NP_149086.1, XP_063122697.1
OG0000114	XP_039325966.1, XP_039325453.1	XP_038940147.1, NP_001103027.1, NP_775411.1
OG0000114	XP_003925648.1	NP_001074405.1
OG0000114	XP_003925649.1	NP_264077.1
OG0000115	XP_010348067.1, XP_003939159.1	XP_017450124.1
OG0000115	XP_039320196.1	XP_063125885.1, NP_071963.1, NP_001400967.1, NP_001400966.1
OG0000116	XP_010338411.1	XP_006233397.1
OG0000116	XP_039324253.1	NP_001380701.1
OG0000116	XP_003928756.1	NP_001102000.1, XP_017457176.2
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	NP_001300749.1, XP_006257769.1
OG0000119	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1	NP_001032362.1, NP_071792.1, NP_001032363.1, XP_017448364.1, NP_001032364.1
OG0000120	XP_003934288.1	NP_001386724.1
OG0000121	XP_010344410.1, XP_039317051.1	XP_006253089.1, NP_001100779.1
OG0000122	XP_003937411.2	XP_006228852.1, NP_076454.1
OG0000122	XP_039323537.1, XP_003942212.1, XP_010328314.1, XP_039321049.1, XP_039318995.1, XP_039329947.1, XP_039320981.1, XP_039327395.1, XP_039335777.1, XP_039330610.1, XP_039320737.1	XP_017455915.3, XP_063126092.1, XP_063138853.1
OG0000123	XP_003933125.2	XP_003750902.1
OG0000124	XP_039331406.1, XP_010334463.2	XP_006257023.1, NP_036793.2
OG0000124	XP_039331473.1	XP_006232343.1, NP_001041350.1
OG0000125	XP_003942839.2	XP_063125646.1, NP_001382688.1
OG0000125	XP_039332456.1, XP_039332455.1, XP_010328942.2	NP_001008757.1, NP_001008819.1, XP_063125644.1, NP_001008817.2
OG0000125	XP_003942837.1	NP_001008758.1
OG0000127	XP_010338390.1, XP_003929523.1	XP_006233373.1, NP_001014065.1
OG0000128	XP_003927334.1	NP_705886.1, XP_006254003.1
OG0000128	XP_003927335.1	NP_598238.2
OG0000128	XP_003945327.2, XP_010336299.1	NP_001100823.1, XP_038951630.1
OG0000128	XP_003927336.1	XP_008769880.1, NP_001258143.1
OG0000129	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1	NP_001010921.1, XP_017451300.1, XP_038936725.1, NP_058709.2
OG0000130	XP_003923414.2	NP_001000153.1, NP_001001273.1
OG0000131	XP_003919834.1, XP_003919833.1	NP_001000551.1, NP_001000195.1, NP_001000199.1, NP_001000736.1, NP_001000194.1, NP_001000197.1, NP_001001018.1, NP_001000192.1, NP_001000193.1, NP_001000191.1, NP_001000198.1
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	NP_077051.1, XP_038965791.1
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	NP_001008339.2, XP_038947738.1
OG0000134	XP_039317575.1	XP_006237389.1
OG0000135	XP_003940906.1	XP_008761712.1, NP_695222.2
OG0000136	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1	NP_001019512.1, XP_006237901.1
OG0000137	XP_010338728.2	NP_001000847.1
OG0000137	XP_003929870.1	NP_001102817.1
OG0000138	XP_003923429.1	NP_001000133.1, XP_063125346.1, NP_001001279.1
OG0000139	XP_010344126.2	NP_001007670.1, XP_006246451.1
OG0000142	XP_039317843.1	NP_001014036.1, XP_006255172.1
OG0000143	XP_010331145.1	NP_112379.1
OG0000143	XP_003941094.1	NP_599185.1
OG0000144	XP_010342032.2	NP_001019484.2, XP_063140456.1
OG0000145	XP_003922490.1	XP_038936909.1, NP_852051.2
OG0000146	XP_003938814.1, XP_010347708.1, XP_010347707.1	NP_001395740.1, XP_038966867.1, XP_038966864.1, XP_063117331.1, XP_038966866.1, XP_038966865.1
OG0000147	XP_003922600.1, XP_003922604.1, XP_003922602.1	NP_036773.1
OG0000147	XP_039316002.1, XP_003922597.1	NP_445741.1, NP_742074.2, NP_001139318.1, NP_775120.1
OG0000149	XP_039322050.1	NP_036638.1, XP_017444264.1
OG0000149	XP_003937990.1	NP_036637.1
OG0000149	XP_039316778.1	NP_036636.1
OG0000149	XP_039316042.1	XP_017454251.1, NP_001257959.1, NP_074039.1
OG0000150	XP_003936326.2	NP_001037723.1, NP_001093947.1, XP_038954018.1, XP_038953911.1, NP_001177309.1, XP_008758816.2, NP_001094469.1, NP_001177298.1, NP_598270.2, XP_006255510.1, NP_001099645.1, XP_038954070.1
OG0000151	XP_003929394.1	XP_003750921.1
OG0000151	XP_039332402.1	XP_220775.3, XP_063126200.1
OG0000151	XP_010337959.2	NP_001013992.1, XP_006247060.1
OG0000152	XP_010327970.2, XP_010327971.2	NP_001395843.1
OG0000157	XP_039335445.1	XP_063139179.1, NP_036792.2
OG0000157	XP_010345028.2, XP_039324567.1, XP_003926376.2, XP_010347515.2, XP_039334905.1, XP_039326433.1, XP_039328448.1, XP_039324106.1, XP_039329265.1, XP_039327213.1, XP_039327413.1, XP_039318778.1, XP_039320425.1	NP_787032.1, XP_038936676.1, XP_038956056.1
OG0000158	XP_039324854.1	NP_001263406.1
OG0000158	XP_010344317.2	NP_446049.1, XP_038940257.1
OG0000158	XP_039334913.1, XP_039334978.1	XP_038938816.2, XP_063136503.1, XP_003751319.1
OG0000160	XP_010336005.1	NP_001182400.1
OG0000160	XP_039317010.1	NP_037007.1
OG0000161	XP_003922654.1	NP_543159.1, NP_067700.2, NP_598242.1, XP_008761327.1, NP_072157.1, XP_063141453.1, NP_543160.1, NP_001166920.1, XP_006236861.1, XP_006236880.1
OG0000163	XP_039327086.1, XP_010332914.2	NP_446188.2, XP_063120843.1
OG0000163	XP_010332913.2	XP_063143077.1, NP_036894.3, XP_063121014.1
