Orthogroup	Saimiri_boliviensis_boliviensis	Echinops_telfairi
OG0000057	XP_039325468.1	XP_045152239.1
OG0000057	XP_039325470.1	XP_045152873.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	XP_004715220.1
OG0000060	XP_010334009.1	XP_012862321.2
OG0000061	XP_003941474.2	XP_045145283.1
OG0000062	XP_039318532.1, XP_010336326.2	XP_004715350.1
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1
OG0000065	XP_039319995.1	XP_012859413.1, XP_012859674.1, XP_012859279.1
OG0000066	XP_039331971.1, XP_039336262.1, XP_039325713.1	XP_004706464.1
OG0000066	XP_010333813.1, XP_039328754.1, XP_039330485.1, XP_039323678.1, XP_039325300.1, XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1, XP_039330262.1	XP_045144912.1
OG0000067	XP_039320219.1	XP_004697275.1
OG0000067	XP_003935341.2	XP_012861343.1, XP_004697249.1
OG0000069	XP_039316972.1	XP_004707765.1
OG0000069	XP_010329563.1	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1
OG0000069	XP_003943448.2	XP_004715688.1
OG0000069	XP_039319973.1	XP_004715687.1
OG0000069	XP_003924565.1	XP_004698759.1
OG0000069	XP_003939886.1, XP_010348853.1	XP_004698825.1
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	XP_045140953.1, XP_012863904.1
OG0000072	XP_003922405.1	XP_004701095.1, XP_045147551.1
OG0000074	XP_003923468.1	XP_004708970.1
OG0000074	XP_039327198.1, XP_039327202.1, XP_039327201.1, XP_039327199.1, XP_039327203.1, XP_039327204.1, XP_039327200.1	XP_012861662.1
OG0000075	XP_010349790.1	XP_012859131.1, XP_045144281.1
OG0000075	XP_003943457.1, XP_010329571.1	XP_004715682.1
OG0000076	XP_010336471.1	XP_045140664.1
OG0000076	XP_010336460.1	XP_012860147.2
OG0000076	XP_003920575.2	XP_004697101.1
OG0000076	XP_003920580.2	XP_045140667.1
OG0000077	XP_003921883.1, XP_039327768.1	XP_004701504.1
OG0000077	XP_039331839.1, XP_039331441.1, XP_039330530.1, XP_039335559.1, XP_039320360.1, XP_039330546.1, XP_039335298.1, XP_039325523.1, XP_039323679.1, XP_003920400.2, XP_010336389.1, XP_010344899.1, XP_003935149.2, XP_039325049.1, XP_039323388.1, XP_003933170.2, XP_039328044.1	XP_004716948.1
OG0000078	XP_010335563.1	XP_045144918.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	XP_045140817.1, XP_004696894.1, XP_045140816.1
OG0000080	XP_039326925.1, XP_039326924.1, XP_010333275.1, XP_010333278.2	XP_030743379.1
OG0000081	XP_039318415.1, XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1
OG0000082	XP_003927606.2	XP_030744575.2
OG0000082	XP_039336381.1, XP_010336666.2, XP_010336667.2	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1
OG0000083	XP_003944271.2	XP_045148499.1
OG0000083	XP_003944266.1	XP_045148500.1
OG0000083	XP_039322867.1, XP_039322866.1	XP_045148495.1
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	XP_045141025.1, XP_045141026.1, XP_004703689.1
OG0000086	XP_010333042.1, XP_003920167.1	XP_004714964.1
OG0000086	XP_039318297.1	XP_045154464.1
OG0000086	XP_039332665.1, XP_003929141.1, XP_039332666.1	XP_004707070.1
OG0000087	XP_010336636.2	XP_004713161.1
OG0000087	XP_003927726.3, XP_003927728.1, XP_003927727.1	XP_004713160.1, XP_030744700.1, XP_004713170.2
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	XP_045140349.1, XP_045140348.1, XP_045140350.1
OG0000089	XP_003920486.2	XP_004708559.1, XP_004708552.1, XP_004708556.1
OG0000090	XP_010329648.1	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1
OG0000092	XP_010335799.2	XP_004708548.1
OG0000095	XP_039331824.1	XP_004711944.1
OG0000095	XP_010329684.2	XP_045148615.1, XP_045150606.1
OG0000095	XP_039330621.1	XP_004716160.1, XP_045149814.1, XP_004697643.1
OG0000095	XP_010328624.1	XP_004717327.1
OG0000095	XP_003943511.1	XP_045151807.1
OG0000096	XP_010335039.2	XP_004703093.1
OG0000096	XP_039318544.1	XP_004700028.1
OG0000099	XP_039335344.1	XP_045151127.1
OG0000100	XP_039330331.1, XP_039330330.1, XP_039330328.1, XP_039330333.1, XP_039330334.1, XP_039330335.1, XP_039330332.1, XP_039330329.1, XP_039330327.1, XP_039330326.1	XP_004705273.1
OG0000100	XP_003934223.1, XP_010343016.1	XP_004705657.1
OG0000101	XP_010349156.1, XP_003940188.1	XP_045146523.1, XP_045146524.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	XP_004703229.1
OG0000103	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1	XP_045151822.1, XP_004710333.1
OG0000104	XP_003943324.2, XP_010329420.2, XP_039330409.1	XP_045147911.1, XP_004699643.1
OG0000105	XP_039318127.1, XP_039318128.1	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1
OG0000106	XP_003930828.1	XP_004708127.2
OG0000106	XP_039323985.1	XP_045145413.1
OG0000106	XP_003930132.1	XP_004705720.2
OG0000106	XP_003932297.1	XP_004709634.2
OG0000106	XP_003934194.1	XP_004706026.2
OG0000107	XP_010332917.2	XP_004715013.1, XP_004715012.1
OG0000108	XP_010345593.1, XP_039325580.1	XP_004701946.2
OG0000109	XP_003925465.1	XP_004711113.1
OG0000109	XP_010329965.2	XP_004712516.1
OG0000109	XP_003943899.2, XP_010330044.2	XP_004712518.1
OG0000110	XP_003929179.1	XP_004713048.1
OG0000110	XP_039332486.1	XP_045149353.1
OG0000113	XP_003944326.2, XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1
OG0000114	XP_003925650.1	XP_004701631.1
OG0000114	XP_039325923.1, XP_039325966.1, XP_039325453.1	XP_004701628.1
OG0000114	XP_003925649.1	XP_004701630.1
OG0000115	XP_003939159.1	XP_004711472.1
OG0000115	XP_039320196.1	XP_004696937.1
OG0000116	XP_039328259.1	XP_004704745.1, XP_045140497.1
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	XP_030741158.1
OG0000119	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1	XP_004717708.1, XP_004715360.1
OG0000120	XP_003934288.1	XP_004705610.1
OG0000121	XP_010344410.1, XP_039317051.1	XP_045142786.1
OG0000122	XP_003937411.2	XP_004715846.1
OG0000122	XP_039323537.1, XP_003942212.1, XP_010328314.1, XP_039321049.1, XP_039318995.1, XP_039329947.1, XP_039320981.1, XP_039327395.1, XP_039335777.1, XP_039330610.1, XP_039320737.1	XP_012861820.1, XP_030742881.1, XP_045151936.1
OG0000123	XP_003933125.2	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1
OG0000124	XP_039331406.1, XP_010334463.2	XP_012863991.1
OG0000124	XP_039331473.1	XP_045141380.1
OG0000125	XP_003942839.2	XP_004707210.1
OG0000125	XP_039332456.1, XP_039332455.1, XP_010328942.2	XP_045155274.1
OG0000125	XP_003942837.1	XP_045155324.1
OG0000127	XP_010338390.1, XP_003929523.1	XP_004703356.1, XP_045140128.1
OG0000128	XP_003927334.1	XP_045151658.1
OG0000128	XP_003945327.2, XP_010336299.1	XP_004712541.3
OG0000128	XP_003927336.1	XP_045151722.1, XP_004712576.1, XP_045151686.1
OG0000129	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1, XP_039323809.1	XP_004696412.1
OG0000130	XP_003923415.2	XP_004717132.1
OG0000130	XP_003923416.1	XP_004717131.1, XP_004717133.1
OG0000130	XP_003923414.2	XP_004717091.1
OG0000131	XP_003919834.1, XP_003919833.1	XP_004716464.1, XP_004716462.1, XP_012863714.1
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	XP_004702027.1, XP_045150370.1, XP_045150369.1
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	XP_045148079.1, XP_004699328.1
OG0000134	XP_039317575.1	XP_045151946.1
OG0000135	XP_003940906.1	XP_045147971.1
OG0000136	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1	XP_045142065.1, XP_045142064.1, XP_004697625.1
OG0000137	XP_010338728.2	XP_004714005.3
OG0000137	XP_003929870.1	XP_004714041.1
OG0000138	XP_003923429.1	XP_004717532.1
OG0000138	XP_003923885.1	XP_004717576.1
OG0000138	XP_010332537.1	XP_004717528.1
OG0000139	XP_010344126.2	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1
OG0000142	XP_039317843.1	XP_045149687.1, XP_004704707.1, XP_045149686.1
OG0000143	XP_003941094.1	XP_030742844.1
OG0000144	XP_010342032.2	XP_045151259.1
OG0000145	XP_003922490.1	XP_045147525.1, XP_004701145.1, XP_045147526.1
OG0000146	XP_003938814.1, XP_010347708.1, XP_010347707.1	XP_045142054.1, XP_045142060.1, XP_004697533.1
OG0000147	XP_003922600.1, XP_003922604.1, XP_003922602.1	XP_004713906.1, XP_004713922.1, XP_004713902.1
OG0000147	XP_039316002.1, XP_003922597.1	XP_004713907.1, XP_004713908.1
OG0000148	XP_039318700.1	XP_004698922.1, XP_004698923.1
OG0000149	XP_039322050.1	XP_045148631.1
OG0000149	XP_003937990.1	XP_004716558.1
OG0000149	XP_039316778.1	XP_004714919.1
OG0000149	XP_039316042.1	XP_045154307.1
OG0000150	XP_003936326.2	XP_012860629.3
OG0000151	XP_003929394.1	XP_004707023.1
OG0000151	XP_010337959.2	XP_004707410.1
OG0000156	XP_010330273.1, XP_010330274.1, XP_039322863.1	XP_045148508.1
OG0000157	XP_039335444.1, XP_039335445.1	XP_004716095.1
OG0000157	XP_039326433.1, XP_039328448.1	XP_045150192.1
OG0000158	XP_039324854.1	XP_045150894.1
OG0000158	XP_039329410.1	XP_004699833.1, XP_012861708.1
OG0000158	XP_010344317.2	XP_012862011.1
OG0000158	XP_039334913.1, XP_039334978.1	XP_012860252.2, XP_004714233.1
OG0000160	XP_039319976.1	XP_045142155.1
OG0000160	XP_039319179.1, XP_039326032.1, XP_039327742.1, XP_039334578.1, XP_039323768.1	XP_045147901.1, XP_045144829.1, XP_045144830.1
OG0000160	XP_039317641.1, XP_039336179.1, XP_039335247.1	XP_045140890.1
OG0000160	XP_010336005.1	XP_045140887.1
OG0000160	XP_039335786.1, XP_039317010.1	XP_004711708.1
OG0000161	XP_003922654.1	XP_045142585.1
OG0000163	XP_039327086.1, XP_010332914.2	XP_045153720.1
OG0000163	XP_010332913.2	XP_045153718.1, XP_045153719.1
OG0000164	XP_039322625.1	XP_004706358.1, XP_045144983.1
OG0000165	XP_039334862.1, XP_010347365.1, XP_010347361.1, XP_039334861.1, XP_010347362.1	XP_045146037.1, XP_045146036.1
OG0000166	XP_003920764.1, XP_003920763.1	XP_045141312.1, XP_045141315.1, XP_045141314.1
OG0000167	XP_039334403.1, XP_039334404.1, XP_039334405.1	XP_045140340.1, XP_004705793.1
OG0000168	XP_010340775.1	XP_045155493.1, XP_004703884.1
OG0000168	XP_010340774.1	XP_045140898.1, XP_045143942.1, XP_045149167.1, XP_045145032.1, XP_045141604.1, XP_045147501.1
OG0000168	XP_003922345.1	XP_045155495.1, XP_045155494.1, XP_045144189.1
OG0000170	XP_003919917.1, XP_039326960.1, XP_003919916.1	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1
OG0000171	XP_039330067.1	XP_045142062.1, XP_045143960.1
OG0000171	XP_039334323.1	XP_045144663.1
OG0000171	XP_039321884.1	XP_045150621.1
OG0000171	XP_039323743.1	XP_030742688.1
OG0000171	XP_039328286.1	XP_045150102.1
OG0000172	XP_039320443.1	XP_045142243.1
OG0000172	XP_039323441.1	XP_004701997.1
OG0000172	XP_003932734.1, XP_039335289.1	XP_004716083.1
OG0000173	XP_010344788.1, XP_003936029.1, XP_010344789.1	XP_004702250.1
OG0000174	XP_039316009.1, XP_003941959.1, XP_010327976.1, XP_003941960.1, XP_010327980.1, XP_003941962.1, XP_003941961.1	XP_030743023.1
OG0000175	XP_010331846.1, XP_010331841.1	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1
OG0000176	XP_010333235.2, XP_003920207.2, XP_039327375.1	XP_045152988.1
OG0000177	XP_039321184.1, XP_003922168.1	XP_004701304.1
OG0000178	XP_010336016.1	XP_045152345.1
OG0000179	XP_003943230.1	XP_004710567.1
OG0000179	XP_039323094.1	XP_004710399.1, XP_004710401.1, XP_004710400.1
OG0000180	XP_010347870.2, XP_039323049.1	XP_045146325.1, XP_045146327.1
OG0000182	XP_003919934.1, XP_003940112.1, XP_010349097.1, XP_039330628.1	XP_045152535.1, XP_045152534.1
OG0000183	XP_003920090.1	XP_004714362.1
OG0000184	XP_010328719.2	XP_004712167.1, XP_045143405.1
OG0000188	XP_003923418.1, XP_003923419.2	XP_004717519.1
OG0000188	XP_003923417.1	XP_004717090.1
OG0000188	XP_039326451.1, XP_039326452.1	XP_004717089.1
OG0000189	XP_003920425.2	XP_004716487.1
OG0000189	XP_039319953.1	XP_004713449.2, XP_012862326.2
OG0000190	XP_010341794.1	XP_004700763.1
OG0000191	XP_003938697.1, XP_039320884.1	XP_004702068.1
OG0000192	XP_039328200.1, XP_010335696.2, XP_003926722.1	XP_045146436.1
OG0000193	XP_010330508.1	XP_045146734.1, XP_045146733.1, XP_045146735.1, XP_045146736.1
OG0000195	XP_010332345.1	XP_012863924.2
OG0000196	XP_003920149.2	XP_004714956.2
OG0000197	XP_039328941.1	XP_004711661.1
OG0000198	XP_003944090.3, XP_003944070.1	XP_045148239.1
OG0000198	XP_039333558.1	XP_045148276.1
OG0000199	XP_039322282.1, XP_039322281.1	XP_004715690.1
OG0000200	XP_010329421.2	XP_004699644.1
OG0000200	XP_003943303.1, XP_039329878.1	XP_004699331.1
OG0000201	XP_039332191.1, XP_039332900.1	XP_045155407.1
OG0000203	XP_039325610.1	XP_004703894.1
OG0000204	XP_010332577.1	XP_045148997.1
OG0000205	XP_010328386.1, XP_003942279.1	XP_012863033.1
OG0000206	XP_003936093.1, XP_010344853.1	XP_004704090.1
OG0000207	XP_003925667.1	XP_004701621.1
OG0000208	XP_003945281.1	XP_004710162.1
OG0000209	XP_003940350.1, XP_039322135.1	XP_012863468.1, XP_012863470.1
OG0000210	XP_003919938.2, XP_039326785.1, XP_039326786.1	XP_004711639.1, XP_004711637.2, XP_004711638.1
OG0000211	XP_003924861.1, XP_039319579.1	XP_004702940.1
OG0000211	XP_003932060.1	XP_004698023.1
OG0000213	XP_010349071.2	XP_004715363.2
OG0000213	XP_003929975.2	XP_045152929.1
OG0000214	XP_039321525.1	XP_045155180.1
OG0000214	XP_039330539.1	XP_045147834.1
OG0000214	XP_010339063.1	XP_045141138.1
OG0000215	XP_039332972.1	XP_045155743.1
OG0000217	XP_010330468.1, XP_010330466.1, XP_010330465.1, XP_010330467.1, XP_010330469.1	XP_045146586.1, XP_045146584.1, XP_045146585.1, XP_045146583.1, XP_004714188.1
OG0000219	XP_039322211.1, XP_039322212.1, XP_039322213.1, XP_039334433.1, XP_039335091.1, XP_003944766.1, XP_039324885.1, XP_039335566.1, XP_039329590.1, XP_039320118.1, XP_003927765.2, XP_039326698.1, XP_039328952.1	XP_004701509.1
OG0000221	XP_003920132.1	XP_030741677.1, XP_012861565.1, XP_004708437.1, XP_004708438.2, XP_004708440.1
OG0000222	XP_010329320.1, XP_010329318.1, XP_010329314.1, XP_010329322.1, XP_039322533.1, XP_010329315.1, XP_010329316.1, XP_010329317.1, XP_010329319.1, XP_010329313.1, XP_010329312.1	XP_045148545.1, XP_004710388.1
OG0000223	XP_010334189.1	XP_045153282.1
OG0000223	XP_003920311.3, XP_003920533.1	XP_012862931.2, XP_045153237.1
OG0000224	XP_039321631.1, XP_039321633.1, XP_039321630.1, XP_039321635.1, XP_039321632.1, XP_039321634.1	XP_004699881.1
OG0000226	XP_010349161.1, XP_010349162.1, XP_010349160.1, XP_010349163.1, XP_039319850.1, XP_003940216.1	XP_045146536.1, XP_004711258.1, XP_004711259.1
OG0000227	XP_010345204.1, XP_010345205.1, XP_010345202.1, XP_010345203.1	XP_045151206.1, XP_045151207.1, XP_045151208.1
OG0000228	XP_010345515.1	XP_045150280.1
OG0000230	XP_039319649.1, XP_039319635.1, XP_039319644.1	XP_004696084.1
OG0000230	XP_003937598.1	XP_004705056.1
OG0000231	XP_010330999.1, XP_010331000.1	XP_004717469.3
OG0000231	XP_039320205.1, XP_039320204.1	XP_004697263.2
OG0000232	XP_039331405.1	XP_045153763.1
OG0000233	XP_003928910.1	XP_004709482.1
OG0000235	XP_039332178.1	XP_045139695.1, XP_030743238.1, XP_045143465.1
OG0000236	XP_003926098.1	XP_004703056.1
OG0000237	XP_039323148.1	XP_012860584.1
OG0000237	XP_039327043.1	XP_045149448.1
OG0000238	XP_003939336.2	XP_004700642.1, XP_004700902.1
OG0000241	XP_010335794.2, XP_003920131.2	XP_004708533.1, XP_030741665.1
OG0000243	XP_010344437.1	XP_045144551.1
OG0000244	XP_039322131.1	XP_004714344.1
OG0000244	XP_039331048.1	XP_045141878.1, XP_045141871.1
OG0000245	XP_003944277.1	XP_004718110.1
OG0000245	XP_010330417.1	XP_004710517.1
OG0000246	XP_039334581.1	XP_004702333.2, XP_045145799.1
OG0000248	XP_010343195.1, XP_010343196.1, XP_010343197.1	XP_004713142.1, XP_004712142.1
OG0000249	XP_003929836.1	XP_004714011.1
OG0000249	XP_003929837.1	XP_004714013.1, XP_004714014.1
OG0000251	XP_010333982.1, XP_039336207.1, XP_039336209.1, XP_010333981.1	XP_004704148.1
OG0000252	XP_010350188.1, XP_039325880.1, XP_010350185.1, XP_010350192.1, XP_003921899.1	XP_004701760.1
OG0000254	XP_039318676.1, XP_039336541.1	XP_012860652.1
OG0000256	XP_003940456.1, XP_003940458.1	XP_004710512.1
OG0000257	XP_003919835.2	XP_045146872.1, XP_004716465.1
OG0000257	XP_003919841.1	XP_004716491.1
