Orthogroup	Saimiri_boliviensis_boliviensis	Sus_scrofa
OG0000012	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	XP_005673573.2, XP_020935939.1, XP_005673577.2
OG0000013	XP_003938964.1	XP_013845988.1
OG0000014	XP_003944066.2	XP_020952950.1
OG0000014	XP_039321716.1	XP_020952996.1
OG0000014	XP_003944453.2	XP_013854335.1
OG0000014	XP_039322204.1	XP_020953001.1
OG0000014	XP_003944064.3, XP_010330201.2, XP_039322778.1	XP_020952965.1, XP_020952964.1
OG0000014	XP_003944057.1	XP_020952978.1, XP_020952973.1
OG0000014	XP_003944055.1	XP_020952999.1
OG0000014	XP_039322215.1, XP_010330682.2, XP_010330643.2, XP_010330639.1, XP_003944452.2	XP_020950801.1
OG0000014	XP_010330631.1	XP_020953042.1, XP_020953041.1
OG0000014	XP_039322199.1	XP_013854327.1
OG0000015	XP_003938968.2	XP_013842894.1, XP_013845829.1, XP_020940790.1, XP_020941167.1, XP_003480831.2, XP_003354129.2, XP_020937619.1, XP_020941170.1, XP_013846032.2, XP_020940791.1, XP_020938068.1, XP_020937479.1, XP_020938121.1, XP_020937971.1, XP_005652904.2, XP_020936681.1, XP_020937393.1, XP_020938165.1, XP_020938164.1, XP_013845905.2, XP_020937394.1, XP_003123316.2, XP_020940783.1, XP_020937482.1, XP_020938126.1, XP_020938163.1, XP_020937401.1
OG0000016	XP_003928173.1	NP_001123710.1, NP_001158316.1, NP_001123704.1, NP_001158324.1, NP_001124005.1, NP_001158322.1, NP_001159794.1
OG0000016	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1	NP_001182306.1, NP_001158317.1, NP_001123702.1, NP_001158315.1, NP_001159790.1, NP_999558.1, NP_001159791.1, NP_001123718.1, NP_001182304.1, NP_001159782.1, NP_001159783.1, NP_001123691.1, XP_020918640.1, NP_001158327.1, NP_001158321.1, NP_001158332.1
OG0000017	XP_039334162.1	XP_003124707.3
OG0000017	XP_039331397.1	XP_020923327.1
OG0000017	XP_010331339.1	XP_020937884.1
OG0000018	XP_003931776.1	XP_003131242.1
OG0000018	XP_003942033.1	NP_001231571.1
OG0000018	XP_003927331.1, XP_010331012.2, XP_039318517.1	NP_001274345.1
OG0000018	XP_010336290.1	XP_013844399.1
OG0000018	XP_039324008.1, XP_010350016.2	NP_999095.1
OG0000019	XP_003935823.1	XP_020955678.1, XP_020955671.1
OG0000019	XP_003935822.1	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2
OG0000022	XP_010336464.1	XP_020940822.1
OG0000022	XP_010339946.2	XP_020940823.1
OG0000022	XP_003920570.1	XP_020940587.1
OG0000022	XP_010336498.1	XP_020940825.1, XP_020940824.1
OG0000022	XP_003920574.1	XP_020940585.1
OG0000022	XP_010336467.2	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1
OG0000022	XP_039328577.1	XP_013850731.2
OG0000022	XP_039328684.1	XP_020940579.1
OG0000023	XP_039322918.1	XP_020950504.1
OG0000023	XP_010330421.2	XP_003127440.3
OG0000023	XP_039322035.1	XP_003127434.1
OG0000024	XP_003923612.1	XP_020958343.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1
OG0000027	XP_010334588.2	XP_001928370.3
OG0000027	XP_010348076.2	XP_013843702.1
OG0000027	XP_039335895.1	XP_005655606.1
OG0000027	XP_039318403.1	XP_003126645.3
OG0000027	XP_003939105.2	XP_020920717.1
OG0000027	XP_010348074.2	NP_001038009.1
OG0000028	XP_003920201.3	XP_013849769.1
OG0000028	XP_003920501.1	XP_013849748.1, XP_013849745.1, XP_013849747.1
OG0000028	XP_003920200.1	XP_020941125.1
OG0000028	XP_003920202.2	XP_013849750.2, XP_003353904.1
OG0000031	XP_010344198.2	XP_003123608.1
OG0000031	XP_003944778.3	XP_020955480.1
OG0000031	XP_003944777.1	XP_020955487.1
OG0000032	XP_039327708.1, XP_039327697.1, XP_039327669.1, XP_039327692.1, XP_039327661.1, XP_010340077.2, XP_010340056.2, XP_039327705.1, XP_039328729.1, XP_003920557.2, XP_039327706.1, XP_039327707.1	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1
OG0000033	XP_003931817.1	NP_001231232.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_020922339.1, XP_020922337.1
OG0000033	XP_003931922.1	XP_003131278.3
OG0000033	XP_003931923.1	XP_005668688.1
OG0000033	XP_010340770.1	XP_013836234.1
OG0000033	XP_010340761.1	XP_005668681.1
OG0000034	XP_003944973.2	XP_013842957.2
OG0000035	XP_039318843.1	NP_001163988.1
OG0000035	XP_039320122.1	NP_001161267.1
OG0000035	XP_003922471.1	XP_013838976.1
OG0000035	XP_039316629.1	XP_003124328.1, XP_020941706.1
OG0000035	XP_039331779.1	XP_003357976.1
OG0000035	XP_003925881.1	XP_005674537.3
OG0000036	XP_003922417.1, XP_003922419.1	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1
OG0000038	XP_039327428.1, XP_003920141.1	XP_001927724.1, XP_020941136.1, XP_003481008.2
OG0000039	XP_003927439.2	NP_001230363.1
OG0000039	XP_039318609.1	XP_020955779.1
OG0000039	XP_003944692.1	NP_001038077.1
OG0000039	XP_039317243.1	XP_003122400.2
OG0000039	XP_010347833.2	XP_003480860.1
OG0000039	XP_003932683.1	NP_001107168.1
OG0000039	XP_039319462.1, XP_039319460.1	XP_020951690.1
OG0000040	XP_003927936.1	XP_020946911.1
OG0000040	XP_039328176.1	XP_005664233.2
OG0000041	XP_010335862.2, XP_003920143.2	XP_013842752.2, XP_020940716.1
OG0000042	XP_010335516.2	XP_013849950.2
OG0000043	XP_003920426.2, XP_003919855.1, XP_010335361.2	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1
OG0000044	XP_003942034.2	XP_020955509.1
OG0000044	XP_039318565.1	XP_005665718.2
OG0000044	XP_039318564.1, XP_003944781.1	XP_020955508.1
OG0000045	XP_039331909.1	XP_013836784.2
OG0000045	XP_039332728.1	XP_020921943.1
OG0000045	XP_039332732.1, XP_039332731.1	XP_020921683.1, NP_001098421.1
OG0000045	XP_039332730.1	XP_020921928.1
OG0000045	XP_003929291.1, XP_003929292.1	XP_020921875.1, NP_999301.1
OG0000045	XP_010338158.2	XP_020921694.1, NP_001116613.1
OG0000046	XP_010331142.2	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1
OG0000046	XP_010328492.2, XP_003942293.2, XP_010328414.2, XP_010328415.2, XP_003942294.2, XP_039322761.1, XP_010328491.2	XP_003123481.1, XP_003123482.1
OG0000046	XP_039321667.1	XP_020939257.1, XP_020939261.1
OG0000048	XP_010329363.1	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1
OG0000048	XP_039323255.1, XP_039323254.1	XP_020953209.1, XP_020953207.1
OG0000049	XP_039323980.1	XP_020955073.1, XP_020955736.1
OG0000049	XP_003924539.3	XP_020955074.1
OG0000050	XP_003945067.2	XP_013849275.1, XP_003353699.2, XP_020937927.1, XP_020931467.1, XP_013849276.2, XP_003122183.3, XP_020937911.1
OG0000051	XP_039329306.1	XP_020921569.1
OG0000051	XP_003925510.1	XP_020930931.1
OG0000051	XP_003928297.2	XP_020921568.1, XP_020921567.1
OG0000051	XP_039320049.1	XP_020935520.1
OG0000051	XP_039325459.1	XP_020930930.1
OG0000051	XP_010344666.1	XP_020936437.1
OG0000052	XP_039319167.1	XP_003126117.4
OG0000052	XP_039319076.1, XP_039319077.1, XP_010341812.2	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2
OG0000054	XP_010346811.2	XP_005663291.1, NP_001096150.2
OG0000054	XP_039315844.1	XP_020946477.1, XP_005663286.1, NP_998996.1
OG0000054	XP_003937935.2	XP_020944088.1, NP_001090960.1
OG0000055	XP_003919853.2	XP_013834548.2
OG0000055	XP_003919854.1	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2
OG0000055	XP_003919856.1	XP_013854347.2, XP_020917933.1
OG0000057	XP_039325466.1	XP_003133754.1
OG0000057	XP_039325468.1	XP_020931305.1
OG0000057	XP_039325470.1	XP_020931321.1, XP_020931326.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1
OG0000059	XP_010331293.1, XP_039333543.1	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1
OG0000060	XP_010334009.1	NP_999516.1, XP_005652470.1
OG0000061	XP_003941474.2	XP_005660610.1
OG0000062	XP_039318532.1, XP_010336326.2	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	XP_005656395.2
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	NP_001038087.1, XP_005667748.1
OG0000066	XP_039330999.1, XP_039329409.1, XP_039331971.1, XP_039336262.1, XP_039325713.1, XP_039335034.1, XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1, XP_039327391.1, XP_010333813.1, XP_039328754.1, XP_039330485.1, XP_039323678.1, XP_039325300.1, XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1, XP_039330262.1, XP_039329388.1	XP_003482913.1
OG0000066	XP_039336472.1	XP_020921174.1
OG0000067	XP_039320219.1	XP_020940727.1, XP_020941143.1
OG0000067	XP_003935341.2	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1
OG0000068	XP_003920213.2	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1
OG0000069	XP_039316972.1	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1
OG0000069	XP_010329563.1	XP_020936151.1
OG0000069	XP_003924565.1	XP_020955156.1
OG0000069	XP_003939886.1, XP_010348853.1	XP_020955290.1
OG0000070	XP_010337017.1	XP_020918409.1
OG0000071	XP_003943374.2	XP_003124283.1, XP_003354456.1, XP_003124278.1
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	NP_001188311.1
OG0000072	XP_003922405.1	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1
OG0000074	XP_003923468.1	NP_999018.1, XP_005653705.1
OG0000074	XP_010332594.1, XP_003923466.1	XP_013854644.1, NP_999476.1
OG0000075	XP_010349790.1	XP_013841926.1, XP_005673996.1
OG0000075	XP_003943457.1, XP_010329571.1	XP_020935538.1
OG0000076	XP_010336477.2	XP_020940586.1, XP_020940577.1
OG0000076	XP_010336456.1	XP_020940588.1, XP_020940576.1
OG0000076	XP_003920575.2	XP_013850711.2
OG0000076	XP_003920580.2	XP_020940578.1
OG0000077	XP_003921883.1, XP_039327768.1	XP_003133549.1
OG0000077	XP_039325523.1, XP_039323679.1, XP_003920400.2, XP_010336389.1	NP_001070686.1
OG0000077	XP_039328044.1	XP_005663911.1
OG0000078	XP_010335563.1	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	XP_005653026.1, NP_001072136.1
OG0000080	XP_039326925.1, XP_039326924.1	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1
OG0000080	XP_010333275.1, XP_010333278.2	XP_020940361.1
OG0000081	XP_039318415.1	XP_020928770.1
OG0000081	XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1
OG0000082	XP_003927606.2	XP_003359050.3
OG0000082	XP_039336381.1, XP_010336666.2, XP_010336667.2	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1
OG0000083	XP_003944264.1	XP_020953231.1, XP_005653378.1
OG0000083	XP_003944271.2	XP_013850745.1
OG0000083	XP_039323029.1	XP_013850606.2
OG0000083	XP_003944266.1	XP_020952917.1
OG0000083	XP_039322867.1, XP_039322866.1	XP_013854174.2
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1
OG0000086	XP_010333042.1	XP_003122765.1
OG0000086	XP_039318297.1	XP_003133037.1
OG0000086	XP_003929141.1	XP_020922951.1
OG0000087	XP_003927726.3, XP_003927728.1, XP_003927727.1	XP_005657196.2, XP_013845637.2, XP_003358961.3
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1
OG0000089	XP_003920486.2	XP_020937102.1, XP_020937107.1, XP_020937786.1
OG0000090	XP_010329648.1	NP_001229985.1, XP_020948987.1
OG0000092	XP_010335799.2	XP_020937104.1
OG0000095	XP_039331824.1	XP_020949547.1
OG0000095	XP_010329684.2	NP_999221.1
OG0000095	XP_003943509.1, XP_003943507.1	XP_003355856.1
OG0000095	XP_003943511.1	XP_013843991.2
OG0000096	XP_010335039.2	XP_003353495.1
OG0000099	XP_039335746.1	XP_020933181.1, XP_020933183.1
OG0000099	XP_039335344.1	XP_020932980.1, NP_001011508.1
OG0000100	XP_039330326.1	XP_020953149.1
OG0000100	XP_003934223.1, XP_010343016.1	XP_003481037.1
OG0000101	XP_010349156.1, XP_003940188.1	XP_020935324.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2
OG0000103	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1	NP_001038035.1, NP_001038034.1
OG0000103	XP_003939109.1	XP_005668287.1, NP_001038083.1
OG0000103	XP_003939122.1	NP_001033715.2, XP_020919727.1
OG0000104	XP_003943324.2, XP_010329420.2, XP_039330409.1	XP_020945969.1
OG0000104	XP_039330507.1, XP_003943302.2	XP_005663763.3, XP_005663765.3
OG0000105	XP_039318127.1, XP_039318128.1	XP_020918329.1, XP_020918323.1, XP_020918326.1, XP_020918310.1, XP_020918316.1, XP_020918321.1, XP_020918318.1, XP_020918325.1, XP_020918332.1, XP_020918335.1, XP_020918299.1, XP_020918313.1, XP_020918319.1, XP_020918336.1, XP_020918322.1, XP_020918308.1, XP_020918320.1, XP_020918324.1, XP_020918330.1, XP_020918301.1, XP_020918309.1, XP_020918333.1, XP_020918302.1, XP_020918312.1, XP_020918300.1, XP_020918327.1, XP_020918314.1, XP_020918304.1, XP_020918305.1, XP_020918331.1, XP_020918303.1, XP_020918311.1, XP_020918334.1, XP_020918307.1, XP_020918315.1
OG0000106	XP_003930828.1	XP_003134933.1
OG0000106	XP_003930132.1	NP_001006592.1
OG0000106	XP_003932297.1	XP_005670706.1, NP_998956.1
OG0000106	XP_003934194.1	XP_005661989.2
OG0000107	XP_010332917.2	XP_020940701.1, XP_020940702.1
OG0000108	XP_010345593.1, XP_039325580.1	XP_020930254.1, NP_001230722.1
OG0000109	XP_010329965.2	XP_020921609.1
OG0000109	XP_003943899.2, XP_010330044.2	XP_003122039.1, XP_003122044.1
OG0000110	XP_003929179.1	XP_005669254.1
OG0000110	XP_003929189.1, XP_039331915.1	XP_013843394.1, NP_001231387.1
OG0000110	XP_039332486.1	XP_020921972.1
OG0000111	XP_039317041.1, XP_039317022.1	XP_020937408.1, XP_020937407.1, XP_003359505.2
OG0000113	XP_003944326.2	XP_020935603.1
OG0000113	XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1	XP_003360440.1, XP_013846419.1, XP_005657953.1, XP_020935581.1
OG0000114	XP_003925650.1	XP_001928677.1
OG0000114	XP_039325923.1	XP_020931001.1
OG0000114	XP_039325966.1, XP_039325453.1	XP_001928787.2, XP_003133674.2
OG0000114	XP_003925649.1	XP_020931295.1
OG0000115	XP_003939159.1	XP_020946634.1, NP_001153898.1
OG0000115	XP_039320196.1	XP_020932893.1, NP_001153899.1
OG0000116	XP_039328259.1	XP_005661779.2
OG0000116	XP_039324253.1	NP_001072141.1
OG0000116	XP_003928756.1	NP_001072142.1
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	XP_020934700.1, XP_020934703.1, XP_020934702.1, XP_020934698.1, XP_005673358.1, XP_020934699.1, XP_020934704.1, XP_020934701.1, XP_013841228.1, XP_020934697.1
OG0000119	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1	XP_005671057.1, XP_020929555.1, XP_001929089.1, XP_020929551.1, XP_020929556.1, XP_013838717.1, XP_020929554.1, XP_020929553.1, XP_005671058.1, XP_005671056.1, XP_013838718.1
OG0000120	XP_003934288.1	XP_003124331.1
OG0000121	XP_010344410.1, XP_039317051.1	XP_020933838.1, XP_020933335.1
OG0000122	XP_003937411.2	XP_020952890.1
OG0000123	XP_003933125.2	XP_020923328.1, XP_020923329.1, XP_020923330.1
OG0000124	XP_039331406.1, XP_010334463.2	XP_020936177.1, XP_020936616.1
OG0000124	XP_039331473.1	XP_020935144.1, NP_001231049.1
OG0000124	XP_010334417.2	XP_020936605.1, XP_020935838.1
OG0000125	XP_003942839.2	XP_003131481.2
OG0000125	XP_039332456.1, XP_039332455.1, XP_010328942.2	NP_001231824.1, XP_003131478.3, XP_005653958.1, XP_003358093.2
OG0000127	XP_010338390.1, XP_003929523.1	XP_020957348.1, XP_013834428.1, XP_013834434.1, XP_020957350.1, XP_020957351.1, XP_013834430.1, XP_013834426.1, XP_013834425.1
OG0000128	XP_003927334.1	XP_020954076.1
OG0000128	XP_003927335.1	XP_020953970.1, NP_999509.1
OG0000128	XP_003945327.2, XP_010336299.1	XP_020954079.1
OG0000128	XP_003927336.1	XP_020954067.1
OG0000129	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1	XP_003128840.1, NP_999554.2
OG0000130	XP_003923415.2	XP_003360678.2
OG0000130	XP_003923416.1	XP_003129579.1, XP_020918036.1
OG0000130	XP_003923414.2	XP_020918025.1
OG0000131	XP_003919834.1, XP_003919833.1	XP_020917979.1, XP_020958303.1, XP_020917980.1
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	XP_020928093.1, XP_020928059.1, XP_020928078.1, XP_005659224.1, XP_020928086.1, XP_020928038.1, XP_020928064.1, XP_020928048.1, XP_020928069.1, XP_020928080.1, XP_020928100.1, XP_020928034.1, XP_020928044.1, XP_020928051.1
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	XP_020945959.1, XP_020945962.1, XP_020945960.1, XP_020945955.1, XP_005663754.1, XP_020945956.1, XP_020945958.1, XP_020945953.1, XP_005663756.1, XP_005663755.1, XP_020945961.1, XP_020945954.1, XP_013852855.1
OG0000134	XP_039317575.1	XP_020948074.1
OG0000135	XP_003940906.1	XP_020945063.1, XP_020945043.1, XP_020945062.1, XP_020945038.1, XP_020945052.1, XP_020945053.1, XP_020945049.1, XP_020945064.1, XP_020945059.1, XP_020945050.1, XP_020945042.1, XP_020945048.1, XP_020945057.1, XP_020945056.1, XP_020945066.1, XP_020945037.1, XP_020945060.1, XP_020945040.1, XP_020945058.1, XP_020945039.1, XP_020945067.1, XP_020945051.1, XP_020945045.1, XP_020945061.1, XP_020945041.1, XP_020945055.1, XP_020945065.1, XP_020945047.1, XP_020945044.1, XP_020945054.1
