Orthogroup	Saimiri_boliviensis_boliviensis	Sarcophilus_harrisii
OG0000005	XP_039328185.1	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3
OG0000007	XP_039321715.1, XP_039321697.1, XP_010338945.1, XP_010330276.2	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3
OG0000008	XP_003925271.2	XP_031806199.1
OG0000008	XP_010330062.1, XP_003943915.1	XP_023362616.1, XP_031800616.1
OG0000008	XP_010348446.1, XP_010348453.2	XP_023355868.1, XP_012401259.1
OG0000008	XP_010343119.1, XP_010343120.1, XP_003934299.1, XP_039334172.1, XP_003939553.1, XP_003936386.1	XP_023361210.2, XP_031794448.1
OG0000009	XP_039323181.1, XP_039323182.1, XP_039322117.1, XP_039323153.1, XP_039323204.1, XP_039323205.1, XP_039323297.1, XP_039322063.1, XP_039318499.1, XP_039318502.1, XP_039323216.1, XP_039323349.1, XP_039322104.1, XP_039323189.1, XP_039323188.1, XP_010330939.2, XP_039318501.1, XP_039323282.1, XP_039323265.1, XP_039323139.1	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2
OG0000010	XP_003920483.3	XP_031800130.1
OG0000010	XP_003920480.2, XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1
OG0000011	XP_039316464.1, XP_039327340.1, XP_039316746.1, XP_010340082.2, XP_039326277.1, XP_039326275.1, XP_039328082.1, XP_039328036.1, XP_039316705.1, XP_039327835.1, XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1, XP_039328029.1, XP_039328885.1, XP_039326453.1, XP_010340091.2, XP_039328900.1, XP_010340171.2	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3
OG0000016	XP_003928173.1, XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1
OG0000017	XP_039334162.1	XP_012398581.1
OG0000017	XP_039331397.1	XP_003775021.1
OG0000017	XP_010331339.1	XP_003758428.1, XP_003758978.1, XP_003759273.1
OG0000018	XP_003931776.1	XP_031821686.1, XP_031821685.1, XP_031822886.1
OG0000018	XP_003942033.1	XP_023358477.2
OG0000019	XP_003935823.1, XP_003935822.1	XP_031805360.1
OG0000022	XP_010336464.1, XP_039328169.1, XP_039328208.1, XP_010339946.2, XP_003920570.1, XP_010336450.2, XP_010336498.1, XP_010336445.2, XP_003920574.1, XP_010336467.2, XP_039328577.1, XP_039328684.1	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1
OG0000024	XP_003923612.1	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	XP_012397681.1, XP_012397680.1, XP_012397682.1
OG0000027	XP_010334588.2	XP_003765946.1
OG0000027	XP_010348076.2	XP_023360032.2, XP_031820681.1
OG0000027	XP_039318403.1	XP_023360426.1
OG0000027	XP_039328209.1	XP_031793822.1, XP_012407220.2
OG0000028	XP_003920201.3, XP_003920501.1, XP_003920200.1, XP_003920202.2	XP_003774032.2
OG0000031	XP_010344198.2	XP_003770492.1
OG0000031	XP_003944778.3, XP_003944777.1	XP_003765338.1, XP_012400082.1, XP_031817645.1
OG0000032	XP_039327697.1, XP_039327669.1, XP_039327692.1, XP_039327661.1, XP_010340077.2, XP_010340056.2, XP_039327705.1, XP_039328729.1, XP_003920557.2	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1
OG0000032	XP_039327657.1	XP_031809273.1
OG0000033	XP_003931817.1, XP_003931818.2, XP_039332378.1	XP_012403541.1
OG0000033	XP_010340761.1	XP_023358276.2
OG0000035	XP_039318842.1, XP_039318843.1	XP_003756019.1
OG0000035	XP_039320122.1	XP_003767872.1
OG0000035	XP_003922471.1	XP_031812849.1, XP_031812848.1, XP_031812850.1
OG0000035	XP_039316629.1	XP_003761602.1
OG0000035	XP_039331779.1	XP_031821487.1
OG0000035	XP_010349143.2	XP_012399891.2
OG0000035	XP_003925881.1	XP_003759426.1
OG0000036	XP_003922420.1, XP_003922417.1, XP_003922419.1, XP_003922415.1	XP_003755303.1, XP_003755291.1
OG0000039	XP_003927439.2	XP_031802795.1
OG0000039	XP_039318609.1	XP_003760265.2
OG0000039	XP_003944692.1	XP_003768941.1
OG0000039	XP_039317243.1	XP_003757584.1
OG0000039	XP_010347833.2	XP_031803594.1
OG0000039	XP_039315957.1	XP_031805964.1
OG0000039	XP_003932683.1	XP_031807551.1
OG0000039	XP_039319462.1, XP_039319460.1	XP_003760117.1
OG0000041	XP_010335862.2, XP_003920143.2	XP_023362197.2, XP_031799550.1
OG0000042	XP_010335516.2, XP_003920450.1	XP_031798147.1
OG0000044	XP_003942034.2	XP_023353357.1
OG0000044	XP_039318565.1	XP_012405112.1
OG0000044	XP_039318564.1, XP_003944781.1	XP_031801760.1
OG0000045	XP_039331909.1	XP_003759383.1
OG0000045	XP_039332728.1	XP_031821400.1
OG0000045	XP_039332730.1	XP_003759381.1
OG0000045	XP_003929291.1, XP_003929292.1	XP_031821396.1
OG0000045	XP_010338158.2	XP_031821399.1
OG0000046	XP_010331142.2, XP_010328492.2, XP_003942293.2, XP_010328414.2, XP_010328415.2, XP_003942294.2, XP_039322761.1, XP_010328491.2, XP_039321667.1	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1
OG0000048	XP_010329363.1, XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1	XP_012402396.1
OG0000049	XP_003924537.2, XP_010333524.2, XP_039323980.1, XP_003924539.3, XP_039324393.1, XP_039324392.1	XP_003756342.1, XP_031808465.1
OG0000050	XP_003945067.2	XP_023363165.1
OG0000051	XP_039329306.1	XP_003765783.1
OG0000051	XP_003925510.1	XP_031813804.1
OG0000051	XP_003928297.2	XP_023356253.1, XP_003765782.2
OG0000051	XP_039320049.1, XP_039325459.1	XP_031813802.1, XP_031813803.1
OG0000051	XP_010344666.1	XP_031800822.1
OG0000052	XP_039319167.1, XP_039319076.1, XP_039319077.1, XP_010341812.2	XP_023360233.1, XP_031794166.1
OG0000054	XP_010346811.2, XP_039315844.1, XP_039315845.1, XP_003937935.2	XP_012403485.2
OG0000055	XP_003919853.2, XP_003919854.1, XP_003919856.1	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1
OG0000057	XP_039325467.1, XP_039325466.1, XP_039325468.1, XP_039325470.1	XP_031825154.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	XP_031815049.1, XP_031815044.1, XP_031815058.1
OG0000060	XP_010334009.1	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1
OG0000061	XP_003941474.2	XP_031810834.1
OG0000062	XP_039318532.1, XP_010336326.2	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1
OG0000065	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1	XP_003762637.1
OG0000066	XP_039322182.1, XP_039330999.1, XP_039329409.1, XP_039331971.1, XP_039336262.1, XP_039325713.1, XP_039335034.1, XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1, XP_039327391.1, XP_010333813.1, XP_039328754.1, XP_039330485.1, XP_039323678.1, XP_039325300.1, XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1, XP_039330262.1, XP_039329388.1, XP_039336472.1	XP_012402739.1, XP_003766943.1
OG0000068	XP_003920213.2	XP_031797906.1
OG0000069	XP_039316972.1, XP_010329563.1, XP_003943448.2, XP_039319973.1, XP_003924565.1, XP_003939886.1, XP_010348853.1	XP_012396962.1
OG0000070	XP_010337017.1	XP_031799314.1
OG0000070	XP_010347594.1	XP_031825010.1
OG0000071	XP_039326298.1, XP_003943374.2, XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1
OG0000072	XP_003922405.1	XP_031812030.1, XP_023363032.1
OG0000074	XP_003923468.1, XP_039327198.1, XP_039327202.1, XP_039327201.1, XP_039327199.1, XP_039327203.1, XP_039327204.1, XP_039327200.1, XP_010332594.1, XP_003923466.1	XP_031817868.1, XP_031817870.1, XP_031817869.1
OG0000076	XP_010336471.1, XP_010336477.2, XP_010336475.1, XP_010336456.1, XP_039328402.1, XP_010336460.1, XP_003920575.2, XP_003920580.2	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2
OG0000077	XP_003921883.1, XP_039327768.1	XP_031816276.1
OG0000077	XP_039328044.1	XP_003772367.1
OG0000078	XP_010335563.1	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1
OG0000080	XP_039326925.1, XP_039326924.1, XP_010333275.1, XP_010333278.2	XP_012408351.1, XP_012408350.1
OG0000082	XP_003927606.2, XP_039336381.1, XP_010336666.2, XP_010336667.2	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1
OG0000083	XP_003944264.1, XP_003944271.2, XP_039323029.1, XP_003944266.1, XP_039322867.1, XP_039322866.1	XP_031804876.1
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1
OG0000086	XP_010333042.1	XP_003773922.1
OG0000086	XP_039318297.1	XP_031804914.1
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	XP_023354622.1
OG0000089	XP_003920486.2	XP_012408110.1, XP_003773886.1
OG0000090	XP_010329648.1	XP_031805765.1
OG0000092	XP_010335799.2	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1
OG0000093	XP_010329932.1	XP_031797313.1
OG0000095	XP_039331824.1	XP_003757317.1
OG0000095	XP_010329684.2	XP_031810396.1
OG0000096	XP_010335039.2, XP_039318544.1	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1
OG0000099	XP_039335344.1	XP_031805182.1, XP_031810473.1
OG0000100	XP_039330331.1, XP_039330330.1, XP_039330328.1, XP_039330333.1, XP_039330334.1, XP_039330335.1, XP_039330332.1, XP_039330329.1, XP_039330327.1, XP_039330326.1	XP_031818873.1
OG0000100	XP_003934223.1, XP_010343016.1	XP_031821197.1, XP_031821198.1, XP_003768867.1
OG0000101	XP_010349156.1, XP_003940188.1, XP_010330140.1	XP_031809394.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	XP_031799036.1, XP_031799035.1
OG0000103	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1, XP_003939109.1, XP_003939122.1	XP_003772476.1
OG0000104	XP_003943324.2, XP_010329420.2, XP_039330409.1, XP_039330507.1, XP_003943302.2	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1
OG0000105	XP_039318127.1, XP_039318128.1	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1
OG0000106	XP_003930828.1	XP_012395236.2
OG0000106	XP_039323985.1	XP_031797249.1
OG0000106	XP_003930132.1	XP_031796163.1
OG0000106	XP_003932297.1	XP_003761065.1
OG0000107	XP_010332917.2	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1
OG0000108	XP_010345593.1, XP_039325580.1	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1
OG0000109	XP_003925465.1	XP_003763327.3
OG0000109	XP_010329964.2, XP_010329965.2, XP_003943899.2, XP_010330044.2	XP_003763301.1
OG0000110	XP_003929179.1, XP_003929189.1, XP_039331915.1, XP_039332486.1	XP_023358533.1
OG0000114	XP_003925650.1	XP_003766021.1
OG0000114	XP_039325923.1, XP_039325966.1, XP_039325453.1, XP_003925648.1, XP_003925649.1	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1
OG0000115	XP_003939159.1	XP_031793850.1, XP_031793851.1, XP_031793853.1
OG0000115	XP_039320196.1	XP_031816213.1, XP_031816210.1, XP_031816220.1
OG0000116	XP_039324253.1	XP_031809233.1
OG0000116	XP_003928756.1	XP_031812821.1
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	XP_031796389.1
OG0000120	XP_003934288.1	XP_012398224.1
OG0000121	XP_010344410.1, XP_039317051.1	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1
OG0000122	XP_003937411.2	XP_031819649.1
OG0000122	XP_039323537.1, XP_003942212.1, XP_010328314.1, XP_039321049.1, XP_039318995.1, XP_039329947.1, XP_039320981.1, XP_039327395.1, XP_039335777.1, XP_039330610.1, XP_039320737.1	XP_012398126.2
OG0000123	XP_003933125.2	XP_003758421.3, XP_031805104.1, XP_003758419.2
OG0000124	XP_039331406.1, XP_010334463.2	XP_023356116.1
OG0000124	XP_039331473.1	XP_012401572.1, XP_031814902.1, XP_031814901.1
OG0000124	XP_010334417.2	XP_003765650.2
OG0000124	XP_003920544.2	XP_003765651.2
OG0000125	XP_003942839.2	XP_012403745.2
OG0000125	XP_003942837.1	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2
OG0000127	XP_010338390.1, XP_003929523.1	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1
OG0000128	XP_003927334.1, XP_003927335.1, XP_003945327.2, XP_010336299.1, XP_003927336.1	XP_031818477.1
OG0000130	XP_003923415.2, XP_003923416.1	XP_003764886.1, XP_012402225.2
OG0000130	XP_003923414.2	XP_003766416.1, XP_012400883.1
OG0000131	XP_003919834.1, XP_003919833.1	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	XP_003769562.3
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1
OG0000134	XP_039317575.1	XP_012406199.1
OG0000135	XP_003940906.1	XP_031802264.1
OG0000136	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1
OG0000137	XP_010338728.2, XP_003929870.1	XP_003772721.1, XP_031795158.1, XP_003771745.1
OG0000138	XP_003923429.1	XP_003764817.2
OG0000138	XP_003923885.1	XP_003764805.1
OG0000138	XP_003923883.2, XP_010332537.1	XP_012400865.1, XP_003764819.1, XP_003764815.1
OG0000139	XP_010344126.2	XP_031824297.1, XP_031824298.1, XP_031824296.1
OG0000140	XP_039333181.1	XP_031809161.1
OG0000142	XP_039317843.1	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1
OG0000143	XP_039324472.1	XP_031810460.1, XP_031810461.1
OG0000143	XP_003941094.1	XP_003757352.1
OG0000145	XP_003922490.1	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1
OG0000146	XP_003938814.1, XP_010347708.1, XP_010347707.1	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1
OG0000147	XP_003922600.1, XP_003922604.1, XP_003922602.1, XP_039316002.1, XP_003922597.1	XP_031805537.1, XP_031805539.1, XP_031805536.1, XP_012396338.3, XP_031805534.1, XP_031805059.1, XP_012396336.1
OG0000148	XP_039318700.1	XP_012399621.1, XP_003755833.1
OG0000149	XP_039322050.1	XP_031817538.1
OG0000149	XP_003937990.1	XP_003767906.1
OG0000149	XP_039316778.1	XP_031823223.1
OG0000149	XP_039316042.1	XP_031822713.1, XP_031822717.1, XP_031822714.1
OG0000150	XP_003936326.2	XP_003758442.1, XP_023350800.1, XP_031805099.1, XP_003758443.1
OG0000151	XP_003929394.1	XP_012405227.2
OG0000151	XP_039332402.1, XP_010337959.2	XP_031823447.1, XP_031823446.1, XP_003770041.1
OG0000157	XP_039335444.1, XP_039335445.1	XP_031807643.1, XP_031807644.1
OG0000157	XP_010345028.2, XP_039324567.1, XP_003926376.2, XP_010347515.2, XP_039334905.1, XP_039326433.1, XP_039328448.1, XP_039324106.1, XP_039329265.1, XP_039327213.1, XP_039327413.1, XP_039318778.1, XP_039320425.1	XP_031820484.1, XP_003769255.1
OG0000158	XP_039324854.1	XP_023353662.1
OG0000158	XP_010344317.2	XP_003768068.1
OG0000160	XP_039319976.1, XP_039323747.1, XP_039326908.1, XP_039319179.1, XP_039326032.1, XP_039327742.1, XP_039334578.1, XP_039323768.1, XP_039317641.1, XP_039336179.1, XP_039335247.1, XP_010336005.1, XP_039326130.1, XP_039316915.1, XP_039335786.1, XP_039317010.1	XP_023358024.1
OG0000161	XP_003922654.1	XP_003759113.1
OG0000163	XP_039327086.1, XP_010332914.2	XP_012402414.1
OG0000163	XP_010332913.2	XP_003766617.1
OG0000164	XP_039322625.1	XP_012396712.1, XP_031802108.1, XP_031802109.1
OG0000164	XP_039328692.1, XP_039323908.1	XP_003759749.1
OG0000165	XP_039334862.1, XP_010347365.1, XP_010347361.1, XP_039334861.1, XP_010347362.1	XP_031795620.1, XP_031795619.1, XP_031795621.1, XP_031795617.1
OG0000166	XP_003920764.1, XP_003920763.1	XP_012396468.1, XP_023351503.1, XP_031824634.1, XP_031824649.1, XP_023351504.1
OG0000167	XP_039334403.1, XP_039334404.1, XP_039334405.1	XP_031798267.1, XP_031798272.1, XP_031798263.1, XP_031798266.1
OG0000168	XP_010340775.1	XP_003768586.1
OG0000168	XP_010340774.1	XP_031821604.1
OG0000170	XP_003919917.1, XP_039326960.1, XP_003919916.1, XP_039326958.1	XP_003773616.1
OG0000171	XP_039319831.1, XP_039330067.1, XP_003938796.2, XP_039318546.1, XP_039334323.1, XP_039321884.1, XP_039323743.1, XP_039322467.1, XP_039328286.1, XP_039322473.1, XP_039318120.1	XP_003769499.1
OG0000172	XP_039320443.1	XP_031802261.1
OG0000172	XP_039323441.1	XP_031793454.1
OG0000172	XP_003932734.1, XP_039335289.1	XP_012409550.1, XP_023350190.1
OG0000174	XP_039316009.1, XP_003941959.1, XP_010327976.1, XP_003941960.1, XP_010327980.1, XP_003941962.1, XP_003941961.1	XP_012405557.1
OG0000175	XP_010331846.1, XP_010331841.1	XP_003773749.1
OG0000176	XP_010333235.2, XP_003920207.2, XP_039327375.1	XP_023362209.1, XP_031797709.1, XP_031797711.1, XP_023362208.1
OG0000177	XP_039321184.1, XP_003922168.1	XP_031811873.1, XP_031811875.1, XP_031811871.1, XP_031811870.1, XP_031811872.1, XP_031811876.1, XP_031811868.1, XP_031811869.1, XP_031811867.1
OG0000178	XP_010336016.1	XP_031813300.1, XP_031813299.1, XP_031813294.1, XP_031813298.1, XP_031813297.1, XP_031813296.1, XP_031813295.1
OG0000179	XP_003943230.1	XP_031817500.1
OG0000179	XP_039323094.1	XP_023355787.2, XP_012401166.1
OG0000180	XP_010347870.2, XP_039323049.1	XP_012397749.1
OG0000182	XP_003919934.1, XP_003940112.1, XP_010349097.1, XP_039330628.1	XP_031792735.1
OG0000183	XP_003920090.1	XP_031798882.1
OG0000184	XP_010328719.2	XP_031813724.1, XP_031800734.1
OG0000188	XP_003923418.1, XP_003923419.2	XP_003764834.1
OG0000188	XP_039326451.1, XP_039326452.1	XP_003766999.1
OG0000189	XP_003920425.2, XP_039334625.1, XP_003920702.2, XP_039331386.1, XP_039319953.1, XP_039317060.1	XP_003774897.1, XP_031797813.1
OG0000190	XP_010341794.1	XP_031796825.1, XP_031796827.1, XP_031796826.1
OG0000191	XP_003938697.1, XP_039320884.1	XP_003769420.1, XP_023358945.1
OG0000192	XP_010343377.2, XP_039328200.1, XP_010335696.2, XP_003926722.1	XP_031794046.1
OG0000194	XP_039319950.1, XP_039319949.1, XP_039319948.1	XP_031801027.1, XP_031801026.1, XP_031801025.1
OG0000195	XP_010332345.1	XP_031820905.1, XP_031820904.1
OG0000196	XP_010332904.1	XP_003773960.1, XP_003773966.2, XP_031798606.1
OG0000196	XP_003920149.2	XP_003773971.1, XP_003773970.1, XP_031798784.1, XP_003773962.1
OG0000197	XP_003938745.1, XP_003938743.1, XP_003938742.1, XP_003938744.1, XP_039328941.1	XP_012406752.1
OG0000199	XP_003926867.1, XP_039322282.1, XP_039322281.1	XP_031817627.1
OG0000200	XP_010329421.2, XP_003943305.2, XP_003943303.1, XP_039329878.1	XP_003767289.1, XP_023357403.1
OG0000201	XP_039332191.1, XP_039332900.1	XP_031821831.1, XP_031821832.1
OG0000203	XP_039325610.1	XP_031815893.1
OG0000204	XP_003923465.1, XP_039324880.1, XP_039331564.1, XP_010332579.1, XP_010332578.1, XP_010332577.1	XP_003764754.2
OG0000205	XP_010328386.1, XP_003942279.1	XP_031817807.1, XP_003764619.2
OG0000206	XP_003936093.1, XP_010344853.1	XP_031796238.1
OG0000207	XP_003925667.1	XP_023356432.1
OG0000209	XP_003940350.1, XP_039322135.1	XP_031817713.1, XP_003766638.1, XP_031820011.1, XP_031817715.1
OG0000210	XP_003919938.2, XP_039326785.1, XP_039326786.1	XP_031797477.1, XP_003773620.1
OG0000211	XP_003924861.1	XP_031802452.1
OG0000211	XP_039319579.1	XP_031802454.1
OG0000211	XP_003932060.1	XP_003757016.1, XP_031809824.1
