Orthogroup	Saimiri_boliviensis_boliviensis	Microcebus_murinus
OG0000000	XP_010330198.2	XP_012606846.2
OG0000000	XP_010330225.1, XP_010330224.1, XP_010330222.1, XP_010330223.1	XP_012604505.1, XP_012613248.1
OG0000000	XP_010328112.1	XP_012615665.1
OG0000001	XP_003938840.1	XP_012624815.1
OG0000001	XP_003941813.1	XP_012646010.1
OG0000001	XP_003941806.1	XP_012645968.1
OG0000001	XP_010327802.1, XP_003941872.2	XP_012646003.1, XP_012645977.2
OG0000001	XP_003941814.1, XP_010327783.1, XP_039322280.1	XP_012645971.1, XP_020139387.1
OG0000001	XP_003942369.1, XP_003941797.1	XP_020139505.1
OG0000001	XP_003941798.2	XP_012645964.1
OG0000001	XP_039322614.1	XP_020139501.1
OG0000001	XP_010327863.1	XP_012645962.2
OG0000001	XP_039321593.1	XP_020139610.1
OG0000001	XP_039321661.1	XP_012646178.1, XP_012646169.1
OG0000002	XP_003941737.1	XP_020139519.1, XP_012646004.2, XP_020139359.1
OG0000003	XP_039318518.1, XP_010336292.1, XP_003927313.1	XP_012596788.1
OG0000003	XP_003927316.2	XP_012596787.1
OG0000003	XP_010331013.1, XP_039318670.1, XP_010331015.1, XP_003942039.2	XP_012597460.1, XP_012597518.1
OG0000003	XP_003927328.1, XP_003944786.1	XP_012597512.1
OG0000003	XP_003935362.1	XP_012634028.1
OG0000003	XP_010328072.1	XP_012609570.1, XP_012609569.1
OG0000003	XP_003944864.1	XP_012597458.1
OG0000004	XP_010336291.1	XP_012597516.1
OG0000004	XP_039318561.1, XP_039318562.1, XP_010331118.1	XP_012597450.1
OG0000004	XP_003927315.1	XP_012596784.1
OG0000004	XP_003935360.1	XP_012634027.1
OG0000004	XP_003927318.1	XP_012596783.1
OG0000004	XP_003944860.1	XP_012597453.1
OG0000004	XP_003942031.1	XP_012609567.1
OG0000004	XP_003934600.1	XP_012609187.1
OG0000004	XP_003942032.1	XP_012609568.1
OG0000004	XP_003927339.1	XP_012596861.1
OG0000005	XP_039328185.1	XP_020143017.1
OG0000007	XP_039321715.1	XP_012606828.1
OG0000007	XP_010338945.1	XP_020138350.1, XP_020138351.1, XP_020138348.1, XP_020138352.1, XP_020138349.1, XP_020138346.1, XP_020138347.1, XP_020138345.1, XP_012618410.1, XP_012618411.1, XP_020138403.1, XP_020138425.1
OG0000007	XP_010330276.2	XP_012613263.1, XP_012611041.1
OG0000008	XP_003925271.2	XP_012624356.1
OG0000008	XP_010330062.1, XP_003943915.1	XP_012612641.1
OG0000008	XP_010348453.2	XP_012619942.1, XP_020140831.1
OG0000008	XP_010343119.1, XP_010343120.1	XP_012614837.1
OG0000008	XP_003934299.1	XP_020137053.1
OG0000008	XP_003939553.1	XP_020140578.1
OG0000008	XP_003936386.1	XP_020138106.1
OG0000009	XP_039323181.1, XP_039323182.1, XP_039322117.1, XP_039323153.1, XP_039323204.1, XP_039323205.1, XP_039323297.1, XP_039322063.1, XP_039318499.1, XP_039318502.1, XP_039323216.1, XP_039323349.1, XP_039322104.1, XP_039323189.1, XP_039323188.1, XP_010330939.2, XP_039318501.1, XP_039323282.1, XP_039323265.1, XP_039323139.1	XP_020138303.1, XP_012592719.2, XP_012619031.1, XP_012592717.1, XP_020138306.1, XP_012619032.1, XP_020142922.1, XP_020138304.1
OG0000010	XP_003920483.3	XP_012643257.1, XP_012643270.1, XP_012643266.1, XP_012622829.1, XP_012643263.1
OG0000010	XP_003920480.2	XP_012643294.1
OG0000010	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2	XP_012643305.1, XP_012643256.1, XP_012643312.1, XP_012643309.1, XP_012643311.1, XP_012643310.1, XP_020142412.1, XP_012643274.1, XP_012643272.1, XP_020142062.1, XP_012643292.1, XP_020142413.1
OG0000011	XP_039316746.1	XP_012604413.1
OG0000011	XP_010340082.2	XP_012604415.2
OG0000011	XP_039326277.1	XP_012604414.2
OG0000011	XP_039328082.1, XP_039328036.1	XP_012604418.1
OG0000011	XP_039316705.1, XP_039327835.1	XP_012604410.1
OG0000011	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1	XP_012604420.1
OG0000011	XP_039328029.1	XP_012604421.1
OG0000011	XP_039326453.1	XP_012604412.1
OG0000011	XP_010340091.2	XP_012604416.2
OG0000011	XP_039328900.1	XP_020137935.1
OG0000011	XP_010340171.2	XP_012604408.1
OG0000012	XP_003924128.1	XP_012612333.1
OG0000012	XP_003924126.1	XP_012612334.1, XP_012612335.1, XP_012609246.2, XP_012612318.1
OG0000012	XP_010333223.1	XP_020140769.1, XP_012612390.1, XP_012612389.1
OG0000012	XP_003924124.1	XP_012612339.1, XP_012612340.1
OG0000012	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	XP_012612329.1, XP_012612328.1
OG0000012	XP_010334984.1	XP_012640032.1
OG0000013	XP_010347905.2	XP_012617214.1
OG0000014	XP_003944066.2	XP_012606858.1
OG0000014	XP_039321716.1	XP_020138796.1
OG0000014	XP_003944453.2	XP_012596843.1
OG0000014	XP_039322204.1	XP_012619029.1
OG0000014	XP_003944064.3	XP_020138972.1
OG0000014	XP_010330201.2	XP_020139176.1
OG0000014	XP_039322778.1	XP_020138795.1, XP_020138970.1
OG0000014	XP_003944057.1	XP_012606829.1
OG0000014	XP_003944055.1	XP_012606836.1
OG0000014	XP_003944450.2	XP_012596828.1
OG0000014	XP_010330631.1	XP_020139031.1
OG0000014	XP_039322199.1	XP_012619024.1
OG0000016	XP_003928173.1	XP_012625267.1, XP_020144780.1, XP_012625264.2, XP_012625260.1
OG0000016	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1	XP_020144782.1, XP_012625263.2, XP_012625265.2, XP_020144781.1
OG0000017	XP_039334162.1	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1
OG0000017	XP_003944789.1	XP_012597482.1
OG0000017	XP_039331397.1	XP_012634096.1
OG0000017	XP_010331339.1	XP_012627716.1
OG0000018	XP_003931776.1	XP_012606772.1
OG0000018	XP_039318517.1	XP_012597510.1
OG0000018	XP_010336290.1	XP_012634029.1
OG0000018	XP_010350016.2	XP_020144790.1
OG0000019	XP_003935823.1	XP_012598338.1
OG0000019	XP_003935822.1	XP_012598339.2, XP_012598340.2
OG0000020	XP_010330294.2, XP_010330261.2, XP_010330262.2, XP_039322954.1, XP_039322950.1, XP_039323238.1, XP_039322687.1, XP_003944118.2, XP_039322689.1, XP_039322688.1	XP_020139091.1
OG0000021	XP_003935417.2	XP_012607736.1
OG0000022	XP_010336464.1	XP_020137854.1
OG0000022	XP_039328169.1	XP_020137845.1
OG0000022	XP_039328208.1	XP_020137846.1
OG0000022	XP_010339946.2	XP_020137849.1
OG0000022	XP_003920570.1	XP_020137843.1
OG0000022	XP_010336450.2	XP_020137850.1
OG0000022	XP_010336445.2	XP_020137851.1
OG0000022	XP_003920574.1	XP_012604363.1
OG0000022	XP_010336467.2	XP_020137848.1
OG0000022	XP_039328684.1	XP_020137847.1
OG0000023	XP_039322918.1	XP_012604975.1
OG0000023	XP_010330421.2	XP_012641005.1, XP_012641006.1
OG0000023	XP_039322035.1	XP_012641001.1
OG0000024	XP_003923612.1	XP_012638763.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1
OG0000027	XP_010334588.2	XP_012595657.1
OG0000027	XP_010348076.2	XP_012616812.1
OG0000027	XP_039318403.1	XP_012603184.1
OG0000027	XP_003939105.2	XP_012596665.1
OG0000027	XP_039328209.1	XP_012616799.2
OG0000027	XP_010348074.2	XP_012616756.2
OG0000028	XP_003920201.3	XP_012605430.1, XP_012605431.1
OG0000028	XP_003920501.1	XP_012605321.1
OG0000028	XP_003920202.2	XP_012605437.1
OG0000031	XP_010344198.2	XP_020145822.1, XP_020146129.1
OG0000031	XP_003944778.3	XP_012597485.1
OG0000031	XP_003944777.1	XP_012597472.1
OG0000032	XP_039327708.1	XP_020138005.1
OG0000032	XP_039327661.1	XP_020137959.1
OG0000032	XP_010340077.2	XP_020137958.1
OG0000033	XP_003931817.1	XP_020136664.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_012634183.1
OG0000033	XP_003931923.1	XP_012634147.1
OG0000033	XP_010340770.1	XP_012634149.1, XP_020136669.1, XP_012634189.2, XP_012634186.1
OG0000033	XP_010340761.1	XP_012634191.1
OG0000034	XP_003944973.2	XP_020145826.1, XP_012621046.1, XP_012621045.1, XP_020146090.1, XP_012601038.1, XP_012621047.1, XP_020141076.1
OG0000035	XP_039318842.1, XP_039318843.1	XP_012621797.1
OG0000035	XP_039320122.1	XP_012619798.1
OG0000035	XP_003922471.1	XP_012620530.1
OG0000035	XP_039316629.1	XP_012614407.1
OG0000035	XP_039331779.1	XP_012644914.1
OG0000035	XP_003925881.1	XP_012631175.1
OG0000036	XP_003922417.1	XP_012621879.2, XP_012621903.1, XP_012621933.1
OG0000036	XP_003922419.1	XP_012621834.1, XP_020136186.1, XP_012621864.2
OG0000036	XP_003922415.1	XP_012621955.1
OG0000038	XP_039327428.1, XP_003920141.1	XP_012602142.1
OG0000039	XP_003927439.2	XP_012623865.1
OG0000039	XP_039318609.1	XP_012623864.1
OG0000039	XP_003944692.1	XP_012591805.1
OG0000039	XP_039317243.1	XP_012639934.1
OG0000039	XP_010347833.2	XP_012617155.2
OG0000039	XP_039315957.1	XP_012601634.1
OG0000039	XP_003932683.1	XP_012625877.1
OG0000040	XP_003927936.1	XP_012620127.1
OG0000041	XP_010335862.2, XP_003920143.2	XP_012602149.1, XP_020142260.1
OG0000042	XP_010335516.2	XP_012612185.1
OG0000042	XP_003920450.1	XP_012612152.1, XP_012608504.2, XP_020142421.1
OG0000043	XP_003920426.2, XP_003919855.1	XP_012640814.2
OG0000043	XP_010335361.2	XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1
OG0000044	XP_003942034.2	XP_012609563.1
OG0000044	XP_039318565.1	XP_012596793.1
OG0000044	XP_003944781.1	XP_012596789.1
OG0000045	XP_039331909.1	XP_020138865.1
OG0000045	XP_039332728.1	XP_020136755.1
OG0000045	XP_039332730.1	XP_012633220.1
OG0000045	XP_003929291.1, XP_003929292.1	XP_012633193.1, XP_012633184.1
OG0000045	XP_010338158.2	XP_012633169.1
OG0000046	XP_039321667.1	XP_012613755.1
OG0000048	XP_010329363.1	XP_012616684.2, XP_012616670.1
OG0000048	XP_039323255.1, XP_039323254.1	XP_020139184.1, XP_020139183.1
OG0000048	XP_010329364.2	XP_020138897.1
OG0000048	XP_003943259.1	XP_012616683.2, XP_012616569.2, XP_020138894.1
OG0000049	XP_003924537.2, XP_010333524.2	XP_020141259.1, XP_012611591.2
OG0000049	XP_003924539.3	XP_012611590.1
OG0000049	XP_039324393.1, XP_039324392.1	XP_012626152.1, XP_012626153.1, XP_012626155.1
OG0000051	XP_039329306.1	XP_012607324.1
OG0000051	XP_003925510.1	XP_012604860.1
OG0000051	XP_003928297.2	XP_012607323.1
OG0000051	XP_039320049.1	XP_012605901.1
OG0000051	XP_039325459.1	XP_012604862.1
OG0000051	XP_010344666.1	XP_012605846.1
OG0000052	XP_039319167.1	XP_012642546.1
OG0000052	XP_039319076.1, XP_039319077.1, XP_010341812.2	XP_020143347.1
OG0000054	XP_010346811.2	XP_012604193.1
OG0000054	XP_003937935.2	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1
OG0000055	XP_003919853.2	XP_012639383.1, XP_012599623.2
OG0000055	XP_003919854.1	XP_012639384.1
OG0000055	XP_003919856.1	XP_012639391.1
OG0000057	XP_039325466.1	XP_012604923.1
OG0000057	XP_039325468.1	XP_012604916.1
OG0000057	XP_039325470.1	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1
OG0000059	XP_010331293.1	XP_012622464.1
OG0000059	XP_039333543.1	XP_012622468.1, XP_012622465.1, XP_012622466.1, XP_012622462.1, XP_012622460.1, XP_012622469.2, XP_012622459.2, XP_012622467.2
OG0000060	XP_010334009.1	XP_020141693.1, XP_012609090.2
OG0000061	XP_003941474.2	XP_012637430.2
OG0000062	XP_039318532.1, XP_010336326.2	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	XP_012636552.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1
OG0000065	XP_039319995.1	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1
OG0000066	XP_039322182.1	XP_012590815.1
OG0000066	XP_039330999.1, XP_039329409.1, XP_039331971.1, XP_039336262.1, XP_039325713.1, XP_039335034.1, XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1, XP_039327391.1, XP_010333813.1, XP_039328754.1, XP_039330485.1, XP_039323678.1, XP_039325300.1, XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1, XP_039330262.1, XP_039329388.1	XP_012637254.1
OG0000067	XP_039320219.1	XP_012639834.2
OG0000067	XP_003935341.2	XP_012609986.1
OG0000068	XP_003920213.2	XP_012605327.2, XP_012605334.1, XP_012605328.1
OG0000069	XP_039316972.1	XP_012630800.1
OG0000069	XP_010329563.1	XP_012644303.1
OG0000069	XP_003924565.1	XP_012596989.1
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	XP_012625032.1, XP_012625033.1
OG0000072	XP_003922405.1	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1
OG0000074	XP_003923468.1	XP_012600382.1
OG0000074	XP_039327198.1, XP_039327202.1, XP_039327201.1, XP_039327199.1, XP_039327203.1, XP_039327204.1, XP_039327200.1	XP_012600296.1
OG0000074	XP_010332594.1, XP_003923466.1	XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1
OG0000075	XP_010349790.1	XP_012637940.1, XP_012637938.1, XP_012637939.1
OG0000075	XP_003943457.1, XP_010329571.1	XP_012615318.1, XP_012615320.1, XP_012615319.1
OG0000076	XP_010336471.1	XP_020137855.1
OG0000076	XP_010336477.2, XP_010336475.1	XP_012604356.2, XP_020137838.1, XP_020137859.1
OG0000076	XP_039328402.1	XP_020137858.1
OG0000076	XP_003920580.2	XP_020137853.1
OG0000077	XP_003921883.1, XP_039327768.1	XP_012638223.1
OG0000077	XP_039331441.1, XP_039330530.1, XP_039335559.1, XP_039320360.1, XP_039330546.1, XP_039335298.1, XP_039325523.1, XP_039323679.1, XP_003920400.2, XP_010336389.1	XP_012610327.2
OG0000077	XP_039328044.1	XP_012619774.1
OG0000078	XP_010335563.1	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1
OG0000080	XP_039326925.1, XP_039326924.1	XP_012605323.1
OG0000080	XP_010333275.1, XP_010333278.2	XP_012605444.1
OG0000081	XP_039318415.1	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1
OG0000081	XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1	XP_012618576.1
OG0000082	XP_039336381.1, XP_010336666.2, XP_010336667.2	XP_012635473.1, XP_012635466.2, XP_020140286.1
OG0000083	XP_003944264.1	XP_012641029.1
OG0000083	XP_003944271.2	XP_012641039.1
OG0000083	XP_039323029.1	XP_012641027.1
OG0000083	XP_003944266.1	XP_012614976.1, XP_012640981.1
OG0000083	XP_039322867.1, XP_039322866.1	XP_012641042.1
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1
OG0000086	XP_010333042.1, XP_003920167.1	XP_012605369.1
OG0000086	XP_039318297.1	XP_012632158.1
OG0000086	XP_003929141.1	XP_012625146.1, XP_020136426.1, XP_012625208.1, XP_012624902.1
OG0000087	XP_010336636.2, XP_003927726.3, XP_003927728.1, XP_003927727.1	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1
OG0000089	XP_003920486.2	XP_012602172.1
OG0000090	XP_010329648.1	XP_012599427.1
OG0000092	XP_010335799.2	XP_012643281.1
OG0000093	XP_010329932.1	XP_012614553.1
OG0000095	XP_039331824.1	XP_020138138.1
OG0000095	XP_003943509.1, XP_003943507.1	XP_012611412.1, XP_012611409.1
OG0000095	XP_003943511.1	XP_012611251.1, XP_012611408.1, XP_012611248.2, XP_012611252.1, XP_012611249.1
OG0000096	XP_010335039.2	XP_012629913.1
OG0000096	XP_039318544.1	XP_012623893.1
OG0000099	XP_039335746.1	XP_012610672.2
OG0000099	XP_039335344.1	XP_012610556.2
OG0000100	XP_039330331.1, XP_039330330.1, XP_039330328.1, XP_039330333.1, XP_039330334.1, XP_039330335.1, XP_039330332.1, XP_039330329.1, XP_039330327.1, XP_039330326.1	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1
OG0000100	XP_003934223.1	XP_012614771.1
OG0000101	XP_010349156.1, XP_003940188.1	XP_012622873.1
OG0000101	XP_010330140.1	XP_012645403.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2
OG0000103	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1	XP_020139760.1, XP_020139759.1
OG0000103	XP_003939109.1	XP_012596669.1, XP_012596670.1, XP_012596671.1
OG0000104	XP_003943324.2, XP_010329420.2, XP_039330409.1	XP_012604689.1
OG0000105	XP_039318127.1, XP_039318128.1	XP_012595109.1
OG0000106	XP_003930828.1	XP_012597004.1
OG0000106	XP_039323985.1	XP_012638882.1
OG0000106	XP_003930132.1	XP_012619690.1
OG0000106	XP_003932297.1	XP_012637795.1
OG0000106	XP_003934194.1	XP_012614334.1
OG0000107	XP_010332917.2	XP_012605310.1
OG0000108	XP_010345593.1, XP_039325580.1	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1
OG0000109	XP_003925465.1	XP_012618633.1
OG0000109	XP_010329964.2	XP_012625631.1
OG0000109	XP_010329965.2	XP_012625639.1
OG0000109	XP_003943899.2	XP_012625636.2
OG0000109	XP_010330044.2	XP_012625637.2
OG0000110	XP_003929179.1	XP_012632579.1, XP_012632570.1
OG0000110	XP_003929189.1, XP_039331915.1	XP_020136742.1
OG0000110	XP_039332486.1	XP_012632592.1
OG0000111	XP_039317041.1, XP_039317022.1	XP_012616382.1, XP_012616380.2
OG0000113	XP_003944326.2, XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1
OG0000114	XP_003925650.1	XP_012607527.1
OG0000114	XP_039325923.1	XP_012607530.1
OG0000114	XP_039325966.1, XP_039325453.1	XP_012606894.1, XP_012607531.1
OG0000114	XP_003925648.1	XP_012607532.1
OG0000114	XP_003925649.1	XP_012607528.1
OG0000115	XP_003939159.1	XP_012614846.1
OG0000115	XP_039320196.1	XP_012634043.1, XP_012634045.1, XP_012634041.1, XP_012634042.1
OG0000116	XP_010338411.1	XP_012626405.1
OG0000116	XP_039324253.1	XP_020137718.1, XP_012637946.1
OG0000116	XP_003928756.1	XP_012618286.1
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1
OG0000119	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1	XP_012634378.1, XP_012634381.1, XP_012634382.1, XP_012634380.1, XP_012634379.1
OG0000120	XP_003934288.1	XP_012614299.1
OG0000121	XP_010344410.1, XP_039317051.1	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1
OG0000122	XP_003937411.2	XP_012630490.1
OG0000122	XP_039323537.1, XP_003942212.1, XP_010328314.1, XP_039321049.1, XP_039318995.1, XP_039329947.1, XP_039320981.1, XP_039327395.1, XP_039335777.1, XP_039330610.1, XP_039320737.1	XP_012615924.1
OG0000123	XP_003933125.2	XP_012634752.1, XP_012634782.1
OG0000124	XP_039331406.1, XP_010334463.2	XP_012637921.1
OG0000124	XP_039331473.1	XP_020140586.1
OG0000124	XP_003920544.2	XP_012629347.2
OG0000125	XP_003942839.2	XP_012621238.1
OG0000125	XP_039332456.1, XP_039332455.1, XP_010328942.2	XP_012621506.1, XP_012621241.1, XP_012621239.2
OG0000125	XP_003942837.1	XP_020136415.1
OG0000127	XP_010338390.1, XP_003929523.1	XP_012621712.1, XP_012621715.1, XP_012621713.1, XP_012621714.1
OG0000128	XP_003927334.1	XP_012596811.1
OG0000128	XP_003927335.1	XP_012596813.1
OG0000128	XP_003945327.2, XP_010336299.1	XP_012596845.1
OG0000128	XP_003927336.1	XP_012596812.1
OG0000129	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1	XP_020142730.1, XP_012616311.1, XP_020142727.1, XP_012616307.1
OG0000130	XP_003923415.2	XP_012642082.1
OG0000130	XP_003923416.1	XP_012641922.1
OG0000130	XP_003923414.2	XP_012642080.1
OG0000131	XP_003919834.1, XP_003919833.1	XP_012641906.1, XP_012599612.1, XP_012641907.1
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	XP_012600827.1, XP_012600831.1, XP_012600808.1, XP_012600818.1, XP_012600835.1
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	XP_012646316.1, XP_012646313.1, XP_012646318.1, XP_012646311.1, XP_012646312.1, XP_012646317.1, XP_012646315.1, XP_012646314.1
OG0000134	XP_039317575.1	XP_012615932.1
OG0000135	XP_003940906.1	XP_012645503.1
OG0000136	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1	XP_020144366.1, XP_020144368.1, XP_020144365.1, XP_020144367.1, XP_012645521.1, XP_012645522.1
OG0000137	XP_010338728.2	XP_012623584.2
OG0000137	XP_003929870.1	XP_012623673.2, XP_020145272.1, XP_012623663.2
OG0000138	XP_003923429.1	XP_012641891.1
OG0000138	XP_003923885.1	XP_012641949.1
OG0000138	XP_003923883.2	XP_012641943.1
OG0000138	XP_010332537.1	XP_012641945.1, XP_020142471.1
OG0000139	XP_010344126.2	XP_020145820.1
OG0000142	XP_039317843.1	XP_012611226.1
OG0000143	XP_010331145.1	XP_020136387.1, XP_020136388.1, XP_012615462.1
OG0000143	XP_003941094.1	XP_012610469.1
OG0000144	XP_010342032.2	XP_020137476.1
OG0000145	XP_003922490.1	XP_012618337.1, XP_012618339.1, XP_012618329.1, XP_012618328.1, XP_012618338.1, XP_012618330.1, XP_012618332.1, XP_012618326.1, XP_012618336.1, XP_012618335.1, XP_012618334.1, XP_012618340.1, XP_012618331.1, XP_012618333.1
