Orthogroup	Saimiri_boliviensis_boliviensis	Mesocricetus_auratus
OG0000008	XP_003939553.1	XP_040589595.1
OG0000008	XP_003936386.1	XP_005076380.2, XP_021086449.1, XP_040592559.1
OG0000010	XP_003920483.3	XP_005065035.2
OG0000010	XP_003920480.2	XP_040600849.1
OG0000010	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2	XP_005065040.1
OG0000011	XP_039316746.1	XP_040597859.1
OG0000011	XP_010340082.2	XP_040597868.1
OG0000011	XP_039326277.1	XP_040597855.1
OG0000011	XP_039326275.1	XP_040597852.1
OG0000011	XP_039328082.1, XP_039328036.1	XP_040597857.1, XP_040597858.1
OG0000011	XP_039316705.1, XP_039327835.1	XP_040597854.1
OG0000011	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1	XP_005139286.1
OG0000011	XP_039328029.1	XP_040597863.1
OG0000011	XP_039328885.1	XP_040597860.1
OG0000011	XP_010340091.2	XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1
OG0000011	XP_010340171.2	XP_040597853.1
OG0000012	XP_003924128.1	XP_005088691.1
OG0000012	XP_003924124.1	XP_005080125.1
OG0000012	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2	XP_040599889.1, XP_040599760.1, XP_040599888.1
OG0000013	XP_003938964.1	XP_040591191.1
OG0000013	XP_010347905.2	XP_005077396.1, XP_040592895.1, XP_005088155.2
OG0000014	XP_003944066.2	XP_012980406.1
OG0000014	XP_003944055.1	XP_012980379.2
OG0000014	XP_003944052.3	XP_040590028.1
OG0000015	XP_003938968.2	XP_040593112.1, XP_012976898.1, XP_021087015.1
OG0000016	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2
OG0000017	XP_039334162.1	XP_005081713.2, XP_040603898.1, XP_040603900.1, XP_040603899.1
OG0000017	XP_003944789.1	XP_005086742.1
OG0000017	XP_039331397.1	XP_040603984.1, XP_040603983.1
OG0000017	XP_010331339.1	XP_040591625.1, XP_040591602.1
OG0000018	XP_003931776.1	XP_005069967.1
OG0000018	XP_003942033.1	XP_021080732.2
OG0000019	XP_003935823.1	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1
OG0000019	XP_003935822.1	XP_005064841.2
OG0000020	XP_010330294.2, XP_010330261.2, XP_010330262.2, XP_039322954.1, XP_039322950.1, XP_039323238.1, XP_039322687.1, XP_003944118.2, XP_039322689.1, XP_039322688.1	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1
OG0000022	XP_010336464.1	XP_012968143.1
OG0000022	XP_039328169.1	XP_012968137.1
OG0000022	XP_010339946.2	XP_040597834.1
OG0000022	XP_003920570.1	XP_012968139.1
OG0000022	XP_010336450.2	XP_012968141.1
OG0000022	XP_010336498.1	XP_012968138.2
OG0000022	XP_010336445.2	XP_040597837.1
OG0000022	XP_003920574.1	XP_040597835.1
OG0000022	XP_010336467.2	XP_040597836.1
OG0000022	XP_039328577.1	XP_040597838.1
OG0000022	XP_039328684.1	XP_012968142.1
OG0000023	XP_039322918.1	XP_021090051.1
OG0000024	XP_003923612.1	XP_005069439.1, XP_005069315.1, XP_012968276.2, XP_005069438.2, XP_040585969.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	XP_012973615.1
OG0000027	XP_010334588.2	XP_005070529.1
OG0000027	XP_010348076.2	XP_040609793.1
OG0000027	XP_039318403.1	XP_040593732.1
OG0000027	XP_003939105.2	XP_040611487.1
OG0000027	XP_039328209.1	XP_040609790.1
OG0000027	XP_010348074.2	XP_040609794.1
OG0000028	XP_003920201.3	XP_012966156.1, XP_012967592.1, XP_012967554.1, XP_005063854.1, XP_040588468.1, XP_012967590.1
OG0000028	XP_003920501.1	XP_005063306.1, XP_005063857.1
OG0000031	XP_010344198.2	XP_005067750.1
OG0000031	XP_003944778.3	XP_040612128.1, XP_005086751.3, XP_040611602.1
OG0000031	XP_003944777.1	XP_040611600.1, XP_040611601.1
OG0000032	XP_039327706.1	XP_040597881.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_012968668.2
OG0000033	XP_003931923.1	XP_005070011.3
OG0000033	XP_010340761.1	XP_012968934.1
OG0000034	XP_003944973.2	XP_005077657.1, XP_012981677.2, XP_005087476.2, XP_012973194.1, XP_005076167.1, XP_005076126.2, XP_005087477.1, XP_005087475.2, XP_040595329.1, XP_040593015.1
OG0000035	XP_039318843.1	XP_012975185.1
OG0000035	XP_039320122.1	XP_005064723.1
OG0000035	XP_003922471.1	XP_005063733.1
OG0000035	XP_039316629.1	NP_001268524.1, XP_012975858.1
OG0000035	XP_039331779.1	XP_040606104.1
OG0000035	XP_003925881.1	XP_005065601.1
OG0000036	XP_003922420.1	NP_001268612.1
OG0000036	XP_003922415.1	XP_005063672.1
OG0000038	XP_039327428.1, XP_003920141.1	XP_005065093.1, XP_005065094.1, XP_005065098.1, XP_021089454.1, XP_012975394.1
OG0000039	XP_003927439.2	XP_040611731.1
OG0000039	XP_039318609.1	XP_005066458.1
OG0000039	XP_003944692.1	XP_005087662.1
OG0000039	XP_039317243.1	XP_005083770.1
OG0000039	XP_010347833.2	XP_005081404.1
OG0000039	XP_039315957.1	XP_005073218.1
OG0000039	XP_003932683.1	XP_040588788.1
OG0000039	XP_039319462.1, XP_039319460.1	XP_005074701.1
OG0000040	XP_039328176.1	XP_005066965.1
OG0000041	XP_010335862.2, XP_003920143.2	XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1
OG0000042	XP_010335516.2	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1
OG0000042	XP_003920450.1	XP_021079562.2, XP_040589197.1, XP_040597262.1
OG0000043	XP_003920426.2, XP_003919855.1, XP_010335361.2	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1
OG0000044	XP_003942034.2	XP_021080739.1
OG0000044	XP_003944781.1	XP_012981124.1
OG0000045	XP_039331909.1	XP_012967012.1
OG0000045	XP_039332728.1	XP_005067661.2
OG0000045	XP_039332730.1	XP_005067663.2
OG0000045	XP_003929291.1, XP_003929292.1	XP_040604829.1
OG0000045	XP_010338158.2	XP_040604830.1
OG0000046	XP_010331142.2	XP_040593590.1, XP_040593589.1, XP_005083451.1, XP_005083446.1, XP_040594995.1
OG0000048	XP_010329363.1	XP_005086519.2, XP_005086487.1
OG0000048	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1	XP_040590516.1, XP_040590186.1, XP_040590252.1
OG0000049	XP_003924537.2, XP_010333524.2, XP_039323980.1	XP_012970837.1
OG0000049	XP_039324393.1, XP_039324392.1	XP_040598230.1, XP_005075263.2, XP_040598231.1
OG0000051	XP_039329306.1	XP_040589515.1
OG0000051	XP_003925510.1	XP_040609155.1
OG0000051	XP_003928297.2	XP_040589514.1
OG0000051	XP_039320049.1	XP_012977763.1
OG0000051	XP_039325459.1	XP_040609153.1, XP_040609154.1
OG0000051	XP_010344666.1	XP_005082522.1
OG0000052	XP_039319167.1	XP_040592338.1
OG0000052	XP_039319076.1, XP_039319077.1, XP_010341812.2	XP_021078671.1, XP_012966499.1, XP_040610156.1, XP_040592247.1
OG0000054	XP_010346811.2	XP_012976161.1
OG0000055	XP_003919853.2	XP_005075771.1
OG0000055	XP_003919854.1	XP_005075773.1, XP_005075776.1, XP_005075775.1, XP_005075770.1
OG0000055	XP_003919856.1	XP_021086135.2, XP_012972950.1
OG0000057	XP_039325467.1, XP_039325466.1	XP_040609095.1, XP_040609094.1, XP_040609097.1
OG0000057	XP_039325468.1	XP_040609083.1
OG0000057	XP_039325470.1	XP_040609082.1, XP_040609085.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1
OG0000059	XP_010331293.1, XP_039333543.1	XP_005076799.1, XP_040606237.1, XP_012973635.3, XP_005076844.2, XP_005076797.1, XP_012973648.1, XP_040606244.1, XP_012973632.1, XP_005076796.1, XP_040606246.1, XP_040606247.1
OG0000060	XP_010334009.1	XP_012980426.1, XP_040608584.1, XP_012980427.1
OG0000061	XP_003941474.2	XP_012978726.1
OG0000062	XP_039318532.1, XP_010336326.2	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1
OG0000065	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1	XP_005139289.2, XP_040602518.1, XP_040608744.1
OG0000066	XP_039335034.1	XP_040607425.1
OG0000066	XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1	XP_040610768.1
OG0000066	XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1	XP_040605362.1
OG0000067	XP_039320219.1	XP_005076495.1
OG0000067	XP_003935341.2	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2
OG0000068	XP_003920213.2	XP_005063311.1
OG0000069	XP_039316972.1	XP_040596557.1, XP_040596556.1, XP_040596558.1
OG0000069	XP_010329563.1	XP_005139384.2
OG0000069	XP_003943448.2	XP_012982640.1
OG0000069	XP_003924565.1	XP_005086454.1
OG0000069	XP_003939886.1, XP_010348853.1	XP_005068441.1
OG0000070	XP_010337017.1	XP_021085276.1
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	XP_012971826.1, XP_012971753.2, XP_040607730.1
OG0000072	XP_003922405.1	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1
OG0000074	XP_003923468.1	XP_040613609.1
OG0000074	XP_010332594.1, XP_003923466.1	XP_005074087.1
OG0000075	XP_010349790.1	XP_005084587.1
OG0000075	XP_003943457.1, XP_010329571.1	XP_040600633.1
OG0000076	XP_010336471.1	XP_021082326.2
OG0000076	XP_010336477.2	XP_040597842.1
OG0000076	XP_010336475.1	XP_040597840.1
OG0000076	XP_010336456.1	XP_040597832.1
OG0000076	XP_039328402.1	XP_040597833.1
OG0000076	XP_003920580.2	XP_040597839.1
OG0000077	XP_039328044.1	XP_012966788.1
OG0000078	XP_010335563.1	NP_001268256.1, XP_040610188.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1
OG0000080	XP_010333275.1, XP_010333278.2	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1
OG0000081	XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1	XP_040590974.1
OG0000082	XP_039336381.1, XP_010336666.2, XP_010336667.2	XP_040588269.1, XP_040588270.1, XP_040588274.1
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	XP_040584800.1, XP_005082842.2, XP_021090181.1
OG0000086	XP_010333042.1, XP_003920167.1	XP_005065146.1
OG0000086	XP_039318297.1	XP_021087100.2
OG0000086	XP_003929141.1	XP_012973815.1, XP_021086732.1
OG0000087	XP_003927726.3, XP_003927728.1, XP_003927727.1	XP_021085058.1, XP_005073964.1, XP_040606293.1, XP_012971615.2, XP_005073894.2, XP_040606221.1, XP_005073967.1, XP_040606220.1, XP_040606222.1, XP_021085049.1, XP_005073895.2, XP_005073896.1
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1
OG0000089	XP_003920486.2	XP_012975736.2, XP_005065076.1, XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1
OG0000090	XP_010329648.1	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1
OG0000092	XP_010335799.2	XP_021088358.1
OG0000093	XP_010329932.1	XP_005080052.1
OG0000095	XP_039331824.1	XP_005079189.1
OG0000095	XP_003943509.1, XP_003943507.1	XP_005079186.1
OG0000095	XP_003943511.1	NP_001268811.1
OG0000096	XP_010335039.2	XP_005081499.1, XP_012976978.1, XP_012976979.1
OG0000096	XP_039318544.1	XP_012966033.2, XP_040611717.1, XP_040611727.1, XP_040611719.1, XP_040611718.1
OG0000099	XP_039335746.1	XP_021080880.2, XP_040597302.1
OG0000099	XP_039335344.1	XP_012967795.1
OG0000100	XP_039330326.1	XP_040590986.1
OG0000100	XP_003934223.1	XP_005080471.1
OG0000101	XP_010349156.1, XP_003940188.1	XP_005088403.1, XP_005088404.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1
OG0000103	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1	XP_040611494.1, NP_001297498.1, XP_021083830.2, NP_001297485.1, XP_005071802.1, XP_040611493.1, NP_001268527.1, XP_005071810.1, XP_040611499.1
OG0000103	XP_003939122.1	XP_005071800.3
OG0000104	XP_003943324.2, XP_010329420.2, XP_039330409.1	XP_012977305.1
OG0000104	XP_039330507.1, XP_003943302.2	XP_040603486.1, XP_040589366.1, XP_040589367.1, XP_040589479.1
OG0000105	XP_039318127.1, XP_039318128.1	XP_040591166.1
OG0000106	XP_003930828.1	XP_040602671.1
OG0000106	XP_003930132.1	XP_005064427.1
OG0000106	XP_003932297.1	XP_005080701.2
OG0000106	XP_003934194.1	XP_040587404.1
OG0000107	XP_010332917.2	XP_040600824.1, XP_005065129.1
OG0000108	XP_010345593.1, XP_039325580.1	XP_040608920.1, XP_040608919.1, XP_040608921.1
OG0000109	XP_010329964.2	XP_005078833.2
OG0000109	XP_003943899.2	XP_040597897.1
OG0000110	XP_003929179.1	XP_040604934.1
OG0000110	XP_003929189.1, XP_039331915.1	XP_040604931.1, XP_005067566.1
OG0000110	XP_039332486.1	XP_040604935.1, XP_040604937.1, XP_040604936.1
OG0000111	XP_039317041.1, XP_039317022.1	XP_012982372.1, XP_005088276.2, XP_040587443.1
OG0000113	XP_003944326.2, XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1	XP_040600343.1, XP_040600344.1, XP_040600374.1, XP_040600373.1, XP_005076782.1
OG0000114	XP_003925650.1	XP_040609380.1
OG0000114	XP_039325923.1	XP_005070620.1
OG0000114	XP_039325966.1, XP_039325453.1	XP_005070610.2, XP_040608709.1
OG0000114	XP_003925648.1	XP_040609379.1
OG0000114	XP_003925649.1	XP_021082995.1
OG0000115	XP_003939159.1	XP_005067252.1
OG0000115	XP_039320196.1	XP_012967007.1, XP_005067757.1
OG0000116	XP_010338411.1	XP_040607688.1
OG0000116	XP_039324253.1	XP_040614037.1
OG0000116	XP_003928756.1	XP_005070838.1
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	XP_040592964.1
OG0000119	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1	XP_005066137.1, XP_005066138.1, XP_012965891.1, XP_012965892.1
OG0000120	XP_003934288.1	XP_040607247.1
OG0000121	XP_010344410.1, XP_039317051.1	XP_040598139.1, XP_005075252.1, XP_040598140.1, XP_021085845.1, XP_012972648.1, XP_012972650.1, XP_012972652.1, XP_012972649.1
OG0000122	XP_003937411.2	XP_012977225.2
OG0000122	XP_039323537.1, XP_003942212.1, XP_010328314.1, XP_039321049.1, XP_039318995.1, XP_039329947.1, XP_039320981.1, XP_039327395.1, XP_039335777.1, XP_039330610.1, XP_039320737.1	XP_040587071.1
OG0000123	XP_003933125.2	XP_005067471.1
OG0000124	XP_039331406.1, XP_010334463.2	XP_040592747.1
OG0000124	XP_039331473.1	XP_012974027.1
OG0000124	XP_010334417.2, XP_003920544.2	XP_040589326.1
OG0000125	XP_003942839.2	XP_005087419.3
OG0000125	XP_039332456.1, XP_039332455.1, XP_010328942.2	XP_040603962.1, XP_040603963.1, XP_040605621.1
OG0000125	XP_003942837.1	XP_021079408.2
OG0000127	XP_010338390.1, XP_003929523.1	XP_012978066.1
OG0000128	XP_003927334.1	XP_021080724.1
OG0000128	XP_003927335.1	XP_012966127.1
OG0000128	XP_003945327.2, XP_010336299.1	XP_012966093.1
OG0000128	XP_003927336.1	XP_012966126.1
OG0000129	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1	XP_040596085.1, XP_040595678.1, XP_040595676.1
OG0000130	XP_003923414.2	XP_005074159.2, XP_012981599.1, XP_040587531.1
OG0000131	XP_003919834.1, XP_003919833.1	XP_005075791.1, XP_005075797.1, XP_005075792.1, XP_005075796.2, XP_005075793.1, XP_005075795.1, XP_005075835.1, XP_005075794.1
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	XP_040584133.1, XP_012965653.1, XP_005065914.1, XP_040584136.1, XP_040584135.1, XP_012965654.1, XP_040584134.1
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	XP_012974105.1, XP_040589323.1, XP_040589322.1, XP_040589324.1
OG0000134	XP_039317575.1	XP_040594363.1
OG0000135	XP_003940906.1	XP_040597461.1
OG0000136	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1	XP_040597418.1, XP_040597423.1, XP_040597422.1, XP_040597412.1, XP_040597417.1, XP_040597415.1, XP_040597425.1, XP_040597421.1, XP_040597420.1, XP_040597419.1, XP_040597424.1, XP_040597416.1, XP_040597414.1, XP_040597413.1
OG0000137	XP_010338728.2	XP_005083118.2
OG0000137	XP_003929870.1	XP_005083116.2
OG0000138	XP_010332537.1	XP_040589663.1, XP_005074200.1
OG0000139	XP_010344126.2	XP_012966997.1, XP_040604645.1, XP_021081513.1, XP_021081512.1, XP_012966996.1, XP_012966991.1, XP_012966995.1, XP_012966994.1, XP_012966990.1
OG0000142	XP_039317843.1	XP_005078668.1, XP_021087797.1, XP_012974904.1
OG0000143	XP_010331145.1	XP_012981119.1
OG0000143	XP_003941094.1	XP_040602219.1, XP_040600743.1
OG0000144	XP_010342032.2	XP_040602345.1
OG0000145	XP_003922490.1	XP_040601513.1, XP_040601471.1, XP_040601448.1, XP_040601475.1, XP_040601461.1, XP_040601506.1, XP_040601487.1, XP_040601429.1, XP_040601454.1, XP_040601443.1, XP_040601434.1, XP_040601477.1, XP_040601494.1, XP_040601500.1
OG0000146	XP_003938814.1, XP_010347708.1, XP_010347707.1	XP_012965929.1, XP_021080520.1, XP_005066248.1
OG0000147	XP_003922600.1, XP_003922604.1, XP_003922602.1	XP_040592908.1, NP_001268492.1
OG0000147	XP_039316002.1, XP_003922597.1	NP_001268484.1, XP_040592907.1, XP_021087628.1, NP_001268508.1
OG0000149	XP_039322050.1	XP_040590635.1
OG0000149	XP_003937990.1	XP_040594233.1
OG0000149	XP_039316778.1	XP_005076578.1
OG0000149	XP_039316042.1	XP_040594544.1
OG0000150	XP_003936326.2	XP_005076240.1, XP_005078720.2, XP_012973285.2, XP_040592500.1, XP_040592499.1, XP_040592504.1, XP_040592552.1, XP_040592498.1, NP_001297488.1, XP_040596812.1, XP_040596798.1, XP_040592497.1, XP_005076235.1, XP_012981989.3, XP_040592495.1
OG0000151	XP_003929394.1	XP_005077129.1
OG0000151	XP_039332402.1	XP_005077002.1
OG0000151	XP_010337959.2	XP_040605238.1
OG0000152	XP_010327969.1	XP_005080372.2
OG0000157	XP_039335444.1	XP_005074597.1, XP_012972156.1, XP_012972155.1, XP_012972153.1
OG0000157	XP_010345028.2, XP_039324567.1, XP_003926376.2, XP_010347515.2, XP_039334905.1, XP_039326433.1, XP_039328448.1, XP_039324106.1, XP_039329265.1, XP_039327213.1, XP_039327413.1, XP_039318778.1, XP_039320425.1	XP_005073762.1
OG0000158	XP_039324854.1	XP_040596009.1
OG0000158	XP_010344317.2	XP_040588033.1
OG0000158	XP_039325120.1, XP_039317372.1	XP_040597923.1
OG0000158	XP_039334913.1, XP_039334978.1	XP_040587749.1, XP_040605485.1
OG0000160	XP_039323747.1	XP_040586725.1
OG0000160	XP_039319179.1, XP_039326032.1, XP_039327742.1, XP_039334578.1, XP_039323768.1	XP_012969172.1
OG0000160	XP_010336005.1	XP_021091282.1
OG0000161	XP_003922654.1	XP_040593271.1, XP_021088617.2, XP_040607160.1, XP_005080069.2, XP_040593260.1, XP_040593267.1, XP_040593265.1, XP_040593266.1, XP_040593262.1, XP_040593264.1, XP_040593263.1, XP_040593268.1, XP_012969603.1, XP_005071276.1, XP_012969602.1
OG0000163	XP_010332913.2	XP_040590680.1
OG0000164	XP_039328692.1, XP_039323908.1	XP_040597344.1
OG0000165	XP_039334862.1, XP_010347365.1, XP_010347361.1, XP_039334861.1, XP_010347362.1	XP_012979986.1
OG0000166	XP_003920764.1, XP_003920763.1	XP_040608882.1, XP_012973882.1, XP_012973883.1, XP_005077235.1, XP_012973884.1, XP_012973881.1
OG0000167	XP_039334403.1, XP_039334404.1, XP_039334405.1	XP_040611438.1, XP_040611432.1, XP_005064540.1, XP_021085005.1, XP_040611444.1
OG0000168	XP_010340774.1	XP_005070019.1, XP_005068761.1, XP_040585639.1, XP_040610240.1, XP_040593032.1, XP_040599309.1
OG0000170	XP_003919917.1, XP_039326960.1	XP_021086104.1
OG0000170	XP_003919916.1	XP_040612001.1
OG0000170	XP_039326958.1	XP_021086107.1
OG0000171	XP_039330067.1	XP_040599906.1
OG0000171	XP_039334323.1, XP_039321884.1	XP_040596701.1
OG0000171	XP_039323743.1, XP_039322467.1	XP_005065871.1
OG0000171	XP_039328286.1	XP_040612555.1
OG0000171	XP_039322473.1, XP_039318120.1	XP_040608139.1
OG0000172	XP_039320443.1	XP_021078569.1
