Orthogroup	Saimiri_boliviensis_boliviensis	Mus_musculus
OG0000020	XP_010330294.2, XP_010330261.2, XP_010330262.2, XP_039322954.1, XP_039322950.1, XP_039323238.1, XP_039322687.1, XP_003944118.2, XP_039322689.1, XP_039322688.1	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1
OG0000022	XP_010336464.1	NP_291065.3
OG0000022	XP_039328169.1	NP_291072.1
OG0000022	XP_039328208.1	NP_291073.1
OG0000022	XP_010339946.2	NP_291067.1
OG0000022	XP_003920570.1	NP_291068.2
OG0000022	XP_010336450.2	NP_291070.1
OG0000022	XP_010336498.1	NP_291069.1
OG0000022	XP_010336445.2	NP_291071.1
OG0000022	XP_003920574.1	NP_291066.1
OG0000022	XP_010336467.2	NP_291062.1
OG0000022	XP_039328577.1	NP_291063.1
OG0000022	XP_039328684.1	NP_291064.1
OG0000023	XP_039322918.1	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2
OG0000024	XP_003923612.1	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1
OG0000026	XP_010344692.1, XP_010344690.1, XP_010344691.1	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1
OG0000027	XP_010334588.2	NP_033473.1
OG0000027	XP_010348076.2	NP_033474.1
OG0000027	XP_039318403.1	NP_059075.1
OG0000027	XP_003939105.2	NP_001029051.2
OG0000027	XP_039328209.1	NP_035783.1
OG0000027	XP_010348074.2	NP_035784.1
OG0000028	XP_003920201.3	NP_001011841.1, NP_666786.1, NP_666906.1, NP_001011840.1, NP_666414.1, NP_666902.1
OG0000028	XP_003920501.1	NP_666909.1, NP_666908.2
OG0000028	XP_003920202.2	NP_666916.1
OG0000031	XP_010344198.2	NP_001011789.1
OG0000031	XP_003944778.3	NP_001011820.1, NP_666754.2
OG0000031	XP_003944777.1	NP_666753.2
OG0000032	XP_039327657.1	NP_001288188.1, NP_034087.2, NP_957695.1
OG0000033	XP_003931818.2, XP_039332378.1	XP_030101751.1, NP_001346741.1
OG0000033	XP_003931923.1	NP_001334580.1, NP_954691.3
OG0000033	XP_010340761.1	NP_001162624.1, XP_017170043.1
OG0000034	XP_003944973.2	NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1, NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2, NP_598944.1, NP_598943.1
OG0000035	XP_039318843.1	NP_033738.1
OG0000035	XP_039320122.1	NP_001258970.1
OG0000035	XP_003922471.1	NP_031418.1
OG0000035	XP_039316629.1	NP_031419.1
OG0000035	XP_039331779.1	NP_033739.1
OG0000035	XP_003925881.1	NP_780706.1
OG0000036	XP_003922420.1	NP_082365.1, XP_006527418.1
OG0000036	XP_003922415.1	XP_011245537.1, NP_663474.2
OG0000038	XP_039327428.1, XP_003920141.1	NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2, NP_666520.2, NP_667057.2, NP_667223.1
OG0000039	XP_003927439.2	NP_076205.1
OG0000039	XP_039318609.1	NP_033476.1
OG0000039	XP_003944692.1	NP_035785.1
OG0000039	XP_039317243.1	NP_666228.1
OG0000039	XP_010347833.2	NP_033477.2
OG0000039	XP_039315957.1	NP_075768.1
OG0000039	XP_003932683.1	NP_001074440.1
OG0000039	XP_039319462.1, XP_039319460.1	NP_080749.2
OG0000040	XP_039328176.1	NP_667247.1
OG0000041	XP_010335862.2, XP_003920143.2	NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2
OG0000042	XP_010335516.2	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1
OG0000042	XP_003920450.1	NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1, NP_997423.1
OG0000043	XP_003920426.2, XP_003919855.1, XP_010335361.2	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1
OG0000044	XP_003942034.2	NP_291074.1
OG0000044	XP_039318565.1	NP_694813.1
OG0000044	XP_003944781.1	NP_835500.1
OG0000045	XP_039331909.1	NP_001093105.1, XP_006532475.1
OG0000045	XP_039332728.1	NP_001074719.1
OG0000045	XP_039332730.1	XP_036012291.1, NP_796343.2
OG0000045	XP_003929291.1, XP_003929292.1	NP_001034634.2
OG0000045	XP_010338158.2	NP_034985.2
OG0000046	XP_010331142.2	XP_006524022.1, NP_001094915.1, NP_570952.1, XP_036016649.1, NP_001093657.1, NP_001343232.1
OG0000048	XP_010329363.1	NP_031701.3, XP_030098465.1, NP_036057.1
OG0000048	XP_010329409.2, XP_003943268.1, XP_039323255.1, XP_039323254.1, XP_010329364.2, XP_003943259.1	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1
OG0000049	XP_003924537.2, XP_010333524.2, XP_039323980.1	NP_065063.1
OG0000049	XP_039324393.1, XP_039324392.1	NP_787953.2
OG0000050	XP_003945067.2	NP_666838.1
OG0000051	XP_039329306.1	NP_034061.2
OG0000051	XP_003925510.1	NP_031760.2, XP_036013028.1
OG0000051	XP_003928297.2	NP_034062.3
OG0000051	XP_039320049.1	XP_011246185.1, NP_444415.2
OG0000051	XP_039325459.1	XP_011236954.1, NP_031761.1
OG0000051	XP_010344666.1	XP_006528759.1, NP_001156627.1
OG0000052	XP_039319167.1	NP_001157093.1
OG0000052	XP_039319076.1, XP_039319077.1, XP_010341812.2	XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1, NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1, XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2
OG0000054	XP_010346811.2	XP_030108264.1, NP_001396544.1
OG0000055	XP_003919853.2	NP_667136.1
OG0000055	XP_003919854.1	NP_667135.1, NP_667137.1, NP_666985.1, NP_666986.1, NP_666706.1, NP_666947.1
OG0000055	XP_003919856.1	NP_064687.2, NP_666984.1
OG0000057	XP_039325467.1, XP_039325466.1	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1
OG0000057	XP_039325468.1	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3
OG0000057	XP_039325470.1	NP_001359160.1
OG0000058	XP_039333546.1, XP_039333545.1, XP_003936708.1	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1
OG0000059	XP_010331293.1, XP_039333543.1	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2, NP_666434.2, NP_666509.2, NP_666433.1, NP_666696.2, XP_017172474.1
OG0000060	XP_010334009.1	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1
OG0000061	XP_003941474.2	NP_084235.1, XP_017174827.1
OG0000062	XP_039318532.1, XP_010336326.2	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2
OG0000063	XP_039324680.1, XP_003924508.1, XP_039324679.1	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1
OG0000064	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1
OG0000065	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1
OG0000066	XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1	XP_036018682.1, XP_036014184.1, XP_036021533.1
OG0000066	XP_039327391.1	NP_062621.2
OG0000066	XP_039330949.1, XP_039328450.1, XP_039335852.1, XP_039335851.1, XP_039324912.1	XP_036011071.1
OG0000067	XP_003935341.2	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1
OG0000068	XP_003920213.2	NP_666899.1
OG0000069	XP_039316972.1	NP_780707.1, XP_006519052.1
OG0000069	XP_010329563.1	XP_011245927.1, NP_001093931.1
OG0000069	XP_039319973.1	NP_694809.1
OG0000069	XP_003924565.1	NP_081714.2
OG0000069	XP_003939886.1, XP_010348853.1	NP_001136409.1, NP_071718.1
OG0000070	XP_010347594.1	NP_034618.2
OG0000071	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1
OG0000072	XP_003922405.1	XP_011245661.1, NP_082595.1
OG0000074	XP_003923468.1	NP_001290168.1, NP_001290160.1, NP_032061.1
OG0000074	XP_010332594.1, XP_003923466.1	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1
OG0000075	XP_010349790.1	NP_076263.1
OG0000075	XP_003943457.1, XP_010329571.1	XP_017173961.1, NP_001078975.1
OG0000076	XP_010336477.2	NP_291054.1
OG0000076	XP_010336475.1	NP_291055.1
OG0000076	XP_010336456.1	NP_291057.1
OG0000076	XP_039328402.1	NP_291056.1
OG0000076	XP_003920575.2	NP_291052.3
OG0000076	XP_003920580.2	NP_291053.1
OG0000077	XP_003921883.1, XP_039327768.1	NP_666242.2, NP_932758.1
OG0000077	XP_039335298.1	NP_001159443.1
OG0000077	XP_039325523.1, XP_039323679.1, XP_003920400.2, XP_010336389.1	NP_034577.1
OG0000077	XP_039328044.1	NP_001034218.1
OG0000078	XP_010335563.1	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1
OG0000079	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3
OG0000080	XP_010333275.1, XP_010333278.2	NP_080916.1
OG0000081	XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1	XP_006539346.1, NP_084224.1
OG0000082	XP_003927606.2	NP_001191963.1
OG0000084	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1
OG0000086	XP_010333042.1, XP_003920167.1	XP_006499529.1, NP_001005342.1
OG0000086	XP_039318297.1, XP_039332665.1, XP_003929141.1, XP_039332666.1	NP_001005341.1
OG0000087	XP_003927726.3, XP_003927728.1, XP_003927727.1	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1, NP_899012.1, NP_081431.1
OG0000088	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1
OG0000089	XP_003920486.2	NP_001011834.1, NP_666851.2, NP_666850.1, NP_666848.1, NP_666871.2, NP_667047.1, NP_666849.1, NP_666869.2, NP_996559.1, NP_666405.1
OG0000090	XP_010329648.1	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1
OG0000093	XP_010329932.1	XP_017176645.1
OG0000095	XP_039331824.1	NP_032657.1
OG0000095	XP_010329684.2	NP_038631.1
OG0000095	XP_003943509.1, XP_003943507.1	NP_038630.1, XP_006530815.1
OG0000095	XP_003943511.1	XP_036019391.1
OG0000096	XP_010335039.2	NP_035589.1
OG0000096	XP_039318544.1	NP_683744.2, NP_001369781.1, XP_036014126.1, NP_035584.1, XP_006516684.1, NP_001157590.1, NP_033280.1, NP_001230121.1, XP_011242601.1, NP_001157589.1
OG0000099	XP_039335746.1	XP_006535434.1, NP_001166930.1, NP_001166931.1, XP_006530146.1, NP_001002898.1
OG0000099	XP_039335344.1	NP_001277948.1, XP_036015585.1
OG0000100	XP_039330326.1	NP_032168.1
OG0000100	XP_003934223.1	NP_034442.1, XP_006504616.1
OG0000101	XP_010349156.1, XP_003940188.1	NP_063921.1, NP_001300646.1, NP_001300645.1
OG0000102	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1	NP_690024.1, NP_705826.1
OG0000103	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1	NP_001013807.2, NP_038805.2, NP_081858.2, NP_598827.1, XP_030102973.1, NP_598833.1, XP_006516528.1, NP_001298061.1, NP_085114.1, NP_084177.2
OG0000104	XP_003943324.2, XP_010329420.2, XP_039330409.1	NP_001276422.1, NP_001276421.1, NP_061204.3, NP_001342332.1, XP_006501782.1, NP_663520.2, NP_001076781.1
OG0000104	XP_039330507.1, XP_003943302.2	XP_036021572.1, NP_001411600.1, NP_083785.3, XP_011247895.1, NP_001034735.2, NP_919317.2, XP_011247687.1
OG0000105	XP_039318127.1, XP_039318128.1	XP_036011259.1
OG0000106	XP_003930828.1	NP_075017.2
OG0000106	XP_003930132.1	NP_058034.1
OG0000106	XP_003932297.1	NP_001371255.1
OG0000106	XP_003934194.1	XP_017176539.1
OG0000107	XP_010332917.2	NP_666646.1, NP_666645.1, XP_006499612.1, NP_666644.1
OG0000108	XP_010345593.1, XP_039325580.1	NP_001408428.1, NP_001408427.1, NP_001153191.1, NP_035021.1, NP_001408425.1, NP_001408424.1, NP_001408426.1, NP_001408423.1, NP_001153189.1, NP_001153190.1, NP_001408431.1, NP_001408429.1, NP_001408430.1
OG0000109	XP_010329964.2	NP_062346.1
OG0000110	XP_003929179.1	NP_001300856.1, NP_031519.1, NP_001300854.1, NP_001300855.1
OG0000110	XP_003929189.1, XP_039331915.1	NP_033844.1, XP_017169720.1, NP_001278060.1, NP_001278061.1
OG0000110	XP_039332486.1	XP_006532975.1, NP_660119.1, NP_001191181.1
OG0000111	XP_039317041.1, XP_039317022.1	NP_001243902.1, XP_017177923.1, NP_034219.3, NP_001001559.2, NP_031913.1, NP_958811.2
OG0000113	XP_003944326.2, XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1	XP_006528649.1, NP_001346208.1, NP_001346206.1, NP_001025149.2, NP_001346207.1, NP_079631.2, NP_001352047.1, NP_001352046.1, NP_808587.1
OG0000114	XP_003925650.1	NP_658906.1
OG0000114	XP_039325923.1	NP_031802.2
OG0000114	XP_039325966.1, XP_039325453.1	NP_031803.3, NP_081286.1
OG0000114	XP_003925648.1	NP_031800.1
OG0000114	XP_003925649.1	NP_001076042.1
OG0000115	XP_003939159.1	NP_031504.1, NP_001342439.1
OG0000115	XP_039320196.1	NP_031502.1, NP_001123880.1
OG0000116	XP_039328259.1	XP_006526183.1
OG0000116	XP_010338411.1	XP_036019109.1
OG0000116	XP_039324253.1	NP_064296.1
OG0000118	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1	NP_034582.1, XP_011239527.1
OG0000119	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1	NP_001159900.1, NP_001159903.1, NP_001159899.1, XP_006506892.1, NP_001159901.1, NP_001159904.1, NP_598595.1, NP_001159902.1
OG0000120	XP_003934288.1	NP_032912.2
OG0000121	XP_010344410.1, XP_039317051.1	NP_001351185.1, NP_766341.4, XP_006509689.1, NP_001239552.1
OG0000122	XP_003937411.2	NP_001277560.1
OG0000123	XP_003933125.2	NP_666458.1
OG0000124	XP_039331406.1, XP_010334463.2	NP_033319.1
OG0000125	XP_003942839.2	NP_001152846.2
OG0000125	XP_039332456.1, XP_039332455.1, XP_010328942.2	NP_082259.2, NP_038598.1, NP_034789.2
OG0000125	XP_003942837.1	NP_081839.1
OG0000127	XP_010338390.1, XP_003929523.1	NP_001366512.1, NP_083219.2, XP_011238551.1, NP_001366516.1, NP_001366514.1, NP_001366511.1, NP_001366515.1, NP_001366513.1
OG0000128	XP_003927334.1	NP_598830.2
OG0000128	XP_003927335.1	XP_006516679.1, NP_001164109.1, NP_033224.3
OG0000128	XP_003945327.2, XP_010336299.1	XP_006516709.1
OG0000128	XP_003927336.1	NP_795990.2, XP_006516756.1
OG0000129	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1	NP_032207.3, NP_001230021.1, NP_032208.2, XP_006510877.1, NP_001116132.1
OG0000130	XP_003923414.2	NP_667333.2, NP_038644.2
OG0000131	XP_003919834.1, XP_003919833.1	NP_666465.1, XP_017167724.1, NP_083186.2, NP_001347676.1, NP_667243.2, NP_001011862.1, NP_666664.1, NP_666811.1, NP_666807.1, NP_666813.2, NP_666809.1, NP_001011749.1, NP_666663.2
OG0000132	XP_010335850.1, XP_010335851.1, XP_010335852.1	NP_001345712.1, NP_001345711.1, XP_006512619.1, NP_034567.2
OG0000133	XP_039316876.1, XP_010342172.1, XP_010342173.1, XP_010342174.1, XP_039316875.1	NP_001116240.1, NP_848816.3, XP_006534956.1
OG0000134	XP_039317575.1	NP_001359349.1
OG0000135	XP_003940906.1	NP_001231621.1, NP_776293.1, NP_001231622.1, XP_030109815.1
OG0000136	XP_010344340.1, XP_039320743.1, XP_039320742.1, XP_003935559.1, XP_039320740.1, XP_003935560.1, XP_010344338.1, XP_039320741.1	XP_006537959.1, NP_001342645.1, NP_775602.1
OG0000137	XP_010338728.2	NP_666385.1
OG0000137	XP_003929870.1	NP_666408.1
OG0000138	XP_003923429.1	NP_001001805.2
OG0000138	XP_003923885.1	NP_667325.1
OG0000138	XP_010332537.1	NP_667322.1
OG0000139	XP_010344126.2	NP_001243445.1, NP_001243447.1, NP_848876.2, NP_001243448.1, NP_001243449.1, XP_006533583.1, NP_001243446.1
OG0000140	XP_039333181.1	NP_663433.2
OG0000142	XP_039317843.1	NP_082497.2, XP_006530603.1, NP_001350385.1
OG0000143	XP_010331145.1	NP_001336621.1, NP_001076431.1, NP_001336619.1, NP_001076430.1, NP_038698.1, NP_001336622.1, NP_001336624.1, NP_001336623.1
OG0000145	XP_003922490.1	NP_001349352.1, NP_001161998.1, XP_006526881.1, NP_001161997.1, NP_659041.3
OG0000146	XP_003938814.1, XP_010347708.1, XP_010347707.1	XP_006538334.1, NP_082502.2, NP_001343492.1, NP_945195.1, XP_017175942.1, NP_001343491.1
OG0000147	XP_003922600.1, XP_003922604.1, XP_003922602.1	NP_033069.1, NP_033068.1
OG0000147	XP_039316002.1, XP_003922597.1	NP_038921.2, NP_035166.1, NP_035389.1, NP_035390.1
OG0000149	XP_039322050.1	NP_001407721.1
OG0000149	XP_003937990.1	NP_848492.1
OG0000149	XP_039316778.1	NP_659149.1
OG0000149	XP_039316042.1	NP_038762.1
OG0000150	XP_003936326.2	NP_001258974.1, NP_766347.1, NP_001157228.1, NP_598721.1, XP_006530948.1, NP_937814.1, NP_663578.1, NP_932116.2, XP_006531445.1, NP_001073334.2
OG0000151	XP_003929394.1	NP_001159500.1, XP_006533299.1
OG0000151	XP_039332402.1	NP_899024.3, XP_006533637.1
OG0000151	XP_010337959.2	NP_766384.2, XP_006533298.1, NP_853523.2
OG0000152	XP_010327969.1, XP_010327970.2, XP_010327971.2	NP_035605.1, NP_035600.1, NP_035601.1
OG0000157	XP_039335445.1	NP_031932.1
OG0000157	XP_010345028.2, XP_039324567.1, XP_003926376.2, XP_010347515.2, XP_039334905.1, XP_039326433.1, XP_039328448.1, XP_039324106.1, XP_039329265.1, XP_039327213.1, XP_039327413.1, XP_039318778.1, XP_039320425.1	NP_034236.2
OG0000160	XP_039319179.1, XP_039326032.1, XP_039327742.1, XP_039334578.1, XP_039323768.1	XP_036018061.1
OG0000160	XP_010336005.1	XP_006522569.1, NP_080870.1
