Orthogroup	Loxodonta_africana	Mesocricetus_auratus
OG0000019	XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1	XP_040600867.1, XP_040600868.1, XP_005064844.1, XP_005064843.1, XP_005064848.1, XP_005064585.1, XP_005064847.1, XP_005064584.1
OG0000019	XP_003423149.2, XP_003423148.2, XP_003418816.1, XP_003423153.1	XP_005064850.1
OG0000019	XP_003423152.2	XP_005064849.1
OG0000019	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1
OG0000019	XP_003423150.2	XP_005064841.2
OG0000020	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1	XP_040589767.1, XP_040589769.1, XP_040589859.1, XP_040589858.1, XP_040590083.1, XP_040590105.1, XP_040590085.1, XP_021079740.1, XP_040589772.1, XP_040590049.1, XP_040590048.1
OG0000020	XP_023399870.1	XP_040589773.1, XP_040589996.1
OG0000021	XP_003421881.1, XP_003421882.1	XP_005077511.3, XP_040589524.1, XP_005087265.2, XP_040588430.1
OG0000021	XP_010599494.1	XP_005077475.1
OG0000021	XP_023397622.1, XP_003423689.1	XP_005078541.1
OG0000022	XP_023405713.1	XP_012968143.1
OG0000022	XP_023405791.1	XP_012968137.1
OG0000022	XP_023405693.1	XP_040597834.1
OG0000022	XP_023405753.1	XP_012968139.1
OG0000022	XP_023405676.1	XP_012968141.1
OG0000022	XP_023405672.1	XP_012968138.2
OG0000022	XP_023405683.1	XP_040597837.1
OG0000022	XP_023405761.1	XP_040597835.1
OG0000022	XP_023408412.1	XP_040597836.1
OG0000022	XP_023405686.1	XP_012968142.1
OG0000024	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1, XP_005069427.1
OG0000024	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1	XP_005069439.1, XP_005069315.1, XP_012968276.2, XP_005069438.2, XP_040585969.1
OG0000024	XP_003422135.2, XP_003422117.2, XP_010599718.1	XP_005069440.1, XP_012968278.1
OG0000026	XP_003421750.1	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1
OG0000026	XP_010593038.2	XP_012973615.1
OG0000027	XP_023397082.1	XP_005070529.1
OG0000027	XP_010594690.1	XP_040609793.1
OG0000027	XP_010589075.1	XP_040593732.1
OG0000027	XP_023404513.1	XP_040611487.1
OG0000027	XP_010597190.2	XP_040599534.1
OG0000027	XP_010594676.1	XP_040609790.1
OG0000027	XP_010594685.1	XP_040609794.1
OG0000028	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2	XP_005063306.1, XP_005063857.1
OG0000029	XP_003418984.1, XP_003418985.1, XP_003419000.1	XP_005076794.1
OG0000029	XP_003410244.2, XP_010588697.2	XP_040606242.1, XP_040606301.1, XP_005076843.2
OG0000029	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1	XP_040606240.1, XP_040606241.1, XP_005076795.1, XP_040606248.1, XP_005076798.2
OG0000031	XP_003421878.1	XP_005077476.1
OG0000031	XP_023396098.1, XP_023397619.1	XP_005067750.1
OG0000031	XP_010598978.2, XP_010598992.1	XP_040612128.1, XP_005086751.3, XP_040611602.1
OG0000031	XP_003421186.3	XP_040611600.1, XP_040611601.1
OG0000031	XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1	XP_005086741.1
OG0000032	XP_010589555.1	XP_040597877.1
OG0000032	XP_023405530.1	XP_040597870.1
OG0000032	XP_023405548.1	XP_040597871.1
OG0000033	XP_023412690.1, XP_023412695.1, XP_023412688.1	XP_005070273.1, XP_012968668.2
OG0000033	XP_023412689.1, XP_023412699.1	XP_005070011.3
OG0000033	XP_023412685.1	XP_012968934.1
OG0000034	XP_023396128.1	XP_012969626.1, XP_005077657.1, XP_012981677.2, XP_005087476.2, XP_012973194.1, XP_005076167.1, XP_005076126.2, XP_005087477.1, XP_005087475.2, XP_040595329.1, XP_040593015.1
OG0000035	XP_003418690.1	XP_012975185.1
OG0000035	XP_003415269.1	XP_005064723.1
OG0000035	XP_003409293.1	XP_005063733.1
OG0000035	XP_010594571.1	NP_001268524.1, XP_012975858.1
OG0000035	XP_010595197.1	XP_040606104.1
OG0000035	XP_003408097.1	XP_005065601.1
OG0000035	XP_003413731.1	XP_005071114.1
OG0000036	XP_023402678.1, XP_023402681.1, XP_003409270.1, XP_023402680.1, XP_003409272.1	XP_040600829.1, XP_005063680.1, XP_040600828.1, NP_001268504.1, XP_040597720.1, XP_040597238.1, NP_001268582.1, NP_001268615.1
OG0000036	XP_003409268.2, XP_003409269.2	XP_005063672.1
OG0000038	XP_023398170.1, XP_023397817.1, XP_003423248.1	XP_012975442.1
OG0000038	XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1	XP_005065093.1, XP_005065094.1
OG0000038	XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1	XP_005065098.1, XP_021089454.1, XP_012975394.1
OG0000039	XP_003417907.1	XP_005066458.1
OG0000039	XP_003420000.1	XP_040588788.1
OG0000039	XP_003406436.1	XP_005074701.1
OG0000040	XP_023411544.1	XP_005066964.1
OG0000040	XP_023395897.1, XP_003405469.1, XP_003405468.1	XP_040608727.1, XP_040608728.1
OG0000040	XP_003405467.1, XP_003405465.1	XP_005067235.1
OG0000040	XP_023395770.1	XP_005066965.1
OG0000041	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1	XP_005065090.1
OG0000041	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1	XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1
OG0000042	XP_010590492.2	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1
OG0000043	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1	XP_040589229.1, XP_005075826.2, XP_005075768.1, XP_012972964.1, XP_012972963.1, XP_012972962.2, XP_040589196.1, XP_040589194.1, XP_005075767.1, XP_005075778.1, XP_005075769.1, XP_040589195.1, XP_040589266.1
OG0000044	XP_003416454.1	XP_021080739.1
OG0000044	XP_023411493.1, XP_023411495.1	XP_040608140.1, XP_040599370.1
OG0000044	XP_023397189.1	XP_012981124.1
OG0000045	XP_023412232.1	XP_012967012.1
OG0000045	XP_003416837.1	XP_005067661.2
OG0000045	XP_010594913.2	XP_005067663.2
OG0000045	XP_003416978.1, XP_003416977.1	XP_040604829.1
OG0000045	XP_010594915.1	XP_040604830.1
OG0000046	XP_023408052.1	XP_040593590.1, XP_040593589.1, XP_005083451.1, XP_005083446.1, XP_040594995.1
OG0000048	XP_023398867.1, XP_023398863.1, XP_023399788.1	XP_005086519.2, XP_005086487.1
OG0000048	XP_010584712.1	XP_040590516.1, XP_040590186.1, XP_040590252.1
OG0000049	XP_010587012.1	XP_012970837.1
OG0000049	XP_010593953.1	XP_040598230.1, XP_005075263.2, XP_040598231.1, XP_005066586.2, XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1, XP_040587835.1
OG0000050	XP_023401108.1, XP_023401106.1, XP_023401107.1, XP_003407522.1	XP_040591601.1, XP_040591585.1, XP_005082163.1, XP_040591590.1, XP_040591584.1
OG0000051	XP_010592337.1	XP_040589515.1
OG0000051	XP_010595976.1	XP_040609155.1
OG0000051	XP_023408848.1	XP_040589514.1
OG0000051	XP_010593035.1	XP_012977763.1
OG0000051	XP_010595977.1	XP_040609153.1, XP_040609154.1
OG0000051	XP_010593034.1	XP_005082522.1
OG0000052	XP_023415736.1	XP_040592338.1
OG0000052	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1	XP_040610156.1, XP_040592247.1
OG0000054	NP_001267816.1	XP_012976161.1
OG0000055	XP_003412241.1	XP_005075771.1
OG0000055	XP_010590623.2, XP_003412238.2, XP_003412240.1	XP_005075828.3
OG0000055	XP_003412088.1, XP_003412237.1, XP_023406386.1	XP_005075773.1, XP_005075776.1, XP_005075775.1, XP_005075770.1
OG0000055	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1	XP_021086135.2, XP_012972950.1
OG0000056	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1
OG0000057	XP_023413548.1	XP_040609095.1, XP_040609094.1, XP_040609097.1
OG0000057	XP_023413479.1, XP_023413547.1	XP_040609083.1
OG0000057	XP_023408522.1, XP_010595922.1	XP_040609099.1, XP_040609098.1
OG0000057	XP_023413538.1	XP_040609082.1, XP_040609085.1
OG0000058	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1
OG0000060	XP_010599816.1, XP_010599817.1	XP_012980426.1, XP_040608584.1, XP_012980427.1
OG0000061	XP_023397963.1	XP_012978726.1
OG0000062	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1
OG0000063	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1
OG0000064	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1
OG0000065	XP_010588064.1, XP_003410116.1	XP_005139289.2, XP_040602518.1, XP_040608744.1
OG0000066	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1	XP_040607425.1, XP_040610768.1, XP_005083244.1
OG0000067	XP_010599789.1, XP_003423726.1	XP_005076495.1
OG0000067	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1	XP_040607433.1, XP_040603925.1, XP_040603927.1, XP_040603924.1, XP_040603929.1, XP_021081286.2, XP_040603930.1, XP_012967003.2
OG0000068	XP_003422804.1	XP_005063311.1
OG0000068	XP_023397700.1	XP_005063310.1
OG0000068	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1	XP_012966146.1
OG0000069	XP_003412414.1	XP_040596557.1, XP_040596556.1, XP_040596558.1
OG0000069	XP_010599078.1	XP_005139384.2
OG0000069	XP_010599088.1	XP_012982640.1
OG0000069	XP_010587034.1	XP_005086454.1
OG0000069	XP_023402289.1	XP_005068441.1
OG0000070	XP_010589597.1	XP_021084043.1
OG0000071	XP_010600554.1, XP_003423115.1, XP_010600557.1	XP_012971826.1, XP_012971753.2, XP_040607730.1
OG0000072	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1
OG0000073	XP_023397904.1, XP_010600495.2, XP_003423015.2, XP_003423011.2, XP_010600489.1, XP_003423326.1, XP_010600516.1, XP_003423006.1, XP_010600996.1, XP_003423007.1, XP_010600709.1, XP_010600517.1, XP_003423013.3, XP_003423008.1, XP_003423432.1, XP_023398259.1, XP_010601011.1, XP_023397903.1, XP_023397613.1, XP_003423010.2, XP_023411822.1, XP_003423012.2, XP_003423017.2, XP_010601075.2, XP_003423435.1, XP_003423016.2, XP_003416748.1, XP_023397888.1, XP_003422684.1, XP_003423063.2, XP_010600788.2, XP_010600252.1, XP_010601051.2, XP_023397896.1, XP_010600708.1, XP_003423396.2, XP_023398260.1, XP_003422681.2, XP_003423062.2, XP_003422770.1, XP_003422369.1, XP_010600258.1, XP_003422393.2, XP_023398367.1, XP_003423677.3, XP_003422687.1, XP_003423764.1	XP_005065080.2
OG0000074	XP_003420108.1	XP_005074087.1
OG0000075	XP_023394872.1, XP_010598359.2	XP_005084587.1
OG0000075	XP_003421271.1	XP_040600633.1
OG0000075	XP_003420215.1	XP_012981002.2, XP_005086675.1, XP_040599847.1
OG0000076	XP_023405724.1	XP_021082326.2
OG0000076	XP_010589665.2, XP_023405722.1	XP_040597842.1
OG0000076	XP_023405706.1	XP_040597832.1
OG0000076	XP_023405697.1	XP_040597833.1
OG0000076	XP_023405771.1	XP_040597839.1
OG0000077	XP_023398818.1	XP_040597617.1, XP_040611502.1, XP_040601552.1, XP_040603391.1, XP_040599072.1
OG0000077	XP_010595592.1, XP_023412867.1	XP_012966788.1
OG0000078	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1	NP_001268256.1, XP_040610188.1
OG0000079	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1
OG0000080	XP_023397707.1, XP_003422816.1, XP_023397706.1	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1
OG0000081	XP_010591698.1, XP_023397292.1, XP_023398458.1	XP_040590974.1
OG0000082	XP_023414920.1, XP_023414942.1, XP_003419087.1	XP_040588269.1, XP_040588270.1, XP_040588274.1
OG0000084	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1	XP_040584800.1, XP_005082842.2, XP_021090181.1
OG0000085	XP_003413452.2, XP_003413157.1, XP_023407704.1, XP_003413158.2, XP_023407703.1, XP_003423725.2, XP_023398363.1, XP_023398230.1, XP_023398493.1, XP_023398327.1, XP_003423521.1, XP_023408239.1, XP_003413454.2, XP_003413455.1, XP_023407700.1	XP_005077363.1
OG0000086	XP_003418974.1	XP_040610260.1
OG0000086	XP_003419385.1	XP_021087100.2
OG0000086	XP_023409299.1, XP_023409300.1	XP_012973815.1
OG0000087	XP_023403955.1, XP_010588626.1, XP_023403956.1, XP_023403982.1, XP_010588735.1, XP_010588627.2	XP_021085058.1, XP_005073964.1, XP_040606293.1, XP_012971615.2, XP_005073894.2, XP_040606221.1, XP_005073967.1, XP_040606220.1, XP_040606222.1, XP_021085049.1, XP_005073895.2, XP_005073896.1
OG0000087	XP_023403957.1, XP_023403954.1	XP_005073963.1
OG0000088	XP_023414947.1	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1
OG0000089	XP_003423294.1, XP_003422403.1, XP_003423533.1, XP_003423709.1, XP_003423754.1, XP_003422671.1, XP_003422672.1, XP_003423690.1, XP_003423774.1, XP_023397300.1, XP_003423296.1, XP_010599937.1, XP_010600253.1, XP_003423691.2, XP_003423295.1, XP_003423756.3, XP_023397304.1, XP_003422391.1, XP_003423718.2, XP_003423599.2, XP_003412110.1, XP_003412111.1	XP_012975736.2, XP_005065076.1, XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1
OG0000090	XP_010594360.1, XP_010594361.1	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1
OG0000091	XP_023399885.1	XP_040590027.1
OG0000092	XP_003423397.1, XP_003423699.1, XP_023397675.1	XP_005065062.1, XP_005065063.1, XP_005065061.1, XP_005065059.1
OG0000092	XP_003423398.1, XP_023397677.1, XP_023397680.1, XP_010600624.1, XP_023398535.1, XP_023398073.1	XP_005064643.1, XP_012974558.1
OG0000093	XP_010594545.1	XP_005080052.1
