Orthogroup	Loxodonta_africana	Mus_musculus
OG0000011	XP_003404605.1	NP_444369.3
OG0000011	XP_003404603.1	NP_444368.1
OG0000011	XP_023405607.1	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1
OG0000011	XP_010589642.2	NP_444377.3
OG0000012	XP_010594127.1	NP_776144.1
OG0000012	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1	XP_006527991.1, NP_001094920.1
OG0000012	XP_003416100.1	NP_112448.1, NP_034889.1, NP_032571.2
OG0000012	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1	NP_001028664.2
OG0000013	XP_023398492.1	NP_001011824.1, NP_001011823.1
OG0000013	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1	NP_667117.1
OG0000014	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1	NP_666291.2, NP_033603.2
OG0000016	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1
OG0000017	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1	NP_667071.1
OG0000017	XP_003421166.1, XP_003421167.1, XP_003421171.2, XP_003423476.1, XP_003423477.1, XP_023396033.1, XP_003423478.1	NP_666395.2
OG0000018	XP_010595256.1, XP_003410978.1	NP_032237.1
OG0000018	XP_023403166.1	NP_835734.2, NP_783584.1
OG0000018	XP_023411474.1, XP_023411484.1, XP_023411483.1, XP_023411482.1	NP_835514.1
OG0000018	XP_023396021.1	NP_659539.1
OG0000018	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1	NP_001304932.1
OG0000019	XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1	NP_666953.1, NP_666661.2, NP_001011787.1, NP_001011803.2, NP_997034.1, NP_666474.1
OG0000019	XP_003423149.2, XP_003423148.2, XP_003418816.1, XP_003423153.1	NP_666514.2
OG0000019	XP_003423152.2	NP_666513.2
OG0000019	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1	NP_666386.1
OG0000019	XP_003423150.2	NP_666660.1
OG0000020	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1
OG0000020	XP_023399870.1	XP_036011513.1, NP_001278821.1, NP_032173.1, NP_038560.1
OG0000021	XP_003421881.1, XP_003421882.1	NP_666401.1, NP_666399.1, NP_666843.1, NP_001011753.2, NP_001013593.2, XP_011244764.1, NP_666489.1, NP_996552.1, NP_001011829.1, NP_667101.1
OG0000021	XP_010599494.1	NP_666402.2
OG0000022	XP_023405713.1	NP_291065.3
OG0000022	XP_023405791.1	NP_291072.1
OG0000022	XP_023405679.1	NP_291073.1
OG0000022	XP_023405693.1	NP_291067.1
OG0000022	XP_023405753.1	NP_291068.2
OG0000022	XP_023405676.1	NP_291070.1
OG0000022	XP_023405672.1	NP_291069.1
OG0000022	XP_023405683.1	NP_291071.1
OG0000022	XP_023405761.1	NP_291066.1
OG0000022	XP_023408412.1	NP_291062.1
OG0000022	XP_023405686.1	NP_291064.1
OG0000024	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3	NP_666650.1, NP_667041.2, NP_666958.1, NP_666957.1
OG0000024	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1
OG0000024	XP_003422135.2, XP_003422117.2, XP_010599718.1	NP_666824.1, NP_666825.1
OG0000026	XP_003421750.1	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1
OG0000026	XP_010593038.2	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1
OG0000027	XP_023397082.1	NP_033473.1
OG0000027	XP_010594690.1	NP_033474.1
OG0000027	XP_010589075.1	NP_059075.1
OG0000027	XP_023404513.1	NP_001029051.2
OG0000027	XP_010597190.2	NP_033475.1, NP_033472.1
OG0000027	XP_010594676.1	NP_035783.1
OG0000027	XP_010594685.1	NP_035784.1
OG0000028	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2	NP_666909.1, NP_666908.2
OG0000028	XP_003421462.1	NP_666916.1
OG0000029	XP_003418984.1, XP_003418985.1, XP_003419000.1	NP_667211.2, NP_667212.2
OG0000029	XP_003410244.2, XP_010588697.2	NP_667210.2, NP_001011662.2, NP_667208.2
OG0000029	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1
OG0000031	XP_003421878.1	NP_667273.1
OG0000031	XP_023396098.1, XP_023397619.1	NP_001011789.1
OG0000031	XP_010598978.2, XP_010598992.1	NP_001011820.1, NP_666754.2
OG0000031	XP_003421186.3	NP_666753.2
OG0000031	XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1	NP_997455.1
OG0000032	XP_010589555.1	NP_001167625.1, NP_031792.1, NP_001288188.1, NP_034087.2, NP_957695.1
OG0000032	XP_023405530.1	NP_619602.1
OG0000032	XP_023405548.1	NP_619604.1
OG0000033	XP_023412690.1, XP_023412695.1, XP_023412688.1	NP_001355168.1, NP_598919.1, XP_030101751.1, NP_001346741.1
OG0000033	XP_023412689.1, XP_023412699.1	NP_001334580.1, NP_954691.3
OG0000033	XP_023412685.1	NP_001162624.1, XP_017170043.1
OG0000034	XP_023396128.1	NP_001160200.1, NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1, NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2, NP_598944.1, NP_598943.1
OG0000035	XP_003418690.1	NP_033738.1
OG0000035	XP_003415269.1	NP_001258970.1
OG0000035	XP_003409293.1	NP_031418.1
OG0000035	XP_010594571.1	NP_031419.1
OG0000035	XP_010595197.1	NP_033739.1
OG0000035	XP_003408097.1	NP_780706.1
OG0000035	XP_003413731.1	NP_033740.2
OG0000036	XP_003409026.2	XP_017173651.1, NP_001001446.3
OG0000036	XP_023402678.1, XP_023402681.1, XP_003409270.1, XP_023402680.1, XP_003409272.1	NP_082467.2, NP_001011707.1, NP_034131.2, NP_598905.2, NP_996260.1, XP_006527235.1, NP_001360866.1, NP_034132.2, NP_031841.3
OG0000036	XP_003409268.2, XP_003409269.2	XP_011245537.1, NP_663474.2
OG0000038	XP_023398170.1, XP_023397817.1, XP_003423248.1	NP_667230.1
OG0000038	XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1	NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2
OG0000038	XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1	NP_666520.2, NP_667057.2, NP_667223.1
OG0000039	XP_003417907.1	NP_033476.1
OG0000039	XP_003420000.1	NP_001074440.1
OG0000039	XP_003406436.1	NP_080749.2
OG0000040	XP_023411544.1	NP_666393.1
OG0000040	XP_023395897.1, XP_003405469.1, XP_003405468.1	NP_666392.1
OG0000040	XP_003405467.1, XP_003405465.1	NP_666668.2
OG0000040	XP_023395770.1	NP_667247.1
OG0000041	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1	NP_001355135.1, NP_666478.1
OG0000041	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1	NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2
OG0000042	XP_010590492.2	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1
OG0000043	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1
OG0000044	XP_003416454.1	NP_291074.1
OG0000044	XP_023411493.1, XP_023411495.1	NP_783585.1, NP_694813.1
OG0000044	XP_023397189.1	NP_783586.1, NP_835500.1
OG0000044	XP_023411494.1	NP_001182350.1
OG0000045	XP_023412232.1	NP_001093105.1, XP_006532475.1
OG0000045	XP_003416837.1	NP_001074719.1
OG0000045	XP_010594913.2	XP_036012291.1, NP_796343.2
OG0000045	XP_003416978.1, XP_003416977.1	NP_001034634.2
OG0000045	XP_010594915.1	NP_034985.2
OG0000046	XP_023408052.1	XP_006524022.1, NP_001094915.1, NP_570952.1, XP_036016649.1, NP_001093657.1, NP_001343232.1
OG0000048	XP_023398867.1, XP_023398863.1, XP_023399788.1	NP_036057.1
OG0000048	XP_010584712.1	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1
OG0000049	XP_010587012.1	NP_065063.1
OG0000049	XP_010593953.1	NP_787953.2, NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3
OG0000050	XP_023400730.1, XP_023400731.1	NP_666838.1
OG0000050	XP_023401108.1, XP_023401106.1, XP_023401107.1, XP_003407522.1	NP_667151.1, NP_667157.1, NP_667159.1, XP_030107398.1, NP_667154.1, NP_667156.1, NP_667162.1, NP_667158.1, NP_666839.1, NP_667149.1, NP_667160.1, NP_667161.1, NP_667155.1
OG0000051	XP_010592337.1	NP_034061.2
OG0000051	XP_010595976.1	NP_031760.2, XP_036013028.1
OG0000051	XP_023408848.1	NP_034062.3
OG0000051	XP_010593035.1	XP_011246185.1, NP_444415.2
OG0000051	XP_010595977.1	XP_011236954.1, NP_031761.1
OG0000051	XP_010593034.1	XP_006528759.1, NP_001156627.1
OG0000052	XP_023415736.1	NP_001157093.1
OG0000052	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1	XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2
OG0000054	NP_001267816.1	XP_030108264.1, NP_001396544.1
OG0000055	XP_003412241.1	NP_667136.1
OG0000055	XP_010590623.2, XP_003412238.2, XP_003412240.1	NP_001005488.1
OG0000055	XP_003412088.1, XP_003412237.1, XP_023406386.1	NP_667135.1, NP_667137.1, NP_666985.1, NP_666986.1, NP_666706.1, NP_666947.1
OG0000055	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1	NP_064687.2, NP_666984.1
OG0000056	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1	NP_997023.1, NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1
OG0000057	XP_023413548.1	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1
OG0000057	XP_023413479.1, XP_023413547.1	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3
OG0000057	XP_023408522.1, XP_010595922.1	NP_998780.2, XP_036018112.1, XP_036018107.1, XP_006535927.1, XP_036018101.1
OG0000057	XP_023413538.1	NP_001359160.1
OG0000058	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1
OG0000060	XP_010599816.1, XP_010599817.1	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1
OG0000061	XP_023397963.1	NP_084235.1, XP_017174827.1
OG0000062	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2
OG0000063	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1
OG0000064	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1
OG0000065	XP_010588064.1, XP_003410116.1	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1
OG0000066	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1	XP_036018682.1, XP_036014184.1, XP_036021533.1, NP_001395918.1, NP_001395917.1, NP_062621.2, XP_036013010.1
OG0000067	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1
OG0000068	XP_003422804.1	NP_666899.1
OG0000068	XP_023397700.1	NP_666895.1
OG0000069	XP_003412414.1	NP_780707.1, XP_006519052.1
OG0000069	XP_010599078.1	XP_011245927.1, NP_001093931.1
OG0000069	XP_010599087.1	NP_694809.1
OG0000069	XP_010587034.1	NP_081714.2
OG0000069	XP_023402289.1	NP_001136409.1, NP_071718.1
OG0000070	XP_010586192.1	XP_036019590.1
OG0000070	XP_010589597.1	NP_001408084.1, NP_001408087.1, NP_001156869.1, NP_001408082.1, NP_001408085.1, NP_001408094.1, NP_001408096.1, NP_001408088.1, NP_034618.2, XP_006502857.1, NP_001408095.1, NP_001408093.1, NP_001408081.1, NP_001408086.1, NP_001033787.1, NP_001408091.1, NP_001408090.1
OG0000071	XP_010600554.1, XP_003423115.1, XP_010600557.1	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1
OG0000072	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1	XP_011245661.1, NP_082595.1
OG0000073	XP_023397904.1, XP_010600495.2, XP_003423015.2, XP_003423011.2, XP_010600489.1, XP_003423326.1, XP_010600516.1, XP_003423006.1, XP_010600996.1, XP_003423007.1, XP_010600709.1, XP_010600517.1, XP_003423013.3, XP_003423008.1, XP_003423432.1, XP_023398259.1, XP_010601011.1, XP_023397903.1, XP_023397613.1, XP_003423010.2, XP_023411822.1, XP_003423012.2, XP_003423017.2, XP_010601075.2, XP_003423435.1, XP_003423016.2, XP_003416748.1, XP_023397888.1, XP_003422684.1, XP_003423063.2, XP_010600788.2, XP_010600252.1, XP_010601051.2, XP_023397896.1, XP_010600708.1, XP_003423396.2, XP_023398260.1, XP_003422681.2, XP_003423062.2, XP_003422770.1, XP_003422369.1, XP_010600258.1, XP_003422393.2, XP_023398367.1, XP_003423677.3, XP_003422687.1, XP_003423764.1	NP_667239.2
OG0000073	XP_003422997.2, XP_003422682.2, XP_023398158.1	NP_997448.1, NP_666409.2
OG0000074	XP_003420108.1	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1
OG0000075	XP_023394872.1, XP_010598359.2	NP_076263.1
OG0000075	XP_003421271.1	XP_017173961.1, NP_001078975.1
OG0000075	XP_003420215.1	NP_001349815.1
OG0000076	XP_010589665.2, XP_023405722.1	NP_291054.1
OG0000076	XP_023405706.1	NP_291057.1
OG0000076	XP_023405697.1	NP_291056.1
OG0000076	XP_023405781.1	NP_291052.3
OG0000076	XP_023405771.1	NP_291053.1
OG0000077	XP_023398818.1	NP_444493.1, NP_001346900.1, NP_666242.2, NP_932758.1
OG0000077	XP_010595592.1, XP_023412867.1	NP_001034218.1
OG0000078	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1
OG0000079	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3
OG0000080	XP_023397707.1, XP_003422816.1, XP_023397706.1	NP_080916.1
OG0000081	XP_010591698.1, XP_023397292.1, XP_023398458.1	XP_006539346.1, NP_084224.1
OG0000084	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1
OG0000085	XP_003413452.2, XP_003413157.1, XP_023407704.1, XP_003413158.2, XP_023407703.1, XP_003423725.2, XP_023398363.1, XP_023398230.1, XP_023398493.1, XP_023398327.1, XP_003423521.1, XP_023408239.1, XP_003413454.2, XP_003413455.1, XP_023407700.1	NP_667036.2, NP_001011748.1, NP_666451.1
OG0000086	XP_003418974.1	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1
OG0000086	XP_003419385.1, XP_023409299.1, XP_023409300.1, XP_023409301.1, XP_023409298.1	NP_001005341.1
OG0000087	XP_023403955.1, XP_010588626.1, XP_023403956.1, XP_023403982.1, XP_010588735.1, XP_010588627.2	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1, NP_899012.1, NP_081431.1
OG0000087	XP_023403957.1, XP_023403954.1	NP_038741.1
