Orthogroup	Loxodonta_africana	Homo_sapiens
OG0000011	XP_010589642.2	NP_061758.1
OG0000012	XP_010594127.1	NP_775970.2
OG0000012	XP_023410900.1, XP_003416054.1	NP_872312.2
OG0000012	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1	NP_001373794.1, XP_011543815.1, NP_002356.2
OG0000012	XP_023410902.1	NP_001258681.1
OG0000012	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1
OG0000013	XP_023398492.1	NP_001001958.1
OG0000013	XP_003423616.2, XP_023398096.1, XP_003423491.1, XP_003423716.2, XP_003423082.3, XP_003423081.3, XP_003423080.2, XP_010600893.1, XP_003423501.1, XP_003423084.3, XP_023398154.1, XP_023398099.1, XP_003423406.2, XP_010600648.1, XP_003423750.2, XP_003423763.1, XP_023398236.1, XP_003423646.1, XP_010600645.1, XP_010600765.1, XP_023398155.1, XP_003423635.1, XP_023398157.1, XP_023398098.1, XP_023398235.1, XP_010600767.1, XP_010600647.1, XP_023398156.1	NP_001005192.2
OG0000014	XP_010584944.1, XP_023399387.1	NP_001277247.1
OG0000014	XP_023399372.1	NP_001019767.1
OG0000014	XP_023399410.1, XP_023399411.1, XP_010584956.1	NP_079109.2
OG0000014	XP_023399401.1	NP_003426.3
OG0000014	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1	NP_060349.1, NP_001010879.2, NP_612356.2
OG0000014	XP_023399398.1	NP_065931.3
OG0000014	XP_023399405.1	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2, NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1, NP_116217.1, XP_047294178.1, NP_775903.3, NP_005764.2, NP_001252526.1
OG0000015	XP_023408235.1	XP_047294550.1
OG0000016	XP_023401131.1, XP_023401102.1, XP_023398452.1, XP_023401103.1, XP_023398430.1, XP_003407701.1, XP_003407380.1	NP_002168.1
OG0000016	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2
OG0000017	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1	NP_001357568.2
OG0000018	XP_010595256.1	NP_002098.1, NP_001365976.1, NP_001365975.1
OG0000018	XP_003410978.1	NP_001365972.1
OG0000018	XP_023403166.1	NP_066403.2
OG0000018	XP_023411474.1, XP_023411484.1, XP_023411483.1	NP_001368928.1, NP_003525.1, NP_003524.1, NP_001363866.1, NP_003520.1, NP_003523.1
OG0000018	XP_023411482.1	NP_003527.1
OG0000018	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1	NP_003484.1
OG0000019	XP_003418816.1, XP_003423153.1	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1
OG0000019	XP_003423150.2	NP_001005326.1
OG0000021	XP_003421251.1, XP_023396125.1	NP_001383035.1
OG0000021	XP_010599494.1	NP_112208.1
OG0000021	XP_010596431.1	NP_001004732.2
OG0000022	XP_023405713.1	NP_061740.2
OG0000022	XP_023405791.1	NP_061737.1
OG0000022	XP_023405679.1	NP_003726.1
OG0000022	XP_023405693.1	NP_061742.1
OG0000022	XP_023405753.1	NP_061743.1
OG0000022	XP_023405676.1	NP_061744.1
OG0000022	XP_023405672.1	NP_114477.1
OG0000022	XP_023405683.1	NP_061736.1
OG0000022	XP_023405761.1	NP_061741.1
OG0000022	XP_023408412.1	NP_061735.1
OG0000022	XP_023405686.1	NP_061739.2
OG0000023	XP_023399116.1	XP_047293947.1, NP_001092082.1, NP_003821.1
OG0000023	XP_010585287.2, XP_023399851.1, XP_023399850.1, XP_023399132.1	XP_011525835.1, NP_001236.4
OG0000024	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3	NP_001002905.1, NP_001005198.2
OG0000026	XP_010593038.2	NP_001164491.1, NP_689636.3, XP_011529158.1
OG0000027	XP_023397082.1	XP_047301630.1
OG0000027	XP_010594690.1	NP_116093.1
OG0000027	XP_010600174.1, XP_023403761.1, XP_010597188.1	NP_001290044.1, NP_001290045.1, NP_001290046.1
OG0000027	XP_010589075.1	NP_061816.1
OG0000027	XP_023404513.1	NP_079079.1
OG0000027	XP_010597190.2	NP_997195.2, NP_525125.2, NP_005992.1
OG0000027	XP_010594676.1	NP_001257328.1
OG0000028	XP_003421462.1	NP_001005489.1, NP_001005566.1
OG0000029	XP_003418984.1, XP_003418985.1, XP_003419000.1	NP_001004737.1, NP_001004736.2
OG0000029	XP_003410244.2, XP_010588697.2	NP_001005517.1
OG0000029	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1	NP_001005516.1
OG0000031	XP_023396098.1, XP_023397619.1	NP_001004492.1
OG0000031	XP_010598978.2, XP_010598992.1	NP_149046.2
OG0000031	XP_003421186.3	NP_036499.1
OG0000031	XP_023396127.1, XP_010599050.1, XP_023397571.1, XP_023396126.1	NP_001001915.1
OG0000032	XP_010589555.1	NP_061730.1, NP_061733.1, NP_114063.1
OG0000032	XP_023405530.1	NP_061724.1
OG0000032	XP_010589550.1	NP_061726.1
OG0000032	XP_023405548.1	NP_061727.1
OG0000033	XP_023412690.1, XP_023412695.1, XP_023412688.1	NP_006669.1, XP_016879522.1, XP_005257047.1, NP_009192.2, NP_001311002.1, NP_001392440.1
OG0000033	XP_023412689.1, XP_023412699.1	NP_777552.3, XP_005257084.1
OG0000033	XP_023412685.1	XP_047291363.1, NP_620587.2
OG0000034	XP_023396128.1	NP_776257.1
OG0000035	XP_003418690.1	NP_001393411.1
OG0000035	XP_003415269.1	NP_001091.1
OG0000035	XP_003409293.1	NP_001135417.1
OG0000035	XP_010594571.1	NP_001092.1
OG0000035	XP_010595197.1	NP_001186883.1, NP_001605.1
OG0000035	XP_003408097.1	NP_001017992.1
OG0000035	XP_003413731.1	NP_001606.1
OG0000036	XP_023402679.1	NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3, NP_000760.1, NP_000762.2
OG0000038	XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1, XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1	NP_001005202.1
OG0000039	XP_003417907.1	NP_001060.1
OG0000039	XP_023397432.1	NP_001280144.1
OG0000039	XP_010600937.1	NP_001280145.1
OG0000039	XP_003420000.1	XP_016883574.1, NP_110400.1
OG0000039	XP_003406436.1	NP_001290453.1
OG0000040	XP_003405455.1, XP_003405457.1	NP_001377778.1
OG0000041	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1	NP_001004747.2
OG0000041	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1	NP_001004746.2
OG0000042	XP_010590492.2	NP_001290544.1, NP_473371.1
OG0000043	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1	NP_703145.1
OG0000044	XP_003416454.1	NP_001029249.1, NP_778224.1
OG0000044	XP_023411493.1, XP_023411495.1	NP_003533.1
OG0000044	XP_023397189.1	NP_003530.1, NP_003532.1, NP_003535.1
OG0000044	XP_023411492.1	NP_003531.1
OG0000044	XP_023411494.1	NP_003536.1
OG0000045	XP_023412232.1	XP_011522172.1, NP_002461.2
OG0000045	XP_003416837.1	NP_003793.2
OG0000045	XP_010594913.2	NP_002463.2
OG0000045	XP_010594915.1	NP_060003.2, XP_016880165.1
OG0000048	XP_023398867.1, XP_023398863.1, XP_023399788.1	NP_001091976.3, XP_016882919.1
OG0000048	XP_010584712.1	XP_016881634.1, NP_001278413.1
OG0000049	XP_010587012.1	NP_003804.2
OG0000049	XP_023402084.1	NP_003805.4, XP_005268208.1
OG0000049	XP_010593953.1	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1
OG0000051	XP_010592337.1	NP_001836.3
OG0000051	XP_010595976.1	XP_005246334.1, NP_000082.2
OG0000051	XP_023408848.1	NP_001837.2
OG0000051	XP_010593035.1	NP_001274687.1, XP_006724680.1
OG0000051	XP_010595977.1	XP_005246338.1, NP_000083.3
OG0000051	XP_010593034.1	XP_011529151.2, NP_203699.1
OG0000052	XP_023415736.1	NP_085144.1, XP_011528694.1
OG0000052	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1
OG0000053	XP_023403949.1, XP_023403950.1	NP_853646.1
OG0000054	NP_001267816.1	NP_001358691.1, XP_047289901.1
OG0000054	XP_003415217.1	NP_001756.2, XP_005245636.1
OG0000054	XP_003415004.1	NP_001755.1, XP_011508421.1
OG0000055	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1	NP_703146.1
OG0000056	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1	NP_001001920.2
OG0000057	XP_023413548.1	XP_047302368.1, NP_009168.4
OG0000057	XP_023413479.1, XP_023413547.1	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3
OG0000057	XP_023413538.1	NP_001073860.1
OG0000058	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2
OG0000060	XP_010599816.1, XP_010599817.1	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1
OG0000061	XP_023397963.1	NP_001380590.1
OG0000062	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1	NP_000323.2
OG0000063	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1
OG0000064	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1	NP_000063.2
OG0000065	XP_010588064.1, XP_003410116.1	NP_000983.1
OG0000066	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1	NP_000973.2
OG0000067	XP_010599789.1, XP_003423726.1	NP_001004136.1, NP_001001827.1
OG0000067	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1	NP_001004694.2, NP_001004697.1, NP_001004696.2
OG0000068	XP_003422804.1	NP_001004729.1
OG0000069	XP_003412414.1	XP_011542667.1, NP_009188.1
OG0000069	XP_010599078.1	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1
OG0000069	XP_010599088.1	NP_116271.3
OG0000069	XP_010599087.1	NP_037496.4
OG0000069	XP_010587034.1	NP_006020.4
OG0000069	XP_023402289.1	NP_071434.2
OG0000070	XP_010586192.1	NP_001338395.1, NP_001338392.1, NP_001338391.1, NP_001338387.1, NP_001338386.1, NP_001338385.1, NP_001338388.1, NP_001372636.1, NP_001372628.1, NP_001372629.1, NP_001338390.1, NP_001338389.1, NP_001372627.1, NP_001372633.1, NP_001372626.1, NP_001338384.1, XP_047278864.1, NP_001338394.1, NP_001338407.1, NP_001372622.1, NP_001338406.1, NP_001164668.1, NP_001164666.1, NP_001372623.1, NP_001338393.1, NP_001372630.1, NP_001372624.1
OG0000070	XP_010589597.1	XP_011539191.1
OG0000071	XP_010600554.1, XP_003423115.1, XP_010600557.1	NP_066362.2, NP_006426.2
OG0000072	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1
OG0000074	XP_010597906.1, XP_023394765.1, XP_003420109.1, XP_023394764.1	NP_000795.2
OG0000074	XP_003420108.1	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1
OG0000075	XP_003421271.1	NP_066386.3, NP_001238757.2, NP_001011543.3
OG0000076	XP_010589665.2, XP_023405722.1	NP_003727.1
OG0000076	XP_023405706.1	NP_061750.1
OG0000076	XP_023405697.1	NP_061749.1
OG0000076	XP_023405769.1	NP_061747.2
OG0000076	XP_023405781.1	NP_061745.1
OG0000076	XP_023405771.1	NP_061746.1
OG0000077	XP_023398818.1	NP_001382099.1, NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1, NP_001317180.1, NP_001317179.1
OG0000077	XP_010595592.1, XP_023412867.1	NP_112420.1
OG0000078	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1
OG0000079	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1
OG0000080	XP_003422818.1	NP_945185.1, NP_001136176.1, NP_001136175.1
OG0000080	XP_023397707.1, XP_003422816.1, XP_023397706.1	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1
OG0000081	XP_010591698.1, XP_023397292.1, XP_023398458.1	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1, NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2
OG0000082	XP_023414920.1, XP_023414942.1, XP_003419087.1	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2
OG0000083	XP_023399155.1	NP_001308252.1
OG0000083	XP_010584862.2	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1
OG0000083	XP_010584861.2	NP_001026891.2
OG0000083	XP_010584866.1	NP_079316.2
OG0000083	XP_010584887.1, XP_010584888.1, XP_023399201.1, XP_023399158.1, XP_023399175.1, XP_010584876.1, XP_023399176.1, XP_010584882.1, XP_023399156.1, XP_023399208.1	XP_016882583.1, NP_067645.3
OG0000084	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1
OG0000085	XP_003413452.2, XP_003413157.1, XP_023407704.1, XP_003413158.2, XP_023407703.1, XP_003423725.2, XP_023398363.1, XP_023398230.1, XP_023398493.1, XP_023398327.1, XP_003423521.1, XP_023408239.1, XP_003413454.2, XP_003413455.1, XP_023407700.1	NP_001005191.1
OG0000086	XP_003418974.1	NP_113665.3
OG0000086	XP_003419385.1	XP_047297311.1, NP_037445.1
OG0000086	XP_023409299.1, XP_023409300.1, XP_023409301.1, XP_023409298.1	XP_016880110.1
OG0000087	XP_023403955.1, XP_010588626.1, XP_023403956.1, XP_023403982.1, XP_010588735.1, XP_010588627.2	NP_853631.1, NP_853630.2, NP_853652.1
OG0000087	XP_023403957.1	NP_853655.1
OG0000087	XP_023403954.1	NP_853654.1
OG0000088	XP_023414947.1	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1
OG0000089	XP_003423294.1, XP_003422403.1, XP_003423533.1, XP_003423709.1, XP_003423754.1, XP_003422671.1, XP_003422672.1, XP_003423690.1, XP_003423774.1, XP_023397300.1, XP_003423296.1, XP_010599937.1, XP_010600253.1, XP_003423691.2, XP_003423295.1, XP_003423756.3, XP_023397304.1, XP_003422391.1, XP_003423718.2, XP_003423599.2, XP_003412110.1, XP_003412111.1	NP_001001960.1
